"claim_id","dimension","claim_text","applicability","fixed_corpus_support","fixed_work_families","independent_family_count","evidence_class","counterexample_or_limit","priority"
"C11","片上存储","片上存储与数据复用对训练和推理都重要，但训练更侧重激活、梯度和部分和的保存或重算，推理解码还要处理权重块、KV cache与并发相关工作集，最佳容量层次和数据流随阶段改变。","DNN与Transformer加速器","S03|S04|S14|S17|S19","WF-CHEN-DNN-SURVEY|WF-HARVARD-MLSYS-TEXTBOOK|WF-GOOGLE-TPU8-SPLIT|WF-SPRING|WF-EYERISS-SURVEY","5","跨资料结论","旧CNN的片上存储数字不可直接迁移到LLM。","2"
"C12","互联通信","分布式训练常由梯度或参数集体通信、流水与张量并行决定带宽和拓扑需求；推理解码更容易暴露小消息时延，MoE还引入专家路由与all-to-all，因此互联不能只用单一峰值带宽描述。","多芯片训练与推理","S03|S05|S11|S14|S15","WF-CHEN-DNN-SURVEY|WF-STANFORD-DNNTRAIN-TUTORIAL|WF-MA-PATTERSON-LLM-INFERENCE|WF-GOOGLE-TPU8-SPLIT|WF-AWS-INFERENCE-GUIDANCE","4","跨资料结论","具体通信模式由并行策略、模型结构、batch和放置决定。","1"
"C13","调度与服务质量","推理架构必须把动态批处理、排队、隔离、路由、抢占和尾延迟纳入评价；训练侧更关注长作业吞吐、利用率、同步开销、故障恢复与goodput。","数据中心多租户系统","S02|S08|S12|S15","WF-COLTRAIN|WF-IEEE-IRDS-2023|WF-GOOGLE-ACCELERATOR-BENCHMARKING|WF-AWS-INFERENCE-GUIDANCE","4","跨资料结论","单芯片离线基准不能覆盖这些系统行为。","2"
"C14","功耗与部署","部署边界会重排架构优先级：边缘推理通常更受能耗、散热、容量与确定性时延约束，数据中心训练和推理则还受机架功率、利用率、网络和总拥有成本约束。","边缘与数据中心对照","S07|S09|S18","WF-REUTHER-SURVEY|WF-KOTLAR-DEPLOYMENT-SURVEY|WF-TPUV1","3","历史机制结论","主要证据来自CNN和早期数据中心推理，不能直接给现代LLM芯片定量排序。","3"
"C15","软件栈","编译器、算子库、运行时、批处理与服务调度会显著改变芯片利用率和阶段边界，因此端到端结果不能全部归因于芯片微架构。","训练与推理系统","S01|S04|S12|S13|S14","WF-S01-SOK|WF-HARVARD-MLSYS-TEXTBOOK|WF-GOOGLE-ACCELERATOR-BENCHMARKING|WF-GOOGLE-GEMMA-DEEPDIVE|WF-GOOGLE-TPU8-SPLIT","3","跨资料结论","同一厂商的S12至S14只证明厂商表述一致，不增加独立组织票。","1"
"C16","统一与组合架构","训练芯片和推理芯片不是绝对二分：共享矩阵核心、统一架构、分相部署、异构封装或可组合资源都能覆盖两类负载，区别更多表现为资源配比与系统目标的条件化选择。","通用加速器与可组合系统","S02|S03|S07|S13|S14|S15|S16|S17","WF-COLTRAIN|WF-CHEN-DNN-SURVEY|WF-REUTHER-SURVEY|WF-GOOGLE-GEMMA-DEEPDIVE|WF-GOOGLE-TPU8-SPLIT|WF-AWS-INFERENCE-GUIDANCE|WF-COPA-GPU|WF-SPRING","7","跨资料结论","特定成本或功耗约束下仍可能出现高度专用推理器件。","1"
"C17","混合专家模型","MoE把问题从单纯算力扩展到专家权重容量、路由、负载均衡和all-to-all通信；网络直径、时延和有效带宽可能直接影响训练与推理效率。","多芯片MoE","S11|S14","WF-MA-PATTERSON-LLM-INFERENCE|WF-GOOGLE-TPU8-SPLIT","2","厂商设计意图","S15明确未覆盖MoE；固定语料主要由S11与Google厂商来源支撑，外部E09/E10补充独立机制证据，仍缺跨芯片统一实测。","2"
"C18","派生指标","容量相对算力C_HBM/P_peak、带宽相对算力B_HBM/P_peak和状态适配比C_HBM/S_state是诊断量，不是用途标签；只有对象、精度、作用域和条件一致时才应计算。","芯片或封装级资料抽取","S04|S12|S19","WF-HARVARD-MLSYS-TEXTBOOK|WF-GOOGLE-ACCELERATOR-BENCHMARKING|WF-EYERISS-SURVEY","3","分析者推断","原语料没有把全部三个指标作为统一分类器验证。","2"
"C19","时代迁移","CNN时代关于数据移动、复用、累加位宽、稀疏格式和评价边界的机制仍可用于LLM分析，但AlexNet类复用倍数、稀疏率、能耗数字和CONV/FC比例不能直接迁移到预填充与解码。","传统DNN资料用于机制和历史边界","S03|S05|S07|S10|S17|S19|S04|S11","WF-CHEN-DNN-SURVEY|WF-STANFORD-DNNTRAIN-TUTORIAL|WF-REUTHER-SURVEY|WF-DEEP-LEARNING-COMPUTER-ARCHITECTS|WF-SPRING|WF-EYERISS-SURVEY|WF-HARVARD-MLSYS-TEXTBOOK|WF-MA-PATTERSON-LLM-INFERENCE","8","分析者综合","迁移是否成立需逐个机制和现代工作负载核对，不能一概而论。","1"
"C20","证据边界","这19份语料不足以支持跨厂商芯片的统一定量排名，也不足以证明一个普适的训练或推理HBM容量比、存算比阈值；可确认的是条件化因果关系和资料抽取方法。","固定19份语料及其披露边界","S01|S02|S03|S04|S05|S06|S07|S08|S09|S10|S11|S12|S13|S14|S15|S16|S17|S18|S19","WF-S01-SOK|WF-COLTRAIN|WF-CHEN-DNN-SURVEY|WF-HARVARD-MLSYS-TEXTBOOK|WF-STANFORD-DNNTRAIN-TUTORIAL|WF-REUTHER-SURVEY|WF-IEEE-IRDS-2023|WF-KOTLAR-DEPLOYMENT-SURVEY|WF-DEEP-LEARNING-COMPUTER-ARCHITECTS|WF-MA-PATTERSON-LLM-INFERENCE|WF-GOOGLE-ACCELERATOR-BENCHMARKING|WF-GOOGLE-GEMMA-DEEPDIVE|WF-GOOGLE-TPU8-SPLIT|WF-AWS-INFERENCE-GUIDANCE|WF-COPA-GPU|WF-SPRING|WF-TPUV1|WF-EYERISS-SURVEY","18","语料边界判断","这是对语料覆盖和口径不一致的审计结论，不是外部世界不存在规律的证明。","1"
