"error_id","occurred_at","classification","stage","action","observed","impact","resolution","approval_or_sandbox"
"ERR-MI455X-TXN-0011","2026-08-13","model_operator_mistake","candidate_oracle_script_edit","替换校验器正则","第一次用完整字符串替换时转义假设错误，未找到目标片段；第二次用通配表达式寻找包含美元符号的行，同样未命中。","两次修改命令均在写入前停止；脚本、正式库和输入未改变。","用字符串 Contains 精确找到对应行并替换。","not_applicable"
"ERR-MI455X-TXN-0012","2026-08-13","tool_runtime_failure","candidate_oracle_attempt_02","运行候选 oracle","外层命令超时设置仅 1 秒，工具在约 2 秒后以退出码 124 停止等待。","未观察到残留候选目录；随后用正常超时从缺失候选目录重新运行。正式库未改变。","把同一场景改用 600 秒上限，实际 28.4 秒完成。","not_applicable"
"ERR-MI455X-TXN-0013","2026-08-13","model_operator_mistake","executor_bulk_adaptation","把 AWS 模式脚本批量改名为 MI455X","不受控的全局字符串替换把若干参数声明和常量声明污染为拼接文本。","只影响准备目录内尚未运行的执行器副本；正式库和输入未改变。","逐行复读并修复五个参数声明和 rebase 常量，后续改用精确块替换。","not_applicable"
"ERR-MI455X-TXN-0014","2026-08-13","model_operator_mistake","executor_text_edit","替换独立复核字段和路径绑定","把空字符串变量值用作 Replace 的 oldValue，.NET 拒绝空 oldValue。","该次命令在部分早先替换已写入后报错；所有变化仍限于尚未执行的准备目录脚本。","复读实际文件，逐行修复受污染常量，再按非空精确片段完成替换。","not_applicable"
"ERR-MI455X-TXN-0015","2026-08-13","model_operator_mistake","replay_script_preparse","预解析授权行重放脚本","两处 foreach 写成 in 后未留空格，PowerShell 5 解析失败。","重放脚本未执行；正式库和镜像均未改变。","改为 foreach($x in $collection)，重新预解析通过。","not_applicable"
"ERR-MI455X-TXN-0016","2026-08-13","model_operator_mistake","executor_cleanup","删除继承自 AWS 模式的 junction 逻辑","两处 foreach 再次遗漏 in 后空格，清理命令在解析阶段失败。","执行器脚本未被该命令修改；正式库和输入未改变。","修正 PowerShell 语法后重新执行，并确认无 junction 创建语句残留。","not_applicable"
"ERR-MI455X-TXN-0017","2026-08-13","model_operator_mistake","executor_cleanup_preparse","预解析删除 junction 逻辑后的执行器","删除 finally 中的 junction 块时多保留了一个右花括号，预解析报告意外标记。","执行器尚未运行；正式库和输入未改变。","复读脚本尾部并删除完整残余块，预解析恢复。","not_applicable"
"ERR-MI455X-TXN-0018","2026-08-13","model_operator_mistake","executor_preflight_filter_edit","把预检 JSON 状态从 PASS 调整为 passed","第一次替换命令的双引号和正则引号组合解析失败。","命令在解析阶段停止；执行器、正式库和输入均未改变。","按完整行重写该过滤表达式并立即复读。","not_applicable"
"ERR-MI455X-TXN-0019","2026-08-13","model_operator_mistake","rehearsal_script_preparse","预解析场景演练脚本","多处 foreach 的 in 后没有空格，PowerShell 5 解析失败。","场景脚本没有运行；正式库和镜像未改变。","用限定正则只修正 foreach 语法，重新预解析通过。","not_applicable"
"ERR-MI455X-TXN-0020","2026-08-13","model_operator_implementation_error","rollback_scenario_01","运行三表替换后故障注入场景","场景辅助函数把 return 与变量无空格拼成 return$full；脚本能预解析，但运行时被当成不存在的命令。","失败发生在镜像复制早期，执行器未启动；正式库未改变。","修正场景脚本和重放脚本中 return 语句，重新预解析并从受控镜像重跑。","not_applicable"
"ERR-MI455X-TXN-0021","2026-08-13","model_operator_implementation_error","rollback_scenario_01_attempt_02","捕获预期的执行器非零退出并验证回滚","外层场景脚本保持 ErrorActionPreference=Stop，PowerShell 把执行器的预期非零退出作为异常抛出，未进入场景断言。","执行器内部回滚成功并保持镜像基线；正式库未改变。该次不计入合格场景。","调用执行器时临时使用 Continue，保存退出码后恢复 Stop。","not_applicable"
"ERR-MI455X-TXN-0022","2026-08-13","model_operator_implementation_error","rollback_scenario_01_attempt_03","验证场景后临时文件清零","清理检查误把受控镜像标记 .mi455x-formal-transaction-mirror 当作事务临时文件。","执行器仍在候选重放阶段提前失败并自报回滚成功；正式库未改变。该次不计入合格场景。","临时文件检查明确排除只读镜像标记，并继续排查候选重放的真实失败信息。","not_applicable"
"ERR-MI455X-TXN-0023","2026-08-13","model_operator_mistake","diagnostic_read","读取失败场景的 accepted-replay-output","该文件在执行器因 Stop 策略于写日志前中断时并未生成，直接 Get-Content 报路径不存在。","只读诊断失败；正式库和准备输入未改变。","改从 transaction-outcome 和 executor-output 追踪，并修复执行器对子进程非零输出的捕获。","not_applicable"
"ERR-MI455X-TXN-0024","2026-08-13","model_operator_implementation_error","rollback_scenario_01_attempt_04","运行三表替换后故障注入场景","场景脚本只检查 FAIL_ROLLED_BACK，未核错误是否来自预定注入点，因而把候选 endpoint 复制的父目录缺失误判为场景通过。","镜像和正式根均保持 f152，但未发生任何表替换；已立即撤回该合格结论。","新增必须匹配 INJECTED_TEST_FAILURE_AFTER_3_REPLACEMENTS 的硬门，并记录提交/回滚日志计数。","not_applicable"
"ERR-MI455X-TXN-0025","2026-08-13","model_operator_implementation_error","executor_candidate_root","让候选重放补齐本地 endpoint 文件","非正式事务临时根错误地放在 scripts 子目录，导致 candidateRoot 不在 PackageRoot 下；Get-ChildPath 把目标拼到 PackageRoot 外，随后 Copy 报父目录不存在。","候选阶段失败，0 张表提交，执行器内部回滚后镜像和正式根均未改变。","非正式事务临时根改到 PackageRoot 下，仍保持唯一 GUID 目录和 finally 清理。","not_applicable"
"ERR-MI455X-TXN-0026","2026-08-13","model_operator_mistake","scenario_gate_edit","给场景结果加入注入点匹配","第一次完整字符串替换没有找到与实际单行格式完全一致的片段。","修改命令在写入前停止；场景脚本和正式库未改变。","按包含 ConvertFrom-Json 的行定位后插入两个注入点硬门。","not_applicable"
"ERR-MI455X-TXN-0027","2026-08-13","model_operator_mistake","rehearsal_summary","汇总三个场景","statement-form foreach 中再次遗漏 in 后空格，PowerShell 在解析阶段失败。","汇总文件未由失败命令写入；三个场景原始结果和正式库均未改变。","修正为空格分隔后重新汇总，三行场景表和总摘要成功生成。","not_applicable"
"ERR-MI455X-TXN-0028","2026-08-13","model_operator_mistake","artifact_hash_inventory","列出执行器和最终日志哈希","statement-form foreach 中遗漏 in 后空格，命令在解析阶段失败。","只读清单未输出；文件和正式库未改变。","修正语法后完整复算哈希与大小。","not_applicable"
"ERR-MI455X-TXN-0029","2026-08-13","model_operator_implementation_error","negative_gate_suite_attempt_01","运行六项负向门","Run 辅助函数把 return 与类型字面量拼成 return[pscustomobject]，运行时被当成不存在的命令。","首个默认拒绝子检查已经运行，但汇总中断；正式根未改变。","修正所有 return 语句的空格并重新预解析，从头运行负向门。","not_applicable"
"ERR-MI455X-TXN-0030","2026-08-13","model_operator_mistake","negative_gate_suite_attempt_02","汇总六项负向门","Where-Object 被误写成无效的 property-mode 表达式，status-cnepassed 被当作属性名，运行到最终汇总时失败。","六个负向调用已经结束，但 negative-gates.csv 和摘要没有生成；后续成功重跑确认正式 aggregate 仍为 f152 且三个目标不存在。","改用脚本块 Where-Object { $_.status -cne 'passed' }，重新预解析并从头运行。","not_applicable"
"ERR-MI455X-TXN-0031","2026-08-13","model_operator_implementation_error","negative_gate_suite_attempt_03","构造错误 premerge 镜像","无 BOM 的 UTF-8 脚本含中文相对路径字面量，Windows PowerShell 5.1 按本地代码页读取后把 数据/facts.csv 解码成乱码路径。","前五项负向调用完成，第六项在修改镜像前中断；后续成功重跑确认正式 aggregate 和三个正式目标均未改变。","去掉脚本中的非 ASCII 路径字面量，从 formal-32-baseline.csv 按文件名唯一定位 facts.csv；PackageRoot 改为必填参数。","not_applicable"
"ERR-MI455X-TXN-0032","2026-08-13","model_operator_mistake","negative_gate_script_edit","替换非 ASCII 路径字面量","首次编辑命令对反引号与双引号的转义不正确，PowerShell 在解析阶段报 UnexpectedToken。","命令在读取和写入前即失败，脚本、镜像和正式库均未改变。","改用单引号字面量构造精确替换文本，写入后重新做非 ASCII 扫描和 PowerShell AST 预解析。","not_applicable"
