"field_id","domain","disposition","formal_record_ids","source_map_decisions","rationale"
"FIELD-COMP-ARRAY-SHAPE","compute","not_found","REQ-R1-GA100-V2-COMP-ARRAY-SHAPE","formal_fact_or_targeted_requirement","v2 closes FIELD-COMP-ARRAY-SHAPE with a legal fact or targeted requirement on a real formal entity; no auxiliary-only state remains."
"FIELD-COMP-CONCURRENCY","compute","pending","REQ-R1-GA100-V2-COMP-CONCURRENCY","formal_fact_or_targeted_requirement","v2 closes FIELD-COMP-CONCURRENCY with a legal fact or targeted requirement on a real formal entity; no auxiliary-only state remains."
"FIELD-COMP-CONTROL-SCHEDULING","compute","value","FACT-R1-GA100-AMPERE-BARRIER-SCHED|REQ-R1-GA100-AMPERE-BARRIER-SCHED","formal_fact_or_targeted_requirement","Complete the Ampere repair before relation projection. | MIG management behavior is not an unconditional full-die scheduler specification."
"FIELD-COMP-COUNT-RULE","compute","value","FACT-R1-GA100-FP16-COUNT-RULE|REQ-R1-GA100-FP16-COUNT-RULE","formal_fact_or_targeted_requirement","Use the registered enum. Per-SM FMA/clock must not be silently doubled into FLOP/clock."
"FIELD-COMP-DATAFLOW-RESIDENCY","compute","pending","REQ-R1-GA100-V2-COMP-DATAFLOW-RESIDENCY","formal_fact_or_targeted_requirement","v2 closes FIELD-COMP-DATAFLOW-RESIDENCY with a legal fact or targeted requirement on a real formal entity; no auxiliary-only state remains."
"FIELD-COMP-EXECUTION","compute","value","FACT-M2NA-AMPERE-CUDA-EXEC|FACT-M2NA-AMPERE-SM-EXEC|FACT-M2NA-AMPERE-TENSOR-EXEC|REQ-M2NA-AVAIL-0001|REQ-M2NA-AVAIL-0002|REQ-M2NA-AVAIL-0004","formal_fact_or_targeted_requirement","Figure 7 alone does not directly state SIMT, use the repaired dual-source chain."
"FIELD-COMP-INSTRUCTION-TILE","compute","pending","REQ-R1-GA100-V2-COMP-INSTRUCTION-TILE","formal_fact_or_targeted_requirement","v2 closes FIELD-COMP-INSTRUCTION-TILE with a legal fact or targeted requirement on a real formal entity; no auxiliary-only state remains."
"FIELD-COMP-ISSUE-WIDTH","compute","value","FACT-R1-GA100-SM-ISSUE|REQ-R1-GA100-SM-ISSUE","formal_fact_or_targeted_requirement","Keep the per-block label and do not equate it with warp size or aggregate instruction issue."
"FIELD-COMP-SHARED-RESOURCE","compute","value","FACT-R1-GA100-SM-SHARED|REQ-R1-GA100-SM-SHARED","formal_fact_or_targeted_requirement","The existing Tensor-format shared-resource fact must be deleted before reuse."
"FIELD-COMP-THROUGHPUT","compute","value","FACT-R1-GA100-FP16-FMA-PER-SM|REQ-R1-GA100-FP16-FMA-PER-SM","formal_fact_or_targeted_requirement","Per-SM per-clock throughput is separable from A100 product aggregate peaks. | Do not write A100 aggregate peaks as full GA100 throughput. | The values resemble official TFLOPS/TOPS but the author unit cannot be silently corrected."
"FIELD-COMP-UNIT-COUNT","compute","value","FACT-R1-GA100-COMP-COUNT-FP32|FACT-R1-GA100-COMP-COUNT-GPC|FACT-R1-GA100-COMP-COUNT-MEMCTRL|FACT-R1-GA100-COMP-COUNT-SM|FACT-R1-GA100-COMP-COUNT-TENSOR|FACT-R1-GA100-COMP-COUNT-TPC|REQ-R1-GA100-COMP-COUNT-FP32|REQ-R1-GA100-COMP-COUNT-GPC|REQ-R1-GA100-COMP-COUNT-MEMCTRL|REQ-R1-GA100-COMP-COUNT-SM|REQ-R1-GA100-COMP-COUNT-TENSOR|REQ-R1-GA100-COMP-COUNT-TPC","formal_fact_or_targeted_requirement","Whitepaper p.19 explicitly distinguishes full GA100 from A100 implementation. | These counts are retained only as implementation-boundary evidence."
"FIELD-COMP-UNIT-NAME","compute","value","FACT-R1-GA100-COMP-NAME-FP32|FACT-R1-GA100-COMP-NAME-GPC|FACT-R1-GA100-COMP-NAME-L1SMEM|FACT-R1-GA100-COMP-NAME-L2|FACT-R1-GA100-COMP-NAME-MEMCTRL|FACT-R1-GA100-COMP-NAME-OFA|FACT-R1-GA100-COMP-NAME-REG|FACT-R1-GA100-COMP-NAME-SM|FACT-R1-GA100-COMP-NAME-TENSOR|FACT-R1-GA100-COMP-NAME-TPC|FACT-R1-GA100-COMP-NAME-VIDEO-DECODE|REQ-R1-GA100-COMP-NAME-FP32|REQ-R1-GA100-COMP-NAME-GPC|REQ-R1-GA100-COMP-NAME-L1SMEM|REQ-R1-GA100-COMP-NAME-L2|REQ-R1-GA100-COMP-NAME-MEMCTRL|REQ-R1-GA100-COMP-NAME-OFA|REQ-R1-GA100-COMP-NAME-REG|REQ-R1-GA100-COMP-NAME-SM|REQ-R1-GA100-COMP-NAME-TENSOR|REQ-R1-GA100-COMP-NAME-TPC|REQ-R1-GA100-COMP-NAME-VIDEO-DECODE","formal_fact_or_targeted_requirement","Create component records during staging rather than attaching all component facts to the object."
"FIELD-COMP-UTILIZATION-LIMIT","compute","pending","REQ-R1-GA100-V2-COMP-UTILIZATION-LIMIT","formal_fact_or_targeted_requirement","v2 closes FIELD-COMP-UTILIZATION-LIMIT with a legal fact or targeted requirement on a real formal entity; no auxiliary-only state remains."
"FIELD-COMP-VENDOR-AI-TOPS","compute","not_applicable","REQ-M2NA-GAP-0001|REQ-R1-GA100-COMP-VENDOR-TOPS","formal_fact_or_targeted_requirement","Vendor aggregate AI peaks are stated for A100 products, not the frozen die object."
"FIELD-DER-CAPACITY-COMPUTE","derived","pending","REQ-R1-GA100-V2-DER-CAPACITY-COMPUTE","formal_fact_or_targeted_requirement","v2 closes FIELD-DER-CAPACITY-COMPUTE with a legal fact or targeted requirement on a real formal entity; no auxiliary-only state remains."
"FIELD-DER-COMPUTE-BW-SPEC","derived","pending","REQ-M2NA-GAP-0005|REQ-R1-GA100-V2-DER-COMPUTE-BW-SPEC","formal_fact_or_targeted_requirement","v2 closes FIELD-DER-COMPUTE-BW-SPEC with a legal fact or targeted requirement on a real formal entity; no auxiliary-only state remains."
"FIELD-DER-COMPUTE-BW-SUSTAINED","derived","pending","REQ-R1-GA100-V2-DER-COMPUTE-BW-SUSTAINED","formal_fact_or_targeted_requirement","v2 closes FIELD-DER-COMPUTE-BW-SUSTAINED with a legal fact or targeted requirement on a real formal entity; no auxiliary-only state remains."
"FIELD-DER-INTERCONNECT-COMPUTE","derived","pending","REQ-R1-GA100-V2-DER-INTERCONNECT-COMPUTE","formal_fact_or_targeted_requirement","v2 closes FIELD-DER-INTERCONNECT-COMPUTE with a legal fact or targeted requirement on a real formal entity; no auxiliary-only state remains."
"FIELD-DER-MATRIX-VECTOR","derived","pending","REQ-M2NA-GAP-0006","formal_fact_or_targeted_requirement","No compatible vector peak was found."
"FIELD-DER-MOVE-MATRIX","derived","pending","REQ-R1-GA100-V2-DER-MOVE-MATRIX","formal_fact_or_targeted_requirement","v2 closes FIELD-DER-MOVE-MATRIX with a legal fact or targeted requirement on a real formal entity; no auxiliary-only state remains."
"FIELD-ECON-PUBLISHED-PRICE","economics","not_found","REQ-R1-GA100-ECON-PRICE","formal_fact_or_targeted_requirement","A100 card, cloud, DGX/HGX and secondary-market prices cannot be divided down to the die."
"FIELD-ID-ARCH","identity","value","REQ-R1-GA100-ID-ARCH","formal_fact_or_targeted_requirement","Project architecture field must project from the relationship and must not create an Ampere text fact."
"FIELD-ID-AVAILABILITY-DATE","identity","pending","REQ-R1-GA100-ID-AVAIL","formal_fact_or_targeted_requirement","A100 product availability cannot automatically become the die availability date."
"FIELD-ID-DATA-CUTOFF","identity","pending","REQ-R1-GA100-ID-DATA-CUTOFF","formal_fact_or_targeted_requirement","Administrative metadata, not a vendor specification."
"FIELD-ID-DEPLOYMENT","identity","pending","REQ-R1-GA100-V2-ID-DEPLOYMENT","formal_fact_or_targeted_requirement","v2 closes FIELD-ID-DEPLOYMENT with a legal fact or targeted requirement on a real formal entity; no auxiliary-only state remains."
"FIELD-ID-DEPLOYMENT-CONSTRAINT","identity","not_applicable","REQ-R1-GA100-V2-ID-DEPLOYMENT-CONSTRAINT","formal_fact_or_targeted_requirement","v2 closes FIELD-ID-DEPLOYMENT-CONSTRAINT with a legal fact or targeted requirement on a real formal entity; no auxiliary-only state remains."
"FIELD-ID-DESIGN-OBJECTIVE","identity","pending","REQ-R1-GA100-V2-ID-DESIGN-OBJECTIVE","formal_fact_or_targeted_requirement","v2 closes FIELD-ID-DESIGN-OBJECTIVE with a legal fact or targeted requirement on a real formal entity; no auxiliary-only state remains."
"FIELD-ID-FAMILY","identity","value","FACT-R1-GA100-ID-FAMILY|REQ-R1-GA100-ID-FAMILY","formal_fact_or_targeted_requirement","The whitepaper and MIG support mapping stabilize the GA100 identity."
"FIELD-ID-MARKET-ACCESS-CONSTRAINT","identity","pending","REQ-R1-GA100-V2-ID-MARKET-ACCESS-CONSTRAINT","formal_fact_or_targeted_requirement","v2 closes FIELD-ID-MARKET-ACCESS-CONSTRAINT with a legal fact or targeted requirement on a real formal entity; no auxiliary-only state remains."
"FIELD-ID-NAME","identity","value","FACT-R1-GA100-ID-NAME|REQ-R1-GA100-ID-NAME","formal_fact_or_targeted_requirement","The object name must remain distinct from A100 products and from the Ampere architecture object."
"FIELD-ID-OBJECT-TYPE","identity","value","FACT-R1-GA100-ID-TYPE|REQ-R1-GA100-ID-TYPE","formal_fact_or_targeted_requirement","Die photo and direct GA100 GPU wording support the physical-object interpretation."
"FIELD-ID-REGION","identity","not_applicable","REQ-R1-GA100-V2-ID-REGION","formal_fact_or_targeted_requirement","v2 closes FIELD-ID-REGION with a legal fact or targeted requirement on a real formal entity; no auxiliary-only state remains."
"FIELD-ID-RELEASE-DATE","identity","pending","REQ-R1-GA100-V2-ID-RELEASE-DATE","formal_fact_or_targeted_requirement","v2 closes FIELD-ID-RELEASE-DATE with a legal fact or targeted requirement on a real formal entity; no auxiliary-only state remains."
"FIELD-ID-SKU","identity","not_applicable","REQ-R1-GA100-V2-ID-SKU","formal_fact_or_targeted_requirement","v2 closes FIELD-ID-SKU with a legal fact or targeted requirement on a real formal entity; no auxiliary-only state remains."
"FIELD-ID-STATUS","identity","pending","REQ-R1-GA100-ID-STATUS","formal_fact_or_targeted_requirement","This is the project scope status, not a claim of separate die market availability."
"FIELD-ID-TARGET-USE-POSITIONING","identity","pending","REQ-R1-GA100-V2-ID-TARGET-USE-POSITIONING","formal_fact_or_targeted_requirement","v2 closes FIELD-ID-TARGET-USE-POSITIONING with a legal fact or targeted requirement on a real formal entity; no auxiliary-only state remains."
"FIELD-ID-VENDOR","identity","value","FACT-R1-GA100-ID-VENDOR|REQ-R1-GA100-ID-VENDOR","formal_fact_or_targeted_requirement","Direct first-party identity evidence."
"FIELD-ID-VENDOR-POSITIONING","identity","pending","REQ-R1-GA100-V2-ID-VENDOR-POSITIONING","formal_fact_or_targeted_requirement","v2 closes FIELD-ID-VENDOR-POSITIONING with a legal fact or targeted requirement on a real formal entity; no auxiliary-only state remains."
"FIELD-INT-AGGREGATE-BW","interconnect","pending","REQ-M2NA-GAP-0151|REQ-R1-GA100-V2-INT-AGGREGATE-BW","formal_fact_or_targeted_requirement","v2 closes FIELD-INT-AGGREGATE-BW with a legal fact or targeted requirement on a real formal entity; no auxiliary-only state remains."
"FIELD-INT-BISECTION-BW","interconnect","not_found","REQ-R1-GA100-V2-INT-BISECTION-BW","formal_fact_or_targeted_requirement","v2 closes FIELD-INT-BISECTION-BW with a legal fact or targeted requirement on a real formal entity; no auxiliary-only state remains."
"FIELD-INT-COLLECTIVE","interconnect","not_found","REQ-R1-GA100-V2-INT-COLLECTIVE","formal_fact_or_targeted_requirement","v2 closes FIELD-INT-COLLECTIVE with a legal fact or targeted requirement on a real formal entity; no auxiliary-only state remains."
"FIELD-INT-DEGREE","interconnect","not_found","REQ-R1-GA100-V2-INT-DEGREE","formal_fact_or_targeted_requirement","v2 closes FIELD-INT-DEGREE with a legal fact or targeted requirement on a real formal entity; no auxiliary-only state remains."
"FIELD-INT-FAULT","interconnect","value","FACT-R1-GA100-AMPERE-NVLINK-FAULT|FACT-R1-GA100-AMPERE-NVLINK-LR-FAULT|REQ-R1-GA100-AMPERE-NVLINK-FAULT|REQ-R1-GA100-AMPERE-NVLINK-LR-FAULT","formal_fact_or_targeted_requirement","Do not generalize link fault handling to compute replay or job restart."
"FIELD-INT-HOPS","interconnect","not_found","REQ-R1-GA100-V2-INT-HOPS","formal_fact_or_targeted_requirement","v2 closes FIELD-INT-HOPS with a legal fact or targeted requirement on a real formal entity; no auxiliary-only state remains."
"FIELD-INT-INJECTION-BW","interconnect","pending","REQ-R1-GA100-V2-INT-INJECTION-BW","formal_fact_or_targeted_requirement","v2 closes FIELD-INT-INJECTION-BW with a legal fact or targeted requirement on a real formal entity; no auxiliary-only state remains."
"FIELD-INT-LANE-COUNT","interconnect","pending","REQ-R1-GA100-V2-INT-LANE-COUNT","formal_fact_or_targeted_requirement","v2 closes FIELD-INT-LANE-COUNT with a legal fact or targeted requirement on a real formal entity; no auxiliary-only state remains."
"FIELD-INT-LATENCY","interconnect","not_found","REQ-R1-GA100-V2-INT-LATENCY","formal_fact_or_targeted_requirement","v2 closes FIELD-INT-LATENCY with a legal fact or targeted requirement on a real formal entity; no auxiliary-only state remains."
"FIELD-INT-LINK-COUNT","interconnect","pending","REQ-R1-GA100-V2-INT-LINK-COUNT","formal_fact_or_targeted_requirement","v2 closes FIELD-INT-LINK-COUNT with a legal fact or targeted requirement on a real formal entity; no auxiliary-only state remains."
"FIELD-INT-MAX-SCALE","interconnect","not_applicable","REQ-R1-GA100-V2-INT-MAX-SCALE","formal_fact_or_targeted_requirement","v2 closes FIELD-INT-MAX-SCALE with a legal fact or targeted requirement on a real formal entity; no auxiliary-only state remains."
"FIELD-INT-OVERSUBSCRIPTION","interconnect","not_applicable","REQ-R1-GA100-V2-INT-OVERSUBSCRIPTION","formal_fact_or_targeted_requirement","v2 closes FIELD-INT-OVERSUBSCRIPTION with a legal fact or targeted requirement on a real formal entity; no auxiliary-only state remains."
"FIELD-INT-PER-LINK-RATE","interconnect","pending","REQ-R1-GA100-V2-INT-PER-LINK-RATE","formal_fact_or_targeted_requirement","v2 closes FIELD-INT-PER-LINK-RATE with a legal fact or targeted requirement on a real formal entity; no auxiliary-only state remains."
"FIELD-INT-PHYSICAL-LINK-COUNT","interconnect","pending","REQ-R1-GA100-V2-INT-PHYSICAL-LINK-COUNT","formal_fact_or_targeted_requirement","v2 closes FIELD-INT-PHYSICAL-LINK-COUNT with a legal fact or targeted requirement on a real formal entity; no auxiliary-only state remains."
"FIELD-INT-PROTOCOL","interconnect","value","FACT-M2NA-AMPERE-NVLINK-PROTOCOL|FACT-R1-GA100-AMPERE-NVLINK-LR-PHY|FACT-R1-GA100-PCIE-PROTOCOL|REQ-M2NA-AVAIL-0020|REQ-R1-GA100-AMPERE-NVLINK-LR-PHY|REQ-R1-GA100-PCIE-PROTOCOL","formal_fact_or_targeted_requirement","Existing formal protocol fact remains on the architecture link. | Do not add A100 PCIe x16 31.5 GB/s or SR-IOV values without product/software conditions."
"FIELD-INT-REMOTE-MEMORY","interconnect","value","FACT-R1-GA100-AMPERE-NVLINK-REMOTE-MEMORY|REQ-R1-GA100-AMPERE-NVLINK-REMOTE-MEMORY","formal_fact_or_targeted_requirement","v2 closes FIELD-INT-REMOTE-MEMORY with a legal fact or targeted requirement on a real formal entity; no auxiliary-only state remains."
"FIELD-INT-TOPOLOGY","interconnect","not_found","REQ-R1-GA100-V2-INT-TOPOLOGY","formal_fact_or_targeted_requirement","v2 closes FIELD-INT-TOPOLOGY with a legal fact or targeted requirement on a real formal entity; no auxiliary-only state remains."
"FIELD-INT-TOPOLOGY-DIMENSIONS","interconnect","not_found","REQ-R1-GA100-V2-INT-TOPOLOGY-DIMENSIONS","formal_fact_or_targeted_requirement","v2 closes FIELD-INT-TOPOLOGY-DIMENSIONS with a legal fact or targeted requirement on a real formal entity; no auxiliary-only state remains."
"FIELD-INT-TOPOLOGY-NODE-COUNT","interconnect","not_found","REQ-R1-GA100-V2-INT-TOPOLOGY-NODE-COUNT","formal_fact_or_targeted_requirement","v2 closes FIELD-INT-TOPOLOGY-NODE-COUNT with a legal fact or targeted requirement on a real formal entity; no auxiliary-only state remains."
"FIELD-INT-TOPOLOGY-ROUTING","interconnect","not_found","REQ-R1-GA100-V2-INT-TOPOLOGY-ROUTING","formal_fact_or_targeted_requirement","v2 closes FIELD-INT-TOPOLOGY-ROUTING with a legal fact or targeted requirement on a real formal entity; no auxiliary-only state remains."
"FIELD-MEM-AGGREGATION-VALIDITY","memory","value","FACT-R1-GA100-REG-AGGREGATION|REQ-R1-GA100-REG-AGGREGATION","formal_fact_or_targeted_requirement","Use the registered enum. Per-SM capacities must not become one software-visible shared pool."
"FIELD-MEM-BANKS","memory","not_found","REQ-R1-GA100-V2-MEM-BANKS","formal_fact_or_targeted_requirement","v2 closes FIELD-MEM-BANKS with a legal fact or targeted requirement on a real formal entity; no auxiliary-only state remains."
"FIELD-MEM-BIDIR-BW","memory","not_found","REQ-R1-GA100-V2-MEM-BIDIR-BW","formal_fact_or_targeted_requirement","v2 closes FIELD-MEM-BIDIR-BW with a legal fact or targeted requirement on a real formal entity; no auxiliary-only state remains."
"FIELD-MEM-CAPACITY","memory","value","FACT-R1-GA100-L1SMEM-CAPACITY-PER-SM|FACT-R1-GA100-REG-CAPACITY-PER-SM|REQ-R1-GA100-L1SMEM-CAPACITY-PER-SM|REQ-R1-GA100-REG-CAPACITY-PER-SM","formal_fact_or_targeted_requirement","Figure 7 and the whitepaper directly support GA100 SM capacities. | These values cannot become unconditional full-GA100 capacities."
"FIELD-MEM-COMPRESSION","memory","pending","REQ-R1-GA100-V2-MEM-COMPRESSION","formal_fact_or_targeted_requirement","v2 closes FIELD-MEM-COMPRESSION with a legal fact or targeted requirement on a real formal entity; no auxiliary-only state remains."
"FIELD-MEM-CONSISTENCY","memory","pending","REQ-R1-GA100-V2-MEM-CONSISTENCY","formal_fact_or_targeted_requirement","v2 closes FIELD-MEM-CONSISTENCY with a legal fact or targeted requirement on a real formal entity; no auxiliary-only state remains."
"FIELD-MEM-DMA","memory","value","FACT-M2NA-AMPERE-ASYNC-EXEC|REQ-M2NA-AVAIL-0005","formal_fact_or_targeted_requirement","Repair the existing fact from execution-model to DMA before reuse."
"FIELD-MEM-GRANULARITY","memory","pending","REQ-R1-GA100-V2-MEM-GRANULARITY","formal_fact_or_targeted_requirement","v2 closes FIELD-MEM-GRANULARITY with a legal fact or targeted requirement on a real formal entity; no auxiliary-only state remains."
"FIELD-MEM-INSTANCE-COUNT","memory","value","FACT-R1-GA100-REG-INSTANCE-COUNT-PER-SM|REQ-R1-GA100-REG-INSTANCE-COUNT-PER-SM","formal_fact_or_targeted_requirement","Do not turn A100 L2 slices or 2024 resource groups into full-GA100 instance counts."
"FIELD-MEM-LATENCY","memory","pending","REQ-R1-GA100-V2-MEM-LATENCY","formal_fact_or_targeted_requirement","v2 closes FIELD-MEM-LATENCY with a legal fact or targeted requirement on a real formal entity; no auxiliary-only state remains."
"FIELD-MEM-LOCALITY-SCOPE","memory","value","FACT-M2NA-AMPERE-L1SMEM-SCOPE|REQ-M2NA-AVAIL-0007","formal_fact_or_targeted_requirement","v2 closes FIELD-MEM-LOCALITY-SCOPE with a legal fact or targeted requirement on a real formal entity; no auxiliary-only state remains."
"FIELD-MEM-MANAGEMENT","memory","value","FACT-M2NA-AMPERE-L1SMEM-MGMT|REQ-M2NA-AVAIL-0006","formal_fact_or_targeted_requirement","v2 closes FIELD-MEM-MANAGEMENT with a legal fact or targeted requirement on a real formal entity; no auxiliary-only state remains."
"FIELD-MEM-NAME","memory","value","FACT-R1-GA100-MEM-NAME-L1SMEM|FACT-R1-GA100-MEM-NAME-L2|FACT-R1-GA100-MEM-NAME-REG|REQ-R1-GA100-MEM-NAME-L1SMEM|REQ-R1-GA100-MEM-NAME-L2|REQ-R1-GA100-MEM-NAME-REG","formal_fact_or_targeted_requirement","v2 closes FIELD-MEM-NAME with a legal fact or targeted requirement on a real formal entity; no auxiliary-only state remains."
"FIELD-MEM-POOLING-MODE","memory","pending","REQ-R1-GA100-V2-MEM-POOLING-MODE","formal_fact_or_targeted_requirement","v2 closes FIELD-MEM-POOLING-MODE with a legal fact or targeted requirement on a real formal entity; no auxiliary-only state remains."
"FIELD-MEM-PORTS","memory","not_found","REQ-R1-GA100-V2-MEM-PORTS","formal_fact_or_targeted_requirement","v2 closes FIELD-MEM-PORTS with a legal fact or targeted requirement on a real formal entity; no auxiliary-only state remains."
"FIELD-MEM-READ-BW","memory","conditional","REQ-M2NA-GAP-0109|REQ-M2NA-GAP-0111|REQ-M2NA-GAP-0113","formal_fact_or_targeted_requirement","Product-level approximate observations only, no GA100 die nameplate or sustained bandwidth."
"FIELD-MEM-READ-TRANSFER-PER-CYCLE","memory","pending","REQ-R1-GA100-V2-MEM-READ-TRANSFER-PER-CYCLE","formal_fact_or_targeted_requirement","v2 closes FIELD-MEM-READ-TRANSFER-PER-CYCLE with a legal fact or targeted requirement on a real formal entity; no auxiliary-only state remains."
"FIELD-MEM-READ-WRITE-MODEL","memory","not_found","REQ-R1-GA100-V2-MEM-READ-WRITE-MODEL","formal_fact_or_targeted_requirement","v2 closes FIELD-MEM-READ-WRITE-MODEL with a legal fact or targeted requirement on a real formal entity; no auxiliary-only state remains."
"FIELD-MEM-USABLE-CAPACITY","memory","pending","REQ-R1-GA100-V2-MEM-USABLE-CAPACITY","formal_fact_or_targeted_requirement","v2 closes FIELD-MEM-USABLE-CAPACITY with a legal fact or targeted requirement on a real formal entity; no auxiliary-only state remains."
"FIELD-MEM-VIRTUAL-MEMORY","memory","pending","REQ-R1-GA100-V2-MEM-VIRTUAL-MEMORY","formal_fact_or_targeted_requirement","v2 closes FIELD-MEM-VIRTUAL-MEMORY with a legal fact or targeted requirement on a real formal entity; no auxiliary-only state remains."
"FIELD-MEM-WRITE-BW","memory","not_found","REQ-M2NA-GAP-0110|REQ-M2NA-GAP-0112|REQ-M2NA-GAP-0114","formal_fact_or_targeted_requirement","Compression upper bounds and HBM product labels do not give a GA100 component write bandwidth."
"FIELD-MEM-WRITE-TRANSFER-PER-CYCLE","memory","not_found","REQ-R1-GA100-V2-MEM-WRITE-TRANSFER-PER-CYCLE","formal_fact_or_targeted_requirement","v2 closes FIELD-MEM-WRITE-TRANSFER-PER-CYCLE with a legal fact or targeted requirement on a real formal entity; no auxiliary-only state remains."
"FIELD-NUM-ACCUMULATION","numerics","value","FACT-M2NA-AMPERE-BF16-ACC|FACT-M2NA-AMPERE-FP16-ACC|FACT-M2NA-AMPERE-TF32-ACC|FACT-R1-GA100-AMPERE-BINARY-ACC|FACT-R1-GA100-AMPERE-FP16-ACC16-ACC|FACT-R1-GA100-AMPERE-FP64-ACC|FACT-R1-GA100-AMPERE-INT4-ACC|FACT-R1-GA100-AMPERE-INT8-ACC|FACT-R1-GA100-FP16-ACC|REQ-M2NA-AVAIL-0010|REQ-M2NA-AVAIL-0012|REQ-M2NA-AVAIL-0014|REQ-R1-GA100-AMPERE-BINARY-ACC|REQ-R1-GA100-AMPERE-FP16-ACC16-ACC|REQ-R1-GA100-AMPERE-FP64-ACC|REQ-R1-GA100-AMPERE-INT4-ACC|REQ-R1-GA100-AMPERE-INT8-ACC|REQ-R1-GA100-FP16-ACC","formal_fact_or_targeted_requirement","Use repaired path-complete facts and do not label them physical accumulator widths."
"FIELD-NUM-CONVERSION","numerics","value","FACT-R1-GA100-AMPERE-TF32-CONVERSION|REQ-R1-GA100-AMPERE-TF32-CONVERSION","formal_fact_or_targeted_requirement","Keep conversion separate from operand identity and output storage."
