"fact_id","object_id","component_id","link_id","object_relation_id","precision_path_id","capability_id","topology_id","field_id","normalized_value_text","normalized_value_number","normalized_unit","condition_set_id","fact_kind","evidence_state","resolution_state","valid_from","valid_to","confidence","confidence_reason","fact_fingerprint","review_status","notes"
"FACT-M2NA-AMPERE-ASYNC-EXEC","","COMP-M2NA-AMPERE-ASYNC-COPY","","","","","","FIELD-MEM-DMA","Asynchronous global-memory-to-shared-memory copy without register-file staging.","","","COND-NONE","direct_statement","corroborated","provisional","","","high","Whitepaper mechanism statement qualified by the PTX sm_80 instruction boundary.","component|COMP-M2NA-AMPERE-ASYNC-COPY|FIELD-MEM-DMA|Asynchronous global-memory-to-shared-memory copy without register-file staging.|||COND-NONE","draft","The barrier is modeled separately. This does not assert a standalone DMA engine, queue depth, throughput, or latency. Modified lifecycle remains draft until formal merge review and hard gates."
"FACT-R1-GA100-AMPERE-BINARY-ACC","","","","","PPATH-R1-GA100-AMPERE-TENSOR-BINARY","","","FIELD-NUM-ACCUMULATION","INT32","","","COND-NONE","direct_statement","single_source","provisional","","","high","Direct fixed-source statement.","precision_path|PPATH-R1-GA100-AMPERE-TENSOR-BINARY|FIELD-NUM-ACCUMULATION|INT32|||COND-NONE","draft","Programmer-visible contract. No physical internal accumulator or output format is inferred unless the field says so."
"FACT-R1-GA100-AMPERE-BINARY-B","","","","","PPATH-R1-GA100-AMPERE-TENSOR-BINARY","","","FIELD-NUM-OPERAND-B","Binary","","","COND-NONE","direct_statement","single_source","provisional","","","high","Direct fixed-source statement.","precision_path|PPATH-R1-GA100-AMPERE-TENSOR-BINARY|FIELD-NUM-OPERAND-B|Binary|||COND-NONE","draft","Programmer-visible contract. No physical internal accumulator or output format is inferred unless the field says so."
"FACT-R1-GA100-AMPERE-FP16-ACC16-A","","","","","PPATH-R1-GA100-AMPERE-TENSOR-FP16-ACC16","","","FIELD-NUM-OPERAND-A","FP16","","","COND-NONE","direct_statement","single_source","provisional","","","high","Direct fixed-source statement.","precision_path|PPATH-R1-GA100-AMPERE-TENSOR-FP16-ACC16|FIELD-NUM-OPERAND-A|FP16|||COND-NONE","draft","Programmer-visible Table 3 contract. No product, output, physical accumulation, rounding, scaling, saturation, subnormal, or sparse behavior is inferred."
"FACT-R1-GA100-AMPERE-FP16-ACC16-ACC","","","","","PPATH-R1-GA100-AMPERE-TENSOR-FP16-ACC16","","","FIELD-NUM-ACCUMULATION","FP16","","","COND-NONE","direct_statement","single_source","provisional","","","high","Direct fixed-source statement.","precision_path|PPATH-R1-GA100-AMPERE-TENSOR-FP16-ACC16|FIELD-NUM-ACCUMULATION|FP16|||COND-NONE","draft","Programmer-visible Table 3 contract. No product, output, physical accumulation, rounding, scaling, saturation, subnormal, or sparse behavior is inferred."
"FACT-R1-GA100-AMPERE-FP16-ACC16-B","","","","","PPATH-R1-GA100-AMPERE-TENSOR-FP16-ACC16","","","FIELD-NUM-OPERAND-B","FP16","","","COND-NONE","direct_statement","single_source","provisional","","","high","Direct fixed-source statement.","precision_path|PPATH-R1-GA100-AMPERE-TENSOR-FP16-ACC16|FIELD-NUM-OPERAND-B|FP16|||COND-NONE","draft","Programmer-visible Table 3 contract. No product, output, physical accumulation, rounding, scaling, saturation, subnormal, or sparse behavior is inferred."
"FACT-R1-GA100-AMPERE-FP64-ACC","","","","","PPATH-M2NA-AMPERE-TENSOR-FP64","","","FIELD-NUM-ACCUMULATION","IEEE FP64","","","COND-NONE","direct_statement","single_source","provisional","","","high","Direct fixed-source statement.","precision_path|PPATH-M2NA-AMPERE-TENSOR-FP64|FIELD-NUM-ACCUMULATION|IEEE FP64|||COND-NONE","draft","Programmer-visible contract. No physical internal accumulator or output format is inferred unless the field says so."
"FACT-R1-GA100-AMPERE-FP64-B","","","","","PPATH-M2NA-AMPERE-TENSOR-FP64","","","FIELD-NUM-OPERAND-B","IEEE FP64","","","COND-NONE","direct_statement","single_source","provisional","","","high","Direct fixed-source statement.","precision_path|PPATH-M2NA-AMPERE-TENSOR-FP64|FIELD-NUM-OPERAND-B|IEEE FP64|||COND-NONE","draft","Programmer-visible contract. No physical internal accumulator or output format is inferred unless the field says so."
"FACT-R1-GA100-AMPERE-INT4-A","","","","","PPATH-R1-GA100-AMPERE-TENSOR-INT4","","","FIELD-NUM-OPERAND-A","INT4","","","COND-NONE","direct_statement","single_source","provisional","","","high","Direct fixed-source statement.","precision_path|PPATH-R1-GA100-AMPERE-TENSOR-INT4|FIELD-NUM-OPERAND-A|INT4|||COND-NONE","draft","Programmer-visible contract. No physical internal accumulator or output format is inferred unless the field says so."
"FACT-R1-GA100-AMPERE-INT4-ACC","","","","","PPATH-R1-GA100-AMPERE-TENSOR-INT4","","","FIELD-NUM-ACCUMULATION","INT32","","","COND-NONE","direct_statement","single_source","provisional","","","high","Direct fixed-source statement.","precision_path|PPATH-R1-GA100-AMPERE-TENSOR-INT4|FIELD-NUM-ACCUMULATION|INT32|||COND-NONE","draft","Programmer-visible contract. No physical internal accumulator or output format is inferred unless the field says so."
"FACT-R1-GA100-AMPERE-INT4-B","","","","","PPATH-R1-GA100-AMPERE-TENSOR-INT4","","","FIELD-NUM-OPERAND-B","INT4","","","COND-NONE","direct_statement","single_source","provisional","","","high","Direct fixed-source statement.","precision_path|PPATH-R1-GA100-AMPERE-TENSOR-INT4|FIELD-NUM-OPERAND-B|INT4|||COND-NONE","draft","Programmer-visible contract. No physical internal accumulator or output format is inferred unless the field says so."
"FACT-R1-GA100-AMPERE-INT8-ACC","","","","","PPATH-M2NA-AMPERE-TENSOR-INT8","","","FIELD-NUM-ACCUMULATION","INT32","","","COND-NONE","direct_statement","single_source","provisional","","","high","Direct fixed-source statement.","precision_path|PPATH-M2NA-AMPERE-TENSOR-INT8|FIELD-NUM-ACCUMULATION|INT32|||COND-NONE","draft","Programmer-visible contract. No physical internal accumulator or output format is inferred unless the field says so."
"FACT-R1-GA100-AMPERE-INT8-B","","","","","PPATH-M2NA-AMPERE-TENSOR-INT8","","","FIELD-NUM-OPERAND-B","INT8","","","COND-NONE","direct_statement","single_source","provisional","","","high","Direct fixed-source statement.","precision_path|PPATH-M2NA-AMPERE-TENSOR-INT8|FIELD-NUM-OPERAND-B|INT8|||COND-NONE","draft","Programmer-visible contract. No physical internal accumulator or output format is inferred unless the field says so."
"FACT-R1-GA100-AMPERE-NVLINK-FAULT","","","LINK-M2NA-AMPERE-NVLINK3","","","","","FIELD-INT-FAULT","NVLink 3 improves link-level error detection and recovery.","","","COND-NONE","direct_statement","single_source","provisional","","","high","Direct fixed-source statement.","link|LINK-M2NA-AMPERE-NVLINK3|FIELD-INT-FAULT|NVLink 3 improves link-level error detection and recovery.|||COND-NONE","draft","Architecture link scope only. It does not prove whole-chip RAS, physical link count, FEC mode, BER, lane topology, or product aggregate bandwidth."
"FACT-R1-GA100-AMPERE-NVLINK-LR-FAULT","","","LINK-M2NA-AMPERE-NVLINK3","","","","","FIELD-INT-FAULT","NVLink 3 long-reach PHY uses NRZ and targets 1e-15 BER without forward error correction.","","","COND-R1-GA100-AMPERE-NVLINK-LR-PHY","direct_statement","single_source","provisional","","","high","Direct ISSCC circuit-level statement.","link|LINK-M2NA-AMPERE-NVLINK3|FIELD-INT-FAULT|NVLink 3 long-reach PHY uses NRZ and targets 1e-15 BER without forward error correction.|||COND-R1-GA100-AMPERE-NVLINK-LR-PHY","draft","PHY BER and no-FEC context only. It does not prove packet error rate, link replay, end-to-end recovery, or GA100-wide reliability."
"FACT-R1-GA100-AMPERE-NVLINK-LR-PHY","","","LINK-M2NA-AMPERE-NVLINK3","","","","","FIELD-INT-PROTOCOL","NVLink 3 long-reach PHY uses NRZ signaling, a 3-tap transmit FIR, receive CTLE, PRML sequence detection, Viterbi convolutional decoding, and baud-rate clock recovery.","","","COND-R1-GA100-AMPERE-NVLINK-LR-PHY","direct_statement","single_source","provisional","","","high","Direct ISSCC circuit-level statement.","link|LINK-M2NA-AMPERE-NVLINK3|FIELD-INT-PROTOCOL|NVLink 3 long-reach PHY uses NRZ signaling, a 3-tap transmit FIR, receive CTLE, PRML sequence detection, Viterbi convolutional decoding, and baud-rate clock recovery.|||COND-R1-GA100-AMPERE-NVLINK-LR-PHY","draft","Architecture-link LR-PHY detail. It does not assert a full logical-link payload rate, physical link count, topology, FEC-protected operation, or whole-chip RAS."
"FACT-R1-GA100-AMPERE-NVLINK-REMOTE-MEMORY","","","LINK-M2NA-AMPERE-NVLINK3","","","","","FIELD-INT-REMOTE-MEMORY","NVLink 3 carries peer-GPU memory access, returns remote GPU page faults to the source GPU, and attributes non-posted write errors to the requesting execution context.","","","COND-NONE","direct_statement","single_source","provisional","","","high","Direct whitepaper protocol-mechanism statement.","link|LINK-M2NA-AMPERE-NVLINK3|FIELD-INT-REMOTE-MEMORY|NVLink 3 carries peer-GPU memory access, returns remote GPU page faults to the source GPU, and attributes non-posted write errors to the requesting execution context.|||COND-NONE","draft","Architecture-link behavior. It does not establish a remote-memory consistency model, atomic scope, access latency, or sustained bandwidth."
"FACT-R1-GA100-AMPERE-REDUCE-DETAIL","","","","","","CAP-R1-GA100-AMPERE-WARP-REDUCE","","FIELD-CAP-IMPLEMENTATION-DETAIL","Warp-wide reduction instruction supports arithmetic ADD, MIN, and MAX and logical AND, OR, and XOR.","","","COND-NONE","direct_statement","single_source","provisional","","","high","Direct fixed-source statement.","capability|CAP-R1-GA100-AMPERE-WARP-REDUCE|FIELD-CAP-IMPLEMENTATION-DETAIL|Warp-wide reduction instruction supports arithmetic ADD, MIN, and MAX and logical AND, OR, and XOR.|||COND-NONE","draft","Warp-scope reduction only. It does not establish Softmax hardware or network collective offload."
"FACT-R1-GA100-AMPERE-REDUCE-LEVEL","","","","","","CAP-R1-GA100-AMPERE-WARP-REDUCE","","FIELD-CAP-IMPLEMENTATION-LEVEL","dedicated_instruction","","","COND-NONE","direct_statement","single_source","provisional","","","high","Direct fixed-source statement.","capability|CAP-R1-GA100-AMPERE-WARP-REDUCE|FIELD-CAP-IMPLEMENTATION-LEVEL|dedicated_instruction|||COND-NONE","draft","Warp-scope reduction only. It does not establish Softmax hardware or network collective offload."
"FACT-R1-GA100-AMPERE-REDUCE-LIMIT","","","","","","CAP-R1-GA100-AMPERE-WARP-REDUCE","","FIELD-CAP-LIMITATION","Other data types or reduction operations use a software implementation.","","","COND-NONE","direct_statement","single_source","provisional","","","high","Direct fixed-source statement.","capability|CAP-R1-GA100-AMPERE-WARP-REDUCE|FIELD-CAP-LIMITATION|Other data types or reduction operations use a software implementation.|||COND-NONE","draft","Warp-scope reduction only. It does not establish Softmax hardware or network collective offload."
"FACT-R1-GA100-AMPERE-SPARSE-BF16","","","","","PPATH-M2NA-AMPERE-TENSOR-BF16","","","FIELD-NUM-SPARSITY","structured_sparse","","","COND-R1-GA100-AMPERE-BF16-SP24","direct_statement","single_source","provisional","","","high","Direct fixed-source statement.","precision_path|PPATH-M2NA-AMPERE-TENSOR-BF16|FIELD-NUM-SPARSITY|structured_sparse|||COND-R1-GA100-AMPERE-BF16-SP24","draft","PTX-visible sparse MMA contract. Does not prove runtime pruning, physical selector RTL, or sustained two-times speedup."
"FACT-R1-GA100-AMPERE-SPARSE-FP16","","","","","PPATH-M2NA-AMPERE-TENSOR-FP16","","","FIELD-NUM-SPARSITY","structured_sparse","","","COND-M2NA-AMPERE-2OF4","direct_statement","single_source","provisional","","","high","Direct fixed-source statement.","precision_path|PPATH-M2NA-AMPERE-TENSOR-FP16|FIELD-NUM-SPARSITY|structured_sparse|||COND-M2NA-AMPERE-2OF4","draft","PTX-visible sparse MMA contract. Does not prove runtime pruning, physical selector RTL, or sustained two-times speedup."
"FACT-R1-GA100-AMPERE-SPARSE-INT4","","","","","PPATH-R1-GA100-AMPERE-TENSOR-INT4","","","FIELD-NUM-SPARSITY","structured_sparse","","","COND-R1-GA100-AMPERE-INT4-PAIR48","direct_statement","single_source","provisional","","","high","Direct fixed-source statement.","precision_path|PPATH-R1-GA100-AMPERE-TENSOR-INT4|FIELD-NUM-SPARSITY|structured_sparse|||COND-R1-GA100-AMPERE-INT4-PAIR48","draft","PTX-visible sparse MMA contract. Does not prove runtime pruning, physical selector RTL, or sustained two-times speedup."
"FACT-R1-GA100-AMPERE-SPARSE-INT8","","","","","PPATH-M2NA-AMPERE-TENSOR-INT8","","","FIELD-NUM-SPARSITY","structured_sparse","","","COND-R1-GA100-AMPERE-INT8-SP24","direct_statement","single_source","provisional","","","high","Direct fixed-source statement.","precision_path|PPATH-M2NA-AMPERE-TENSOR-INT8|FIELD-NUM-SPARSITY|structured_sparse|||COND-R1-GA100-AMPERE-INT8-SP24","draft","PTX-visible sparse MMA contract. Does not prove runtime pruning, physical selector RTL, or sustained two-times speedup."
"FACT-R1-GA100-AMPERE-SPARSE-TF32","","","","","PPATH-M2NA-AMPERE-TENSOR-TF32","","","FIELD-NUM-SPARSITY","structured_sparse","","","COND-R1-GA100-AMPERE-TF32-SP12","direct_statement","single_source","provisional","","","high","Direct fixed-source statement.","precision_path|PPATH-M2NA-AMPERE-TENSOR-TF32|FIELD-NUM-SPARSITY|structured_sparse|||COND-R1-GA100-AMPERE-TF32-SP12","draft","PTX-visible sparse MMA contract. Does not prove runtime pruning, physical selector RTL, or sustained two-times speedup."
"FACT-R1-GA100-AMPERE-SW-MATURITY","OBJ-NVIDIA-AMPERE-ARCH","","","","","","","FIELD-SW-SUPPORT-MATURITY","documented_supported","","","COND-R1-GA100-AMPERE-CUDA110-SM80","direct_statement","single_source","provisional","","","high","CUDA C++ Programming Guide 11.0 directly documents sm_80 support; no second semantically matched assertion is counted.","object|OBJ-NVIDIA-AMPERE-ARCH|FIELD-SW-SUPPORT-MATURITY|documented_supported|||COND-R1-GA100-AMPERE-CUDA110-SM80","draft","Documented support only. PTX revisions remain same-family interface evidence and are not added merely to inflate the evidence count; runnable or benchmarked support is not claimed."
"FACT-R1-GA100-AMPERE-TF32-B","","","","","PPATH-M2NA-AMPERE-TENSOR-TF32","","","FIELD-NUM-OPERAND-B","TF32","","","COND-NONE","direct_statement","single_source","provisional","","","high","Direct fixed-source statement.","precision_path|PPATH-M2NA-AMPERE-TENSOR-TF32|FIELD-NUM-OPERAND-B|TF32|||COND-NONE","draft","Programmer-visible contract. No physical internal accumulator or output format is inferred unless the field says so."
"FACT-R1-GA100-AMPERE-TF32-CONVERSION","","","","","PPATH-M2NA-AMPERE-TENSOR-TF32","","","FIELD-NUM-CONVERSION","FP32 input data are converted to TF32 for Tensor Core multiplication, while surrounding input and output storage remains FP32.","","","COND-NONE","direct_statement","single_source","provisional","","","high","Direct fixed-source statement.","precision_path|PPATH-M2NA-AMPERE-TENSOR-TF32|FIELD-NUM-CONVERSION|FP32 input data are converted to TF32 for Tensor Core multiplication, while surrounding input and output storage remains FP32.|||COND-NONE","draft","Programmer-visible contract. No physical internal accumulator or output format is inferred unless the field says so."
"FACT-R1-GA100-AMPERE-TF32-OUTPUT","","","","","PPATH-M2NA-AMPERE-TENSOR-TF32","","","FIELD-NUM-OUTPUT","FP32","","","COND-NONE","direct_statement","single_source","provisional","","","high","Direct fixed-source statement.","precision_path|PPATH-M2NA-AMPERE-TENSOR-TF32|FIELD-NUM-OUTPUT|FP32|||COND-NONE","draft","Programmer-visible contract. No physical internal accumulator or output format is inferred unless the field says so."
"FACT-R1-GA100-COMP-COUNT-FP32","","COMP-R1-GA100-FP32","","","","","","FIELD-COMP-UNIT-COUNT","","8192","count","COND-R1-GA100-FULL-DIE","direct_statement","single_source","provisional","","","high","Direct fixed-source statement.","component|COMP-R1-GA100-FP32|FIELD-COMP-UNIT-COUNT||8192|count|COND-R1-GA100-FULL-DIE","draft","Full physical-design aggregate. Enabled A100 counts are excluded."
"FACT-R1-GA100-COMP-COUNT-GPC","","COMP-R1-GA100-GPC","","","","","","FIELD-COMP-UNIT-COUNT","","8","count","COND-R1-GA100-FULL-DIE","direct_statement","single_source","provisional","","","high","Direct fixed-source statement.","component|COMP-R1-GA100-GPC|FIELD-COMP-UNIT-COUNT||8|count|COND-R1-GA100-FULL-DIE","draft","Full physical-design aggregate. Enabled A100 counts are excluded."
"FACT-R1-GA100-COMP-COUNT-MEMCTRL","","COMP-R1-GA100-MEMCTRL","","","","","","FIELD-COMP-UNIT-COUNT","","12","count","COND-R1-GA100-FULL-DIE","direct_statement","single_source","provisional","","","high","Direct fixed-source statement.","component|COMP-R1-GA100-MEMCTRL|FIELD-COMP-UNIT-COUNT||12|count|COND-R1-GA100-FULL-DIE","draft","Full physical-design aggregate. Enabled A100 counts are excluded."
"FACT-R1-GA100-COMP-COUNT-SM","","COMP-R1-GA100-SM","","","","","","FIELD-COMP-UNIT-COUNT","","128","count","COND-R1-GA100-FULL-DIE","direct_statement","single_source","provisional","","","high","Direct fixed-source statement.","component|COMP-R1-GA100-SM|FIELD-COMP-UNIT-COUNT||128|count|COND-R1-GA100-FULL-DIE","draft","Full physical-design aggregate. Enabled A100 counts are excluded."
"FACT-R1-GA100-COMP-COUNT-TENSOR","","COMP-R1-GA100-TENSOR","","","","","","FIELD-COMP-UNIT-COUNT","","512","count","COND-R1-GA100-FULL-DIE","direct_statement","single_source","provisional","","","high","Direct fixed-source statement.","component|COMP-R1-GA100-TENSOR|FIELD-COMP-UNIT-COUNT||512|count|COND-R1-GA100-FULL-DIE","draft","Full physical-design aggregate. Enabled A100 counts are excluded."
"FACT-R1-GA100-COMP-COUNT-TPC","","COMP-R1-GA100-TPC","","","","","","FIELD-COMP-UNIT-COUNT","","64","count","COND-R1-GA100-FULL-DIE","direct_statement","single_source","provisional","","","high","Direct fixed-source statement.","component|COMP-R1-GA100-TPC|FIELD-COMP-UNIT-COUNT||64|count|COND-R1-GA100-FULL-DIE","draft","Full physical-design aggregate. Enabled A100 counts are excluded."
"FACT-R1-GA100-COMP-NAME-FP32","","COMP-R1-GA100-FP32","","","","","","FIELD-COMP-UNIT-NAME","GA100 FP32 CUDA Core","","","COND-R1-GA100-FULL-DIE","direct_statement","single_source","provisional","","","high","Direct fixed-source statement.","component|COMP-R1-GA100-FP32|FIELD-COMP-UNIT-NAME|GA100 FP32 CUDA Core|||COND-R1-GA100-FULL-DIE","draft","Entity name only. Counts and performance require separate facts."
"FACT-R1-GA100-COMP-NAME-GPC","","COMP-R1-GA100-GPC","","","","","","FIELD-COMP-UNIT-NAME","GA100 Graphics Processing Cluster","","","COND-R1-GA100-FULL-DIE","direct_statement","single_source","provisional","","","high","Direct fixed-source statement.","component|COMP-R1-GA100-GPC|FIELD-COMP-UNIT-NAME|GA100 Graphics Processing Cluster|||COND-R1-GA100-FULL-DIE","draft","Entity name only. Counts and performance require separate facts."
"FACT-R1-GA100-COMP-NAME-L1SMEM","","COMP-R1-GA100-L1SMEM","","","","","","FIELD-COMP-UNIT-NAME","GA100 unified L1 data cache and shared memory","","","COND-R1-GA100-FULL-DIE","direct_statement","single_source","provisional","","","high","Direct fixed-source statement.","component|COMP-R1-GA100-L1SMEM|FIELD-COMP-UNIT-NAME|GA100 unified L1 data cache and shared memory|||COND-R1-GA100-FULL-DIE","draft","Entity name only. Counts and performance require separate facts."
"FACT-R1-GA100-COMP-NAME-L2","","COMP-R1-GA100-L2","","","","","","FIELD-COMP-UNIT-NAME","GA100 L2 cache","","","COND-R1-GA100-FULL-DIE","direct_statement","single_source","provisional","","","high","Direct fixed-source statement.","component|COMP-R1-GA100-L2|FIELD-COMP-UNIT-NAME|GA100 L2 cache|||COND-R1-GA100-FULL-DIE","draft","Entity name only. Counts and performance require separate facts."
"FACT-R1-GA100-COMP-NAME-MEMCTRL","","COMP-R1-GA100-MEMCTRL","","","","","","FIELD-COMP-UNIT-NAME","GA100 512-bit memory controller","","","COND-R1-GA100-FULL-DIE","direct_statement","single_source","provisional","","","high","Direct fixed-source statement.","component|COMP-R1-GA100-MEMCTRL|FIELD-COMP-UNIT-NAME|GA100 512-bit memory controller|||COND-R1-GA100-FULL-DIE","draft","Entity name only. Counts and performance require separate facts."
"FACT-R1-GA100-COMP-NAME-OFA","","COMP-R1-GA100-OFA","","","","","","FIELD-COMP-UNIT-NAME","GA100 Optical Flow Accelerator","","","COND-R1-GA100-FULL-DIE","direct_statement","single_source","provisional","","","high","Direct fixed-source statement.","component|COMP-R1-GA100-OFA|FIELD-COMP-UNIT-NAME|GA100 Optical Flow Accelerator|||COND-R1-GA100-FULL-DIE","draft","Entity name only. Counts and performance require separate facts."
"FACT-R1-GA100-COMP-NAME-REG","","COMP-R1-GA100-REG","","","","","","FIELD-COMP-UNIT-NAME","GA100 SM register file","","","COND-R1-GA100-FULL-DIE","direct_statement","single_source","provisional","","","high","Direct fixed-source statement.","component|COMP-R1-GA100-REG|FIELD-COMP-UNIT-NAME|GA100 SM register file|||COND-R1-GA100-FULL-DIE","draft","Entity name only. Counts and performance require separate facts."
"FACT-R1-GA100-COMP-NAME-SM","","COMP-R1-GA100-SM","","","","","","FIELD-COMP-UNIT-NAME","GA100 Streaming Multiprocessor","","","COND-R1-GA100-FULL-DIE","direct_statement","single_source","provisional","","","high","Direct fixed-source statement.","component|COMP-R1-GA100-SM|FIELD-COMP-UNIT-NAME|GA100 Streaming Multiprocessor|||COND-R1-GA100-FULL-DIE","draft","Entity name only. Counts and performance require separate facts."
