"precision_path_id","path_label","field_id","applicability","closure_kind","formal_record_id","closure_status","notes"
"PPATH-R1-GA100-AMPERE-TENSOR-FP16-ACC16","Ampere FP16 to FP16","FIELD-NUM-PHYSICAL-ACCUM","applicable","requirement","REQ-R1-GA100-PATH-R1-GA100-AMPERE-TENSOR-FP16-ACC16-PHYSICAL-ACCUM","not_found","The selected fixed whitepaper and PTX corpus does not disclose FIELD-NUM-PHYSICAL-ACCUM for Ampere FP16 to FP16."
"PPATH-R1-GA100-AMPERE-TENSOR-FP16-ACC16","Ampere FP16 to FP16","FIELD-NUM-OUTPUT","applicable","requirement","REQ-R1-GA100-PATH-R1-GA100-AMPERE-TENSOR-FP16-ACC16-OUTPUT","not_found","The selected fixed whitepaper and PTX corpus does not disclose FIELD-NUM-OUTPUT for Ampere FP16 to FP16."
"PPATH-R1-GA100-AMPERE-TENSOR-FP16-ACC16","Ampere FP16 to FP16","FIELD-NUM-ROUNDING","applicable","requirement","REQ-R1-GA100-PATH-R1-GA100-AMPERE-TENSOR-FP16-ACC16-ROUNDING","not_found","The selected fixed whitepaper and PTX corpus does not disclose FIELD-NUM-ROUNDING for Ampere FP16 to FP16."
"PPATH-R1-GA100-AMPERE-TENSOR-FP16-ACC16","Ampere FP16 to FP16","FIELD-NUM-SCALING-MODE","applicable","requirement","REQ-R1-GA100-PATH-R1-GA100-AMPERE-TENSOR-FP16-ACC16-SCALING-MODE","not_found","The selected fixed whitepaper and PTX corpus does not disclose FIELD-NUM-SCALING-MODE for Ampere FP16 to FP16."
"PPATH-R1-GA100-AMPERE-TENSOR-FP16-ACC16","Ampere FP16 to FP16","FIELD-NUM-SCALING-GRANULARITY","applicable","requirement","REQ-R1-GA100-PATH-R1-GA100-AMPERE-TENSOR-FP16-ACC16-SCALING-GRANULARITY","not_found","The selected fixed whitepaper and PTX corpus does not disclose FIELD-NUM-SCALING-GRANULARITY for Ampere FP16 to FP16."
"PPATH-R1-GA100-AMPERE-TENSOR-FP16-ACC16","Ampere FP16 to FP16","FIELD-NUM-SATURATION","applicable","requirement","REQ-R1-GA100-PATH-R1-GA100-AMPERE-TENSOR-FP16-ACC16-SATURATION","not_found","The selected fixed whitepaper and PTX corpus does not disclose FIELD-NUM-SATURATION for Ampere FP16 to FP16."
"PPATH-R1-GA100-AMPERE-TENSOR-FP16-ACC16","Ampere FP16 to FP16","FIELD-NUM-SUBNORMAL","applicable","requirement","REQ-R1-GA100-PATH-R1-GA100-AMPERE-TENSOR-FP16-ACC16-SUBNORMAL","not_found","The selected fixed whitepaper and PTX corpus does not disclose FIELD-NUM-SUBNORMAL for Ampere FP16 to FP16."
"PPATH-R1-GA100-AMPERE-TENSOR-FP16-ACC16","Ampere FP16 to FP16","FIELD-NUM-SPARSITY","applicable","requirement","REQ-R1-GA100-PATH-R1-GA100-AMPERE-TENSOR-FP16-ACC16-SPARSITY","not_found","The selected fixed whitepaper and PTX corpus does not disclose FIELD-NUM-SPARSITY for Ampere FP16 to FP16."
"PPATH-M2NA-AMPERE-TENSOR-BF16","Ampere BF16 to FP32","FIELD-NUM-OPERAND-A","applicable","fact","FACT-M2NA-AMPERE-BF16-A","value_available","Exact target-field fact; conditions remain on the fact."
"PPATH-M2NA-AMPERE-TENSOR-BF16","Ampere BF16 to FP32","FIELD-NUM-OPERAND-B","applicable","fact","FACT-R1-GA100-AMPERE-BF16-B","value_available","Exact target-field fact; conditions remain on the fact."
"PPATH-M2NA-AMPERE-TENSOR-BF16","Ampere BF16 to FP32","FIELD-NUM-PRODUCT","applicable","requirement","REQ-R1-GA100-PATH-M2NA-AMPERE-TENSOR-BF16-PRODUCT","not_found","The selected fixed whitepaper and PTX corpus does not disclose FIELD-NUM-PRODUCT for Ampere BF16 to FP32."
"PPATH-M2NA-AMPERE-TENSOR-BF16","Ampere BF16 to FP32","FIELD-NUM-ACCUMULATION","applicable","fact","FACT-M2NA-AMPERE-BF16-ACC","value_available","Exact target-field fact; conditions remain on the fact."
"PPATH-M2NA-AMPERE-TENSOR-BF16","Ampere BF16 to FP32","FIELD-NUM-PHYSICAL-ACCUM","applicable","requirement","REQ-M2NA-GAP-0060","not_found","Selected official architecture and ISA sources expose programmer-visible accumulation formats but not the physical accumulator width."
"PPATH-M2NA-AMPERE-TENSOR-BF16","Ampere BF16 to FP32","FIELD-NUM-OUTPUT","applicable","requirement","REQ-R1-GA100-PATH-M2NA-AMPERE-TENSOR-BF16-OUTPUT","not_found","The selected fixed whitepaper and PTX corpus does not disclose FIELD-NUM-OUTPUT for Ampere BF16 to FP32."
"PPATH-M2NA-AMPERE-TENSOR-BF16","Ampere BF16 to FP32","FIELD-NUM-ROUNDING","applicable","requirement","REQ-R1-GA100-PATH-M2NA-AMPERE-TENSOR-BF16-ROUNDING","not_found","The selected fixed whitepaper and PTX corpus does not disclose FIELD-NUM-ROUNDING for Ampere BF16 to FP32."
"PPATH-M2NA-AMPERE-TENSOR-BF16","Ampere BF16 to FP32","FIELD-NUM-SCALING-MODE","applicable","requirement","REQ-R1-GA100-PATH-M2NA-AMPERE-TENSOR-BF16-SCALING-MODE","not_found","The selected fixed whitepaper and PTX corpus does not disclose FIELD-NUM-SCALING-MODE for Ampere BF16 to FP32."
"PPATH-M2NA-AMPERE-TENSOR-BF16","Ampere BF16 to FP32","FIELD-NUM-SCALING-GRANULARITY","applicable","requirement","REQ-R1-GA100-PATH-M2NA-AMPERE-TENSOR-BF16-SCALING-GRANULARITY","not_found","The selected fixed whitepaper and PTX corpus does not disclose FIELD-NUM-SCALING-GRANULARITY for Ampere BF16 to FP32."
"PPATH-M2NA-AMPERE-TENSOR-BF16","Ampere BF16 to FP32","FIELD-NUM-SATURATION","applicable","requirement","REQ-R1-GA100-PATH-M2NA-AMPERE-TENSOR-BF16-SATURATION","not_found","The selected fixed whitepaper and PTX corpus does not disclose FIELD-NUM-SATURATION for Ampere BF16 to FP32."
"PPATH-M2NA-AMPERE-TENSOR-BF16","Ampere BF16 to FP32","FIELD-NUM-SUBNORMAL","applicable","requirement","REQ-R1-GA100-PATH-M2NA-AMPERE-TENSOR-BF16-SUBNORMAL","not_found","The selected fixed whitepaper and PTX corpus does not disclose FIELD-NUM-SUBNORMAL for Ampere BF16 to FP32."
"PPATH-M2NA-AMPERE-TENSOR-BF16","Ampere BF16 to FP32","FIELD-NUM-SPARSITY","applicable","fact","FACT-R1-GA100-AMPERE-SPARSE-BF16","value_available","Exact target-field fact; conditions remain on the fact."
"PPATH-M2NA-AMPERE-TENSOR-TF32","Ampere TF32 to FP32","FIELD-NUM-OPERAND-A","applicable","fact","FACT-M2NA-AMPERE-TF32-A","value_available","Exact target-field fact; conditions remain on the fact."
"PPATH-M2NA-AMPERE-TENSOR-TF32","Ampere TF32 to FP32","FIELD-NUM-OPERAND-B","applicable","fact","FACT-R1-GA100-AMPERE-TF32-B","value_available","Exact target-field fact; conditions remain on the fact."
"PPATH-M2NA-AMPERE-TENSOR-TF32","Ampere TF32 to FP32","FIELD-NUM-PRODUCT","applicable","requirement","REQ-R1-GA100-PATH-M2NA-AMPERE-TENSOR-TF32-PRODUCT","not_found","The selected fixed whitepaper and PTX corpus does not disclose FIELD-NUM-PRODUCT for Ampere TF32 to FP32."
"PPATH-M2NA-AMPERE-TENSOR-TF32","Ampere TF32 to FP32","FIELD-NUM-ACCUMULATION","applicable","fact","FACT-M2NA-AMPERE-TF32-ACC","value_available","Exact target-field fact; conditions remain on the fact."
"PPATH-M2NA-AMPERE-TENSOR-TF32","Ampere TF32 to FP32","FIELD-NUM-PHYSICAL-ACCUM","applicable","requirement","REQ-M2NA-GAP-0061","not_found","Selected official architecture and ISA sources expose programmer-visible accumulation formats but not the physical accumulator width."
"PPATH-M2NA-AMPERE-TENSOR-TF32","Ampere TF32 to FP32","FIELD-NUM-OUTPUT","applicable","fact","FACT-R1-GA100-AMPERE-TF32-OUTPUT","value_available","Exact target-field fact; conditions remain on the fact."
"PPATH-M2NA-AMPERE-TENSOR-TF32","Ampere TF32 to FP32","FIELD-NUM-ROUNDING","applicable","requirement","REQ-R1-GA100-PATH-M2NA-AMPERE-TENSOR-TF32-ROUNDING","not_found","The selected fixed whitepaper and PTX corpus does not disclose FIELD-NUM-ROUNDING for Ampere TF32 to FP32."
"PPATH-M2NA-AMPERE-TENSOR-TF32","Ampere TF32 to FP32","FIELD-NUM-SCALING-MODE","applicable","requirement","REQ-R1-GA100-PATH-M2NA-AMPERE-TENSOR-TF32-SCALING-MODE","not_found","The selected fixed whitepaper and PTX corpus does not disclose FIELD-NUM-SCALING-MODE for Ampere TF32 to FP32."
"PPATH-M2NA-AMPERE-TENSOR-TF32","Ampere TF32 to FP32","FIELD-NUM-SCALING-GRANULARITY","applicable","requirement","REQ-R1-GA100-PATH-M2NA-AMPERE-TENSOR-TF32-SCALING-GRANULARITY","not_found","The selected fixed whitepaper and PTX corpus does not disclose FIELD-NUM-SCALING-GRANULARITY for Ampere TF32 to FP32."
"PPATH-M2NA-AMPERE-TENSOR-TF32","Ampere TF32 to FP32","FIELD-NUM-SATURATION","applicable","requirement","REQ-R1-GA100-PATH-M2NA-AMPERE-TENSOR-TF32-SATURATION","not_found","The selected fixed whitepaper and PTX corpus does not disclose FIELD-NUM-SATURATION for Ampere TF32 to FP32."
"PPATH-M2NA-AMPERE-TENSOR-TF32","Ampere TF32 to FP32","FIELD-NUM-SUBNORMAL","applicable","requirement","REQ-R1-GA100-PATH-M2NA-AMPERE-TENSOR-TF32-SUBNORMAL","not_found","The selected fixed whitepaper and PTX corpus does not disclose FIELD-NUM-SUBNORMAL for Ampere TF32 to FP32."
"PPATH-M2NA-AMPERE-TENSOR-TF32","Ampere TF32 to FP32","FIELD-NUM-SPARSITY","applicable","fact","FACT-R1-GA100-AMPERE-SPARSE-TF32","value_available","Exact target-field fact; conditions remain on the fact."
"PPATH-M2NA-AMPERE-TENSOR-FP64","Ampere IEEE FP64 to FP64","FIELD-NUM-OPERAND-A","applicable","fact","FACT-M2NA-AMPERE-FP64-A","value_available","Exact target-field fact; conditions remain on the fact."
"PPATH-M2NA-AMPERE-TENSOR-FP64","Ampere IEEE FP64 to FP64","FIELD-NUM-OPERAND-B","applicable","fact","FACT-R1-GA100-AMPERE-FP64-B","value_available","Exact target-field fact; conditions remain on the fact."
"PPATH-M2NA-AMPERE-TENSOR-FP64","Ampere IEEE FP64 to FP64","FIELD-NUM-PRODUCT","applicable","requirement","REQ-R1-GA100-PATH-M2NA-AMPERE-TENSOR-FP64-PRODUCT","not_found","The selected fixed whitepaper and PTX corpus does not disclose FIELD-NUM-PRODUCT for Ampere IEEE FP64 to FP64."
"PPATH-M2NA-AMPERE-TENSOR-FP64","Ampere IEEE FP64 to FP64","FIELD-NUM-ACCUMULATION","applicable","fact","FACT-R1-GA100-AMPERE-FP64-ACC","value_available","Exact target-field fact; conditions remain on the fact."
"PPATH-M2NA-AMPERE-TENSOR-FP64","Ampere IEEE FP64 to FP64","FIELD-NUM-PHYSICAL-ACCUM","applicable","requirement","REQ-M2NA-GAP-0062","not_found","Selected official architecture and ISA sources expose programmer-visible accumulation formats but not the physical accumulator width."
"PPATH-M2NA-AMPERE-TENSOR-FP64","Ampere IEEE FP64 to FP64","FIELD-NUM-OUTPUT","applicable","requirement","REQ-R1-GA100-PATH-M2NA-AMPERE-TENSOR-FP64-OUTPUT","not_found","The selected fixed whitepaper and PTX corpus does not disclose FIELD-NUM-OUTPUT for Ampere IEEE FP64 to FP64."
"PPATH-M2NA-AMPERE-TENSOR-FP64","Ampere IEEE FP64 to FP64","FIELD-NUM-ROUNDING","applicable","requirement","REQ-R1-GA100-PATH-M2NA-AMPERE-TENSOR-FP64-ROUNDING","not_found","The selected fixed whitepaper and PTX corpus does not disclose FIELD-NUM-ROUNDING for Ampere IEEE FP64 to FP64."
"PPATH-M2NA-AMPERE-TENSOR-FP64","Ampere IEEE FP64 to FP64","FIELD-NUM-SCALING-MODE","applicable","requirement","REQ-R1-GA100-PATH-M2NA-AMPERE-TENSOR-FP64-SCALING-MODE","not_found","The selected fixed whitepaper and PTX corpus does not disclose FIELD-NUM-SCALING-MODE for Ampere IEEE FP64 to FP64."
"PPATH-M2NA-AMPERE-TENSOR-FP64","Ampere IEEE FP64 to FP64","FIELD-NUM-SCALING-GRANULARITY","applicable","requirement","REQ-R1-GA100-PATH-M2NA-AMPERE-TENSOR-FP64-SCALING-GRANULARITY","not_found","The selected fixed whitepaper and PTX corpus does not disclose FIELD-NUM-SCALING-GRANULARITY for Ampere IEEE FP64 to FP64."
"PPATH-M2NA-AMPERE-TENSOR-FP64","Ampere IEEE FP64 to FP64","FIELD-NUM-SATURATION","applicable","requirement","REQ-R1-GA100-PATH-M2NA-AMPERE-TENSOR-FP64-SATURATION","not_found","The selected fixed whitepaper and PTX corpus does not disclose FIELD-NUM-SATURATION for Ampere IEEE FP64 to FP64."
"PPATH-M2NA-AMPERE-TENSOR-FP64","Ampere IEEE FP64 to FP64","FIELD-NUM-SUBNORMAL","applicable","requirement","REQ-R1-GA100-PATH-M2NA-AMPERE-TENSOR-FP64-SUBNORMAL","not_found","The selected fixed whitepaper and PTX corpus does not disclose FIELD-NUM-SUBNORMAL for Ampere IEEE FP64 to FP64."
"PPATH-M2NA-AMPERE-TENSOR-FP64","Ampere IEEE FP64 to FP64","FIELD-NUM-SPARSITY","applicable","requirement","REQ-R1-GA100-PATH-M2NA-AMPERE-TENSOR-FP64-SPARSITY","not_found","The selected fixed whitepaper and PTX corpus does not disclose FIELD-NUM-SPARSITY for Ampere IEEE FP64 to FP64."
"PPATH-M2NA-AMPERE-TENSOR-INT8","Ampere INT8 to INT32","FIELD-NUM-OPERAND-A","applicable","fact","FACT-M2NA-AMPERE-INT-A","value_available","Exact target-field fact; conditions remain on the fact."
"PPATH-M2NA-AMPERE-TENSOR-INT8","Ampere INT8 to INT32","FIELD-NUM-OPERAND-B","applicable","fact","FACT-R1-GA100-AMPERE-INT8-B","value_available","Exact target-field fact; conditions remain on the fact."
"PPATH-M2NA-AMPERE-TENSOR-INT8","Ampere INT8 to INT32","FIELD-NUM-PRODUCT","applicable","requirement","REQ-R1-GA100-PATH-M2NA-AMPERE-TENSOR-INT8-PRODUCT","not_found","The selected fixed whitepaper and PTX corpus does not disclose FIELD-NUM-PRODUCT for Ampere INT8 to INT32."
"PPATH-M2NA-AMPERE-TENSOR-INT8","Ampere INT8 to INT32","FIELD-NUM-ACCUMULATION","applicable","fact","FACT-R1-GA100-AMPERE-INT8-ACC","value_available","Exact target-field fact; conditions remain on the fact."
"PPATH-M2NA-AMPERE-TENSOR-INT8","Ampere INT8 to INT32","FIELD-NUM-PHYSICAL-ACCUM","applicable","requirement","REQ-M2NA-GAP-0063","not_found","Selected official architecture and ISA sources expose programmer-visible accumulation formats but not the physical accumulator width."
"PPATH-M2NA-AMPERE-TENSOR-INT8","Ampere INT8 to INT32","FIELD-NUM-OUTPUT","applicable","requirement","REQ-R1-GA100-PATH-M2NA-AMPERE-TENSOR-INT8-OUTPUT","not_found","The selected fixed whitepaper and PTX corpus does not disclose FIELD-NUM-OUTPUT for Ampere INT8 to INT32."
"PPATH-M2NA-AMPERE-TENSOR-INT8","Ampere INT8 to INT32","FIELD-NUM-ROUNDING","applicable","requirement","REQ-R1-GA100-PATH-M2NA-AMPERE-TENSOR-INT8-ROUNDING","not_found","The selected fixed whitepaper and PTX corpus does not disclose FIELD-NUM-ROUNDING for Ampere INT8 to INT32."
"PPATH-M2NA-AMPERE-TENSOR-INT8","Ampere INT8 to INT32","FIELD-NUM-SCALING-MODE","applicable","requirement","REQ-R1-GA100-PATH-M2NA-AMPERE-TENSOR-INT8-SCALING-MODE","not_found","The selected fixed whitepaper and PTX corpus does not disclose FIELD-NUM-SCALING-MODE for Ampere INT8 to INT32."
"PPATH-M2NA-AMPERE-TENSOR-INT8","Ampere INT8 to INT32","FIELD-NUM-SCALING-GRANULARITY","applicable","requirement","REQ-R1-GA100-PATH-M2NA-AMPERE-TENSOR-INT8-SCALING-GRANULARITY","not_found","The selected fixed whitepaper and PTX corpus does not disclose FIELD-NUM-SCALING-GRANULARITY for Ampere INT8 to INT32."
"PPATH-M2NA-AMPERE-TENSOR-INT8","Ampere INT8 to INT32","FIELD-NUM-SATURATION","applicable","requirement","REQ-R1-GA100-PATH-M2NA-AMPERE-TENSOR-INT8-SATURATION","not_found","The selected fixed whitepaper and PTX corpus does not disclose FIELD-NUM-SATURATION for Ampere INT8 to INT32."
"PPATH-M2NA-AMPERE-TENSOR-INT8","Ampere INT8 to INT32","FIELD-NUM-SUBNORMAL","not_applicable","requirement","REQ-R1-GA100-PATH-M2NA-AMPERE-TENSOR-INT8-SUBNORMAL","not_applicable","Subnormal floating-point handling is not applicable to the Ampere INT8 to INT32 integer/binary operand path."
"PPATH-M2NA-AMPERE-TENSOR-INT8","Ampere INT8 to INT32","FIELD-NUM-SPARSITY","applicable","fact","FACT-R1-GA100-AMPERE-SPARSE-INT8","value_available","Exact target-field fact; conditions remain on the fact."
"PPATH-R1-GA100-AMPERE-TENSOR-INT4","Ampere INT4 to INT32","FIELD-NUM-OPERAND-A","applicable","fact","FACT-R1-GA100-AMPERE-INT4-A","value_available","Exact target-field fact; conditions remain on the fact."
"PPATH-R1-GA100-AMPERE-TENSOR-INT4","Ampere INT4 to INT32","FIELD-NUM-OPERAND-B","applicable","fact","FACT-R1-GA100-AMPERE-INT4-B","value_available","Exact target-field fact; conditions remain on the fact."
"PPATH-R1-GA100-AMPERE-TENSOR-INT4","Ampere INT4 to INT32","FIELD-NUM-PRODUCT","applicable","requirement","REQ-R1-GA100-PATH-R1-GA100-AMPERE-TENSOR-INT4-PRODUCT","not_found","The selected fixed whitepaper and PTX corpus does not disclose FIELD-NUM-PRODUCT for Ampere INT4 to INT32."
"PPATH-R1-GA100-AMPERE-TENSOR-INT4","Ampere INT4 to INT32","FIELD-NUM-ACCUMULATION","applicable","fact","FACT-R1-GA100-AMPERE-INT4-ACC","value_available","Exact target-field fact; conditions remain on the fact."
"PPATH-R1-GA100-AMPERE-TENSOR-INT4","Ampere INT4 to INT32","FIELD-NUM-PHYSICAL-ACCUM","applicable","requirement","REQ-R1-GA100-PATH-R1-GA100-AMPERE-TENSOR-INT4-PHYSICAL-ACCUM","not_found","The selected fixed whitepaper and PTX corpus does not disclose FIELD-NUM-PHYSICAL-ACCUM for Ampere INT4 to INT32."
"PPATH-R1-GA100-AMPERE-TENSOR-INT4","Ampere INT4 to INT32","FIELD-NUM-OUTPUT","applicable","requirement","REQ-R1-GA100-PATH-R1-GA100-AMPERE-TENSOR-INT4-OUTPUT","not_found","The selected fixed whitepaper and PTX corpus does not disclose FIELD-NUM-OUTPUT for Ampere INT4 to INT32."
"PPATH-R1-GA100-AMPERE-TENSOR-INT4","Ampere INT4 to INT32","FIELD-NUM-ROUNDING","applicable","requirement","REQ-R1-GA100-PATH-R1-GA100-AMPERE-TENSOR-INT4-ROUNDING","not_found","The selected fixed whitepaper and PTX corpus does not disclose FIELD-NUM-ROUNDING for Ampere INT4 to INT32."
"PPATH-R1-GA100-AMPERE-TENSOR-INT4","Ampere INT4 to INT32","FIELD-NUM-SCALING-MODE","applicable","requirement","REQ-R1-GA100-PATH-R1-GA100-AMPERE-TENSOR-INT4-SCALING-MODE","not_found","The selected fixed whitepaper and PTX corpus does not disclose FIELD-NUM-SCALING-MODE for Ampere INT4 to INT32."
"PPATH-R1-GA100-AMPERE-TENSOR-INT4","Ampere INT4 to INT32","FIELD-NUM-SCALING-GRANULARITY","applicable","requirement","REQ-R1-GA100-PATH-R1-GA100-AMPERE-TENSOR-INT4-SCALING-GRANULARITY","not_found","The selected fixed whitepaper and PTX corpus does not disclose FIELD-NUM-SCALING-GRANULARITY for Ampere INT4 to INT32."
"PPATH-R1-GA100-AMPERE-TENSOR-INT4","Ampere INT4 to INT32","FIELD-NUM-SATURATION","applicable","requirement","REQ-R1-GA100-PATH-R1-GA100-AMPERE-TENSOR-INT4-SATURATION","not_found","The selected fixed whitepaper and PTX corpus does not disclose FIELD-NUM-SATURATION for Ampere INT4 to INT32."
"PPATH-R1-GA100-AMPERE-TENSOR-INT4","Ampere INT4 to INT32","FIELD-NUM-SUBNORMAL","not_applicable","requirement","REQ-R1-GA100-PATH-R1-GA100-AMPERE-TENSOR-INT4-SUBNORMAL","not_applicable","Subnormal floating-point handling is not applicable to the Ampere INT4 to INT32 integer/binary operand path."
"PPATH-R1-GA100-AMPERE-TENSOR-INT4","Ampere INT4 to INT32","FIELD-NUM-SPARSITY","applicable","fact","FACT-R1-GA100-AMPERE-SPARSE-INT4","value_available","Exact target-field fact; conditions remain on the fact."
"PPATH-R1-GA100-AMPERE-TENSOR-BINARY","Ampere Binary to INT32","FIELD-NUM-OPERAND-A","applicable","fact","FACT-R1-GA100-AMPERE-BINARY-A","value_available","Exact target-field fact; conditions remain on the fact."
"PPATH-R1-GA100-AMPERE-TENSOR-BINARY","Ampere Binary to INT32","FIELD-NUM-OPERAND-B","applicable","fact","FACT-R1-GA100-AMPERE-BINARY-B","value_available","Exact target-field fact; conditions remain on the fact."
"PPATH-R1-GA100-AMPERE-TENSOR-BINARY","Ampere Binary to INT32","FIELD-NUM-PRODUCT","applicable","requirement","REQ-R1-GA100-PATH-R1-GA100-AMPERE-TENSOR-BINARY-PRODUCT","not_found","The selected fixed whitepaper and PTX corpus does not disclose FIELD-NUM-PRODUCT for Ampere Binary to INT32."
"PPATH-R1-GA100-AMPERE-TENSOR-BINARY","Ampere Binary to INT32","FIELD-NUM-ACCUMULATION","applicable","fact","FACT-R1-GA100-AMPERE-BINARY-ACC","value_available","Exact target-field fact; conditions remain on the fact."
"PPATH-R1-GA100-AMPERE-TENSOR-BINARY","Ampere Binary to INT32","FIELD-NUM-PHYSICAL-ACCUM","applicable","requirement","REQ-R1-GA100-PATH-R1-GA100-AMPERE-TENSOR-BINARY-PHYSICAL-ACCUM","not_found","The selected fixed whitepaper and PTX corpus does not disclose FIELD-NUM-PHYSICAL-ACCUM for Ampere Binary to INT32."
"PPATH-R1-GA100-AMPERE-TENSOR-BINARY","Ampere Binary to INT32","FIELD-NUM-OUTPUT","applicable","requirement","REQ-R1-GA100-PATH-R1-GA100-AMPERE-TENSOR-BINARY-OUTPUT","not_found","The selected fixed whitepaper and PTX corpus does not disclose FIELD-NUM-OUTPUT for Ampere Binary to INT32."
"PPATH-R1-GA100-AMPERE-TENSOR-BINARY","Ampere Binary to INT32","FIELD-NUM-ROUNDING","applicable","requirement","REQ-R1-GA100-PATH-R1-GA100-AMPERE-TENSOR-BINARY-ROUNDING","not_found","The selected fixed whitepaper and PTX corpus does not disclose FIELD-NUM-ROUNDING for Ampere Binary to INT32."
"PPATH-R1-GA100-AMPERE-TENSOR-BINARY","Ampere Binary to INT32","FIELD-NUM-SCALING-MODE","applicable","requirement","REQ-R1-GA100-PATH-R1-GA100-AMPERE-TENSOR-BINARY-SCALING-MODE","not_found","The selected fixed whitepaper and PTX corpus does not disclose FIELD-NUM-SCALING-MODE for Ampere Binary to INT32."
