"field_id","field_domain","field_name_zh","definition","value_kind","canonical_unit","value_enum_name","allowed_subject_kinds","condition_schema","required_tier","review_status","notes","allowed_requirement_target_kinds"
"FIELD-COMP-THROUGHPUT","compute","吞吐","TFLOP/s、TOPS、op/cycle 等","number","","","precision_path","compute","important","approved","源自资料卡字段字典 0.1","object;precision_path"
"FIELD-COMP-UNIT-COUNT","compute","单元数量","物理、启用或逻辑数量要注明","number","count","","component","compute","important","approved","源自资料卡字段字典 0.1","object;component"
"FIELD-COMP-UNIT-NAME","compute","单元名称","厂商名称和通用类别同时保存","text","","","component","compute","important","approved","源自资料卡字段字典 0.1","component"
"FIELD-COMP-UTILIZATION-LIMIT","compute","利用率限制","小矩阵、窄矩阵、小批量和不规则形状","text","","","component","compute","important","approved","源自资料卡字段字典 0.1","component"
"FIELD-COMP-VENDOR-AI-TOPS","compute","厂商 AI TOPS 原始标签","来源只给聚合 AI TOPS 且无法拆分计算路径时保留的原始标签","number","","","object","compute","conditional","approved","M0 数据模型审查补充","object"
"FIELD-DER-CAPACITY-COMPUTE","derived","容量算力比","同一作用域的存储容量除以矩阵稠密峰值","number","byte/(FLOP/s)","","object","derived","conditional","approved","M0 数据模型审查补充","object"
"FIELD-DER-COMPUTE-BW-SPEC","derived","规格计算带宽比","同对象、同精度的矩阵稠密峰值除以铭牌带宽","number","FLOP/byte","","object;precision_path","derived","conditional","approved","M0 数据模型审查补充","object;precision_path"
"FIELD-DER-COMPUTE-BW-SUSTAINED","derived","实测计算带宽比","同对象、同精度的矩阵稠密峰值除以可持续带宽","number","FLOP/byte","","object","derived","conditional","approved","M0 数据模型审查补充","object"
"FIELD-DER-INTERCONNECT-COMPUTE","derived","互联注入算力比","同设备单向注入带宽与矩阵峰值之比","number","byte/FLOP","","object","derived","conditional","approved","M0 数据模型审查补充","object"
"FIELD-DER-MATRIX-VECTOR","derived","矩阵向量吞吐比","条件和计数规则相容的矩阵与向量吞吐之比","number","ratio","","object","derived","conditional","approved","M0 数据模型审查补充","object"
"FIELD-DER-MOVE-MATRIX","derived","搬运矩阵吞吐比","明确数据宽度和方向的数据搬运吞吐与矩阵吞吐之比","number","byte/FLOP","","object","derived","conditional","approved","M0 数据模型审查补充","object"
"FIELD-ECON-PUBLISHED-PRICE","economics","公开价格","与具体对象、币种、地区、渠道、数量和有效日期绑定的公开价格；不把云实例或系统价格下放到芯片","number","","","object","time_version","extended","approved","资料卡 0.3 候选因素对齐新增。","object"
"FIELD-ID-ARCH","identity","架构代际","由 implements_architecture 对象关系投影；不得另建重复真值","relation","","","object","identity","core","approved","资料卡引用 object_relation_id；本字段用于身份完整度要求，不在 facts.csv 另存关系文本","object;object_relation"
"FIELD-ID-AVAILABILITY-DATE","identity","首次可用日期","供货或云服务开放日期","date","","","object","time_version","extended","approved","源自资料卡字段字典 0.1","object"
"FIELD-ID-DEPLOYMENT","identity","公开部署","不从部署场景推断架构类别","text","","","object","identity","extended","approved","源自资料卡字段字典 0.1","object"
"FIELD-ID-DEPLOYMENT-CONSTRAINT","identity","部署约束","来源明确说明的功率、散热、空间、主机、网络或服务形态约束；系统约束不得下放成芯片固有属性","text","","","object","time_version","extended","approved","资料卡 0.3 候选因素对齐新增。","object"
"FIELD-ID-DESIGN-OBJECTIVE","identity","设计或产品目标","来源明确陈述的吞吐、延迟、能效、扩展、成本、可编程性或其他设计目标","text","","","object","time_version","important","approved","资料卡 0.3 候选因素对齐新增。","object"
"FIELD-ID-FAMILY","identity","产品系列","例如同一芯片系列或云加速器系列","text","","","object","identity","core","approved","源自资料卡字段字典 0.1","object"
"FIELD-ID-MARKET-ACCESS-CONSTRAINT","identity","市场准入约束","与具体对象及时间版本绑定的地区供应、出口限制或市场可用性约束；不承接宏观地缘判断","text","","","object","time_version","extended","approved","资料卡 0.3 候选因素对齐新增。","object"
"FIELD-ID-NAME","identity","正式名称","来源中的完整名称","text","","","object","identity","core","approved","源自资料卡字段字典 0.1","object"
"FIELD-ID-OBJECT-TYPE","identity","对象类型","见第 2.1 节","enum","","object_type","object","identity","core","approved","源自资料卡字段字典 0.1","object"
"FIELD-ID-REGION","identity","地区或出口变体","全球、地区版或定制版","text","","","object","identity","extended","approved","源自资料卡字段字典 0.1","object"
"FIELD-ID-RELEASE-DATE","identity","首次发布日期","具体对象日期，不用架构预告代替","date","","","object","time_version","core","approved","源自资料卡字段字典 0.1","object"
"FIELD-ID-SKU","identity","SKU 或配置","不存在公开 SKU 时说明命名方式","text","","","object","identity","core","approved","源自资料卡字段字典 0.1","object"
"FIELD-ID-STATUS","identity","产品状态","见第 11 节","enum","","product_status","object","time_version","core","approved","源自资料卡字段字典 0.1","object"
"FIELD-ID-TARGET-USE-POSITIONING","identity","厂商目标用途定位","厂商对具体对象公开陈述的训练、推理、训推通用、边缘或其他目标用途；这是带来源和时间版本的产品定位，不是实际负载变量","text","","","object","time_version","important","approved","资料卡 0.3 候选因素对齐新增。","object"
"FIELD-ID-VENDOR","identity","厂商","使用正式厂商名","text","","","object","identity","core","approved","源自资料卡字段字典 0.1","object"
"FIELD-ID-VENDOR-POSITIONING","identity","厂商定位","只记录厂商原文和出处","text","","","object","identity","extended","approved","源自资料卡字段字典 0.1","object"
"FIELD-INT-AGGREGATE-BW","interconnect","聚合带宽","明确范围和方向","number","byte/s","","link","bandwidth","important","approved","源自资料卡字段字典 0.1","object;link"
"FIELD-INT-BISECTION-BW","interconnect","二分带宽","需要拓扑和系统规模","number","byte/s","","topology","bandwidth","important","approved","源自资料卡字段字典 0.1","topology"
"FIELD-INT-COLLECTIVE","interconnect","集合通信卸载","支持的操作和实现层级","text","","","link","interconnect","important","approved","源自资料卡字段字典 0.1","link"
"FIELD-INT-DEGREE","interconnect","节点度数","物理和逻辑分开","number","count","","topology","interconnect","important","approved","源自资料卡字段字典 0.1","topology"
"FIELD-INT-FAULT","interconnect","故障与降级","隔离、重路由和维修边界","text","","","link","interconnect","important","approved","源自资料卡字段字典 0.1","link"
"FIELD-INT-HOPS","interconnect","跳数","典型、最大或测试路径","number","count","","topology","interconnect","important","approved","源自资料卡字段字典 0.1","topology"
"FIELD-INT-INJECTION-BW","interconnect","每设备注入带宽","与系统聚合分开","number","byte/s","","link","bandwidth","important","approved","源自资料卡字段字典 0.1","link"
"FIELD-INT-LANE-COUNT","interconnect","Lane 数量","链路实体包含的物理 Lane 数量","number","count","","link","interconnect","core","approved","M0 数据模型审查补充","link"
"FIELD-INT-LATENCY","interconnect","延迟","单跳、端到端或集合通信","number","s","","link","bandwidth","important","approved","源自资料卡字段字典 0.1","link"
"FIELD-INT-LINK-COUNT","interconnect","链路数","每设备或系统总量","number","count","","link","interconnect","important","approved","源自资料卡字段字典 0.1","link"
"FIELD-INT-MAX-SCALE","interconnect","最大规模","设备、机架或 Pod 数量","number","count","","topology","interconnect","important","approved","源自资料卡字段字典 0.1","topology"
"FIELD-INT-OVERSUBSCRIPTION","interconnect","过订阅","比例和边界","number","ratio","","topology","interconnect","important","approved","源自资料卡字段字典 0.1","topology"
"FIELD-INT-PER-LINK-RATE","interconnect","单链路速率","bit/s 与 byte/s 不混用","number","bit/s","","link","bandwidth","important","approved","源自资料卡字段字典 0.1","link"
"FIELD-INT-PHYSICAL-LINK-COUNT","interconnect","物理链路数量","链路实体包含的物理链路数量，不与逻辑连接数混用","number","count","","link","interconnect","core","approved","M0 数据模型审查补充","link"
"FIELD-INT-PROTOCOL","interconnect","协议","协议代际和物理接口","text","","","link","interconnect","important","approved","源自资料卡字段字典 0.1","object;link"
"FIELD-INT-REMOTE-MEMORY","interconnect","远程内存","一致性、原子和直接访问","text","","","link","interconnect","important","approved","源自资料卡字段字典 0.1","link"
"FIELD-INT-TOPOLOGY","interconnect","拓扑","环、网格、torus、全连接、交换结构等","enum","","topology_type","topology","interconnect","important","approved","源自资料卡字段字典 0.1","object;topology"
"FIELD-INT-TOPOLOGY-DIMENSIONS","interconnect","拓扑维度","网格、Torus 或其他多维拓扑的维度说明","text","","","topology","interconnect","important","approved","M0 数据模型审查补充","topology"
"FIELD-INT-TOPOLOGY-NODE-COUNT","interconnect","拓扑节点数","给定拓扑和时间版本下的节点数量","number","count","","topology","interconnect","core","approved","M0 数据模型审查补充","topology"
"FIELD-INT-TOPOLOGY-ROUTING","interconnect","拓扑路由","拓扑采用的路由或路径选择机制","text","","","topology","interconnect","important","approved","M0 数据模型审查补充","topology"
"FIELD-MEM-AGGREGATION-VALIDITY","memory","汇聚有效性","容量和带宽是否允许跨实例汇聚解释","enum","","aggregation_validity","component","memory","core","approved","M0 数据模型审查补充","component"
"FIELD-MEM-BANKS","memory","Bank 数量","同时记录冲突条件","number","count","","component","memory","important","approved","源自资料卡字段字典 0.1","component"
"FIELD-MEM-BIDIR-BW","memory","双向或聚合带宽","不能代替单向读写","number","byte/s","","component","bandwidth","important","approved","源自资料卡字段字典 0.1","object;component"
"FIELD-MEM-CAPACITY","memory","容量","每实例、可汇聚与物理总量分开","number","byte","","component","memory","important","approved","源自资料卡字段字典 0.1","object;component"
"FIELD-MEM-COMPRESSION","memory","压缩","数据、权重、稀疏元数据和解压路径","text","","","component","memory","important","approved","源自资料卡字段字典 0.1","component"
"FIELD-MEM-CONSISTENCY","memory","一致性","作用域和参与者","text","","","component","memory","important","approved","源自资料卡字段字典 0.1","component"
"FIELD-MEM-DMA","memory","搬运能力","DMA、异步复制、预取和张量搬运","text","","","component","memory","important","approved","源自资料卡字段字典 0.1","object;component"
"FIELD-MEM-GRANULARITY","memory","访问粒度","byte、缓存行或事务","number","byte","","component","memory","important","approved","源自资料卡字段字典 0.1","component"
"FIELD-MEM-INSTANCE-COUNT","memory","实例数量","不自动乘成共享容量","number","count","","component","memory","important","approved","源自资料卡字段字典 0.1","component"
"FIELD-MEM-LATENCY","memory","延迟","周期或时间，保留测试条件","number","s","","component","bandwidth","important","approved","源自资料卡字段字典 0.1","component"
"FIELD-MEM-LOCALITY-SCOPE","memory","局部性作用域","单个存储层可直接访问或共享的执行作用域","enum","","locality_scope","component","memory","core","approved","M0 数据模型审查补充","component"
"FIELD-MEM-MANAGEMENT","memory","管理方式","硬件缓存、软件管理或混合","enum","","memory_management_mode","component","memory","important","approved","源自资料卡字段字典 0.1","component"
"FIELD-MEM-NAME","memory","层级名称","厂商名和通用层级","text","","","component","memory","important","approved","源自资料卡字段字典 0.1","object;component"
"FIELD-MEM-POOLING-MODE","memory","汇聚方式","分布式存储在物理和逻辑上是否构成共享池","enum","","pooling_mode","component","memory","core","approved","M0 数据模型审查补充","component"
"FIELD-MEM-PORTS","memory","端口","物理或逻辑端口","number","count","","component","memory","important","approved","源自资料卡字段字典 0.1","component"
"FIELD-MEM-READ-BW","memory","读带宽","峰值或实测，写清作用域","number","byte/s","","component","bandwidth","important","approved","源自资料卡字段字典 0.1","object;component"
"FIELD-MEM-READ-TRANSFER-PER-CYCLE","memory","每周期读传输量","每个来源周期内可读取的数据量；执行实例或通道作用域写入条件集，不等同 byte/s","number","byte/cycle","","component","bandwidth","important","approved","M2 独立复核补充；有可靠频率时可另行派生 byte/s","component"
"FIELD-MEM-READ-WRITE-MODEL","memory","读写模型","读写端口、方向和双工关系","enum","","read_write_model","component","memory","important","approved","M0 数据模型审查补充","component"
"FIELD-MEM-USABLE-CAPACITY","memory","对象可分配容量","在明确固件、运行时和资源保留配置下，来源或实测给出的程序可分配容量；与模型状态需求分开","number","byte","","component","memory","important","approved","资料卡 0.3 候选因素对齐新增。","object;component"
"FIELD-MEM-VIRTUAL-MEMORY","memory","虚拟内存","地址空间、页迁移和远程访问","text","","","component","memory","important","approved","源自资料卡字段字典 0.1","component"
"FIELD-MEM-WRITE-BW","memory","写带宽","与读带宽分开","number","byte/s","","component","bandwidth","important","approved","源自资料卡字段字典 0.1","object;component"
"FIELD-MEM-WRITE-TRANSFER-PER-CYCLE","memory","每周期写传输量","每个来源周期内可写入的数据量；执行实例或通道作用域写入条件集，不等同 byte/s","number","byte/cycle","","component","bandwidth","important","approved","M2 独立复核补充；有可靠频率时可另行派生 byte/s","component"
"FIELD-NUM-ACCUMULATION","numerics","程序员可见累加格式","C/D 或输出累加类型","text","","","precision_path","precision","important","approved","源自资料卡字段字典 0.1","object;component;precision_path"
"FIELD-NUM-CONVERSION","numerics","量化和格式转换","硬件路径、指令或软件实现","text","","","precision_path","precision","important","approved","源自资料卡字段字典 0.1","precision_path"
"FIELD-NUM-OPERAND-A","numerics","操作数 A 格式","完整编码名称","text","","","precision_path","precision","important","approved","源自资料卡字段字典 0.1","object;component;precision_path"
"FIELD-NUM-OPERAND-B","numerics","操作数 B 格式","完整编码名称","text","","","precision_path","precision","important","approved","源自资料卡字段字典 0.1","precision_path"
"FIELD-NUM-OUTPUT","numerics","输出格式","包括转换或截断条件","text","","","precision_path","precision","important","approved","源自资料卡字段字典 0.1","precision_path"
"FIELD-NUM-PHYSICAL-ACCUM","numerics","物理内部累加位宽或语义","与接口可见格式分开","text","","","precision_path","precision","important","approved","源自资料卡字段字典 0.1","object;component;precision_path"
"FIELD-NUM-PRODUCT","numerics","乘积或内部中间格式","未公开时不得从输入格式推断","text","","","precision_path","precision","important","approved","源自资料卡字段字典 0.1","component;precision_path"
"FIELD-NUM-ROUNDING","numerics","舍入","RNE、随机舍入等","enum","","rounding_mode","precision_path","precision","important","approved","源自资料卡字段字典 0.1","object;component;precision_path"
"FIELD-NUM-SATURATION","numerics","饱和与溢出","包括整数和浮点异常处理","enum","","saturation_mode","precision_path","precision","important","approved","源自资料卡字段字典 0.1","precision_path"
"FIELD-NUM-SCALING-GRANULARITY","numerics","缩放粒度","元素数、行、列或张量","text","","","precision_path","precision","important","approved","源自资料卡字段字典 0.1","object;precision_path"
"FIELD-NUM-SCALING-MODE","numerics","缩放方式","per-tensor、per-block、shared exponent 等","enum","","scaling_mode","precision_path","precision","important","approved","源自资料卡字段字典 0.1","precision_path"
"FIELD-NUM-SPARSITY","numerics","稀疏兼容性","稀疏模式、粒度和元数据","enum","","sparsity_mode","precision_path","precision","important","approved","源自资料卡字段字典 0.1","object;precision_path"
"FIELD-NUM-SUBNORMAL","numerics","非规格数处理","flush、保留或未公开","enum","","subnormal_mode","precision_path","precision","important","approved","源自资料卡字段字典 0.1","precision_path"
"FIELD-PHY-CLOCK","physical","时钟","峰值、基准和模式分开","number","Hz","","object;component","physical","extended","approved","源自资料卡字段字典 0.1","object;component;precision_path"
"FIELD-PHY-COOLING","physical","散热方式","风冷、液冷、被动或未公开","enum","","cooling_mode","object","physical","extended","approved","源自资料卡字段字典 0.1","object"
"FIELD-PHY-DIE-AREA","physical","裸片面积","每裸片与总面积分开","number","mm2","","object","physical","extended","approved","源自资料卡字段字典 0.1","object"
"FIELD-PHY-DIE-COUNT","physical","裸片或芯粒数","写明计算、I/O 或其他功能","number","count","","object","physical","extended","approved","源自资料卡字段字典 0.1","object"
"FIELD-PHY-FORM-FACTOR","physical","形态","SXM、PCIe、OAM、板卡尺寸等","text","","","object","physical","extended","approved","源自资料卡字段字典 0.1","object"
"FIELD-PHY-FOUNDRY","physical","代工厂","来源不一致时并列","text","","","object","physical","extended","approved","源自资料卡字段字典 0.1","object"
"FIELD-PHY-HBM-INTERFACE","physical","HBM 总接口宽度","不由容量反推","number","bit","","object","physical","extended","approved","源自资料卡字段字典 0.1","object"
"FIELD-PHY-HBM-STACKS","physical","HBM 堆叠数量","仅在明确对象上记录","number","count","","object","physical","extended","approved","源自资料卡字段字典 0.1","object"
"FIELD-PHY-INTERPOSER","physical","中介层或基板","未公开时留缺失状态","text","","","object","physical","extended","approved","源自资料卡字段字典 0.1","object"
"FIELD-PHY-PACKAGE","physical","封装方式","2.5D、3D、混合键合等","text","","","object","physical","extended","approved","源自资料卡字段字典 0.1","object"
"FIELD-PHY-POWER","physical","功耗","TDP、TBP、典型和上限分开","number","W","","object","physical","extended","approved","源自资料卡字段字典 0.1","object"
"FIELD-PHY-PROCESS","physical","制程","区分代工厂公开值和第三方拆解","text","","","object","physical","extended","approved","源自资料卡字段字典 0.1","object"
"FIELD-PHY-TRANSISTORS","physical","晶体管数量","保留原文十进制数量","number","count","","object","physical","extended","approved","源自资料卡字段字典 0.1","object"
"FIELD-RAS-CAPABILITY","reliability","RAS 能力","可靠性、可用性和可维护性机制","text","","","object","reliability","extended","approved","M0 数据模型审查补充","object"
"FIELD-RAS-CHECKPOINT-RESTART","reliability","检查点与重启支持","硬件、固件或软件栈公开支持的检查点、状态保存和作业重启边界","text","","","object","reliability","conditional","approved","资料卡 0.3 候选因素对齐新增。","object"
"FIELD-RAS-CORRECTION-REPLAY","reliability","纠错、重试与重放","纠错、链路重试、事务重放或计算重放机制及其作用域","text","","","object","reliability","conditional","approved","资料卡 0.3 候选因素对齐新增。","object"
"FIELD-RAS-ECC","reliability","ECC 能力","错误纠正码覆盖的存储或数据路径及其纠错能力","text","","","object","reliability","extended","approved","M0 数据模型审查补充","object"
"FIELD-RAS-ERROR-DETECTION","reliability","错误与故障检测","奇偶校验、CRC、看门狗、冗余检查或其他可定位的错误与故障检测机制","text","","","object","reliability","extended","approved","资料卡 0.3 候选因素对齐新增。","object"
"FIELD-RAS-FAULT-ISOLATION","reliability","故障隔离","故障隔离、降级和维修边界","text","","","object","reliability","extended","approved","M0 数据模型审查补充","object"
"FIELD-RAS-PROTECTION-SCOPE","reliability","保护覆盖范围","可靠性保护覆盖的计算、存储、互联、控制或软件状态边界","text","","","object","reliability","extended","approved","资料卡 0.3 候选因素对齐新增。","object"
"FIELD-RAS-RECOVERY","reliability","恢复与降级","复位、隔离、降级运行、替换、迁移或其他恢复机制及恢复边界","text","","","object","reliability","extended","approved","资料卡 0.3 候选因素对齐新增。","object"
"FIELD-RAS-SILENT-DATA-ERROR","reliability","静默数据错误检测","检测或缓解静默数据错误的公开机制","text","","","object","reliability","conditional","approved","M0 数据模型审查补充","object"
"FIELD-RAS-TELEMETRY-BIST","reliability","遥测与自检","健康遥测、在线诊断、内建自测试（BIST）和预防性维护机制","text","","","object","reliability","conditional","approved","资料卡 0.3 候选因素对齐新增。","object"
"FIELD-REL-QUANTITY","relationship","关系数量","某个对象关系在来源给定条件下对应的下级对象或实例数量","number","count","","object_relation","relationship","core","approved","M0 数据模型审查补充","object_relation"
"FIELD-SW-CHIP-BOUND-SCHEDULING","software","芯片绑定的工作调度机制","厂商明确绑定该对象或其软件栈的硬件队列、资源分配、作业放置、请求调度或检查点协同能力；不记录某次部署采用的调度策略","text","","","object","software","important","approved","资料卡 0.3 候选因素对齐新增。","object"
"FIELD-SW-COMMUNICATION-LIBRARY","software","通信库","通信库名称、版本和支持的互联范围","text","","","object","software","extended","approved","M0 数据模型审查补充","object"
"FIELD-SW-COMPILER","software","编译器","编译器名称、版本与对象绑定关系","text","","","object","software","extended","approved","M0 数据模型审查补充","object"
"FIELD-SW-CUSTOM-OPERATOR","software","自定义算子接口","自定义算子或内核接口及其限制","text","","","object","software","extended","approved","M0 数据模型审查补充","object"
"FIELD-SW-DYNAMIC-SHAPE","software","动态形状支持","编译器或运行时对动态形状的支持边界","text","","","object","software","conditional","approved","M0 数据模型审查补充","object"
"FIELD-SW-FRAMEWORK","software","框架适配","框架名称、版本、后端及适用对象范围","text","","","object","software","extended","approved","资料卡 0.3 候选因素对齐新增。","object"
"FIELD-SW-OPERATOR-LIBRARY","software","算子库","算子库名称、版本和硬件适用范围","text","","","object","software","extended","approved","M0 数据模型审查补充","object"
"FIELD-SW-PROGRAMMING-MODEL","software","编程模型","面向该对象公开的编程模型","text","","","object","software","extended","approved","M0 数据模型审查补充","object"
"FIELD-SW-QUANTIZATION-TOOL","software","量化工具","量化、校准和格式转换工具及其版本","text","","","object","software","conditional","approved","M0 数据模型审查补充","object"
"FIELD-SW-RUNTIME","software","运行时","运行时名称、版本与对象绑定关系","text","","","object","software","extended","approved","M0 数据模型审查补充","object"
"FIELD-SW-SUPPORT-MATURITY","software","软件支持成熟度","把厂商声明、文档支持、可运行验证和公开基准分层记录，不以接口存在替代可用性","enum","","support_evidence_level","object","software","extended","approved","资料卡 0.3 候选因素对齐新增。","object"
"FIELD-VIRT-MULTI-TENANCY","virtualization","多租户能力","多租户隔离和资源共享机制","text","","","object","software","extended","approved","M0 数据模型审查补充","object"
"FIELD-VIRT-PARTITIONING","virtualization","资源分区","设备、计算、存储或互联资源的硬件或软件分区方式","text","","","object","software","extended","approved","M0 数据模型审查补充","object"
"FIELD-VIRT-PREEMPTION-QOS","virtualization","抢占、隔离与 QoS","抢占粒度、资源隔离、优先级和服务质量机制及其限制","text","","","object","software","conditional","approved","资料卡 0.3 候选因素对齐新增。","object"
