"field_id","field_domain","field_name_zh","definition","value_kind","canonical_unit","value_enum_name","allowed_subject_kinds","condition_schema","required_tier","review_status","notes"
"FIELD-INT-PER-LINK-RATE","interconnect","单链路速率","bit/s 与 byte/s 不混用","number","bit/s","","link","bandwidth","important","approved","源自资料卡字段字典 0.1"
"FIELD-INT-PHYSICAL-LINK-COUNT","interconnect","物理链路数量","链路实体包含的物理链路数量，不与逻辑连接数混用","number","count","","link","interconnect","core","approved","M0 数据模型审查补充"
"FIELD-INT-PROTOCOL","interconnect","协议","协议代际和物理接口","text","","","link","interconnect","important","approved","源自资料卡字段字典 0.1"
"FIELD-INT-REMOTE-MEMORY","interconnect","远程内存","一致性、原子和直接访问","text","","","link","interconnect","important","approved","源自资料卡字段字典 0.1"
"FIELD-INT-TOPOLOGY","interconnect","拓扑","环、网格、torus、全连接、交换结构等","enum","","topology_type","topology","interconnect","important","approved","源自资料卡字段字典 0.1"
"FIELD-INT-TOPOLOGY-DIMENSIONS","interconnect","拓扑维度","网格、Torus 或其他多维拓扑的维度说明","text","","","topology","interconnect","important","approved","M0 数据模型审查补充"
"FIELD-INT-TOPOLOGY-NODE-COUNT","interconnect","拓扑节点数","给定拓扑和时间版本下的节点数量","number","count","","topology","interconnect","core","approved","M0 数据模型审查补充"
"FIELD-INT-TOPOLOGY-ROUTING","interconnect","拓扑路由","拓扑采用的路由或路径选择机制","text","","","topology","interconnect","important","approved","M0 数据模型审查补充"
"FIELD-MEM-AGGREGATION-VALIDITY","memory","汇聚有效性","容量和带宽是否允许跨实例汇聚解释","enum","","aggregation_validity","component","memory","core","approved","M0 数据模型审查补充"
"FIELD-MEM-BANKS","memory","Bank 数量","同时记录冲突条件","number","count","","component","memory","important","approved","源自资料卡字段字典 0.1"
"FIELD-MEM-BIDIR-BW","memory","双向或聚合带宽","不能代替单向读写","number","byte/s","","component","bandwidth","important","approved","源自资料卡字段字典 0.1"
"FIELD-MEM-CAPACITY","memory","容量","每实例、可汇聚与物理总量分开","number","byte","","component","memory","important","approved","源自资料卡字段字典 0.1"
"FIELD-MEM-COMPRESSION","memory","压缩","数据、权重、稀疏元数据和解压路径","text","","","component","memory","important","approved","源自资料卡字段字典 0.1"
"FIELD-MEM-CONSISTENCY","memory","一致性","作用域和参与者","text","","","component","memory","important","approved","源自资料卡字段字典 0.1"
"FIELD-MEM-DMA","memory","搬运能力","DMA、异步复制、预取和张量搬运","text","","","component","memory","important","approved","源自资料卡字段字典 0.1"
"FIELD-MEM-GRANULARITY","memory","访问粒度","byte、缓存行或事务","number","byte","","component","memory","important","approved","源自资料卡字段字典 0.1"
"FIELD-MEM-INSTANCE-COUNT","memory","实例数量","不自动乘成共享容量","number","count","","component","memory","important","approved","源自资料卡字段字典 0.1"
"FIELD-MEM-LATENCY","memory","延迟","周期或时间，保留测试条件","number","s","","component","bandwidth","important","approved","源自资料卡字段字典 0.1"
"FIELD-MEM-LOCALITY-SCOPE","memory","局部性作用域","单个存储层可直接访问或共享的执行作用域","enum","","locality_scope","component","memory","core","approved","M0 数据模型审查补充"
"FIELD-MEM-MANAGEMENT","memory","管理方式","硬件缓存、软件管理或混合","enum","","memory_management_mode","component","memory","important","approved","源自资料卡字段字典 0.1"
"FIELD-MEM-NAME","memory","层级名称","厂商名和通用层级","text","","","component","memory","important","approved","源自资料卡字段字典 0.1"
"FIELD-MEM-POOLING-MODE","memory","汇聚方式","分布式存储在物理和逻辑上是否构成共享池","enum","","pooling_mode","component","memory","core","approved","M0 数据模型审查补充"
"FIELD-MEM-PORTS","memory","端口","物理或逻辑端口","number","count","","component","memory","important","approved","源自资料卡字段字典 0.1"
"FIELD-MEM-READ-BW","memory","读带宽","峰值或实测，写清作用域","number","byte/s","","component","bandwidth","important","approved","源自资料卡字段字典 0.1"
"FIELD-MEM-READ-WRITE-MODEL","memory","读写模型","读写端口、方向和双工关系","enum","","read_write_model","component","memory","important","approved","M0 数据模型审查补充"
"FIELD-MEM-VIRTUAL-MEMORY","memory","虚拟内存","地址空间、页迁移和远程访问","text","","","component","memory","important","approved","源自资料卡字段字典 0.1"
"FIELD-MEM-WRITE-BW","memory","写带宽","与读带宽分开","number","byte/s","","component","bandwidth","important","approved","源自资料卡字段字典 0.1"
"FIELD-NUM-ACCUMULATION","numerics","程序员可见累加格式","C/D 或输出累加类型","text","","","precision_path","precision","important","approved","源自资料卡字段字典 0.1"
"FIELD-NUM-CONVERSION","numerics","量化和格式转换","硬件路径、指令或软件实现","text","","","precision_path","precision","important","approved","源自资料卡字段字典 0.1"
"FIELD-NUM-OPERAND-A","numerics","操作数 A 格式","完整编码名称","text","","","precision_path","precision","important","approved","源自资料卡字段字典 0.1"
"FIELD-NUM-OPERAND-B","numerics","操作数 B 格式","完整编码名称","text","","","precision_path","precision","important","approved","源自资料卡字段字典 0.1"
"FIELD-NUM-OUTPUT","numerics","输出格式","包括转换或截断条件","text","","","precision_path","precision","important","approved","源自资料卡字段字典 0.1"
"FIELD-NUM-PHYSICAL-ACCUM","numerics","物理内部累加位宽或语义","与接口可见格式分开","text","","","precision_path","precision","important","approved","源自资料卡字段字典 0.1"
"FIELD-NUM-PRODUCT","numerics","乘积或内部中间格式","未公开时不得从输入格式推断","text","","","precision_path","precision","important","approved","源自资料卡字段字典 0.1"
"FIELD-NUM-ROUNDING","numerics","舍入","RNE、随机舍入等","enum","","rounding_mode","precision_path","precision","important","approved","源自资料卡字段字典 0.1"
"FIELD-NUM-SATURATION","numerics","饱和与溢出","包括整数和浮点异常处理","enum","","saturation_mode","precision_path","precision","important","approved","源自资料卡字段字典 0.1"
"FIELD-NUM-SCALING-GRANULARITY","numerics","缩放粒度","元素数、行、列或张量","text","","","precision_path","precision","important","approved","源自资料卡字段字典 0.1"
"FIELD-NUM-SCALING-MODE","numerics","缩放方式","per-tensor、per-block、shared exponent 等","enum","","scaling_mode","precision_path","precision","important","approved","源自资料卡字段字典 0.1"
"FIELD-NUM-SPARSITY","numerics","稀疏兼容性","稀疏模式、粒度和元数据","enum","","sparsity_mode","precision_path","precision","important","approved","源自资料卡字段字典 0.1"
"FIELD-NUM-SUBNORMAL","numerics","非规格数处理","flush、保留或未公开","enum","","subnormal_mode","precision_path","precision","important","approved","源自资料卡字段字典 0.1"
"FIELD-PHY-CLOCK","physical","时钟","峰值、基准和模式分开","number","Hz","","object","physical","extended","approved","源自资料卡字段字典 0.1"
"FIELD-PHY-COOLING","physical","散热方式","风冷、液冷、被动或未公开","enum","","cooling_mode","object","physical","extended","approved","源自资料卡字段字典 0.1"
"FIELD-PHY-DIE-AREA","physical","裸片面积","每裸片与总面积分开","number","mm2","","object","physical","extended","approved","源自资料卡字段字典 0.1"
"FIELD-PHY-DIE-COUNT","physical","裸片或芯粒数","写明计算、I/O 或其他功能","number","count","","object","physical","extended","approved","源自资料卡字段字典 0.1"
"FIELD-PHY-FORM-FACTOR","physical","形态","SXM、PCIe、OAM、板卡尺寸等","text","","","object","physical","extended","approved","源自资料卡字段字典 0.1"
"FIELD-PHY-FOUNDRY","physical","代工厂","来源不一致时并列","text","","","object","physical","extended","approved","源自资料卡字段字典 0.1"
"FIELD-PHY-HBM-INTERFACE","physical","HBM 总接口宽度","不由容量反推","number","bit","","object","physical","extended","approved","源自资料卡字段字典 0.1"
"FIELD-PHY-HBM-STACKS","physical","HBM 堆叠数量","仅在明确对象上记录","number","count","","object","physical","extended","approved","源自资料卡字段字典 0.1"
"FIELD-PHY-INTERPOSER","physical","中介层或基板","未公开时留缺失状态","text","","","object","physical","extended","approved","源自资料卡字段字典 0.1"
"FIELD-PHY-PACKAGE","physical","封装方式","2.5D、3D、混合键合等","text","","","object","physical","extended","approved","源自资料卡字段字典 0.1"
"FIELD-PHY-POWER","physical","功耗","TDP、TBP、典型和上限分开","number","W","","object","physical","extended","approved","源自资料卡字段字典 0.1"
"FIELD-PHY-PROCESS","physical","制程","区分代工厂公开值和第三方拆解","text","","","object","physical","extended","approved","源自资料卡字段字典 0.1"
"FIELD-PHY-TRANSISTORS","physical","晶体管数量","保留原文十进制数量","number","count","","object","physical","extended","approved","源自资料卡字段字典 0.1"
"FIELD-RAS-CAPABILITY","reliability","RAS 能力","可靠性、可用性和可维护性机制","text","","","object","reliability","extended","approved","M0 数据模型审查补充"
"FIELD-RAS-ECC","reliability","ECC 能力","错误纠正码覆盖的存储或数据路径及其纠错能力","text","","","object","reliability","extended","approved","M0 数据模型审查补充"
"FIELD-RAS-FAULT-ISOLATION","reliability","故障隔离","故障隔离、降级和维修边界","text","","","object","reliability","extended","approved","M0 数据模型审查补充"
"FIELD-RAS-SILENT-DATA-ERROR","reliability","静默数据错误检测","检测或缓解静默数据错误的公开机制","text","","","object","reliability","conditional","approved","M0 数据模型审查补充"
"FIELD-REL-QUANTITY","relationship","关系数量","某个对象关系在来源给定条件下对应的下级对象或实例数量","number","count","","object_relation","relationship","core","approved","M0 数据模型审查补充"
"FIELD-SW-COMMUNICATION-LIBRARY","software","通信库","通信库名称、版本和支持的互联范围","text","","","object","software","extended","approved","M0 数据模型审查补充"
"FIELD-SW-COMPILER","software","编译器","编译器名称、版本与对象绑定关系","text","","","object","software","extended","approved","M0 数据模型审查补充"
"FIELD-SW-CUSTOM-OPERATOR","software","自定义算子接口","自定义算子或内核接口及其限制","text","","","object","software","extended","approved","M0 数据模型审查补充"
"FIELD-SW-DYNAMIC-SHAPE","software","动态形状支持","编译器或运行时对动态形状的支持边界","text","","","object","software","conditional","approved","M0 数据模型审查补充"
"FIELD-SW-OPERATOR-LIBRARY","software","算子库","算子库名称、版本和硬件适用范围","text","","","object","software","extended","approved","M0 数据模型审查补充"
"FIELD-SW-PROGRAMMING-MODEL","software","编程模型","面向该对象公开的编程模型","text","","","object","software","extended","approved","M0 数据模型审查补充"
"FIELD-SW-QUANTIZATION-TOOL","software","量化工具","量化、校准和格式转换工具及其版本","text","","","object","software","conditional","approved","M0 数据模型审查补充"
"FIELD-SW-RUNTIME","software","运行时","运行时名称、版本与对象绑定关系","text","","","object","software","extended","approved","M0 数据模型审查补充"
"FIELD-VIRT-MULTI-TENANCY","virtualization","多租户能力","多租户隔离和资源共享机制","text","","","object","software","extended","approved","M0 数据模型审查补充"
"FIELD-VIRT-PARTITIONING","virtualization","资源分区","设备、计算、存储或互联资源的硬件或软件分区方式","text","","","object","software","extended","approved","M0 数据模型审查补充"
