来源项目,来源记录,标题或条目说明,作者或机构,资料类型,证据等级,发布日期,记录状态,URL,来源文件,备注
调研-训练推理芯片调研,14；2；24,"📘 AMD, Instinct MI355X GPU datasheet（FP8 10.07/5.03、FP6=FP4 20.13/10.07、FP16 5.03/2.52 稀疏/稠密、FP64 78.6 TFLOPS、288GB/8TB/s、1400W）. ；NEC/Koi 镜像",,厂商或官方资料,,,v4 当前引用,https://www.koicomputers.com/wp-content/uploads/2025/08/amd-instinct-mi350x-gpu-datasheet.pdf,调研v4/99_参考文献总库.md；调研v4/厂商档案/AMD/芯片架构详解.md；调研v4/厂商档案/AMD/资料汇总.md,
调研-训练推理芯片调研,13；24,"📘 AMD, Instinct MI355X GPU datasheet（FP8 10.07/5.03、FP6=FP4 20.13/10.07、FP16 5.03/2.52 稀疏/稠密、FP64 78.6 TFLOPS、288GB/8TB/s、1400W）. ；NEC/Koi 镜像",,厂商或官方资料,,,v4 当前引用,https://www.nec.com/en/global/solutions/hpc/lx/images/AMD/amd-instinct-mi355x-gpu-datasheet.pdf,调研v4/99_参考文献总库.md；调研v4/厂商档案/AMD/芯片架构详解.md,
调研-训练推理芯片调研,36；7；9,"📘 AMD, MI400 432GB HBM4 + Helios rack preview（19.6TB/s、72 卡机柜 1.4/2.9 EFLOPS）；Helios — AI Rack on Meta 2025 OCP.",,厂商或官方资料,,,v4 当前引用,https://www.amd.com/en/blogs/2025/amd-helios-ai-rack-built-on-metas-2025-ocp-design.html,调研v4/99_参考文献总库.md；调研v4/主题分析/06_系统视角.md；调研v4/厂商档案/AMD/芯片架构详解.md,
调研-训练推理芯片调研,36；6,"📘 AMD, MI400 432GB HBM4 + Helios rack preview（19.6TB/s、72 卡机柜 1.4/2.9 EFLOPS）；Helios — AI Rack on Meta 2025 OCP.",,厂商或官方资料,,,v4 当前引用,https://www.techpowerup.com/337987/amd-previews-432-gb-hbm4-instinct-mi400-gpus-and-helios-rack-scale-ai-solution,调研v4/99_参考文献总库.md；调研v4/厂商档案/AMD/芯片架构详解.md,
调研-训练推理芯片调研,10；21；35,"📘 AMD, ROCm 7.0: Built for Developers + release notes（3.5× 推理、vLLM/SGLang FP4、Day-0 gpt-oss、PD 解耦、HIPIFY 覆盖 CUDA 12.9.1）.",,厂商或官方资料,,,v4 当前引用,https://rocm.docs.amd.com/en/docs-7.0.0/about/release-notes.html,调研v4/99_参考文献总库.md；调研v4/厂商档案/AMD/芯片架构详解.md；调研v4/厂商档案/AMD/资料汇总.md,
调研-训练推理芯片调研,20；35；9,"📘 AMD, ROCm 7.0: Built for Developers + release notes（3.5× 推理、vLLM/SGLang FP4、Day-0 gpt-oss、PD 解耦、HIPIFY 覆盖 CUDA 12.9.1）.",,厂商或官方资料,,,v4 当前引用,https://www.amd.com/en/developer/resources/technical-articles/2025/amd-rocm-7-built-for-developers-ready-for-enterprises.html,调研v4/99_参考文献总库.md；调研v4/厂商档案/AMD/芯片架构详解.md；调研v4/厂商档案/AMD/资料汇总.md,
调研-训练推理芯片调研,4；59；7；调研v4/厂商档案/AWS-Trainium-Inferentia/资料汇总.md:22,"📘 AWS Neuron, About NKI（MLIR 编译器、nki.lang/nki.isa、覆盖 Inf2/Trn1/Trn2/Trn3）.",,厂商或官方资料,,,v4 当前引用,https://awsdocs-neuron.readthedocs-hosted.com/en/latest/nki/get-started/about/index.html,调研v4/99_参考文献总库.md；调研v4/厂商档案/AWS-Trainium-Inferentia/芯片架构详解.md；调研v4/厂商档案/AWS-Trainium-Inferentia/资料汇总.md,
调研-训练推理芯片调研,13；E-arch1；调研v4/厂商档案/AWS-Trainium-Inferentia/芯片架构详解.md:154；调研v4/厂商档案/AWS-Trainium-Inferentia/资料汇总.md:27,"📘 AWS Neuron, Trainium/Inferentia2 Architecture Guide for NKI（本厂最权威一手微架构定义文档：128×128 TensorEngine 脉动阵列、128-lane Vector/Scalar、GpSimd×8、SBUF 128×192KiB=24MiB / PSUM 128×8 bank=2MiB 的 P/F 二维内存模型）.",,厂商或官方资料,,,v4 当前引用,https://awsdocs-neuron.readthedocs-hosted.com/en/latest/nki/guides/architecture/trainium_inferentia2_arch.html,调研v4/99_参考文献总库.md；调研v4/厂商档案/AWS-Trainium-Inferentia/芯片架构详解.md；调研v4/厂商档案/AWS-Trainium-Inferentia/资料汇总.md,
调研-训练推理芯片调研,1；55；调研v4/厂商档案/AWS-Trainium-Inferentia/资料汇总.md:19,"📘 AWS Neuron, 架构文档（Trn2/Trn3/NeuronCore-v2·v3·v4/Inferentia2/Trn2 arch）.",,厂商或官方资料,,,v4 当前引用,https://awsdocs-neuron.readthedocs-hosted.com/en/latest/about-neuron/arch/,调研v4/99_参考文献总库.md；调研v4/厂商档案/AWS-Trainium-Inferentia/资料汇总.md,
调研-训练推理芯片调研,3；55,"📘 AWS Neuron, 架构文档（Trn2/Trn3/NeuronCore-v2·v3·v4/Inferentia2/Trn2 arch）.",,厂商或官方资料,,,v4 当前引用,https://awsdocs-neuron.readthedocs-hosted.com/en/latest/about-neuron/arch/neuron-hardware/trn2-arch.html,调研v4/99_参考文献总库.md；调研v4/厂商档案/AWS-Trainium-Inferentia/芯片架构详解.md,
调研-训练推理芯片调研,1；5；58,"📘 AWS, EC2 Inf2 GA 博客 + Inferentia2 架构页（NeuronCore-v2、INT8 380 TOPS、HBM 32GiB/820GiB/s）.",,厂商或官方资料,,,v4 当前引用,https://aws.amazon.com/blogs/aws/amazon-ec2-inf2-instances-for-low-cost-high-performance-generative-ai-inference-are-now-generally-available/,调研v4/99_参考文献总库.md；调研v4/厂商档案/AWS-Trainium-Inferentia/芯片架构详解.md；调研v4/厂商档案/AWS-Trainium-Inferentia/资料汇总.md,
调研-训练推理芯片调研,3；57,"📘 AWS, EC2 Trn2 Instances & UltraServers GA（2024-12；64 芯片/83.2 PFLOPS FP8/6TB HBM/185TB/s/12.8Tbps EFA）.",,厂商或官方资料,,,v4 当前引用,https://aws.amazon.com/blogs/aws/amazon-ec2-trn2-instances-and-trn2-ultraservers-for-aiml-training-and-inference-is-now-available/,调研v4/99_参考文献总库.md；调研v4/厂商档案/AWS-Trainium-Inferentia/资料汇总.md,
调研-训练推理芯片调研,2；4；56；6；调研v4/厂商档案/AWS-Trainium-Inferentia/资料汇总.md:20,"📘 AWS, EC2 Trn3 UltraServers GA（2025-12；2.52 PFLOPS FP8/芯片、144GB HBM3e/4.9TB/s；UltraServer 144 芯片/362 PFLOPS/20.7TB/706TB/s；NeuronSwitch-v1；MXFP8/MXFP4）.",,厂商或官方资料,,,v4 当前引用,https://aws.amazon.com/about-aws/whats-new/2025/12/amazon-ec2-trn3-ultraservers/,调研v4/99_参考文献总库.md；调研v4/主题分析/06_系统视角.md；调研v4/厂商档案/AWS-Trainium-Inferentia/芯片架构详解.md；调研v4/厂商档案/AWS-Trainium-Inferentia/资料汇总.md,
调研-训练推理芯片调研,2；4；56；调研v4/主题分析/04_memory_hierarchy差异.md:175,"📘 AWS, EC2 Trn3 UltraServers GA（2025-12；2.52 PFLOPS FP8/芯片、144GB HBM3e/4.9TB/s；UltraServer 144 芯片/362 PFLOPS/20.7TB/706TB/s；NeuronSwitch-v1；MXFP8/MXFP4）.",,厂商或官方资料,,,v4 当前引用,https://aws.amazon.com/ec2/instance-types/trn3/,调研v4/99_参考文献总库.md；调研v4/主题分析/04_memory_hierarchy差异.md；调研v4/厂商档案/AWS-Trainium-Inferentia/芯片架构详解.md；调研v4/厂商档案/AWS-Trainium-Inferentia/资料汇总.md,
调研-训练推理芯片调研,2；48,"📘 Anthropic, Expanding our use of Google Cloud TPUs（100 万 Ironwood、1 GW）.",,厂商或官方资料,,,v4 当前引用,https://www.anthropic.com/news/expanding-our-use-of-google-cloud-tpus-and-services,调研v4/99_参考文献总库.md；调研v4/厂商档案/Google-TPU/芯片架构详解.md,
调研-训练推理芯片调研,Q-arch7；调研v4/厂商档案/其他国产与边缘/芯片架构详解.md:195；调研v4/厂商档案/其他国产与边缘/资料汇总.md:106；调研v4/厂商档案/其他国产与边缘/资料汇总.md:75,"📘 Apple ML Research, Deploying Transformers on the Apple Neural Engine（2022）（ANE 官方一手上限——Apple 从不在 ISSCC/Hot Chips/IEEE Micro 发表 ANE 论文）.",,厂商或官方资料,,,v4 当前引用,https://machinelearning.apple.com/research/neural-engine-transformers,调研v4/99_参考文献总库.md；调研v4/厂商档案/其他国产与边缘/芯片架构详解.md；调研v4/厂商档案/其他国产与边缘/资料汇总.md,
调研-训练推理芯片调研,153；调研v4/厂商档案/其他国产与边缘/芯片架构详解.md:188；调研v4/厂商档案/其他国产与边缘/资料汇总.md:113；调研v4/厂商档案/其他国产与边缘/资料汇总.md:78,"📘 Apple, M5 Newsroom（每 GPU 核内置 Neural Accelerator、GPU AI 峰值 4× M4、保留独立 ANE）；📊 Wikipedia M5 / PatSnap Apple Silicon roadmap / XsOne A19 / hollance neural-engine（逆向社区 ANE 表）.",,厂商或官方资料,,,v4 当前引用,https://en.wikipedia.org/wiki/Apple_M5,调研v4/99_参考文献总库.md；调研v4/厂商档案/其他国产与边缘/芯片架构详解.md；调研v4/厂商档案/其他国产与边缘/资料汇总.md,
调研-训练推理芯片调研,153；调研v4/厂商档案/其他国产与边缘/资料汇总.md:116；调研v4/厂商档案/其他国产与边缘/资料汇总.md:80,"📘 Apple, M5 Newsroom（每 GPU 核内置 Neural Accelerator、GPU AI 峰值 4× M4、保留独立 ANE）；📊 Wikipedia M5 / PatSnap Apple Silicon roadmap / XsOne A19 / hollance neural-engine（逆向社区 ANE 表）.",,厂商或官方资料,,,v4 当前引用,https://github.com/hollance/neural-engine/blob/master/docs/supported-devices.md,调研v4/99_参考文献总库.md；调研v4/厂商档案/其他国产与边缘/资料汇总.md,
调研-训练推理芯片调研,153；调研v4/厂商档案/其他国产与边缘/芯片架构详解.md:188；调研v4/厂商档案/其他国产与边缘/资料汇总.md:112；调研v4/厂商档案/其他国产与边缘/资料汇总.md:77,"📘 Apple, M5 Newsroom（每 GPU 核内置 Neural Accelerator、GPU AI 峰值 4× M4、保留独立 ANE）；📊 Wikipedia M5 / PatSnap Apple Silicon roadmap / XsOne A19 / hollance neural-engine（逆向社区 ANE 表）.",,厂商或官方资料,,,v4 当前引用,https://www.apple.com/newsroom/2025/10/apple-unleashes-m5-the-next-big-leap-in-ai-performance-for-apple-silicon/,调研v4/99_参考文献总库.md；调研v4/厂商档案/其他国产与边缘/芯片架构详解.md；调研v4/厂商档案/其他国产与边缘/资料汇总.md,
调研-训练推理芯片调研,153；调研v4/厂商档案/其他国产与边缘/芯片架构详解.md:187；调研v4/厂商档案/其他国产与边缘/资料汇总.md:114；调研v4/厂商档案/其他国产与边缘/资料汇总.md:79,"📘 Apple, M5 Newsroom（每 GPU 核内置 Neural Accelerator、GPU AI 峰值 4× M4、保留独立 ANE）；📊 Wikipedia M5 / PatSnap Apple Silicon roadmap / XsOne A19 / hollance neural-engine（逆向社区 ANE 表）.",,厂商或官方资料,,,v4 当前引用,https://www.patsnap.com/resources/blog/articles/apple-silicon-roadmap-a-series-to-m-series-2015-2026/,调研v4/99_参考文献总库.md；调研v4/厂商档案/其他国产与边缘/芯片架构详解.md；调研v4/厂商档案/其他国产与边缘/资料汇总.md,
调研-训练推理芯片调研,153；调研v4/厂商档案/其他国产与边缘/芯片架构详解.md:187；调研v4/厂商档案/其他国产与边缘/资料汇总.md:115,"📘 Apple, M5 Newsroom（每 GPU 核内置 Neural Accelerator、GPU AI 峰值 4× M4、保留独立 ANE）；📊 Wikipedia M5 / PatSnap Apple Silicon roadmap / XsOne A19 / hollance neural-engine（逆向社区 ANE 表）.",,厂商或官方资料,,,v4 当前引用,https://xsoneconsultants.com/blog/a19-chip-benchmarks/,调研v4/99_参考文献总库.md；调研v4/厂商档案/其他国产与边缘/芯片架构详解.md；调研v4/厂商档案/其他国产与边缘/资料汇总.md,
调研-训练推理芯片调研,77；调研v4/厂商档案/Cerebras/芯片架构详解.md:153；调研v4/厂商档案/Cerebras/资料汇总.md:20；调研v4/厂商档案/Cerebras/资料汇总.md:87,"📘 Cerebras, Inference 博客（70B 2100 tok/s、405B 969 tok/s）；Pricing / Model Catalog.",,厂商或官方资料,,,v4 当前引用,https://inference-docs.cerebras.ai/models/overview,调研v4/99_参考文献总库.md；调研v4/厂商档案/Cerebras/芯片架构详解.md；调研v4/厂商档案/Cerebras/资料汇总.md,
调研-训练推理芯片调研,77；调研v4/厂商档案/Cerebras/芯片架构详解.md:144；调研v4/厂商档案/Cerebras/资料汇总.md:31；调研v4/厂商档案/Cerebras/资料汇总.md:93,"📘 Cerebras, Inference 博客（70B 2100 tok/s、405B 969 tok/s）；Pricing / Model Catalog.",,厂商或官方资料,,,v4 当前引用,https://www.cerebras.ai/blog/cerebras-inference-3x-faster,调研v4/99_参考文献总库.md；调研v4/厂商档案/Cerebras/芯片架构详解.md；调研v4/厂商档案/Cerebras/资料汇总.md,
调研-训练推理芯片调研,77；调研v4/厂商档案/Cerebras/芯片架构详解.md:145；调研v4/厂商档案/Cerebras/资料汇总.md:31；调研v4/厂商档案/Cerebras/资料汇总.md:93,"📘 Cerebras, Inference 博客（70B 2100 tok/s、405B 969 tok/s）；Pricing / Model Catalog.",,厂商或官方资料,,,v4 当前引用,https://www.cerebras.ai/blog/llama-405b-inference,调研v4/99_参考文献总库.md；调研v4/厂商档案/Cerebras/芯片架构详解.md；调研v4/厂商档案/Cerebras/资料汇总.md,
调研-训练推理芯片调研,77；调研v4/厂商档案/Cerebras/资料汇总.md:20；调研v4/厂商档案/Cerebras/资料汇总.md:87,"📘 Cerebras, Inference 博客（70B 2100 tok/s、405B 969 tok/s）；Pricing / Model Catalog.",,厂商或官方资料,,,v4 当前引用,https://www.cerebras.ai/pricing,调研v4/99_参考文献总库.md；调研v4/厂商档案/Cerebras/资料汇总.md,
调研-训练推理芯片调研,75；调研v4/厂商档案/Cerebras/芯片架构详解.md:151；调研v4/厂商档案/Cerebras/资料汇总.md:29；调研v4/厂商档案/Cerebras/资料汇总.md:92,"📘 Cerebras, WSE-3 / CS-3 PR（4 万亿晶体管、5nm）；Architecture Deep Dive: HW/SW Co-Design（非结构化稀疏、发送端滤零）.",,厂商或官方资料,,,v4 当前引用,https://www.cerebras.ai/blog/cerebras-architecture-deep-dive-first-look-inside-the-hw-sw-co-design-for-deep-learning,调研v4/99_参考文献总库.md；调研v4/厂商档案/Cerebras/芯片架构详解.md；调研v4/厂商档案/Cerebras/资料汇总.md,
调研-训练推理芯片调研,75；调研v4/厂商档案/Cerebras/芯片架构详解.md:141；调研v4/厂商档案/Cerebras/资料汇总.md:16；调研v4/厂商档案/Cerebras/资料汇总.md:86,"📘 Cerebras, WSE-3 / CS-3 PR（4 万亿晶体管、5nm）；Architecture Deep Dive: HW/SW Co-Design（非结构化稀疏、发送端滤零）.",,厂商或官方资料,,,v4 当前引用,https://www.cerebras.ai/press-release/cerebras-announces-third-generation-wafer-scale-engine,调研v4/99_参考文献总库.md；调研v4/厂商档案/Cerebras/芯片架构详解.md；调研v4/厂商档案/Cerebras/资料汇总.md,
调研-训练推理芯片调研,N-arch2；调研v4/厂商档案/CIM-Transformer-ASIC/芯片架构详解.md:161；调研v4/厂商档案/CIM-Transformer-ASIC/资料汇总.md:38；调研v4/厂商档案/CIM-Transformer-ASIC/资料汇总.md:96,"📘 D. Fick（Mythic 联合创始人/CTO）, Mythic @ Hot Chips 2018（Mythic 架构最权威一手来源：首次官方公开""矩阵乘法存储器""——嵌入式 Flash 浮栅作可变电阻、I=V×G 模拟 MAC、8-bit/256 级权重 + tile SRAM/SIMD/RISC-V/NoC router 完整微架构）.",,厂商或官方资料,,,v4 当前引用,https://medium.com/mythic-ai/mythic-hot-chips-2018-637dfb9e38b7,调研v4/99_参考文献总库.md；调研v4/厂商档案/CIM-Transformer-ASIC/芯片架构详解.md；调研v4/厂商档案/CIM-Transformer-ASIC/资料汇总.md,
调研-训练推理芯片调研,172,"📘 DeepSpeed, ZeRO tutorial（优化器状态 18GB / 状态分片）.",,厂商或官方资料,,,v4 当前引用,https://www.deepspeed.ai/tutorials/zero/,调研v4/99_参考文献总库.md,
调研-训练推理芯片调研,L-arch2；调研v4/厂商档案/Intel-Gaudi/芯片架构详解.md:150；调研v4/厂商档案/Intel-Gaudi/资料汇总.md:34；调研v4/厂商档案/Intel-Gaudi/资料汇总.md:95,"📘 E. Medina, Habana Labs Approach to Scaling AI Training, Hot Chips 31 / HCS 2019, Aug 2019（定义 Gaudi/Goya 架构的种子级官方一手演示：TPC+MME 异构、bfloat16、片上集成 RoCE 以太网 10×100GbE）.",,厂商或官方资料,,,v4 当前引用,https://old.hotchips.org/hc31/HC31_1.14_HabanaLabs.Eitan_Medina.v9.pdf,调研v4/99_参考文献总库.md；调研v4/厂商档案/Intel-Gaudi/芯片架构详解.md；调研v4/厂商档案/Intel-Gaudi/资料汇总.md,
调研-训练推理芯片调研,134；15；17；调研v4/厂商档案/CIM-Transformer-ASIC/资料汇总.md:57,"📘 Etched, 官网 + ""Meet Sohu""（厂商宣称：8×Sohu Llama-70B 50 万 tok/s、替 160 H100、4nm、144GB HBM3E）；📊 Spheron / Wafer(substack) / The Register 批判分析（batch≈1 峰值、截至 2026 无出货/无实测、reticle-limit 良率质疑、固化 attention）.",,厂商或官方资料,,,v4 当前引用,https://wafer.substack.com/p/breaking-down-etcheds-sohu,调研v4/99_参考文献总库.md；调研v4/厂商档案/CIM-Transformer-ASIC/芯片架构详解.md；调研v4/厂商档案/CIM-Transformer-ASIC/资料汇总.md,
调研-训练推理芯片调研,134；15；调研v4/厂商档案/CIM-Transformer-ASIC/资料汇总.md:53,"📘 Etched, 官网 + ""Meet Sohu""（厂商宣称：8×Sohu Llama-70B 50 万 tok/s、替 160 H100、4nm、144GB HBM3E）；📊 Spheron / Wafer(substack) / The Register 批判分析（batch≈1 峰值、截至 2026 无出货/无实测、reticle-limit 良率质疑、固化 attention）.",,厂商或官方资料,,,v4 当前引用,https://www.etched.com/,调研v4/99_参考文献总库.md；调研v4/厂商档案/CIM-Transformer-ASIC/资料汇总.md,
调研-训练推理芯片调研,134；14；16；调研v4/厂商档案/CIM-Transformer-ASIC/资料汇总.md:56,"📘 Etched, 官网 + ""Meet Sohu""（厂商宣称：8×Sohu Llama-70B 50 万 tok/s、替 160 H100、4nm、144GB HBM3E）；📊 Spheron / Wafer(substack) / The Register 批判分析（batch≈1 峰值、截至 2026 无出货/无实测、reticle-limit 良率质疑、固化 attention）.",,厂商或官方资料,,,v4 当前引用,https://www.spheron.network/blog/etched-ai-sohu-vs-nvidia-transformer-asic-inference/,调研v4/99_参考文献总库.md；调研v4/厂商档案/CIM-Transformer-ASIC/芯片架构详解.md；调研v4/厂商档案/CIM-Transformer-ASIC/资料汇总.md,
调研-训练推理芯片调研,134；16；18；调研v4/厂商档案/CIM-Transformer-ASIC/资料汇总.md:58,"📘 Etched, 官网 + ""Meet Sohu""（厂商宣称：8×Sohu Llama-70B 50 万 tok/s、替 160 H100、4nm、144GB HBM3E）；📊 Spheron / Wafer(substack) / The Register 批判分析（batch≈1 峰值、截至 2026 无出货/无实测、reticle-limit 良率质疑、固化 attention）.",,厂商或官方资料,,,v4 当前引用,https://www.theregister.com/2024/06/26/etched_asic_ai/,调研v4/99_参考文献总库.md；调研v4/厂商档案/CIM-Transformer-ASIC/芯片架构详解.md；调研v4/厂商档案/CIM-Transformer-ASIC/资料汇总.md,
调研-训练推理芯片调研,13；134；15；调研v4/厂商档案/CIM-Transformer-ASIC/资料汇总.md:53,"📘 Etched, 官网 + ""Meet Sohu""（厂商宣称：8×Sohu Llama-70B 50 万 tok/s、替 160 H100、4nm、144GB HBM3E）；📊 Spheron / Wafer(substack) / The Register 批判分析（batch≈1 峰值、截至 2026 无出货/无实测、reticle-limit 良率质疑、固化 attention）.",,厂商或官方资料,,,v4 当前引用,https://x.com/Etched/status/1805625693113663834,调研v4/99_参考文献总库.md；调研v4/厂商档案/CIM-Transformer-ASIC/芯片架构详解.md；调研v4/厂商档案/CIM-Transformer-ASIC/资料汇总.md,
调研-训练推理芯片调研,1；47；5；7,"📘 Google Blog, Ironwood: the first TPU for the age of inference；Inside the Ironwood TPU codesigned AI stack；Introducing Trillium 6th-gen TPUs；Introducing Cloud TPU v5p and AI Hypercomputer.",,厂商或官方资料,,,v4 当前引用,https://blog.google/products/google-cloud/ironwood-tpu-age-of-inference/,调研v4/99_参考文献总库.md；调研v4/主题分析/06_系统视角.md；调研v4/厂商档案/Google-TPU/芯片架构详解.md；调研v4/厂商档案/Google-TPU/资料汇总.md,
调研-训练推理芯片调研,11；47,"📘 Google Blog, Ironwood: the first TPU for the age of inference；Inside the Ironwood TPU codesigned AI stack；Introducing Trillium 6th-gen TPUs；Introducing Cloud TPU v5p and AI Hypercomputer.",,厂商或官方资料,,,v4 当前引用,https://cloud.google.com/blog/products/ai-machine-learning/introducing-cloud-tpu-v5p-and-ai-hypercomputer,调研v4/99_参考文献总库.md；调研v4/厂商档案/Google-TPU/芯片架构详解.md,
调研-训练推理芯片调研,47；6；8,"📘 Google Blog, Ironwood: the first TPU for the age of inference；Inside the Ironwood TPU codesigned AI stack；Introducing Trillium 6th-gen TPUs；Introducing Cloud TPU v5p and AI Hypercomputer.",,厂商或官方资料,,,v4 当前引用,https://cloud.google.com/blog/products/compute/inside-the-ironwood-tpu-codesigned-ai-stack,调研v4/99_参考文献总库.md；调研v4/厂商档案/Google-TPU/芯片架构详解.md；调研v4/厂商档案/Google-TPU/资料汇总.md,
调研-训练推理芯片调研,47；9,"📘 Google Blog, Ironwood: the first TPU for the age of inference；Inside the Ironwood TPU codesigned AI stack；Introducing Trillium 6th-gen TPUs；Introducing Cloud TPU v5p and AI Hypercomputer.",,厂商或官方资料,,,v4 当前引用,https://cloud.google.com/blog/products/compute/introducing-trillium-6th-gen-tpus,调研v4/99_参考文献总库.md；调研v4/厂商档案/Google-TPU/资料汇总.md,
