"object_id","object_type","scope_class","counts_toward_chip_coverage","allow_new_research","effective_date","decision_id","reason"
"OBJ-GOOGLE-TPU-8T-ARCH","architecture_generation","architecture_evidence","false","on_demand_only","2026-08-13","DEC-031","仅用于解释芯片内部机制和复用证据，不单独计入芯片完成度。"
"OBJ-GOOGLE-TPU-8T-SUPERPOD","pod","out_of_scope_nonchip","false","false","2026-08-13","DEC-031","object_type=pod，不属于芯片本体；仅保留历史审计。"
"OBJ-GOOGLE-TPU-V3-ARCH","architecture_generation","architecture_evidence","false","on_demand_only","2026-08-13","DEC-031","仅用于解释芯片内部机制和复用证据，不单独计入芯片完成度。"
"OBJ-GOOGLE-TPU-V3-POD","pod","out_of_scope_nonchip","false","false","2026-08-13","DEC-031","object_type=pod，不属于芯片本体；仅保留历史审计。"
"OBJ-GOOGLE-TPU-V4-ARCH","architecture_generation","architecture_evidence","false","on_demand_only","2026-08-13","DEC-031","仅用于解释芯片内部机制和复用证据，不单独计入芯片完成度。"
"OBJ-GOOGLE-TPU-V5E-ARCH","architecture_generation","architecture_evidence","false","on_demand_only","2026-08-13","DEC-031","仅用于解释芯片内部机制和复用证据，不单独计入芯片完成度。"
"OBJ-GOOGLE-TPU-V5E-CLOUD-DEVICE","cloud_accelerator","out_of_scope_nonchip","false","false","2026-08-13","DEC-031","object_type=cloud_accelerator，不属于芯片本体；仅保留历史审计。"
"OBJ-GOOGLE-TPU-V5P-ARCH","architecture_generation","architecture_evidence","false","on_demand_only","2026-08-13","DEC-031","仅用于解释芯片内部机制和复用证据，不单独计入芯片完成度。"
"OBJ-GOOGLE-TPU-V5P-CLOUD-DEVICE","cloud_accelerator","out_of_scope_nonchip","false","false","2026-08-13","DEC-031","object_type=cloud_accelerator，不属于芯片本体；仅保留历史审计。"
"OBJ-GOOGLE-TPU-V6E-ARCH","architecture_generation","architecture_evidence","false","on_demand_only","2026-08-13","DEC-031","仅用于解释芯片内部机制和复用证据，不单独计入芯片完成度。"
"OBJ-GOOGLE-TPU-V6E-CLOUD-DEVICE","cloud_accelerator","out_of_scope_nonchip","false","false","2026-08-13","DEC-031","object_type=cloud_accelerator，不属于芯片本体；仅保留历史审计。"
"OBJ-GROQ-LPU1-ARCH","architecture_generation","architecture_evidence","false","on_demand_only","2026-08-13","DEC-031","仅用于解释芯片内部机制和复用证据，不单独计入芯片完成度。"
"OBJ-HUAWEI-ASCEND-950-DIE","die","chip_primary","true","true","2026-08-13","DEC-031","裸片或芯片封装，属于训练/推理芯片本体。"
"OBJ-HUAWEI-ASCEND-950DT","package","chip_primary","true","true","2026-08-13","DEC-031","裸片或芯片封装，属于训练/推理芯片本体。"
"OBJ-HUAWEI-ASCEND-950PR","package","chip_primary","true","true","2026-08-13","DEC-031","裸片或芯片封装，属于训练/推理芯片本体。"
"OBJ-HUAWEI-ATLAS-800-A3","pod","out_of_scope_nonchip","false","false","2026-08-13","DEC-031","object_type=pod，不属于芯片本体；仅保留历史审计。"
"OBJ-HUAWEI-ATLAS-800I-A3","server","out_of_scope_nonchip","false","false","2026-08-13","DEC-031","object_type=server，不属于芯片本体；仅保留历史审计。"
"OBJ-HUAWEI-ATLAS-800T-A3","server","out_of_scope_nonchip","false","false","2026-08-13","DEC-031","object_type=server，不属于芯片本体；仅保留历史审计。"
"OBJ-HUAWEI-ATLAS-850","server","out_of_scope_nonchip","false","false","2026-08-13","DEC-031","object_type=server，不属于芯片本体；仅保留历史审计。"
"OBJ-HUAWEI-ATLAS-850E","server","out_of_scope_nonchip","false","false","2026-08-13","DEC-031","object_type=server，不属于芯片本体；仅保留历史审计。"
"OBJ-HUAWEI-ATLAS-860","server","out_of_scope_nonchip","false","false","2026-08-13","DEC-031","object_type=server，不属于芯片本体；仅保留历史审计。"
"OBJ-HUAWEI-ATLAS-950-SUPERPOD","pod","out_of_scope_nonchip","false","false","2026-08-13","DEC-031","object_type=pod，不属于芯片本体；仅保留历史审计。"
"OBJ-HUAWEI-CLOUDMATRIX384","pod","out_of_scope_nonchip","false","false","2026-08-13","DEC-031","object_type=pod，不属于芯片本体；仅保留历史审计。"
"OBJ-HUAWEI-DA-VINCI-INITIAL-ARCH","architecture_generation","architecture_evidence","false","on_demand_only","2026-08-13","DEC-031","仅用于解释芯片内部机制和复用证据，不单独计入芯片完成度。"
"OBJ-NVIDIA-ADA-LOVELACE-ARCH","architecture_generation","architecture_evidence","false","on_demand_only","2026-08-13","DEC-031","仅用于解释芯片内部机制和复用证据，不单独计入芯片完成度。"
"OBJ-NVIDIA-AMPERE-ARCH","architecture_generation","architecture_evidence","false","on_demand_only","2026-08-13","DEC-031","仅用于解释芯片内部机制和复用证据，不单独计入芯片完成度。"
"OBJ-NVIDIA-BLACKWELL-ARCH","architecture_generation","architecture_evidence","false","on_demand_only","2026-08-13","DEC-031","仅用于解释芯片内部机制和复用证据，不单独计入芯片完成度。"
"OBJ-NVIDIA-BLACKWELL-ULTRA-ARCH","architecture_generation","architecture_evidence","false","on_demand_only","2026-08-13","DEC-031","仅用于解释芯片内部机制和复用证据，不单独计入芯片完成度。"
"OBJ-NVIDIA-GH100-DIE","die","chip_primary","true","true","2026-08-13","DEC-031","裸片或芯片封装，属于训练/推理芯片本体。"
"OBJ-NVIDIA-GROQ3-ARCH","architecture_generation","architecture_evidence","false","on_demand_only","2026-08-13","DEC-031","仅用于解释芯片内部机制和复用证据，不单独计入芯片完成度。"
"OBJ-NVIDIA-GROQ3-LPX-RACK","rack","out_of_scope_nonchip","false","false","2026-08-13","DEC-031","object_type=rack，不属于芯片本体；仅保留历史审计。"
"OBJ-NVIDIA-GROQ3-LPX-TRAY","server","out_of_scope_nonchip","false","false","2026-08-13","DEC-031","object_type=server，不属于芯片本体；仅保留历史审计。"
"OBJ-NVIDIA-H100-SXM5-80GB","module","out_of_scope_nonchip","false","false","2026-08-13","DEC-031","object_type=module，不属于芯片本体；仅保留历史审计。"
"OBJ-NVIDIA-HOPPER-ARCH","architecture_generation","architecture_evidence","false","on_demand_only","2026-08-13","DEC-031","仅用于解释芯片内部机制和复用证据，不单独计入芯片完成度。"
"OBJ-NVIDIA-L2","card","out_of_scope_nonchip","false","false","2026-08-13","DEC-031","object_type=card，不属于芯片本体；仅保留历史审计。"
"OBJ-NVIDIA-L20","card","out_of_scope_nonchip","false","false","2026-08-13","DEC-031","object_type=card，不属于芯片本体；仅保留历史审计。"
"OBJ-NVIDIA-RUBIN-ARCH","architecture_generation","architecture_evidence","false","on_demand_only","2026-08-13","DEC-031","仅用于解释芯片内部机制和复用证据，不单独计入芯片完成度。"
