"claim_id","voter","verdict","reason","fixed_source_checks","external_source_ids","external_urls","blocking_issue"
"C11","B","support","S03、S04、S17、S19记录训练激活、梯度、部分和及重算的数据依赖，S14则给出推理导向TPU扩大片上Vmem并以KV cache为设计动机的厂商证据。E11确认复用和所选存储层级会共同改变算术强度与瓶颈。这里的处理KV cache不等于宣称完整KV cache必驻片上，结论落在层次和数据流随阶段变化，口径未混用。","S03|S04|S14|S17|S19","E11","https://amcr.lbl.gov/departments/computer-science-department/ppan/roofline-performance-model/",""
"C12","B","support","S03、S05明确训练梯度/参数集合通信，S11给出低批多芯片解码的小而频繁消息，S14与S15分别补充MoE拓扑和分相/KV传输条件。E08直接验证张量、流水和数据并行受跨节点通信与等待限制；E09、E10显示MoE训练和推理受路由与通信约束；E05说明分相放置须按集群带宽控制通信。结论只说常见模式且保留策略依赖。","S03|S05|S11|S14|S15","E05|E08|E09|E10","https://www.usenix.org/conference/osdi24/presentation/zhong-yinmin|https://arxiv.org/abs/2104.04473|https://arxiv.org/abs/2101.03961|https://arxiv.org/abs/2201.05596",""
"C13","B","uncertain","S02、S08、S12、S15以及E03、E04、E05、E07充分支持批处理、排队、路由、TTFT/TPOT、吞吐与goodput需要联合评价；但同一批固定卡明确把抢占、强隔离和完整尾延迟分布列为未覆盖，外部来源也没有证明所有多租户推理架构都必须具备这些机制。训练侧的长作业吞吐、同步和goodput较稳，但整个并列主张是合取句，尚不能整体判为support。","S02|S08|S12|S15","E03|E04|E05|E07","https://arxiv.org/abs/2309.06180|https://arxiv.org/abs/2308.16369|https://www.usenix.org/conference/osdi24/presentation/zhong-yinmin|https://docs.mlcommons.org/inference/","缺少一手资料对抢占、强隔离和尾延迟分布的系统覆盖；必须一词还把服务系统要求泛化到所有推理架构。"
"C14","B","support","S07、S09、S18从历史边缘/数据中心样本支持能耗、热、容量与延迟约束会随部署改变，S11补充现代数据中心的功率、空间和TCO边界；E07也按数据中心与边缘场景设置不同延迟与提交口径。结论只作定性优先级判断，并明确旧CNN证据不能用于现代LLM定量排序，时代边界处理充分。","S07|S09|S11|S18","E07","https://docs.mlcommons.org/inference/",""
"C15","B","support","S01、S04、S12、S13、S14均把编译器、内核、分片、批处理和运行时列为利用率变量。E03与E13在相同KV管理问题上展示不同软件机制及吞吐差异，E04证明调度可改变阶段利用率，E07要求记录系统软硬件边界。跨来源直接反驳把端到端结果全部归因于芯片微架构的做法；Google来源只按一个组织家族理解。","S01|S04|S12|S13|S14","E03|E04|E07|E13","https://arxiv.org/abs/2309.06180|https://arxiv.org/abs/2308.16369|https://docs.mlcommons.org/inference/|https://arxiv.org/abs/2405.04437",""
"C16","B","support","S02、S03、S07、S13、S14、S15、S16、S17提供统一GPU/TPU、同核心不同资源配比、训练资源复用和组合封装等独立反例。E05证明预填充/解码可分相配置但仍受KV传输与放置约束，E10同时处理MoE训练和推理，E13说明软件机制也可替换。主张是存在性与条件化选择，不是统一架构必然最优，故不被专用推理器件反例推翻。","S02|S03|S07|S13|S14|S15|S16|S17","E05|E10|E13","https://www.usenix.org/conference/osdi24/presentation/zhong-yinmin|https://arxiv.org/abs/2201.05596|https://arxiv.org/abs/2405.04437",""
"C17","B","support","S11、S14、S15把MoE的专家容量、路由、全互联与拓扑作为条件化压力。E09明确说稀疏激活让总参数与每token计算解耦，但采用受到通信成本和训练稳定性限制；E10又证明更大模型体量和独特结构给训练与推理带来不同系统挑战。证据支持方向性因果，但不支持固定网络直径或收益倍数，候选结论也只使用可能。","S11|S14|S15","E09|E10","https://arxiv.org/abs/2101.03961|https://arxiv.org/abs/2201.05596",""
"C18","B","uncertain","S04、S12、S19与E11只充分验证Roofline中的P_peak/B_HBM及其倒数B_HBM/P_peak必须结合工作负载算术强度解释；固定19份语料没有把C_HBM/P_peak和C_HBM/S_state定义为统一诊断量，也没有标准化S_state的状态边界。不得当用途标签这一否定判断合理，但三个指标作为一组的有效性和计算合同尚未获得一手验证。","S04|S12|S19","E11","https://amcr.lbl.gov/departments/computer-science-department/ppan/roofline-performance-model/","C_HBM/P_peak与C_HBM/S_state缺少标准定义、统一状态边界和跨对象验证；现有一手来源只覆盖Roofline带宽—算力关系。"
"C19","B","support","S03、S05、S07、S10、S17、S19明确把CNN时代的数据移动、复用、累加与稀疏结论限定为机制，并反复禁止把旧数值迁移到现代LLM；S04、S11则显示相同机制在Transformer预填充/解码中仍需按新状态重建。E11支持跨时代复用Roofline方法但要求重新测数据移动层级，E12显示现代LLM量化仍受激活离群值和实现条件限制。结论逐机制迁移而非整包外推。","S03|S04|S05|S07|S10|S11|S17|S19","E11|E12","https://amcr.lbl.gov/departments/computer-science-department/ppan/roofline-performance-model/|https://arxiv.org/abs/2211.10438",""
"C20","B","support","逐篇检查S01至S19后，语料混合了旧CNN综述、课程资料、厂商博客、路线图、模拟和少量实测，且没有统一厂商集合、同代芯片对象、模型、精度、batch、状态、带宽方向与持续性能。它足以建立带条件的机制链和抽取口径，却不能产生跨厂商统一定量排名或普适HBM/存算阈值。这是对固定语料覆盖的审计判断，不是声称外部世界不存在规律。","S01|S02|S03|S04|S05|S06|S07|S08|S09|S10|S11|S12|S13|S14|S15|S16|S17|S18|S19","","",""
