"平台","年份","资料类别","论文或资料标题","发表期刊或会议","主要作者","作者单位","DOI","来源链接","来源项目","源文件","汇总后文件","页数","文件大小_字节","SHA256","PDF解析"
"Google TPU","2023","厂商直接架构论文","TPU v4 An Optically Reconfigurable Supercomputer for Machine Learning","Proceedings of the 50th Annual International Symposium on Computer Architecture","Norm Jouppi；George Kurian；Sheng Li；Peter Ma；Rahul Nagarajan；Lifeng Nai；等","Google, Mountain View, CA, USA；University of California, Berkeley, CA, USA","10.1145/3579371.3589350","https://arxiv.org/pdf/2304.01433","调研-训练推理芯片调研-codex-v3","调研-训练推理芯片调研-codex-v3/论文/Google_TPU/01_厂商直接架构论文/2023_TPUv4_Optically_Reconfigurable_Supercomputer.pdf","论文/Google_TPU/01_厂商直接架构论文/2023_TPUv4_Optically_Reconfigurable_Supercomputer.pdf","14","3011399","94f08ac4cd041e46e5037876793761df8043296ac374aa5372af7afb0bdf3ce2","通过"
"Google TPU","2024","厂商直接架构论文","Resiliency at Scale Managing Google TPUv4 Machine Learning Supercomputer","21st USENIX Symposium on Networked Systems Design and Implementation（NSDI 2024）","当前清单未完整著录","Google","","https://www.usenix.org/system/files/nsdi24-zu.pdf","调研-训练推理芯片调研-codex-v3","调研-训练推理芯片调研-codex-v3/论文/Google_TPU/01_厂商直接架构论文/2024_TPUv4_Resiliency_at_Scale.pdf","论文/Google_TPU/01_厂商直接架构论文/2024_TPUv4_Resiliency_at_Scale.pdf","15","2414599","e08dec51570fa077ec44d25d0405dddeae79d540f41168b040d85a1debe8568a","通过"
"Google TPU","2025","厂商直接架构论文","Ironwood Delivering Best in Class perf perf TCO and perf Watt for Reasoning Model Training and Serving","2025 IEEE Hot Chips 37 Symposium (HCS)","Norman P. Jouppi；Sridhar Lakshmanamurthy","Google","10.1109/HCS66204.2025.11154400","https://hc2025.hotchips.org/assets/program/hc2025-full-program-v4.zip","调研-训练推理芯片调研-codex-v3","调研-训练推理芯片调研-codex-v3/论文/Google_TPU/01_厂商直接架构论文/2025_Ironwood_HotChips37.pdf","论文/Google_TPU/01_厂商直接架构论文/2025_Ironwood_HotChips37.pdf","26","2233817","328ef921c6931a2a56dfbf06043f596ba73c21b6e4f1162754e6f11711e2132b","通过"
"Google TPU","2026","厂商直接架构论文","Google Training Supercomputers from TPU v2 to Ironwood","IEEE Micro","Norman P. Jouppi；Sridhar Lakshmanamurthy；Cliff Young；David Patterson","Google","10.1109/MM.2026.3699647","https://arxiv.org/pdf/2606.15870","调研-训练推理芯片调研；调研-训练推理芯片调研-codex-v3","调研-训练推理芯片调研-codex-v3/论文/Google_TPU/01_厂商直接架构论文/2026_TPUv2_to_Ironwood_Five_Generations.pdf；调研-训练推理芯片调研/Some Reference/google training supercomputers.pdf","论文/Google_TPU/01_厂商直接架构论文/2026_TPUv2_to_Ironwood_Five_Generations.pdf","13","3013339","d1e5d21b9959afefe574a6de839f52c094b3b7d3d481c89cd48b2e2737214465","通过"
"Google TPU","2019","独立逆向与微基准","Benchmarking TPU GPU and CPU Platforms for Deep Learning","arXiv 预印本","当前清单未完整著录","哈佛大学","","https://arxiv.org/pdf/1907.10701","调研-训练推理芯片调研-codex-v3","调研-训练推理芯片调研-codex-v3/论文/Google_TPU/02_独立逆向与微基准/2019_Benchmarking_TPU_GPU_CPU_ParaDnn.pdf","论文/Google_TPU/02_独立逆向与微基准/2019_Benchmarking_TPU_GPU_CPU_ParaDnn.pdf","13","2594340","14ea3d41f586f26eb0b86bdb9bd621e1c466ead528fca9fc4a8664dc876f11c5","通过"
"Google TPU","2019","独立逆向与微基准","Benchmarking the Performance and Energy Efficiency of AI Accelerators for AI Training","2020 20th IEEE/ACM International Symposium on Cluster, Cloud and Internet Computing (CCGRID)","Yuxin Wang；Qiang Wang；Shaohuai Shi；Xin He；Zhenheng Tang；Kaiyong Zhao；等","香港浸会大学","10.1109/ccgrid49817.2020.00-15","https://arxiv.org/pdf/1909.06842","调研-训练推理芯片调研-codex-v3","调研-训练推理芯片调研-codex-v3/论文/Google_TPU/02_独立逆向与微基准/2019_Performance_Energy_AI_Accelerators_Training.pdf","论文/Google_TPU/02_独立逆向与微基准/2019_Performance_Energy_AI_Accelerators_Training.pdf","15","1579640","4735b97453813331e090007e72ee27c1401acb107138e5d6e0ced9bf79246b94","通过"
"Google TPU","2021","独立逆向与微基准","Characterizing and Demystifying the Implicit Convolution Algorithm on Commercial Matrix-Multiplication Accelerators","2021 IEEE International Symposium on Workload Characterization (IISWC)","Yangjie Zhou；Mengtian Yang；Cong Guo；Jingwen Leng；Yun Liang；Quan Chen；等","Shanghai Jiao Tong University；Peking University；University of Rochester","10.1109/iiswc53511.2021.00029","https://arxiv.org/pdf/2110.03901","调研-训练推理芯片调研-codex-v3","调研-训练推理芯片调研-codex-v3/论文/Google_TPU/02_独立逆向与微基准/2021_Implicit_Convolution_Commercial_Matrix_Accelerators.pdf","论文/Google_TPU/02_独立逆向与微基准/2021_Implicit_Convolution_Commercial_Matrix_Accelerators.pdf","12","1797096","56ad4415c701296fe127f1e9dbbe1df2f63b5d9fcf90719adc48df2c674a41eb","通过"
"Google TPU","2021","独立逆向与微基准","A Learned Performance Model for Tensor Processing Units","Proceedings of Machine Learning and Systems（MLSys 2021）","当前清单未完整著录","Google；华盛顿大学","","https://arxiv.org/pdf/2008.01040","调研-训练推理芯片调研-codex-v3","调研-训练推理芯片调研-codex-v3/论文/Google_TPU/02_独立逆向与微基准/2021_Learned_Performance_Model_for_TPUs.pdf","论文/Google_TPU/02_独立逆向与微基准/2021_Learned_Performance_Model_for_TPUs.pdf","15","758142","f2c2a6a37afc2d286ea0c231e52cbe6872ae898fcd24af047d5f68679222bba2","通过"
"Google TPU","2021","独立逆向与微基准","Exploring the Limits of Concurrency in ML Training on Google TPUs","Proceedings of Machine Learning and Systems（MLSys 2021）","当前清单未完整著录","Google","","https://proceedings.mlsys.org/paper_files/paper/2021/file/c0d16b623be8b439d9c075eb5a97efd1-Paper.pdf","调研-训练推理芯片调研-codex-v3","调研-训练推理芯片调研-codex-v3/论文/Google_TPU/02_独立逆向与微基准/2021_Limits_of_Concurrency_Google_TPUs.pdf","论文/Google_TPU/02_独立逆向与微基准/2021_Limits_of_Concurrency_Google_TPUs.pdf","12","2764379","07f85bef9ebe3f039e5d49c4a6bc4c2c70cd115706956a876f60d2928c5eb198","通过"
"Google TPU","2025","独立逆向与微基准","COCOSSim A Cycle-Accurate Simulator for Heterogeneous Systolic Array Architectures","2025 IEEE International Symposium on Performance Analysis of Systems and Software (ISPASS)","Mansi Choudhary；Chris Kjellqvist；Jiaao Ma；Lisa Wu Wills","Duke University,Dept. of ECE,Durham,NC,USA；Duke University,Dept. of Computer Science,Durham,NC,USA","10.1109/ISPASS64960.2025.00025","https://users.cs.duke.edu/~lkw34/papers/choudhary-cocossim-ispass2025.pdf","调研-训练推理芯片调研-codex-v3","调研-训练推理芯片调研-codex-v3/论文/Google_TPU/02_独立逆向与微基准/2025_COCOSSim_TPUv3_Calibration.pdf","论文/Google_TPU/02_独立逆向与微基准/2025_COCOSSim_TPUv3_Calibration.pdf","12","659248","2b05ffc8a55fc1b9a037e2e8da5d3dec997b6119ebb8385bcec46748e74863f1","通过"
"Google TPU","2026","独立逆向与微基准","SCALE-Sim TPU Validating and Extending SCALE-Sim for TPUs","arXiv 预印本","当前清单未完整著录","佐治亚理工学院","","https://arxiv.org/pdf/2603.22535","调研-训练推理芯片调研-codex-v3","调研-训练推理芯片调研-codex-v3/论文/Google_TPU/02_独立逆向与微基准/2026_SCALE_Sim_TPUv4_Validation.pdf","论文/Google_TPU/02_独立逆向与微基准/2026_SCALE_Sim_TPUv4_Validation.pdf","7","3407030","0f8effdfcee675f0628be1387e23ca4e0cedadbe492b2cb3e4cff633c872998a","通过"
"Google TPU","2019","系统与性能补充","Fast Deep Neural Network Training on Distributed Systems and Cloud TPUs","IEEE Transactions on Parallel and Distributed Systems","Yang You；Zhao Zhang；Cho-Jui Hsieh；James Demmel；Kurt Keutzer","加州大学伯克利分校","10.1109/TPDS.2019.2913833","https://doi.org/10.1109/TPDS.2019.2913833","调研-训练推理芯片调研-codex-v3","调研-训练推理芯片调研-codex-v3/论文/Google_TPU/03_系统与性能补充/2019_Fast_DNN_Training_Cloud_TPUs.pdf","论文/Google_TPU/03_系统与性能补充/2019_Fast_DNN_Training_Cloud_TPUs.pdf","14","4669469","16263a77f714540ebfe034b4103d74accd0b66b515d6ae440da3c06bd9d48e5e","通过"
"Google TPU","2019","系统与性能补充","Scale MLPerf-0.6 Models on Google TPU-v3 Pods","arXiv 预印本","当前清单未完整著录","Google Research Brain Team","","https://arxiv.org/pdf/1909.09756","调研-训练推理芯片调研-codex-v3","调研-训练推理芯片调研-codex-v3/论文/Google_TPU/03_系统与性能补充/2019_Scale_MLPerf_0_6_TPUv3_Pods.pdf","论文/Google_TPU/03_系统与性能补充/2019_Scale_MLPerf_0_6_TPUv3_Pods.pdf","8","585411","ad2cbc460cb380fa13cce33c01aa68ebe8a29ce3bfad0b1bf5d315718d8f98f8","通过"
"Google TPU","2021","系统与性能补充","An Evaluation of Edge TPU Accelerators for Convolutional Neural Networks","2022 IEEE International Symposium on Workload Characterization (IISWC)","Kiran Seshadri；Berkin Akin；James Laudon；Ravi Narayanaswami；Amir Yazdanbakhsh","Enfabrica；Google；Cruise；Google Research, Brain Team","10.1109/iiswc55918.2022.00017","https://arxiv.org/pdf/2102.10423","调研-训练推理芯片调研-codex-v3","调研-训练推理芯片调研-codex-v3/论文/Google_TPU/03_系统与性能补充/2021_Evaluation_Edge_TPU_Accelerators.pdf","论文/Google_TPU/03_系统与性能补充/2021_Evaluation_Edge_TPU_Accelerators.pdf","13","6426524","e64871f5ea22c59145ab3f58efedc35661b4174fb5898da7196aa073480f405f","通过"
"Google TPU","2022","系统与性能补充","Mission Apollo Landing Optical Circuit Switching at Datacenter Scale","arXiv 预印本","当前清单未完整著录","Google","","https://arxiv.org/pdf/2208.10041","调研-训练推理芯片调研-codex-v3","调研-训练推理芯片调研-codex-v3/论文/Google_TPU/03_系统与性能补充/2022_Mission_Apollo_Optical_Circuit_Switching.pdf","论文/Google_TPU/03_系统与性能补充/2022_Mission_Apollo_Optical_Circuit_Switching.pdf","13","1988405","c76844154b245035f6b31f3667fcf0f676866e643f66afb9c593d1f391623e7d","通过"
"Google TPU","2025","系统与性能补充","Life-Cycle Emissions of AI Hardware Generational Trends","arXiv 预印本","当前清单未完整著录","Google","","https://arxiv.org/pdf/2502.01671","调研-训练推理芯片调研-codex-v3","调研-训练推理芯片调研-codex-v3/论文/Google_TPU/03_系统与性能补充/2025_Life_Cycle_Emissions_AI_Hardware.pdf","论文/Google_TPU/03_系统与性能补充/2025_Life_Cycle_Emissions_AI_Hardware.pdf","16","2914609","d9a3a140f9c8c9978aaf655543476a6573ac7b30b05167f485c1c15db948ea5c","通过"
"NVIDIA GPU","2011","厂商直接架构论文","Fermi GF100 GPU Architecture","IEEE Micro","Craig M. Wittenbrink；Emmett Kilgariff；Arjun Prabhu","NVIDIA","10.1109/MM.2011.24","https://www.cs.cmu.edu/afs/cs/academic/class/15869-f11/www/readings/wittenbrink11_fermi.pdf","调研-训练推理芯片调研-codex-v3","调研-训练推理芯片调研-codex-v3/论文/NVIDIA_GPU/01_厂商直接架构论文/2011_Fermi_GF100_GPU_Architecture.pdf","论文/NVIDIA_GPU/01_厂商直接架构论文/2011_Fermi_GF100_GPU_Architecture.pdf","10","1150365","ee962d7733bda8bd5a2d801b39fb7a3cd8db224b81614d37a5718f4d6f31bf75","通过"
"NVIDIA GPU","2017","厂商直接架构论文","Ultra-Performance Pascal GPU and NVLink Interconnect","IEEE Micro","Denis Foley；John Danskin","NVIDIA","10.1109/MM.2017.37","https://doi.org/10.1109/MM.2017.37","调研-训练推理芯片调研-codex-v3","调研-训练推理芯片调研-codex-v3/论文/NVIDIA_GPU/01_厂商直接架构论文/2017_Ultra_Performance_Pascal_GPU_NVLink.pdf","论文/NVIDIA_GPU/01_厂商直接架构论文/2017_Ultra_Performance_Pascal_GPU_NVLink.pdf","11","1473075","41824a804059c99d31228a94c8e832112cd2969d9ca5df523d964c8563bab0fe","通过"
"NVIDIA GPU","2017","厂商直接架构论文","VOLTA Programmability and Performance","IEEE Hot Chips 29 Symposium（HCS 2017）","当前清单未完整著录","NVIDIA","","https://old.hotchips.org/wp-content/uploads/hc_archives/hc29/HC29.21-Monday-Pub/HC29.21.10-GPU-Gaming-Pub/HC29.21.132-Volta-Choquette-NVIDIA-Final3.pdf","调研-训练推理芯片调研-codex-v3","调研-训练推理芯片调研-codex-v3/论文/NVIDIA_GPU/01_厂商直接架构论文/2017_Volta_Programmability_and_Performance_HotChips29.pdf","论文/NVIDIA_GPU/01_厂商直接架构论文/2017_Volta_Programmability_and_Performance_HotChips29.pdf","25","2011340","09d0e18235e6eca102b1374aef78a824e0d8b506722710054e3a11b9e91bbb35","通过"
"NVIDIA GPU","2018","厂商直接架构论文","Volta: Performance and Programmability","IEEE Micro","Jack Choquette；Olivier Giroux；Denis Foley","NVIDIA","10.1109/MM.2018.022071134","https://doi.org/10.1109/MM.2018.022071134","调研-训练推理芯片调研-codex-v3","调研-训练推理芯片调研-codex-v3/论文/NVIDIA_GPU/01_厂商直接架构论文/2018_Volta_Performance_and_Programmability_IEEE_Micro.pdf","论文/NVIDIA_GPU/01_厂商直接架构论文/2018_Volta_Performance_and_Programmability_IEEE_Micro.pdf","11","761624","bfdc92f1de7c8c7e1f33c09b0cbc6b38226bf7e0168970eabff134c5e83e28c9","通过"
"NVIDIA GPU","2019","厂商直接架构论文","RTX ON The NVIDIA Turing GPU","2019 IEEE Hot Chips 31 Symposium (HCS)","John Burgess","NVIDIA","10.1109/hotchips.2019.8875651","https://old.hotchips.org/hc31/HC31_2.12_NVIDIA_final.pdf","调研-训练推理芯片调研-codex-v3","调研-训练推理芯片调研-codex-v3/论文/NVIDIA_GPU/01_厂商直接架构论文/2019_RTX_ON_The_NVIDIA_Turing_GPU_HotChips31.pdf","论文/NVIDIA_GPU/01_厂商直接架构论文/2019_RTX_ON_The_NVIDIA_Turing_GPU_HotChips31.pdf","27","2256386","4540a1c0225985fc650525d2ed4de410b9bf11c930cbee380ffbbd4a1461811c","通过"
"NVIDIA GPU","2020","厂商直接架构论文","RTX On - The NVIDIA Turing GPU","IEEE Micro","John Burgess","NVIDIA","10.1109/MM.2020.2971677","https://doi.org/10.1109/MM.2020.2971677","调研-训练推理芯片调研-codex-v3","调研-训练推理芯片调研-codex-v3/论文/NVIDIA_GPU/01_厂商直接架构论文/2020_RTX_On_NVIDIA_Turing_GPU_IEEE_Micro.pdf","论文/NVIDIA_GPU/01_厂商直接架构论文/2020_RTX_On_NVIDIA_Turing_GPU_IEEE_Micro.pdf","9","4881856","77c6f5eb7c474199aa9ceff4509c10887af0a60feb84049f6b04c9164aabc079","通过"
"NVIDIA GPU","2021","厂商直接架构论文","The A100 Datacenter GPU and Ampere Architecture","2021 IEEE International Solid- State Circuits Conference (ISSCC)","Jack Choquette；Edward Lee；Ronny Krashinsky；Vishnu Balan；Brucek Khailany","NVIDIA","10.1109/ISSCC42613.2021.9365803","https://doi.org/10.1109/ISSCC42613.2021.9365803","调研-训练推理芯片调研-codex-v3","调研-训练推理芯片调研-codex-v3/论文/NVIDIA_GPU/01_厂商直接架构论文/2021_A100_Datacenter_GPU_Ampere_ISSCC.pdf","论文/NVIDIA_GPU/01_厂商直接架构论文/2021_A100_Datacenter_GPU_Ampere_ISSCC.pdf","3","463828","55765d2680678ba46045da1902496ddd3995d5964a5f0ef68a99362e2c43b601","通过"
"NVIDIA GPU","2021","厂商直接架构论文","Evolution of the Graphics Processing Unit","IEEE Micro","William J. Dally；Stephen W. Keckler；David B. Kirk","NVIDIA","10.1109/mm.2021.3113475","https://doi.org/10.1109/mm.2021.3113475","调研-训练推理芯片调研-codex-v3","调研-训练推理芯片调研-codex-v3/论文/NVIDIA_GPU/01_厂商直接架构论文/2021_Evolution_of_the_GPU.pdf","论文/NVIDIA_GPU/01_厂商直接架构论文/2021_Evolution_of_the_GPU.pdf","10","2638603","364e8bcb1de535ddbda84a5b8c120197051fface5021b6c5dcfd206562426e2f","通过"
"NVIDIA GPU","2021","厂商直接架构论文","NVIDIA A100 Tensor Core GPU Performance and Innovation","IEEE Micro","Jack Choquette；Wishwesh Gandhi；Olivier Giroux；Nick Stam；Ronny Krashinsky","NVIDIA","10.1109/MM.2021.3061394","https://gibsonnet.net/aix/ibm/mmi202102.issue.pdf","调研-训练推理芯片调研-codex-v3","调研-训练推理芯片调研-codex-v3/论文/NVIDIA_GPU/01_厂商直接架构论文/2021_NVIDIA_A100_Tensor_Core_GPU_Performance_and_Innovation.pdf","论文/NVIDIA_GPU/01_厂商直接架构论文/2021_NVIDIA_A100_Tensor_Core_GPU_Performance_and_Innovation.pdf","7","3058075","96a0f9053da3c3978f907ee1fee324913bd6b600fec96137738b407e400d700d","通过"
"NVIDIA GPU","2022","厂商直接架构论文","NVIDIA Hopper H100 GPU Scaling Performance","IEEE Micro","Jack Choquette","NVIDIA","10.1109/mm.2023.3256796","https://hc34.hotchips.org/assets/program/conference/day1/GPU%20HPC/HC2022.NVIDIA.Choquette.vfinal01.pdf","调研-训练推理芯片调研-codex-v3","调研-训练推理芯片调研-codex-v3/论文/NVIDIA_GPU/01_厂商直接架构论文/2022_NVIDIA_Hopper_H100_GPU_HotChips34.pdf","论文/NVIDIA_GPU/01_厂商直接架构论文/2022_NVIDIA_Hopper_H100_GPU_HotChips34.pdf","46","9072066","2b974db4a313e255ee4e5885a3dd01424e0723fd5c89163aee42ae4e1bc75c5c","通过"
"NVIDIA GPU","2023","厂商直接架构论文","NVIDIA Hopper H100 GPU: Scaling Performance","IEEE Micro","Jack Choquette","NVIDIA","10.1109/MM.2023.3256796","https://doi.org/10.1109/MM.2023.3256796","调研-训练推理芯片调研-codex-v3","调研-训练推理芯片调研-codex-v3/论文/NVIDIA_GPU/01_厂商直接架构论文/2023_NVIDIA_Hopper_H100_GPU_IEEE_Micro.pdf","论文/NVIDIA_GPU/01_厂商直接架构论文/2023_NVIDIA_Hopper_H100_GPU_IEEE_Micro.pdf","9","1329070","234570fa695217139fc891bfb22a8ed252eb8b4de40030cb32c529283db06fbd","通过"
"NVIDIA GPU","2024","厂商直接架构论文","NVIDIA Blackwell Platform Advancing Generative AI and Accelerated Computing","2024 IEEE Hot Chips 36 Symposium (HCS)","Ajay Tirumala；Raymond Wong","NVIDIA","10.1109/HCS61935.2024.10665247","https://hc2024.hotchips.org/assets/program/conference/day1/64_HC2024.NVIDIA.TirumalaWong.pdf","调研-训练推理芯片调研-codex-v3","调研-训练推理芯片调研-codex-v3/论文/NVIDIA_GPU/01_厂商直接架构论文/2024_NVIDIA_Blackwell_Platform_HotChips36.pdf","论文/NVIDIA_GPU/01_厂商直接架构论文/2024_NVIDIA_Blackwell_Platform_HotChips36.pdf","33","9784900","fb50b2953769348cdb18175dc7d4b2b5e3b8fc4c27bd4449ea3a0f5a1dd1911f","通过"
"NVIDIA GPU","2017","独立逆向与微基准","Dissecting GPU Memory Hierarchy Through Microbenchmarking","IEEE Transactions on Parallel and Distributed Systems","Xinxin Mei；Xiaowen Chu","香港浸会大学","10.1109/TPDS.2016.2549523","https://arxiv.org/pdf/1509.02308","调研-训练推理芯片调研-codex-v3","调研-训练推理芯片调研-codex-v3/论文/NVIDIA_GPU/02_独立逆向与微基准/2017_Dissecting_GPU_Memory_Hierarchy.pdf","论文/NVIDIA_GPU/02_独立逆向与微基准/2017_Dissecting_GPU_Memory_Hierarchy.pdf","14","876207","d6afb561a62f81341194c171af5b7bfa267d4defd727afd9a35531126fd7862a","通过"
