"fact_id","object_id","component_id","link_id","object_relation_id","precision_path_id","capability_id","topology_id","field_id","normalized_value_text","normalized_value_number","normalized_unit","condition_set_id","fact_kind","evidence_state","resolution_state","valid_from","valid_to","confidence","confidence_reason","fact_fingerprint","review_status","notes"
"FACT-M2W3-HUAWEI-ASC950-DIE-MEM-GRANULARITY","","COMP-M2W3-HUAWEI-ASC950-DIE-MEMACCESS","","","","","","FIELD-MEM-GRANULARITY","","128","byte","COND-M2W3-HUAWEI-ASC950-DIE-MECHANISM-ROADMAP","direct_statement","source_with_caveat","provisional","2025-09-18","","medium","H-2 first states PR and DT use the same die, then gives a common Ascend 950 chips statement; stored once on the die with caveat.","component|COMP-M2W3-HUAWEI-ASC950-DIE-MEMACCESS|FIELD-MEM-GRANULARITY||128|byte|COND-M2W3-HUAWEI-ASC950-DIE-MECHANISM-ROADMAP","draft","From 512 to 128 bytes; no memory level named."
"FACT-M2W3-HUAWEI-ASC950-DIE-INTERCONNECT-BW","","","LINK-M2W3-HUAWEI-ASC950-DIE-INTERCONNECT","","","","","FIELD-INT-AGGREGATE-BW","","2000000000000","byte/s","COND-M2W3-HUAWEI-ASC950-DIE-INTERCONNECT-ROADMAP","direct_statement","source_with_caveat","provisional","2025-09-18","","medium","H-2 first states PR and DT use the same die, then gives a common Ascend 950 chips statement; stored once on the die with caveat.","link|LINK-M2W3-HUAWEI-ASC950-DIE-INTERCONNECT|FIELD-INT-AGGREGATE-BW||2000000000000|byte/s|COND-M2W3-HUAWEI-ASC950-DIE-INTERCONNECT-ROADMAP","draft","Direction, payload, topology, count and per-link rate unknown."
"FACT-M2W3-HUAWEI-ASC950PR-VENDOR","OBJ-HUAWEI-ASCEND-950PR","","","","","","","FIELD-ID-VENDOR","Huawei","","","COND-NONE","direct_statement","corroborated","provisional","","","high","Official H-2 and H-6.","object|OBJ-HUAWEI-ASCEND-950PR|FIELD-ID-VENDOR|Huawei|||COND-NONE","draft",""
"FACT-M2W3-HUAWEI-ASC950PR-FAMILY","OBJ-HUAWEI-ASCEND-950PR","","","","","","","FIELD-ID-FAMILY","Ascend 950 series","","","COND-NONE","direct_statement","single_source","provisional","","","high","H-2 exact series.","object|OBJ-HUAWEI-ASCEND-950PR|FIELD-ID-FAMILY|Ascend 950 series|||COND-NONE","draft",""
"FACT-M2W3-HUAWEI-ASC950PR-NAME","OBJ-HUAWEI-ASCEND-950PR","","","","","","","FIELD-ID-NAME","Huawei Ascend 950PR","","","COND-NONE","direct_statement","corroborated","provisional","","","high","H-2, H-6 and H-12 exact object.","object|OBJ-HUAWEI-ASCEND-950PR|FIELD-ID-NAME|Huawei Ascend 950PR|||COND-NONE","draft",""
"FACT-M2W3-HUAWEI-ASC950PR-SKU","OBJ-HUAWEI-ASCEND-950PR","","","","","","","FIELD-ID-SKU","Ascend 950PR","","","COND-NONE","direct_statement","corroborated","provisional","","","high","Three official sources.","object|OBJ-HUAWEI-ASCEND-950PR|FIELD-ID-SKU|Ascend 950PR|||COND-NONE","draft",""
"FACT-M2W3-HUAWEI-ASC950PR-OBJECT-TYPE","OBJ-HUAWEI-ASCEND-950PR","","","","","","","FIELD-ID-OBJECT-TYPE","package","","","COND-NONE","direct_statement","source_with_caveat","provisional","","","high","H-2 says HiBL HBM separately packaged with shared die.","object|OBJ-HUAWEI-ASCEND-950PR|FIELD-ID-OBJECT-TYPE|package|||COND-NONE","draft","Formal layer normalization; source also says chip."
"FACT-M2W3-HUAWEI-ASC950PR-RELEASE-DATE","OBJ-HUAWEI-ASCEND-950PR","","","","","","","FIELD-ID-RELEASE-DATE","2025-09-18","","","COND-NONE","direct_statement","single_source","provisional","2025-09-18","","high","Dated official first disclosure.","object|OBJ-HUAWEI-ASCEND-950PR|FIELD-ID-RELEASE-DATE|2025-09-18|||COND-NONE","draft","Not availability."
"FACT-M2W3-HUAWEI-ASC950PR-STATUS","OBJ-HUAWEI-ASCEND-950PR","","","","","","","FIELD-ID-STATUS","available","","","COND-M2W3-HUAWEI-ASC950PR-EMBEDDED-STATUS-20260320","direct_statement","source_with_caveat","provisional","2026-03-20","","medium","H-12 says Atlas 350 carrying PR was officially launched.","object|OBJ-HUAWEI-ASCEND-950PR|FIELD-ID-STATUS|available|||COND-M2W3-HUAWEI-ASC950PR-EMBEDDED-STATUS-20260320","draft","Embedded commercial use only; no standalone delivery."
"FACT-M2W3-HUAWEI-ASC950PR-POSITIONING","OBJ-HUAWEI-ASCEND-950PR","","","","","","","FIELD-ID-VENDOR-POSITIONING","Prefill-stage inference and recommendation","","","COND-NONE","direct_statement","corroborated","provisional","","","high","H-2 and H-6 match.","object|OBJ-HUAWEI-ASCEND-950PR|FIELD-ID-VENDOR-POSITIONING|Prefill-stage inference and recommendation|||COND-NONE","draft","Vendor positioning only."
"FACT-M2W3-HUAWEI-ASC950PR-DEPLOYMENT","OBJ-HUAWEI-ASCEND-950PR","","","","","","","FIELD-ID-DEPLOYMENT","Embedded in officially launched Atlas 350; seven partner systems based on Atlas 350 were presented","","","COND-M2W3-HUAWEI-ASC950PR-EMBEDDED-STATUS-20260320","direct_statement","source_with_caveat","provisional","2026-03-20","","high","Exact H-12 relationship and date.","object|OBJ-HUAWEI-ASCEND-950PR|FIELD-ID-DEPLOYMENT|Embedded in officially launched Atlas 350; seven partner systems based on Atlas 350 were presented|||COND-M2W3-HUAWEI-ASC950PR-EMBEDDED-STATUS-20260320","draft","No card specification transferred."
"FACT-M2W3-HUAWEI-ASC950PR-PACKAGE","OBJ-HUAWEI-ASCEND-950PR","","","","","","","FIELD-PHY-PACKAGE","Ascend 950 die separately packaged with HiBL 1.0 proprietary HBM","","","COND-NONE","direct_statement","single_source","provisional","","","high","Direct H-2 packaging statement.","object|OBJ-HUAWEI-ASCEND-950PR|FIELD-PHY-PACKAGE|Ascend 950 die separately packaged with HiBL 1.0 proprietary HBM|||COND-NONE","draft","No stack/interposer inference."
"FACT-M2W3-HUAWEI-ASC950PR-MEM-NAME","","COMP-M2W3-HUAWEI-ASC950PR-HIBL1","","","","","","FIELD-MEM-NAME","HiBL 1.0 proprietary HBM","","","COND-M2W3-HUAWEI-ASC950PR-MEMORY-CURRENT-20260813","direct_statement","single_source","provisional","","","high","Direct H-2 name.","component|COMP-M2W3-HUAWEI-ASC950PR-HIBL1|FIELD-MEM-NAME|HiBL 1.0 proprietary HBM|||COND-M2W3-HUAWEI-ASC950PR-MEMORY-CURRENT-20260813","draft",""
"FACT-M2W3-HUAWEI-ASC950PR-MEM-CAPACITY","","COMP-M2W3-HUAWEI-ASC950PR-HIBL1","","","","","","FIELD-MEM-CAPACITY","","128000000000","byte","COND-M2W3-HUAWEI-ASC950PR-MEMORY-CURRENT-20260813","direct_statement","single_source","provisional","2026-08-13","","high","H-6 exact PR body.","component|COMP-M2W3-HUAWEI-ASC950PR-HIBL1|FIELD-MEM-CAPACITY||128000000000|byte|COND-M2W3-HUAWEI-ASC950PR-MEMORY-CURRENT-20260813","draft","Decimal GB; maximum package value, not Atlas 350."
"FACT-M2W3-HUAWEI-ASC950PR-MEM-BW","","COMP-M2W3-HUAWEI-ASC950PR-HIBL1","","","","","","FIELD-MEM-BIDIR-BW","","1600000000000","byte/s","COND-M2W3-HUAWEI-ASC950PR-MEMORY-CURRENT-20260813","direct_statement","single_source","provisional","2026-08-13","","high","H-6 exact PR body.","component|COMP-M2W3-HUAWEI-ASC950PR-HIBL1|FIELD-MEM-BIDIR-BW||1600000000000|byte/s|COND-M2W3-HUAWEI-ASC950PR-MEMORY-CURRENT-20260813","draft","Direction unknown; not sustained."
"FACT-M2W3-HUAWEI-ASC950PR-VENDOR-MAX-THROUGHPUT","","","","","PPATH-M2W3-HUAWEI-ASC950PR-VENDOR-MAX","","","FIELD-COMP-THROUGHPUT","","1784000000000000","FLOP/s","COND-M2W3-HUAWEI-ASC950PR-VENDOR-MAX-CURRENT-20260813","direct_statement","source_with_caveat","provisional","2026-08-13","","medium","H-6 maximum label; datatype/count unresolved.","precision_path|PPATH-M2W3-HUAWEI-ASC950PR-VENDOR-MAX|FIELD-COMP-THROUGHPUT||1784000000000000|FLOP/s|COND-M2W3-HUAWEI-ASC950PR-VENDOR-MAX-CURRENT-20260813","draft","No matrix/vector or density inference."
"FACT-M2W3-HUAWEI-ASC950PR-INTERCONNECT-PROTOCOL","","","LINK-M2W3-HUAWEI-ASC950PR-LINGQU2","","","","","FIELD-INT-PROTOCOL","Lingqu 2.0","","","COND-M2W3-HUAWEI-ASC950PR-LINGQU2-CURRENT-20260813","direct_statement","single_source","provisional","2026-08-13","","high","H-6 exact protocol name.","link|LINK-M2W3-HUAWEI-ASC950PR-LINGQU2|FIELD-INT-PROTOCOL|Lingqu 2.0|||COND-M2W3-HUAWEI-ASC950PR-LINGQU2-CURRENT-20260813","draft","Source says 灵衢2.0."
"FACT-M2W3-HUAWEI-ASC950PR-INTERCONNECT-BW","","","LINK-M2W3-HUAWEI-ASC950PR-LINGQU2","","","","","FIELD-INT-AGGREGATE-BW","","2000000000000","byte/s","COND-M2W3-HUAWEI-ASC950PR-LINGQU2-CURRENT-20260813","direct_statement","single_source","provisional","2026-08-13","","high","H-6 says maximum 2 TB/s bidirectional.","link|LINK-M2W3-HUAWEI-ASC950PR-LINGQU2|FIELD-INT-AGGREGATE-BW||2000000000000|byte/s|COND-M2W3-HUAWEI-ASC950PR-LINGQU2-CURRENT-20260813","draft","No per-link/payload/topology inference."
"FACT-M2W3-HUAWEI-ASC950DT-VENDOR","OBJ-HUAWEI-ASCEND-950DT","","","","","","","FIELD-ID-VENDOR","Huawei","","","COND-NONE","direct_statement","single_source","provisional","","","high","Official H-2.","object|OBJ-HUAWEI-ASCEND-950DT|FIELD-ID-VENDOR|Huawei|||COND-NONE","draft",""
"FACT-M2W3-HUAWEI-ASC950DT-FAMILY","OBJ-HUAWEI-ASCEND-950DT","","","","","","","FIELD-ID-FAMILY","Ascend 950 series","","","COND-NONE","direct_statement","single_source","provisional","","","high","H-2 exact series.","object|OBJ-HUAWEI-ASCEND-950DT|FIELD-ID-FAMILY|Ascend 950 series|||COND-NONE","draft",""
"FACT-M2W3-HUAWEI-ASC950DT-NAME","OBJ-HUAWEI-ASCEND-950DT","","","","","","","FIELD-ID-NAME","Huawei Ascend 950DT","","","COND-NONE","direct_statement","corroborated","provisional","","","high","H-2 plus H-6 route identity.","object|OBJ-HUAWEI-ASCEND-950DT|FIELD-ID-NAME|Huawei Ascend 950DT|||COND-NONE","draft",""
"FACT-M2W3-HUAWEI-ASC950DT-SKU","OBJ-HUAWEI-ASCEND-950DT","","","","","","","FIELD-ID-SKU","Ascend 950DT","","","COND-NONE","direct_statement","corroborated","provisional","","","high","H-2 plus H-6 route identity.","object|OBJ-HUAWEI-ASCEND-950DT|FIELD-ID-SKU|Ascend 950DT|||COND-NONE","draft",""
"FACT-M2W3-HUAWEI-ASC950DT-OBJECT-TYPE","OBJ-HUAWEI-ASCEND-950DT","","","","","","","FIELD-ID-OBJECT-TYPE","package","","","COND-NONE","direct_statement","source_with_caveat","provisional","","","high","H-2 says HiZQ HBM separately packaged with shared die.","object|OBJ-HUAWEI-ASCEND-950DT|FIELD-ID-OBJECT-TYPE|package|||COND-NONE","draft","Formal layer normalization; source also says chip."
"FACT-M2W3-HUAWEI-ASC950DT-RELEASE-DATE","OBJ-HUAWEI-ASCEND-950DT","","","","","","","FIELD-ID-RELEASE-DATE","2025-09-18","","","COND-NONE","direct_statement","single_source","provisional","2025-09-18","","high","Dated official first disclosure.","object|OBJ-HUAWEI-ASCEND-950DT|FIELD-ID-RELEASE-DATE|2025-09-18|||COND-NONE","draft","Not availability."
"FACT-M2W3-HUAWEI-ASC950DT-STATUS","OBJ-HUAWEI-ASCEND-950DT","","","","","","","FIELD-ID-STATUS","announced","","","COND-NONE","direct_statement","source_with_caveat","provisional","2025-09-18","","high","H-2 gives future Q4 2026 window; no GA/delivery evidence by cutoff.","object|OBJ-HUAWEI-ASCEND-950DT|FIELD-ID-STATUS|announced|||COND-NONE","draft","Navigation presence does not upgrade status."
"FACT-M2W3-HUAWEI-ASC950DT-POSITIONING","OBJ-HUAWEI-ASCEND-950DT","","","","","","","FIELD-ID-VENDOR-POSITIONING","Decode-stage inference and model training","","","COND-NONE","direct_statement","single_source","provisional","","","high","Direct H-2 positioning.","object|OBJ-HUAWEI-ASCEND-950DT|FIELD-ID-VENDOR-POSITIONING|Decode-stage inference and model training|||COND-NONE","draft","Roadmap only."
"FACT-M2W3-HUAWEI-ASC950DT-PACKAGE","OBJ-HUAWEI-ASCEND-950DT","","","","","","","FIELD-PHY-PACKAGE","Ascend 950 die separately packaged with HiZQ 2.0 proprietary HBM","","","COND-NONE","direct_statement","single_source","provisional","","","high","Direct H-2 packaging statement.","object|OBJ-HUAWEI-ASCEND-950DT|FIELD-PHY-PACKAGE|Ascend 950 die separately packaged with HiZQ 2.0 proprietary HBM|||COND-NONE","draft","No stack/interposer inference."
"FACT-M2W3-HUAWEI-ASC950DT-MEM-NAME","","COMP-M2W3-HUAWEI-ASC950DT-HIZQ2","","","","","","FIELD-MEM-NAME","HiZQ 2.0 proprietary HBM","","","COND-M2W3-HUAWEI-ASC950DT-ROADMAP-20250918","direct_statement","single_source","provisional","2025-09-18","","high","Direct H-2 name.","component|COMP-M2W3-HUAWEI-ASC950DT-HIZQ2|FIELD-MEM-NAME|HiZQ 2.0 proprietary HBM|||COND-M2W3-HUAWEI-ASC950DT-ROADMAP-20250918","draft","Roadmap value."
"FACT-M2W3-HUAWEI-ASC950DT-MEM-CAPACITY","","COMP-M2W3-HUAWEI-ASC950DT-HIZQ2","","","","","","FIELD-MEM-CAPACITY","","144000000000","byte","COND-M2W3-HUAWEI-ASC950DT-ROADMAP-20250918","direct_statement","single_source","provisional","2025-09-18","","high","H-2 says 144 GB.","component|COMP-M2W3-HUAWEI-ASC950DT-HIZQ2|FIELD-MEM-CAPACITY||144000000000|byte|COND-M2W3-HUAWEI-ASC950DT-ROADMAP-20250918","draft","Decimal GB; roadmap value."
"FACT-M2W3-HUAWEI-ASC950DT-MEM-BW","","COMP-M2W3-HUAWEI-ASC950DT-HIZQ2","","","","","","FIELD-MEM-BIDIR-BW","","4000000000000","byte/s","COND-M2W3-HUAWEI-ASC950DT-ROADMAP-20250918","direct_statement","single_source","provisional","2025-09-18","","high","H-2 says 4 TB/s memory access bandwidth.","component|COMP-M2W3-HUAWEI-ASC950DT-HIZQ2|FIELD-MEM-BIDIR-BW||4000000000000|byte/s|COND-M2W3-HUAWEI-ASC950DT-ROADMAP-20250918","draft","Direction/sustained basis unknown; roadmap."
"FACT-M2W3-HUAWEI-ASC950DT-INTERCONNECT-BW","","","LINK-M2W3-HUAWEI-ASC950DT-INTERCONNECT","","","","","FIELD-INT-AGGREGATE-BW","","2000000000000","byte/s","COND-M2W3-HUAWEI-ASC950DT-ROADMAP-20250918","direct_statement","single_source","provisional","2025-09-18","","high","H-2 says total interconnect will reach 2 TB/s.","link|LINK-M2W3-HUAWEI-ASC950DT-INTERCONNECT|FIELD-INT-AGGREGATE-BW||2000000000000|byte/s|COND-M2W3-HUAWEI-ASC950DT-ROADMAP-20250918","draft","Direction/per-link/payload/topology unknown; roadmap."
