"assertion_id","fact_id","source_id","claim_role","assertion_mode","assertion_relation","raw_value_text","raw_value_number","raw_unit","source_locator","quoted_context","extraction_status","extractor","reviewer","review_date","assertion_fingerprint","review_status","notes"
"ASSERT-M2W3-HUAWEI-DIE-GRAN-H2","FACT-M2W3-HUAWEI-ASC950-DIE-MEM-GRANULARITY","SRC-M2W3-HUAWEI-H2-ASC950-KEYNOTE-20250918","architecture_mechanism","inferred","qualifies","","128","byte","H-2 paragraphs beginning At the moment; First; Second; Third","from 512 bytes to 128 bytes","source_checked","m2_w3_huawei_asc950_physical","","2026-08-13","FACT-M2W3-HUAWEI-ASC950-DIE-MEM-GRANULARITY|SRC-M2W3-HUAWEI-H2-ASC950-KEYNOTE-20250918|qualifies|H-2 paragraphs beginning At the moment; First; Second; Third","draft","Direct source subject is ""Ascend 950 chips"". Shared-die assignment is inferred from the preceding same-die statement; no memory level named."
"ASSERT-M2W3-HUAWEI-DIE-LINK-H2","FACT-M2W3-HUAWEI-ASC950-DIE-INTERCONNECT-BW","SRC-M2W3-HUAWEI-H2-ASC950-KEYNOTE-20250918","core_spec","inferred","qualifies","","2","TB/s","H-2 paragraphs beginning At the moment; First; Second; Third","Ascend 950 chips will deliver 2 TB/s interconnect bandwidth","source_checked","m2_w3_huawei_asc950_physical","","2026-08-13","FACT-M2W3-HUAWEI-ASC950-DIE-INTERCONNECT-BW|SRC-M2W3-HUAWEI-H2-ASC950-KEYNOTE-20250918|qualifies|H-2 paragraphs beginning At the moment; First; Second; Third","draft","Direct source subject is ""Ascend 950 chips"". Shared-die assignment is inferred from the preceding same-die statement. This shared 2 TB/s, the DT-roadmap 2 TB/s and the current PR Lingqu 2.0 2 TB/s are condition-specific and not additive; direction unknown."
"ASSERT-M2W3-HUAWEI-PR-VENDOR-H2","FACT-M2W3-HUAWEI-ASC950PR-VENDOR","SRC-M2W3-HUAWEI-H2-ASC950-KEYNOTE-20250918","identity","direct_statement","supports","Huawei","","","H-2 publisher/title","","source_checked","m2_w3_huawei_asc950_physical","","2026-08-13","FACT-M2W3-HUAWEI-ASC950PR-VENDOR|SRC-M2W3-HUAWEI-H2-ASC950-KEYNOTE-20250918|supports|H-2 publisher/title","draft",""
"ASSERT-M2W3-HUAWEI-PR-VENDOR-H6","FACT-M2W3-HUAWEI-ASC950PR-VENDOR","SRC-M2W3-HUAWEI-H6-PROCESSOR-20260813","identity","direct_statement","supports","Huawei","","","H-6 publisher/product page","","source_checked","m2_w3_huawei_asc950_physical","","2026-08-13","FACT-M2W3-HUAWEI-ASC950PR-VENDOR|SRC-M2W3-HUAWEI-H6-PROCESSOR-20260813|supports|H-6 publisher/product page","draft",""
"ASSERT-M2W3-HUAWEI-PR-FAMILY-H2","FACT-M2W3-HUAWEI-ASC950PR-FAMILY","SRC-M2W3-HUAWEI-H2-ASC950-KEYNOTE-20250918","identity","direct_statement","supports","Ascend 950 series includes Ascend 950PR","","","H-2: Over the next three years","","source_checked","m2_w3_huawei_asc950_physical","","2026-08-13","FACT-M2W3-HUAWEI-ASC950PR-FAMILY|SRC-M2W3-HUAWEI-H2-ASC950-KEYNOTE-20250918|supports|H-2: Over the next three years","draft",""
"ASSERT-M2W3-HUAWEI-PR-NAME-H2","FACT-M2W3-HUAWEI-ASC950PR-NAME","SRC-M2W3-HUAWEI-H2-ASC950-KEYNOTE-20250918","identity","direct_statement","supports","Ascend 950PR","","","H-2 paragraphs beginning The first chip is Ascend 950PR; With HiBL 1.0; This chip will be available","","source_checked","m2_w3_huawei_asc950_physical","","2026-08-13","FACT-M2W3-HUAWEI-ASC950PR-NAME|SRC-M2W3-HUAWEI-H2-ASC950-KEYNOTE-20250918|supports|H-2 paragraphs beginning The first chip is Ascend 950PR; With HiBL 1.0; This chip will be available","draft",""
"ASSERT-M2W3-HUAWEI-PR-SKU-H2","FACT-M2W3-HUAWEI-ASC950PR-SKU","SRC-M2W3-HUAWEI-H2-ASC950-KEYNOTE-20250918","identity","direct_statement","supports","Ascend 950PR","","","H-2 paragraphs beginning The first chip is Ascend 950PR; With HiBL 1.0; This chip will be available","","source_checked","m2_w3_huawei_asc950_physical","","2026-08-13","FACT-M2W3-HUAWEI-ASC950PR-SKU|SRC-M2W3-HUAWEI-H2-ASC950-KEYNOTE-20250918|supports|H-2 paragraphs beginning The first chip is Ascend 950PR; With HiBL 1.0; This chip will be available","draft",""
"ASSERT-M2W3-HUAWEI-PR-NAME-H6","FACT-M2W3-HUAWEI-ASC950PR-NAME","SRC-M2W3-HUAWEI-H6-PROCESSOR-20260813","identity","direct_statement","supports","Ascend 950PR","","","H-6 active Ascend 950PR body and feature cards","","source_checked","m2_w3_huawei_asc950_physical","","2026-08-13","FACT-M2W3-HUAWEI-ASC950PR-NAME|SRC-M2W3-HUAWEI-H6-PROCESSOR-20260813|supports|H-6 active Ascend 950PR body and feature cards","draft",""
"ASSERT-M2W3-HUAWEI-PR-SKU-H6","FACT-M2W3-HUAWEI-ASC950PR-SKU","SRC-M2W3-HUAWEI-H6-PROCESSOR-20260813","identity","direct_statement","supports","Ascend 950PR","","","H-6 active Ascend 950PR body and feature cards","","source_checked","m2_w3_huawei_asc950_physical","","2026-08-13","FACT-M2W3-HUAWEI-ASC950PR-SKU|SRC-M2W3-HUAWEI-H6-PROCESSOR-20260813|supports|H-6 active Ascend 950PR body and feature cards","draft",""
"ASSERT-M2W3-HUAWEI-PR-NAME-H12","FACT-M2W3-HUAWEI-ASC950PR-NAME","SRC-M2W3-HUAWEI-H12-ATLAS350-LAUNCH-20260320","identity","direct_statement","supports","Ascend 950PR","","","H-12 paragraph beginning 同时，在峰会上宣布 and section 新品发布","","source_checked","m2_w3_huawei_asc950_physical","","2026-08-13","FACT-M2W3-HUAWEI-ASC950PR-NAME|SRC-M2W3-HUAWEI-H12-ATLAS350-LAUNCH-20260320|supports|H-12 paragraph beginning 同时，在峰会上宣布 and section 新品发布","draft",""
"ASSERT-M2W3-HUAWEI-PR-SKU-H12","FACT-M2W3-HUAWEI-ASC950PR-SKU","SRC-M2W3-HUAWEI-H12-ATLAS350-LAUNCH-20260320","identity","direct_statement","supports","Ascend 950PR","","","H-12 paragraph beginning 同时，在峰会上宣布 and section 新品发布","","source_checked","m2_w3_huawei_asc950_physical","","2026-08-13","FACT-M2W3-HUAWEI-ASC950PR-SKU|SRC-M2W3-HUAWEI-H12-ATLAS350-LAUNCH-20260320|supports|H-12 paragraph beginning 同时，在峰会上宣布 and section 新品发布","draft",""
"ASSERT-M2W3-HUAWEI-PR-TYPE-H2","FACT-M2W3-HUAWEI-ASC950PR-OBJECT-TYPE","SRC-M2W3-HUAWEI-H2-ASC950-KEYNOTE-20250918","identity","direct_statement","qualifies","HiBL 1.0 separately packaged with the Ascend 950 Die","","","H-2 paragraphs beginning The first chip is Ascend 950PR; With HiBL 1.0; This chip will be available","","source_checked","m2_w3_huawei_asc950_physical","","2026-08-13","FACT-M2W3-HUAWEI-ASC950PR-OBJECT-TYPE|SRC-M2W3-HUAWEI-H2-ASC950-KEYNOTE-20250918|qualifies|H-2 paragraphs beginning The first chip is Ascend 950PR; With HiBL 1.0; This chip will be available","draft","Formal package layer normalization."
"ASSERT-M2W3-HUAWEI-PR-RELEASE-H2","FACT-M2W3-HUAWEI-ASC950PR-RELEASE-DATE","SRC-M2W3-HUAWEI-H2-ASC950-KEYNOTE-20250918","status_version","direct_statement","supports","2025-09-18","","","H-2 publication date","","source_checked","m2_w3_huawei_asc950_physical","","2026-08-13","FACT-M2W3-HUAWEI-ASC950PR-RELEASE-DATE|SRC-M2W3-HUAWEI-H2-ASC950-KEYNOTE-20250918|supports|H-2 publication date","draft","First disclosure."
"ASSERT-M2W3-HUAWEI-PR-STATUS-H2","FACT-M2W3-HUAWEI-ASC950PR-STATUS","SRC-M2W3-HUAWEI-H2-ASC950-KEYNOTE-20250918","status_version","direct_statement","qualifies","available in the first quarter of 2026","","","H-2 paragraphs beginning The first chip is Ascend 950PR; With HiBL 1.0; This chip will be available","","source_checked","m2_w3_huawei_asc950_physical","","2026-08-13","FACT-M2W3-HUAWEI-ASC950PR-STATUS|SRC-M2W3-HUAWEI-H2-ASC950-KEYNOTE-20250918|qualifies|H-2 paragraphs beginning The first chip is Ascend 950PR; With HiBL 1.0; This chip will be available","draft","Earlier roadmap, not actual standalone availability."
"ASSERT-M2W3-HUAWEI-PR-STATUS-H12","FACT-M2W3-HUAWEI-ASC950PR-STATUS","SRC-M2W3-HUAWEI-H12-ATLAS350-LAUNCH-20260320","status_version","inferred","supports","搭载昇腾950PR的Atlas 350加速卡正式上市","","","H-12 paragraph beginning 同时，在峰会上宣布 and section 新品发布","","source_checked","m2_w3_huawei_asc950_physical","","2026-08-13","FACT-M2W3-HUAWEI-ASC950PR-STATUS|SRC-M2W3-HUAWEI-H12-ATLAS350-LAUNCH-20260320|supports|H-12 paragraph beginning 同时，在峰会上宣布 and section 新品发布","draft","H-12 directly launches Atlas 350 carrying 950PR. Mapping that statement to package status available is an inferred subject/status normalization limited to the embedded-product condition."
"ASSERT-M2W3-HUAWEI-PR-POS-H2","FACT-M2W3-HUAWEI-ASC950PR-POSITIONING","SRC-M2W3-HUAWEI-H2-ASC950-KEYNOTE-20250918","identity","direct_statement","supports","prefill stage and recommendation systems","","","H-2 paragraphs beginning The first chip is Ascend 950PR; With HiBL 1.0; This chip will be available","","source_checked","m2_w3_huawei_asc950_physical","","2026-08-13","FACT-M2W3-HUAWEI-ASC950PR-POSITIONING|SRC-M2W3-HUAWEI-H2-ASC950-KEYNOTE-20250918|supports|H-2 paragraphs beginning The first chip is Ascend 950PR; With HiBL 1.0; This chip will be available","draft",""
"ASSERT-M2W3-HUAWEI-PR-POS-H6","FACT-M2W3-HUAWEI-ASC950PR-POSITIONING","SRC-M2W3-HUAWEI-H6-PROCESSOR-20260813","identity","direct_statement","supports","聚焦LLM Prefill阶段以及高性能推荐业务","","","H-6 active Ascend 950PR body and feature cards","","source_checked","m2_w3_huawei_asc950_physical","","2026-08-13","FACT-M2W3-HUAWEI-ASC950PR-POSITIONING|SRC-M2W3-HUAWEI-H6-PROCESSOR-20260813|supports|H-6 active Ascend 950PR body and feature cards","draft",""
"ASSERT-M2W3-HUAWEI-PR-DEPLOY-H12","FACT-M2W3-HUAWEI-ASC950PR-DEPLOYMENT","SRC-M2W3-HUAWEI-H12-ATLAS350-LAUNCH-20260320","status_version","direct_statement","supports","Atlas 350正式上市；7家伙伴首发整机","","","H-12 paragraph beginning 同时，在峰会上宣布 and section 新品发布","","source_checked","m2_w3_huawei_asc950_physical","","2026-08-13","FACT-M2W3-HUAWEI-ASC950PR-DEPLOYMENT|SRC-M2W3-HUAWEI-H12-ATLAS350-LAUNCH-20260320|supports|H-12 paragraph beginning 同时，在峰会上宣布 and section 新品发布","draft","No card value transferred."
"ASSERT-M2W3-HUAWEI-PR-PKG-H2","FACT-M2W3-HUAWEI-ASC950PR-PACKAGE","SRC-M2W3-HUAWEI-H2-ASC950-KEYNOTE-20250918","core_spec","direct_statement","supports","HiBL 1.0 separately packaged with the Ascend 950 Die","","","H-2 paragraphs beginning The first chip is Ascend 950PR; With HiBL 1.0; This chip will be available","","source_checked","m2_w3_huawei_asc950_physical","","2026-08-13","FACT-M2W3-HUAWEI-ASC950PR-PACKAGE|SRC-M2W3-HUAWEI-H2-ASC950-KEYNOTE-20250918|supports|H-2 paragraphs beginning The first chip is Ascend 950PR; With HiBL 1.0; This chip will be available","draft",""
"ASSERT-M2W3-HUAWEI-PR-MEMNAME-H2","FACT-M2W3-HUAWEI-ASC950PR-MEM-NAME","SRC-M2W3-HUAWEI-H2-ASC950-KEYNOTE-20250918","core_spec","direct_statement","supports","HiBL 1.0 proprietary HBM","","","H-2 paragraphs beginning The first chip is Ascend 950PR; With HiBL 1.0; This chip will be available","","source_checked","m2_w3_huawei_asc950_physical","","2026-08-13","FACT-M2W3-HUAWEI-ASC950PR-MEM-NAME|SRC-M2W3-HUAWEI-H2-ASC950-KEYNOTE-20250918|supports|H-2 paragraphs beginning The first chip is Ascend 950PR; With HiBL 1.0; This chip will be available","draft",""
"ASSERT-M2W3-HUAWEI-PR-MEMCAP-H6","FACT-M2W3-HUAWEI-ASC950PR-MEM-CAPACITY","SRC-M2W3-HUAWEI-H6-PROCESSOR-20260813","core_spec","direct_statement","supports","","128","GB","H-6 active Ascend 950PR body and feature cards","最大配备128GB","source_checked","m2_w3_huawei_asc950_physical","","2026-08-13","FACT-M2W3-HUAWEI-ASC950PR-MEM-CAPACITY|SRC-M2W3-HUAWEI-H6-PROCESSOR-20260813|supports|H-6 active Ascend 950PR body and feature cards","draft","Package current value, not Atlas 350."
"ASSERT-M2W3-HUAWEI-PR-MEMBW-H6","FACT-M2W3-HUAWEI-ASC950PR-MEM-BW","SRC-M2W3-HUAWEI-H6-PROCESSOR-20260813","core_spec","direct_statement","supports","","1.6","TB/s","H-6 active Ascend 950PR body and feature cards","1.6TB/s高速片上内存","source_checked","m2_w3_huawei_asc950_physical","","2026-08-13","FACT-M2W3-HUAWEI-ASC950PR-MEM-BW|SRC-M2W3-HUAWEI-H6-PROCESSOR-20260813|supports|H-6 active Ascend 950PR body and feature cards","draft","Direction unknown."
"ASSERT-M2W3-HUAWEI-PR-PEAK-H6","FACT-M2W3-HUAWEI-ASC950PR-VENDOR-MAX-THROUGHPUT","SRC-M2W3-HUAWEI-H6-PROCESSOR-20260813","core_spec","direct_statement","qualifies","","1784","TFLOPS","H-6 active Ascend 950PR body and feature cards","最大支持1784TFLOPS","source_checked","m2_w3_huawei_asc950_physical","","2026-08-13","FACT-M2W3-HUAWEI-ASC950PR-VENDOR-MAX-THROUGHPUT|SRC-M2W3-HUAWEI-H6-PROCESSOR-20260813|qualifies|H-6 active Ascend 950PR body and feature cards","draft","Datatype/count unresolved."
"ASSERT-M2W3-HUAWEI-PR-PROTOCOL-H6","FACT-M2W3-HUAWEI-ASC950PR-INTERCONNECT-PROTOCOL","SRC-M2W3-HUAWEI-H6-PROCESSOR-20260813","core_spec","direct_statement","supports","灵衢2.0互联协议","","","H-6 active Ascend 950PR body and feature cards","","source_checked","m2_w3_huawei_asc950_physical","","2026-08-13","FACT-M2W3-HUAWEI-ASC950PR-INTERCONNECT-PROTOCOL|SRC-M2W3-HUAWEI-H6-PROCESSOR-20260813|supports|H-6 active Ascend 950PR body and feature cards","draft",""
"ASSERT-M2W3-HUAWEI-PR-LINK-H6","FACT-M2W3-HUAWEI-ASC950PR-INTERCONNECT-BW","SRC-M2W3-HUAWEI-H6-PROCESSOR-20260813","core_spec","direct_statement","supports","","2","TB/s","H-6 active Ascend 950PR body and feature cards","最大支持2TB/s双向互联带宽","source_checked","m2_w3_huawei_asc950_physical","","2026-08-13","FACT-M2W3-HUAWEI-ASC950PR-INTERCONNECT-BW|SRC-M2W3-HUAWEI-H6-PROCESSOR-20260813|supports|H-6 active Ascend 950PR body and feature cards","draft","Explicit bidirectional aggregate."
"ASSERT-M2W3-HUAWEI-DT-VENDOR-H2","FACT-M2W3-HUAWEI-ASC950DT-VENDOR","SRC-M2W3-HUAWEI-H2-ASC950-KEYNOTE-20250918","identity","direct_statement","supports","Huawei","","","H-2 publisher/title","","source_checked","m2_w3_huawei_asc950_physical","","2026-08-13","FACT-M2W3-HUAWEI-ASC950DT-VENDOR|SRC-M2W3-HUAWEI-H2-ASC950-KEYNOTE-20250918|supports|H-2 publisher/title","draft",""
"ASSERT-M2W3-HUAWEI-DT-FAMILY-H2","FACT-M2W3-HUAWEI-ASC950DT-FAMILY","SRC-M2W3-HUAWEI-H2-ASC950-KEYNOTE-20250918","identity","direct_statement","supports","Ascend 950 series includes Ascend 950DT","","","H-2: Over the next three years","","source_checked","m2_w3_huawei_asc950_physical","","2026-08-13","FACT-M2W3-HUAWEI-ASC950DT-FAMILY|SRC-M2W3-HUAWEI-H2-ASC950-KEYNOTE-20250918|supports|H-2: Over the next three years","draft",""
"ASSERT-M2W3-HUAWEI-DT-NAME-H2","FACT-M2W3-HUAWEI-ASC950DT-NAME","SRC-M2W3-HUAWEI-H2-ASC950-KEYNOTE-20250918","identity","direct_statement","supports","Ascend 950DT","","","H-2 paragraphs beginning The next chip is Ascend 950DT; These two scenarios; The Ascend 950DT chip will be available","","source_checked","m2_w3_huawei_asc950_physical","","2026-08-13","FACT-M2W3-HUAWEI-ASC950DT-NAME|SRC-M2W3-HUAWEI-H2-ASC950-KEYNOTE-20250918|supports|H-2 paragraphs beginning The next chip is Ascend 950DT; These two scenarios; The Ascend 950DT chip will be available","draft",""
"ASSERT-M2W3-HUAWEI-DT-NAME-H6","FACT-M2W3-HUAWEI-ASC950DT-NAME","SRC-M2W3-HUAWEI-H6-PROCESSOR-20260813","identity","direct_statement","qualifies","Ascend 950DT","","","H-6 processor navigation and DT route","","source_checked","m2_w3_huawei_asc950_physical","","2026-08-13","FACT-M2W3-HUAWEI-ASC950DT-NAME|SRC-M2W3-HUAWEI-H6-PROCESSOR-20260813|qualifies|H-6 processor navigation and DT route","draft","Route identity only; body remains PR."
"ASSERT-M2W3-HUAWEI-DT-SKU-H2","FACT-M2W3-HUAWEI-ASC950DT-SKU","SRC-M2W3-HUAWEI-H2-ASC950-KEYNOTE-20250918","identity","direct_statement","supports","Ascend 950DT","","","H-2 paragraphs beginning The next chip is Ascend 950DT; These two scenarios; The Ascend 950DT chip will be available","","source_checked","m2_w3_huawei_asc950_physical","","2026-08-13","FACT-M2W3-HUAWEI-ASC950DT-SKU|SRC-M2W3-HUAWEI-H2-ASC950-KEYNOTE-20250918|supports|H-2 paragraphs beginning The next chip is Ascend 950DT; These two scenarios; The Ascend 950DT chip will be available","draft",""
"ASSERT-M2W3-HUAWEI-DT-SKU-H6","FACT-M2W3-HUAWEI-ASC950DT-SKU","SRC-M2W3-HUAWEI-H6-PROCESSOR-20260813","identity","direct_statement","qualifies","Ascend 950DT","","","H-6 processor navigation and DT route","","source_checked","m2_w3_huawei_asc950_physical","","2026-08-13","FACT-M2W3-HUAWEI-ASC950DT-SKU|SRC-M2W3-HUAWEI-H6-PROCESSOR-20260813|qualifies|H-6 processor navigation and DT route","draft","Route identity only; body remains PR."
"ASSERT-M2W3-HUAWEI-DT-TYPE-H2","FACT-M2W3-HUAWEI-ASC950DT-OBJECT-TYPE","SRC-M2W3-HUAWEI-H2-ASC950-KEYNOTE-20250918","identity","direct_statement","qualifies","HiZQ 2.0 separately packaged with the Ascend 950 Die","","","H-2 paragraphs beginning The next chip is Ascend 950DT; These two scenarios; The Ascend 950DT chip will be available","","source_checked","m2_w3_huawei_asc950_physical","","2026-08-13","FACT-M2W3-HUAWEI-ASC950DT-OBJECT-TYPE|SRC-M2W3-HUAWEI-H2-ASC950-KEYNOTE-20250918|qualifies|H-2 paragraphs beginning The next chip is Ascend 950DT; These two scenarios; The Ascend 950DT chip will be available","draft","Formal package layer normalization."
"ASSERT-M2W3-HUAWEI-DT-RELEASE-H2","FACT-M2W3-HUAWEI-ASC950DT-RELEASE-DATE","SRC-M2W3-HUAWEI-H2-ASC950-KEYNOTE-20250918","status_version","direct_statement","supports","2025-09-18","","","H-2 publication date","","source_checked","m2_w3_huawei_asc950_physical","","2026-08-13","FACT-M2W3-HUAWEI-ASC950DT-RELEASE-DATE|SRC-M2W3-HUAWEI-H2-ASC950-KEYNOTE-20250918|supports|H-2 publication date","draft","First disclosure."
"ASSERT-M2W3-HUAWEI-DT-STATUS-H2","FACT-M2W3-HUAWEI-ASC950DT-STATUS","SRC-M2W3-HUAWEI-H2-ASC950-KEYNOTE-20250918","status_version","direct_statement","qualifies","available in the fourth quarter of 2026","","","H-2 paragraphs beginning The next chip is Ascend 950DT; These two scenarios; The Ascend 950DT chip will be available","","source_checked","m2_w3_huawei_asc950_physical","","2026-08-13","FACT-M2W3-HUAWEI-ASC950DT-STATUS|SRC-M2W3-HUAWEI-H2-ASC950-KEYNOTE-20250918|qualifies|H-2 paragraphs beginning The next chip is Ascend 950DT; These two scenarios; The Ascend 950DT chip will be available","draft","Future roadmap normalized to announced only."
"ASSERT-M2W3-HUAWEI-DT-POS-H2","FACT-M2W3-HUAWEI-ASC950DT-POSITIONING","SRC-M2W3-HUAWEI-H2-ASC950-KEYNOTE-20250918","identity","direct_statement","supports","decode stage and model training","","","H-2 paragraphs beginning The next chip is Ascend 950DT; These two scenarios; The Ascend 950DT chip will be available","","source_checked","m2_w3_huawei_asc950_physical","","2026-08-13","FACT-M2W3-HUAWEI-ASC950DT-POSITIONING|SRC-M2W3-HUAWEI-H2-ASC950-KEYNOTE-20250918|supports|H-2 paragraphs beginning The next chip is Ascend 950DT; These two scenarios; The Ascend 950DT chip will be available","draft",""
"ASSERT-M2W3-HUAWEI-DT-PKG-H2","FACT-M2W3-HUAWEI-ASC950DT-PACKAGE","SRC-M2W3-HUAWEI-H2-ASC950-KEYNOTE-20250918","core_spec","direct_statement","supports","HiZQ 2.0 separately packaged with the Ascend 950 Die","","","H-2 paragraphs beginning The next chip is Ascend 950DT; These two scenarios; The Ascend 950DT chip will be available","","source_checked","m2_w3_huawei_asc950_physical","","2026-08-13","FACT-M2W3-HUAWEI-ASC950DT-PACKAGE|SRC-M2W3-HUAWEI-H2-ASC950-KEYNOTE-20250918|supports|H-2 paragraphs beginning The next chip is Ascend 950DT; These two scenarios; The Ascend 950DT chip will be available","draft",""
