"search_id","requirement_id","searched_date","query_or_path","source_types_checked","result_status","researcher","review_status","notes"
"SEARCH-M2W3-HUAWEI-ASC950-DIE-HIF8-ACCUM","REQ-M2W3-HUAWEI-ASC950-DIE-HIF8-ACCUM","2026-08-13","Requirement-specific exact-object review for REQ-M2W3-HUAWEI-ASC950-DIE-HIF8-ACCUM (FIELD-NUM-ACCUMULATION): H-2, H-6 plus DT route, H-7, H-12.","conference_talk;product_page;press_release","no_reliable_result","m2_w3_huawei_asc950_physical","draft","HIF8 programmer-visible accumulation format absent."
"SEARCH-M2W3-HUAWEI-ASC950-DIE-HIF8-PHYSICAL-ACCUM","REQ-M2W3-HUAWEI-ASC950-DIE-HIF8-PHYSICAL-ACCUM","2026-08-13","Requirement-specific exact-object review for REQ-M2W3-HUAWEI-ASC950-DIE-HIF8-PHYSICAL-ACCUM (FIELD-NUM-PHYSICAL-ACCUM): H-2, H-6 plus DT route, H-7, H-12.","conference_talk;product_page;press_release","no_reliable_result","m2_w3_huawei_asc950_physical","draft","HIF8 physical accumulator semantics absent."
"SEARCH-M2W3-HUAWEI-ASC950-DIE-MXFP4-ACCUM","REQ-M2W3-HUAWEI-ASC950-DIE-MXFP4-ACCUM","2026-08-13","Requirement-specific exact-object review for REQ-M2W3-HUAWEI-ASC950-DIE-MXFP4-ACCUM (FIELD-NUM-ACCUMULATION): H-2, H-6 plus DT route, H-7, H-12.","conference_talk;product_page;press_release","no_reliable_result","m2_w3_huawei_asc950_physical","draft","MXFP4 programmer-visible accumulation format absent."
"SEARCH-M2W3-HUAWEI-ASC950-DIE-MXFP4-PHYSICAL-ACCUM","REQ-M2W3-HUAWEI-ASC950-DIE-MXFP4-PHYSICAL-ACCUM","2026-08-13","Requirement-specific exact-object review for REQ-M2W3-HUAWEI-ASC950-DIE-MXFP4-PHYSICAL-ACCUM (FIELD-NUM-PHYSICAL-ACCUM): H-2, H-6 plus DT route, H-7, H-12.","conference_talk;product_page;press_release","no_reliable_result","m2_w3_huawei_asc950_physical","draft","MXFP4 physical accumulator semantics absent."
"SEARCH-M2W3-HUAWEI-ASC950-DIE-MEMORY-NAME","REQ-M2W3-HUAWEI-ASC950-DIE-MEMORY-NAME","2026-08-13","Requirement-specific exact-object review for REQ-M2W3-HUAWEI-ASC950-DIE-MEMORY-NAME (FIELD-MEM-NAME): H-2, H-6 plus DT route, H-7, H-12.","conference_talk;product_page;press_release","no_reliable_result","m2_w3_huawei_asc950_physical","draft","No complete on-die storage hierarchy or named cache/SRAM level."
"SEARCH-M2W3-HUAWEI-ASC950-DIE-MEMORY-CAPACITY","REQ-M2W3-HUAWEI-ASC950-DIE-MEMORY-CAPACITY","2026-08-13","Requirement-specific exact-object review for REQ-M2W3-HUAWEI-ASC950-DIE-MEMORY-CAPACITY (FIELD-MEM-CAPACITY): H-2, H-6 plus DT route, H-7, H-12.","conference_talk;product_page;press_release","no_reliable_result","m2_w3_huawei_asc950_physical","draft","No on-die storage capacity."
"SEARCH-M2W3-HUAWEI-ASC950-DIE-MEMORY-BW","REQ-M2W3-HUAWEI-ASC950-DIE-MEMORY-BW","2026-08-13","Requirement-specific exact-object review for REQ-M2W3-HUAWEI-ASC950-DIE-MEMORY-BW (FIELD-MEM-BIDIR-BW): H-2, H-6 plus DT route, H-7, H-12.","conference_talk;product_page;press_release","no_reliable_result","m2_w3_huawei_asc950_physical","draft","No on-die storage-level bandwidth."
"SEARCH-M2W3-HUAWEI-ASC950-DIE-LINK-RATE","REQ-M2W3-HUAWEI-ASC950-DIE-LINK-RATE","2026-08-13","Requirement-specific exact-object review for REQ-M2W3-HUAWEI-ASC950-DIE-LINK-RATE (FIELD-INT-PER-LINK-RATE): H-2, H-6 plus DT route, H-7, H-12.","conference_talk;product_page;press_release","no_reliable_result","m2_w3_huawei_asc950_physical","draft","Only aggregate interconnect label is given."
"SEARCH-M2W3-HUAWEI-ASC950-DIE-LINK-COUNT","REQ-M2W3-HUAWEI-ASC950-DIE-LINK-COUNT","2026-08-13","Requirement-specific exact-object review for REQ-M2W3-HUAWEI-ASC950-DIE-LINK-COUNT (FIELD-INT-LINK-COUNT): H-2, H-6 plus DT route, H-7, H-12.","conference_talk;product_page;press_release","no_reliable_result","m2_w3_huawei_asc950_physical","draft","No logical/physical link count."
"SEARCH-M2W3-HUAWEI-ASC950-DIE-SPECIAL-DETAIL","REQ-M2W3-HUAWEI-ASC950-DIE-SPECIAL-DETAIL","2026-08-13","Requirement-specific exact-object review for REQ-M2W3-HUAWEI-ASC950-DIE-SPECIAL-DETAIL (FIELD-CAP-IMPLEMENTATION-DETAIL): H-2, H-6 plus DT route, H-7, H-12.","conference_talk;product_page;press_release","no_reliable_result","m2_w3_huawei_asc950_physical","draft","No dedicated MoE routing, Top-k, attention, sampling or KV-cache block identified."
"SEARCH-M2W3-HUAWEI-ASC950-DIE-COMPILER","REQ-M2W3-HUAWEI-ASC950-DIE-COMPILER","2026-08-13","Requirement-specific exact-object review for REQ-M2W3-HUAWEI-ASC950-DIE-COMPILER (FIELD-SW-COMPILER): H-2, H-6 plus DT route, H-7, H-12.","conference_talk;product_page;press_release","no_reliable_result","m2_w3_huawei_asc950_physical","draft","No exact die-matched compiler/version."
"SEARCH-M2W3-HUAWEI-ASC950-DIE-RUNTIME","REQ-M2W3-HUAWEI-ASC950-DIE-RUNTIME","2026-08-13","Requirement-specific exact-object review for REQ-M2W3-HUAWEI-ASC950-DIE-RUNTIME (FIELD-SW-RUNTIME): H-2, H-6 plus DT route, H-7, H-12.","conference_talk;product_page;press_release","no_reliable_result","m2_w3_huawei_asc950_physical","draft","No exact die-matched runtime/version."
"SEARCH-M2W3-HUAWEI-ASC950PR-AVAILABILITY","REQ-M2W3-HUAWEI-ASC950PR-AVAILABILITY","2026-08-13","Requirement-specific exact-object review for REQ-M2W3-HUAWEI-ASC950PR-AVAILABILITY (FIELD-ID-AVAILABILITY-DATE): H-2, H-6 plus DT route, H-7, H-12.","conference_talk;product_page;press_release","no_reliable_result","m2_w3_huawei_asc950_physical","draft","H-2 gives Q1 2026 and H-12 dates Atlas 350, not exact standalone PR availability."
"SEARCH-M2W3-HUAWEI-ASC950PR-DIE-COUNT","REQ-M2W3-HUAWEI-ASC950PR-DIE-COUNT","2026-08-13","Requirement-specific exact-object review for REQ-M2W3-HUAWEI-ASC950PR-DIE-COUNT (FIELD-PHY-DIE-COUNT): H-2, H-6 plus DT route, H-7, H-12.","conference_talk;product_page;press_release","no_reliable_result","m2_w3_huawei_asc950_physical","draft","Die quantity absent for PR package."
"SEARCH-M2W3-HUAWEI-ASC950PR-HBM-STACKS","REQ-M2W3-HUAWEI-ASC950PR-HBM-STACKS","2026-08-13","Requirement-specific exact-object review for REQ-M2W3-HUAWEI-ASC950PR-HBM-STACKS (FIELD-PHY-HBM-STACKS): H-2, H-6 plus DT route, H-7, H-12.","conference_talk;product_page;press_release","no_reliable_result","m2_w3_huawei_asc950_physical","draft","HBM stack count absent for PR package."
"SEARCH-M2W3-HUAWEI-ASC950PR-HBM-INTERFACE","REQ-M2W3-HUAWEI-ASC950PR-HBM-INTERFACE","2026-08-13","Requirement-specific exact-object review for REQ-M2W3-HUAWEI-ASC950PR-HBM-INTERFACE (FIELD-PHY-HBM-INTERFACE): H-2, H-6 plus DT route, H-7, H-12.","conference_talk;product_page;press_release","no_reliable_result","m2_w3_huawei_asc950_physical","draft","HBM interface width absent for PR package."
"SEARCH-M2W3-HUAWEI-ASC950PR-INTERPOSER","REQ-M2W3-HUAWEI-ASC950PR-INTERPOSER","2026-08-13","Requirement-specific exact-object review for REQ-M2W3-HUAWEI-ASC950PR-INTERPOSER (FIELD-PHY-INTERPOSER): H-2, H-6 plus DT route, H-7, H-12.","conference_talk;product_page;press_release","no_reliable_result","m2_w3_huawei_asc950_physical","draft","Interposer/substrate absent for PR package."
"SEARCH-M2W3-HUAWEI-ASC950PR-POWER","REQ-M2W3-HUAWEI-ASC950PR-POWER","2026-08-13","Requirement-specific exact-object review for REQ-M2W3-HUAWEI-ASC950PR-POWER (FIELD-PHY-POWER): H-2, H-6 plus DT route, H-7, H-12.","conference_talk;product_page;press_release","no_reliable_result","m2_w3_huawei_asc950_physical","draft","Package power absent for PR package."
"SEARCH-M2W3-HUAWEI-ASC950PR-MEM-LATENCY","REQ-M2W3-HUAWEI-ASC950PR-MEM-LATENCY","2026-08-13","Requirement-specific exact-object review for REQ-M2W3-HUAWEI-ASC950PR-MEM-LATENCY (FIELD-MEM-LATENCY): H-2, H-6 plus DT route, H-7, H-12.","conference_talk;product_page;press_release","no_reliable_result","m2_w3_huawei_asc950_physical","draft","No HiBL 1.0 latency."
"SEARCH-M2W3-HUAWEI-ASC950PR-MEM-RW-MODEL","REQ-M2W3-HUAWEI-ASC950PR-MEM-RW-MODEL","2026-08-13","Requirement-specific exact-object review for REQ-M2W3-HUAWEI-ASC950PR-MEM-RW-MODEL (FIELD-MEM-READ-WRITE-MODEL): H-2, H-6 plus DT route, H-7, H-12.","conference_talk;product_page;press_release","no_reliable_result","m2_w3_huawei_asc950_physical","draft","1.6 TB/s label does not state read/write/aggregate semantics."
"SEARCH-M2W3-HUAWEI-ASC950PR-LINK-RATE","REQ-M2W3-HUAWEI-ASC950PR-LINK-RATE","2026-08-13","Requirement-specific exact-object review for REQ-M2W3-HUAWEI-ASC950PR-LINK-RATE (FIELD-INT-PER-LINK-RATE): H-2, H-6 plus DT route, H-7, H-12.","conference_talk;product_page;press_release","no_reliable_result","m2_w3_huawei_asc950_physical","draft","Only maximum bidirectional aggregate is given."
"SEARCH-M2W3-HUAWEI-ASC950PR-LINK-COUNT","REQ-M2W3-HUAWEI-ASC950PR-LINK-COUNT","2026-08-13","Requirement-specific exact-object review for REQ-M2W3-HUAWEI-ASC950PR-LINK-COUNT (FIELD-INT-LINK-COUNT): H-2, H-6 plus DT route, H-7, H-12.","conference_talk;product_page;press_release","no_reliable_result","m2_w3_huawei_asc950_physical","draft","No PR link count."
"SEARCH-M2W3-HUAWEI-ASC950PR-TOPOLOGY","REQ-M2W3-HUAWEI-ASC950PR-TOPOLOGY","2026-08-13","Requirement-specific exact-object review for REQ-M2W3-HUAWEI-ASC950PR-TOPOLOGY (FIELD-INT-TOPOLOGY): H-2, H-6 plus DT route, H-7, H-12.","conference_talk;product_page;press_release","no_reliable_result","m2_w3_huawei_asc950_physical","draft","No PR package/device topology."
"SEARCH-M2W3-HUAWEI-ASC950PR-SPECIAL-DETAIL","REQ-M2W3-HUAWEI-ASC950PR-SPECIAL-DETAIL","2026-08-13","Requirement-specific exact-object review for REQ-M2W3-HUAWEI-ASC950PR-SPECIAL-DETAIL (FIELD-CAP-IMPLEMENTATION-DETAIL): H-2, H-6 plus DT route, H-7, H-12.","conference_talk;product_page;press_release","no_reliable_result","m2_w3_huawei_asc950_physical","draft","No dedicated MoE/Top-k/attention/sampling/KV block identified for PR."
"SEARCH-M2W3-HUAWEI-ASC950PR-COMPILER","REQ-M2W3-HUAWEI-ASC950PR-COMPILER","2026-08-13","Requirement-specific exact-object review for REQ-M2W3-HUAWEI-ASC950PR-COMPILER (FIELD-SW-COMPILER): H-2, H-6 plus DT route, H-7, H-12.","conference_talk;product_page;press_release","no_reliable_result","m2_w3_huawei_asc950_physical","draft","No exact PR compiler/version."
"SEARCH-M2W3-HUAWEI-ASC950PR-RUNTIME","REQ-M2W3-HUAWEI-ASC950PR-RUNTIME","2026-08-13","Requirement-specific exact-object review for REQ-M2W3-HUAWEI-ASC950PR-RUNTIME (FIELD-SW-RUNTIME): H-2, H-6 plus DT route, H-7, H-12.","conference_talk;product_page;press_release","no_reliable_result","m2_w3_huawei_asc950_physical","draft","No exact PR runtime/version."
"SEARCH-M2W3-HUAWEI-ASC950PR-ACCUM","REQ-M2W3-HUAWEI-ASC950PR-ACCUM","2026-08-13","Requirement-specific exact-object review for REQ-M2W3-HUAWEI-ASC950PR-ACCUM (FIELD-NUM-ACCUMULATION): H-2, H-6 plus DT route, H-7, H-12.","conference_talk;product_page;press_release","no_reliable_result","m2_w3_huawei_asc950_physical","draft","1784 TFLOPS label omits datatype and programmer-visible accumulation."
"SEARCH-M2W3-HUAWEI-ASC950PR-PHYSICAL-ACCUM","REQ-M2W3-HUAWEI-ASC950PR-PHYSICAL-ACCUM","2026-08-13","Requirement-specific exact-object review for REQ-M2W3-HUAWEI-ASC950PR-PHYSICAL-ACCUM (FIELD-NUM-PHYSICAL-ACCUM): H-2, H-6 plus DT route, H-7, H-12.","conference_talk;product_page;press_release","no_reliable_result","m2_w3_huawei_asc950_physical","draft","Physical accumulator behind 1784 TFLOPS is absent."
"SEARCH-M2W3-HUAWEI-ASC950DT-DIE-COUNT","REQ-M2W3-HUAWEI-ASC950DT-DIE-COUNT","2026-08-13","Requirement-specific exact-object review for REQ-M2W3-HUAWEI-ASC950DT-DIE-COUNT (FIELD-PHY-DIE-COUNT): H-2, H-6 plus DT route, H-7, H-12.","conference_talk;product_page;press_release","no_reliable_result","m2_w3_huawei_asc950_physical","draft","Die quantity absent for DT package."
"SEARCH-M2W3-HUAWEI-ASC950DT-HBM-STACKS","REQ-M2W3-HUAWEI-ASC950DT-HBM-STACKS","2026-08-13","Requirement-specific exact-object review for REQ-M2W3-HUAWEI-ASC950DT-HBM-STACKS (FIELD-PHY-HBM-STACKS): H-2, H-6 plus DT route, H-7, H-12.","conference_talk;product_page;press_release","no_reliable_result","m2_w3_huawei_asc950_physical","draft","HBM stack count absent for DT package."
"SEARCH-M2W3-HUAWEI-ASC950DT-HBM-INTERFACE","REQ-M2W3-HUAWEI-ASC950DT-HBM-INTERFACE","2026-08-13","Requirement-specific exact-object review for REQ-M2W3-HUAWEI-ASC950DT-HBM-INTERFACE (FIELD-PHY-HBM-INTERFACE): H-2, H-6 plus DT route, H-7, H-12.","conference_talk;product_page;press_release","no_reliable_result","m2_w3_huawei_asc950_physical","draft","HBM interface width absent for DT package."
"SEARCH-M2W3-HUAWEI-ASC950DT-INTERPOSER","REQ-M2W3-HUAWEI-ASC950DT-INTERPOSER","2026-08-13","Requirement-specific exact-object review for REQ-M2W3-HUAWEI-ASC950DT-INTERPOSER (FIELD-PHY-INTERPOSER): H-2, H-6 plus DT route, H-7, H-12.","conference_talk;product_page;press_release","no_reliable_result","m2_w3_huawei_asc950_physical","draft","Interposer/substrate absent for DT package."
"SEARCH-M2W3-HUAWEI-ASC950DT-POWER","REQ-M2W3-HUAWEI-ASC950DT-POWER","2026-08-13","Requirement-specific exact-object review for REQ-M2W3-HUAWEI-ASC950DT-POWER (FIELD-PHY-POWER): H-2, H-6 plus DT route, H-7, H-12.","conference_talk;product_page;press_release","no_reliable_result","m2_w3_huawei_asc950_physical","draft","Package power absent for DT package."
"SEARCH-M2W3-HUAWEI-ASC950DT-MEM-LATENCY","REQ-M2W3-HUAWEI-ASC950DT-MEM-LATENCY","2026-08-13","Requirement-specific exact-object review for REQ-M2W3-HUAWEI-ASC950DT-MEM-LATENCY (FIELD-MEM-LATENCY): H-2, H-6 plus DT route, H-7, H-12.","conference_talk;product_page;press_release","no_reliable_result","m2_w3_huawei_asc950_physical","draft","No HiZQ 2.0 latency."
"SEARCH-M2W3-HUAWEI-ASC950DT-MEM-RW-MODEL","REQ-M2W3-HUAWEI-ASC950DT-MEM-RW-MODEL","2026-08-13","Requirement-specific exact-object review for REQ-M2W3-HUAWEI-ASC950DT-MEM-RW-MODEL (FIELD-MEM-READ-WRITE-MODEL): H-2, H-6 plus DT route, H-7, H-12.","conference_talk;product_page;press_release","no_reliable_result","m2_w3_huawei_asc950_physical","draft","4 TB/s label does not state read/write/aggregate semantics."
"SEARCH-M2W3-HUAWEI-ASC950DT-LINK-RATE","REQ-M2W3-HUAWEI-ASC950DT-LINK-RATE","2026-08-13","Requirement-specific exact-object review for REQ-M2W3-HUAWEI-ASC950DT-LINK-RATE (FIELD-INT-PER-LINK-RATE): H-2, H-6 plus DT route, H-7, H-12.","conference_talk;product_page;press_release","no_reliable_result","m2_w3_huawei_asc950_physical","draft","Only total bandwidth is given."
"SEARCH-M2W3-HUAWEI-ASC950DT-LINK-COUNT","REQ-M2W3-HUAWEI-ASC950DT-LINK-COUNT","2026-08-13","Requirement-specific exact-object review for REQ-M2W3-HUAWEI-ASC950DT-LINK-COUNT (FIELD-INT-LINK-COUNT): H-2, H-6 plus DT route, H-7, H-12.","conference_talk;product_page;press_release","no_reliable_result","m2_w3_huawei_asc950_physical","draft","No DT link count."
"SEARCH-M2W3-HUAWEI-ASC950DT-TOPOLOGY","REQ-M2W3-HUAWEI-ASC950DT-TOPOLOGY","2026-08-13","Requirement-specific exact-object review for REQ-M2W3-HUAWEI-ASC950DT-TOPOLOGY (FIELD-INT-TOPOLOGY): H-2, H-6 plus DT route, H-7, H-12.","conference_talk;product_page;press_release","no_reliable_result","m2_w3_huawei_asc950_physical","draft","No DT package/device topology."
"SEARCH-M2W3-HUAWEI-ASC950DT-SPECIAL-DETAIL","REQ-M2W3-HUAWEI-ASC950DT-SPECIAL-DETAIL","2026-08-13","Requirement-specific exact-object review for REQ-M2W3-HUAWEI-ASC950DT-SPECIAL-DETAIL (FIELD-CAP-IMPLEMENTATION-DETAIL): H-2, H-6 plus DT route, H-7, H-12.","conference_talk;product_page;press_release","no_reliable_result","m2_w3_huawei_asc950_physical","draft","No dedicated MoE/Top-k/attention/sampling/KV block identified for DT."
"SEARCH-M2W3-HUAWEI-ASC950DT-COMPILER","REQ-M2W3-HUAWEI-ASC950DT-COMPILER","2026-08-13","Requirement-specific exact-object review for REQ-M2W3-HUAWEI-ASC950DT-COMPILER (FIELD-SW-COMPILER): H-2, H-6 plus DT route, H-7, H-12.","conference_talk;product_page;press_release","no_reliable_result","m2_w3_huawei_asc950_physical","draft","No exact DT compiler/version."
"SEARCH-M2W3-HUAWEI-ASC950DT-RUNTIME","REQ-M2W3-HUAWEI-ASC950DT-RUNTIME","2026-08-13","Requirement-specific exact-object review for REQ-M2W3-HUAWEI-ASC950DT-RUNTIME (FIELD-SW-RUNTIME): H-2, H-6 plus DT route, H-7, H-12.","conference_talk;product_page;press_release","no_reliable_result","m2_w3_huawei_asc950_physical","draft","No exact DT runtime/version."
"SEARCH-M2W3-HUAWEI-ASC950DT-ACCUM","REQ-M2W3-HUAWEI-ASC950DT-ACCUM","2026-08-13","Requirement-specific exact-object review for REQ-M2W3-HUAWEI-ASC950DT-ACCUM (FIELD-NUM-ACCUMULATION): H-2, H-6 plus DT route, H-7, H-12.","conference_talk;product_page;press_release","no_reliable_result","m2_w3_huawei_asc950_physical","draft","Roadmap formats do not disclose programmer-visible accumulation for DT."
"SEARCH-M2W3-HUAWEI-ASC950DT-PHYSICAL-ACCUM","REQ-M2W3-HUAWEI-ASC950DT-PHYSICAL-ACCUM","2026-08-13","Requirement-specific exact-object review for REQ-M2W3-HUAWEI-ASC950DT-PHYSICAL-ACCUM (FIELD-NUM-PHYSICAL-ACCUM): H-2, H-6 plus DT route, H-7, H-12.","conference_talk;product_page;press_release","no_reliable_result","m2_w3_huawei_asc950_physical","draft","No DT physical accumulator semantics."
