"fact_id","target_kind","target_id","field_id","normalized_value","normalized_unit","fact_kind","resolution_state","source_id","source_locator","extraction_status","reuse_disposition"
"FACT-AWS-TRN2-TENSOR-BF16-OPERAND-B","precision_path","PP-AWS-TRN2-TENSOR-BF16","FIELD-NUM-OPERAND-B","BF16","","direct_statement","provisional","SRC-AWS-TRN2-S04","Data types","source_checked","reference_existing_fact_do_not_copy"
"FACT-AWS-TRN2-TENSOR-BF16-ACCUM","precision_path","PP-AWS-TRN2-TENSOR-BF16","FIELD-NUM-ACCUMULATION","FP32 internal accumulation semantics","","direct_statement","provisional","SRC-AWS-TRN2-S04","Data types","source_checked","reference_existing_fact_do_not_copy"
"FACT-AWS-TRN2-TENSOR-BF16-OUTPUT","precision_path","PP-AWS-TRN2-TENSOR-BF16","FIELD-NUM-OUTPUT","FP32 PSUM destination tile","","direct_statement","provisional","SRC-AWS-TRN2-S04","Data types and Memory types","source_checked","reference_existing_fact_do_not_copy"
"FACT-AWS-TRN2-TENSOR-FP16-OPERAND-A","precision_path","PP-AWS-TRN2-TENSOR-FP16","FIELD-NUM-OPERAND-A","FP16","","direct_statement","provisional","SRC-AWS-TRN2-S04","Data types","source_checked","reference_existing_fact_do_not_copy"
"FACT-AWS-TRN2-TENSOR-FP16-OPERAND-B","precision_path","PP-AWS-TRN2-TENSOR-FP16","FIELD-NUM-OPERAND-B","FP16","","direct_statement","provisional","SRC-AWS-TRN2-S04","Data types","source_checked","reference_existing_fact_do_not_copy"
"FACT-AWS-TRN2-TENSOR-FP16-ACCUM","precision_path","PP-AWS-TRN2-TENSOR-FP16","FIELD-NUM-ACCUMULATION","FP32 internal accumulation semantics","","direct_statement","provisional","SRC-AWS-TRN2-S04","Data types","source_checked","reference_existing_fact_do_not_copy"
"FACT-AWS-TRN2-TENSOR-FP16-OUTPUT","precision_path","PP-AWS-TRN2-TENSOR-FP16","FIELD-NUM-OUTPUT","FP32 PSUM destination tile","","direct_statement","provisional","SRC-AWS-TRN2-S04","Data types and Memory types","source_checked","reference_existing_fact_do_not_copy"
"FACT-AWS-TRN2-TENSOR-TF32-OPERAND-A","precision_path","PP-AWS-TRN2-TENSOR-TF32","FIELD-NUM-OPERAND-A","TF32","","direct_statement","provisional","SRC-AWS-TRN2-S04","Data types","source_checked","reference_existing_fact_do_not_copy"
"FACT-AWS-TRN2-TENSOR-TF32-OPERAND-B","precision_path","PP-AWS-TRN2-TENSOR-TF32","FIELD-NUM-OPERAND-B","TF32","","direct_statement","provisional","SRC-AWS-TRN2-S04","Data types","source_checked","reference_existing_fact_do_not_copy"
"FACT-AWS-TRN2-TENSOR-TF32-ACCUM","precision_path","PP-AWS-TRN2-TENSOR-TF32","FIELD-NUM-ACCUMULATION","FP32 internal accumulation semantics","","direct_statement","provisional","SRC-AWS-TRN2-S04","Data types","source_checked","reference_existing_fact_do_not_copy"
"FACT-AWS-TRN2-TENSOR-TF32-OUTPUT","precision_path","PP-AWS-TRN2-TENSOR-TF32","FIELD-NUM-OUTPUT","FP32 PSUM destination tile","","direct_statement","provisional","SRC-AWS-TRN2-S04","Data types and Memory types","source_checked","reference_existing_fact_do_not_copy"
"FACT-AWS-TRN2-TENSOR-FP32-OPERAND-A","precision_path","PP-AWS-TRN2-TENSOR-FP32","FIELD-NUM-OPERAND-A","FP32","","direct_statement","provisional","SRC-AWS-TRN2-S04","Data types","source_checked","reference_existing_fact_do_not_copy"
"FACT-AWS-TRN2-TENSOR-FP32-OPERAND-B","precision_path","PP-AWS-TRN2-TENSOR-FP32","FIELD-NUM-OPERAND-B","FP32","","direct_statement","provisional","SRC-AWS-TRN2-S04","Data types","source_checked","reference_existing_fact_do_not_copy"
"FACT-AWS-TRN2-TENSOR-FP32-ACCUM","precision_path","PP-AWS-TRN2-TENSOR-FP32","FIELD-NUM-ACCUMULATION","FP32 internal accumulation semantics","","direct_statement","provisional","SRC-AWS-TRN2-S04","Data types","source_checked","reference_existing_fact_do_not_copy"
"FACT-AWS-TRN2-TENSOR-FP32-OUTPUT","precision_path","PP-AWS-TRN2-TENSOR-FP32","FIELD-NUM-OUTPUT","FP32 PSUM destination tile","","direct_statement","provisional","SRC-AWS-TRN2-S04","Data types and Memory types","source_checked","reference_existing_fact_do_not_copy"
"FACT-AWS-TRN2-TENSOR-FP8-ROUNDING","precision_path","PP-AWS-TRN2-TENSOR-FP8","FIELD-NUM-ROUNDING","Round Nearest Even (RNE) and stochastic rounding are supported","","direct_statement","provisional","SRC-AWS-TRN2-S03","Tensor Engine","source_checked","reference_existing_fact_do_not_copy"
"FACT-AWS-TRN2-TENSOR-FP8-SCALING","precision_path","PP-AWS-TRN2-TENSOR-FP8","FIELD-NUM-SCALING-MODE","cFP8 supports configurable exponent bias","","direct_statement","provisional","SRC-AWS-TRN2-S03","Tensor Engine","source_checked","reference_existing_fact_do_not_copy"
"FACT-AWS-TRN2-SPARSITY-MODES","precision_path","PP-AWS-TRN2-TENSOR-FP8","FIELD-NUM-SPARSITY","structured_sparse","","direct_statement","provisional","SRC-AWS-TRN2-S03","Tensor Engine","source_checked","reference_existing_fact_do_not_copy"
"FACT-AWS-TRN2-CHIP-FP8-DENSE-PUB","precision_path","PP-AWS-TRN2-CHIP-TENSOR-FP8","FIELD-COMP-THROUGHPUT","1299000000000000","FLOP/s","direct_statement","conflict_member","SRC-AWS-TRN2-S01","Trainium2 chip components / Compute","source_checked","reference_existing_fact_do_not_copy"
"FACT-AWS-TRN2-CORE-FP8-DENSE-PUB","precision_path","PP-AWS-TRN2-TENSOR-FP8","FIELD-COMP-THROUGHPUT","158000000000000","FLOP/s","direct_statement","provisional","SRC-AWS-TRN2-S02","Table 11 / Tensor Engine","source_checked","reference_existing_fact_do_not_copy"
"FACT-AWS-TRN2-CHIP-FP8-DENSE-DER8","precision_path","PP-AWS-TRN2-CHIP-TENSOR-FP8","FIELD-COMP-THROUGHPUT","1264000000000000","FLOP/s","derived","provisional","","","","reference_existing_fact_do_not_copy"
"FACT-AWS-TRN2-CHIP-BF16-DENSE-PUB","precision_path","PP-AWS-TRN2-CHIP-TENSOR-BF16","FIELD-COMP-THROUGHPUT","667000000000000","FLOP/s","direct_statement","conflict_member","SRC-AWS-TRN2-S01","Trainium2 chip components / Compute","source_checked","reference_existing_fact_do_not_copy"
"FACT-AWS-TRN2-CORE-BF16-DENSE-PUB","precision_path","PP-AWS-TRN2-TENSOR-BF16","FIELD-COMP-THROUGHPUT","79000000000000","FLOP/s","direct_statement","provisional","SRC-AWS-TRN2-S02","Table 11 / Tensor Engine","source_checked","reference_existing_fact_do_not_copy"
"FACT-AWS-TRN2-CHIP-BF16-DENSE-DER8","precision_path","PP-AWS-TRN2-CHIP-TENSOR-BF16","FIELD-COMP-THROUGHPUT","632000000000000","FLOP/s","derived","provisional","","","","reference_existing_fact_do_not_copy"
"FACT-AWS-TRN2-CHIP-FP16-DENSE-PUB","precision_path","PP-AWS-TRN2-CHIP-TENSOR-FP16","FIELD-COMP-THROUGHPUT","667000000000000","FLOP/s","direct_statement","conflict_member","SRC-AWS-TRN2-S01","Trainium2 chip components / Compute","source_checked","reference_existing_fact_do_not_copy"
"FACT-AWS-TRN2-CORE-FP16-DENSE-PUB","precision_path","PP-AWS-TRN2-TENSOR-FP16","FIELD-COMP-THROUGHPUT","79000000000000","FLOP/s","direct_statement","provisional","SRC-AWS-TRN2-S02","Table 11 / Tensor Engine","source_checked","reference_existing_fact_do_not_copy"
"FACT-AWS-TRN2-CHIP-FP16-DENSE-DER8","precision_path","PP-AWS-TRN2-CHIP-TENSOR-FP16","FIELD-COMP-THROUGHPUT","632000000000000","FLOP/s","derived","provisional","","","","reference_existing_fact_do_not_copy"
"FACT-AWS-TRN2-CHIP-TF32-DENSE-PUB","precision_path","PP-AWS-TRN2-CHIP-TENSOR-TF32","FIELD-COMP-THROUGHPUT","667000000000000","FLOP/s","direct_statement","conflict_member","SRC-AWS-TRN2-S01","Trainium2 chip components / Compute","source_checked","reference_existing_fact_do_not_copy"
"FACT-AWS-TRN2-CORE-TF32-DENSE-PUB","precision_path","PP-AWS-TRN2-TENSOR-TF32","FIELD-COMP-THROUGHPUT","79000000000000","FLOP/s","direct_statement","provisional","SRC-AWS-TRN2-S02","Table 11 / Tensor Engine","source_checked","reference_existing_fact_do_not_copy"
"FACT-AWS-TRN2-CHIP-TF32-DENSE-DER8","precision_path","PP-AWS-TRN2-CHIP-TENSOR-TF32","FIELD-COMP-THROUGHPUT","632000000000000","FLOP/s","derived","provisional","","","","reference_existing_fact_do_not_copy"
"FACT-AWS-TRN2-CHIP-FP32-DENSE-PUB","precision_path","PP-AWS-TRN2-TENSOR-FP32","FIELD-COMP-THROUGHPUT","181000000000000","FLOP/s","direct_statement","conflict_member","SRC-AWS-TRN2-S01","Trainium2 chip components / Compute","source_checked","reference_existing_fact_do_not_copy"
"FACT-AWS-TRN2-CORE-FP32-DENSE-PUB","precision_path","PP-AWS-TRN2-TENSOR-FP32","FIELD-COMP-THROUGHPUT","20000000000000","FLOP/s","direct_statement","provisional","SRC-AWS-TRN2-S02","Table 11 / Tensor Engine","source_checked","reference_existing_fact_do_not_copy"
"FACT-AWS-TRN2-CHIP-FP32-DENSE-DER8","precision_path","PP-AWS-TRN2-TENSOR-FP32","FIELD-COMP-THROUGHPUT","160000000000000","FLOP/s","derived","provisional","","","","reference_existing_fact_do_not_copy"
"FACT-AWS-TRN2-CHIP-FP8-SPARSE-PUB","precision_path","PP-AWS-TRN2-CHIP-TENSOR-FP8","FIELD-COMP-THROUGHPUT","2563000000000000","FLOP/s","direct_statement","conflict_member","SRC-AWS-TRN2-S01","Trainium2 chip components / Compute","source_checked","reference_existing_fact_do_not_copy"
"FACT-AWS-TRN2-CORE-FP8-SPARSE-PUB","precision_path","PP-AWS-TRN2-TENSOR-FP8","FIELD-COMP-THROUGHPUT","316000000000000","FLOP/s","direct_statement","provisional","SRC-AWS-TRN2-S02","Table 11 / Tensor Engine","source_checked","reference_existing_fact_do_not_copy"
"FACT-AWS-TRN2-CHIP-FP8-SPARSE-DER8","precision_path","PP-AWS-TRN2-CHIP-TENSOR-FP8","FIELD-COMP-THROUGHPUT","2528000000000000","FLOP/s","derived","provisional","","","","reference_existing_fact_do_not_copy"
"FACT-AWS-TRN2-CHIP-FP8-SPARSE-HIST2024","precision_path","PP-AWS-TRN2-CHIP-TENSOR-FP8","FIELD-COMP-THROUGHPUT","5200000000000000","FLOP/s","direct_statement","conflict_member","SRC-AWS-TRN2-S10","launch post sparse compute claim","source_checked","reference_existing_fact_do_not_copy"
"FACT-AWS-TRN2-CHIP-BF16-SPARSE-PUB","precision_path","PP-AWS-TRN2-CHIP-TENSOR-BF16","FIELD-COMP-THROUGHPUT","2563000000000000","FLOP/s","direct_statement","conflict_member","SRC-AWS-TRN2-S01","Trainium2 chip components / Compute","source_checked","reference_existing_fact_do_not_copy"
"FACT-AWS-TRN2-CORE-BF16-SPARSE-PUB","precision_path","PP-AWS-TRN2-TENSOR-BF16","FIELD-COMP-THROUGHPUT","316000000000000","FLOP/s","direct_statement","provisional","SRC-AWS-TRN2-S02","Table 11 / Tensor Engine","source_checked","reference_existing_fact_do_not_copy"
"FACT-AWS-TRN2-CHIP-BF16-SPARSE-DER8","precision_path","PP-AWS-TRN2-CHIP-TENSOR-BF16","FIELD-COMP-THROUGHPUT","2528000000000000","FLOP/s","derived","provisional","","","","reference_existing_fact_do_not_copy"
"FACT-AWS-TRN2-CHIP-FP16-SPARSE-PUB","precision_path","PP-AWS-TRN2-CHIP-TENSOR-FP16","FIELD-COMP-THROUGHPUT","2563000000000000","FLOP/s","direct_statement","conflict_member","SRC-AWS-TRN2-S01","Trainium2 chip components / Compute","source_checked","reference_existing_fact_do_not_copy"
"FACT-AWS-TRN2-CORE-FP16-SPARSE-PUB","precision_path","PP-AWS-TRN2-TENSOR-FP16","FIELD-COMP-THROUGHPUT","316000000000000","FLOP/s","direct_statement","provisional","SRC-AWS-TRN2-S02","Table 11 / Tensor Engine","source_checked","reference_existing_fact_do_not_copy"
"FACT-AWS-TRN2-CHIP-FP16-SPARSE-DER8","precision_path","PP-AWS-TRN2-CHIP-TENSOR-FP16","FIELD-COMP-THROUGHPUT","2528000000000000","FLOP/s","derived","provisional","","","","reference_existing_fact_do_not_copy"
"FACT-AWS-TRN2-CHIP-TF32-SPARSE-PUB","precision_path","PP-AWS-TRN2-CHIP-TENSOR-TF32","FIELD-COMP-THROUGHPUT","2563000000000000","FLOP/s","direct_statement","conflict_member","SRC-AWS-TRN2-S01","Trainium2 chip components / Compute","source_checked","reference_existing_fact_do_not_copy"
"FACT-AWS-TRN2-CORE-TF32-SPARSE-PUB","precision_path","PP-AWS-TRN2-TENSOR-TF32","FIELD-COMP-THROUGHPUT","316000000000000","FLOP/s","direct_statement","provisional","SRC-AWS-TRN2-S02","Table 11 / Tensor Engine","source_checked","reference_existing_fact_do_not_copy"
"FACT-AWS-TRN2-CHIP-TF32-SPARSE-DER8","precision_path","PP-AWS-TRN2-CHIP-TENSOR-TF32","FIELD-COMP-THROUGHPUT","2528000000000000","FLOP/s","derived","provisional","","","","reference_existing_fact_do_not_copy"
"FACT-AWS-TRN2-VECTOR-FP32-CORE","precision_path","PP-AWS-TRN2-VECTOR-FP32","FIELD-COMP-THROUGHPUT","1000000000000","FLOP/s","direct_statement","provisional","SRC-AWS-TRN2-S02","Table 11 / Vector Engine","source_checked","reference_existing_fact_do_not_copy"
"FACT-AWS-TRN2-VECTOR-FP32-DER8","precision_path","PP-AWS-TRN2-VECTOR-FP32","FIELD-COMP-THROUGHPUT","8000000000000","FLOP/s","derived","provisional","","","","reference_existing_fact_do_not_copy"
"FACT-AWS-TRN2-SCALAR-FP32-CORE","precision_path","PP-AWS-TRN2-SCALAR-FP32","FIELD-COMP-THROUGHPUT","1200000000000","FLOP/s","direct_statement","provisional","SRC-AWS-TRN2-S02","Table 11 / Scalar Engine","source_checked","reference_existing_fact_do_not_copy"
"FACT-AWS-TRN2-SCALAR-FP32-DER8","precision_path","PP-AWS-TRN2-SCALAR-FP32","FIELD-COMP-THROUGHPUT","9600000000000","FLOP/s","derived","provisional","","","","reference_existing_fact_do_not_copy"
"FACT-AWS-TRN2-TENSOR-CLOCK","component","CMP-AWS-TRN2-TENSOR","FIELD-PHY-CLOCK","2400000000","Hz","direct_statement","provisional","SRC-AWS-TRN2-S02","Tensor Engine","source_checked","reference_existing_fact_do_not_copy"
"FACT-AWS-TRN2-VECTOR-CLOCK","component","CMP-AWS-TRN2-VECTOR","FIELD-PHY-CLOCK","960000000","Hz","direct_statement","provisional","SRC-AWS-TRN2-S02","Vector Engine","source_checked","reference_existing_fact_do_not_copy"
"FACT-AWS-TRN2-SCALAR-CLOCK","component","CMP-AWS-TRN2-SCALAR","FIELD-PHY-CLOCK","1200000000","Hz","direct_statement","provisional","SRC-AWS-TRN2-S02","Scalar Engine","source_checked","reference_existing_fact_do_not_copy"
"FACT-AWS-TRN2-GPSIMD-CLOCK","component","CMP-AWS-TRN2-GPSIMD","FIELD-PHY-CLOCK","1200000000","Hz","direct_statement","provisional","SRC-AWS-TRN2-S02","Gpsimd Engine","source_checked","reference_existing_fact_do_not_copy"
"FACT-AWS-TRN2-HBM-STACKS","component","CMP-AWS-TRN2-HBM","FIELD-MEM-INSTANCE-COUNT","4","count","direct_statement","provisional","SRC-AWS-TRN2-S01","Trainium2 chip components","source_checked","reference_existing_fact_do_not_copy"
"FACT-AWS-TRN2-HBM-CAPACITY","component","CMP-AWS-TRN2-HBM","FIELD-MEM-CAPACITY","103079215104","byte","direct_statement","provisional","SRC-AWS-TRN2-S01","Memory","source_checked","reference_existing_fact_do_not_copy"
"FACT-AWS-TRN2-HBM-BANDWIDTH","component","CMP-AWS-TRN2-HBM","FIELD-MEM-BIDIR-BW","2900000000000","byte/s","direct_statement","provisional","SRC-AWS-TRN2-S01","Memory","source_checked","reference_existing_fact_do_not_copy"
"FACT-AWS-TRN2-HBM-BANKS","component","CMP-AWS-TRN2-HBM","FIELD-MEM-BANKS","4","count","direct_statement","provisional","SRC-AWS-TRN2-S05","LNC=1/2","source_checked","reference_existing_fact_do_not_copy"
"FACT-AWS-TRN2-HBM-SHARING","component","CMP-AWS-TRN2-HBM","FIELD-COMP-SHARED-RESOURCE","Each 24 GB HBM bank is shared by two physical NCv3 cores","","direct_statement","provisional","SRC-AWS-TRN2-S05","LNC=1/2","source_checked","reference_existing_fact_do_not_copy"
"FACT-AWS-TRN2-SBUF-CAPACITY-CORE","component","CMP-AWS-TRN2-SBUF","FIELD-MEM-CAPACITY","29360128","byte","direct_statement","provisional","SRC-AWS-TRN2-S02","On-chip SRAM","source_checked","reference_existing_fact_do_not_copy"
"FACT-AWS-TRN2-SBUF-PARTITIONS","component","CMP-AWS-TRN2-SBUF","FIELD-MEM-BANKS","128","count","direct_statement","provisional","SRC-AWS-TRN2-S02","On-chip SRAM","source_checked","reference_existing_fact_do_not_copy"
"FACT-AWS-TRN2-SBUF-GRANULARITY","component","CMP-AWS-TRN2-SBUF","FIELD-MEM-GRANULARITY","229376","byte","direct_statement","provisional","SRC-AWS-TRN2-S02","On-chip SRAM","source_checked","reference_existing_fact_do_not_copy"
"FACT-AWS-TRN2-SBUF-MANAGEMENT","component","CMP-AWS-TRN2-SBUF","FIELD-MEM-MANAGEMENT","software_scratchpad","","direct_statement","provisional","SRC-AWS-TRN2-S02","Data Movement Updates","source_checked","reference_existing_fact_do_not_copy"
"FACT-AWS-TRN2-PSUM-CAPACITY-CORE","component","CMP-AWS-TRN2-PSUM","FIELD-MEM-CAPACITY","2097152","byte","direct_statement","provisional","SRC-AWS-TRN2-S02","On-chip SRAM","source_checked","reference_existing_fact_do_not_copy"
"FACT-AWS-TRN2-SBUF-CAPACITY-CHIP-AGG","component","CMP-AWS-TRN2-SBUF","FIELD-COMP-SHARED-RESOURCE","224 MiB aggregate across 8 private NCv3 SBUF stores; not a unified shared cache","","direct_statement","provisional","SRC-AWS-TRN2-S01","Memory","source_checked","reference_existing_fact_do_not_copy"
"FACT-AWS-TRN2-MAIN-DMA-BW","component","CMP-AWS-TRN2-MAIN-DMA","FIELD-MEM-BIDIR-BW","3500000000000","byte/s","direct_statement","provisional","SRC-AWS-TRN2-S01","Trainium2 chip components","source_checked","reference_existing_fact_do_not_copy"
"FACT-AWS-TRN2-GPSIMD-DMA-TOTAL","component","CMP-AWS-TRN2-GPSIMD-DMA","FIELD-MEM-BIDIR-BW","307000000000","byte/s","direct_statement","provisional","SRC-AWS-TRN2-S02","Gpsimd Engine","source_checked","reference_existing_fact_do_not_copy"
"FACT-AWS-TRN2-GPSIMD-DMA-READ","component","CMP-AWS-TRN2-GPSIMD-DMA","FIELD-MEM-READ-BW","153000000000","byte/s","direct_statement","provisional","SRC-AWS-TRN2-S02","Gpsimd Engine","source_checked","reference_existing_fact_do_not_copy"
"FACT-AWS-TRN2-GPSIMD-DMA-WRITE","component","CMP-AWS-TRN2-GPSIMD-DMA","FIELD-MEM-WRITE-BW","153000000000","byte/s","direct_statement","provisional","SRC-AWS-TRN2-S02","Gpsimd Engine","source_checked","reference_existing_fact_do_not_copy"
"FACT-AWS-TRN2-NEURONLINK-IF-COUNT","link","LINK-AWS-TRN2-CHIP-NEURONLINKV3","FIELD-INT-PHYSICAL-LINK-COUNT","4","count","direct_statement","provisional","SRC-AWS-TRN2-S01","Trainium2 chip components","source_checked","reference_existing_fact_do_not_copy"
"FACT-AWS-TRN2-NEURONLINK-AGG-BW","link","LINK-AWS-TRN2-CHIP-NEURONLINKV3","FIELD-INT-AGGREGATE-BW","1280000000000","byte/s","direct_statement","provisional","SRC-AWS-TRN2-S01","Trainium2 chip components","source_checked","reference_existing_fact_do_not_copy"
"FACT-AWS-TRN2-CAP-SPARSE-MATMUL-LEVEL","capability","CAP-AWS-TRN2-SPARSE-MATMUL","FIELD-CAP-IMPLEMENTATION-LEVEL","configurable_engine","","direct_statement","provisional","SRC-AWS-TRN2-S03","Tensor Engine","source_checked","reference_existing_fact_do_not_copy"
"FACT-AWS-TRN2-CAP-TENSOR-TRANSPOSE-LEVEL","capability","CAP-AWS-TRN2-TENSOR-TRANSPOSE","FIELD-CAP-IMPLEMENTATION-LEVEL","dedicated_instruction","","direct_statement","provisional","SRC-AWS-TRN2-S02","Built-in Transpose Support","source_checked","reference_existing_fact_do_not_copy"
"FACT-AWS-TRN2-CAP-DMA-TRANSPOSE-LEVEL","capability","CAP-AWS-TRN2-DMA-TRANSPOSE","FIELD-CAP-IMPLEMENTATION-LEVEL","configurable_engine","","direct_statement","provisional","SRC-AWS-TRN2-S02","DMA Transpose","source_checked","reference_existing_fact_do_not_copy"
"FACT-AWS-TRN2-CAP-VECTOR-REDUCTION-LEVEL","capability","CAP-AWS-TRN2-VECTOR-REDUCTION","FIELD-CAP-IMPLEMENTATION-LEVEL","general_compute_path","","direct_statement","provisional","SRC-AWS-TRN2-S02","Vector Engine","source_checked","reference_existing_fact_do_not_copy"
"FACT-AWS-TRN2-CAP-SCALAR-NONLINEAR-LEVEL","capability","CAP-AWS-TRN2-SCALAR-NONLINEAR","FIELD-CAP-IMPLEMENTATION-LEVEL","general_compute_path","","direct_statement","provisional","SRC-AWS-TRN2-S02","Scalar Engine","source_checked","reference_existing_fact_do_not_copy"
"FACT-AWS-TRN2-CAP-GPSIMD-CUSTOM-LEVEL","capability","CAP-AWS-TRN2-GPSIMD-CUSTOM","FIELD-CAP-IMPLEMENTATION-LEVEL","general_compute_path","","direct_statement","provisional","SRC-AWS-TRN2-S02","Gpsimd Engine","source_checked","reference_existing_fact_do_not_copy"
"FACT-AWS-TRN2-CAP-DGE-DESCRIPTOR-LEVEL","capability","CAP-AWS-TRN2-DGE-DESCRIPTOR","FIELD-CAP-IMPLEMENTATION-LEVEL","dedicated_physical_module","","direct_statement","provisional","SRC-AWS-TRN2-S02","Descriptor Generation Engine","source_checked","reference_existing_fact_do_not_copy"
"FACT-AWS-TRN2-CAP-COLLECTIVE-HW-LEVEL","capability","CAP-AWS-TRN2-COLLECTIVE-HW","FIELD-CAP-IMPLEMENTATION-LEVEL","dedicated_physical_module","","direct_statement","provisional","SRC-AWS-TRN2-S01","Collective communication","source_checked","reference_existing_fact_do_not_copy"
"FACT-AWS-TRN2-CAP-COLLECTIVE-NKI-LEVEL","capability","CAP-AWS-TRN2-COLLECTIVE-NKI","FIELD-CAP-IMPLEMENTATION-LEVEL","library_implementation","","direct_statement","provisional","SRC-AWS-TRN2-S08","NKI Collectives","source_checked","reference_existing_fact_do_not_copy"
"FACT-AWS-TRN2-CAP-TOPK-NKI-LEVEL","capability","CAP-AWS-TRN2-TOPK-NKI","FIELD-CAP-IMPLEMENTATION-LEVEL","library_implementation","","direct_statement","provisional","SRC-AWS-TRN2-S13","Background / API Reference","source_checked","reference_existing_fact_do_not_copy"
"FACT-AWS-TRN2-CAP-MOE-NKI-LEVEL","capability","CAP-AWS-TRN2-MOE-NKI","FIELD-CAP-IMPLEMENTATION-LEVEL","library_implementation","","direct_statement","provisional","SRC-AWS-TRN2-S12","body","source_checked","reference_existing_fact_do_not_copy"
