"fact_id","object_id","component_id","link_id","object_relation_id","precision_path_id","capability_id","topology_id","field_id","normalized_value_text","normalized_value_number","normalized_unit","condition_set_id","fact_kind","evidence_state","resolution_state","valid_from","valid_to","confidence","confidence_reason","fact_fingerprint","review_status","notes"
"FACT-M2W3-AMD-MI350P-VENDOR","OBJ-AMD-MI350P","","","","","","","FIELD-ID-VENDOR","AMD","","","COND-NONE","direct_statement","single_source","provisional","","","high","Dedicated first-party exact product page.","OBJ-AMD-MI350P|FIELD-ID-VENDOR|AMD|COND-NONE","draft",""
"FACT-M2W3-AMD-MI350P-POWER-CONFIG","OBJ-AMD-MI350P","","","","","","","FIELD-PHY-POWER","","450","W","COND-M2W3-AMD-MI350P-POWER-CONFIG","direct_statement","corroborated","provisional","","","high","Exact page and fixed brochure match the configurable TBP point.","OBJ-AMD-MI350P|FIELD-PHY-POWER|450|COND-M2W3-AMD-MI350P-POWER-CONFIG","draft","No mode name, software version or workload condition is published."
"FACT-M2W3-AMD-MI350P-COOLING","OBJ-AMD-MI350P","","","","","","","FIELD-PHY-COOLING","passive","","","COND-NONE","direct_statement","single_source","provisional","","","high","Exact product page Board Specifications states Passive.","OBJ-AMD-MI350P|FIELD-PHY-COOLING|passive|COND-NONE","draft","The blog and brochure discuss air-cooled servers, which is a system deployment condition and not substituted for card cooling."
"FACT-M2W3-AMD-MI350P-FORM-FACTOR","OBJ-AMD-MI350P","","","","","","","FIELD-PHY-FORM-FACTOR","Full-height, full-length, dual-slot PCIe CEM add-in card","","","COND-NONE","direct_statement","corroborated","provisional","","","high","Fixed brochure gives the full card form and the exact page independently confirms PCIe add-in, full-height, 267 mm and double-slot dimensions.","OBJ-AMD-MI350P|FIELD-PHY-FORM-FACTOR|Full-height,-full-length,-dual-slot-PCIe-CEM-add-in-card|COND-NONE","draft","CEM means Card Electromechanical. Air-cooled server compatibility is not encoded as the card cooling method."
"FACT-M2W3-AMD-MI350P-HBM-INTERFACE","OBJ-AMD-MI350P","","","","","","","FIELD-PHY-HBM-INTERFACE","","4096","bit","COND-NONE","direct_statement","single_source","provisional","","","high","Exact product page directly publishes the total memory interface width.","OBJ-AMD-MI350P|FIELD-PHY-HBM-INTERFACE|4096|COND-NONE","draft","No width is derived from capacity or an assumed HBM stack count."
"FACT-M2W3-AMD-MI350P-TRANSISTORS","OBJ-AMD-MI350P","","","","","","","FIELD-PHY-TRANSISTORS","","73000000000","count","COND-NONE","direct_statement","single_source","provisional","","","high","Exact product page directly publishes the transistor count for the MI350P PCIe card.","OBJ-AMD-MI350P|FIELD-PHY-TRANSISTORS|73000000000|COND-NONE","draft","The source value 73 Billion is normalized to the exact decimal count; no die-level split is inferred."
"FACT-M2W3-AMD-MI350P-CU-COUNT","","COMP-M2W3-AMD-MI350P-CU","","","","","","FIELD-COMP-UNIT-COUNT","","128","count","COND-NONE","direct_statement","single_source","provisional","","","high","Exact product page publishes the enabled product-level count.","COMP-M2W3-AMD-MI350P-CU|FIELD-COMP-UNIT-COUNT|128|COND-NONE","draft","No per-CU throughput or per-XCD multiplication is used."
"FACT-M2W3-AMD-MI350P-MATRIX-CORE-COUNT","","COMP-M2W3-AMD-MI350P-MATRIX","","","","","","FIELD-COMP-UNIT-COUNT","","512","count","COND-NONE","direct_statement","single_source","provisional","","","high","Exact product page publishes the product-level Matrix Cores count.","COMP-M2W3-AMD-MI350P-MATRIX|FIELD-COMP-UNIT-COUNT|512|COND-NONE","draft","No internal width or operation count is inferred."
"FACT-M2W3-AMD-MI350P-STREAM-PROCESSOR-COUNT","","COMP-M2W3-AMD-MI350P-VECTOR","","","","","","FIELD-COMP-UNIT-COUNT","","8192","count","COND-NONE","direct_statement","single_source","provisional","","","high","Exact product page publishes the product-level Stream Processors count.","COMP-M2W3-AMD-MI350P-VECTOR|FIELD-COMP-UNIT-COUNT|8192|COND-NONE","draft","The count is not converted to lanes or vector width."
"FACT-M2W3-AMD-MI350P-HBM3E-CAPACITY","","COMP-M2W3-AMD-MI350P-HBM3E","","","","","","FIELD-MEM-CAPACITY","","144000000000","byte","COND-NONE","direct_statement","corroborated","provisional","","","high","Exact page and fixed brochure publish 144 GB HBM3E for one card.","COMP-M2W3-AMD-MI350P-HBM3E|FIELD-MEM-CAPACITY|144000000000|COND-NONE","draft","GB is treated as the source decimal unit; it is not reinterpreted as GiB."
"FACT-M2W3-AMD-MI350P-LLC-CAPACITY","","COMP-M2W3-AMD-MI350P-LLC","","","","","","FIELD-MEM-CAPACITY","","128000000","byte","COND-NONE","direct_statement","single_source","provisional","","","high","Exact product page labels 128 MB as the last-level cache.","COMP-M2W3-AMD-MI350P-LLC|FIELD-MEM-CAPACITY|128000000|COND-NONE","draft","MB remains decimal and is not reinterpreted as MiB."
"FACT-M2W3-AMD-MI350P-HBM3E-BW","","COMP-M2W3-AMD-MI350P-HBM3E","","","","","","FIELD-MEM-BIDIR-BW","","4000000000000","byte/s","COND-M2W3-AMD-MI350P-HBM3E-PEAK-BW","direct_statement","corroborated","provisional","","","high","Exact page and fixed brochure publish the same per-card peak memory bandwidth.","COMP-M2W3-AMD-MI350P-HBM3E|FIELD-MEM-BIDIR-BW|4000000000000|COND-M2W3-AMD-MI350P-HBM3E-PEAK-BW","draft","The field name does not override the source: read/write direction is not specified."
"FACT-M2W3-AMD-MI350P-PCIE-PROTOCOL","","","LINK-M2W3-AMD-MI350P-PCIE","","","","","FIELD-INT-PROTOCOL","PCIe 5.0 x16","","","COND-NONE","direct_statement","corroborated","provisional","","","high","Exact page and fixed brochure agree on PCIe Gen 5 x16.","LINK-M2W3-AMD-MI350P-PCIE|FIELD-INT-PROTOCOL|PCIe-5.0-x16|COND-NONE","draft","Protocol and bandwidth remain separate facts."
"FACT-M2W3-AMD-MI350P-PCIE-BW","","","LINK-M2W3-AMD-MI350P-PCIE","","","","","FIELD-INT-AGGREGATE-BW","","128000000000","byte/s","COND-M2W3-AMD-MI350P-PCIE-BW","direct_statement","single_source","provisional","","","high","Fixed brochure directly prints 128 GB/s for the one PCIe Gen 5 x16 endpoint.","LINK-M2W3-AMD-MI350P-PCIE|FIELD-INT-AGGREGATE-BW|128000000000|COND-M2W3-AMD-MI350P-PCIE-BW","draft","Direction, payload basis and sustained-versus-nameplate basis are not stated; no halving or doubling is applied."
"FACT-M2W3-AMD-MI350P-MXFP4-MATRIX-PEAK","","","","","PPATH-M2W3-AMD-MI350P-MXFP4-MATRIX","","","FIELD-COMP-THROUGHPUT","","4600000000000000","FLOP/s","COND-M2W3-AMD-MI350P-PEAK-MATRIX-UNSPEC","direct_statement","single_source","provisional","","","high","Exact product page publishes a single-card peak for this named path.","PPATH-M2W3-AMD-MI350P-MXFP4-MATRIX|FIELD-COMP-THROUGHPUT|4600000000000000|COND-M2W3-AMD-MI350P-PEAK-MATRIX-UNSPEC","draft","MXFP4 is a vendor performance-format label here; no A/B, product, accumulation, output or FMA-count rule is inferred."
"FACT-M2W3-AMD-MI350P-MXFP6-MATRIX-PEAK","","","","","PPATH-M2W3-AMD-MI350P-MXFP6-MATRIX","","","FIELD-COMP-THROUGHPUT","","4600000000000000","FLOP/s","COND-M2W3-AMD-MI350P-PEAK-MATRIX-UNSPEC","direct_statement","single_source","provisional","","","high","Exact product page publishes a single-card peak for this named path.","PPATH-M2W3-AMD-MI350P-MXFP6-MATRIX|FIELD-COMP-THROUGHPUT|4600000000000000|COND-M2W3-AMD-MI350P-PEAK-MATRIX-UNSPEC","draft","MXFP6 is a vendor performance-format label here; no A/B, product, accumulation, output or FMA-count rule is inferred."
"FACT-M2W3-AMD-MI350P-MXFP8-MATRIX-PEAK","","","","","PPATH-M2W3-AMD-MI350P-MXFP8-MATRIX","","","FIELD-COMP-THROUGHPUT","","2300000000000000","FLOP/s","COND-M2W3-AMD-MI350P-PEAK-MATRIX-UNSPEC","direct_statement","single_source","provisional","","","high","Exact product page publishes a single-card peak for this named path.","PPATH-M2W3-AMD-MI350P-MXFP8-MATRIX|FIELD-COMP-THROUGHPUT|2300000000000000|COND-M2W3-AMD-MI350P-PEAK-MATRIX-UNSPEC","draft","MXFP8 is a vendor performance-format label here; no A/B, product, accumulation, output or FMA-count rule is inferred."
"FACT-M2W3-AMD-MI350P-OCP-FP8-MATRIX-BASE-PEAK","","","","","PPATH-M2W3-AMD-MI350P-OCP-FP8-MATRIX","","","FIELD-COMP-THROUGHPUT","","2300000000000000","FLOP/s","COND-M2W3-AMD-MI350P-PEAK-MATRIX-BASE","direct_statement","single_source","provisional","","","high","Exact product page publishes the base OCP-FP8 peak and separately publishes a structured-sparsity peak.","PPATH-M2W3-AMD-MI350P-OCP-FP8-MATRIX|FIELD-COMP-THROUGHPUT|2300000000000000|COND-M2W3-AMD-MI350P-PEAK-MATRIX-BASE","draft","E5M2/E4M3 are printed labels; exact A/B pairing, product, accumulation, output and FMA count are not stated."
"FACT-M2W3-AMD-MI350P-OCP-FP8-MATRIX-SPARSE-PEAK","","","","","PPATH-M2W3-AMD-MI350P-OCP-FP8-MATRIX","","","FIELD-COMP-THROUGHPUT","","4600000000000000","FLOP/s","COND-M2W3-AMD-MI350P-PEAK-MATRIX-STRUCTURED","direct_statement","single_source","provisional","","","high","Exact product page explicitly labels this separate peak with structured sparsity.","PPATH-M2W3-AMD-MI350P-OCP-FP8-MATRIX|FIELD-COMP-THROUGHPUT|4600000000000000|COND-M2W3-AMD-MI350P-PEAK-MATRIX-STRUCTURED","draft","The sparse pattern is not stated; no 2:4 assumption or physical-unit inference is made."
"FACT-M2W3-AMD-MI350P-FP16-MATRIX-BASE-PEAK","","","","","PPATH-M2W3-AMD-MI350P-FP16-MATRIX","","","FIELD-COMP-THROUGHPUT","","1150000000000000","FLOP/s","COND-M2W3-AMD-MI350P-PEAK-MATRIX-BASE","direct_statement","single_source","provisional","","","high","Exact product page publishes the base FP16 matrix peak and a separate structured-sparsity peak.","PPATH-M2W3-AMD-MI350P-FP16-MATRIX|FIELD-COMP-THROUGHPUT|1150000000000000|COND-M2W3-AMD-MI350P-PEAK-MATRIX-BASE","draft","The base row is not relabeled dense; product and accumulation formats are not inferred."
"FACT-M2W3-AMD-MI350P-FP16-MATRIX-SPARSE-PEAK","","","","","PPATH-M2W3-AMD-MI350P-FP16-MATRIX","","","FIELD-COMP-THROUGHPUT","","2300000000000000","FLOP/s","COND-M2W3-AMD-MI350P-PEAK-MATRIX-STRUCTURED","direct_statement","single_source","provisional","","","high","Exact product page explicitly labels this separate FP16 peak with structured sparsity.","PPATH-M2W3-AMD-MI350P-FP16-MATRIX|FIELD-COMP-THROUGHPUT|2300000000000000|COND-M2W3-AMD-MI350P-PEAK-MATRIX-STRUCTURED","draft","The sparse pattern is not stated; no 2:4 assumption is made."
"FACT-M2W3-AMD-MI350P-BF16-MATRIX-BASE-PEAK","","","","","PPATH-M2W3-AMD-MI350P-BF16-MATRIX","","","FIELD-COMP-THROUGHPUT","","1150000000000000","FLOP/s","COND-M2W3-AMD-MI350P-PEAK-MATRIX-BASE","direct_statement","single_source","provisional","","","high","Exact product page publishes the base BF16 matrix peak and a separate structured-sparsity peak.","PPATH-M2W3-AMD-MI350P-BF16-MATRIX|FIELD-COMP-THROUGHPUT|1150000000000000|COND-M2W3-AMD-MI350P-PEAK-MATRIX-BASE","draft","The base row is not relabeled dense; product and accumulation formats are not inferred."
"FACT-M2W3-AMD-MI350P-BF16-MATRIX-SPARSE-PEAK","","","","","PPATH-M2W3-AMD-MI350P-BF16-MATRIX","","","FIELD-COMP-THROUGHPUT","","2300000000000000","FLOP/s","COND-M2W3-AMD-MI350P-PEAK-MATRIX-STRUCTURED","direct_statement","single_source","provisional","","","high","Exact product page explicitly labels this separate BF16 peak with structured sparsity.","PPATH-M2W3-AMD-MI350P-BF16-MATRIX|FIELD-COMP-THROUGHPUT|2300000000000000|COND-M2W3-AMD-MI350P-PEAK-MATRIX-STRUCTURED","draft","The sparse pattern is not stated; no 2:4 assumption is made."
"FACT-M2W3-AMD-MI350P-INT8-MATRIX-BASE-PEAK","","","","","PPATH-M2W3-AMD-MI350P-INT8-MATRIX","","","FIELD-COMP-THROUGHPUT","","2300000000000000","OP/s","COND-M2W3-AMD-MI350P-PEAK-MATRIX-BASE","direct_statement","single_source","provisional","","","high","Exact product page publishes the base INT8 matrix peak and a separate structured-sparsity peak.","PPATH-M2W3-AMD-MI350P-INT8-MATRIX|FIELD-COMP-THROUGHPUT|2300000000000000|COND-M2W3-AMD-MI350P-PEAK-MATRIX-BASE","draft","Integer throughput remains OP/s, not FLOP/s; the base row is not relabeled dense."
"FACT-M2W3-AMD-MI350P-INT8-MATRIX-SPARSE-PEAK","","","","","PPATH-M2W3-AMD-MI350P-INT8-MATRIX","","","FIELD-COMP-THROUGHPUT","","4600000000000000","OP/s","COND-M2W3-AMD-MI350P-PEAK-MATRIX-STRUCTURED","direct_statement","single_source","provisional","","","high","Exact product page explicitly labels this separate INT8 peak with structured sparsity.","PPATH-M2W3-AMD-MI350P-INT8-MATRIX|FIELD-COMP-THROUGHPUT|4600000000000000|COND-M2W3-AMD-MI350P-PEAK-MATRIX-STRUCTURED","draft","Integer throughput remains OP/s; the sparse pattern is not stated."
"FACT-M2W3-AMD-MI350P-FP32-MATRIX-PEAK","","","","","PPATH-M2W3-AMD-MI350P-FP32-MATRIX","","","FIELD-COMP-THROUGHPUT","","72000000000000","FLOP/s","COND-M2W3-AMD-MI350P-PEAK-MATRIX-UNSPEC","direct_statement","single_source","provisional","","","high","Exact product page publishes a single-card FP32 matrix peak.","PPATH-M2W3-AMD-MI350P-FP32-MATRIX|FIELD-COMP-THROUGHPUT|72000000000000|COND-M2W3-AMD-MI350P-PEAK-MATRIX-UNSPEC","draft","Sparsity, operation-count rule and product-specific accumulation are not stated."
"FACT-M2W3-AMD-MI350P-FP64-MATRIX-PEAK","","","","","PPATH-M2W3-AMD-MI350P-FP64-MATRIX","","","FIELD-COMP-THROUGHPUT","","36000000000000","FLOP/s","COND-M2W3-AMD-MI350P-PEAK-MATRIX-UNSPEC","direct_statement","single_source","provisional","","","high","Exact product page publishes a single-card FP64 matrix peak.","PPATH-M2W3-AMD-MI350P-FP64-MATRIX|FIELD-COMP-THROUGHPUT|36000000000000|COND-M2W3-AMD-MI350P-PEAK-MATRIX-UNSPEC","draft","Sparsity, operation-count rule and product-specific accumulation are not stated."
"FACT-M2W3-AMD-MI350P-FP16-VECTOR-PEAK","","","","","PPATH-M2W3-AMD-MI350P-FP16-VECTOR","","","FIELD-COMP-THROUGHPUT","","72000000000000","FLOP/s","COND-M2W3-AMD-MI350P-PEAK-VECTOR","direct_statement","single_source","provisional","","","high","Fixed brochure directly labels the estimated single-card FP16 peak as vector performance.","PPATH-M2W3-AMD-MI350P-FP16-VECTOR|FIELD-COMP-THROUGHPUT|72000000000000|COND-M2W3-AMD-MI350P-PEAK-VECTOR","draft","The later product page corroborates the 72 TFLOPs value without labeling it vector; no lane count is inferred."
"FACT-M2W3-AMD-MI350P-FP32-VECTOR-PEAK","","","","","PPATH-M2W3-AMD-MI350P-FP32-VECTOR","","","FIELD-COMP-THROUGHPUT","","72000000000000","FLOP/s","COND-M2W3-AMD-MI350P-PEAK-VECTOR","direct_statement","single_source","provisional","","","high","Fixed brochure directly labels the estimated single-card FP32 peak as vector performance.","PPATH-M2W3-AMD-MI350P-FP32-VECTOR|FIELD-COMP-THROUGHPUT|72000000000000|COND-M2W3-AMD-MI350P-PEAK-VECTOR","draft","The later product page corroborates the 72 TFLOPs value without labeling it vector; no lane count is inferred."
"FACT-M2W3-AMD-MI350P-FP64-VECTOR-PEAK","","","","","PPATH-M2W3-AMD-MI350P-FP64-VECTOR","","","FIELD-COMP-THROUGHPUT","","36000000000000","FLOP/s","COND-M2W3-AMD-MI350P-PEAK-VECTOR","direct_statement","single_source","provisional","","","high","Fixed brochure directly labels the estimated single-card FP64 peak as vector performance.","PPATH-M2W3-AMD-MI350P-FP64-VECTOR|FIELD-COMP-THROUGHPUT|36000000000000|COND-M2W3-AMD-MI350P-PEAK-VECTOR","draft","The later product page corroborates the 36 TFLOPs value without labeling it vector; no lane count is inferred."
