"assertion_id","fact_id","source_id","claim_role","assertion_mode","assertion_relation","raw_value_text","raw_value_number","raw_unit","source_locator","quoted_context","extraction_status","extractor","reviewer","review_date","assertion_fingerprint","review_status","notes"
"ASSERT-M2W3-AMD-MI350P-IOD-COUNT-BROCHURE","FACT-M2W3-AMD-MI350P-IOD-COUNT","SRC-M2W3-AMD-MI350P-BROCHURE-202605","core_spec","direct_statement","supports","","1","count","p. 1, Specifications, I/O Dies (IODs)","I/O DIES (IODS): 1","source_checked","m2_w3_mi350p_source_prep","","2026-08-13","FACT-M2W3-AMD-MI350P-IOD-COUNT|SRC-M2W3-AMD-MI350P-BROCHURE-202605|supports|p. 1, Specifications, I/O Dies (IODs)","draft",""
"ASSERT-M2W3-AMD-MI350P-CLOCK-PRODUCT","FACT-M2W3-AMD-MI350P-CLOCK","SRC-M2W3-AMD-MI350P-PRODUCT-20260813","core_spec","direct_statement","supports","","2200","MHz","HTML lines 7186-7197, GPU Specifications","Peak Engine Clock: 2200 MHz","source_checked","m2_w3_mi350p_source_prep","","2026-08-13","FACT-M2W3-AMD-MI350P-CLOCK|SRC-M2W3-AMD-MI350P-PRODUCT-20260813|supports|HTML lines 7186-7197, GPU Specifications","draft",""
"ASSERT-M2W3-AMD-MI350P-CLOCK-BROCHURE","FACT-M2W3-AMD-MI350P-CLOCK","SRC-M2W3-AMD-MI350P-BROCHURE-202605","core_spec","direct_statement","supports","","2.2","GHz","p. 1, Specifications, Peak Engine Clock","PEAK ENGINE CLOCK: 2.2 GHz","source_checked","m2_w3_mi350p_source_prep","","2026-08-13","FACT-M2W3-AMD-MI350P-CLOCK|SRC-M2W3-AMD-MI350P-BROCHURE-202605|supports|p. 1, Specifications, Peak Engine Clock","draft",""
"ASSERT-M2W3-AMD-MI350P-POWER-MAX-PRODUCT","FACT-M2W3-AMD-MI350P-POWER-MAX","SRC-M2W3-AMD-MI350P-PRODUCT-20260813","core_spec","direct_statement","supports","","600","W","HTML lines 7584-7595, Requirements","600W TBP (Max); 450W TBP configurable","source_checked","m2_w3_mi350p_source_prep","","2026-08-13","FACT-M2W3-AMD-MI350P-POWER-MAX|SRC-M2W3-AMD-MI350P-PRODUCT-20260813|supports|HTML lines 7584-7595, Requirements","draft",""
"ASSERT-M2W3-AMD-MI350P-POWER-MAX-BROCHURE","FACT-M2W3-AMD-MI350P-POWER-MAX","SRC-M2W3-AMD-MI350P-BROCHURE-202605","core_spec","direct_statement","supports","","600","W","p. 1, Specifications, Maximum TBP","MAXIMUM TBP: 600W (configurable to 450W)","source_checked","m2_w3_mi350p_source_prep","","2026-08-13","FACT-M2W3-AMD-MI350P-POWER-MAX|SRC-M2W3-AMD-MI350P-BROCHURE-202605|supports|p. 1, Specifications, Maximum TBP","draft",""
"ASSERT-M2W3-AMD-MI350P-POWER-CONFIG-PRODUCT","FACT-M2W3-AMD-MI350P-POWER-CONFIG","SRC-M2W3-AMD-MI350P-PRODUCT-20260813","core_spec","direct_statement","supports","","450","W","HTML lines 7584-7595, Requirements","600W TBP (Max); 450W TBP configurable","source_checked","m2_w3_mi350p_source_prep","","2026-08-13","FACT-M2W3-AMD-MI350P-POWER-CONFIG|SRC-M2W3-AMD-MI350P-PRODUCT-20260813|supports|HTML lines 7584-7595, Requirements","draft",""
"ASSERT-M2W3-AMD-MI350P-POWER-CONFIG-BROCHURE","FACT-M2W3-AMD-MI350P-POWER-CONFIG","SRC-M2W3-AMD-MI350P-BROCHURE-202605","core_spec","direct_statement","supports","","450","W","p. 1, Specifications, Maximum TBP","MAXIMUM TBP: 600W (configurable to 450W)","source_checked","m2_w3_mi350p_source_prep","","2026-08-13","FACT-M2W3-AMD-MI350P-POWER-CONFIG|SRC-M2W3-AMD-MI350P-BROCHURE-202605|supports|p. 1, Specifications, Maximum TBP","draft",""
"ASSERT-M2W3-AMD-MI350P-COOLING-PRODUCT","FACT-M2W3-AMD-MI350P-COOLING","SRC-M2W3-AMD-MI350P-PRODUCT-20260813","core_spec","direct_statement","supports","Passive","","","HTML lines 7808-7819, Board Specifications","Cooling: Passive","source_checked","m2_w3_mi350p_source_prep","","2026-08-13","FACT-M2W3-AMD-MI350P-COOLING|SRC-M2W3-AMD-MI350P-PRODUCT-20260813|supports|HTML lines 7808-7819, Board Specifications","draft",""
"ASSERT-M2W3-AMD-MI350P-FORM-FACTOR-BROCHURE","FACT-M2W3-AMD-MI350P-FORM-FACTOR","SRC-M2W3-AMD-MI350P-BROCHURE-202605","core_spec","direct_statement","supports","FHFL 2-slot PCIe CEM Card","","","p. 1, Specifications, Form Factor","FORM FACTOR: FHFL 2-slot PCIe CEM Card","source_checked","m2_w3_mi350p_source_prep","","2026-08-13","FACT-M2W3-AMD-MI350P-FORM-FACTOR|SRC-M2W3-AMD-MI350P-BROCHURE-202605|supports|p. 1, Specifications, Form Factor","draft",""
"ASSERT-M2W3-AMD-MI350P-FORM-FACTOR-PRODUCT","FACT-M2W3-AMD-MI350P-FORM-FACTOR","SRC-M2W3-AMD-MI350P-PRODUCT-20260813","core_spec","direct_statement","supports","PCIe® Add-in Card; Full Height; 10.5 in (267 mm); Double Slot","","","HTML lines 7769-7892, Board Specifications and Dimensions","PCIe® Add-in Card; Full Height; 10.5 in (267 mm); Double Slot","source_checked","m2_w3_mi350p_source_prep","","2026-08-13","FACT-M2W3-AMD-MI350P-FORM-FACTOR|SRC-M2W3-AMD-MI350P-PRODUCT-20260813|supports|HTML lines 7769-7892, Board Specifications and Dimensions","draft","Product page supplies compatible dimensions; brochure supplies the full-length/CEM wording."
"ASSERT-M2W3-AMD-MI350P-HBM-INTERFACE-PRODUCT","FACT-M2W3-AMD-MI350P-HBM-INTERFACE","SRC-M2W3-AMD-MI350P-PRODUCT-20260813","core_spec","direct_statement","supports","","4096","bit","HTML lines 7696-7707, GPU Memory","Memory Interface: 4096-bit","source_checked","m2_w3_mi350p_source_prep","","2026-08-13","FACT-M2W3-AMD-MI350P-HBM-INTERFACE|SRC-M2W3-AMD-MI350P-PRODUCT-20260813|supports|HTML lines 7696-7707, GPU Memory","draft",""
"ASSERT-M2W3-AMD-MI350P-TRANSISTORS-PRODUCT","FACT-M2W3-AMD-MI350P-TRANSISTORS","SRC-M2W3-AMD-MI350P-PRODUCT-20260813","core_spec","direct_statement","supports","73 Billion","","","HTML lines 7509-7520, GPU Specifications","Transistor Count: 73 Billion","source_checked","m2_w3_mi350p_remediation","","2026-08-13","FACT-M2W3-AMD-MI350P-TRANSISTORS|SRC-M2W3-AMD-MI350P-PRODUCT-20260813|supports|HTML lines 7509-7520, GPU Specifications","draft",""
"ASSERT-M2W3-AMD-MI350P-CU-COUNT-PRODUCT","FACT-M2W3-AMD-MI350P-CU-COUNT","SRC-M2W3-AMD-MI350P-PRODUCT-20260813","core_spec","direct_statement","supports","","128","count","HTML lines 7167-7178, GPU Specifications","Compute Units: 128","source_checked","m2_w3_mi350p_source_prep","","2026-08-13","FACT-M2W3-AMD-MI350P-CU-COUNT|SRC-M2W3-AMD-MI350P-PRODUCT-20260813|supports|HTML lines 7167-7178, GPU Specifications","draft",""
"ASSERT-M2W3-AMD-MI350P-MATRIX-CORE-COUNT-PRODUCT","FACT-M2W3-AMD-MI350P-MATRIX-CORE-COUNT","SRC-M2W3-AMD-MI350P-PRODUCT-20260813","core_spec","direct_statement","supports","","512","count","HTML lines 7148-7159, GPU Specifications","Matrix Cores: 512","source_checked","m2_w3_mi350p_source_prep","","2026-08-13","FACT-M2W3-AMD-MI350P-MATRIX-CORE-COUNT|SRC-M2W3-AMD-MI350P-PRODUCT-20260813|supports|HTML lines 7148-7159, GPU Specifications","draft",""
"ASSERT-M2W3-AMD-MI350P-STREAM-PROCESSOR-COUNT-PRODUCT","FACT-M2W3-AMD-MI350P-STREAM-PROCESSOR-COUNT","SRC-M2W3-AMD-MI350P-PRODUCT-20260813","core_spec","direct_statement","supports","","8192","count","HTML lines 7129-7140, GPU Specifications","Stream Processors: 8,192","source_checked","m2_w3_mi350p_source_prep","","2026-08-13","FACT-M2W3-AMD-MI350P-STREAM-PROCESSOR-COUNT|SRC-M2W3-AMD-MI350P-PRODUCT-20260813|supports|HTML lines 7129-7140, GPU Specifications","draft",""
"ASSERT-M2W3-AMD-MI350P-HBM3E-CAPACITY-PRODUCT","FACT-M2W3-AMD-MI350P-HBM3E-CAPACITY","SRC-M2W3-AMD-MI350P-PRODUCT-20260813","core_spec","direct_statement","supports","","144","GB","HTML lines 7638-7667, GPU Memory","Dedicated Memory Size: 144 GB; Dedicated Memory Type: HBM3E","source_checked","m2_w3_mi350p_source_prep","","2026-08-13","FACT-M2W3-AMD-MI350P-HBM3E-CAPACITY|SRC-M2W3-AMD-MI350P-PRODUCT-20260813|supports|HTML lines 7638-7667, GPU Memory","draft",""
"ASSERT-M2W3-AMD-MI350P-HBM3E-CAPACITY-BROCHURE","FACT-M2W3-AMD-MI350P-HBM3E-CAPACITY","SRC-M2W3-AMD-MI350P-BROCHURE-202605","core_spec","direct_statement","supports","","144","GB","p. 1, Specifications, Memory Capacity","MEMORY CAPACITY: 144GB HBM3e","source_checked","m2_w3_mi350p_source_prep","","2026-08-13","FACT-M2W3-AMD-MI350P-HBM3E-CAPACITY|SRC-M2W3-AMD-MI350P-BROCHURE-202605|supports|p. 1, Specifications, Memory Capacity","draft",""
"ASSERT-M2W3-AMD-MI350P-LLC-CAPACITY-PRODUCT","FACT-M2W3-AMD-MI350P-LLC-CAPACITY","SRC-M2W3-AMD-MI350P-PRODUCT-20260813","core_spec","direct_statement","supports","","128","MB","HTML lines 7619-7630, GPU Memory","Last Level Cache (LLC): 128 MB","source_checked","m2_w3_mi350p_source_prep","","2026-08-13","FACT-M2W3-AMD-MI350P-LLC-CAPACITY|SRC-M2W3-AMD-MI350P-PRODUCT-20260813|supports|HTML lines 7619-7630, GPU Memory","draft",""
"ASSERT-M2W3-AMD-MI350P-HBM3E-BW-PRODUCT","FACT-M2W3-AMD-MI350P-HBM3E-BW","SRC-M2W3-AMD-MI350P-PRODUCT-20260813","core_spec","direct_statement","supports","","4","TB/s","HTML lines 7715-7726, GPU Memory","Peak Memory Bandwidth: 4 TB/s","source_checked","m2_w3_mi350p_source_prep","","2026-08-13","FACT-M2W3-AMD-MI350P-HBM3E-BW|SRC-M2W3-AMD-MI350P-PRODUCT-20260813|supports|HTML lines 7715-7726, GPU Memory","draft",""
"ASSERT-M2W3-AMD-MI350P-HBM3E-BW-BROCHURE","FACT-M2W3-AMD-MI350P-HBM3E-BW","SRC-M2W3-AMD-MI350P-BROCHURE-202605","core_spec","direct_statement","supports","","4","TB/s","p. 1, Specifications, Memory Bandwidth","MEMORY BANDWIDTH: 4 TB/s","source_checked","m2_w3_mi350p_source_prep","","2026-08-13","FACT-M2W3-AMD-MI350P-HBM3E-BW|SRC-M2W3-AMD-MI350P-BROCHURE-202605|supports|p. 1, Specifications, Memory Bandwidth","draft",""
"ASSERT-M2W3-AMD-MI350P-PCIE-PROTOCOL-PRODUCT","FACT-M2W3-AMD-MI350P-PCIE-PROTOCOL","SRC-M2W3-AMD-MI350P-PRODUCT-20260813","core_spec","direct_statement","supports","PCIe® 5.0 x16","","","HTML lines 7788-7798, Board Specifications","Bus Type: PCIe® 5.0 x16","source_checked","m2_w3_mi350p_source_prep","","2026-08-13","FACT-M2W3-AMD-MI350P-PCIE-PROTOCOL|SRC-M2W3-AMD-MI350P-PRODUCT-20260813|supports|HTML lines 7788-7798, Board Specifications","draft",""
"ASSERT-M2W3-AMD-MI350P-PCIE-PROTOCOL-BROCHURE","FACT-M2W3-AMD-MI350P-PCIE-PROTOCOL","SRC-M2W3-AMD-MI350P-BROCHURE-202605","core_spec","direct_statement","supports","1 PCIe® Gen 5 x16","","","p. 1, Specifications, I/O Interconnect","I/O INTERCONNECT: 1 PCIe® Gen 5 x16 (128 GB/s)","source_checked","m2_w3_mi350p_source_prep","","2026-08-13","FACT-M2W3-AMD-MI350P-PCIE-PROTOCOL|SRC-M2W3-AMD-MI350P-BROCHURE-202605|supports|p. 1, Specifications, I/O Interconnect","draft",""
"ASSERT-M2W3-AMD-MI350P-PCIE-BW-BROCHURE","FACT-M2W3-AMD-MI350P-PCIE-BW","SRC-M2W3-AMD-MI350P-BROCHURE-202605","core_spec","direct_statement","supports","","128","GB/s","p. 1, Specifications, I/O Interconnect","I/O INTERCONNECT: 1 PCIe® Gen 5 x16 (128 GB/s)","source_checked","m2_w3_mi350p_source_prep","","2026-08-13","FACT-M2W3-AMD-MI350P-PCIE-BW|SRC-M2W3-AMD-MI350P-BROCHURE-202605|supports|p. 1, Specifications, I/O Interconnect","draft",""
"ASSERT-M2W3-AMD-MI350P-MXFP4-MATRIX-PEAK-PRODUCT","FACT-M2W3-AMD-MI350P-MXFP4-MATRIX-PEAK","SRC-M2W3-AMD-MI350P-PRODUCT-20260813","core_spec","direct_statement","supports","","4.6","PFLOPs","HTML lines 7205-7216, GPU Specifications","Peak Microscaling Four-bit Precision Matrix (MXFP4) Performance: 4.6 PFLOPs","source_checked","m2_w3_mi350p_source_prep","","2026-08-13","FACT-M2W3-AMD-MI350P-MXFP4-MATRIX-PEAK|SRC-M2W3-AMD-MI350P-PRODUCT-20260813|supports|HTML lines 7205-7216, GPU Specifications","draft",""
"ASSERT-M2W3-AMD-MI350P-MXFP6-MATRIX-PEAK-PRODUCT","FACT-M2W3-AMD-MI350P-MXFP6-MATRIX-PEAK","SRC-M2W3-AMD-MI350P-PRODUCT-20260813","core_spec","direct_statement","supports","","4.6","PFLOPs","HTML lines 7224-7235, GPU Specifications","Peak Microscaling Six-bit Precision Matrix (MXFP6) Performance: 4.6 PFLOPs","source_checked","m2_w3_mi350p_source_prep","","2026-08-13","FACT-M2W3-AMD-MI350P-MXFP6-MATRIX-PEAK|SRC-M2W3-AMD-MI350P-PRODUCT-20260813|supports|HTML lines 7224-7235, GPU Specifications","draft",""
"ASSERT-M2W3-AMD-MI350P-MXFP8-MATRIX-PEAK-PRODUCT","FACT-M2W3-AMD-MI350P-MXFP8-MATRIX-PEAK","SRC-M2W3-AMD-MI350P-PRODUCT-20260813","core_spec","direct_statement","supports","","2.3","PFLOPs","HTML lines 7243-7254, GPU Specifications","Peak Microscaling Eight-bit Precision Matrix (MXFP8) Performance: 2.3 PFLOPs","source_checked","m2_w3_mi350p_source_prep","","2026-08-13","FACT-M2W3-AMD-MI350P-MXFP8-MATRIX-PEAK|SRC-M2W3-AMD-MI350P-PRODUCT-20260813|supports|HTML lines 7243-7254, GPU Specifications","draft",""
"ASSERT-M2W3-AMD-MI350P-OCP-FP8-MATRIX-BASE-PEAK-PRODUCT","FACT-M2W3-AMD-MI350P-OCP-FP8-MATRIX-BASE-PEAK","SRC-M2W3-AMD-MI350P-PRODUCT-20260813","core_spec","direct_statement","supports","","2.3","PFLOPs","HTML lines 7262-7273, GPU Specifications","Peak Open Compute Project Eight-bit Precision Matrix (OCP-FP8) Performance (E5M2, E4M3): 2.3 PFLOPs","source_checked","m2_w3_mi350p_source_prep","","2026-08-13","FACT-M2W3-AMD-MI350P-OCP-FP8-MATRIX-BASE-PEAK|SRC-M2W3-AMD-MI350P-PRODUCT-20260813|supports|HTML lines 7262-7273, GPU Specifications","draft",""
"ASSERT-M2W3-AMD-MI350P-OCP-FP8-MATRIX-SPARSE-PEAK-PRODUCT","FACT-M2W3-AMD-MI350P-OCP-FP8-MATRIX-SPARSE-PEAK","SRC-M2W3-AMD-MI350P-PRODUCT-20260813","core_spec","direct_statement","supports","","4.6","PFLOPs","HTML lines 7281-7292, GPU Specifications","Peak OCP-FP8 Performance with Structured Sparsity (E5M2, E4M3): 4.6 PFLOPs","source_checked","m2_w3_mi350p_source_prep","","2026-08-13","FACT-M2W3-AMD-MI350P-OCP-FP8-MATRIX-SPARSE-PEAK|SRC-M2W3-AMD-MI350P-PRODUCT-20260813|supports|HTML lines 7281-7292, GPU Specifications","draft",""
"ASSERT-M2W3-AMD-MI350P-FP16-MATRIX-BASE-PEAK-PRODUCT","FACT-M2W3-AMD-MI350P-FP16-MATRIX-BASE-PEAK","SRC-M2W3-AMD-MI350P-PRODUCT-20260813","core_spec","direct_statement","supports","","1.15","PFLOPs","HTML lines 7300-7311, GPU Specifications","Peak Half Precision Matrix (FP16) Performance: 1.15 PFLOPs","source_checked","m2_w3_mi350p_source_prep","","2026-08-13","FACT-M2W3-AMD-MI350P-FP16-MATRIX-BASE-PEAK|SRC-M2W3-AMD-MI350P-PRODUCT-20260813|supports|HTML lines 7300-7311, GPU Specifications","draft",""
"ASSERT-M2W3-AMD-MI350P-FP16-MATRIX-SPARSE-PEAK-PRODUCT","FACT-M2W3-AMD-MI350P-FP16-MATRIX-SPARSE-PEAK","SRC-M2W3-AMD-MI350P-PRODUCT-20260813","core_spec","direct_statement","supports","","2.3","PFLOPs","HTML lines 7319-7330, GPU Specifications","Peak Half Precision Matrix (FP16) Performance with Structured Sparsity: 2.3 PFLOPs","source_checked","m2_w3_mi350p_source_prep","","2026-08-13","FACT-M2W3-AMD-MI350P-FP16-MATRIX-SPARSE-PEAK|SRC-M2W3-AMD-MI350P-PRODUCT-20260813|supports|HTML lines 7319-7330, GPU Specifications","draft",""
"ASSERT-M2W3-AMD-MI350P-BF16-MATRIX-BASE-PEAK-PRODUCT","FACT-M2W3-AMD-MI350P-BF16-MATRIX-BASE-PEAK","SRC-M2W3-AMD-MI350P-PRODUCT-20260813","core_spec","direct_statement","supports","","1.15","PFLOPs","HTML lines 7471-7482, GPU Specifications","Peak bfloat16 (BF16) Matrix Performance: 1.15 PFLOPs","source_checked","m2_w3_mi350p_source_prep","","2026-08-13","FACT-M2W3-AMD-MI350P-BF16-MATRIX-BASE-PEAK|SRC-M2W3-AMD-MI350P-PRODUCT-20260813|supports|HTML lines 7471-7482, GPU Specifications","draft",""
"ASSERT-M2W3-AMD-MI350P-BF16-MATRIX-SPARSE-PEAK-PRODUCT","FACT-M2W3-AMD-MI350P-BF16-MATRIX-SPARSE-PEAK","SRC-M2W3-AMD-MI350P-PRODUCT-20260813","core_spec","direct_statement","supports","","2.3","PFLOPs","HTML lines 7490-7501, GPU Specifications","Peak bfloat16 (BF16) Matrix Performance with Structured Sparsity: 2.3 PFLOPs","source_checked","m2_w3_mi350p_source_prep","","2026-08-13","FACT-M2W3-AMD-MI350P-BF16-MATRIX-SPARSE-PEAK|SRC-M2W3-AMD-MI350P-PRODUCT-20260813|supports|HTML lines 7490-7501, GPU Specifications","draft",""
"ASSERT-M2W3-AMD-MI350P-INT8-MATRIX-BASE-PEAK-PRODUCT","FACT-M2W3-AMD-MI350P-INT8-MATRIX-BASE-PEAK","SRC-M2W3-AMD-MI350P-PRODUCT-20260813","core_spec","direct_statement","supports","","2.3","POPs","HTML lines 7433-7444, GPU Specifications","Peak INT8 Matrix Performance: 2.3 POPs","source_checked","m2_w3_mi350p_source_prep","","2026-08-13","FACT-M2W3-AMD-MI350P-INT8-MATRIX-BASE-PEAK|SRC-M2W3-AMD-MI350P-PRODUCT-20260813|supports|HTML lines 7433-7444, GPU Specifications","draft",""
"ASSERT-M2W3-AMD-MI350P-INT8-MATRIX-SPARSE-PEAK-PRODUCT","FACT-M2W3-AMD-MI350P-INT8-MATRIX-SPARSE-PEAK","SRC-M2W3-AMD-MI350P-PRODUCT-20260813","core_spec","direct_statement","supports","","4.6","POPs","HTML lines 7452-7463, GPU Specifications","Peak INT8 Matrix Performance with Structured Sparsity: 4.6 POPs","source_checked","m2_w3_mi350p_source_prep","","2026-08-13","FACT-M2W3-AMD-MI350P-INT8-MATRIX-SPARSE-PEAK|SRC-M2W3-AMD-MI350P-PRODUCT-20260813|supports|HTML lines 7452-7463, GPU Specifications","draft",""
"ASSERT-M2W3-AMD-MI350P-FP32-MATRIX-PEAK-PRODUCT","FACT-M2W3-AMD-MI350P-FP32-MATRIX-PEAK","SRC-M2W3-AMD-MI350P-PRODUCT-20260813","core_spec","direct_statement","supports","","72","TFLOPs","HTML lines 7357-7368, GPU Specifications","Peak Single Precision Matrix (FP32) Performance: 72 TFLOPs","source_checked","m2_w3_mi350p_source_prep","","2026-08-13","FACT-M2W3-AMD-MI350P-FP32-MATRIX-PEAK|SRC-M2W3-AMD-MI350P-PRODUCT-20260813|supports|HTML lines 7357-7368, GPU Specifications","draft",""
"ASSERT-M2W3-AMD-MI350P-FP64-MATRIX-PEAK-PRODUCT","FACT-M2W3-AMD-MI350P-FP64-MATRIX-PEAK","SRC-M2W3-AMD-MI350P-PRODUCT-20260813","core_spec","direct_statement","supports","","36","TFLOPs","HTML lines 7395-7406, GPU Specifications","Peak Double Precision Matrix (FP64) Performance: 36 TFLOPs","source_checked","m2_w3_mi350p_source_prep","","2026-08-13","FACT-M2W3-AMD-MI350P-FP64-MATRIX-PEAK|SRC-M2W3-AMD-MI350P-PRODUCT-20260813|supports|HTML lines 7395-7406, GPU Specifications","draft",""
"ASSERT-M2W3-AMD-MI350P-FP16-VECTOR-PEAK-BROCHURE","FACT-M2W3-AMD-MI350P-FP16-VECTOR-PEAK","SRC-M2W3-AMD-MI350P-BROCHURE-202605","core_spec","direct_statement","supports","","72","TFLOPs","p. 1, HPC Peak Performance (Estimated)","FP16 VECTOR (TFLOPS): 72","source_checked","m2_w3_mi350p_remediation","","2026-08-13","FACT-M2W3-AMD-MI350P-FP16-VECTOR-PEAK|SRC-M2W3-AMD-MI350P-BROCHURE-202605|supports|p. 1, HPC Peak Performance (Estimated)","draft",""
"ASSERT-M2W3-AMD-MI350P-FP32-VECTOR-PEAK-BROCHURE","FACT-M2W3-AMD-MI350P-FP32-VECTOR-PEAK","SRC-M2W3-AMD-MI350P-BROCHURE-202605","core_spec","direct_statement","supports","","72","TFLOPs","p. 1, HPC Peak Performance (Estimated)","FP32 VECTOR (TFLOPS): 72","source_checked","m2_w3_mi350p_remediation","","2026-08-13","FACT-M2W3-AMD-MI350P-FP32-VECTOR-PEAK|SRC-M2W3-AMD-MI350P-BROCHURE-202605|supports|p. 1, HPC Peak Performance (Estimated)","draft",""
