"memory_level_id","parent_memory_level_id","level_class","canonical_label","review_status","notes"
"CMP-M2GA-G7X-VMEM","CMP-M2GA-G7X-HBM","local_scratchpad","Vector memory / on-chip SRAM","draft",""
"CMP-M2GA-G8T-HBM","","hbm","Device HBM","draft",""
"CMP-M2GA-G8T-VMEM","CMP-M2GA-G8T-HBM","local_scratchpad","Vector memory / on-chip SRAM","draft",""
"CMP-M2GA-G8I-HBM","","hbm","Device HBM","draft",""
"CMP-M2GA-G8I-VMEM","CMP-M2GA-G8I-HBM","local_scratchpad","Vector memory / on-chip SRAM","draft",""
"CMP-M2GA-AIF1-SBUF","","local_scratchpad","Software-managed SRAM / SBUF","draft",""
"CMP-M2GA-ATRN1-SBUF","","local_scratchpad","Software-managed SRAM / SBUF","draft",""
"CMP-M2GA-ATRN1-PSUM","CMP-M2GA-ATRN1-SBUF","accumulator_store","PSUM accumulator store","draft",""
"CMP-M2GA-AIF2-SBUF","","local_scratchpad","Software-managed SRAM / SBUF","draft",""
"CMP-M2GA-AIF2-PSUM","CMP-M2GA-AIF2-SBUF","accumulator_store","PSUM accumulator store","draft",""
"CMP-M2GA-ATRN3-SBUF","","local_scratchpad","Software-managed SRAM / SBUF","draft",""
"CMP-M2GA-ATRN3-PSUM","CMP-M2GA-ATRN3-SBUF","accumulator_store","PSUM accumulator store","draft",""
"CMP-M2GA-AIF1-DEVMEM","","ddr","Device DRAM","draft",""
"CMP-M2GA-ATRN1-DEVMEM","","hbm","Device HBM","draft",""
"CMP-M2GA-AIF2-DEVMEM","","hbm","Device HBM","draft",""
"CMP-M2GA-ATRN3-DEVMEM","","hbm","Device HBM","draft",""
"CMP-M2GA-GV4-CMEM","CMP-M2GA-GV4-HBM","shared_scratchpad","Common memory (CMEM)","draft",""
"CMP-M2GA-GV3-SPMEM","CMP-M2GA-GV3-HBM","local_scratchpad","SparseCore local scratchpad (SPMEM)","draft",""
"CMP-M2GA-GV4-SPMEM","CMP-M2GA-GV4-HBM","local_scratchpad","SparseCore local scratchpad (SPMEM)","draft",""
"CMP-M2GA-GV5P-SPMEM","CMP-M2GA-GV5P-HBM","local_scratchpad","SparseCore local scratchpad (SPMEM)","draft",""
"CMP-M2GA-GV6E-SPMEM","CMP-M2GA-GV6E-HBM","local_scratchpad","SparseCore local scratchpad (SPMEM)","draft",""
"CMP-M2GA-G7X-SPMEM","CMP-M2GA-G7X-HBM","local_scratchpad","SparseCore local scratchpad (SPMEM)","draft",""
"COMP-M2NA-AMPERE-REG","","register","Ampere SM register file","draft","父层级仅在一手资料明确层级关系时填写；当前留空，避免把缓存或本地存储机械挂到具体产品的 HBM/DRAM 实现。"
"COMP-M2NA-AMPERE-L1SMEM","","shared_scratchpad","Ampere unified L1 data cache and shared memory","draft","该实体同时是 L1 数据缓存和软件管理的共享内存。模型不能双分类，故选择 shared_scratchpad 保留显式软件管理角色；缓存语义保留在 canonical_label 与本说明中。父层级留空，避免把片上层次机械挂接到实现级内存。"
"COMP-M2NA-AMPERE-L2","","l2","Ampere L2 cache","draft","父层级仅在一手资料明确层级关系时填写；当前留空，避免把缓存或本地存储机械挂到具体产品的 HBM/DRAM 实现。"
"COMP-M2NA-ADA-L1SMEM","","shared_scratchpad","Ada unified L1 data cache and shared memory","draft","该实体统一承载 L1 数据缓存与软件管理的共享内存。模型不能双分类，故选择 shared_scratchpad；这不否认其缓存角色，完整语义见 canonical_label。父层级留空。"
"COMP-M2NA-ADA-L2","","l2","Ada L2 cache","draft","父层级仅在一手资料明确层级关系时填写；当前留空，避免把缓存或本地存储机械挂到具体产品的 HBM/DRAM 实现。"
"COMP-M2NA-BLACKWELL-TMEM","","onchip_sram","Fifth-generation Tensor Core Tensor Memory","draft","PTX 可见的每 CTA 逻辑 Tensor Memory，可供张量指令存放操作数、中间值和累加相关数据；来源并未把用途限定为累加器，因此不归为 accumulator_store。它不是 GPU 全局物理容量，父层级留空。"
"COMP-M2NA-BLACKWELL-L1SMEM","","shared_scratchpad","Blackwell unified L1 texture cache and shared memory","draft","该实体统一承载 L1/纹理缓存与软件管理的共享内存。模型不能双分类，故选择 shared_scratchpad；缓存角色由 canonical_label 与本说明保留。父层级留空。"
"COMP-M2NA-BLACKWELL-L2","","l2","Blackwell L2 cache","draft","父层级仅在一手资料明确层级关系时填写；当前留空，避免把缓存或本地存储机械挂到具体产品的 HBM/DRAM 实现。"
"COMP-M2NA-CDNA2-LDS","","local_scratchpad","CDNA 2 Local Data Share","draft","父层级仅在一手资料明确层级关系时填写；当前留空，避免把缓存或本地存储机械挂到具体产品的 HBM/DRAM 实现。"
"COMP-M2NA-CDNA2-L1","","l1","CDNA 2 L1 data cache","draft","父层级仅在一手资料明确层级关系时填写；当前留空，避免把缓存或本地存储机械挂到具体产品的 HBM/DRAM 实现。"
"COMP-M2NA-CDNA2-L2","","l2","CDNA 2 L2 cache","draft","父层级仅在一手资料明确层级关系时填写；当前留空，避免把缓存或本地存储机械挂到具体产品的 HBM/DRAM 实现。"
"COMP-M2NA-CDNA3-LDS","","local_scratchpad","CDNA 3 Local Data Share","draft","父层级仅在一手资料明确层级关系时填写；当前留空，避免把缓存或本地存储机械挂到具体产品的 HBM/DRAM 实现。"
"COMP-M2NA-CDNA3-L1","","l1","CDNA 3 L1 vector data cache","draft","父层级仅在一手资料明确层级关系时填写；当前留空，避免把缓存或本地存储机械挂到具体产品的 HBM/DRAM 实现。"
"COMP-M2NA-CDNA3-L2","","l2","CDNA 3 per-XCD L2 cache","draft","父层级仅在一手资料明确层级关系时填写；当前留空，避免把缓存或本地存储机械挂到具体产品的 HBM/DRAM 实现。"
"COMP-M2NA-CDNA3-ICACHE","","llc","CDNA 3 Infinity Cache","draft","父层级仅在一手资料明确层级关系时填写；当前留空，避免把缓存或本地存储机械挂到具体产品的 HBM/DRAM 实现。"
"COMP-M2NA-CDNA4-LDS","","local_scratchpad","CDNA 4 Local Data Share","draft","父层级仅在一手资料明确层级关系时填写；当前留空，避免把缓存或本地存储机械挂到具体产品的 HBM/DRAM 实现。"
"COMP-M2NA-CDNA4-L1","","l1","CDNA 4 L1 vector data cache","draft","父层级仅在一手资料明确层级关系时填写；当前留空，避免把缓存或本地存储机械挂到具体产品的 HBM/DRAM 实现。"
"COMP-M2NA-CDNA4-L2","","l2","CDNA 4 per-XCD L2 cache","draft","父层级仅在一手资料明确层级关系时填写；当前留空，避免把缓存或本地存储机械挂到具体产品的 HBM/DRAM 实现。"
"COMP-M2NA-CDNA4-ICACHE","","llc","CDNA 4 Infinity Cache","needs_resolution","父层级仅在一手资料明确层级关系时填写；当前留空，避免把缓存或本地存储机械挂到具体产品的 HBM/DRAM 实现。"
"COMP-M2NA-CDNA5-LDS","","local_scratchpad","CDNA 5 Local Data Share","draft","父层级仅在一手资料明确层级关系时填写；当前留空，避免把缓存或本地存储机械挂到具体产品的 HBM/DRAM 实现。"
"COMP-M2NA-CDNA5-VCACHE","","l1","CDNA 5 WGP vector cache","draft","父层级仅在一手资料明确层级关系时填写；当前留空，避免把缓存或本地存储机械挂到具体产品的 HBM/DRAM 实现。"
"COMP-M2NA-CDNA5-CCACHE","","onchip_sram","CDNA 5 WGP constant cache","draft","这是 WGP 级常量缓存。现有枚举没有 constant_cache，故以 onchip_sram 表示片上存储介质，并用 canonical_label 保留专用缓存语义；它不是通用数据 L1。父层级留空。"
"COMP-M2NA-CDNA5-ICACHE","","onchip_sram","CDNA 5 WGP instruction cache","draft","这是 WGP 级指令缓存。现有枚举没有 instruction_cache，故以 onchip_sram 表示片上存储介质，并用 canonical_label 保留专用缓存语义；它不是通用数据 L1。父层级留空。"
