"relative_path","byte_size","sha256","role"
"source-freeze-register.csv","6033","8a908ce3ca7ddb66c81467bbcbc8de423fbeee23ed3233fa71399ec5f1b210ea","source_freeze_registry"
"source-identity-preflight.md","6669","30a592ec99fcb2211225610e12a86a53fd1681ff0b7a4d1ba3e89f90f568f086","source_identity_preflight"
"structured/card-completeness.csv","6444","c58424d5e9af992122aa2421516be5c64c4570ce8ad60d9c9bf5d773cf1b5de3","structured_increment"
"structured/components.csv","1269","a5a7989496d1c687328925502cfe81aeaaf975fa8f7f1dce50e85d0de8b70abd","structured_increment"
"structured/condition-sets.csv","4634","fd41c740e82fe579a2c40f116b6749ea599031aaaf2b849284f2672d9b07aaac","structured_increment"
"structured/derived-inputs.csv","108","0013abf3b148b97ec065067381d2f3a9dee730eaa622b6303b1f73c4f0ac8841","structured_increment"
"structured/derived-metrics.csv","185","23537532571cb080851caca34ef86ab5b7ac6ab88f9c54b7771d4a4df78d669b","structured_increment"
"structured/fact-assertions.csv","27207","e170e4925fabb45fa7f8b73a9e54e3f07fe3d26af66ac3f99f19735bcca03d25","structured_increment"
"structured/facts.csv","18317","6dcdefbf9b27ba05cedb1bc0004e919742abca9fe7c1aaa6fdf708a561fae38f","structured_increment"
"structured/field-requirements.csv","32593","4f1dcb01672b18cd45a8a3a803d314921e7812a39c80ca95d5baae6ca5603bd6","structured_increment"
"structured/links.csv","719","b15920476bd9255289c410880dafa710eb00f307ef789135c5d183b3f5233134","structured_increment"
"structured/memory-levels.csv","344","58e2312ff9eebb1963948ac8aa134508ed3f925c8f5cfcbd2a05d0984544def4","structured_increment"
"structured/precision-paths.csv","1191","40c02224b49f672eb90782fc530d3aca99bbefa0b9c55ae5b93eb5612c0567d1","structured_increment"
"structured/requirement-evidence.csv","603","74928ea999d8984d487b07953c9cd8b143dd3689f26f72f29fcb4c535f8f0fdf","structured_increment"
"structured/search-log.csv","20905","8aa6b59c5a6dbb920d01387042fbbbf9c3df78d68a4aeb602243ff62eed76169","structured_increment"
"structured/search-results.csv","48932","64402aab5d564822cd65b94018b1784250a38b824e1cda0625cca2b90b3727ba","structured_increment"
"structured/selection-members.csv","809","8b2fc1bdfc1ea0ba35bb27827db31f1dd1c05b4cfc44a897d1b5b7f504035755","structured_increment"
"structured/selection-runs.csv","427","b8a95a60962a621c62c01b35526975fb1609386d6d8347944dd4987de0141318","structured_increment"
"structured/source-coverage.csv","539","31c9e93fe3c8d4631df07c0c2fdd401cc62174f087586c493943d7e1592dad96","structured_increment"
"structured/source-endpoints.csv","2453","6000ca86320d71b8d19a2a8d63eb904e871c404318aac05a69a5b6811bb4cd1c","structured_increment"
"structured/source-families.csv","974","dd981f94b4071d5a215d8856d6f517a79005b2d755ab330e3c942cc3242febe3","structured_increment"
"structured/sources.csv","1809","91ff033b810d9ea1e661c6eaf75a4d8b853ff4bf7281e2d7781a54ea980d2a24","structured_increment"
"structured/source-screening.csv","1563","1ce3f4a05f511809a1332efd39c5c91a1cc5f67b4a94c19219ff54f0c9443140","structured_increment"
"structured/source-selected-roles.csv","1149","c1fa706d798fc2ab53b415bd46f8c81fc45790272d74ffff55896800a156dc8f","structured_increment"
"structured/special-capabilities.csv","113","01cef8841425acf4e7c88d07e2baab2e240ec40d2c2af8dd96b92bf1e5f03d98","structured_increment"
"structured/topologies.csv","78","2e14324015825cc4c7a2ce657c790ecc3e898287cc8580f46726aafba86e5e99","structured_increment"
"validation/formal-32-baseline.csv","3542","24ecc5c0609390021fb3ff5c781e4602751628bbadbf4a052046153e9b7aa8a1","validation_evidence"
"validation/formal-32-post-aws-baseline.csv","3542","e2a5c9ed328fb280854b57a4b46f8212db724d311c4843e679511fbf0a574036","validation_evidence"
"validation/formal-32-staticity-after.csv","6460","d2af511007aa24a8d48b1258fed656b293c30a04c22e699ebe8cc3c7d4d2676f","validation_evidence"
"validation/formal-32-staticity-summary.json","1263","9b4061695bbe7c5427678dee3f010370e614458637eaaec8afce4c924e07de31","validation_result"
"validation/generate-structured.ps1","51890","0085dbdffc9e03409f2315591e5caaac74a37ee4dee4744b31649b4de84e6ba9","validation_script"
"validation/package-validation-results.json","682","0db7ea91118965d093ab56ad1ce46c7c9627a2b6c900753686a2f8c068e9a026","validation_result"
"validation/report-humanizer-scan-final.csv","2277","134b84c6493bb9c9dbe9330383ff5096542e3ae3f68336f0690d957044f3e5a7","validation_evidence"
"validation/Run-Temp-Merge.ps1","5168","d7c0fb27bce8e7bad42843ea1832fa5e730dff460711e5ef52da8e0c12c2bc3c","validation_script"
"validation/temp-merge-summary.json","1812","da89d0de11e17d1afc7223a2cc59f8595b04c395428dc4a5c956d67dbb914d9a","validation_result"
"validation/temp-merge-validation.txt","130","b8a1ab73cb74c839c71d7a92110cb089b163479e2e12cbe5355c42c0fd48aa85","validation_log"
"validation/Validate-Package.ps1","21964","bb824262af06841ce48013abcc0eadf9799aa1b9f8772360aa397f9095f764bc","validation_script"
"validation/validation-report.md","6612","640b8956936e0171651f6de9fabd471e8f2421d1568f0bcb8e08008ae6f6c8e9","validation_report"
