"scope_row_id","artifact_role","commit_phase","commit_order","rollback_phase","rollback_order","target_path","precondition","candidate_sha256","backup_content","rollback_action","source_packages","audit_status"
"BUNDLE-SCOPE-011","csv_replacement","1_csv","11","2_restore_csv","10","最小参考资料库/search-log.csv","sha256=f7c501584f0b685b26aaaa913a9fd975e4d94474a9fac38b95d74fe0513bc23d; bytes=114039","52b253fb9a554b28dcdaf7a09f517e97a748746d77469b8e642fd37618a5ed94","exact_target_bytes","restore_exact_backup","ASCEND950+MI350P+MI455X","proposal_only_pending_bundle_signoff"
"BUNDLE-SCOPE-012","csv_replacement","1_csv","12","2_restore_csv","9","最小参考资料库/search-results.csv","sha256=92aec74a85406ffa96c826348ffe298dba702639ecdf956160bf655db48cc40f; bytes=77301","a5e1dbd8effe9007bf5b99a9ca8826a2cbb47a036554d6922eba2c35596b0e86","exact_target_bytes","restore_exact_backup","ASCEND950+MI350P+MI455X","proposal_only_pending_bundle_signoff"
"BUNDLE-SCOPE-013","csv_replacement","1_csv","13","2_restore_csv","8","最小参考资料库/selection-members.csv","sha256=073cba4b5671f2273f75e99a355259444c7c28c2a2da4006b19535b3f030ce0b; bytes=39854","33489268f80d30d4b1d0063da8cb7a15e8ad0fe3d1f1c961bc19d41339dfbd30","exact_target_bytes","restore_exact_backup","ASCEND950+MI350P+MI455X","proposal_only_pending_bundle_signoff"
"BUNDLE-SCOPE-014","csv_replacement","1_csv","14","2_restore_csv","7","最小参考资料库/selection-runs.csv","sha256=4397260840ab286e7d4274f963eb037eb70a2dfd951ac55d43fdd35aa85e7ee0; bytes=3281","1e2f0aa6e13af4f0ce5b9268c62bee58735b320196400f6ea2773354bbc1672c","exact_target_bytes","restore_exact_backup","ASCEND950+MI350P+MI455X","proposal_only_pending_bundle_signoff"
"BUNDLE-SCOPE-015","csv_replacement","1_csv","15","2_restore_csv","6","最小参考资料库/source-coverage.csv","sha256=88bf789e45a70271bab97a4f1d69034e675418bf340c82d01751d50f07e8ba21; bytes=7348","5c20123eeddf5046e7b6bc8b44728d5eb89f2ce70106f292b3508b0311a7bf68","exact_target_bytes","restore_exact_backup","ASCEND950+MI350P+MI455X","proposal_only_pending_bundle_signoff"
"BUNDLE-SCOPE-016","csv_replacement","1_csv","16","2_restore_csv","5","最小参考资料库/source-endpoints.csv","sha256=644a9dc2249c717c7e16121d5164184bd5dd9804b9be4983019bb1ad48bc9f6f; bytes=51203","e4984fef2846fbc299e93dd4573aa3252858848cd7eb7ecc42c4a0d7a249f7bd","exact_target_bytes","restore_exact_backup","ASCEND950+MI350P+MI455X","proposal_only_pending_bundle_signoff"
"BUNDLE-SCOPE-017","csv_replacement","1_csv","17","2_restore_csv","4","最小参考资料库/source-families.csv","sha256=358869eac543ca7769129a0525834a366fb3abb5c3fba858b556bb414ed0b061; bytes=14595","03997ba2d81c5a3d2bacf3fb8c821f3b77399acfcf005ddb90f87c7f000e6bcb","exact_target_bytes","restore_exact_backup","ASCEND950+MI350P+MI455X","proposal_only_pending_bundle_signoff"
"BUNDLE-SCOPE-018","csv_replacement","1_csv","18","2_restore_csv","3","最小参考资料库/sources.csv","sha256=43c72603ecf52b78aa0e737840190320accf567b0d3d769c1c8b64ce223a84fc; bytes=31741","eee9a5dd3161d1fc83cbf141c3af930e87fbdef1cf1eb4dda3a13388837518eb","exact_target_bytes","restore_exact_backup","ASCEND950+MI350P+MI455X","proposal_only_pending_bundle_signoff"
"BUNDLE-SCOPE-019","csv_replacement","1_csv","19","2_restore_csv","2","最小参考资料库/source-screening.csv","sha256=b4d12751bc347739b415feb2349d56297920a0cd2deab9887cb0c7b5a9377823; bytes=30961","dde05c0fd0557d945309ec11b782a14d6df56f74fb69604ea4a6bcc4dc2674b6","exact_target_bytes","restore_exact_backup","ASCEND950+MI350P+MI455X","proposal_only_pending_bundle_signoff"
"BUNDLE-SCOPE-020","csv_replacement","1_csv","20","2_restore_csv","1","最小参考资料库/source-selected-roles.csv","sha256=5974d3615274baf78482815586f0fed10da3639532b7e8ba681a16ac59af2c57; bytes=21670","1b7d95871586b874b076863f64f5e5a2e276a70a565bbe199d7ac0b69c7bb262","exact_target_bytes","restore_exact_backup","ASCEND950+MI350P+MI455X","proposal_only_pending_bundle_signoff"
"BUNDLE-SCOPE-021","new_file","2_payload","21","1_delete_payload","15","资料卡/AMD/封装/AMD_Instinct_MI455X_模组资料卡.md","target_absent","bb864ff8cddd2ef004883476ab0024b1c57234ebd278e94860b05421b97b185b","absence_state","delete_created_file","MI455X","proposal_only_pending_bundle_signoff"
"BUNDLE-SCOPE-022","new_file","2_payload","22","1_delete_payload","14","最小参考资料库/快照/AMD/MI455X/2026-08-13/amd-instinct-mi455x-2026-08-13.html","target_absent","2fa27618862c42b0b9e6eed2e5c88c360e6eac2650d9fc97bae08c6338315b47","absence_state","delete_created_file","MI455X","proposal_only_pending_bundle_signoff"
"BUNDLE-SCOPE-023","new_file","2_payload","23","1_delete_payload","13","论文/AMD_Instinct/02_厂商产品资料/2026_AMD_Instinct_MI455X_GPU_Brochure.pdf","target_absent","6555fef1399a35f472e325dc61936d293e129735ec1e191d5fd0f3b6fa0c4208","absence_state","delete_created_file","MI455X","proposal_only_pending_bundle_signoff"
"BUNDLE-SCOPE-024","new_file","2_payload","24","1_delete_payload","12","资料卡/AMD/产品/AMD_Instinct_MI350P_PCIe_卡资料卡.md","target_absent","53458fc9a9662a1c17230fddb067e4365ad4b3f2f7755d072d674ffeface3b36","absence_state","delete_created_file","MI350P","proposal_only_pending_bundle_signoff"
"BUNDLE-SCOPE-025","new_file","2_payload","25","1_delete_payload","11","最小参考资料库/快照/AMD/MI350P/2026-08-13/amd-instinct-mi350p-pcie-2026-08-13.html","target_absent","09b3ffd469353dfb2456fc2fca67b421aa8bf5ae48be809fa64f1a30dda3c088","absence_state","delete_created_file","MI350P","proposal_only_pending_bundle_signoff"
"BUNDLE-SCOPE-026","new_file","2_payload","26","1_delete_payload","10","论文/AMD_Instinct/02_厂商产品资料/2026_AMD_Instinct_MI350P_PCIe_Card_Brochure.pdf","target_absent","a4e93edffc6c2a03668eef72b84d85e1d2586afb331c2228595d1549609afb29","absence_state","delete_created_file","MI350P","proposal_only_pending_bundle_signoff"
"BUNDLE-SCOPE-027","new_file","2_payload","27","1_delete_payload","9","最小参考资料库/快照/AMD/MI350P/2026-08-13/amd-mi350p-pcie-blog-2026-08-13.html","target_absent","2bc9cbb81e424e4d1c5d6912b43e7cfb1107081f159b012d8ad9cffd3b66dfb8","absence_state","delete_created_file","MI350P","proposal_only_pending_bundle_signoff"
"BUNDLE-SCOPE-028","new_file","2_payload","28","1_delete_payload","8","资料卡/华为昇腾/封装/华为_Ascend950_共享裸片资料卡.md","target_absent","a291d3ce26c0f8958454eb9917ec742ef8fb51f39a1204c052c759baf89220c9","absence_state","delete_created_file","ASCEND950","proposal_only_pending_bundle_signoff"
"BUNDLE-SCOPE-029","new_file","2_payload","29","1_delete_payload","7","资料卡/华为昇腾/封装/华为_Ascend950PR_封装资料卡.md","target_absent","06c18287b35958d51492a6c55e170cc891aa0b005c4ddb4850b7144832940b66","absence_state","delete_created_file","ASCEND950","proposal_only_pending_bundle_signoff"
"BUNDLE-SCOPE-030","new_file","2_payload","30","1_delete_payload","6","资料卡/华为昇腾/封装/华为_Ascend950DT_封装资料卡.md","target_absent","5cbe7d6169869ae94e355d1b90a1be0bf39fb1f6319b4cded7ca584ccca0e958","absence_state","delete_created_file","ASCEND950","proposal_only_pending_bundle_signoff"
"BUNDLE-SCOPE-031","new_file","2_payload","31","1_delete_payload","5","最小参考资料库/快照/华为/Ascend950/2026-08-13/huawei-connect-2025-ascend-roadmap-2026-08-13.html","target_absent","8bf0f453e143562c7b5f3ead61f54a35da6020689dbc20aede772da0d00d7499","absence_state","delete_created_file","ASCEND950","proposal_only_pending_bundle_signoff"
"BUNDLE-SCOPE-032","new_file","2_payload","32","1_delete_payload","4","最小参考资料库/快照/华为/Ascend950/2026-08-13/hiascend-processor-2026-08-13.html","target_absent","33f477a551103a772c6e7e8b1ca24f3d17af590088927e7cbf0005e5a0ba7102","absence_state","delete_created_file","ASCEND950","proposal_only_pending_bundle_signoff"
"BUNDLE-SCOPE-033","new_file","2_payload","33","1_delete_payload","3","最小参考资料库/快照/华为/Ascend950/2026-08-13/hiascend-processor-950dt-2026-08-13.html","target_absent","6bc823f2bf7328f8fa9838f6b7b7f6ee1cde23e9ccb8b41f0d9a4067e7706b07","absence_state","delete_created_file","ASCEND950","proposal_only_pending_bundle_signoff"
"BUNDLE-SCOPE-034","new_file","2_payload","34","1_delete_payload","2","最小参考资料库/快照/华为/Ascend950/2026-08-13/hiascend-accelerator-card-2026-08-13.html","target_absent","3cfdeba7221d272ac307a3a2ca6404433804b9d6c7922677f56216bf24c4d978","absence_state","delete_created_file","ASCEND950","proposal_only_pending_bundle_signoff"
"BUNDLE-SCOPE-035","new_file","2_payload","35","1_delete_payload","1","最小参考资料库/快照/华为/Ascend950/2026-08-13/hiascend-atlas350-launch-2026-08-13.html","target_absent","bdf89863ce0321f24f6c42ebfebda09d62cfad3468ef953e1277f6bda240a9dd","absence_state","delete_created_file","ASCEND950","proposal_only_pending_bundle_signoff"
"BUNDLE-SCOPE-036","no_write_guard_table","none","","integrity_only","","数据/object-relations.csv","sha256=9bbe32227f7022a5f9e4fe379d805e60780c15d6987e5b20e3b94ac3241fa353; guard_rows=4","must_equal_precondition","exact_target_bytes","restore_only_if_unexpected_write_detected","ASCEND950+MI350P+MI455X","proposal_only_pending_bundle_signoff"
"BUNDLE-SCOPE-037","no_write_guard_table","none","","integrity_only","","数据/objects.csv","sha256=54800b32b2ee08b45bf0b9ad0aa569b406133a1f74be26d5301ee5de750a1ec7; guard_rows=7","must_equal_precondition","exact_target_bytes","restore_only_if_unexpected_write_detected","ASCEND950+MI350P+MI455X","proposal_only_pending_bundle_signoff"
