"candidate_key","record_kind","proposed_source_family_id","proposed_source_id","proposed_endpoint_id","parent_source_id","relationship_or_dedup","canonical_title","source_type","source_authority","source_status","publication_date_for_formal","version_label","content_fingerprint_for_formal","endpoint_type","endpoint_url","staged_or_existing_local_path","byte_count","sha256","page_count_or_html_title","fixedness","object_scope","source_level_screening_status","proposed_selected_role","proposed_selection_run_id","in_provisional_minimum_set","reverse_removal_condition","review_status","notes"
"CAND-GA100-RANDOM-ACCESS-2024-LOCAL","new_source_and_endpoint","SFAM-NVIDIA-A100-RANDOM-ACCESS-2024","SRC-NVIDIA-A100-RANDOM-ACCESS-ARXIV-V1-2024","END-NVIDIA-A100-RANDOM-ACCESS-ARXIV-V1-LOCAL","","Fixed arXiv v1 content version.","Enabling Full-Speed Random Access to the Entire Memory on the A100 GPU","microbenchmark","independent_measurement","current","2024-05-19","arXiv:2405.11425v1","sha256:6ca888b92691f06de9d5d15b268f2e2c738c9f0ef44441e6fd785f65a113a8a9","local_pdf","","论文/NVIDIA_GPU/02_独立逆向与微基准/2024_A100_Full_Speed_Random_Access_Memory.pdf","587055","6ca888b92691f06de9d5d15b268f2e2c738c9f0ef44441e6fd785f65a113a8a9","6","fixed local preprint","A100 SXM4 80GB conditional measurement; driver, CUDA, frequency, power, statistic method, and raw data absent","selected","independent_validation","SELRUN-GA100-DIE-20260821-PROVISIONAL","conditional","Required only if final facts retain direct observations of the roughly 64 GB window/cliff and group-to-chunk mitigation; author TLB explanation must be a separate inference assertion.","draft","Not a general GA100 HBM bandwidth, TLB-count, or 14-group specification."
"CAND-GA100-RANDOM-ACCESS-2024-REMOTE","new_endpoint_only","SFAM-NVIDIA-A100-RANDOM-ACCESS-2024","SRC-NVIDIA-A100-RANDOM-ACCESS-ARXIV-V1-2024","END-NVIDIA-A100-RANDOM-ACCESS-ARXIV-V1-ARXIV","SRC-NVIDIA-A100-RANDOM-ACCESS-ARXIV-V1-2024","arXiv endpoint for the fixed local v1.","Enabling Full-Speed Random Access to the Entire Memory on the A100 GPU","microbenchmark","independent_measurement","current","2024-05-19","arXiv:2405.11425v1","same content fingerprint as local PDF","pdf_direct","https://arxiv.org/pdf/2405.11425","","","","arXiv PDF","fixed local v1 is the evidence copy","same as parent source","selected","independent_validation","SELRUN-GA100-DIE-20260821-PROVISIONAL","conditional","Same as the local endpoint.","draft","No verified conference or journal version is claimed."
"CAND-GA100-RAS-2023-PDF-LOCAL","new_source_and_endpoint","SFAM-NVIDIA-GPU-MEMORY-ERROR-MGMT","SRC-NVIDIA-GPU-MEM-ERROR-MGMT-DA-09826-002-V001","END-NVIDIA-GPU-MEM-ERROR-MGMT-DA-09826-002-V001-LOCAL","","Fixed June 2023 application-note content version.","NVIDIA GPU Memory Error Management","developer_documentation","first_party","superseded","","DA-09826-002_v001; June 2023","sha256:5d484fe6ce3b577cfbdd378ebf6b3cf3eb18cedc0ec99ec557832bad424306d4","local_pdf","","审计/子代理交接/r1_ga100_source_staging/downloads/nvidia-gpu-mem-error-mgmt-DA-09826-002_v001.pdf","352370","5d484fe6ce3b577cfbdd378ebf6b3cf3eb18cedc0ec99ec557832bad424306d4","16","fixed staged PDF; formal merge must relocate or copy under an approved source-pool transaction","GA100 memory-RAS mechanisms and A100/GA100 framebuffer recovery boundary","selected","architecture_mechanism","SELRUN-GA100-DIE-20260821-PROVISIONAL","yes","Required if final facts retain GA100 error containment, dynamic page offlining, row remapping, reset, or recovery-process evidence.","draft","Publication month is known; no exact publication day is invented. Later R595 is a same-family revision, not independent evidence."
"CAND-GA100-RAS-2023-PDF-REMOTE","new_endpoint_only","SFAM-NVIDIA-GPU-MEMORY-ERROR-MGMT","SRC-NVIDIA-GPU-MEM-ERROR-MGMT-DA-09826-002-V001","END-NVIDIA-GPU-MEM-ERROR-MGMT-DA-09826-002-V001-PUBLISHER","SRC-NVIDIA-GPU-MEM-ERROR-MGMT-DA-09826-002-V001","Official retrieval URL for the June 2023 local PDF; future retrieval must match the local hash and must not assume the non-versioned remote filename is immutable.","NVIDIA GPU Memory Error Management","developer_documentation","first_party","superseded","","DA-09826-002_v001; June 2023","same content fingerprint as local PDF","pdf_direct","https://docs.nvidia.com/deploy/pdf/nvidia-gpu-mem-error-mgmt.pdf","","","","publisher PDF URL","local PDF is the fixed evidence copy","same as parent source","selected","architecture_mechanism","SELRUN-GA100-DIE-20260821-PROVISIONAL","yes","Same as the local endpoint.","draft","At formal registration, record the verified access date and preserve remote-versus-local hash result."
"CAND-GA100-RAS-R595-SUPPORTED","new_source_and_endpoint","SFAM-NVIDIA-GPU-MEMORY-ERROR-MGMT","SRC-NVIDIA-GPU-MEM-ERROR-MGMT-R595","END-NVIDIA-GPU-MEM-ERROR-MGMT-R595-SUPPORTED","","One endpoint of one R595 snapshot collection; the six chapter snapshots remain one source version for selection purposes.","NVIDIA GPU Memory Error Management","developer_documentation","first_party","current","","R595 snapshot 2026-08-21","manifest-sha256:40a8e5b6617b2f70c85947e1134d60f3766d705509f9344bc77d797767053d4c","web_snapshot","https://docs.nvidia.com/deploy/a100-gpu-mem-error-mgmt/595/supported-gpus.html","审计/子代理交接/r1_ga100_source_staging/downloads/ras-r595-supported-gpus.html","16575","4813fafec19b1508358bc0aedfcbd212e0f4695770a39fa0b3b75f1e8fc7c44f","Supported GPUs — NVIDIA GPU Memory Error Management","fixed local HTML snapshot","GA100 support matrix and no-RAS-Repair boundary","selected","conflict_evidence","SELRUN-GA100-DIE-20260821-PROVISIONAL","conditional","Required only if final facts keep the GA100-specific RAS Repair exclusion or a current support-matrix version boundary.","draft","Do not count this source family as an independent confirmation of the June 2023 PDF."
"CAND-GA100-RAS-R595-CONTAINMENT","new_endpoint_only","SFAM-NVIDIA-GPU-MEMORY-ERROR-MGMT","SRC-NVIDIA-GPU-MEM-ERROR-MGMT-R595","END-NVIDIA-GPU-MEM-ERROR-MGMT-R595-CONTAINMENT","SRC-NVIDIA-GPU-MEM-ERROR-MGMT-R595","Chapter endpoint within the same R595 source version.","NVIDIA GPU Memory Error Management","developer_documentation","first_party","current","","R595 snapshot 2026-08-21","same R595 manifest fingerprint","web_snapshot","https://docs.nvidia.com/deploy/a100-gpu-mem-error-mgmt/595/error-containment.html","审计/子代理交接/r1_ga100_source_staging/downloads/ras-r595-error-containment.html","16326","d50618920ae48febbf894af8aa4455d6af541e794a8068996ca6d44980bbfbd5","Error Containment — NVIDIA GPU Memory Error Management","fixed local HTML snapshot","GA100 contained and uncontained UCE boundary","selected","conflict_evidence","SELRUN-GA100-DIE-20260821-PROVISIONAL","conditional","Only alongside the parent R595 source if current version wording is a retained fact.","draft","No additional source or selection member."
"CAND-GA100-RAS-R595-DPO","new_endpoint_only","SFAM-NVIDIA-GPU-MEMORY-ERROR-MGMT","SRC-NVIDIA-GPU-MEM-ERROR-MGMT-R595","END-NVIDIA-GPU-MEM-ERROR-MGMT-R595-DPO","SRC-NVIDIA-GPU-MEM-ERROR-MGMT-R595","Chapter endpoint within the same R595 source version.","NVIDIA GPU Memory Error Management","developer_documentation","first_party","current","","R595 snapshot 2026-08-21","same R595 manifest fingerprint","web_snapshot","https://docs.nvidia.com/deploy/a100-gpu-mem-error-mgmt/595/dynamic-page-offlining.html","审计/子代理交接/r1_ga100_source_staging/downloads/ras-r595-dynamic-page-offlining.html","16144","39e16e20f234e40f666a4d79a8acc2bd28eae06a8fc577cbe523c06bcff2d4e3","Dynamic Page Offlining — NVIDIA GPU Memory Error Management","fixed local HTML snapshot","GA100 plus driver framebuffer-page recovery","selected","conflict_evidence","SELRUN-GA100-DIE-20260821-PROVISIONAL","conditional","Only alongside the parent R595 source if current version wording is a retained fact.","draft","Do not describe this driver-assisted function as autonomous on-die repair."
"CAND-GA100-RAS-R595-ROW-REMAP","new_endpoint_only","SFAM-NVIDIA-GPU-MEMORY-ERROR-MGMT","SRC-NVIDIA-GPU-MEM-ERROR-MGMT-R595","END-NVIDIA-GPU-MEM-ERROR-MGMT-R595-ROW-REMAP","SRC-NVIDIA-GPU-MEM-ERROR-MGMT-R595","Chapter endpoint within the same R595 source version.","NVIDIA GPU Memory Error Management","developer_documentation","first_party","current","","R595 snapshot 2026-08-21","same R595 manifest fingerprint","web_snapshot","https://docs.nvidia.com/deploy/a100-gpu-mem-error-mgmt/595/row-remapping.html","审计/子代理交接/r1_ga100_source_staging/downloads/ras-r595-row-remapping.html","17904","7473e17f6c97e8d9d616faf72efdf41cc142e47216a7d5278fa8651b93fbd7f6","Row Remapping — NVIDIA GPU Memory Error Management","fixed local HTML snapshot","GA100/A100 framebuffer plus HBM spare-row recovery process","selected","conflict_evidence","SELRUN-GA100-DIE-20260821-PROVISIONAL","conditional","Only alongside the parent R595 source if current version wording is a retained fact.","draft","Reset and external HBM boundary must remain conditions."
"CAND-GA100-RAS-R595-CONTAINED-UCE-RESPONSE","new_endpoint_only","SFAM-NVIDIA-GPU-MEMORY-ERROR-MGMT","SRC-NVIDIA-GPU-MEM-ERROR-MGMT-R595","END-NVIDIA-GPU-MEM-ERROR-MGMT-R595-CONTAINED-UCE-RESPONSE","SRC-NVIDIA-GPU-MEM-ERROR-MGMT-R595","Chapter endpoint within the same R595 source version.","NVIDIA GPU Memory Error Management","developer_documentation","first_party","current","","R595 snapshot 2026-08-21","same R595 manifest fingerprint","web_snapshot","https://docs.nvidia.com/deploy/a100-gpu-mem-error-mgmt/595/response-to-uncorrectable-contained-ecc-errors.html","审计/子代理交接/r1_ga100_source_staging/downloads/ras-r595-contained-uce-response.html","17041","cab5cfc6c98e76b24e5320cb0d323e7e103b97776a04e442ae8eeaf622bc9704","Response to Uncorrectable Contained ECC Errors — NVIDIA GPU Memory Error Management","fixed local HTML snapshot","GA100 driver recovery process for contained UCE","selected","conflict_evidence","SELRUN-GA100-DIE-20260821-PROVISIONAL","conditional","Only alongside the parent R595 source if current version wording is a retained fact.","draft","Keep recovery as an ordered device, driver, and service-window process."
"CAND-GA100-RAS-R595-REPAIR","new_endpoint_only_claim_out_of_scope","SFAM-NVIDIA-GPU-MEMORY-ERROR-MGMT","SRC-NVIDIA-GPU-MEM-ERROR-MGMT-R595","END-NVIDIA-GPU-MEM-ERROR-MGMT-R595-REPAIR","SRC-NVIDIA-GPU-MEM-ERROR-MGMT-R595","Chapter endpoint within the same R595 source version; it is an exclusion record, not a new positive source.","NVIDIA GPU Memory Error Management","developer_documentation","first_party","current","","R595 snapshot 2026-08-21","same R595 manifest fingerprint","web_snapshot","https://docs.nvidia.com/deploy/a100-gpu-mem-error-mgmt/595/hbm-channel-repair.html","审计/子代理交接/r1_ga100_source_staging/downloads/ras-r595-gpu-memory-repair.html","17169","9a44db8d6ab692c7fd1833e05cc42ee45a8012d75c3479a4d8917955cef03389","RAS Repair — NVIDIA GPU Memory Error Management","fixed local HTML snapshot","Blackwell-only repair capability; GA100 uses it only as an exclusion boundary","selected","conflict_evidence","SELRUN-GA100-DIE-20260821-PROVISIONAL","conditional","A positive GA100 claim for DRAM channel swap, L2 slice swap, or XID 160 repair is out of scope and must be rejected; promote parent R595 only for an explicit exclusion fact.","draft","out_of_scope is the positive-claim disposition, not source screening; no additional source or selection member."
"CAND-GA100-CUDA-PG-11-0-LOCAL","new_source_and_endpoint","SFAM-NVIDIA-CUDA-C-PROGRAMMING-GUIDE","SRC-NVIDIA-CUDA-C-PROGRAMMING-GUIDE-11-0","END-NVIDIA-CUDA-C-PROGRAMMING-GUIDE-11-0-LOCAL","","Fixed CUDA C++ Programming Guide content version; later revisions belong to the same revision series.","CUDA C++ Programming Guide","developer_documentation","first_party","superseded","","PG-02829-001_v11.0; August 2020; CUDA Toolkit 11.0.3","sha256:af4235e08e4ebb0f7651896db7ed05344f5e4ae6e9ce5da3cba3bc5ec6c69174","local_pdf","","审计/子代理交接/r1_ga100_source_staging/downloads/cuda-c-programming-guide-11.0.pdf","4252150","af4235e08e4ebb0f7651896db7ed05344f5e4ae6e9ce5da3cba3bc5ec6c69174","405","fixed staged PDF; title and author NVIDIA verified","CUDA API semantics for CC 8.0/A100-enabled GA100 behavior; not a disclosure of GA100 physical implementation","selected","architecture_mechanism","SELRUN-GA100-DIE-20260821-PROVISIONAL","conditional","Required only if final facts retain CUDA 11.0 introduction or experimental status, async-copy API constraints, L2 policy, or MIG-mode set-aside limitation.","draft","No exact publication day is invented from the August 2020 cover."
"CAND-GA100-PTX-ISA-7-0-LOCAL","new_source_and_endpoint","SFAM-NVIDIA-PTX-ISA","SRC-NVIDIA-PTX-ISA-7-0","END-NVIDIA-PTX-ISA-7-0-LOCAL","","Earlier fixed revision in one PTX ISA revision series; it is not independent confirmation of v7.2.","Parallel Thread Execution ISA","api_or_isa_documentation","first_party","superseded","","v7.0; August 2020; CUDA Toolkit 11.0.3","sha256:a79f4e074eb8f03314025c690ec51fbb79231e35bde612a60d50f4f8ec31f924","local_pdf","","审计/子代理交接/r1_ga100_source_staging/downloads/ptx-isa-7.0.pdf","4107461","a79f4e074eb8f03314025c690ec51fbb79231e35bde612a60d50f4f8ec31f924","414","fixed staged PDF; title and author NVIDIA verified","Generic PTX SIMT model and sm_80 instruction semantics; GA100 physical scheduler and engine internals remain unproven","lead_only","status_version_evidence","SELRUN-GA100-DIE-20260821-PROVISIONAL","no","Promote only if final facts need the v7.0/CUDA 11.0 introduction or SIMT/cp.async/mbarrier release-boundary evidence not fully carried by the selected v7.2 record.","draft","PTX is a virtual ISA; do not infer native opcode encoding, pipeline depth, queue depth, or unit count."
"CAND-GA100-PTX-ISA-7-2-LOCAL","new_source_and_endpoint","SFAM-NVIDIA-PTX-ISA","SRC-NVIDIA-PTX-ISA-7-2","END-NVIDIA-PTX-ISA-7-2-LOCAL","","Later fixed revision in the same PTX ISA family; it retains prior semantics and adds sparse-MMA documentation.","Parallel Thread Execution ISA","api_or_isa_documentation","first_party","superseded","2021-02-09","v7.2; February 2021; CUDA Toolkit 11.2.1","sha256:9a89c6817d1fd0d3b6357aaf71fbf3c29d08d9c4e12b5eaa6c851297b7d18b97","local_pdf","","审计/子代理交接/r1_ga100_source_staging/downloads/ptx-isa-7.2.pdf","3931305","9a89c6817d1fd0d3b6357aaf71fbf3c29d08d9c4e12b5eaa6c851297b7d18b97","433","fixed staged PDF; title and author NVIDIA verified","Ampere/GA100 software-visible sparse MMA and metadata path at sm_80+; not physical Tensor Core or selector RTL","selected","architecture_mechanism","SELRUN-GA100-DIE-20260821-PROVISIONAL","conditional","Required only if final facts retain mma.sp metadata, datatype-specific sparse granularity, target-ISA restriction, or warp-uniform requirement.","draft","PTX 7.1 is the instruction introduction point cited inside v7.2; do not register v7.2 as the first introduction."
"CAND-GA100-MIG-610-SUPPORTED-GPUS","new_source_and_endpoint","SFAM-NVIDIA-MIG-USER-GUIDE","SRC-NVIDIA-MIG-USER-GUIDE-610","END-NVIDIA-MIG-USER-GUIDE-610-SUPPORTED-GPUS","","One endpoint in the single version-610 snapshot collection; source identity is bound by the fixed bundle manifest.","NVIDIA Multi-Instance GPU User Guide","developer_documentation","first_party","current","","version 610; snapshot 2026-08-21","manifest-sha256:db5c3ac2017d7e40d4f4fa9e82e484166e3a7ee64f1ddd904a7c6b4b696fc91b","web_snapshot","https://docs.nvidia.com/datacenter/tesla/mig-user-guide/latest/supported-gpus.html","审计/子代理交接/r1_ga100_source_staging/downloads/mig-user-guide-610/supported-gpus.html","20324","dbb01db2b63712d275812034d115b58deda6d45d01ec2a50617d92b663a3550f","Supported GPUs, NVIDIA Multi-Instance GPU User Guide","fixed local HTML snapshot; expected article and GA100/A100 table verified","A100-SXM4 and A100-PCIe product mapping to GA100 and CC 8.0; A100 capacities and max instances remain product configuration","selected","identity","SELRUN-GA100-DIE-20260821-PROVISIONAL","conditional","Required if final facts retain the official GA100/A100 product mapping or MIG support boundary.","draft","The manifest file itself is neither an endpoint nor an additional source; one support-table source cannot prove GA100 process, full-design resources, availability, or arbitrary MIG behavior."
"CAND-GA100-MIG-610-CONCEPTS","new_endpoint_only","SFAM-NVIDIA-MIG-USER-GUIDE","SRC-NVIDIA-MIG-USER-GUIDE-610","END-NVIDIA-MIG-USER-GUIDE-610-CONCEPTS","SRC-NVIDIA-MIG-USER-GUIDE-610","Chapter endpoint within the same MIG User Guide content version.","NVIDIA Multi-Instance GPU User Guide","developer_documentation","first_party","current","","version 610; snapshot 2026-08-21","same MIG bundle manifest fingerprint","web_snapshot","https://docs.nvidia.com/datacenter/tesla/mig-user-guide/latest/concepts.html","审计/子代理交接/r1_ga100_source_staging/downloads/mig-user-guide-610/concepts.html","33203","4413498cd49a04ef015dc0fd5bc96ac2c909dc35302b7a3625505ce30e4e9057","Concepts, NVIDIA Multi-Instance GPU User Guide","fixed local HTML snapshot; expected article verified","GPU Instance, Compute Instance, memory-QoS, fault-isolation, and shared-engine software-visible behavior","selected","identity","SELRUN-GA100-DIE-20260821-PROVISIONAL","conditional","Only alongside the parent source when final virtualization facts retain this documented behavior.","draft","Do not infer internal queue, context-save state, scheduling latency, or QoS numerical guarantee."
