"candidate_id","vendor","product_line","canonical_name","display_name","object_layer","object_type","architecture_hint","variant_or_configuration","scope_status","availability_status","release_or_status_date","parent_or_related_hint","official_source_keys","inclusion_basis","open_questions","review_status"
"CAND-NVIDIA-L4","NVIDIA","NVIDIA Data Center GPU","NVIDIA L4","L4","product_sku","card","Ada Lovelace","","main_sample","available","","CAND-NVIDIA-ARCH-ADA-LOVELACE","NV-1;NV-2","正式数据中心产品。","正式首供日期和固定版规格文件。","draft"
"CAND-NVIDIA-GH200-SUPERCHIP","NVIDIA","NVIDIA Data Center GPU","NVIDIA Grace Hopper Superchip GH200","Grace Hopper Superchip（GH200）","silicon_package","package","Hopper","CPU+GPU Superchip;96/144 GB 等配置待映射","main_sample","available","","CAND-NVIDIA-ARCH-HOPPER","NV-1;NV-2","CPU 与 GPU 组成的独立超级芯片对象。","配置、GPU 版本和首次供货映射。","needs_resolution"
"CAND-NVIDIA-GH200-NVL2","NVIDIA","NVIDIA Data Center GPU","NVIDIA GH200 NVL2","GH200 NVL2","system","server","Hopper","NVL2","main_sample","available","","CAND-NVIDIA-GH200-SUPERCHIP","NV-1","官方 line card 列出的系统对象。","Superchip 配置、系统拓扑和供货区域。","needs_resolution"
"CAND-NVIDIA-GH200-NVL4","NVIDIA","NVIDIA Data Center GPU","NVIDIA GH200 NVL4","GH200 NVL4","system","server","Hopper","NVL4","main_sample","available","","CAND-NVIDIA-GH200-SUPERCHIP","NV-1","官方 line card 列出的系统对象。","Superchip 配置、系统拓扑和供货区域。","needs_resolution"
"CAND-NVIDIA-ARCH-BLACKWELL","NVIDIA","NVIDIA Data Center GPU","NVIDIA Blackwell architecture","Blackwell","architecture","architecture_generation","Blackwell","","main_sample","available","","","NV-1;NV-2;NV-6","B100、B200 和 GB200 系统的共享架构对象。","架构发布日期与量产修订。","draft"
"CAND-NVIDIA-B100","NVIDIA","NVIDIA Data Center GPU","NVIDIA B100","B100","product_sku","module","Blackwell","最终量产形态待核","observation","announced","","CAND-NVIDIA-ARCH-BLACKWELL","NV-1;NV-2;NV-6","有正式发布但当前产品组合弱化。","最终量产规格、实际供货和长期 SKU 身份。","needs_resolution"
"CAND-NVIDIA-B200-SXM-180GB","NVIDIA","NVIDIA Data Center GPU","NVIDIA B200 SXM 180 GB","B200 SXM 180 GB","product_sku","module","Blackwell","SXM;180 GB","main_sample","available","","CAND-NVIDIA-ARCH-BLACKWELL","NV-1;NV-2;NV-6","当前正式产品组合中的独立模组。","单模组固定版数据手册和首供日期。","draft"
"CAND-NVIDIA-ARCH-BLACKWELL-ULTRA","NVIDIA","NVIDIA Data Center GPU","NVIDIA Blackwell Ultra architecture","Blackwell Ultra","architecture","architecture_generation","Blackwell Ultra","","main_sample","available","","CAND-NVIDIA-ARCH-BLACKWELL","NV-1;NV-7","B300 和 GB300 系统的共享架构对象。","架构与 Blackwell 的正式边界。","draft"
"CAND-NVIDIA-B300-SXM-288GB","NVIDIA","NVIDIA Data Center GPU","NVIDIA B300 SXM 288 GB","B300 SXM 288 GB","product_sku","module","Blackwell Ultra","SXM;288 GB","main_sample","available","","CAND-NVIDIA-ARCH-BLACKWELL-ULTRA","NV-1;NV-7","当前官方组合中的独立模组。","固定版数据手册和首供日期。","draft"
"CAND-NVIDIA-RTX-PRO-6000-BLACKWELL-SERVER","NVIDIA","NVIDIA Data Center GPU","NVIDIA RTX PRO 6000 Blackwell Server Edition","RTX PRO 6000 Blackwell Server Edition","product_sku","card","Blackwell","Server Edition","main_sample","available","","CAND-NVIDIA-ARCH-BLACKWELL","NV-1","数据中心产品组合中的服务器版卡。","容量、功耗变体和供货日期。","draft"
"CAND-NVIDIA-HGX-B100","NVIDIA","NVIDIA Data Center GPU","NVIDIA HGX B100","HGX B100","system","baseboard","Blackwell","候选底板身份未确认","excluded_lead","","","CAND-NVIDIA-B100","NV-1;NV-6","普查在 HGX 系统缺口中提出的具体线索，当前组合未确认最终对象。","是否形成最终可保留的 HGX B100 系统。","needs_resolution"
"CAND-NVIDIA-HGX-H100","NVIDIA","NVIDIA Data Center GPU","NVIDIA HGX H100","HGX H100","system","baseboard","Hopper","8-GPU 底板","main_sample","available","","CAND-NVIDIA-H100-SXM5-80GB","NV-1","解释 8-GPU 拓扑和 NVLink/NVSwitch 的系统对象。","底板版本和订货边界。","draft"
"CAND-NVIDIA-HGX-H200","NVIDIA","NVIDIA Data Center GPU","NVIDIA HGX H200","HGX H200","system","baseboard","Hopper","8-GPU 底板","main_sample","available","","CAND-NVIDIA-H200-SXM-141GB","NV-1","解释 8-GPU 拓扑和 NVLink/NVSwitch 的系统对象。","底板版本和订货边界。","draft"
"CAND-NVIDIA-HGX-B200","NVIDIA","NVIDIA Data Center GPU","NVIDIA HGX B200","HGX B200","system","baseboard","Blackwell","8-GPU 底板","main_sample","available","","CAND-NVIDIA-B200-SXM-180GB","NV-1;NV-6","解释 8-GPU 拓扑和 NVLink/NVSwitch 的系统对象。","底板版本和订货边界。","draft"
"CAND-NVIDIA-HGX-B300","NVIDIA","NVIDIA Data Center GPU","NVIDIA HGX B300","HGX B300","system","baseboard","Blackwell Ultra","8-GPU 底板","main_sample","available","","CAND-NVIDIA-B300-SXM-288GB","NV-1","解释 8-GPU 拓扑和 NVLink/NVSwitch 的系统对象。","底板版本和订货边界。","draft"
"CAND-NVIDIA-GB200-NVL4","NVIDIA","NVIDIA Data Center GPU","NVIDIA GB200 NVL4","GB200 NVL4","system","server","Blackwell","NVL4","main_sample","available","","CAND-NVIDIA-ARCH-BLACKWELL","NV-1;NV-6","官方产品组合中的独立系统。","组成、系统边界和固定版规格。","needs_resolution"
"CAND-NVIDIA-GB200-NVL72","NVIDIA","NVIDIA Data Center GPU","NVIDIA GB200 NVL72","GB200 NVL72","system","rack","Blackwell","NVL72","main_sample","available","","CAND-NVIDIA-ARCH-BLACKWELL","NV-1;NV-6","官方产品组合中的机架系统。","计算托盘与整机架边界和固定版规格。","needs_resolution"
"CAND-NVIDIA-GB300-NVL72","NVIDIA","NVIDIA Data Center GPU","NVIDIA GB300 NVL72","GB300 NVL72","system","rack","Blackwell Ultra","NVL72","main_sample","available","","CAND-NVIDIA-ARCH-BLACKWELL-ULTRA","NV-1;NV-7","官方页面标示可用的机架系统。","可用区域、首次客户交付日期和系统版本。","draft"
"CAND-NVIDIA-ARCH-RUBIN","NVIDIA","NVIDIA Data Center GPU","NVIDIA Rubin architecture","Rubin","architecture","architecture_generation","Rubin","","observation","production_ramp","","","NV-8;NV-9","官方称平台进入 full production。","截止日实际客户交付和最终架构资料。","needs_resolution"
"CAND-NVIDIA-RUBIN-GPU","NVIDIA","NVIDIA Data Center GPU","NVIDIA Rubin GPU","Rubin GPU","product_sku","module","Rubin","最终模组形态待核","observation","production_ramp","","CAND-NVIDIA-ARCH-RUBIN","NV-8;NV-9","正式公布且处于生产爬坡。","最终时钟、功耗、订货形态和交付。","needs_resolution"
"CAND-NVIDIA-RUBIN-CPX-GPU","NVIDIA","NVIDIA Data Center GPU","NVIDIA Rubin CPX GPU","Rubin CPX GPU","product_sku","module","Rubin","CPX;最终模组形态待核","observation","production_ramp","","CAND-NVIDIA-ARCH-RUBIN","NV-8;NV-9","与 Rubin GPU 分开的正式产品名。","最终时钟、功耗、订货形态和交付。","needs_resolution"
"CAND-NVIDIA-VERA-RUBIN-NVL72","NVIDIA","NVIDIA Data Center GPU","NVIDIA Vera Rubin NVL72","Vera Rubin NVL72","system","rack","Rubin","NVL72","observation","production_ramp","","CAND-NVIDIA-ARCH-RUBIN","NV-8;NV-9","正式公布的下一代机架系统。","客户交付、系统版本和有效互联载荷。","needs_resolution"
"CAND-NVIDIA-A30","NVIDIA","NVIDIA Data Center GPU","NVIDIA A30","A30","product_sku","card","早期 NVIDIA 数据中心架构","","excluded_lead","historical_anchor","","","","普查明确排除，不再扩展旧产品谱系。","若后续需要代际说明，优先由 A100 锚点承担。","needs_resolution"
"CAND-NVIDIA-A40","NVIDIA","NVIDIA Data Center GPU","NVIDIA A40","A40","product_sku","card","早期 NVIDIA 数据中心架构","","excluded_lead","historical_anchor","","","","普查明确排除，不再扩展旧产品谱系。","若后续需要代际说明，优先由 A100 锚点承担。","needs_resolution"
"CAND-NVIDIA-V100","NVIDIA","NVIDIA Data Center GPU","NVIDIA V100","V100","product_sku","card","早期 NVIDIA 数据中心架构","","excluded_lead","historical_anchor","","","","普查明确排除，不再扩展旧产品谱系。","若后续需要代际说明，优先由 A100 锚点承担。","needs_resolution"
"CAND-GOOGLE-ARCH-TPU-V3","Google","Google TPU","Google TPU v3 architecture","TPU v3","architecture","architecture_generation","TPU v3","","historical_anchor","historical_anchor","","","G-1","用于解释后续 MegaCore 和 Pod 演进的架构锚点。","最终是否仍需保留。","draft"
"CAND-GOOGLE-TPU-V3-CLOUD-SYSTEM","Google","Google TPU","Google TPU v3 cloud system","TPU v3 云系统","system","pod","TPU v3","正式系统名待核","historical_anchor","historical_anchor","","CAND-GOOGLE-ARCH-TPU-V3","G-1","原普查把 TPU v3 同时标为架构和云系统，现分开保存。","是否应正式命名为 TPU v3 Pod，以及是否需要独立系统卡。","needs_resolution"
"CAND-GOOGLE-ARCH-TPU-V4","Google","Google TPU","Google TPU v4 architecture","TPU v4","architecture","architecture_generation","TPU v4","","main_sample","cloud_available","","","G-1;G-2","2022 年正式对外提供的 TPU 代际。","首次 GA 日期。","draft"
"CAND-GOOGLE-TPU-V4-SLICE-FAMILY","Google","Google TPU","Google TPU v4 Slice configuration family","v4-* Slice","product_sku","cloud_accelerator","TPU v4","v4-*;各 accelerator type 待列配置子表","main_sample","cloud_available","","CAND-GOOGLE-ARCH-TPU-V4","G-1;G-2","保留稳定 API 配置族，不复制架构事实。","仍有效的 accelerator type、主机映射和退役状态。","needs_resolution"
"CAND-GOOGLE-TPU-V4-POD","Google","Google TPU","Google TPU v4 Pod","v4 Pod","system","pod","TPU v4","Pod","main_sample","cloud_available","","CAND-GOOGLE-ARCH-TPU-V4","G-1;G-2","互联规模和拓扑需要独立系统对象。","最大规模、拓扑和可用区域时点。","draft"
"CAND-GOOGLE-ARCH-TPU-V5E","Google","Google TPU","Google TPU v5e architecture","TPU v5e","architecture","architecture_generation","TPU v5e","","main_sample","cloud_available","","","G-1;G-3","2023 年对外提供的正式 TPU 代际。","正式 GA 日期。","draft"
"CAND-GOOGLE-TPU-V5LITEPOD-CONFIG-FAMILY","Google","Google TPU","Google TPU v5e v5litepod configuration family","v5litepod-* / 现行 API 配置","product_sku","cloud_accelerator","TPU v5e","旧名与现行 API 名待映射","main_sample","cloud_available","","CAND-GOOGLE-ARCH-TPU-V5E","G-1;G-3","云配置边界独立于架构事实。","旧名、现行 API 名、单主机和多主机边界。","needs_resolution"
"CAND-GOOGLE-ARCH-TPU-V5P","Google","Google TPU","Google TPU v5p architecture","TPU v5p","architecture","architecture_generation","TPU v5p","","main_sample","cloud_available","","","G-1;G-4","2023 至 2024 年对外提供的正式 TPU 代际。","正式 GA 日期。","draft"
"CAND-GOOGLE-TPU-V5P-SLICE-FAMILY","Google","Google TPU","Google TPU v5p Slice configuration family","v5p-* Slice","product_sku","cloud_accelerator","TPU v5p","v5p-*;各 accelerator type 待列配置子表","main_sample","cloud_available","","CAND-GOOGLE-ARCH-TPU-V5P","G-1;G-4","保留可计费或 API 配置边界。","稳定 accelerator type 和主机映射。","needs_resolution"
"CAND-GOOGLE-TPU-V5P-POD","Google","Google TPU","Google TPU v5p Pod","v5p Pod","system","pod","TPU v5p","Pod","main_sample","cloud_available","","CAND-GOOGLE-ARCH-TPU-V5P","G-1;G-4","互联规模和拓扑需要独立系统对象。","最大 Pod 规模和可用区域时点。","draft"
"CAND-GOOGLE-ARCH-TPU-V6E","Google","Google TPU","Google TPU v6e Trillium architecture","TPU v6e（Trillium）","architecture","architecture_generation","TPU v6e","Trillium","main_sample","cloud_available","2024-12-11","","G-5;G-6","2024-12-11 正式 GA 的 TPU 代际。","架构与云配置的版本边界。","draft"
"CAND-GOOGLE-TPU-V6E-CONFIG-FAMILY","Google","Google TPU","Google TPU v6e configuration family","v6e-*","product_sku","cloud_accelerator","TPU v6e","v6e-1/4/8 等配置待核","main_sample","cloud_available","2024-12-11","CAND-GOOGLE-ARCH-TPU-V6E","G-5;G-6","Cloud TPU 拓扑配置族。","各配置的主机与芯片对应。","needs_resolution"
"CAND-GOOGLE-CT6E-STANDARD-FAMILY","Google","Google TPU","Google ct6e-standard machine type family","ct6e-standard-*","product_sku","cloud_accelerator","TPU v6e","ct6e-standard-1t/4t/8t 等配置待核","main_sample","cloud_available","2024-12-11","CAND-GOOGLE-ARCH-TPU-V6E","G-5;G-6","Cluster Director 机器类型与 Cloud TPU 配置分开保存。","与 v6e 配置的准确映射。","needs_resolution"
"CAND-GOOGLE-ARCH-TPU7X","Google","Google TPU","Google TPU7x Ironwood architecture","TPU7x（Ironwood）","architecture","architecture_generation","TPU7x","Ironwood","main_sample","cloud_available","","","G-1;G-7","截止日已可在 Google Cloud 使用的正式代际。","首次公开可用或 GA 日期。","draft"
"CAND-GOOGLE-TPU7X-SLICE-FAMILY","Google","Google TPU","Google TPU7x Slice configuration family","TPU7x Slice","product_sku","cloud_accelerator","TPU7x","Slice 配置待列子表","main_sample","cloud_available","","CAND-GOOGLE-ARCH-TPU7X","G-1;G-7","云配置边界独立于架构和 Pod。","地区、最小配置和稳定 accelerator type。","needs_resolution"
"CAND-GOOGLE-TPU7X-POD-9216","Google","Google TPU","Google TPU7x 9216-chip Pod","TPU7x 9216-chip Pod","system","pod","TPU7x","9216 chips","main_sample","cloud_available","","CAND-GOOGLE-ARCH-TPU7X","G-1;G-7","明确给出规模的系统对象。","Pod 内拓扑和可用区域。","draft"
"CAND-GOOGLE-ARCH-TPU-8T","Google","Google TPU","Google TPU 8t architecture","TPU 8t","architecture","architecture_generation","TPU 8t","","observation","announced","2026-04-22","","G-8;G-9","正式公布但截止日尚待稳定云配置。","GA 或预览日期和最终配置。","needs_resolution"
"CAND-GOOGLE-TPU-8T-CLOUD-SYSTEM","Google","Google TPU","Google TPU 8t future cloud system","TPU 8t 未来云系统","system","pod","TPU 8t","正式系统名和规模待核","observation","announced","2026-04-22","CAND-GOOGLE-ARCH-TPU-8T","G-8;G-9","原普查同时标为架构和未来云系统，现分开保存。","稳定 accelerator type、系统名称和最终规模。","needs_resolution"
"CAND-GOOGLE-ARCH-TPU-8I","Google","Google TPU","Google TPU 8i architecture","TPU 8i","architecture","architecture_generation","TPU 8i","","observation","announced","2026-04-22","","G-8;G-9","正式公布但截止日尚待稳定云配置。","GA 或预览日期和最终配置。","needs_resolution"
"CAND-GOOGLE-TPU-8I-CLOUD-SYSTEM","Google","Google TPU","Google TPU 8i future cloud system","TPU 8i 未来云系统","system","pod","TPU 8i","正式系统名和规模待核","observation","announced","2026-04-22","CAND-GOOGLE-ARCH-TPU-8I","G-8;G-9","原普查同时标为架构和未来云系统，现分开保存。","稳定 accelerator type、系统名称和最终规模。","needs_resolution"
"CAND-GOOGLE-ARCH-TPU-V2","Google","Google TPU","Google TPU v2 architecture","TPU v2","architecture","architecture_generation","TPU v2","","excluded_lead","historical_anchor","","","G-1","普查明确不再建立该历史锚点。","由 TPU v3 承担必要的早期演进说明。","needs_resolution"
"CAND-AWS-ARCH-INFERENTIA1","AWS","AWS Trainium/Inferentia","AWS Inferentia first-generation architecture","Inferentia 第一代架构","architecture","architecture_generation","Inferentia first generation","","historical_anchor","historical_anchor","","","A-1","解释后续 Inferentia2 的历史架构锚点。","是否仍需独立保留。","draft"
"CAND-AWS-INFERENTIA1-CHIP","AWS","AWS Trainium/Inferentia","AWS Inferentia chip","Inferentia 第一代芯片","silicon_package","package","Inferentia first generation","第一代","historical_anchor","historical_anchor","","CAND-AWS-ARCH-INFERENTIA1","A-1","原普查把架构和芯片合在同一候选中，现分开保存。","具体封装和退役状态。","draft"
"CAND-AWS-EC2-INF1-FAMILY","AWS","AWS Trainium/Inferentia","Amazon EC2 Inf1 instance family","Inf1 实例家族","product_sku","cloud_accelerator","Inferentia first generation","具体实例尺寸未在普查中展开","historical_anchor","historical_anchor","","CAND-AWS-INFERENTIA1-CHIP","A-1","只保留一条实例家族关系的历史锚点。","是否需要补具体 Inf1 规格和退役状态。","needs_resolution"
"CAND-AWS-ARCH-TRAINIUM1","AWS","AWS Trainium/Inferentia","AWS Trainium first-generation architecture","Trainium 第一代架构","architecture","architecture_generation","Trainium first generation","","main_sample","cloud_available","","","A-2;A-3","2022 年正式提供的 Trainium 代际。","首次 GA 日期的固定发布页。","draft"
"CAND-AWS-TRAINIUM1-CHIP","AWS","AWS Trainium/Inferentia","AWS Trainium chip","Trainium 第一代芯片","silicon_package","package","Trainium first generation","第一代","main_sample","cloud_available","","CAND-AWS-ARCH-TRAINIUM1","A-2;A-3","芯片边界与 EC2 实例分开保存。","芯片级规格和封装资料。","draft"
"CAND-AWS-EC2-TRN1-2XLARGE","AWS","AWS Trainium/Inferentia","Amazon EC2 trn1.2xlarge","trn1.2xlarge","product_sku","cloud_accelerator","Trainium first generation","trn1.2xlarge","main_sample","cloud_available","","CAND-AWS-TRAINIUM1-CHIP","A-2;A-3","正式计费实例 SKU。","实例芯片数和网络配置。","draft"
"CAND-AWS-EC2-TRN1-32XLARGE","AWS","AWS Trainium/Inferentia","Amazon EC2 trn1.32xlarge","trn1.32xlarge","product_sku","cloud_accelerator","Trainium first generation","trn1.32xlarge","main_sample","cloud_available","","CAND-AWS-TRAINIUM1-CHIP","A-2;A-3","正式计费实例 SKU。","实例芯片数和网络配置。","draft"
"CAND-AWS-EC2-TRN1N-32XLARGE","AWS","AWS Trainium/Inferentia","Amazon EC2 trn1n.32xlarge","trn1n.32xlarge","product_sku","cloud_accelerator","Trainium first generation","EFA 网络边界不同","main_sample","cloud_available","2023-04-13","CAND-AWS-TRAINIUM1-CHIP","A-4","网络配置不同的独立计费实例。","与 trn1.32xlarge 的共享事实去重。","draft"
"CAND-AWS-ARCH-INFERENTIA2","AWS","AWS Trainium/Inferentia","AWS Inferentia2 architecture","Inferentia2 架构","architecture","architecture_generation","Inferentia2","","main_sample","cloud_available","","","A-5;A-6","2023 年正式 GA 的 Inferentia 代际。","正式 GA 日期的精确日。","draft"
"CAND-AWS-INFERENTIA2-CHIP","AWS","AWS Trainium/Inferentia","AWS Inferentia2 chip","Inferentia2 芯片","silicon_package","package","Inferentia2","","main_sample","cloud_available","","CAND-AWS-ARCH-INFERENTIA2","A-5;A-6","芯片边界与 Inf2 实例分开保存。","芯片级与实例级带宽的来源边界。","draft"
"CAND-AWS-EC2-INF2-XLARGE","AWS","AWS Trainium/Inferentia","Amazon EC2 inf2.xlarge","inf2.xlarge","product_sku","cloud_accelerator","Inferentia2","inf2.xlarge","main_sample","cloud_available","","CAND-AWS-INFERENTIA2-CHIP","A-5;A-6","正式计费实例 SKU。","实例级容量、带宽和区域时点。","draft"
"CAND-AWS-EC2-INF2-8XLARGE","AWS","AWS Trainium/Inferentia","Amazon EC2 inf2.8xlarge","inf2.8xlarge","product_sku","cloud_accelerator","Inferentia2","inf2.8xlarge","main_sample","cloud_available","","CAND-AWS-INFERENTIA2-CHIP","A-5;A-6","正式计费实例 SKU。","实例级容量、带宽和区域时点。","draft"
"CAND-AWS-EC2-INF2-24XLARGE","AWS","AWS Trainium/Inferentia","Amazon EC2 inf2.24xlarge","inf2.24xlarge","product_sku","cloud_accelerator","Inferentia2","inf2.24xlarge","main_sample","cloud_available","","CAND-AWS-INFERENTIA2-CHIP","A-5;A-6","正式计费实例 SKU。","实例级容量、带宽和区域时点。","draft"
"CAND-AWS-EC2-INF2-48XLARGE","AWS","AWS Trainium/Inferentia","Amazon EC2 inf2.48xlarge","inf2.48xlarge","product_sku","cloud_accelerator","Inferentia2","inf2.48xlarge","main_sample","cloud_available","","CAND-AWS-INFERENTIA2-CHIP","A-5;A-6","正式计费实例 SKU。","实例级容量、带宽和区域时点。","draft"
"CAND-AWS-ARCH-TRAINIUM2","AWS","AWS Trainium/Inferentia","AWS Trainium2 architecture","Trainium2 架构","architecture","architecture_generation","Trainium2","","main_sample","cloud_available","","","A-7;A-8","当前 Trn2 产品的共享架构对象。","首次正式发布日期。","draft"
"CAND-AWS-TRAINIUM2-CHIP","AWS","AWS Trainium/Inferentia","AWS Trainium2 chip","Trainium2 芯片","silicon_package","package","Trainium2","","main_sample","cloud_available","","CAND-AWS-ARCH-TRAINIUM2","A-7;A-8","芯片边界与实例及 UltraServer 分开保存。","封装与芯片级固定版规格。","draft"
"CAND-AWS-EC2-TRN2-3XLARGE","AWS","AWS Trainium/Inferentia","Amazon EC2 trn2.3xlarge","trn2.3xlarge","product_sku","cloud_accelerator","Trainium2","单芯片实例","main_sample","cloud_available","","CAND-AWS-TRAINIUM2-CHIP","A-7","当前产品页列出的正式实例类型。","首次可用日期、地区和购买方式。","needs_resolution"
"CAND-AWS-EC2-TRN2-48XLARGE","AWS","AWS Trainium/Inferentia","Amazon EC2 trn2.48xlarge","trn2.48xlarge","product_sku","cloud_accelerator","Trainium2","trn2.48xlarge","main_sample","cloud_available","2024-12-03","CAND-AWS-TRAINIUM2-CHIP","A-7;A-8","2024-12-03 GA 的正式计费实例。","后续区域扩展的时点记录。","draft"
"CAND-AWS-EC2-TRN2U-48XLARGE","AWS","AWS Trainium/Inferentia","Amazon EC2 trn2u.48xlarge","trn2u.48xlarge","product_sku","cloud_accelerator","Trainium2","UltraServer 组成实例","main_sample","cloud_available","","CAND-AWS-TRAINIUM2-CHIP","A-7","当前产品页列出的正式实例类型。","正式加入日期和 GA 或预览状态证据。","needs_resolution"
