"domain","field_id","target_kind","target_id_or_candidate","value_or_status","condition_scope","evidence_source_ids_or_candidates","decision","directness","rationale"
"special_capabilities","FIELD-CAP-THROUGHPUT","capability_candidate","GA100 Optical Flow Accelerator","not_found","GA100 die; no operation/format/frequency throughput disclosed in reviewed sources","SRC-M2NA-NVIDIA-AMPERE-WP-2020;CAND-R1-GA100-02","register_not_found_after_search_log","gap_after_planned_reading","A100 NVJPG/NVDEC product benchmarks use frequency, image-size, format and compression conditions and cannot fill this GA100 capability."
"compute","FIELD-COMP-ARRAY-SHAPE","component_candidate","GA100 Tensor Core","not_found","physical array only","SRC-M2NA-NVIDIA-AMPERE-WP-2020;CAND-R1-GA100-02;CAND-R1-GA100-05;PTX ISA 7.x candidate","register_not_found_after_search_log","gap_after_planned_reading","16x8x16 and WMMA shapes are instruction Tiles; the 8x4x8 physical claim is a secondary citation in the microbenchmark paper."
"compute","FIELD-COMP-CONCURRENCY","component_candidate","GA100 SM FP32 and INT32 datapaths","simultaneous FP32 and INT32 execution reported for A100 SM","A100 enabled implementation; no all-path simultaneous-peak claim","SRC-M2NA-NVIDIA-AMPERE-WP-2020","accept_conditional_observation","A100_enabled_only","The mechanism is relevant to GA100 but the source does not establish concurrency with Tensor Core or under all power/frequency conditions."
"compute","FIELD-COMP-CONTROL-SCHEDULING","component_existing_or_repaired","COMP-M2NA-AMPERE-SM and repaired barrier fact","SIMT warp-level ready selection; split arrive/wait barrier","Ampere architecture; public CUDA/PTX machine model; not scheduler RTL","SRC-M2NA-NVIDIA-AMPERE-WP-2020;PTX ISA 7.x candidate;CUDA C++ Programming Guide 11.x candidate","reuse_via_architecture","architecture_relation_only","Complete the Ampere repair before relation projection."
"compute","FIELD-COMP-CONTROL-SCHEDULING","software_binding","A100 MIG GI/CI implementation","GI/CI context and resource scheduling boundaries","A100/A30 product; MIG mode; guide version and driver conditions required","CAND-R1-GA100-10;NVIDIA MIG User Guide candidate snapshot","accept_conditional_observation","software_target_only","MIG management behavior is not an unconditional full-die scheduler specification."
"compute","FIELD-COMP-COUNT-RULE","precision_path_existing_or_repaired","Ampere Tensor Core precision paths","not_specified","Ampere precision path; per operation and per source; choose fma_2_ops only when the source or accepted normalization explicitly permits it","SRC-M2NA-NVIDIA-AMPERE-WP-2020;CAND-R1-GA100-02","reuse_via_architecture","architecture_relation_only","Use the registered enum. Per-SM FMA/clock must not be silently doubled into FLOP/clock."
"compute","FIELD-COMP-DATAFLOW-RESIDENCY","component_existing_or_repaired","Ampere Tensor Core, async-copy and L1/shared-memory components","warp-level data sharing; global-to-shared copy; cache residency controls","Ampere architecture; software and MIG conditions retained","SRC-M2NA-NVIDIA-AMPERE-WP-2020;CUDA C++ Programming Guide 11.x candidate","reuse_via_architecture","architecture_relation_only","Architecture mechanism is reusable; A100 L2 set-aside granularity remains product/software-conditioned."
"compute","FIELD-COMP-EXECUTION","component_existing_or_repaired","COMP-M2NA-AMPERE-SM and COMP-M2NA-AMPERE-CUDA","SIMT execution with warp-level scheduling; Tensor Core matrix FMA path","Ampere architecture; CUDA/PTX public machine model","SRC-M2NA-NVIDIA-AMPERE-WP-2020;PTX ISA 7.x candidate","reuse_via_architecture","architecture_relation_only","Figure 7 alone does not directly state SIMT; use the repaired dual-source chain."
"compute","FIELD-COMP-INSTRUCTION-TILE","precision_path_existing_or_repaired","Ampere sm_80 Tensor Core precision paths","datatype- and shape-specific mma/mma.sp Tiles","Ampere architecture; PTX 7.x; sm_80; datatype and sparse pattern specific","PTX ISA 7.x candidate;CAND-R1-GA100-05","reuse_via_architecture","architecture_relation_only","PTX Tile and measured WMMA/SASS expansion do not disclose physical array shape."
"compute","FIELD-COMP-ISSUE-WIDTH","component_candidate","GA100 SM warp scheduler/dispatch","32 thread/clk per scheduler or dispatch label","GA100 Figure 7; per processing block; diagram label","SRC-M2NA-NVIDIA-AMPERE-WP-2020","accept_direct","direct_GA100_statement","Keep the per-block label and do not equate it with warp size or aggregate instruction issue."
"compute","FIELD-COMP-SHARED-RESOURCE","component_candidate","GA100 SM","four processing blocks with scheduler, dispatch, register-file, execution, LD/ST and SFU resources","full GA100 SM diagram; do not infer unlabeled micro-units","SRC-M2NA-NVIDIA-AMPERE-WP-2020","accept_direct","direct_GA100_statement","The existing Tensor-format shared-resource fact must be deleted before reuse."
"compute","FIELD-COMP-THROUGHPUT","precision_path_candidate","GA100 per-SM dense FP16 input and FP32 accumulation path","1024 dense FP16/FP32 FMA per SM per clock","per SM; dense; FMA count not silently converted; no aggregate clock assumed","SRC-M2NA-NVIDIA-AMPERE-WP-2020","accept_direct","direct_GA100_statement","Per-SM per-clock throughput is separable from A100 product aggregate peaks."
"compute","FIELD-COMP-THROUGHPUT","excluded_upper_object","A100 enabled implementation","19.5/156/312/624/1248 and related TFLOPS/TOPS product peaks","108-SM A100; 1.41 GHz boost; dense or sparse-effective precision path","SRC-M2NA-NVIDIA-AMPERE-WP-2020;CAND-R1-GA100-02","exclude_out_of_scope","A100_enabled_only","Do not write A100 aggregate peaks as full GA100 throughput."
"compute","FIELD-COMP-THROUGHPUT","measurement_subject_A100","2022 A100 microbenchmark Table III","conflicting_unresolved","A100 family; original unit GB/s; exact SKU and software unresolved","CAND-R1-GA100-05","keep_conflicting_unresolved","conflict_candidate","The values resemble official TFLOPS/TOPS but the author unit cannot be silently corrected."
"compute","FIELD-COMP-UNIT-COUNT","component_candidate","full GA100 GPC/TPC/SM/FP32/Tensor Core/memory-controller components","8 GPC; 64 TPC; 128 SM; 8192 FP32 CUDA Core; 512 Tensor Core; 12 memory controllers","full_implementation; physical_design; totals and per-parent counts split into atomic facts","SRC-M2NA-NVIDIA-AMPERE-WP-2020","accept_direct","direct_full_GA100_design","Whitepaper p.19 explicitly distinguishes full GA100 from A100 implementation."
"compute","FIELD-COMP-UNIT-COUNT","excluded_upper_object","A100 enabled implementation","7 GPC; 108 SM; 6912 FP32 CUDA Core; 432 Tensor Core; 10 enabled memory controllers","A100_enabled","SRC-M2NA-NVIDIA-AMPERE-WP-2020;CAND-R1-GA100-02","exclude_out_of_scope","A100_enabled_only","These counts are retained only as implementation-boundary evidence."
"compute","FIELD-COMP-UNIT-NAME","component_candidate","GA100 GPC/TPC/SM/CUDA Core/Tensor Core/memory controller/Optical Flow components","source-native names plus normalized component types","full GA100 or explicit GA100 block-diagram scope","SRC-M2NA-NVIDIA-AMPERE-WP-2020","accept_direct","direct_GA100_statement","Create component records during staging rather than attaching all component facts to the object."
"compute","FIELD-COMP-UTILIZATION-LIMIT","software_binding","A100 CC 8.0 and sm_80 resource limits","64 warps/SM; register/thread and block/shared-memory limits; alignment and shape constraints","A100 enabled; CC 8.0; CUDA 11.x revision; per-SM/per-block/per-thread scope","CUDA C++ Programming Guide 11.x candidate;NVIDIA Ampere Tuning Guide 11.x candidate","accept_conditional_observation","software_target_only","Software-visible occupancy and API limits are not sustained utilization measurements."
"compute","FIELD-COMP-VENDOR-AI-TOPS","object","OBJ-NVIDIA-GA100-DIE","not_applicable","full GA100 die","SRC-M2NA-NVIDIA-AMPERE-WP-2020;CAND-R1-GA100-02","register_not_applicable","out_of_scope","Vendor aggregate AI peaks are stated for A100 products, not the frozen die object."
"derived","FIELD-DER-CAPACITY-COMPUTE","object","OBJ-NVIDIA-GA100-DIE","pending_verification","derive only from same-object, same-scope capacity and dense matrix peak","SRC-M2NA-NVIDIA-AMPERE-WP-2020","derive_after_scope_closure","derived_only","Do not pair A100 L2/HBM capacity with full GA100 compute counts."
"derived","FIELD-DER-COMPUTE-BW-SPEC","object_or_precision_path","OBJ-NVIDIA-GA100-DIE and compatible precision path","pending_verification","same object, precision, direction, traffic basis and count rule","SRC-M2NA-NVIDIA-AMPERE-WP-2020;CAND-R1-GA100-02","derive_after_scope_closure","derived_only","No compatible full-die bandwidth denominator is frozen."
"derived","FIELD-DER-COMPUTE-BW-SUSTAINED","object","OBJ-NVIDIA-GA100-DIE","pending_verification","same object and sustained measured bandwidth with complete condition set","CAND-R1-GA100-05;CAND-R1-GA100-06","derive_after_scope_closure","derived_only","A100 microbenchmark observations cannot be divided into a full GA100 peak."
"derived","FIELD-DER-INTERCONNECT-COMPUTE","object","OBJ-NVIDIA-GA100-DIE","pending_verification","single-direction per-device injection and compatible matrix peak","SRC-M2NA-NVIDIA-AMPERE-WP-2020;CAND-R1-GA100-02","derive_after_scope_closure","derived_only","A100 300 GB/s per direction and full GA100 compute are different scopes."
"derived","FIELD-DER-MATRIX-VECTOR","object","OBJ-NVIDIA-GA100-DIE","pending_verification","compatible matrix/vector operations and count rules","SRC-M2NA-NVIDIA-AMPERE-WP-2020;CAND-R1-GA100-05","derive_after_scope_closure","derived_only","No compatible vector peak was found."
"derived","FIELD-DER-MOVE-MATRIX","object","OBJ-NVIDIA-GA100-DIE","pending_verification","explicit data width, direction, scope and matrix path","SRC-M2NA-NVIDIA-AMPERE-WP-2020;CUDA C++ Programming Guide 11.x candidate","derive_after_scope_closure","derived_only","Async-copy semantics do not provide a sustained byte/s numerator."
"economics","FIELD-ECON-PUBLISHED-PRICE","object","OBJ-NVIDIA-GA100-DIE","not_applicable","GA100 die is not offered as a separately priced public product","CAND-R1-GA100-01;CAND-R1-GA100-02;CAND-R1-GA100-09","register_not_applicable","out_of_scope","A100 card, cloud, DGX/HGX and secondary-market prices cannot be divided down to the die."
"identity","FIELD-ID-ARCH","object_relation","OREL-NVIDIA-GA100-IMPLEMENTS-AMPERE","OBJ-NVIDIA-AMPERE-ARCH","unique implements_architecture relation","SRC-M2NA-NVIDIA-AMPERE-WP-2020;CAND-R1-GA100-10","accept_relation_projection","direct_identity_chain","Project architecture field must project from the relationship and must not create an Ampere text fact."
"identity","FIELD-ID-AVAILABILITY-DATE","object","OBJ-NVIDIA-GA100-DIE","pending_verification","GA100 die; first availability distinct from A100 product availability","CAND-R1-GA100-07;CAND-R1-GA100-10","keep_pending_verification","subject_not_directly_published","A100 product availability cannot automatically become the die availability date."
"identity","FIELD-ID-DATA-CUTOFF","object","OBJ-NVIDIA-GA100-DIE","2026-08-21","project review cutoff","project task boundary","accept_project_metadata","administrative","Administrative metadata, not a vendor specification."
"identity","FIELD-ID-DEPLOYMENT","object","OBJ-NVIDIA-GA100-DIE","pending_verification","die deployment only through explicit product/object relations","CAND-R1-GA100-10","keep_pending_verification","subject_not_directly_published","A100/A30 use can support later relationships; DGX/HGX deployments are system facts."
"identity","FIELD-ID-DEPLOYMENT-CONSTRAINT","object","OBJ-NVIDIA-GA100-DIE","not_applicable","standalone die object","SRC-M2NA-NVIDIA-AMPERE-WP-2020;CAND-R1-GA100-02","register_not_applicable","out_of_scope","Board power, cooling, host and network constraints belong to module/card/system objects."
"identity","FIELD-ID-DESIGN-OBJECTIVE","object","OBJ-NVIDIA-GA100-DIE","pending_verification","GA100 die wording required; A100 product objectives kept as context","SRC-M2NA-NVIDIA-AMPERE-WP-2020;CAND-R1-GA100-02","keep_pending_verification","A100_product_context","Strong-scaling and throughput objectives in the sources are mainly expressed for A100."
"identity","FIELD-ID-FAMILY","object","OBJ-NVIDIA-GA100-DIE","GA100","die family/codename","SRC-M2NA-NVIDIA-AMPERE-WP-2020;CAND-R1-GA100-10","accept_direct","direct_GA100_statement","The whitepaper and MIG support mapping stabilize the GA100 identity."
"identity","FIELD-ID-MARKET-ACCESS-CONSTRAINT","object","OBJ-NVIDIA-GA100-DIE","pending_verification","region and effective date required","none beyond current reading package","keep_pending_verification","search_not_started_for_field","No field-specific market-access search was completed; do not infer from A100 regional sales."
"identity","FIELD-ID-NAME","object","OBJ-NVIDIA-GA100-DIE","NVIDIA GA100 die","frozen full physical die design","SRC-M2NA-NVIDIA-AMPERE-WP-2020;CAND-R1-GA100-10","accept_direct","direct_identity_chain","The object name must remain distinct from A100 products and from the Ampere architecture object."
"identity","FIELD-ID-OBJECT-TYPE","object","OBJ-NVIDIA-GA100-DIE","die","frozen project scope","SRC-M2NA-NVIDIA-AMPERE-WP-2020;project frozen list","accept_direct","direct_identity_chain","Die photo and direct GA100 GPU wording support the physical-object interpretation."
"identity","FIELD-ID-REGION","object","OBJ-NVIDIA-GA100-DIE","not_applicable","no distinct GA100 die region variant established","CAND-R1-GA100-10","register_not_applicable","out_of_scope","Regional A100 products would require separate product objects."
"identity","FIELD-ID-RELEASE-DATE","object","OBJ-NVIDIA-GA100-DIE","pending_verification","die announcement/publication date; do not substitute A100 launch date","CAND-R1-GA100-07;SRC-M2NA-NVIDIA-AMPERE-WP-2020","keep_pending_verification","subject_not_directly_published","The fixed whitepaper source has no accepted publication_date and the press release is product-scoped."
"identity","FIELD-ID-SKU","object","OBJ-NVIDIA-GA100-DIE","not_applicable","full physical die design rather than a marketed SKU","CAND-R1-GA100-10;A100 PCIe product-brief candidates","register_not_applicable","out_of_scope","GA100-xxx device identifiers and A100 SKUs belong to product implementations or relationships."
"identity","FIELD-ID-STATUS","object","OBJ-NVIDIA-GA100-DIE","historical_anchor","project frozen-list status as of cutoff","project frozen list","accept_project_metadata","administrative","This is the project scope status, not a claim of separate die market availability."
"identity","FIELD-ID-TARGET-USE-POSITIONING","object","OBJ-NVIDIA-GA100-DIE","pending_verification","direct GA100 wording and document version required","SRC-M2NA-NVIDIA-AMPERE-WP-2020;CAND-R1-GA100-07;CAND-R1-GA100-09","keep_pending_verification","A100_product_context","Training, inference and HPC positioning is public for A100 products; it should not be copied to the die without explicit scope."
"identity","FIELD-ID-VENDOR","object","OBJ-NVIDIA-GA100-DIE","NVIDIA","unconditional identity","SRC-M2NA-NVIDIA-AMPERE-WP-2020;CAND-R1-GA100-10","accept_direct","direct_GA100_statement","Direct first-party identity evidence."
"identity","FIELD-ID-VENDOR-POSITIONING","object","OBJ-NVIDIA-GA100-DIE","pending_verification","direct GA100 wording and time version required","SRC-M2NA-NVIDIA-AMPERE-WP-2020;CAND-R1-GA100-07;CAND-R1-GA100-09","keep_pending_verification","A100_product_context","Do not use A100 or DGX marketing copy as an unconditional die position."
"interconnect","FIELD-INT-AGGREGATE-BW","excluded_upper_object","A100 device NVLink configuration","600 GB/s bidirectional aggregate","12-link A100; 25 GB/s per link per direction; vendor nameplate","SRC-M2NA-NVIDIA-AMPERE-WP-2020;CAND-R1-GA100-02","exclude_out_of_scope","A100_enabled_only","The value is not full-GA100 single-direction injection or a system bisection bandwidth."
"interconnect","FIELD-INT-BISECTION-BW","topology_candidate","GA100 on-chip or device-direct topology","not_found","die/link topology; DGX and NVSwitch excluded","SRC-M2NA-NVIDIA-AMPERE-WP-2020;CAND-R1-GA100-02","register_not_found_after_search_log","gap_after_planned_reading","Available bisection claims are system/topology values, not die facts."
"interconnect","FIELD-INT-COLLECTIVE","link_candidate","GA100/NVLink device-direct link","not_found","hardware collective offload only","SRC-M2NA-NVIDIA-AMPERE-WP-2020;CAND-R1-GA100-02;CUDA C++ Programming Guide 11.x candidate","register_not_found_after_search_log","gap_after_planned_reading","NCCL or Cooperative Groups software support does not prove network collective offload."
"interconnect","FIELD-INT-DEGREE","topology_candidate","GA100 on-chip or device-direct topology","not_found","physical/logical degree distinguished; system topology excluded","SRC-M2NA-NVIDIA-AMPERE-WP-2020;CAND-R1-GA100-02","register_not_found_after_search_log","gap_after_planned_reading","No die-level topology degree was disclosed."
"interconnect","FIELD-INT-FAULT","link_existing_or_repaired","LINK-M2NA-AMPERE-NVLINK3","link-level error detection, packet replay, non-posted write attribution and remote page-fault return","NVLink 3 mechanism; link scope","SRC-M2NA-NVIDIA-AMPERE-WP-2020;CAND-R1-GA100-03","reuse_via_architecture","architecture_relation_only","Do not generalize link fault handling to compute replay or job restart."
"interconnect","FIELD-INT-HOPS","topology_candidate","GA100 on-chip or device-direct topology","not_found","single-hop/endpoint path required; DGX excluded","SRC-M2NA-NVIDIA-AMPERE-WP-2020;CAND-R1-GA100-02","register_not_found_after_search_log","gap_after_planned_reading","No qualified die-level hop count was found."
"interconnect","FIELD-INT-INJECTION-BW","excluded_upper_object","A100 device NVLink configuration","300 GB/s each direction","12-link A100 device; vendor nameplate","CAND-R1-GA100-02;SRC-M2NA-NVIDIA-AMPERE-WP-2020","exclude_out_of_scope","A100_enabled_only","Keep only on an A100 implementation or product record."
"interconnect","FIELD-INT-LANE-COUNT","link_existing_or_repaired","LINK-M2NA-AMPERE-NVLINK3","4 differential signal pairs per direction per NVLink","NVLink 3; per link; direction retained","SRC-M2NA-NVIDIA-AMPERE-WP-2020;CAND-R1-GA100-03","reuse_via_architecture","architecture_relation_only","Lane/signal-pair wording belongs to the link mechanism, not the GA100 object."
"interconnect","FIELD-INT-LATENCY","link_candidate","NVLink3 LR PHY","not_found","absolute single-hop or endpoint latency required","CAND-R1-GA100-02","register_not_found_after_search_log","gap_after_planned_reading","Tens of nanoseconds saved by avoiding FEC is a relative delta, not an absolute latency."
"interconnect","FIELD-INT-LINK-COUNT","link_candidate","full GA100 NVLink physical endpoints","pending_verification","full_design; distinguish diagram-inferred from A100 enabled 12-link text","SRC-M2NA-NVIDIA-AMPERE-WP-2020;CAND-R1-GA100-02","keep_pending_verification","diagram_inferred_or_A100_enabled","Figure 6 shows 12 labels, while direct text with 12 links is A100-scoped."
"interconnect","FIELD-INT-MAX-SCALE","topology_candidate","GA100 device-direct or scale-up topology","not_applicable","standalone die; system scale belongs to DGX/HGX/NVSwitch","CAND-R1-GA100-02","register_not_applicable","out_of_scope","Maximum GPU, rack or pod scale is an upper-object property."
"interconnect","FIELD-INT-OVERSUBSCRIPTION","topology_candidate","GA100 device-direct or scale-up topology","not_applicable","standalone die; system network excluded","CAND-R1-GA100-02","register_not_applicable","out_of_scope","Non-blocking DGX topology is a system property."
"interconnect","FIELD-INT-PER-LINK-RATE","link_existing_or_repaired","LINK-M2NA-AMPERE-NVLINK3","25 GB/s per link per direction; 50 Gbit/s per signal pair raw context","NVLink 3; keep raw-line and payload/nameplate wording separate","SRC-M2NA-NVIDIA-AMPERE-WP-2020;CAND-R1-GA100-02","reuse_via_architecture","architecture_relation_only","Do not call 50 Gbit/s the complete logical-link payload without the lane definition."
"interconnect","FIELD-INT-PHYSICAL-LINK-COUNT","link_candidate","full GA100 NVLink physical endpoints","pending_verification","full_design; direct text required","SRC-M2NA-NVIDIA-AMPERE-WP-2020;CAND-R1-GA100-02","keep_pending_verification","diagram_inferred_or_A100_enabled","Do not promote A100 enabled link count or block-diagram counting to an unconditional full-die value."
"interconnect","FIELD-INT-PROTOCOL","link_existing_or_repaired","LINK-M2NA-AMPERE-NVLINK3","third-generation NVLink","Ampere architecture link","SRC-M2NA-NVIDIA-AMPERE-WP-2020","reuse_via_architecture","architecture_relation_only","Existing formal protocol fact remains on the architecture link."
"interconnect","FIELD-INT-PROTOCOL","link_candidate","GA100 host interface","PCI Express 4.0 host interface","full GA100 Figure 6; protocol existence only","SRC-M2NA-NVIDIA-AMPERE-WP-2020","accept_direct","direct_full_GA100_design","Do not add A100 PCIe x16 31.5 GB/s or SR-IOV values without product/software conditions."
"interconnect","FIELD-INT-REMOTE-MEMORY","link_existing_or_repaired","LINK-M2NA-AMPERE-NVLINK3","peer GPU memory access and remote page-fault return","NVLink 3 mechanism; consistency and atomics not specified","SRC-M2NA-NVIDIA-AMPERE-WP-2020","reuse_via_architecture","architecture_relation_only","Remote-memory mechanism does not supply latency, sustained bandwidth or a complete consistency model."
"interconnect","FIELD-INT-TOPOLOGY","topology_candidate","GA100 on-chip topology","not_found","on-chip topology only; DGX/NVSwitch excluded","SRC-M2NA-NVIDIA-AMPERE-WP-2020;CAND-R1-GA100-02","register_not_found_after_search_log","gap_after_planned_reading","Block diagrams do not state a formal on-chip topology or routing model."
"interconnect","FIELD-INT-TOPOLOGY-DIMENSIONS","topology_candidate","GA100 on-chip topology","not_found","on-chip topology only","SRC-M2NA-NVIDIA-AMPERE-WP-2020;CAND-R1-GA100-02","register_not_found_after_search_log","gap_after_planned_reading","No formal dimension count was disclosed."
"interconnect","FIELD-INT-TOPOLOGY-NODE-COUNT","topology_candidate","GA100 on-chip topology","not_found","topology node definition required","SRC-M2NA-NVIDIA-AMPERE-WP-2020;CAND-R1-GA100-02","register_not_found_after_search_log","gap_after_planned_reading","Component counts cannot be relabeled as topology nodes."
"interconnect","FIELD-INT-TOPOLOGY-ROUTING","topology_candidate","GA100 on-chip topology","not_found","routing/path-selection mechanism required","SRC-M2NA-NVIDIA-AMPERE-WP-2020;CAND-R1-GA100-02","register_not_found_after_search_log","gap_after_planned_reading","No die-level routing algorithm was found."
"memory","FIELD-MEM-AGGREGATION-VALIDITY","component_candidate","GA100 per-SM register and combined L1/shared-memory components","not_aggregatable","full GA100; distributed per SM","SRC-M2NA-NVIDIA-AMPERE-WP-2020","accept_direct","direct_GA100_statement","Use the registered enum. Per-SM capacities must not become one software-visible shared pool."
"memory","FIELD-MEM-BANKS","component_candidate","GA100 register/L1/shared/L2 components","not_found","physical or logical banks with conflict conditions","SRC-M2NA-NVIDIA-AMPERE-WP-2020;CAND-R1-GA100-02;CAND-R1-GA100-05","register_not_found_after_search_log","gap_after_planned_reading","L2 slices, MIG groups and resource groups are not interchangeable with bank count."
"memory","FIELD-MEM-BIDIR-BW","component_candidate","GA100 memory components","not_found","die-level component; direction and aggregation required","SRC-M2NA-NVIDIA-AMPERE-WP-2020;CAND-R1-GA100-02","register_not_found_after_search_log","gap_after_planned_reading","HBM nameplate bandwidth belongs to A100 product configurations."
"memory","FIELD-MEM-CAPACITY","component_candidate","GA100 SM register file and combined L1/shared memory","256 KB register file per SM; 192 KB combined L1 data cache/shared memory per SM","per SM; physical capacity; shared allocation kept separate","SRC-M2NA-NVIDIA-AMPERE-WP-2020","accept_direct","direct_GA100_statement","Figure 7 and the whitepaper directly support GA100 SM capacities."
"memory","FIELD-MEM-CAPACITY","excluded_upper_object","A100 enabled L2 and HBM configurations","40 MB L2; 40/80 GB HBM product capacities","A100 enabled implementation or SXM/PCIe product","SRC-M2NA-NVIDIA-AMPERE-WP-2020;CAND-R1-GA100-02;CAND-R1-GA100-06","exclude_out_of_scope","A100_enabled_or_product_only","These values cannot become unconditional full-GA100 capacities."
"memory","FIELD-MEM-COMPRESSION","component_or_capability_candidate","A100/GA100 Compute Data Compression path","CUDA 11 marks a buffer compressible; L2 hardware checks patterns and conditionally compresses writes","A100 implementation; CUDA 11; pattern dependent; vendor upper bounds not sustained guarantees","CAND-R1-GA100-03;SRC-M2NA-NVIDIA-AMPERE-WP-2020","accept_conditional_observation","A100_enabled_and_software_bound","Keep separate from structured sparse MMA and do not multiply base bandwidth or capacity by 2x-4x."
"memory","FIELD-MEM-CONSISTENCY","component_candidate","A100 full-GPU L2/memory system","hardware cache coherence maintains CUDA memory consistency across full GPU","A100 full-GPU mode; MIG partition conditions separate; protocol not public","SRC-M2NA-NVIDIA-AMPERE-WP-2020;CAND-R1-GA100-02","accept_conditional_observation","A100_enabled_only","The statement is not a published full-GA100 physical coherence protocol."
"memory","FIELD-MEM-DMA","component_existing_or_repaired","COMP-M2NA-AMPERE-ASYNC-COPY","hardware-accelerated global-to-shared asynchronous copy without intermediate register staging","Ampere architecture; global-to-shared only; cache variant, alignment, size and wait rules retained","SRC-M2NA-NVIDIA-AMPERE-WP-2020;PTX ISA 7.x candidate;CUDA C++ Programming Guide 11.x candidate","reuse_via_architecture","architecture_relation_only","Repair the existing fact from execution-model to DMA before reuse."
