"table_name","pk","from_status","to_status","freeze_aggregate_sha256"
"fact-assertions.csv","ASSERT-M2W2-AMD-HELIOS-0002","draft","reviewed","9f87160dcafd5061abd1b01a57b5df2a63c2c662446bd3a436f2d9da5034fad5"
"fact-assertions.csv","ASSERT-M2W2-AMD-HELIOS-0003","draft","reviewed","9f87160dcafd5061abd1b01a57b5df2a63c2c662446bd3a436f2d9da5034fad5"
"fact-assertions.csv","ASSERT-M2W2-AMD-HELIOS-0004","draft","reviewed","9f87160dcafd5061abd1b01a57b5df2a63c2c662446bd3a436f2d9da5034fad5"
"fact-assertions.csv","ASSERT-M2W2-AMD-HELIOS-0005","draft","reviewed","9f87160dcafd5061abd1b01a57b5df2a63c2c662446bd3a436f2d9da5034fad5"
"fact-assertions.csv","ASSERT-M2W2-AMD-HELIOS-0006","draft","reviewed","9f87160dcafd5061abd1b01a57b5df2a63c2c662446bd3a436f2d9da5034fad5"
"fact-assertions.csv","ASSERT-M2W2-AMD-HELIOS-0007","draft","reviewed","9f87160dcafd5061abd1b01a57b5df2a63c2c662446bd3a436f2d9da5034fad5"
"fact-assertions.csv","ASSERT-M2W2-AMD-HELIOS-0008","draft","reviewed","9f87160dcafd5061abd1b01a57b5df2a63c2c662446bd3a436f2d9da5034fad5"
"fact-assertions.csv","ASSERT-M2W2-AMD-HELIOS-0009","draft","reviewed","9f87160dcafd5061abd1b01a57b5df2a63c2c662446bd3a436f2d9da5034fad5"
"fact-assertions.csv","ASSERT-M2W2-AMD-HELIOS-0010","draft","reviewed","9f87160dcafd5061abd1b01a57b5df2a63c2c662446bd3a436f2d9da5034fad5"
"fact-assertions.csv","ASSERT-M2W2-AMD-HELIOS-0012","draft","reviewed","9f87160dcafd5061abd1b01a57b5df2a63c2c662446bd3a436f2d9da5034fad5"
"fact-assertions.csv","ASSERT-M2W2-AMD-HELIOS-0013","draft","reviewed","9f87160dcafd5061abd1b01a57b5df2a63c2c662446bd3a436f2d9da5034fad5"
"fact-assertions.csv","ASSERT-M2W2-AMD-HELIOS-0014","draft","reviewed","9f87160dcafd5061abd1b01a57b5df2a63c2c662446bd3a436f2d9da5034fad5"
"fact-assertions.csv","ASSERT-M2W2-AMD-HELIOS-0015","draft","reviewed","9f87160dcafd5061abd1b01a57b5df2a63c2c662446bd3a436f2d9da5034fad5"
"fact-assertions.csv","ASSERT-M2W2-AMD-HELIOS-0016","draft","reviewed","9f87160dcafd5061abd1b01a57b5df2a63c2c662446bd3a436f2d9da5034fad5"
"fact-assertions.csv","ASSERT-M2W2-AMD-HELIOS-0017","draft","reviewed","9f87160dcafd5061abd1b01a57b5df2a63c2c662446bd3a436f2d9da5034fad5"
"fact-assertions.csv","ASSERT-M2W2-AMD-HELIOS-0018","draft","reviewed","9f87160dcafd5061abd1b01a57b5df2a63c2c662446bd3a436f2d9da5034fad5"
"fact-assertions.csv","ASSERT-M2W2-AMD-HELIOS-0019","draft","reviewed","9f87160dcafd5061abd1b01a57b5df2a63c2c662446bd3a436f2d9da5034fad5"
"fact-assertions.csv","ASSERT-M2W2-AMD-HELIOS-0020","draft","reviewed","9f87160dcafd5061abd1b01a57b5df2a63c2c662446bd3a436f2d9da5034fad5"
"fact-assertions.csv","ASSERT-M2W2-AMD-HELIOS-0021","draft","reviewed","9f87160dcafd5061abd1b01a57b5df2a63c2c662446bd3a436f2d9da5034fad5"
"fact-assertions.csv","ASSERT-M2W2-AMD-HELIOS-0022","draft","reviewed","9f87160dcafd5061abd1b01a57b5df2a63c2c662446bd3a436f2d9da5034fad5"
"facts.csv","FACT-M2W2-AMD-HELIOS-COOLING","draft","reviewed","9f87160dcafd5061abd1b01a57b5df2a63c2c662446bd3a436f2d9da5034fad5"
"facts.csv","FACT-M2W2-AMD-HELIOS-FORM-FACTOR","draft","reviewed","9f87160dcafd5061abd1b01a57b5df2a63c2c662446bd3a436f2d9da5034fad5"
"facts.csv","FACT-M2W2-AMD-HELIOS-HBM4-BW","draft","reviewed","9f87160dcafd5061abd1b01a57b5df2a63c2c662446bd3a436f2d9da5034fad5"
"facts.csv","FACT-M2W2-AMD-HELIOS-HBM4-CAP","draft","reviewed","9f87160dcafd5061abd1b01a57b5df2a63c2c662446bd3a436f2d9da5034fad5"
"facts.csv","FACT-M2W2-AMD-HELIOS-MI455X-QTY","draft","reviewed","9f87160dcafd5061abd1b01a57b5df2a63c2c662446bd3a436f2d9da5034fad5"
"facts.csv","FACT-M2W2-AMD-HELIOS-MXFP4-PEAK","draft","reviewed","9f87160dcafd5061abd1b01a57b5df2a63c2c662446bd3a436f2d9da5034fad5"
"facts.csv","FACT-M2W2-AMD-HELIOS-MXFP8-PEAK","draft","reviewed","9f87160dcafd5061abd1b01a57b5df2a63c2c662446bd3a436f2d9da5034fad5"
"facts.csv","FACT-M2W2-AMD-HELIOS-NAME","draft","reviewed","9f87160dcafd5061abd1b01a57b5df2a63c2c662446bd3a436f2d9da5034fad5"
"facts.csv","FACT-M2W2-AMD-HELIOS-NOT-FOR-SALE","draft","reviewed","9f87160dcafd5061abd1b01a57b5df2a63c2c662446bd3a436f2d9da5034fad5"
"facts.csv","FACT-M2W2-AMD-HELIOS-OBJECT-TYPE","draft","reviewed","9f87160dcafd5061abd1b01a57b5df2a63c2c662446bd3a436f2d9da5034fad5"
"facts.csv","FACT-M2W2-AMD-HELIOS-REFERENCE-DESIGN","draft","reviewed","9f87160dcafd5061abd1b01a57b5df2a63c2c662446bd3a436f2d9da5034fad5"
"facts.csv","FACT-M2W2-AMD-HELIOS-SCALEOUT-BW","draft","reviewed","9f87160dcafd5061abd1b01a57b5df2a63c2c662446bd3a436f2d9da5034fad5"
"facts.csv","FACT-M2W2-AMD-HELIOS-SCALEOUT-PROTOCOL","draft","reviewed","9f87160dcafd5061abd1b01a57b5df2a63c2c662446bd3a436f2d9da5034fad5"
"facts.csv","FACT-M2W2-AMD-HELIOS-SCALEUP-BW","draft","reviewed","9f87160dcafd5061abd1b01a57b5df2a63c2c662446bd3a436f2d9da5034fad5"
"facts.csv","FACT-M2W2-AMD-HELIOS-SCALEUP-PROTOCOL","draft","reviewed","9f87160dcafd5061abd1b01a57b5df2a63c2c662446bd3a436f2d9da5034fad5"
"facts.csv","FACT-M2W2-AMD-HELIOS-SCALEUP-TOPOLOGY","draft","reviewed","9f87160dcafd5061abd1b01a57b5df2a63c2c662446bd3a436f2d9da5034fad5"
"facts.csv","FACT-M2W2-AMD-HELIOS-STATUS-EXPECTED-2H26","draft","reviewed","9f87160dcafd5061abd1b01a57b5df2a63c2c662446bd3a436f2d9da5034fad5"
"field-requirements.csv","REQ-M2W2-AMD-HELIOS-0001","draft","reviewed","9f87160dcafd5061abd1b01a57b5df2a63c2c662446bd3a436f2d9da5034fad5"
"field-requirements.csv","REQ-M2W2-AMD-HELIOS-0002","draft","reviewed","9f87160dcafd5061abd1b01a57b5df2a63c2c662446bd3a436f2d9da5034fad5"
"field-requirements.csv","REQ-M2W2-AMD-HELIOS-0003","draft","reviewed","9f87160dcafd5061abd1b01a57b5df2a63c2c662446bd3a436f2d9da5034fad5"
"field-requirements.csv","REQ-M2W2-AMD-HELIOS-0004","draft","reviewed","9f87160dcafd5061abd1b01a57b5df2a63c2c662446bd3a436f2d9da5034fad5"
"field-requirements.csv","REQ-M2W2-AMD-HELIOS-0005","draft","reviewed","9f87160dcafd5061abd1b01a57b5df2a63c2c662446bd3a436f2d9da5034fad5"
"field-requirements.csv","REQ-M2W2-AMD-HELIOS-0006","draft","reviewed","9f87160dcafd5061abd1b01a57b5df2a63c2c662446bd3a436f2d9da5034fad5"
"field-requirements.csv","REQ-M2W2-AMD-HELIOS-0007","draft","reviewed","9f87160dcafd5061abd1b01a57b5df2a63c2c662446bd3a436f2d9da5034fad5"
"field-requirements.csv","REQ-M2W2-AMD-HELIOS-0009","draft","reviewed","9f87160dcafd5061abd1b01a57b5df2a63c2c662446bd3a436f2d9da5034fad5"
"field-requirements.csv","REQ-M2W2-AMD-HELIOS-0010","draft","reviewed","9f87160dcafd5061abd1b01a57b5df2a63c2c662446bd3a436f2d9da5034fad5"
"field-requirements.csv","REQ-M2W2-AMD-HELIOS-0011","draft","reviewed","9f87160dcafd5061abd1b01a57b5df2a63c2c662446bd3a436f2d9da5034fad5"
"field-requirements.csv","REQ-M2W2-AMD-HELIOS-0012","draft","reviewed","9f87160dcafd5061abd1b01a57b5df2a63c2c662446bd3a436f2d9da5034fad5"
"field-requirements.csv","REQ-M2W2-AMD-HELIOS-0013","draft","reviewed","9f87160dcafd5061abd1b01a57b5df2a63c2c662446bd3a436f2d9da5034fad5"
"field-requirements.csv","REQ-M2W2-AMD-HELIOS-0014","draft","reviewed","9f87160dcafd5061abd1b01a57b5df2a63c2c662446bd3a436f2d9da5034fad5"
"field-requirements.csv","REQ-M2W2-AMD-HELIOS-0015","draft","reviewed","9f87160dcafd5061abd1b01a57b5df2a63c2c662446bd3a436f2d9da5034fad5"
"field-requirements.csv","REQ-M2W2-AMD-HELIOS-0016","draft","reviewed","9f87160dcafd5061abd1b01a57b5df2a63c2c662446bd3a436f2d9da5034fad5"
"field-requirements.csv","REQ-M2W2-AMD-HELIOS-0017","draft","reviewed","9f87160dcafd5061abd1b01a57b5df2a63c2c662446bd3a436f2d9da5034fad5"
"links.csv","LINK-M2W2-AMD-HELIOS-SCALEOUT","draft","reviewed","9f87160dcafd5061abd1b01a57b5df2a63c2c662446bd3a436f2d9da5034fad5"
"links.csv","LINK-M2W2-AMD-HELIOS-SCALEUP","draft","reviewed","9f87160dcafd5061abd1b01a57b5df2a63c2c662446bd3a436f2d9da5034fad5"
"memory-levels.csv","COMP-M2W2-AMD-HELIOS-HBM4-AGG","draft","reviewed","9f87160dcafd5061abd1b01a57b5df2a63c2c662446bd3a436f2d9da5034fad5"
"precision-paths.csv","PPATH-M2W2-AMD-HELIOS-MXFP4","draft","reviewed","9f87160dcafd5061abd1b01a57b5df2a63c2c662446bd3a436f2d9da5034fad5"
"precision-paths.csv","PPATH-M2W2-AMD-HELIOS-MXFP8","draft","reviewed","9f87160dcafd5061abd1b01a57b5df2a63c2c662446bd3a436f2d9da5034fad5"
"selection-members.csv","SELMEM-M2W2-AMD-CES2026-RELEASE","draft","reviewed","9f87160dcafd5061abd1b01a57b5df2a63c2c662446bd3a436f2d9da5034fad5"
"selection-members.csv","SELMEM-M2W2-AMD-HELIOS-PRODUCT","draft","reviewed","9f87160dcafd5061abd1b01a57b5df2a63c2c662446bd3a436f2d9da5034fad5"
"selection-members.csv","SELMEM-M2W2-AMD-MI400-LANDING","draft","reviewed","9f87160dcafd5061abd1b01a57b5df2a63c2c662446bd3a436f2d9da5034fad5"
"selection-runs.csv","SELRUN-M2W2-AMD-HELIOS-20260813","draft","reviewed","9f87160dcafd5061abd1b01a57b5df2a63c2c662446bd3a436f2d9da5034fad5"
"source-coverage.csv","COV-M2W2-AMD-MI400-BY-HELIOS","draft","reviewed","9f87160dcafd5061abd1b01a57b5df2a63c2c662446bd3a436f2d9da5034fad5"
"source-endpoints.csv","END-M2W2-AMD-HELIOS-PRODUCT-REMOTE","draft","reviewed","9f87160dcafd5061abd1b01a57b5df2a63c2c662446bd3a436f2d9da5034fad5"
"source-endpoints.csv","END-M2W2-AMD-HELIOS-PRODUCT-SNAPSHOT","draft","reviewed","9f87160dcafd5061abd1b01a57b5df2a63c2c662446bd3a436f2d9da5034fad5"
"source-endpoints.csv","END-M2W2-AMD-MI400-LANDING-REMOTE","draft","reviewed","9f87160dcafd5061abd1b01a57b5df2a63c2c662446bd3a436f2d9da5034fad5"
"source-endpoints.csv","END-M2W2-AMD-MI400-LANDING-SNAPSHOT","draft","reviewed","9f87160dcafd5061abd1b01a57b5df2a63c2c662446bd3a436f2d9da5034fad5"
"source-families.csv","SFAM-M2W2-AMD-HELIOS-PRODUCT","draft","reviewed","9f87160dcafd5061abd1b01a57b5df2a63c2c662446bd3a436f2d9da5034fad5"
"source-families.csv","SFAM-M2W2-AMD-MI400-LANDING","draft","reviewed","9f87160dcafd5061abd1b01a57b5df2a63c2c662446bd3a436f2d9da5034fad5"
"sources.csv","SRC-M2W2-AMD-HELIOS-PRODUCT-20260813","draft","reviewed","9f87160dcafd5061abd1b01a57b5df2a63c2c662446bd3a436f2d9da5034fad5"
"sources.csv","SRC-M2W2-AMD-MI400-LANDING-20260813","draft","reviewed","9f87160dcafd5061abd1b01a57b5df2a63c2c662446bd3a436f2d9da5034fad5"
"source-screening.csv","SCREEN-M2W2-AMD-HELIOS-PRODUCT","draft","reviewed","9f87160dcafd5061abd1b01a57b5df2a63c2c662446bd3a436f2d9da5034fad5"
"source-screening.csv","SCREEN-M2W2-AMD-MI400-LANDING","draft","reviewed","9f87160dcafd5061abd1b01a57b5df2a63c2c662446bd3a436f2d9da5034fad5"
"source-selected-roles.csv","SROLE-M2W2-AMD-CES2026-HELIOS-CORE","draft","reviewed","9f87160dcafd5061abd1b01a57b5df2a63c2c662446bd3a436f2d9da5034fad5"
"source-selected-roles.csv","SROLE-M2W2-AMD-CES2026-HELIOS-STATUS","draft","reviewed","9f87160dcafd5061abd1b01a57b5df2a63c2c662446bd3a436f2d9da5034fad5"
"source-selected-roles.csv","SROLE-M2W2-AMD-HELIOS-CORE","draft","reviewed","9f87160dcafd5061abd1b01a57b5df2a63c2c662446bd3a436f2d9da5034fad5"
"source-selected-roles.csv","SROLE-M2W2-AMD-HELIOS-IDENTITY","draft","reviewed","9f87160dcafd5061abd1b01a57b5df2a63c2c662446bd3a436f2d9da5034fad5"
"source-selected-roles.csv","SROLE-M2W2-AMD-HELIOS-STATUS","draft","reviewed","9f87160dcafd5061abd1b01a57b5df2a63c2c662446bd3a436f2d9da5034fad5"
"source-selected-roles.csv","SROLE-M2W2-AMD-MI400-CORE","draft","reviewed","9f87160dcafd5061abd1b01a57b5df2a63c2c662446bd3a436f2d9da5034fad5"
"topologies.csv","TOPO-M2W2-AMD-HELIOS-SCALEUP","draft","reviewed","9f87160dcafd5061abd1b01a57b5df2a63c2c662446bd3a436f2d9da5034fad5"
