"fact_id","source_id","claim_role","source_locator","raw_value_text","raw_value_number","raw_unit"
"FACT-M2NA-ADA-INT-A","SRC-M2NA-NVIDIA-ADA-WP-2022","architecture_mechanism","PDF p.30, Table 2, INT Tensor rows","INT8 and INT4","",""
"FACT-M2NA-ADA-SPARSE-LEVEL","SRC-M2NA-NVIDIA-ADA-WP-2022","architecture_mechanism","PDF p.30, Table 2 and footnote 2","sparsity-adjusted Tensor rates","",""
"FACT-M2NA-BLACKWELL-TENSOR-EXEC","SRC-M2NA-NVIDIA-BLACKWELL-BRIEF-V2-1","architecture_mechanism","PDF p.8, Blackwell Tensor Core Architecture","fifth-generation Tensor Core architecture","",""
"FACT-M2NA-BLACKWELL-TENSOR-FORMATS","SRC-M2NA-NVIDIA-BLACKWELL-BRIEF-V2-1","architecture_mechanism","PDF p.8, Table 1","FP64, FP32, TF32, FP16, BF16, FP8, INT8, FP6, FP4","",""
"FACT-M2NA-BLACKWELL-FP4-A","SRC-M2NA-NVIDIA-BLACKWELL-BRIEF-V2-1","architecture_mechanism","PDF pp.8-9, Tensor Core and Transformer Engine sections","FP4","",""
"FACT-M2NA-BLACKWELL-FP4-SCALE","SRC-M2NA-NVIDIA-BLACKWELL-HC36-2024","architecture_mechanism","Hot Chips PDF p.14, 5th Gen Tensor Core","Micro-tensor scale-factors applied to fixed-length vectors","",""
"FACT-M2NA-BLACKWELL-FP4-GRAN","SRC-M2NA-NVIDIA-BLACKWELL-HC36-2024","architecture_mechanism","Hot Chips PDF p.14, 5th Gen Tensor Core","Mapping of elements to scale-factors is fixed","",""
"FACT-M2NA-BLACKWELL-FP6-A","SRC-M2NA-NVIDIA-BLACKWELL-BRIEF-V2-1","architecture_mechanism","PDF p.8, Table 1","FP6","",""
"FACT-M2NA-BLACKWELL-FP8-A","SRC-M2NA-NVIDIA-BLACKWELL-BRIEF-V2-1","architecture_mechanism","PDF p.8, Table 1","FP8","",""
"FACT-M2NA-BLACKWELL-FP16-A","SRC-M2NA-NVIDIA-BLACKWELL-BRIEF-V2-1","architecture_mechanism","PDF p.8, Table 1","FP16, BF16","",""
"FACT-M2NA-BLACKWELL-HIGH-A","SRC-M2NA-NVIDIA-BLACKWELL-BRIEF-V2-1","architecture_mechanism","PDF p.8, Table 1","TF32, FP32, FP64","",""
"FACT-M2NA-BLACKWELL-SPARSE-MODE","SRC-M2NA-NVIDIA-PTX-ISA-9-3","architecture_mechanism","PTX ISA 9.3, section 9.7.17.10.8 Sparse Matrices, lines 22615-22624","structured sparse matrix with 50% zeros in each row","",""
"FACT-M2NA-BLACKWELL-TMEM-MGMT","SRC-M2NA-NVIDIA-PTX-ISA-9-3","architecture_mechanism","PTX ISA 9.3, sections 9.7.17.1.2 and 9.7.17.7.1, lines 20769-20774 and 21600-21624","dynamically allocated; explicitly deallocated","",""
"FACT-M2NA-BLACKWELL-TMEM-LOGICAL-SPACE","SRC-M2NA-NVIDIA-PTX-ISA-9-3","architecture_mechanism","PTX ISA 9.3, section 9.7.17.1 Tensor Memory, lines 20745-20750","512 columns and 128 rows per CTA","",""
"FACT-M2NA-BLACKWELL-TMEM-GRAN","SRC-M2NA-NVIDIA-PTX-ISA-9-3","architecture_mechanism","PTX ISA 9.3, section 9.7.17.1 Tensor Memory, line 20749","","32","bit/cell"
"FACT-M2NA-BLACKWELL-TMA-EXEC","SRC-M2NA-NVIDIA-PTX-ISA-9-3","architecture_mechanism","PTX ISA 9.3, section 9.7.9.26.5.2 cp.async.bulk.tensor, lines 11448-11464","cp.async.bulk.tensor","",""
"FACT-M2NA-BLACKWELL-NVHBI-PROTOCOL","SRC-M2NA-NVIDIA-BLACKWELL-BRIEF-V2-1","architecture_mechanism","PDF p.8, opening paragraph","NVIDIA High-Bandwidth Interface (NV-HBI)","",""
"FACT-M2NA-BLACKWELL-NVLINK5-PROTOCOL","SRC-M2NA-NVIDIA-BLACKWELL-BRIEF-V2-1","architecture_mechanism","PDF p.10, Fifth-Generation NVLink and NVLink Switch","fifth-generation NVLink","",""
"FACT-M2NA-BLACKWELL-TE-LEVEL","SRC-M2NA-NVIDIA-BLACKWELL-BRIEF-V2-1","architecture_mechanism","PDF p.9, Second-Generation Transformer Engine","second-generation Transformer Engine","",""
"FACT-M2NA-BLACKWELL-TE-DETAIL","SRC-M2NA-NVIDIA-BLACKWELL-HC36-2024","architecture_mechanism","Hot Chips PDF p.16, NVIDIA Quasar Quantization System","Transformer Engine HW and SW; Micro Tensor Scaling","",""
"FACT-M2NA-BLACKWELL-SPARSE-LEVEL","SRC-M2NA-NVIDIA-PTX-ISA-9-3","architecture_mechanism","PTX ISA 9.3, sections 9.7.17.10.8 and 9.7.17.10.9.2, lines 22615-22624 and 22973-23062","tcgen05.mma.sp","",""
"FACT-M2NA-BLACKWELL-TMA-LEVEL","SRC-M2NA-NVIDIA-PTX-ISA-9-3","architecture_mechanism","PTX ISA 9.3, section 9.7.9.26.5.2 cp.async.bulk.tensor, lines 11448-11464","tensorMap; tensorCoords","",""
"FACT-M2NA-BLACKWELL-TMA-DETAIL","SRC-M2NA-NVIDIA-PTX-ISA-9-3","architecture_mechanism","PTX ISA 9.3, section 9.7.9.26.5.2 cp.async.bulk.tensor, lines 11448-11465","cp.async.bulk.tensor; .tile","",""
"FACT-M2NA-BLACKWELL-RAS","SRC-M2NA-NVIDIA-BLACKWELL-BRIEF-V2-1","architecture_mechanism","PDF pp.11-12, RAS Engine","dedicated Reliability, Availability, and Serviceability (RAS) Engine","",""
"FACT-M2NA-BLACKWELL-SW","SRC-M2NA-NVIDIA-PTX-ISA-9-3","architecture_mechanism","PTX ISA 9.3, sections 9.7.17.7-9.7.17.10, lines 21600-23062","PTX; Tensorcore 5th Generation Instructions","",""
"FACT-M2NA-ULTRA-SFU-EXEC","SRC-M2NA-NVIDIA-BLACKWELL-ULTRA-SOFTMAX-2026","architecture_mechanism","snapshot paragraphs 20-21; section Alleviating the softmax bottleneck","MUFU.EX2 instruction","",""
"FACT-M2NA-ULTRA-EXP-REL","SRC-M2NA-NVIDIA-BLACKWELL-ULTRA-SOFTMAX-2026","architecture_mechanism","snapshot paragraph 36, Alleviating the softmax bottleneck","","2","ratio"
"FACT-M2NA-ULTRA-SOFTMAX-LEVEL","SRC-M2NA-NVIDIA-BLACKWELL-ULTRA-SOFTMAX-2026","architecture_mechanism","snapshot paragraphs 20-21","MUFU.EX2 instruction","",""
"FACT-M2NA-ULTRA-SOFTMAX-DETAIL","SRC-M2NA-NVIDIA-BLACKWELL-ULTRA-SOFTMAX-2026","architecture_mechanism","snapshot paragraphs 20-21 and 39-41","exponential function ... executed on Special Function Units","",""
"FACT-M2NA-RUBIN-TENSOR-EXEC","SRC-M2NA-NVIDIA-RUBIN-BLOG-20260721","architecture_mechanism","Fixed HTML snapshot, paragraphs 21 and 37-40","third-generation Transformer Engine; doubles the Tensor Core throughput per clock; 3-bit lookup-table format","",""
"FACT-M2NA-RUBIN-LUT3-B","SRC-M2NA-NVIDIA-RUBIN-BLOG-20260721","architecture_mechanism","Fixed HTML snapshot, paragraph 40","3-bit lookup-table format for matrix B","",""
"FACT-M2NA-RUBIN-SPARSE-MODE","SRC-M2NA-NVIDIA-RUBIN-BLOG-20260721","architecture_mechanism","Fixed HTML snapshot, paragraph 43","structured 2:4 sparse compressed form","",""
"FACT-M2NA-RUBIN-TMA-EXEC","SRC-M2NA-NVIDIA-RUBIN-BLOG-20260721","architecture_mechanism","Fixed HTML snapshot, paragraphs 33-34","memory pointer and stride","",""
"FACT-M2NA-RUBIN-SFU-EXEC","SRC-M2NA-NVIDIA-RUBIN-BLOG-20260721","architecture_mechanism","Fixed HTML snapshot, paragraph 45","2x FP32 and 4x BF16/FP16 throughput","",""
"FACT-M2NA-RUBIN-COMPRESS-EXEC","SRC-M2NA-NVIDIA-RUBIN-BLOG-20260721","architecture_mechanism","Fixed HTML snapshot, paragraphs 43-44","nonzero values and metadata","",""
"FACT-M2NA-RUBIN-NVLINK-PROTOCOL","SRC-M2NA-NVIDIA-RUBIN-BLOG-20260721","architecture_mechanism","Fixed HTML snapshot, paragraphs 55-58","counted writes for device-initiated NVLink communication","",""
"FACT-M2NA-RUBIN-TMA-LEVEL","SRC-M2NA-NVIDIA-RUBIN-BLOG-20260721","architecture_mechanism","Fixed HTML snapshot, paragraphs 33-34","inline descriptor update support for TMA","",""
"FACT-M2NA-RUBIN-SPARSE-LEVEL","SRC-M2NA-NVIDIA-RUBIN-BLOG-20260721","architecture_mechanism","Fixed HTML snapshot, paragraph 44","sparse MMA","",""
"FACT-M2NA-RUBIN-COMPRESS-LEVEL","SRC-M2NA-NVIDIA-RUBIN-BLOG-20260721","architecture_mechanism","Fixed HTML snapshot, paragraphs 43-44","adaptive compression","",""
"FACT-M2NA-CDNA2-CU-EXEC","SRC-M2NA-AMD-CDNA2-WP","architecture_mechanism","PDF p.10, Figure 3 and Shader Array discussion","scalar, vector, and matrix instructions; 64 work-items","",""
"FACT-M2NA-CDNA2-VECTOR-COUNT","SRC-M2NA-AMD-CDNA2-WP","architecture_mechanism","PDF p.10, Figure 3","","4","SIMD per CU"
"FACT-M2NA-CDNA2-VECTOR-WIDTH","SRC-M2NA-AMD-CDNA2-WP","architecture_mechanism","PDF p.10, Figure 3","","16","wide"
"FACT-M2NA-CDNA2-VECTOR-EXEC","SRC-M2NA-AMD-CDNA2-WP","architecture_mechanism","PDF p.10, Compute Unit discussion","64 work-items; same rate as single-precision","",""
"FACT-M2NA-CDNA2-MATRIX-EXEC","SRC-M2NA-AMD-CDNA2-WP","architecture_mechanism","PDF p.11, Matrix Core Technology discussion","wave-wide operations; FP64 precision","",""
"FACT-M2NA-CDNA2-VFP64-THR","SRC-M2NA-AMD-CDNA2-WP","architecture_mechanism","PDF p.10, Compute Unit discussion","","64","FMA operations per clock"
"FACT-M2NA-CDNA2-PFP32-THR","SRC-M2NA-AMD-CDNA2-WP","architecture_mechanism","PDF p.10, Compute Unit discussion","","128","single precision FMA operations per cycle"
"FACT-M2NA-CDNA2-FP64-TILE","SRC-M2NA-AMD-CDNA2-WP","architecture_mechanism","PDF p.11, Matrix Core Technology discussion","16x16x4 and 4x4x4 (MxNxK)","",""
"FACT-M2NA-CDNA2-FP64-A","SRC-M2NA-AMD-CDNA2-WP","architecture_mechanism","PDF p.11, Matrix Core Technology discussion","FP64 precision","",""
"FACT-M2NA-CDNA2-FP16-A","SRC-M2NA-AMD-CDNA2-ISA","architecture_mechanism","PDF pp.52-53, section 7.1 Matrix Arithmetic Opcodes, MFMA naming and Table 25","F16","",""
"FACT-M2NA-CDNA2-FP16-ACC","SRC-M2NA-AMD-CDNA2-ISA","architecture_mechanism","PDF pp.52-53, section 7.1, MFMA instruction naming","F32","",""
"FACT-M2NA-CDNA2-BF16-A","SRC-M2NA-AMD-CDNA2-WP","architecture_mechanism","PDF p.11, Matrix Core Technology closing paragraph","bfloat16","",""
"FACT-M2NA-CDNA2-BF16-ACC","SRC-M2NA-AMD-CDNA2-ISA","architecture_mechanism","PDF pp.52-53, section 7.1, MFMA naming and BF16 row in Table 25","F32","",""
"FACT-M2NA-CDNA2-LDS-MGMT","SRC-M2NA-AMD-CDNA2-WP","architecture_mechanism","PDF p.10, Local Data Share paragraph","explicitly passing data within a compute unit","",""
"FACT-M2NA-CDNA2-LDS-DMA","SRC-M2NA-AMD-CDNA2-WP","architecture_mechanism","PDF p.10, Local Data Share paragraph","FP64 min, max, and add atomic operations","",""
"FACT-M2NA-CDNA2-IF-PROTOCOL","SRC-M2NA-AMD-CDNA2-WP","architecture_mechanism","PDF pp.5 and 8, Communication and Scaling","AMD Infinity Fabric","",""
"FACT-M2NA-CDNA2-SW","SRC-M2NA-AMD-CDNA2-WP","architecture_mechanism","PDF pp.12-13, ROCm Open Software Platform and Figure 5","ROCm compiler and runtime; rocBLAS library","",""
"FACT-M2NA-CDNA3-CU-EXEC","SRC-M2NA-AMD-CDNA3-WP","architecture_mechanism","PDF p.6, Figure 4 and Compute Unit Architecture paragraph","scalar, vector and matrix data types; load/store pipelines; L1 cache; Local Data Share","",""
"FACT-M2NA-CDNA3-MATRIX-EXEC","SRC-M2NA-AMD-CDNA3-WP","architecture_mechanism","PDF p.8, sparse-data paragraph","Matrix Core; at least two values within a group of four input values are zero","",""
"FACT-M2NA-CDNA3-MATRIX-FORMATS","SRC-M2NA-AMD-CDNA3-WP","architecture_mechanism","PDF p.7, Table 1","Matrix FP64; Matrix FP32; Matrix TF32; Matrix FP16; Matrix BF16; Matrix FP8; Matrix INT8","",""
"FACT-M2NA-CDNA3-FP8-A","SRC-M2NA-AMD-CDNA3-WP","architecture_mechanism","PDF p.8, FP8 variants paragraph","E5M2; E4M3","",""
"FACT-M2NA-CDNA3-FP8-ACC","SRC-M2NA-AMD-CDNA3-ISA","architecture_mechanism","PDF p.284, V_MFMA_F32_16X16X32_FP8_FP8 description","single-precision float format","",""
"FACT-M2NA-CDNA3-FP16-A","SRC-M2NA-AMD-CDNA3-WP","architecture_mechanism","PDF pp.6-7, Matrix Core discussion and Table 1","FP16 and BF16","",""
"FACT-M2NA-CDNA3-FP16-ACC","SRC-M2NA-AMD-CDNA3-ISA","architecture_mechanism","PDF p.274, V_MFMA_F32_16X16X4_4B_F16 description","single-precision float format","",""
"FACT-M2NA-CDNA3-INT8-A","SRC-M2NA-AMD-CDNA3-WP","architecture_mechanism","PDF pp.6-7, Matrix Core discussion and Table 1","Matrix INT8","",""
"FACT-M2NA-CDNA3-INT8-ACC","SRC-M2NA-AMD-CDNA3-ISA","architecture_mechanism","PDF p.276, V_MFMA_I32_16X16X16_I8 description","signed 32-bit integer format","",""
"FACT-M2NA-CDNA3-HIGH-A","SRC-M2NA-AMD-CDNA3-WP","architecture_mechanism","PDF p.7, Table 1","Matrix FP64; Matrix FP32; Matrix TF32","",""
"FACT-M2NA-CDNA3-SPARSE-MODE","SRC-M2NA-AMD-CDNA3-ISA","architecture_mechanism","PDF p.59, section 7.1.6 Sparse matrix support","4:2 structurally-sparse matrix A","",""
"FACT-M2NA-CDNA3-SPARSE-LEVEL","SRC-M2NA-AMD-CDNA3-ISA","architecture_mechanism","PDF pp.59-60, section 7.1.6 Sparse matrix support and Table 32","V_SMFMAC family of instructions","",""
"FACT-M2NA-CDNA3-SPARSE-DETAIL","SRC-M2NA-AMD-CDNA3-WP","architecture_mechanism","PDF p.8, sparse-data paragraph","at least two values within a group of four input values are zero","",""
"FACT-M2NA-CDNA3-LDS-CAP","SRC-M2NA-AMD-CDNA3-WP","architecture_mechanism","PDF p.9, first paragraph","","64","KB"
"FACT-M2NA-CDNA3-LDS-MGMT","SRC-M2NA-AMD-CDNA3-WP","architecture_mechanism","PDF pp.6 and 9, CU diagram and memory-hierarchy paragraph","Local Data Share (LDS)","",""
"FACT-M2NA-CDNA3-L1-CAP","SRC-M2NA-AMD-CDNA3-WP","architecture_mechanism","PDF p.9, first paragraph","","32","KB"
"FACT-M2NA-CDNA3-L1-GRAN","SRC-M2NA-AMD-CDNA3-WP","architecture_mechanism","PDF p.9, first paragraph","","128","B"
"FACT-M2NA-CDNA3-L1-MGMT","SRC-M2NA-AMD-CDNA3-WP","architecture_mechanism","PDF p.9, first paragraph","L1 vector data cache","",""
"FACT-M2NA-CDNA3-L2-CAP","SRC-M2NA-AMD-CDNA3-WP","architecture_mechanism","PDF p.10, first paragraph","","4","MB"
"FACT-M2NA-CDNA3-L2-READ","SRC-M2NA-AMD-CDNA3-WP","architecture_mechanism","PDF p.10, first paragraph","","2","KBytes/clock/XCD"
"FACT-M2NA-CDNA3-L2-MGMT","SRC-M2NA-AMD-CDNA3-WP","architecture_mechanism","PDF p.10, first two paragraphs","L2 cache","",""
"FACT-M2NA-CDNA3-ICACHE-MGMT","SRC-M2NA-AMD-CDNA3-WP","architecture_mechanism","PDF pp.9-11, Infinity Cache discussion","AMD Infinity Cache","",""
"FACT-M2NA-CDNA3-ICACHE-CONSISTENCY","SRC-M2NA-AMD-CDNA3-WP","architecture_mechanism","PDF p.10, Infinity Cache paragraph","shared memory-side cache","",""
"FACT-M2NA-CDNA3-IF-PROTOCOL","SRC-M2NA-AMD-CDNA3-WP","architecture_mechanism","PDF pp.2 and 4, package overview","AMD Infinity Fabric technology","",""
"FACT-M2NA-CDNA3-SW","SRC-M2NA-AMD-CDNA3-WP","architecture_mechanism","PDF pp.19-20, ROCm software section","ROCm open software platform; HIP cross-platform programming model","",""
"FACT-M2NA-CDNA4-CU-EXEC","SRC-M2NA-AMD-CDNA4-WP","architecture_mechanism","PDF p.6, Compute Unit Architecture paragraph","scalar, vector, and matrix instructions; L1 data cache; explicitly addressed Local Data Share","",""
"FACT-M2NA-CDNA4-MATRIX-EXEC","SRC-M2NA-AMD-CDNA4-WP","architecture_mechanism","PDF p.8, Matrix Cores paragraph and Table 1","Matrix Cores; MXFP8, MXFP6, and MXFP4; FP16 Sparsity","",""
"FACT-M2NA-CDNA4-MX-A","SRC-M2NA-AMD-CDNA4-WP","architecture_mechanism","PDF p.8, first paragraph","MXFP8, MXFP6, and MXFP4","",""
"FACT-M2NA-CDNA4-MX-SCALE","SRC-M2NA-AMD-CDNA4-WP","architecture_mechanism","PDF p.7, micro-scaling paragraph","scale factor that is shared across a block of data elements","",""
"FACT-M2NA-CDNA4-MX-GRAN","SRC-M2NA-AMD-CDNA4-WP","architecture_mechanism","PDF p.7, micro-scaling paragraph","a block of data elements (typically 32)","",""
"FACT-M2NA-CDNA4-FP8-A","SRC-M2NA-AMD-CDNA4-WP","architecture_mechanism","PDF p.7, FP8 paragraph","E5M2; E4M3","",""
"FACT-M2NA-CDNA4-FP8-ACC","SRC-M2NA-AMD-CDNA4-ISA","architecture_mechanism","PDF p.286, V_MFMA_F32_32X32X64_F8F6F4 description","single-precision float format","",""
"FACT-M2NA-CDNA4-FP16-A","SRC-M2NA-AMD-CDNA4-WP","architecture_mechanism","PDF p.8, Table 1, Matrix FP16 and Matrix BF16 rows","Matrix FP16; Matrix BF16","",""
"FACT-M2NA-CDNA4-FP16-ACC","SRC-M2NA-AMD-CDNA4-ISA","architecture_mechanism","PDF p.287, V_MFMA_F32_16X16X32_BF16 description","single-precision float format","",""
"FACT-M2NA-CDNA4-INT8-A","SRC-M2NA-AMD-CDNA4-WP","architecture_mechanism","PDF p.8, Table 1, Matrix INT8 row","Matrix INT8","",""
"FACT-M2NA-CDNA4-INT8-ACC","SRC-M2NA-AMD-CDNA4-ISA","architecture_mechanism","PDF p.288, V_MFMA_I32_16X16X64_I8 description","signed 32-bit integer format","",""
"FACT-M2NA-CDNA4-TF32-CONV","SRC-M2NA-AMD-CDNA4-WP","architecture_mechanism","PDF p.8, TF32 paragraph","moved out of hardware; software emulation utilizing the BF16 datatype","",""
"FACT-M2NA-CDNA4-MFP16-THR","SRC-M2NA-AMD-CDNA4-WP","architecture_mechanism","PDF p.8, Table 1, Matrix FP16 row, MI355X column","","4096","FLOPS/clock/CU"
"FACT-M2NA-CDNA4-MFP32-THR","SRC-M2NA-AMD-CDNA4-WP","architecture_mechanism","PDF p.8, Table 1, Matrix FP32 row, MI355X column","","256","FLOPS/clock/CU"
"FACT-M2NA-CDNA4-MFP64-THR","SRC-M2NA-AMD-CDNA4-WP","architecture_mechanism","PDF p.8, Table 1, Matrix FP64 row, MI355X column","","128","FLOPS/clock/CU"
"FACT-M2NA-CDNA4-VFP16-THR","SRC-M2NA-AMD-CDNA4-WP","architecture_mechanism","PDF p.8, Table 1, Vector FP16 row, MI355X column","","256","FLOPS/clock/CU"
"FACT-M2NA-CDNA4-VFP32-THR","SRC-M2NA-AMD-CDNA4-WP","architecture_mechanism","PDF p.8, Table 1, Vector FP32 row, MI355X column","","256","FLOPS/clock/CU"
"FACT-M2NA-CDNA4-VFP64-THR","SRC-M2NA-AMD-CDNA4-WP","architecture_mechanism","PDF p.8, Table 1, Vector FP64 row, MI355X column","","128","FLOPS/clock/CU"
"FACT-M2NA-CDNA4-TRANS-EXEC","SRC-M2NA-AMD-CDNA4-WP","architecture_mechanism","PDF p.9, activation and transcendental paragraph","transcendental rates have been increased by 2x to aid with attention acceleration","",""
"FACT-M2NA-CDNA4-CONVERT-EXEC","SRC-M2NA-AMD-CDNA4-WP","architecture_mechanism","PDF p.9, activation and conversion paragraph","a variety of data conversion instructions","",""
"FACT-M2NA-CDNA4-LDS-CAP","SRC-M2NA-AMD-CDNA4-WP","architecture_mechanism","PDF p.9, LDS paragraph","","160","KB"
"FACT-M2NA-CDNA4-LDS-READ","SRC-M2NA-AMD-CDNA4-WP","architecture_mechanism","PDF p.9, LDS paragraph","","256","bytes per clock"
"FACT-M2NA-CDNA4-LDS-MGMT","SRC-M2NA-AMD-CDNA4-WP","architecture_mechanism","PDF p.6, Compute Unit Architecture paragraph","explicitly addressed Local Data Share","",""
"FACT-M2NA-CDNA4-LDS-DMA","SRC-M2NA-AMD-CDNA4-WP","architecture_mechanism","PDF p.9, LDS paragraph","loading data directly from the L1 data cache","",""
"FACT-M2NA-CDNA4-L1-CAP","SRC-M2NA-AMD-CDNA4-WP","architecture_mechanism","PDF p.9, L1/L2 paragraph","","32","KB"
"FACT-M2NA-CDNA4-L1-GRAN","SRC-M2NA-AMD-CDNA4-WP","architecture_mechanism","PDF p.9, L1/L2 paragraph","","128","B"
"FACT-M2NA-CDNA4-L1-MGMT","SRC-M2NA-AMD-CDNA4-WP","architecture_mechanism","PDF p.9, L1/L2 paragraph","L1 vector data cache","",""
"FACT-M2NA-CDNA4-L2-CAP","SRC-M2NA-AMD-CDNA4-WP","architecture_mechanism","PDF p.9, L1/L2 paragraph","","4","MB"
