"condition_set_id","condition_fingerprint","precision_path_id","sparsity_mode","sparsity_pattern","operation_type","operation_count_rule","performance_basis","support_level","power_mode","frequency_value","frequency_unit","software_version","workload_stage","bandwidth_direction","aggregation_scope","traffic_basis","measurement_scope","effective_date","review_status","notes"
"COND-M2NA-CDNA4-MATRIX-FP16","M2NA|CDNA4|matrix-FP16-dense|per-CU-per-clock","PPATH-M2NA-CDNA4-MFMA-FP16BF16","dense","","matrix_mma","fma_2_ops","theoretical_peak","hardware_peak_published","","","","","not_specified","","not_specified","vendor_nameplate","per_component","","draft","4096 FLOP per clock per CU from the MI355X column in PDF p.8 Table 1."
"COND-M2NA-CDNA4-MATRIX-FP32","M2NA|CDNA4|matrix-FP32|per-CU-per-clock","PPATH-M2NA-CDNA4-MFMA-FP32","dense","","matrix_mma","fma_2_ops","theoretical_peak","hardware_peak_published","","","","","not_specified","","not_specified","vendor_nameplate","per_component","","draft","256 FLOP per clock per CU."
"COND-M2NA-CDNA4-MATRIX-FP64","M2NA|CDNA4|matrix-FP64|per-CU-per-clock","PPATH-M2NA-CDNA4-MFMA-FP64","dense","","matrix_mma","fma_2_ops","theoretical_peak","hardware_peak_published","","","","","not_specified","","not_specified","vendor_nameplate","per_component","","draft","128 FLOP per clock per CU."
"COND-M2NA-CDNA4-VECTOR-FP16","M2NA|CDNA4|vector-FP16|per-CU-per-clock","PPATH-M2NA-CDNA4-VECTOR-FP16","dense","","vector_fma","fma_2_ops","theoretical_peak","hardware_peak_published","","","","","not_specified","","not_specified","vendor_nameplate","per_component","","draft","256 FLOP per clock per CU."
"COND-M2NA-CDNA4-VECTOR-FP32","M2NA|CDNA4|vector-FP32|per-CU-per-clock","PPATH-M2NA-CDNA4-VECTOR-FP32","dense","","vector_fma","fma_2_ops","theoretical_peak","hardware_peak_published","","","","","not_specified","","not_specified","vendor_nameplate","per_component","","draft","256 FLOP per clock per CU."
"COND-M2NA-CDNA4-VECTOR-FP64","M2NA|CDNA4|vector-FP64|per-CU-per-clock","PPATH-M2NA-CDNA4-VECTOR-FP64","dense","","vector_fma","fma_2_ops","theoretical_peak","hardware_peak_published","","","","","not_specified","","not_specified","vendor_nameplate","per_component","","draft","128 FLOP per clock per CU."
"COND-M2NA-CDNA4-LDS-READ","M2NA|CDNA4|LDS|read|per-CU-per-clock","","not_applicable","","data_move","not_specified","theoretical_peak","hardware_peak_published","","","","","not_specified","rx","per_endpoint","vendor_nameplate","per_component","","draft","256 bytes per clock read per CU."
"COND-M2NA-CDNA4-L1-CU","M2NA|CDNA4|L1|per-CU","","not_applicable","","data_move","not_specified","theoretical_peak","hardware_capability","","","","","not_specified","direction_not_specified","per_endpoint","vendor_nameplate","per_component","","draft","Per-CU L1 organization."
"COND-M2NA-CDNA4-L2-READ","M2NA|CDNA4|L2|read|per-channel-per-cycle","","not_applicable","","data_move","not_specified","theoretical_peak","hardware_peak_published","","","","","not_specified","rx","per_endpoint","vendor_nameplate","per_component","","draft","Each of 16 channels can read one 128-byte line per cycle."
"COND-M2NA-CDNA4-L2-WRITE","M2NA|CDNA4|L2|write|per-channel-per-cycle","","not_applicable","","data_move","not_specified","theoretical_peak","hardware_peak_published","","","","","not_specified","tx","per_endpoint","vendor_nameplate","per_component","","draft","Each of 16 channels can write 64 bytes per cycle."
"COND-M2NA-CDNA4-TRANS-REL","M2NA|CDNA4|transcendental|2x-vs-CDNA3","","not_applicable","","special_function","not_specified","vendor_label_unresolved","hardware_capability","","","","","not_specified","","not_specified","relative_only","per_component","","draft","Relative throughput only."
"COND-M2NA-CDNA5-WGP","M2NA|CDNA5|per-WGP","","not_applicable","","data_move","not_specified","theoretical_peak","hardware_capability","","","","","not_specified","direction_not_specified","per_endpoint","vendor_nameplate","per_component","","draft","Per-WGP capacities and issue widths. MI455X WGP total is excluded."
"COND-M2NA-CDNA5-SPARSE","M2NA|CDNA5|2:4|SWMMAC","PPATH-M2NA-CDNA5-SWMMAC","structured_sparse","two zeros in every four K-axis elements of sparse A","matrix_mma","not_specified","theoretical_peak","hardware_instruction","","","","CDNA 5 ISA 2026-07-27","not_specified","","not_specified","not_specified","per_component","2026-07-27","draft","Instruction semantics only. No product peak attached."
"COND-M2NA-CDNA5-TRANS-REL","M2NA|CDNA5|transcendental|2x-vs-MI355X","","not_applicable","","special_function","not_specified","vendor_label_unresolved","hardware_instruction","","","","","not_specified","","not_specified","relative_only","per_component","","draft","The reference point is an MI355X product, so only the architectural instruction-rate change is retained."
"COND-M2NA-BLACKWELL-TMEM-CC100","M2NA|Blackwell|PTX-ISA-9.3|cc100-family|TMEM|per-CTA-logical-space","","not_applicable","","data_move","not_specified","vendor_label_unresolved","hardware_instruction","","","","PTX ISA 9.3","not_specified","","not_specified","not_specified","per_instance","2026-08-12","draft","Applies to Tensor Memory programming model on relevant Blackwell-family targets; per CTA logical address space, not physical SRAM capacity."
"COND-M2NA-CDNA2-CU","M2NA|CDNA2|per-CU-architectural-definition","","not_applicable","","vector_alu","not_specified","vendor_label_unresolved","hardware_capability","","","","","not_specified","","not_specified","not_specified","per_component","","draft","Counts and widths are defined per CDNA 2 compute unit, not for a complete chip."
"COND-M2NA-CDNA4-L2-XCD","M2NA|CDNA4|L2|per-XCD-architectural-definition","","not_applicable","","data_move","not_specified","vendor_label_unresolved","hardware_capability","","","","","not_specified","","not_specified","not_specified","per_component","","draft","L2 bank count and capacity are per XCD, not a package or accelerator aggregate."
"COND-M2NA-CDNA4-DER-MATRIX-VECTOR-FP16","M2NA|CDNA4|derived|FP16-dense|matrix/vector|per-CU-per-cycle|fma2ops","PPATH-M2NA-CDNA4-MFMA-FP16BF16","dense","","matrix_mma","fma_2_ops","public_derived","hardware_peak_published","","","","","not_specified","","not_specified","not_specified","per_component","","draft","Numerator and denominator are both dense FP16, per CU, per cycle, and use the same two-operations-per-FMA convention."
