"precision_path_id","component_id","canonical_label","operation_class","review_status","notes"
"PPATH-M2NA-ADA-TENSOR-INT8","COMP-M2NA-ADA-TENSOR","Ada Tensor Core INT8 and INT4 matrix path","matrix","draft","Accumulation format is not filled without a direct locator."
"PPATH-M2NA-ADA-CUDA-FP32","COMP-M2NA-ADA-CUDA","Ada SIMT FP32 ALU path","scalar","needs_resolution","Per-thread CUDA ALU path, not a separately published vector aggregate."
"PPATH-M2NA-BLACKWELL-TENSOR-FP4","COMP-M2NA-BLACKWELL-TENSOR","Blackwell micro-tensor FP4 matrix path","matrix","draft","Uses micro-tensor scaling. Program-visible and physical accumulator semantics remain separate."
"PPATH-M2NA-BLACKWELL-TENSOR-FP6","COMP-M2NA-BLACKWELL-TENSOR","Blackwell micro-tensor FP6 matrix path","matrix","draft","Uses micro-tensor scaling."
"PPATH-M2NA-BLACKWELL-TENSOR-FP8","COMP-M2NA-BLACKWELL-TENSOR","Blackwell Tensor Core FP8 matrix path","matrix","draft","Fifth-generation Tensor Core path."
"PPATH-M2NA-BLACKWELL-TENSOR-FP16BF16","COMP-M2NA-BLACKWELL-TENSOR","Blackwell Tensor Core FP16 and BF16 matrix path","matrix","draft","Grouped only for the architecture format inventory. Per-format peaks remain SKU-specific."
"PPATH-M2NA-BLACKWELL-TENSOR-HIGH","COMP-M2NA-BLACKWELL-TENSOR","Blackwell Tensor Core TF32 FP32 and FP64 matrix paths","matrix","draft","Grouped architecture support statement. Accumulator semantics need instruction-level evidence."
"PPATH-M2NA-BLACKWELL-TENSOR-SPARSE","COMP-M2NA-BLACKWELL-TENSOR","Blackwell tcgen05 structured-sparse MMA path","matrix","draft","PTX documents 1:2, 2:4 and 4:8 structured sparsity rules depending on instruction form."
"PPATH-M2NA-BLACKWELL-CUDA","COMP-M2NA-BLACKWELL-CUDA","Blackwell SIMT CUDA ALU path","scalar","needs_resolution","No independent architecture-wide vector throughput is published."
"PPATH-M2NA-BLACKWELL-ULTRA-EXP","COMP-M2NA-BLACKWELL-ULTRA-SFU","Blackwell Ultra MUFU.EX2 exponential path","special_function","draft","Official developer article reports two times Blackwell throughput for softmax-related exponentials."
"PPATH-M2NA-RUBIN-LUT3","COMP-M2NA-RUBIN-TENSOR","Rubin 3-bit LUT matrix-B path","matrix","draft","Observation-level instruction capability. Full format and accumulation matrix is pending."
"PPATH-M2NA-RUBIN-ACT-SPARSE","COMP-M2NA-RUBIN-TENSOR","Rubin activation-sparse matrix path","matrix","draft","Works with activation sparse compression according to the official architecture article."
"PPATH-M2NA-RUBIN-EXP","COMP-M2NA-RUBIN-SFU","Rubin exponential special-function path","special_function","draft","Relative rate only."
"PPATH-M2NA-CDNA2-MFMA-FP64","COMP-M2NA-CDNA2-MATRIX","CDNA 2 MFMA FP64 matrix path","matrix","draft","Wave-wide FP64 matrix fused multiply-add."
"PPATH-M2NA-CDNA2-MFMA-FP16","COMP-M2NA-CDNA2-MATRIX","CDNA 2 MFMA FP16 to FP32 path","matrix","draft","ISA operand naming puts C and D format first and A and B format last."
"PPATH-M2NA-CDNA2-MFMA-BF16","COMP-M2NA-CDNA2-MATRIX","CDNA 2 MFMA BF16 to FP32 path","matrix","draft","BF16 matrix support has the same throughput class as FP16."
"PPATH-M2NA-CDNA2-VECTOR-FP64","COMP-M2NA-CDNA2-VECTOR","CDNA 2 vector FP64 FMA path","vector","draft","FP64 rate matches vector FP32 in the architecture whitepaper."
"PPATH-M2NA-CDNA2-VECTOR-PACKED-FP32","COMP-M2NA-CDNA2-VECTOR","CDNA 2 packed vector FP32 path","vector","draft","Packed FP32 doubles the ordinary vector FP32 operations per clock."
"PPATH-M2NA-CDNA3-MFMA-FP8","COMP-M2NA-CDNA3-MATRIX","CDNA 3 MFMA FP8 and BF8 to FP32 path","matrix","draft","C and D are FP32 in the ISA forms used here."
"PPATH-M2NA-CDNA3-MFMA-FP16BF16","COMP-M2NA-CDNA3-MATRIX","CDNA 3 MFMA FP16 and BF16 to FP32 path","matrix","draft","C and D are FP32 in the ISA forms used here."
"PPATH-M2NA-CDNA3-MFMA-INT8","COMP-M2NA-CDNA3-MATRIX","CDNA 3 MFMA INT8 to INT32 path","matrix","draft","C and D are INT32."
"PPATH-M2NA-CDNA3-MFMA-HIGH","COMP-M2NA-CDNA3-MATRIX","CDNA 3 FP64 FP32 and TF32 matrix paths","matrix","draft","Grouped architecture format inventory. Per-path accumulation statements must be separately sourced."
"PPATH-M2NA-CDNA3-SMFMAC","COMP-M2NA-CDNA3-MATRIX","CDNA 3 4:2 structured-sparse matrix path","matrix","draft","Two of every four values are zero in the supported sparse operand grouping."
"PPATH-M2NA-CDNA3-VECTOR","COMP-M2NA-CDNA3-VECTOR","CDNA 3 FP16 FP32 and FP64 vector paths","vector","draft","Grouped vector format inventory."
"PPATH-M2NA-CDNA4-MX","COMP-M2NA-CDNA4-MATRIX","CDNA 4 MXFP4 MXFP6 and MXFP8 matrix path","matrix","draft","Hardware microscaling support with block-of-32 scale semantics in the whitepaper."
"PPATH-M2NA-CDNA4-MFMA-FP8","COMP-M2NA-CDNA4-MATRIX","CDNA 4 FP8 and BF8 matrix path","matrix","draft","Dense and supported structured-sparse forms accumulate through FP32 C and D interfaces."
"PPATH-M2NA-CDNA4-MFMA-FP16BF16","COMP-M2NA-CDNA4-MATRIX","CDNA 4 FP16 and BF16 matrix path","matrix","draft","Dense and structured-sparse formats."
"PPATH-M2NA-CDNA4-MFMA-INT8","COMP-M2NA-CDNA4-MATRIX","CDNA 4 INT8 to INT32 matrix path","matrix","draft","Dense and structured-sparse formats."
"PPATH-M2NA-CDNA4-MFMA-FP32","COMP-M2NA-CDNA4-MATRIX","CDNA 4 FP32 matrix path","matrix","draft","256 FLOP per clock per CU in the whitepaper comparison table."
"PPATH-M2NA-CDNA4-MFMA-FP64","COMP-M2NA-CDNA4-MATRIX","CDNA 4 FP64 matrix path","matrix","draft","128 FLOP per clock per CU in the whitepaper comparison table."
"PPATH-M2NA-CDNA4-TF32-EMU","COMP-M2NA-CDNA4-MATRIX","CDNA 4 TF32 software-emulation path","matrix","draft","TF32 is moved out of hardware and emulated using BF16."
"PPATH-M2NA-CDNA4-VECTOR-FP16","COMP-M2NA-CDNA4-VECTOR","CDNA 4 vector FP16 path","vector","draft","256 FLOP per clock per CU."
"PPATH-M2NA-CDNA4-VECTOR-FP32","COMP-M2NA-CDNA4-VECTOR","CDNA 4 vector FP32 path","vector","draft","256 FLOP per clock per CU."
"PPATH-M2NA-CDNA4-VECTOR-FP64","COMP-M2NA-CDNA4-VECTOR","CDNA 4 vector FP64 path","vector","draft","128 FLOP per clock per CU."
"PPATH-M2NA-CDNA5-WMMA-FP4","COMP-M2NA-CDNA5-MATRIX","CDNA 5 scaled FP4 WMMA to FP32 path","matrix","draft","ISA exposes block-size-16 and block-size-32 forms with FP32 C and D."
"PPATH-M2NA-CDNA5-WMMA-FP8-F32","COMP-M2NA-CDNA5-MATRIX","CDNA 5 FP8 and BF8 WMMA to FP32 path","matrix","draft","C and D are FP32."
"PPATH-M2NA-CDNA5-WMMA-FP8-F16","COMP-M2NA-CDNA5-MATRIX","CDNA 5 FP8 and BF8 WMMA to FP16 path","matrix","draft","C and D are FP16."
"PPATH-M2NA-CDNA5-WMMA-INT8","COMP-M2NA-CDNA5-MATRIX","CDNA 5 INT8 WMMA to INT32 path","matrix","draft","Signed or unsigned 8-bit operands with signed 32-bit C and D."
"PPATH-M2NA-CDNA5-SWMMAC","COMP-M2NA-CDNA5-MATRIX","CDNA 5 2:4 sparse SWMMAC path","matrix","draft","Sparse A matrix stores half the dense elements. ISA documents FP16 BF16 FP8 BF8 and INT8 forms."
"PPATH-M2NA-CDNA5-VECTOR-BF16","COMP-M2NA-CDNA5-VECTOR","CDNA 5 native BF16 vector path","vector","draft","New native vector datatype support described in the architecture whitepaper."
