"capability_id","owner_object_id","component_id","capability_type","canonical_label","review_status","notes"
"CAP-M2NA-BLACKWELL-TOPK","OBJ-NVIDIA-BLACKWELL-ARCH","","top_k","Dedicated Blackwell top-k","draft","Implementation evidence status is tracked through the capability field requirement and its search record."
"CAP-M2NA-BLACKWELL-ULTRA-SOFTMAX","OBJ-NVIDIA-BLACKWELL-ULTRA-ARCH","COMP-M2NA-BLACKWELL-ULTRA-SFU","softmax","Blackwell Ultra softmax exponential acceleration","draft","MUFU.EX2 is a general SFU instruction path used to accelerate the exponential stage of softmax."
"CAP-M2NA-BLACKWELL-ULTRA-MOE","OBJ-NVIDIA-BLACKWELL-ULTRA-ARCH","","moe_route","Dedicated Blackwell Ultra MoE routing","draft","Implementation evidence status is tracked through the capability field requirement and its search record."
"CAP-M2NA-BLACKWELL-ULTRA-TOPK","OBJ-NVIDIA-BLACKWELL-ULTRA-ARCH","","top_k","Dedicated Blackwell Ultra top-k","draft","Implementation evidence status is tracked through the capability field requirement and its search record."
"CAP-M2NA-RUBIN-TMA","OBJ-NVIDIA-RUBIN-ARCH","COMP-M2NA-RUBIN-TMA","attention_data_move","Rubin enhanced tensor metadata and data movement","draft","Inline pointer and stride updates reduce descriptor overhead for irregular tensor movement, including MoE workloads."
"CAP-M2NA-RUBIN-SPARSE","OBJ-NVIDIA-RUBIN-ARCH","COMP-M2NA-RUBIN-TENSOR","sparse_skip","Rubin activation-sparse matrix acceleration","draft","Observation-level sparse matrix capability."
"CAP-M2NA-RUBIN-COMPRESS","OBJ-NVIDIA-RUBIN-ARCH","COMP-M2NA-RUBIN-COMPRESS","compression","Rubin activation sparse compression","draft","Physical block boundary and absolute throughput are pending."
"CAP-M2NA-RUBIN-MOE","OBJ-NVIDIA-RUBIN-ARCH","","moe_route","Dedicated Rubin MoE routing","draft","Implementation evidence status is tracked through the capability field requirement and its search record."
"CAP-M2NA-RUBIN-TOPK","OBJ-NVIDIA-RUBIN-ARCH","","top_k","Dedicated Rubin top-k","draft","Implementation evidence status is tracked through the capability field requirement and its search record."
"CAP-M2NA-CDNA2-MOE","OBJ-AMD-CDNA2-ARCH","","moe_route","Dedicated CDNA 2 MoE routing","draft","Implementation evidence status is tracked through the capability field requirement and its search record."
"CAP-M2NA-CDNA2-TOPK","OBJ-AMD-CDNA2-ARCH","","top_k","Dedicated CDNA 2 top-k","draft","Implementation evidence status is tracked through the capability field requirement and its search record."
"CAP-M2NA-CDNA3-SPARSE","OBJ-AMD-CDNA3-ARCH","COMP-M2NA-CDNA3-MATRIX","sparse_skip","CDNA 3 4:2 structured-sparse matrix acceleration","draft","Supported formats use a sparse operand with two zero elements per group of four."
"CAP-M2NA-CDNA3-MOE","OBJ-AMD-CDNA3-ARCH","","moe_route","Dedicated CDNA 3 MoE routing","draft","Implementation evidence status is tracked through the capability field requirement and its search record."
"CAP-M2NA-CDNA3-TOPK","OBJ-AMD-CDNA3-ARCH","","top_k","Dedicated CDNA 3 top-k","draft","Implementation evidence status is tracked through the capability field requirement and its search record."
"CAP-M2NA-CDNA4-SPARSE","OBJ-AMD-CDNA4-ARCH","COMP-M2NA-CDNA4-MATRIX","sparse_skip","CDNA 4 structured-sparse matrix acceleration","draft","Hardware instruction forms support selected INT8, OCP-FP8, FP16 and BF16 sparsity."
"CAP-M2NA-CDNA4-SOFTMAX","OBJ-AMD-CDNA4-ARCH","COMP-M2NA-CDNA4-TRANS","softmax","CDNA 4 transcendental support for softmax","draft","General transcendental path with twice the prior-generation rate, cited for softmax and attention."
"CAP-M2NA-CDNA4-CONVERT","OBJ-AMD-CDNA4-ARCH","COMP-M2NA-CDNA4-CONVERT","quantize","CDNA 4 low-precision data conversion instructions","draft","Dedicated instructions support format conversion. No separate physical converter is claimed."
"CAP-M2NA-CDNA4-MOE","OBJ-AMD-CDNA4-ARCH","","moe_route","Dedicated CDNA 4 MoE routing","draft","Implementation evidence status is tracked through the capability field requirement and its search record."
"CAP-M2NA-CDNA4-TOPK","OBJ-AMD-CDNA4-ARCH","","top_k","Dedicated CDNA 4 top-k","draft","Implementation evidence status is tracked through the capability field requirement and its search record."
"CAP-M2NA-CDNA5-SPARSE","OBJ-AMD-CDNA5-ARCH","COMP-M2NA-CDNA5-MATRIX","sparse_skip","CDNA 5 2:4 sparse SWMMAC","draft","Dedicated sparse matrix instructions with stored indexes."
"CAP-M2NA-CDNA5-SOFTMAX","OBJ-AMD-CDNA5-ARCH","COMP-M2NA-CDNA5-TRANS","softmax","CDNA 5 transcendental support for softmax","draft","General transcendental path with tanh and twice the existing-instruction throughput, cited for activation and softmax."
"CAP-M2NA-CDNA5-TDM","OBJ-AMD-CDNA5-ARCH","COMP-M2NA-CDNA5-TDM","attention_data_move","CDNA 5 Tensor Data Mover","draft","General asynchronous tensor movement that can serve attention and other tiled kernels."
"CAP-M2NA-CDNA5-MOE","OBJ-AMD-CDNA5-ARCH","","moe_route","Dedicated CDNA 5 MoE routing","draft","Implementation evidence status is tracked through the capability field requirement and its search record."
"CAP-M2NA-CDNA5-TOPK","OBJ-AMD-CDNA5-ARCH","","top_k","Dedicated CDNA 5 top-k","draft","Implementation evidence status is tracked through the capability field requirement and its search record."
"CAP-M2NA-CDNA6-MOE","OBJ-AMD-CDNA6-ARCH","","moe_route","Dedicated CDNA 6 MoE routing","draft","Implementation evidence status is tracked through the capability field requirement and its search record."
"CAP-M2NA-CDNA6-TOPK","OBJ-AMD-CDNA6-ARCH","","top_k","Dedicated CDNA 6 top-k","draft","Implementation evidence status is tracked through the capability field requirement and its search record."
