"derived_metric_id","derived_fact_id","formula_id","formula_expression","output_unit","scope_check_status","precision_check_status","direction_check_status","review_status","notes"
"DMET-AWS-TRN2-004","FACT-AWS-TRN2-CHIP-TF32-DENSE-DER8","FORMULA-AWS-TRN2-CORE-X8","8 * per_core_throughput","FLOP/s","passed","passed","passed","draft","公开每 NCv3 峰值乘以芯片内 8 个 NCv3；不覆盖冲突的官方芯片总值"
"DMET-AWS-TRN2-005","FACT-AWS-TRN2-CHIP-FP32-DENSE-DER8","FORMULA-AWS-TRN2-CORE-X8","8 * per_core_throughput","FLOP/s","passed","passed","passed","draft","公开每 NCv3 峰值乘以芯片内 8 个 NCv3；不覆盖冲突的官方芯片总值"
"DMET-AWS-TRN2-006","FACT-AWS-TRN2-CHIP-FP8-SPARSE-DER8","FORMULA-AWS-TRN2-CORE-X8","8 * per_core_throughput","FLOP/s","passed","passed","passed","draft","公开每 NCv3 峰值乘以芯片内 8 个 NCv3；不覆盖冲突的官方芯片总值"
"DMET-AWS-TRN2-007","FACT-AWS-TRN2-CHIP-BF16-SPARSE-DER8","FORMULA-AWS-TRN2-CORE-X8","8 * per_core_throughput","FLOP/s","passed","passed","passed","draft","公开每 NCv3 峰值乘以芯片内 8 个 NCv3；不覆盖冲突的官方芯片总值"
"DMET-AWS-TRN2-008","FACT-AWS-TRN2-CHIP-FP16-SPARSE-DER8","FORMULA-AWS-TRN2-CORE-X8","8 * per_core_throughput","FLOP/s","passed","passed","passed","draft","公开每 NCv3 峰值乘以芯片内 8 个 NCv3；不覆盖冲突的官方芯片总值"
"DMET-AWS-TRN2-009","FACT-AWS-TRN2-CHIP-TF32-SPARSE-DER8","FORMULA-AWS-TRN2-CORE-X8","8 * per_core_throughput","FLOP/s","passed","passed","passed","draft","公开每 NCv3 峰值乘以芯片内 8 个 NCv3；不覆盖冲突的官方芯片总值"
"DMET-AWS-TRN2-010","FACT-AWS-TRN2-VECTOR-FP32-DER8","FORMULA-AWS-TRN2-CORE-X8","8 * per_core_throughput","FLOP/s","passed","passed","passed","draft","公开每 NCv3 峰值乘以芯片内 8 个 NCv3；不覆盖冲突的官方芯片总值"
"DMET-AWS-TRN2-011","FACT-AWS-TRN2-SCALAR-FP32-DER8","FORMULA-AWS-TRN2-CORE-X8","8 * per_core_throughput","FLOP/s","passed","passed","passed","draft","公开每 NCv3 峰值乘以芯片内 8 个 NCv3；不覆盖冲突的官方芯片总值"
"DMET-AWS-TRN2-012","FACT-AWS-TRN2-DER-BALANCE-FP8","FORMULA-AWS-TRN2-COMPUTE-DIV-HBM-BW","compute_throughput_FLOP_per_s / HBM_bandwidth_byte_per_s","FLOP/byte","passed","passed","passed","draft","十进制单位归一后相除"
"DMET-AWS-TRN2-013","FACT-AWS-TRN2-DER-BALANCE-BF16","FORMULA-AWS-TRN2-COMPUTE-DIV-HBM-BW","compute_throughput_FLOP_per_s / HBM_bandwidth_byte_per_s","FLOP/byte","passed","passed","passed","draft","十进制单位归一后相除"
"DMET-AWS-TRN2-014","FACT-AWS-TRN2-DER-BALANCE-FP32","FORMULA-AWS-TRN2-COMPUTE-DIV-HBM-BW","compute_throughput_FLOP_per_s / HBM_bandwidth_byte_per_s","FLOP/byte","passed","passed","passed","draft","十进制单位归一后相除"
"DMET-AWS-TRN2-015","FACT-AWS-TRN2-DER-BALANCE-FP8-SPARSE","FORMULA-AWS-TRN2-COMPUTE-DIV-HBM-BW","compute_throughput_FLOP_per_s / HBM_bandwidth_byte_per_s","FLOP/byte","passed","passed","passed","draft","十进制单位归一后相除"
"DERMET-NVIDIA-H100-REG-POOLING-MODE","FACT-NVIDIA-H100-REG-POOLING-MODE","FORMULA-STRUCTURAL-PROJECTION","per-SM register-file scope + SM-distributed ownership => distributed_not_pooled","enum:pooling_mode","passed","passed","passed","reviewed","结构投影，不进行数值算术；保留每 SM 分布范围。"
"DERMET-M2NA-CDNA4-FP16-MATRIX-VECTOR","FACT-M2NA-CDNA4-DER-FP16-MATRIX-VECTOR","FORMULA-MATRIX-DIV-VECTOR","dense FP16 matrix FLOP/cycle/CU / dense FP16 vector FLOP/cycle/CU","ratio","passed","passed","passed","draft","Both inputs use FP16, per-CU/per-cycle scope and fma_2_ops. Direction check passed because neither input is a directional interconnect bandwidth; both are per-CU compute rates."
