"component_id","owner_object_id","parent_component_id","component_domain","component_type","canonical_label","review_status","notes"
"CMP-M2GA-GV6E-VMEM","OBJ-GOOGLE-TPU-V6E-ARCH","CMP-M2GA-GV6E-TC","memory","memory_level","Vector memory / on-chip SRAM","draft","软件或编译器管理"
"CMP-M2GA-GV6E-SPARSE","OBJ-GOOGLE-TPU-V6E-ARCH","","special_function","special_function","SparseCore","draft",""
"CMP-M2GA-G7X-TC","OBJ-GOOGLE-TPU7X-ARCH","","compute","other_fixed_function","TensorCore","draft","执行组织，不表示芯片核心数量"
"CMP-M2GA-G7X-MXU","OBJ-GOOGLE-TPU7X-ARCH","CMP-M2GA-G7X-TC","compute","matrix","Matrix Multiply Unit (MXU)","draft",""
"CMP-M2GA-G7X-VPU","OBJ-GOOGLE-TPU7X-ARCH","CMP-M2GA-G7X-TC","compute","vector","Vector Processing Unit (VPU)","draft",""
"CMP-M2GA-G7X-SCALAR","OBJ-GOOGLE-TPU7X-ARCH","CMP-M2GA-G7X-TC","compute","scalar","Scalar/control path","draft",""
"CMP-M2GA-G7X-HBM","OBJ-GOOGLE-TPU7X-ARCH","","memory","memory_level","Device HBM","draft","只记录层级存在性"
"CMP-M2GA-G7X-VMEM","OBJ-GOOGLE-TPU7X-ARCH","CMP-M2GA-G7X-TC","memory","memory_level","Vector memory / on-chip SRAM","draft","软件或编译器管理"
"CMP-M2GA-G7X-SPARSE","OBJ-GOOGLE-TPU7X-ARCH","","special_function","special_function","SparseCore","draft",""
"CMP-M2GA-G8T-TC","OBJ-GOOGLE-TPU-8T-ARCH","","compute","other_fixed_function","TensorCore","draft","执行组织，不表示芯片核心数量"
"CMP-M2GA-G8T-MXU","OBJ-GOOGLE-TPU-8T-ARCH","CMP-M2GA-G8T-TC","compute","matrix","Matrix Multiply Unit (MXU)","draft",""
"CMP-M2GA-G8T-VPU","OBJ-GOOGLE-TPU-8T-ARCH","CMP-M2GA-G8T-TC","compute","vector","Vector Processing Unit (VPU)","draft",""
"CMP-M2GA-G8T-SCALAR","OBJ-GOOGLE-TPU-8T-ARCH","CMP-M2GA-G8T-TC","compute","scalar","Scalar/control path","draft",""
"CMP-M2GA-G8T-HBM","OBJ-GOOGLE-TPU-8T-ARCH","","memory","memory_level","Device HBM","draft","只记录层级存在性"
"CMP-M2GA-G8T-VMEM","OBJ-GOOGLE-TPU-8T-ARCH","CMP-M2GA-G8T-TC","memory","memory_level","Vector memory / on-chip SRAM","draft","软件或编译器管理"
"CMP-M2GA-G8T-SPARSE","OBJ-GOOGLE-TPU-8T-ARCH","","special_function","special_function","SparseCore","draft",""
"CMP-M2GA-G8I-TC","OBJ-GOOGLE-TPU-8I-ARCH","","compute","other_fixed_function","TensorCore","draft","执行组织，不表示芯片核心数量"
"CMP-M2GA-G8I-HBM","OBJ-GOOGLE-TPU-8I-ARCH","","memory","memory_level","Device HBM","draft","只记录层级存在性"
"CMP-M2GA-G8I-VMEM","OBJ-GOOGLE-TPU-8I-ARCH","CMP-M2GA-G8I-TC","memory","memory_level","Vector memory / on-chip SRAM","draft","软件或编译器管理"
"CMP-M2GA-G8T-LDE","OBJ-GOOGLE-TPU-8T-ARCH","","special_function","other_fixed_function","LLM Decoder Engine","draft","内部实现未公开"
"CMP-M2GA-G8I-CAE","OBJ-GOOGLE-TPU-8I-ARCH","","special_function","network_offload","Collectives Acceleration Engine (CAE)","draft",""
"CMP-M2GA-AIF1-NC","OBJ-AWS-INFERENTIA1-ARCH","","compute","other_fixed_function","NCv1","draft","架构执行核，不表示芯片核心数量"
"CMP-M2GA-AIF1-TENSOR","OBJ-AWS-INFERENTIA1-ARCH","CMP-M2GA-AIF1-NC","compute","matrix","NCv1 Tensor Engine","draft",""
"CMP-M2GA-AIF1-VECTOR","OBJ-AWS-INFERENTIA1-ARCH","CMP-M2GA-AIF1-NC","compute","vector","NCv1 Vector Engine","draft",""
"CMP-M2GA-AIF1-SCALAR","OBJ-AWS-INFERENTIA1-ARCH","CMP-M2GA-AIF1-NC","compute","scalar","NCv1 Scalar Engine","draft",""
"CMP-M2GA-AIF1-SBUF","OBJ-AWS-INFERENTIA1-ARCH","CMP-M2GA-AIF1-NC","memory","memory_level","Software-managed SRAM / SBUF","draft",""
"CMP-M2GA-ATRN1-NC","OBJ-AWS-TRAINIUM1-ARCH","","compute","other_fixed_function","NCv2","draft","架构执行核，不表示芯片核心数量"
"CMP-M2GA-ATRN1-TENSOR","OBJ-AWS-TRAINIUM1-ARCH","CMP-M2GA-ATRN1-NC","compute","matrix","NCv2 Tensor Engine","draft",""
"CMP-M2GA-ATRN1-VECTOR","OBJ-AWS-TRAINIUM1-ARCH","CMP-M2GA-ATRN1-NC","compute","vector","NCv2 Vector Engine","draft",""
"CMP-M2GA-ATRN1-SCALAR","OBJ-AWS-TRAINIUM1-ARCH","CMP-M2GA-ATRN1-NC","compute","scalar","NCv2 Scalar Engine","draft",""
"CMP-M2GA-ATRN1-SBUF","OBJ-AWS-TRAINIUM1-ARCH","CMP-M2GA-ATRN1-NC","memory","memory_level","Software-managed SRAM / SBUF","draft",""
"CMP-M2GA-ATRN1-GPSIMD","OBJ-AWS-TRAINIUM1-ARCH","CMP-M2GA-ATRN1-NC","compute","vector","NCv2 GpSimd Engine","draft",""
"CMP-M2GA-ATRN1-PSUM","OBJ-AWS-TRAINIUM1-ARCH","CMP-M2GA-ATRN1-NC","memory","memory_level","PSUM accumulator store","draft",""
"CMP-M2GA-ATRN1-DMA","OBJ-AWS-TRAINIUM1-ARCH","","data_movement","dma","DMA engines","draft",""
"CMP-M2GA-ATRN1-CC","OBJ-AWS-TRAINIUM1-ARCH","","special_function","network_offload","Collective Communication Cores","draft",""
"CMP-M2GA-AIF2-NC","OBJ-AWS-INFERENTIA2-ARCH","","compute","other_fixed_function","NCv2","draft","架构执行核，不表示芯片核心数量"
"CMP-M2GA-AIF2-TENSOR","OBJ-AWS-INFERENTIA2-ARCH","CMP-M2GA-AIF2-NC","compute","matrix","NCv2 Tensor Engine","draft",""
"CMP-M2GA-AIF2-VECTOR","OBJ-AWS-INFERENTIA2-ARCH","CMP-M2GA-AIF2-NC","compute","vector","NCv2 Vector Engine","draft",""
"CMP-M2GA-AIF2-SCALAR","OBJ-AWS-INFERENTIA2-ARCH","CMP-M2GA-AIF2-NC","compute","scalar","NCv2 Scalar Engine","draft",""
"CMP-M2GA-AIF2-SBUF","OBJ-AWS-INFERENTIA2-ARCH","CMP-M2GA-AIF2-NC","memory","memory_level","Software-managed SRAM / SBUF","draft",""
"CMP-M2GA-AIF2-GPSIMD","OBJ-AWS-INFERENTIA2-ARCH","CMP-M2GA-AIF2-NC","compute","vector","NCv2 GpSimd Engine","draft",""
"CMP-M2GA-AIF2-PSUM","OBJ-AWS-INFERENTIA2-ARCH","CMP-M2GA-AIF2-NC","memory","memory_level","PSUM accumulator store","draft",""
"CMP-M2GA-AIF2-DMA","OBJ-AWS-INFERENTIA2-ARCH","","data_movement","dma","DMA engines","draft",""
"CMP-M2GA-AIF2-CC","OBJ-AWS-INFERENTIA2-ARCH","","special_function","network_offload","Collective Communication Cores","draft",""
"CMP-M2GA-ATRN3-NC","OBJ-AWS-TRAINIUM3-ARCH","","compute","other_fixed_function","NCv4","draft","架构执行核，不表示芯片核心数量"
"CMP-M2GA-ATRN3-TENSOR","OBJ-AWS-TRAINIUM3-ARCH","CMP-M2GA-ATRN3-NC","compute","matrix","NCv4 Tensor Engine","draft",""
"CMP-M2GA-ATRN3-VECTOR","OBJ-AWS-TRAINIUM3-ARCH","CMP-M2GA-ATRN3-NC","compute","vector","NCv4 Vector Engine","draft",""
"CMP-M2GA-ATRN3-SCALAR","OBJ-AWS-TRAINIUM3-ARCH","CMP-M2GA-ATRN3-NC","compute","scalar","NCv4 Scalar Engine","draft",""
"CMP-M2GA-ATRN3-SBUF","OBJ-AWS-TRAINIUM3-ARCH","CMP-M2GA-ATRN3-NC","memory","memory_level","Software-managed SRAM / SBUF","draft",""
"CMP-M2GA-ATRN3-GPSIMD","OBJ-AWS-TRAINIUM3-ARCH","CMP-M2GA-ATRN3-NC","compute","vector","NCv4 GpSimd Engine","draft",""
"CMP-M2GA-ATRN3-PSUM","OBJ-AWS-TRAINIUM3-ARCH","CMP-M2GA-ATRN3-NC","memory","memory_level","PSUM accumulator store","draft",""
"CMP-M2GA-ATRN3-DMA","OBJ-AWS-TRAINIUM3-ARCH","","data_movement","dma","DMA engines","draft",""
"CMP-M2GA-ATRN3-CC","OBJ-AWS-TRAINIUM3-ARCH","","special_function","network_offload","Collective Communication Cores","draft",""
"CMP-M2GA-AIF1-DEVMEM","OBJ-AWS-INFERENTIA1-ARCH","","memory","memory_level","Device DRAM","draft","只记录层级存在性"
"CMP-M2GA-ATRN1-DEVMEM","OBJ-AWS-TRAINIUM1-ARCH","","memory","memory_level","Device HBM","draft","只记录层级存在性"
"CMP-M2GA-AIF2-DEVMEM","OBJ-AWS-INFERENTIA2-ARCH","","memory","memory_level","Device HBM","draft","只记录层级存在性"
"CMP-M2GA-ATRN3-DEVMEM","OBJ-AWS-TRAINIUM3-ARCH","","memory","memory_level","Device HBM","draft","只记录层级存在性"
"CMP-M2GA-GV4-CMEM","OBJ-GOOGLE-TPU-V4-ARCH","","memory","memory_level","Common memory (CMEM)","draft","共享片上 scratchpad；容量下沉实现对象"
"CMP-M2GA-GV3-SPMEM","OBJ-GOOGLE-TPU-V3-ARCH","CMP-M2GA-GV3-SPARSE","memory","memory_level","SparseCore local scratchpad (SPMEM)","draft","存在性与管理机制；容量下沉"
"CMP-M2GA-GV4-SPMEM","OBJ-GOOGLE-TPU-V4-ARCH","CMP-M2GA-GV4-SPARSE","memory","memory_level","SparseCore local scratchpad (SPMEM)","draft","存在性与管理机制；容量下沉"
"CMP-M2GA-GV5P-SPMEM","OBJ-GOOGLE-TPU-V5P-ARCH","CMP-M2GA-GV5P-SPARSE","memory","memory_level","SparseCore local scratchpad (SPMEM)","draft","存在性与管理机制；容量下沉"
"CMP-M2GA-GV6E-SPMEM","OBJ-GOOGLE-TPU-V6E-ARCH","CMP-M2GA-GV6E-SPARSE","memory","memory_level","SparseCore local scratchpad (SPMEM)","draft","存在性与管理机制；容量下沉"
"CMP-M2GA-G7X-SPMEM","OBJ-GOOGLE-TPU7X-ARCH","CMP-M2GA-G7X-SPARSE","memory","memory_level","SparseCore local scratchpad (SPMEM)","draft","存在性与管理机制；容量下沉"
"CMP-M2GA-GV3-DMA","OBJ-GOOGLE-TPU-V3-ARCH","","data_movement","dma","Software-scheduled DMA path","draft","架构机制；不登记 DMA 数量或吞吐"
"CMP-M2GA-GV4-DMA","OBJ-GOOGLE-TPU-V4-ARCH","","data_movement","dma","Software-scheduled DMA path","draft","架构机制；不登记 DMA 数量或吞吐"
"CMP-M2GA-GV5P-DMA","OBJ-GOOGLE-TPU-V5P-ARCH","","data_movement","dma","Software-scheduled DMA path","draft","架构机制；不登记 DMA 数量或吞吐"
"CMP-M2GA-G7X-DMA","OBJ-GOOGLE-TPU7X-ARCH","","data_movement","dma","Software-scheduled DMA path","draft","架构机制；不登记 DMA 数量或吞吐"
