"screening_id","source_id","screening_status","rationale","full_text_read_status","screened_by","screened_date","screening_fingerprint","review_status","notes"
"SCREEN-M2-GA-G01","SRC-M2-GA-G01","selected","v3、v4、v5p 与 Ironwood 的共同执行、存储、DMA、SparseCore、ICI 与 XLA 事实；Top-K 跨代叙述仅留边界记录","relevant_sections_read","m2_arch_google_aws","2026-08-12","SFP-SRC-M2-GA-G01-selected-r2","draft","按修复后 141 条 architecture_generation 事实重跑；动态来源保持 unfrozen"
"SCREEN-M2-GA-G02","SRC-M2-GA-G02","selected","TPU v3 身份、TensorCore 执行组织和 128×128 MXU 的原始论文证据","relevant_sections_read","m2_arch_google_aws","2026-08-12","SFP-SRC-M2-GA-G02-selected-r2","draft","按修复后 141 条 architecture_generation 事实重跑；动态来源保持 unfrozen"
"SCREEN-M2-GA-G03","SRC-M2-GA-G03","selected","TPU v4 身份、128×128 MXU、CMEM 软件 scratchpad 与 ICI 的原始论文证据","relevant_sections_read","m2_arch_google_aws","2026-08-12","SFP-SRC-M2-GA-G03-selected-r2","draft","按修复后 141 条 architecture_generation 事实重跑；动态来源保持 unfrozen"
"SCREEN-M2-GA-G04","SRC-M2-GA-G04","redundant_covered","本轮最小集移除：修复后不再贡献架构事实；双 die、HBM、D2D 与 I/O 内容只留作实现层线索","relevant_sections_read","m2_arch_google_aws","2026-08-12","SFP-SRC-M2-GA-G04-redundant_covered-r2","draft","按修复后 141 条 architecture_generation 事实重跑；动态来源保持 unfrozen"
"SCREEN-M2-GA-G05","SRC-M2-GA-G05","selected","v5e/v6e 执行与阵列，以及各代 BF16 输入和 FP32 累加语义；不承担 v5e/v6e 存储、DMA 或软件归属","relevant_sections_read","m2_arch_google_aws","2026-08-12","SFP-SRC-M2-GA-G05-selected-r2","draft","按修复后 141 条 architecture_generation 事实重跑；动态来源保持 unfrozen"
"SCREEN-M2-GA-G06","SRC-M2-GA-G06","redundant_covered","本轮最小集移除：v3 架构事实由 G01/G02 覆盖，动态产品总量属于实现层","relevant_sections_read","m2_arch_google_aws","2026-08-12","SFP-SRC-M2-GA-G06-redundant_covered-r2","draft","按修复后 141 条 architecture_generation 事实重跑；动态来源保持 unfrozen"
"SCREEN-M2-GA-G07","SRC-M2-GA-G07","redundant_covered","本轮最小集移除：v4 架构事实由 G01/G03 覆盖，动态产品总量属于实现层","relevant_sections_read","m2_arch_google_aws","2026-08-12","SFP-SRC-M2-GA-G07-redundant_covered-r2","draft","按修复后 141 条 architecture_generation 事实重跑；动态来源保持 unfrozen"
"SCREEN-M2-GA-G08","SRC-M2-GA-G08","selected","v5e 代际身份与 ICI 机制的当前官方入口；动态页面仍未冻结","relevant_sections_read","m2_arch_google_aws","2026-08-12","SFP-SRC-M2-GA-G08-selected-r2","draft","按修复后 141 条 architecture_generation 事实重跑；动态来源保持 unfrozen"
"SCREEN-M2-GA-G09","SRC-M2-GA-G09","redundant_covered","本轮最小集移除：v5p 架构事实由 G01 覆盖，95 GiB 等实现口径不进入本包事实","relevant_sections_read","m2_arch_google_aws","2026-08-12","SFP-SRC-M2-GA-G09-redundant_covered-r2","draft","按修复后 141 条 architecture_generation 事实重跑；动态来源保持 unfrozen"
"SCREEN-M2-GA-G10","SRC-M2-GA-G10","selected","v6e（Trillium）代际身份与 ICI 机制的当前官方入口；动态页面仍未冻结","relevant_sections_read","m2_arch_google_aws","2026-08-12","SFP-SRC-M2-GA-G10-selected-r2","draft","按修复后 141 条 architecture_generation 事实重跑；动态来源保持 unfrozen"
"SCREEN-M2-GA-G11","SRC-M2-GA-G11","selected","Ironwood ICI 机制的当前官方入口；D2D 协议与集合通信管理已下沉 deferred","relevant_sections_read","m2_arch_google_aws","2026-08-12","SFP-SRC-M2-GA-G11-selected-r2","draft","按修复后 141 条 architecture_generation 事实重跑；动态来源保持 unfrozen"
"SCREEN-M2-GA-G12","SRC-M2-GA-G12","redundant_covered","本轮最小集移除：性能指南不贡献修复后架构事实，每 TensorCore 容量属于实现口径","relevant_sections_read","m2_arch_google_aws","2026-08-12","SFP-SRC-M2-GA-G12-redundant_covered-r2","draft","按修复后 141 条 architecture_generation 事实重跑；动态来源保持 unfrozen"
"SCREEN-M2-GA-G13","SRC-M2-GA-G13","selected","TPU 8t/8i 的 FP4、存储管理、SparseCore/LLM Decoder Engine、CAE、TPUDirect 与 Pallas/Mosaic 直接证据","relevant_sections_read","m2_arch_google_aws","2026-08-12","SFP-SRC-M2-GA-G13-selected-r2","draft","按修复后 141 条 architecture_generation 事实重跑；动态来源保持 unfrozen"
"SCREEN-M2-GA-G14","SRC-M2-GA-G14","selected","TPU 8t/8i 待提供状态与 TPU 8i ICI 机制的定日官方证据","relevant_sections_read","m2_arch_google_aws","2026-08-12","SFP-SRC-M2-GA-G14-selected-r2","draft","按修复后 141 条 architecture_generation 事实重跑；动态来源保持 unfrozen"
"SCREEN-M2-GA-G15","SRC-M2-GA-G15","selected","v4/v5p/v6e SparseCore 组织及排序、过滤、前缀和跨 lane 操作的独有证据","relevant_sections_read","m2_arch_google_aws","2026-08-12","SFP-SRC-M2-GA-G15-selected-r2","draft","按修复后 141 条 architecture_generation 事实重跑；动态来源保持 unfrozen"
