"backlog_id","source_fact_candidate_id","architecture_object","field_id","raw_or_normalized_value","required_object_type","source_id","source_locator","status","reason_not_architecture"
"IMPL-FACT-GROQ-LPU1-STREAM-20TIBS","FACT-GROQ-LPU1-STREAM-20TIBS","OBJ-GROQ-LPU1-ARCH","FIELD-MEM-BIDIR-BW","20 TiB/s combined stream-register read/write bandwidth","die/package identity pending","SRC-GROQ-TSP-ISCA2020","PDF p.6, Equation 1","deferred_object_identity","属于具体硅实现、芯片修订或每 LPU 实现规格，architecture_generation 不能承接"
"IMPL-FACT-GROQ-LPU1-SRAM-230MB-V17","FACT-GROQ-LPU1-SRAM-230MB-V17","OBJ-GROQ-LPU1-ARCH","FIELD-MEM-CAPACITY","230000000 byte","die/package/card identity pending","SRC-GROQ-GROQCHIP-BRIEF-V1-7","PDF p.2 specification table","deferred_object_identity","属于具体硅实现、芯片修订或每 LPU 实现规格，architecture_generation 不能承接"
"IMPL-FACT-GROQ-LPU1-SRAM-80TBS-V17","FACT-GROQ-LPU1-SRAM-80TBS-V17","OBJ-GROQ-LPU1-ARCH","FIELD-MEM-BIDIR-BW","80000000000000 byte/s","die/package/card identity pending","SRC-GROQ-GROQCHIP-BRIEF-V1-7","PDF p.2 specification table","deferred_object_identity","属于具体硅实现、芯片修订或每 LPU 实现规格，architecture_generation 不能承接"
"IMPL-FACT-GROQ-LPU1-SRAM-ECC","FACT-GROQ-LPU1-SRAM-ECC","OBJ-GROQ-LPU1-ARCH","FIELD-RAS-ECC","SECDED ECC along the SRAM and stream path","die/package identity pending","SRC-GROQ-TSP-ISCA2020","PDF p.6, SECDED paragraph","deferred_object_identity","属于具体硅实现、芯片修订或每 LPU 实现规格，architecture_generation 不能承接"
"IMPL-FACT-GROQ-LPU1-C2C-LOGICAL-COUNT","FACT-GROQ-LPU1-C2C-LOGICAL-COUNT","OBJ-GROQ-LPU1-ARCH","FIELD-INT-LINK-COUNT","16 logical C2C link groups","die/package identity pending","SRC-GROQ-TSP-ISCA2020","PDF pp.4-5, C2C item 6 and bandwidth equation","deferred_object_identity","属于具体硅实现、芯片修订或每 LPU 实现规格，architecture_generation 不能承接"
"IMPL-FACT-GROQ-LPU1-C2C-PHYSICAL-COUNT","FACT-GROQ-LPU1-C2C-PHYSICAL-COUNT","OBJ-GROQ-LPU1-ARCH","FIELD-INT-PHYSICAL-LINK-COUNT","16 groups × 4 physical links = 64 physical links","die/package identity pending","SRC-GROQ-TSP-ISCA2020","PDF pp.4-5, C2C item 6 and bandwidth equation","deferred_object_identity","属于具体硅实现、芯片修订或每 LPU 实现规格，architecture_generation 不能承接"
"IMPL-FACT-GROQ-LPU1-C2C-RATE","FACT-GROQ-LPU1-C2C-RATE","OBJ-GROQ-LPU1-ARCH","FIELD-INT-PER-LINK-RATE","30 Gbit/s per physical link","die/package identity pending","SRC-GROQ-TSP-ISCA2020","PDF pp.4-5, C2C item 6 and bandwidth equation","deferred_object_identity","属于具体硅实现、芯片修订或每 LPU 实现规格，architecture_generation 不能承接"
"IMPL-FACT-GROQ-LPU1-C2C-BIDIR","FACT-GROQ-LPU1-C2C-BIDIR","OBJ-GROQ-LPU1-ARCH","FIELD-INT-AGGREGATE-BW","3.84 Tbit/s bidirectional off-chip pin bandwidth = 480 GB/s","die/package identity pending","SRC-GROQ-TSP-ISCA2020","PDF p.5, 16×4×30 Gbit/s×2 directions equation","deferred_object_identity","属于具体硅实现、芯片修订或每 LPU 实现规格，architecture_generation 不能承接"
"IMPL-FACT-GROQ-LPU1-BRIEF-FP16-PEAK","FACT-GROQ-LPU1-BRIEF-FP16-PEAK","OBJ-GROQ-LPU1-ARCH","FIELD-COMP-THROUGHPUT","188000000000000 FLOP/s","die/package/card identity pending","SRC-GROQ-GROQCHIP-BRIEF-V1-7","PDF p.2 specification table","deferred_object_identity","属于具体硅实现、芯片修订或每 LPU 实现规格，architecture_generation 不能承接"
"IMPL-FACT-GROQ-LPU1-BRIEF-INT8-PEAK","FACT-GROQ-LPU1-BRIEF-INT8-PEAK","OBJ-GROQ-LPU1-ARCH","FIELD-COMP-THROUGHPUT","750000000000000 OP/s","die/package/card identity pending","SRC-GROQ-GROQCHIP-BRIEF-V1-7","PDF p.2 specification table","deferred_object_identity","属于具体硅实现、芯片修订或每 LPU 实现规格，architecture_generation 不能承接"
"IMPL-FACT-NVG3-SRAM-CAPACITY","FACT-NVG3-SRAM-CAPACITY","OBJ-NVIDIA-GROQ3-ARCH","FIELD-MEM-CAPACITY","500000000 byte","die/package identity pending","SRC-NVG3-ARCH-BLOG-2026-03-16","Section MEM enables extreme on-chip memory bandwidth, paragraph beginning A central element of the LPU","deferred_object_identity","500 MB is stated per LPU; C2C blog is corroboration, not a composite source_id"
"IMPL-FACT-NVG3-SRAM-BW","FACT-NVG3-SRAM-BW","OBJ-NVIDIA-GROQ3-ARCH","FIELD-MEM-BIDIR-BW","150000000000000 byte/s","die/package identity pending","SRC-NVG3-ARCH-BLOG-2026-03-16","Section MEM enables extreme on-chip memory bandwidth, paragraph beginning Because on-chip SRAM capacity is finite","deferred_object_identity","150 TB/s is stated per LPU; C2C blog is corroboration, not a composite source_id"
"IMPL-FACT-NVG3-C2C-COUNT","FACT-NVG3-C2C-COUNT","OBJ-NVIDIA-GROQ3-ARCH","FIELD-INT-LINK-COUNT","96 count","die/package identity pending","SRC-NVG3-C2C-BLOG-2026-05-14","Section High-radix point-to-point links","deferred_object_identity","96 links is a per-LPU implementation quantity; architecture blog independently corroborates it"
"IMPL-FACT-NVG3-C2C-RATE","FACT-NVG3-C2C-RATE","OBJ-NVIDIA-GROQ3-ARCH","FIELD-INT-PER-LINK-RATE","112000000000 bit/s","die/package identity pending","SRC-NVG3-C2C-BLOG-2026-05-14","Section High-radix point-to-point links","deferred_object_identity","112 Gbit/s is a per-link implementation rate; architecture blog independently corroborates it"
"IMPL-FACT-NVG3-C2C-BIDIR","FACT-NVG3-C2C-BIDIR","OBJ-NVIDIA-GROQ3-ARCH","FIELD-INT-AGGREGATE-BW","2500000000000 byte/s","die/package identity pending","SRC-NVG3-C2C-BLOG-2026-05-14","Section High-radix point-to-point links","deferred_object_identity","Roughly 2.5 TB/s is stated per LPU; architecture blog independently corroborates it"
"IMPL-FACT-HUAWEI-DV-MAX-CLOCK","FACT-HUAWEI-DV-MAX-CLOCK","OBJ-HUAWEI-DA-VINCI-INITIAL-ARCH","FIELD-PHY-CLOCK","1 GHz, Ascend-Max AI Core configuration","die/core configuration identity pending","SRC-HUAWEI-ASCEND-HPCA2021","PDF p.6, Table 5","deferred_object_identity","HPCA 2021 Table 5 的 Ascend-Max AI Core 配置条件，不是初代 Da Vinci 架构代际时钟"
"IMPL-FACT-GROQ-LPU1-DIE-DIMENSIONS","FACT-GROQ-LPU1-DIE-DIMENSIONS","OBJ-GROQ-LPU1-ARCH","FIELD-PHY-DIE-AREA","25 mm × 29 mm die dimensions; 725 mm2 area is not directly asserted","die identity pending","SRC-GROQ-TSP-ISCA2020","PDF p.1 Abstract","deferred_object_identity","首颗 14 nm ASIC 的裸片尺寸；保留原始长宽，不把乘积冒充来源直接给出的面积"
"IMPL-FACT-GROQ-LPU1-POWER-MAX","FACT-GROQ-LPU1-POWER-MAX","OBJ-GROQ-LPU1-ARCH","FIELD-PHY-POWER","300 W maximum","card/product revision identity pending","SRC-GROQ-GROQCHIP-BRIEF-V1-7","PDF p.2, Specifications, Power","deferred_object_identity","v1.7 产品修订的最大功耗，不是架构代际定值"
"IMPL-FACT-GROQ-LPU1-POWER-TDP","FACT-GROQ-LPU1-POWER-TDP","OBJ-GROQ-LPU1-ARCH","FIELD-PHY-POWER","215 W TDP","card/product revision identity pending","SRC-GROQ-GROQCHIP-BRIEF-V1-7","PDF p.2, Specifications, Power","deferred_object_identity","v1.7 产品修订的 TDP，不是架构代际定值"
"IMPL-FACT-GROQ-LPU1-POWER-AVERAGE","FACT-GROQ-LPU1-POWER-AVERAGE","OBJ-GROQ-LPU1-ARCH","FIELD-PHY-POWER","185 W average","card/product revision identity pending","SRC-GROQ-GROQCHIP-BRIEF-V1-7","PDF p.2, Specifications, Power","deferred_object_identity","v1.7 产品修订的平均功耗，不是架构代际定值"
"IMPL-FACT-GROQ-LPU1-PCIE-GEN4X16","FACT-GROQ-LPU1-PCIE-GEN4X16","OBJ-GROQ-LPU1-ARCH","FIELD-INT-PROTOCOL","Integrated PCIe Gen4 ×16 controller","chip/card host-interface link identity pending","SRC-GROQ-GROQCHIP-BRIEF-V1-7","PDF p.2, Specifications, I/O","deferred_object_identity","v1.7 产品修订的主机接口，需具体芯片、卡和 link 对象"
"IMPL-FACT-GROQ-LPU1-PCIE-CEM","FACT-GROQ-LPU1-PCIE-CEM","OBJ-GROQ-LPU1-ARCH","FIELD-PHY-FORM-FACTOR","PCIe CEM form factor","package/card identity pending","SRC-GROQ-TSP-ISCA2020","PDF p.12, Section VII Conclusion","deferred_object_identity","首颗 ASIC 的封装/板卡形态，不是 TSP 架构代际机制"
"IMPL-FACT-HUAWEI-DV-CUBE-SHAPE","FACT-HUAWEI-DV-CUBE-SHAPE","OBJ-HUAWEI-DA-VINCI-INITIAL-ARCH","FIELD-COMP-ARRAY-SHAPE","Typical matrix dimension: 16×16×16","AI Core implementation/configuration identity pending","SRC-HUAWEI-ASCEND-HPCA2021","PDF p.3, Section 2.1 Computing Units","deferred_object_identity","论文明确称 typical dimension，并讨论不同 cube 尺寸；不能上升为初代架构固定形状"
"IMPL-FACT-HUAWEI-DV-CUBE-MULTIPLIERS","FACT-HUAWEI-DV-CUBE-MULTIPLIERS","OBJ-HUAWEI-DA-VINCI-INITIAL-ARCH","FIELD-COMP-UNIT-COUNT","4096 multipliers in the typical 16×16×16 cube","AI Core implementation/configuration identity pending","SRC-HUAWEI-ASCEND-HPCA2021","PDF p.3, Section 2.1 Computing Units","deferred_object_identity","数量随典型 cube 配置而定，不是无条件代际常量"
"IMPL-FACT-HUAWEI-DV-CUBE-ACCUMULATORS","FACT-HUAWEI-DV-CUBE-ACCUMULATORS","OBJ-HUAWEI-DA-VINCI-INITIAL-ARCH","FIELD-COMP-UNIT-COUNT","4096 accumulators in the typical 16×16×16 cube","AI Core implementation/configuration identity pending","SRC-HUAWEI-ASCEND-HPCA2021","PDF p.3, Section 2.1 Computing Units","deferred_object_identity","数量随典型 cube 配置而定；不代表累加格式或物理位宽"
"IMPL-FACT-HUAWEI-DV-VECTOR-WIDTH-HC31","FACT-HUAWEI-DV-VECTOR-WIDTH-HC31","OBJ-HUAWEI-DA-VINCI-INITIAL-ARCH","FIELD-COMP-INSTRUCTION-TILE","2048-bit vector label in the 2019 AI Core diagram","2019 AI Core diagram/configuration identity pending","SRC-HUAWEI-DAVINCI-HOTCHIPS31-2019","PDF p.9, AI Core block diagram","deferred_object_identity","2019 图示配置线索；与 2021 Ascend-Max 的 256 B 分开保存，不假定同一配置实例"
"IMPL-FACT-HUAWEI-DV-VECTOR-WIDTH-MAX","FACT-HUAWEI-DV-VECTOR-WIDTH-MAX","OBJ-HUAWEI-DA-VINCI-INITIAL-ARCH","FIELD-COMP-INSTRUCTION-TILE","256 B vector in Ascend-Max Table 5","Ascend-Max AI Core configuration identity pending","SRC-HUAWEI-ASCEND-HPCA2021","PDF p.6, Table 5","deferred_object_identity","2021 Ascend-Max 配置值；不与 2019 图示合并成跨来源架构事实"
"IMPL-FACT-HUAWEI-DV-L0A-CAPACITY","FACT-HUAWEI-DV-L0A-CAPACITY","OBJ-HUAWEI-DA-VINCI-INITIAL-ARCH","FIELD-MEM-CAPACITY","64 KB as printed; KB base not specified","2019 AI Core diagram/configuration identity pending","SRC-HUAWEI-DAVINCI-HOTCHIPS31-2019","PDF p.9, AI Core block diagram","deferred_object_identity","示例配置容量；保留原始 KB，不默认换算为 KiB 或 65,536 byte"
"IMPL-FACT-HUAWEI-DV-L0B-CAPACITY","FACT-HUAWEI-DV-L0B-CAPACITY","OBJ-HUAWEI-DA-VINCI-INITIAL-ARCH","FIELD-MEM-CAPACITY","64 KB as printed; KB base not specified","2019 AI Core diagram/configuration identity pending","SRC-HUAWEI-DAVINCI-HOTCHIPS31-2019","PDF p.9, AI Core block diagram","deferred_object_identity","示例配置容量；保留原始 KB，不默认二进制换算"
"IMPL-FACT-HUAWEI-DV-L0C-CAPACITY","FACT-HUAWEI-DV-L0C-CAPACITY","OBJ-HUAWEI-DA-VINCI-INITIAL-ARCH","FIELD-MEM-CAPACITY","256 KB as printed; KB base not specified","2019 AI Core diagram/configuration identity pending","SRC-HUAWEI-DAVINCI-HOTCHIPS31-2019","PDF p.9, AI Core block diagram","deferred_object_identity","示例配置容量；保留原始 KB，不默认二进制换算"
"IMPL-FACT-HUAWEI-DV-UB-CAPACITY","FACT-HUAWEI-DV-UB-CAPACITY","OBJ-HUAWEI-DA-VINCI-INITIAL-ARCH","FIELD-MEM-CAPACITY","256 KB as printed; KB base not specified","2019 AI Core diagram/configuration identity pending","SRC-HUAWEI-DAVINCI-HOTCHIPS31-2019","PDF p.9, AI Core block diagram","deferred_object_identity","示例配置容量；保留原始 KB，不默认二进制换算"
"IMPL-FACT-HUAWEI-DV-L1-CAPACITY","FACT-HUAWEI-DV-L1-CAPACITY","OBJ-HUAWEI-DA-VINCI-INITIAL-ARCH","FIELD-MEM-CAPACITY","1 MB as printed; MB base not specified","2019 AI Core diagram/configuration identity pending","SRC-HUAWEI-DAVINCI-HOTCHIPS31-2019","PDF p.9, AI Core block diagram","deferred_object_identity","示例配置容量；保留原始 MB，不默认换算为 MiB 或 1,048,576 byte"
"IMPL-FACT-HUAWEI-DV-MAX-CUBE-PER-CYCLE","FACT-HUAWEI-DV-MAX-CUBE-PER-CYCLE","OBJ-HUAWEI-DA-VINCI-INITIAL-ARCH","FIELD-COMP-THROUGHPUT","8192 FLOP/cycle, FP16, Ascend-Max AI Core","Ascend-Max AI Core configuration and precision-path identity pending","SRC-HUAWEI-ASCEND-HPCA2021","PDF p.6, Table 5","deferred_object_identity","Ascend-Max 配置的每周期吞吐，不是初代 Da Vinci 架构代际峰值"
"IMPL-FACT-HUAWEI-DV-MAX-L1-A-BW","FACT-HUAWEI-DV-MAX-L1-A-BW","OBJ-HUAWEI-DA-VINCI-INITIAL-ARCH","","L1 Bandwidth A: 4 TB/s; direction not separately stated in Table 5","Ascend-Max AI Core configuration and memory-path identity pending","SRC-HUAWEI-ASCEND-HPCA2021","PDF p.6, Table 5","deferred_object_identity","配置值且方向口径待核；暂不强映射为 read、write 或 bidirectional 字段"
"IMPL-FACT-HUAWEI-DV-MAX-L1-B-BW","FACT-HUAWEI-DV-MAX-L1-B-BW","OBJ-HUAWEI-DA-VINCI-INITIAL-ARCH","","L1 Bandwidth B: 2 TB/s; direction not separately stated in Table 5","Ascend-Max AI Core configuration and memory-path identity pending","SRC-HUAWEI-ASCEND-HPCA2021","PDF p.6, Table 5","deferred_object_identity","配置值且方向口径待核；暂不强映射为 read、write 或 bidirectional 字段"
"IMPL-FACT-HUAWEI-DV-MAX-UB-BW","FACT-HUAWEI-DV-MAX-UB-BW","OBJ-HUAWEI-DA-VINCI-INITIAL-ARCH","","UB: 2 TB/s; direction not specified","Ascend-Max AI Core configuration and memory-path identity pending","SRC-HUAWEI-ASCEND-HPCA2021","PDF p.6, Table 5","deferred_object_identity","配置值且来源未说明方向；不能归一为双向带宽"
