"object_id","vendor_id","canonical_label","object_type","curator_slug","review_status","notes"
"OBJ-AWS-INF2-24XLARGE","VEN-AWS","Amazon EC2 inf2.24xlarge","cloud_instance","aws-ec2-inf2-24xlarge","reviewed","M2 范围门导入；正式 EC2 instance type。"
"OBJ-AWS-INF2-48XLARGE","VEN-AWS","Amazon EC2 inf2.48xlarge","cloud_instance","aws-ec2-inf2-48xlarge","reviewed","M2 范围门导入；正式 EC2 instance type。"
"OBJ-GOOGLE-CT6E-STANDARD-FAMILY","VEN-GOOGLE","Google ct6e-standard machine type family","cloud_instance","google-ct6e-standard-machine-type-family","reviewed","M2 范围门导入；TPU VM machine type 家族容器，1t/4t/8t 先作为配置行。"
"OBJ-GOOGLE-TPU-V3-POD","VEN-GOOGLE","Google Cloud TPU v3 Pod","pod","google-cloud-tpu-v3-pod","reviewed","M2 范围门导入；历史系统对象，与 TPU v3 架构对象分开。"
"OBJ-GOOGLE-TPU-8T-SUPERPOD","VEN-GOOGLE","Google TPU 8t Superpod","pod","google-tpu-8t-superpod","needs_resolution","M2 范围门导入；announced 观察对象，尚无稳定云配置或正式可用日期。"
"OBJ-GOOGLE-TPU-8I-POD","VEN-GOOGLE","Google TPU 8i Pod","pod","google-tpu-8i-pod","needs_resolution","M2 范围门导入；announced 观察对象，尚无稳定云配置或正式可用日期。"
"OBJ-NVIDIA-GROQ3-ARCH","VEN-NVIDIA","NVIDIA Groq 3 LPU architecture","architecture_generation","nvidia-groq3-lpu-architecture","reviewed","M2 范围门导入；NVIDIA 当前产品，Groq 表示许可技术与品牌来源。"
"OBJ-NVIDIA-GROQ3-LPX-TRAY","VEN-NVIDIA","NVIDIA Groq 3 LPX compute tray","server","nvidia-groq3-lpx-compute-tray","reviewed","M2 范围门导入；1U 计算托盘系统，不按 baseboard 处理。"
"OBJ-NVIDIA-GROQ3-LPX-RACK","VEN-NVIDIA","NVIDIA Groq 3 LPX rack","rack","nvidia-groq3-lpx-rack","needs_resolution","M2 范围门导入；交付状态仍待对象匹配证据。"
"OBJ-NVIDIA-ADA-LOVELACE-ARCH","VEN-NVIDIA","NVIDIA Ada Lovelace architecture","architecture_generation","nvidia-ada-lovelace-architecture","reviewed","M2 范围门导入；L20 与 L2 的共享架构对象。"
"OBJ-NVIDIA-L20","VEN-NVIDIA","NVIDIA L20","card","nvidia-l20","reviewed","M2 范围门导入；对象身份和 Ada Lovelace 关系已确认，规格与供货另取证。"
"OBJ-NVIDIA-L2","VEN-NVIDIA","NVIDIA L2","card","nvidia-l2","reviewed","M2 范围门导入；对象身份和 Ada Lovelace 关系已确认，规格与供货另取证。"
"OBJ-AMD-CDNA3-ARCH","VEN-AMD","AMD CDNA 3 architecture","architecture_generation","amd-cdna3-architecture","reviewed","M2 范围门导入；现阶段不建立 MI308X 的正式架构关系。"
"OBJ-AMD-MI308X","VEN-AMD","AMD Instinct MI308X OAM","module","amd-instinct-mi308x-oam","reviewed","M2 范围门导入；产品身份与已发货状态有一手依据，CDNA 3 关系待核。"
"OBJ-AMD-CDNA4-ARCH","VEN-AMD","AMD CDNA 4 architecture","architecture_generation","amd-cdna4-architecture","reviewed","M2 范围门导入；MI350P 的共享架构对象。"
"OBJ-AMD-MI350P","VEN-AMD","AMD Instinct MI350P PCIe","card","amd-instinct-mi350p-pcie","reviewed","M2 范围门导入；PCIe 卡身份与 CDNA 4 关系已确认。"
"OBJ-AMD-CDNA5-ARCH","VEN-AMD","AMD CDNA 5 architecture","architecture_generation","amd-cdna5-architecture","reviewed","M2 范围门导入；截止日状态按 announced 取证，不把计划发货当实际交付。"
"OBJ-AMD-MI455X","VEN-AMD","AMD Instinct MI455X","module","amd-instinct-mi455x","reviewed","M2 范围门导入；EAM 映射为 module，截止日仍按 announced 处理。"
"OBJ-AMD-HELIOS-72-MI455X","VEN-AMD","AMD Helios 72-MI455X reference rack","rack","amd-helios-72-mi455x-reference-rack","reviewed","M2 范围门导入；OEM/ODM 参考设计，不是 AMD 可订购成品。"
"OBJ-AMD-CDNA6-ARCH","VEN-AMD","AMD CDNA 6 architecture","architecture_generation","amd-cdna6-architecture","reviewed","M2 范围门导入；未来架构观察对象，计划随 2027 年产品落地。"
"OBJ-HUAWEI-CLOUDMATRIX384","VEN-HUAWEI","Huawei CloudMatrix384 supernode","pod","huawei-cloudmatrix384-supernode","reviewed","M2 范围门导入；硬件超节点，基于该系统的云服务另建对象。"
"OBJ-HUAWEI-ATLAS-800-A3","VEN-HUAWEI","Huawei Atlas 800 A3 air-cooled supernode","pod","huawei-atlas-800-a3-air-cooled-supernode","needs_resolution","M2 范围门导入；独立超节点，不作为 800T/800I 总称，物理边界待固定手册。"
"OBJ-HUAWEI-ATLAS-800T-A3","VEN-HUAWEI","Huawei Atlas 800T A3","server","huawei-atlas-800t-a3","reviewed","M2 范围门导入；独立超节点服务器身份。"
"OBJ-HUAWEI-ATLAS-800I-A3","VEN-HUAWEI","Huawei Atlas 800I A3","server","huawei-atlas-800i-a3","reviewed","M2 范围门导入；独立超节点服务器身份。"
"OBJ-HUAWEI-ATLAS-850","VEN-HUAWEI","Huawei Atlas 850","server","huawei-atlas-850","needs_resolution","M2 范围门导入；与 850E、860 分开，供货与配置边界待核。"
"OBJ-HUAWEI-ATLAS-850E","VEN-HUAWEI","Huawei Atlas 850E","server","huawei-atlas-850e","needs_resolution","M2 范围门导入；与 850、860 分开，供货与配置边界待核。"
"OBJ-HUAWEI-ATLAS-860","VEN-HUAWEI","Huawei Atlas 860","server","huawei-atlas-860","needs_resolution","M2 范围门导入；与 850/850E 分开，截止日仅确认发布身份。"
"OBJ-HUAWEI-ATLAS-950-SUPERPOD","VEN-HUAWEI","Huawei Atlas 950 SuperPoD","pod","huawei-atlas-950-superpod","needs_resolution","M2 范围门导入；64/1024/8192 NPU 为条件化配置，不拆成三个产品对象。"
"OBJ-HUAWEI-ASCEND-950-DIE","VEN-HUAWEI","Huawei Ascend 950 die","die","huawei-ascend-950-die","reviewed","M2 范围门导入；950PR 与 950DT 共享裸片对象。"
"OBJ-HUAWEI-ASCEND-950PR","VEN-HUAWEI","Huawei Ascend 950PR","package","huawei-ascend-950pr","reviewed","M2 范围门导入；与 950DT 分开，独立供货状态需对象匹配证据。"
"OBJ-HUAWEI-ASCEND-950DT","VEN-HUAWEI","Huawei Ascend 950DT","package","huawei-ascend-950dt","reviewed","M2 范围门导入；与 950PR 分开，截止日供货状态待核。"
"OBJ-NVIDIA-AMPERE-ARCH","VEN-NVIDIA","NVIDIA Ampere architecture","architecture_generation","nvidia-ampere-architecture","reviewed","M2 第一波架构工作包已完成；历史锚点，身份与架构事实已复核。"
"OBJ-NVIDIA-BLACKWELL-ARCH","VEN-NVIDIA","NVIDIA Blackwell architecture","architecture_generation","nvidia-blackwell-architecture","reviewed","M2 第一波架构工作包已完成；身份已确认，身份与架构事实已复核。"
"OBJ-NVIDIA-BLACKWELL-ULTRA-ARCH","VEN-NVIDIA","NVIDIA Blackwell Ultra architecture","architecture_generation","nvidia-blackwell-ultra-architecture","reviewed","M2 第一波架构工作包已完成；与 Blackwell 分开，身份与架构事实已复核。"
"OBJ-NVIDIA-RUBIN-ARCH","VEN-NVIDIA","NVIDIA Rubin architecture","architecture_generation","nvidia-rubin-architecture","reviewed","M2 第一波架构工作包已完成；观察对象，截止日状态另作事实。"
"OBJ-GOOGLE-TPU-V3-ARCH","VEN-GOOGLE","Google TPU v3 architecture","architecture_generation","google-tpu-v3-architecture","reviewed","M2 第一波架构工作包已完成；历史锚点，与 TPU v3 Pod 分开。"
"OBJ-GOOGLE-TPU-V4-ARCH","VEN-GOOGLE","Google TPU v4 architecture","architecture_generation","google-tpu-v4-architecture","reviewed","M2 第一波架构工作包已完成；身份与架构事实已复核。"
"OBJ-GOOGLE-TPU-V5E-ARCH","VEN-GOOGLE","Google TPU v5e architecture","architecture_generation","google-tpu-v5e-architecture","reviewed","M2 第一波架构工作包已完成；身份与架构事实已复核。"
"OBJ-GOOGLE-TPU-V5P-ARCH","VEN-GOOGLE","Google TPU v5p architecture","architecture_generation","google-tpu-v5p-architecture","reviewed","M2 第一波架构工作包已完成；身份与架构事实已复核。"
"OBJ-GOOGLE-TPU-V6E-ARCH","VEN-GOOGLE","Google TPU v6e Trillium architecture","architecture_generation","google-tpu-v6e-trillium-architecture","reviewed","M2 第一波架构工作包已完成；身份与架构事实已复核。"
"OBJ-GOOGLE-TPU7X-ARCH","VEN-GOOGLE","Google TPU7x Ironwood architecture","architecture_generation","google-tpu7x-ironwood-architecture","reviewed","M2 第一波架构工作包已完成；身份与架构事实已复核。"
"OBJ-GOOGLE-TPU-8T-ARCH","VEN-GOOGLE","Google TPU 8t architecture","architecture_generation","google-tpu-8t-architecture","reviewed","M2 第一波架构工作包已完成；announced 观察对象，与 TPU 8t Superpod 分开。"
"OBJ-GOOGLE-TPU-8I-ARCH","VEN-GOOGLE","Google TPU 8i architecture","architecture_generation","google-tpu-8i-architecture","reviewed","M2 第一波架构工作包已完成；announced 观察对象，与 TPU 8i Pod 分开。"
"OBJ-AWS-INFERENTIA1-ARCH","VEN-AWS","AWS Inferentia first-generation architecture","architecture_generation","aws-inferentia1-architecture","reviewed","M2 第一波架构工作包已完成；历史锚点，身份与架构事实已复核。"
"OBJ-AWS-TRAINIUM1-ARCH","VEN-AWS","AWS Trainium first-generation architecture","architecture_generation","aws-trainium1-architecture","reviewed","M2 第一波架构工作包已完成；身份与架构事实已复核。"
"OBJ-AWS-INFERENTIA2-ARCH","VEN-AWS","AWS Inferentia2 architecture","architecture_generation","aws-inferentia2-architecture","reviewed","M2 第一波架构工作包已完成；身份与架构事实已复核。"
"OBJ-AWS-TRAINIUM3-ARCH","VEN-AWS","AWS Trainium3 architecture","architecture_generation","aws-trainium3-architecture","reviewed","M2 第一波架构工作包已完成；身份与架构事实已复核。"
"OBJ-AWS-TRAINIUM4-ARCH","VEN-AWS","AWS Trainium4 architecture","architecture_generation","aws-trainium4-architecture","reviewed","M2 第一波架构工作包已完成；announced 观察对象，不代表未来系统身份成立。"
"OBJ-GROQ-LPU1-ARCH","VEN-GROQ","Groq first-generation LPU architecture","architecture_generation","groq-first-generation-lpu-architecture","reviewed","M2 第一波架构工作包已完成；历史架构对象，与 NVIDIA Groq 3 分开。"
"OBJ-HUAWEI-DA-VINCI-INITIAL-ARCH","VEN-HUAWEI","Huawei Da Vinci initial architecture","architecture_generation","huawei-da-vinci-initial-architecture","reviewed","M2 第一波架构工作包已完成；历史锚点，只承接原始资料明确覆盖的代际事实。"
"OBJ-AMD-CDNA2-ARCH","VEN-AMD","AMD CDNA 2 architecture","architecture_generation","amd-cdna2-architecture","reviewed","M2 第一波架构工作包已完成；历史锚点，身份与架构事实已复核。"
"OBJ-AWS-INFERENTIA1-CHIP","VEN-AWS","AWS Inferentia chip","package","aws-inferentia1-chip","needs_resolution","第二波范围补裁决预留；历史单器件对象。package 仅作保守容器，不表示封装构造已公开；实例数量、当前供货与退役状态另核。"
"OBJ-AWS-TRAINIUM1-CHIP","VEN-AWS","AWS Trainium chip","package","aws-trainium1-chip","needs_resolution","第二波范围补裁决预留；与 Trn1 实例分开。package 不证明裸片、芯粒、基板或订货形态。"
"OBJ-AWS-INFERENTIA2-CHIP","VEN-AWS","AWS Inferentia2 chip","package","aws-inferentia2-chip","needs_resolution","第二波范围补裁决预留；与 Inf2 实例分开，实例最多 12 颗不属于单器件属性。package 构造仍未公开。"
"OBJ-AWS-TRAINIUM3-CHIP","VEN-AWS","AWS Trainium3 chip","package","aws-trainium3-chip","needs_resolution","第二波范围补裁决预留；与 Trn3 UltraServer 系统值分开。package 构造、独立供货形态和器件状态仍待核。"
"OBJ-GOOGLE-TPU-V5E-CLOUD-DEVICE","VEN-GOOGLE","Google Cloud TPU v5e device","cloud_accelerator","google-tpu-v5e-cloud-device","needs_resolution","第二波范围补裁决；仅承接单器件公开事实。VM、machine type、slice 和 Pod 配置另层；来源与事实门尚未关闭。"
"OBJ-GOOGLE-TPU-V5P-CLOUD-DEVICE","VEN-GOOGLE","Google Cloud TPU v5p device","cloud_accelerator","google-tpu-v5p-cloud-device","needs_resolution","第二波范围补裁决；仅承接云端单器件事实。95 GiB 云端值与 96 GiB 物理候选分开，不推导 1 GiB 预留。"
"OBJ-GOOGLE-TPU-V6E-CLOUD-DEVICE","VEN-GOOGLE","Google Cloud TPU v6e device","cloud_accelerator","google-tpu-v6e-cloud-device","needs_resolution","第二波范围补裁决；仅承接单器件公开事实。ct6e machine type、slice 和 Pod 配置另层；来源与事实门尚未关闭。"
