"enum_value_id","enum_name","enum_value","sort_order","definition","review_status","notes"
"ENUM-COMPONENT-DOMAIN-004","component_domain","special_function","4","枚举 component_domain 的受控值 special_function","approved",""
"ENUM-COMPONENT-DOMAIN-005","component_domain","fixed_function","5","枚举 component_domain 的受控值 fixed_function","approved",""
"ENUM-COMPONENT-DOMAIN-006","component_domain","control","6","枚举 component_domain 的受控值 control","approved",""
"ENUM-COMPONENT-TYPE-001","component_type","matrix","1","枚举 component_type 的受控值 matrix","approved",""
"ENUM-COMPONENT-TYPE-002","component_type","vector","2","枚举 component_type 的受控值 vector","approved",""
"ENUM-COMPONENT-TYPE-003","component_type","scalar","3","枚举 component_type 的受控值 scalar","approved",""
"ENUM-COMPONENT-TYPE-004","component_type","control","4","枚举 component_type 的受控值 control","approved",""
"ENUM-COMPONENT-TYPE-005","component_type","special_function","5","枚举 component_type 的受控值 special_function","approved",""
"ENUM-COMPONENT-TYPE-006","component_type","memory_level","6","枚举 component_type 的受控值 memory_level","approved",""
"ENUM-COMPONENT-TYPE-007","component_type","dma","7","枚举 component_type 的受控值 dma","approved",""
"ENUM-COMPONENT-TYPE-008","component_type","async_copy","8","枚举 component_type 的受控值 async_copy","approved",""
"ENUM-COMPONENT-TYPE-009","component_type","load_store","9","枚举 component_type 的受控值 load_store","approved",""
"ENUM-COMPONENT-TYPE-010","component_type","format_conversion","10","枚举 component_type 的受控值 format_conversion","approved",""
"ENUM-COMPONENT-TYPE-011","component_type","compression","11","枚举 component_type 的受控值 compression","approved",""
"ENUM-COMPONENT-TYPE-012","component_type","decompression","12","枚举 component_type 的受控值 decompression","approved",""
"ENUM-COMPONENT-TYPE-013","component_type","video_encode","13","枚举 component_type 的受控值 video_encode","approved",""
"ENUM-COMPONENT-TYPE-014","component_type","video_decode","14","枚举 component_type 的受控值 video_decode","approved",""
"ENUM-COMPONENT-TYPE-015","component_type","image_decode","15","枚举 component_type 的受控值 image_decode","approved",""
"ENUM-COMPONENT-TYPE-016","component_type","security","16","枚举 component_type 的受控值 security","approved",""
"ENUM-COMPONENT-TYPE-017","component_type","network_offload","17","枚举 component_type 的受控值 network_offload","approved",""
"ENUM-COMPONENT-TYPE-018","component_type","other_fixed_function","18","枚举 component_type 的受控值 other_fixed_function","approved",""
"ENUM-OPERATION-CLASS-001","operation_class","matrix","1","枚举 operation_class 的受控值 matrix","approved",""
"ENUM-OPERATION-CLASS-002","operation_class","vector","2","枚举 operation_class 的受控值 vector","approved",""
"ENUM-OPERATION-CLASS-003","operation_class","scalar","3","枚举 operation_class 的受控值 scalar","approved",""
"ENUM-OPERATION-CLASS-004","operation_class","reduction","4","枚举 operation_class 的受控值 reduction","approved",""
"ENUM-OPERATION-CLASS-005","operation_class","special_function","5","枚举 operation_class 的受控值 special_function","approved",""
"ENUM-OPERATION-CLASS-006","operation_class","data_move","6","枚举 operation_class 的受控值 data_move","approved",""
"ENUM-OPERATION-CLASS-007","operation_class","fixed_function","7","枚举 operation_class 的受控值 fixed_function","approved",""
"ENUM-OPERATION-CLASS-008","operation_class","other","8","枚举 operation_class 的受控值 other","approved",""
"ENUM-CAPABILITY-TYPE-001","capability_type","top_k","1","枚举 capability_type 的受控值 top_k","approved",""
"ENUM-CAPABILITY-TYPE-002","capability_type","sort","2","枚举 capability_type 的受控值 sort","approved",""
"ENUM-CAPABILITY-TYPE-003","capability_type","moe_route","3","枚举 capability_type 的受控值 moe_route","approved",""
"ENUM-CAPABILITY-TYPE-004","capability_type","moe_dispatch","4","枚举 capability_type 的受控值 moe_dispatch","approved",""
"ENUM-CAPABILITY-TYPE-005","capability_type","all_to_all","5","枚举 capability_type 的受控值 all_to_all","approved",""
"ENUM-CAPABILITY-TYPE-006","capability_type","reduction","6","枚举 capability_type 的受控值 reduction","approved",""
"ENUM-CAPABILITY-TYPE-007","capability_type","softmax","7","枚举 capability_type 的受控值 softmax","approved",""
"ENUM-CAPABILITY-TYPE-008","capability_type","sampling","8","枚举 capability_type 的受控值 sampling","approved",""
"ENUM-CAPABILITY-TYPE-009","capability_type","sparse_skip","9","枚举 capability_type 的受控值 sparse_skip","approved",""
"ENUM-CAPABILITY-TYPE-010","capability_type","compression","10","枚举 capability_type 的受控值 compression","approved",""
"ENUM-CAPABILITY-TYPE-011","capability_type","decompression","11","枚举 capability_type 的受控值 decompression","approved",""
"ENUM-CAPABILITY-TYPE-012","capability_type","quantize","12","枚举 capability_type 的受控值 quantize","approved",""
"ENUM-CAPABILITY-TYPE-013","capability_type","dequantize","13","枚举 capability_type 的受控值 dequantize","approved",""
"ENUM-CAPABILITY-TYPE-014","capability_type","kv_cache_management","14","枚举 capability_type 的受控值 kv_cache_management","approved",""
"ENUM-CAPABILITY-TYPE-015","capability_type","attention_data_move","15","枚举 capability_type 的受控值 attention_data_move","approved",""
"ENUM-CAPABILITY-TYPE-016","capability_type","collective_offload","16","枚举 capability_type 的受控值 collective_offload","approved",""
"ENUM-CAPABILITY-TYPE-017","capability_type","other","17","枚举 capability_type 的受控值 other","approved",""
"ENUM-MEMORY-LEVEL-CLASS-001","memory_level_class","register","1","枚举 memory_level_class 的受控值 register","approved",""
"ENUM-MEMORY-LEVEL-CLASS-002","memory_level_class","accumulator_store","2","枚举 memory_level_class 的受控值 accumulator_store","approved",""
"ENUM-MEMORY-LEVEL-CLASS-003","memory_level_class","local_scratchpad","3","枚举 memory_level_class 的受控值 local_scratchpad","approved",""
"ENUM-MEMORY-LEVEL-CLASS-004","memory_level_class","shared_scratchpad","4","枚举 memory_level_class 的受控值 shared_scratchpad","approved",""
"ENUM-MEMORY-LEVEL-CLASS-005","memory_level_class","l0","5","枚举 memory_level_class 的受控值 l0","approved",""
"ENUM-MEMORY-LEVEL-CLASS-006","memory_level_class","l1","6","枚举 memory_level_class 的受控值 l1","approved",""
"ENUM-MEMORY-LEVEL-CLASS-007","memory_level_class","l2","7","枚举 memory_level_class 的受控值 l2","approved",""
"ENUM-MEMORY-LEVEL-CLASS-008","memory_level_class","llc","8","枚举 memory_level_class 的受控值 llc","approved",""
"ENUM-MEMORY-LEVEL-CLASS-009","memory_level_class","onchip_sram","9","枚举 memory_level_class 的受控值 onchip_sram","approved",""
"ENUM-MEMORY-LEVEL-CLASS-010","memory_level_class","hbm","10","枚举 memory_level_class 的受控值 hbm","approved",""
"ENUM-MEMORY-LEVEL-CLASS-011","memory_level_class","gddr","11","枚举 memory_level_class 的受控值 gddr","approved",""
"ENUM-MEMORY-LEVEL-CLASS-012","memory_level_class","ddr","12","枚举 memory_level_class 的受控值 ddr","approved",""
"ENUM-MEMORY-LEVEL-CLASS-013","memory_level_class","host_memory","13","枚举 memory_level_class 的受控值 host_memory","approved",""
"ENUM-MEMORY-LEVEL-CLASS-014","memory_level_class","remote_memory","14","枚举 memory_level_class 的受控值 remote_memory","approved",""
"ENUM-MEMORY-LEVEL-CLASS-015","memory_level_class","logical_memory_view","15","枚举 memory_level_class 的受控值 logical_memory_view","approved",""
"ENUM-LINK-LEVEL-001","link_level","on_core","1","枚举 link_level 的受控值 on_core","approved",""
"ENUM-LINK-LEVEL-002","link_level","on_chip","2","枚举 link_level 的受控值 on_chip","approved",""
"ENUM-LINK-LEVEL-003","link_level","die_to_die","3","枚举 link_level 的受控值 die_to_die","approved",""
"ENUM-LINK-LEVEL-004","link_level","package_internal","4","枚举 link_level 的受控值 package_internal","approved",""
"ENUM-LINK-LEVEL-005","link_level","host_device","5","枚举 link_level 的受控值 host_device","approved",""
"ENUM-LINK-LEVEL-006","link_level","device_direct","6","枚举 link_level 的受控值 device_direct","approved",""
"ENUM-LINK-LEVEL-007","link_level","node_internal","7","枚举 link_level 的受控值 node_internal","approved",""
"ENUM-LINK-LEVEL-008","link_level","rack_scale_up","8","枚举 link_level 的受控值 rack_scale_up","approved",""
"ENUM-LINK-LEVEL-009","link_level","datacenter_scale_out","9","枚举 link_level 的受控值 datacenter_scale_out","approved",""
"ENUM-FIELD-DOMAIN-001","field_domain","identity","1","枚举 field_domain 的受控值 identity","approved",""
"ENUM-FIELD-DOMAIN-002","field_domain","physical","2","枚举 field_domain 的受控值 physical","approved",""
"ENUM-FIELD-DOMAIN-003","field_domain","compute","3","枚举 field_domain 的受控值 compute","approved",""
"ENUM-FIELD-DOMAIN-004","field_domain","numerics","4","枚举 field_domain 的受控值 numerics","approved",""
"ENUM-FIELD-DOMAIN-005","field_domain","memory","5","枚举 field_domain 的受控值 memory","approved",""
"ENUM-FIELD-DOMAIN-006","field_domain","interconnect","6","枚举 field_domain 的受控值 interconnect","approved",""
"ENUM-FIELD-DOMAIN-007","field_domain","special_capabilities","7","枚举 field_domain 的受控值 special_capabilities","approved",""
"ENUM-FIELD-DOMAIN-008","field_domain","software","8","枚举 field_domain 的受控值 software","approved",""
"ENUM-FIELD-DOMAIN-009","field_domain","reliability","9","枚举 field_domain 的受控值 reliability","approved",""
"ENUM-FIELD-DOMAIN-010","field_domain","virtualization","10","枚举 field_domain 的受控值 virtualization","approved",""
"ENUM-FIELD-DOMAIN-011","field_domain","benchmark","11","枚举 field_domain 的受控值 benchmark","approved",""
"ENUM-FIELD-DOMAIN-012","field_domain","relationship","12","枚举 field_domain 的受控值 relationship","approved",""
"ENUM-FIELD-DOMAIN-013","field_domain","derived","13","枚举 field_domain 的受控值 derived","approved",""
"ENUM-VALUE-KIND-001","value_kind","text","1","枚举 value_kind 的受控值 text","approved",""
"ENUM-VALUE-KIND-002","value_kind","number","2","枚举 value_kind 的受控值 number","approved",""
"ENUM-VALUE-KIND-003","value_kind","date","3","枚举 value_kind 的受控值 date","approved",""
"ENUM-VALUE-KIND-004","value_kind","enum","4","枚举 value_kind 的受控值 enum","approved",""
"ENUM-VALUE-KIND-005","value_kind","relation","5","枚举 value_kind 的受控值 relation","approved",""
"ENUM-VALUE-KIND-006","value_kind","boolean","6","枚举 value_kind 的受控值 boolean","approved",""
"ENUM-CONDITION-SCHEMA-001","condition_schema","none","1","枚举 condition_schema 的受控值 none","approved",""
"ENUM-CONDITION-SCHEMA-002","condition_schema","identity","2","枚举 condition_schema 的受控值 identity","approved",""
"ENUM-CONDITION-SCHEMA-003","condition_schema","physical","3","枚举 condition_schema 的受控值 physical","approved",""
"ENUM-CONDITION-SCHEMA-004","condition_schema","compute","4","枚举 condition_schema 的受控值 compute","approved",""
"ENUM-CONDITION-SCHEMA-005","condition_schema","precision","5","枚举 condition_schema 的受控值 precision","approved",""
"ENUM-CONDITION-SCHEMA-006","condition_schema","memory","6","枚举 condition_schema 的受控值 memory","approved",""
"ENUM-CONDITION-SCHEMA-007","condition_schema","bandwidth","7","枚举 condition_schema 的受控值 bandwidth","approved",""
"ENUM-CONDITION-SCHEMA-008","condition_schema","interconnect","8","枚举 condition_schema 的受控值 interconnect","approved",""
"ENUM-CONDITION-SCHEMA-009","condition_schema","capability","9","枚举 condition_schema 的受控值 capability","approved",""
"ENUM-CONDITION-SCHEMA-010","condition_schema","software","10","枚举 condition_schema 的受控值 software","approved",""
"ENUM-CONDITION-SCHEMA-011","condition_schema","reliability","11","枚举 condition_schema 的受控值 reliability","approved",""
"ENUM-CONDITION-SCHEMA-012","condition_schema","benchmark","12","枚举 condition_schema 的受控值 benchmark","approved",""
"ENUM-CONDITION-SCHEMA-013","condition_schema","derived","13","枚举 condition_schema 的受控值 derived","approved",""
"ENUM-CONDITION-SCHEMA-014","condition_schema","relationship","14","枚举 condition_schema 的受控值 relationship","approved",""
"ENUM-CONDITION-SCHEMA-015","condition_schema","time_version","15","枚举 condition_schema 的受控值 time_version","approved",""
"ENUM-REQUIRED-TIER-001","required_tier","core","1","枚举 required_tier 的受控值 core","approved",""
"ENUM-REQUIRED-TIER-002","required_tier","important","2","枚举 required_tier 的受控值 important","approved",""
"ENUM-REQUIRED-TIER-003","required_tier","extended","3","枚举 required_tier 的受控值 extended","approved",""
"ENUM-REQUIRED-TIER-004","required_tier","conditional","4","枚举 required_tier 的受控值 conditional","approved",""
"ENUM-REQUIREMENT-STATUS-001","requirement_status","value_available","1","枚举 requirement_status 的受控值 value_available","approved",""
"ENUM-REQUIREMENT-STATUS-002","requirement_status","not_public","2","枚举 requirement_status 的受控值 not_public","approved",""
"ENUM-REQUIREMENT-STATUS-003","requirement_status","not_found","3","枚举 requirement_status 的受控值 not_found","approved",""
"ENUM-REQUIREMENT-STATUS-004","requirement_status","not_applicable","4","枚举 requirement_status 的受控值 not_applicable","approved",""
"ENUM-REQUIREMENT-STATUS-005","requirement_status","pending_verification","5","枚举 requirement_status 的受控值 pending_verification","approved",""
"ENUM-REQUIREMENT-STATUS-006","requirement_status","inaccessible_evidence","6","枚举 requirement_status 的受控值 inaccessible_evidence","approved",""
"ENUM-REQUIREMENT-STATUS-007","requirement_status","conflicting_unresolved","7","枚举 requirement_status 的受控值 conflicting_unresolved","approved",""
"ENUM-SEARCH-STATUS-001","search_status","not_started","1","枚举 search_status 的受控值 not_started","approved",""
"ENUM-SEARCH-STATUS-002","search_status","in_progress","2","枚举 search_status 的受控值 in_progress","approved",""
"ENUM-SEARCH-STATUS-003","search_status","completed","3","枚举 search_status 的受控值 completed","approved",""
"ENUM-SEARCH-STATUS-004","search_status","blocked","4","枚举 search_status 的受控值 blocked","approved",""
"ENUM-SPARSITY-MODE-001","sparsity_mode","dense","1","枚举 sparsity_mode 的受控值 dense","approved",""
"ENUM-SPARSITY-MODE-002","sparsity_mode","structured_sparse","2","枚举 sparsity_mode 的受控值 structured_sparse","approved",""
"ENUM-SPARSITY-MODE-003","sparsity_mode","unstructured_sparse","3","枚举 sparsity_mode 的受控值 unstructured_sparse","approved",""
"ENUM-SPARSITY-MODE-004","sparsity_mode","vendor_sparse","4","枚举 sparsity_mode 的受控值 vendor_sparse","approved",""
"ENUM-SPARSITY-MODE-005","sparsity_mode","not_applicable","5","枚举 sparsity_mode 的受控值 not_applicable","approved",""
"ENUM-SPARSITY-MODE-006","sparsity_mode","not_specified","6","枚举 sparsity_mode 的受控值 not_specified","approved",""
"ENUM-OPERATION-TYPE-001","operation_type","matrix_mma","1","枚举 operation_type 的受控值 matrix_mma","approved",""
"ENUM-OPERATION-TYPE-002","operation_type","matrix_multiply","2","枚举 operation_type 的受控值 matrix_multiply","approved",""
"ENUM-OPERATION-TYPE-003","operation_type","vector_fma","3","枚举 operation_type 的受控值 vector_fma","approved",""
"ENUM-OPERATION-TYPE-004","operation_type","vector_alu","4","枚举 operation_type 的受控值 vector_alu","approved",""
"ENUM-OPERATION-TYPE-005","operation_type","scalar_fma","5","枚举 operation_type 的受控值 scalar_fma","approved",""
"ENUM-OPERATION-TYPE-006","operation_type","scalar_alu","6","枚举 operation_type 的受控值 scalar_alu","approved",""
"ENUM-OPERATION-TYPE-007","operation_type","reduction","7","枚举 operation_type 的受控值 reduction","approved",""
"ENUM-OPERATION-TYPE-008","operation_type","special_function","8","枚举 operation_type 的受控值 special_function","approved",""
"ENUM-OPERATION-TYPE-009","operation_type","data_move","9","枚举 operation_type 的受控值 data_move","approved",""
"ENUM-OPERATION-TYPE-010","operation_type","fixed_function","10","枚举 operation_type 的受控值 fixed_function","approved",""
"ENUM-OPERATION-COUNT-RULE-001","operation_count_rule","fma_2_ops","1","枚举 operation_count_rule 的受控值 fma_2_ops","approved",""
"ENUM-OPERATION-COUNT-RULE-002","operation_count_rule","mac_2_ops","2","枚举 operation_count_rule 的受控值 mac_2_ops","approved",""
"ENUM-OPERATION-COUNT-RULE-003","operation_count_rule","vendor_label","3","枚举 operation_count_rule 的受控值 vendor_label","approved",""
"ENUM-OPERATION-COUNT-RULE-004","operation_count_rule","not_specified","4","枚举 operation_count_rule 的受控值 not_specified","approved",""
"ENUM-PERFORMANCE-BASIS-001","performance_basis","theoretical_peak","1","枚举 performance_basis 的受控值 theoretical_peak","approved",""
"ENUM-PERFORMANCE-BASIS-002","performance_basis","vendor_measured","2","枚举 performance_basis 的受控值 vendor_measured","approved",""
"ENUM-PERFORMANCE-BASIS-003","performance_basis","third_party_measured","3","枚举 performance_basis 的受控值 third_party_measured","approved",""
"ENUM-PERFORMANCE-BASIS-004","performance_basis","public_derived","4","枚举 performance_basis 的受控值 public_derived","approved",""
"ENUM-PERFORMANCE-BASIS-005","performance_basis","vendor_label_unresolved","5","枚举 performance_basis 的受控值 vendor_label_unresolved","approved",""
"ENUM-SUPPORT-LEVEL-001","support_level","hardware_peak_published","1","枚举 support_level 的受控值 hardware_peak_published","approved",""
"ENUM-SUPPORT-LEVEL-002","support_level","hardware_instruction","2","枚举 support_level 的受控值 hardware_instruction","approved",""
"ENUM-SUPPORT-LEVEL-003","support_level","hardware_capability","3","枚举 support_level 的受控值 hardware_capability","approved",""
"ENUM-SUPPORT-LEVEL-004","support_level","compiler_type","4","枚举 support_level 的受控值 compiler_type","approved",""
"ENUM-SUPPORT-LEVEL-005","support_level","library_only","5","枚举 support_level 的受控值 library_only","approved",""
"ENUM-WORKLOAD-STAGE-001","workload_stage","training","1","枚举 workload_stage 的受控值 training","approved",""
"ENUM-WORKLOAD-STAGE-002","workload_stage","prefill","2","枚举 workload_stage 的受控值 prefill","approved",""
"ENUM-WORKLOAD-STAGE-003","workload_stage","decode","3","枚举 workload_stage 的受控值 decode","approved",""
"ENUM-WORKLOAD-STAGE-004","workload_stage","serving","4","枚举 workload_stage 的受控值 serving","approved",""
"ENUM-WORKLOAD-STAGE-005","workload_stage","other","5","枚举 workload_stage 的受控值 other","approved",""
"ENUM-WORKLOAD-STAGE-006","workload_stage","not_specified","6","枚举 workload_stage 的受控值 not_specified","approved",""
"ENUM-BANDWIDTH-DIRECTION-001","bandwidth_direction","tx","1","枚举 bandwidth_direction 的受控值 tx","approved",""
"ENUM-BANDWIDTH-DIRECTION-002","bandwidth_direction","rx","2","枚举 bandwidth_direction 的受控值 rx","approved",""
"ENUM-BANDWIDTH-DIRECTION-003","bandwidth_direction","per_direction_symmetric","3","枚举 bandwidth_direction 的受控值 per_direction_symmetric","approved",""
"ENUM-BANDWIDTH-DIRECTION-004","bandwidth_direction","bidirectional_aggregate","4","枚举 bandwidth_direction 的受控值 bidirectional_aggregate","approved",""
"ENUM-BANDWIDTH-DIRECTION-005","bandwidth_direction","half_duplex_shared","5","枚举 bandwidth_direction 的受控值 half_duplex_shared","approved",""
"ENUM-BANDWIDTH-DIRECTION-006","bandwidth_direction","direction_not_specified","6","枚举 bandwidth_direction 的受控值 direction_not_specified","approved",""
"ENUM-AGGREGATION-SCOPE-001","aggregation_scope","per_lane","1","枚举 aggregation_scope 的受控值 per_lane","approved",""
"ENUM-AGGREGATION-SCOPE-002","aggregation_scope","per_physical_link","2","枚举 aggregation_scope 的受控值 per_physical_link","approved",""
"ENUM-AGGREGATION-SCOPE-003","aggregation_scope","per_endpoint","3","枚举 aggregation_scope 的受控值 per_endpoint","approved",""
"ENUM-AGGREGATION-SCOPE-004","aggregation_scope","per_device_injection","4","枚举 aggregation_scope 的受控值 per_device_injection","approved",""
"ENUM-AGGREGATION-SCOPE-005","aggregation_scope","per_axis","5","枚举 aggregation_scope 的受控值 per_axis","approved",""
"ENUM-AGGREGATION-SCOPE-006","aggregation_scope","path","6","枚举 aggregation_scope 的受控值 path","approved",""
"ENUM-AGGREGATION-SCOPE-007","aggregation_scope","switch_fabric","7","枚举 aggregation_scope 的受控值 switch_fabric","approved",""
"ENUM-AGGREGATION-SCOPE-008","aggregation_scope","system_total","8","枚举 aggregation_scope 的受控值 system_total","approved",""
"ENUM-AGGREGATION-SCOPE-009","aggregation_scope","bisection","9","枚举 aggregation_scope 的受控值 bisection","approved",""
"ENUM-AGGREGATION-SCOPE-010","aggregation_scope","not_specified","10","枚举 aggregation_scope 的受控值 not_specified","approved",""
"ENUM-TRAFFIC-BASIS-001","traffic_basis","raw_line_rate","1","枚举 traffic_basis 的受控值 raw_line_rate","approved",""
"ENUM-TRAFFIC-BASIS-002","traffic_basis","encoded_line_rate","2","枚举 traffic_basis 的受控值 encoded_line_rate","approved",""
"ENUM-TRAFFIC-BASIS-003","traffic_basis","protocol_payload","3","枚举 traffic_basis 的受控值 protocol_payload","approved",""
"ENUM-TRAFFIC-BASIS-004","traffic_basis","application_payload","4","枚举 traffic_basis 的受控值 application_payload","approved",""
"ENUM-TRAFFIC-BASIS-005","traffic_basis","sustained_measured","5","枚举 traffic_basis 的受控值 sustained_measured","approved",""
"ENUM-TRAFFIC-BASIS-006","traffic_basis","vendor_nameplate","6","枚举 traffic_basis 的受控值 vendor_nameplate","approved",""
"ENUM-TRAFFIC-BASIS-007","traffic_basis","relative_only","7","枚举 traffic_basis 的受控值 relative_only","approved",""
"ENUM-TRAFFIC-BASIS-008","traffic_basis","not_specified","8","枚举 traffic_basis 的受控值 not_specified","approved",""
"ENUM-MEASUREMENT-SCOPE-001","measurement_scope","per_instance","1","枚举 measurement_scope 的受控值 per_instance","approved",""
"ENUM-MEASUREMENT-SCOPE-002","measurement_scope","per_component","2","枚举 measurement_scope 的受控值 per_component","approved",""
"ENUM-MEASUREMENT-SCOPE-003","measurement_scope","per_object","3","枚举 measurement_scope 的受控值 per_object","approved",""
"ENUM-MEASUREMENT-SCOPE-004","measurement_scope","per_system","4","枚举 measurement_scope 的受控值 per_system","approved",""
"ENUM-MEASUREMENT-SCOPE-005","measurement_scope","test_path","5","枚举 measurement_scope 的受控值 test_path","approved",""
"ENUM-MEASUREMENT-SCOPE-006","measurement_scope","not_specified","6","枚举 measurement_scope 的受控值 not_specified","approved",""
"ENUM-FACT-KIND-001","fact_kind","direct_statement","1","枚举 fact_kind 的受控值 direct_statement","approved",""
"ENUM-FACT-KIND-002","fact_kind","measured","2","枚举 fact_kind 的受控值 measured","approved",""
"ENUM-FACT-KIND-003","fact_kind","derived","3","枚举 fact_kind 的受控值 derived","approved",""
"ENUM-EVIDENCE-STATE-001","evidence_state","single_source","1","枚举 evidence_state 的受控值 single_source","approved",""
"ENUM-EVIDENCE-STATE-002","evidence_state","corroborated","2","枚举 evidence_state 的受控值 corroborated","approved",""
"ENUM-EVIDENCE-STATE-003","evidence_state","third_party_only","3","枚举 evidence_state 的受控值 third_party_only","approved",""
"ENUM-EVIDENCE-STATE-004","evidence_state","source_with_caveat","4","枚举 evidence_state 的受控值 source_with_caveat","approved",""
"ENUM-FACT-RESOLUTION-STATE-001","fact_resolution_state","accepted","1","枚举 fact_resolution_state 的受控值 accepted","approved",""
"ENUM-FACT-RESOLUTION-STATE-002","fact_resolution_state","provisional","2","枚举 fact_resolution_state 的受控值 provisional","approved",""
"ENUM-FACT-RESOLUTION-STATE-003","fact_resolution_state","superseded","3","枚举 fact_resolution_state 的受控值 superseded","approved",""
"ENUM-FACT-RESOLUTION-STATE-004","fact_resolution_state","conflict_member","4","枚举 fact_resolution_state 的受控值 conflict_member","approved",""
"ENUM-FACT-RESOLUTION-STATE-005","fact_resolution_state","rejected","5","枚举 fact_resolution_state 的受控值 rejected","approved",""
"ENUM-CONFIDENCE-001","confidence","high","1","枚举 confidence 的受控值 high","approved",""
"ENUM-CONFIDENCE-002","confidence","medium","2","枚举 confidence 的受控值 medium","approved",""
"ENUM-CONFIDENCE-003","confidence","low","3","枚举 confidence 的受控值 low","approved",""
"ENUM-DERIVED-INPUT-ROLE-001","derived_input_role","numerator","1","枚举 derived_input_role 的受控值 numerator","approved",""
"ENUM-DERIVED-INPUT-ROLE-002","derived_input_role","denominator","2","枚举 derived_input_role 的受控值 denominator","approved",""
"ENUM-DERIVED-INPUT-ROLE-003","derived_input_role","scale","3","枚举 derived_input_role 的受控值 scale","approved",""
