"requirement_id","object_id","component_id","link_id","object_relation_id","precision_path_id","capability_id","topology_id","field_id","requirement_status","applicability_reason","search_status","last_searched_date","requirement_fingerprint","review_status","notes"
"REQ-CAMBRICON-MLU590-POWER","OBJ-CAMBRICON-MLU590-CHIP","","","","","","","FIELD-PHY-POWER","not_found","Completed targeted first-party search found no chip or package power value.","completed","2026-08-12","Cambricon|REQ-CAMBRICON-MLU590-POWER","draft","Board power must not be substituted."
"REQ-CAMBRICON-MLU590-BOARD-FORM-FACTOR","OBJ-CAMBRICON-MLU590-CHIP","","","","","","","FIELD-PHY-FORM-FACTOR","not_applicable","Board-card form factor belongs to the H8 or M9 card object, not the chip/package object.","completed","2026-08-12","Cambricon|REQ-CAMBRICON-MLU590-BOARD-FORM-FACTOR","draft","Chip package details remain a separate not_found requirement."
"REQ-CAMBRICON-MLU590-BOARD-COOLING","OBJ-CAMBRICON-MLU590-CHIP","","","","","","","FIELD-PHY-COOLING","not_applicable","Board or server cooling belongs to a card or system object, not this chip/package object.","completed","2026-08-12","Cambricon|REQ-CAMBRICON-MLU590-BOARD-COOLING","draft",""
"REQ-CAMBRICON-MLU590-AI-TOPS","OBJ-CAMBRICON-MLU590-CHIP","","","","","","","FIELD-COMP-VENDOR-AI-TOPS","not_found","No object-matched first-party total AI TOPS value with conditions was found.","completed","2026-08-12","Cambricon|REQ-CAMBRICON-MLU590-AI-TOPS","draft","Third-party numbers are excluded."
"REQ-CAMBRICON-MLU590-COMPUTE-THROUGHPUT","OBJ-CAMBRICON-MLU590-CHIP","","","","","","","FIELD-COMP-THROUGHPUT","not_found","No first-party matrix, vector or scalar peak with precision and counting rule was found.","completed","2026-08-12","Cambricon|REQ-CAMBRICON-MLU590-COMPUTE-THROUGHPUT","draft","A future source must be split by path."
"REQ-CAMBRICON-MLU590-COMPUTE-UNIT-COUNT","OBJ-CAMBRICON-MLU590-CHIP","","","","","","","FIELD-COMP-UNIT-COUNT","not_found","No MLU590 whole-chip core or cluster count was found in an accessible first-party source.","completed","2026-08-12","Cambricon|REQ-CAMBRICON-MLU590-COMPUTE-UNIT-COUNT","draft","Do not interpret mtp_592.{18} as a count."
"REQ-CAMBRICON-MLU590-ACCUMULATION","OBJ-CAMBRICON-MLU590-CHIP","","","","","","","FIELD-NUM-ACCUMULATION","not_found","No MLU590 programmer-visible accumulation path was found.","completed","2026-08-12","Cambricon|REQ-CAMBRICON-MLU590-ACCUMULATION","draft","CNNL operator support is not a hardware accumulation specification."
"REQ-CAMBRICON-MLU590-PHYSICAL-ACCUM","OBJ-CAMBRICON-MLU590-CHIP","","","","","","","FIELD-NUM-PHYSICAL-ACCUM","not_found","No physical accumulator width or semantics was found.","completed","2026-08-12","Cambricon|REQ-CAMBRICON-MLU590-PHYSICAL-ACCUM","draft",""
"REQ-CAMBRICON-MLU590-SPARSITY","OBJ-CAMBRICON-MLU590-CHIP","","","","","","","FIELD-NUM-SPARSITY","not_found","No MLU590 hardware sparsity mode and metadata condition was found.","completed","2026-08-12","Cambricon|REQ-CAMBRICON-MLU590-SPARSITY","draft",""
"REQ-CAMBRICON-MLU590-ONCHIP-CAPACITY","OBJ-CAMBRICON-MLU590-CHIP","","","","","","","FIELD-MEM-CAPACITY","inaccessible_evidence","CNToolkit 3.8.4 is known to contain raw NRAM, WRAM and SRAM target text, but its body is inaccessible and units and scope are unresolved.","blocked","2026-08-12","Cambricon|REQ-CAMBRICON-MLU590-ONCHIP-CAPACITY","draft","Preserve mtp_592.{18} only as unverified raw lead text."
"REQ-CAMBRICON-MLU590-OFFCHIP-CAPACITY","OBJ-CAMBRICON-MLU590-CHIP","","","","","","","FIELD-MEM-CAPACITY","not_found","The WAIC page gives only a relative larger-capacity statement with no absolute value or memory type.","completed","2026-08-12","Cambricon|REQ-CAMBRICON-MLU590-OFFCHIP-CAPACITY","draft","No HBM capacity fact is created."
"REQ-CAMBRICON-MLU590-MEM-READ-BW","OBJ-CAMBRICON-MLU590-CHIP","","","","","","","FIELD-MEM-READ-BW","not_found","No MLU590 memory-level read bandwidth with scope was found.","completed","2026-08-12","Cambricon|REQ-CAMBRICON-MLU590-MEM-READ-BW","draft","Relative higher-bandwidth wording is insufficient."
"REQ-CAMBRICON-MLU590-MEM-WRITE-BW","OBJ-CAMBRICON-MLU590-CHIP","","","","","","","FIELD-MEM-WRITE-BW","not_found","No MLU590 memory-level write bandwidth with scope was found.","completed","2026-08-12","Cambricon|REQ-CAMBRICON-MLU590-MEM-WRITE-BW","draft",""
"REQ-CAMBRICON-MLU590-MEM-DMA","OBJ-CAMBRICON-MLU590-CHIP","","","","","","","FIELD-MEM-DMA","not_found","The fixed MLU-OPS guide discusses generic and MLUv03 examples, not an MLU590-specific DMA mechanism.","completed","2026-08-12","Cambricon|REQ-CAMBRICON-MLU590-MEM-DMA","draft","Do not transfer MLUv03 pipeline facts."
"REQ-CAMBRICON-MLU590-INTERCONNECT-PROTOCOL","OBJ-CAMBRICON-MLU590-CHIP","","","","","","","FIELD-INT-PROTOCOL","not_found","No object-matched first-party chip or card interconnect protocol was found.","completed","2026-08-12","Cambricon|REQ-CAMBRICON-MLU590-INTERCONNECT-PROTOCOL","draft","The WAIC PCIe statement is relative only."
"REQ-CAMBRICON-MLU590-INTERCONNECT-BW","OBJ-CAMBRICON-MLU590-CHIP","","","","","","","FIELD-INT-AGGREGATE-BW","not_found","No directioned line, payload or sustained interconnect bandwidth was found.","completed","2026-08-12","Cambricon|REQ-CAMBRICON-MLU590-INTERCONNECT-BW","draft","System totals must not be divided down."
"REQ-CAMBRICON-MLU590-INTERCONNECT-TOPOLOGY","OBJ-CAMBRICON-MLU590-CHIP","","","","","","","FIELD-INT-TOPOLOGY","not_found","No MLU590 device or system topology was found in an accessible first-party source.","completed","2026-08-12","Cambricon|REQ-CAMBRICON-MLU590-INTERCONNECT-TOPOLOGY","draft",""
"REQ-CAMBRICON-MLU590-TOPK-SOFTWARE","","","","","","CAP-CAMBRICON-MLU590-TOPK","","FIELD-CAP-IMPLEMENTATION-DETAIL","inaccessible_evidence","CNNL 1.23.2 may contain MLU590-specific TopK library restrictions, but the page body is inaccessible.","blocked","2026-08-12","Cambricon|REQ-CAMBRICON-MLU590-TOPK-SOFTWARE","draft","No software assertion is created from search-index text."
"REQ-CAMBRICON-MLU590-TOPK-HARDWARE","","","","","","CAP-CAMBRICON-MLU590-TOPK","","FIELD-CAP-IMPLEMENTATION-LEVEL","not_found","No dedicated TopK module, instruction or configurable engine was found.","completed","2026-08-12","Cambricon|REQ-CAMBRICON-MLU590-TOPK-HARDWARE","draft","A library API would not establish hardware."
"REQ-CAMBRICON-MLU590-MOE-HARDWARE","","","","","","CAP-CAMBRICON-MLU590-MOE-ROUTING","","FIELD-CAP-IMPLEMENTATION-LEVEL","not_found","No dedicated MoE routing or dispatch hardware evidence was found.","completed","2026-08-12","Cambricon|REQ-CAMBRICON-MLU590-MOE-HARDWARE","draft",""
"REQ-CAMBRICON-MLU590-ATTENTION-HARDWARE","","","","","","CAP-CAMBRICON-MLU590-ATTENTION","","FIELD-CAP-IMPLEMENTATION-LEVEL","not_found","No MLU590-specific Attention hardware module or instruction evidence was found.","completed","2026-08-12","Cambricon|REQ-CAMBRICON-MLU590-ATTENTION-HARDWARE","draft",""
"REQ-CAMBRICON-MLU590-CUSTOM-OPERATOR","OBJ-CAMBRICON-MLU590-CHIP","","","","","","","FIELD-SW-CUSTOM-OPERATOR","value_available","Fixed first-party MLU-OPS commit directly names the --mlu590 build target.","completed","2026-08-12","Cambricon|REQ-CAMBRICON-MLU590-CUSTOM-OPERATOR","draft","Software target only."
"REQ-CAMBRICON-MLU590-OPERATOR-LIBRARY","OBJ-CAMBRICON-MLU590-CHIP","","","","","","","FIELD-SW-OPERATOR-LIBRARY","inaccessible_evidence","CNNL 1.23.2 is a known versioned operator-library source but is currently inaccessible.","blocked","2026-08-12","Cambricon|REQ-CAMBRICON-MLU590-OPERATOR-LIBRARY","draft","No version-support fact is created."
"REQ-CAMBRICON-MLU590-COMPILER","OBJ-CAMBRICON-MLU590-CHIP","","","","","","","FIELD-SW-COMPILER","inaccessible_evidence","CNToolkit 3.8.4 may provide the BANG, compute and mtp target mapping but is currently inaccessible.","blocked","2026-08-12","Cambricon|REQ-CAMBRICON-MLU590-COMPILER","draft","The MLU-OPS build flag does not establish a complete compiler binding."
"REQ-CAMBRICON-MLU590-H8-NAME","OBJ-CAMBRICON-MLU590-H8","","","","","","","FIELD-ID-NAME","inaccessible_evidence","CNToolkit 3.8.4 may contain the MLU590-H8/M9 board label but is currently inaccessible.","blocked","2026-08-12","Cambricon|REQ-CAMBRICON-MLU590-H8-NAME","draft","No H8 name fact is created."
"REQ-CAMBRICON-MLU590-H8-OBJECT-TYPE","OBJ-CAMBRICON-MLU590-H8","","","","","","","FIELD-ID-OBJECT-TYPE","inaccessible_evidence","The board-level mapping depends on inaccessible CNToolkit content.","blocked","2026-08-12","Cambricon|REQ-CAMBRICON-MLU590-H8-OBJECT-TYPE","draft","Formal object remains needs_resolution."
"REQ-CAMBRICON-MLU590-H8-FORM-FACTOR","OBJ-CAMBRICON-MLU590-H8","","","","","","","FIELD-PHY-FORM-FACTOR","pending_verification","No fixed H8 board manual has been obtained.","in_progress","2026-08-12","Cambricon|REQ-CAMBRICON-MLU590-H8-FORM-FACTOR","draft",""
"REQ-CAMBRICON-MLU590-H8-POWER","OBJ-CAMBRICON-MLU590-H8","","","","","","","FIELD-PHY-POWER","pending_verification","No fixed H8 board manual has been obtained.","in_progress","2026-08-12","Cambricon|REQ-CAMBRICON-MLU590-H8-POWER","draft",""
"REQ-CAMBRICON-MLU590-H8-COOLING","OBJ-CAMBRICON-MLU590-H8","","","","","","","FIELD-PHY-COOLING","pending_verification","No fixed H8 board manual has been obtained.","in_progress","2026-08-12","Cambricon|REQ-CAMBRICON-MLU590-H8-COOLING","draft",""
"REQ-CAMBRICON-MLU590-H8-STATUS","OBJ-CAMBRICON-MLU590-H8","","","","","","","FIELD-ID-STATUS","pending_verification","No first-party ordering or availability evidence for H8 has been fixed.","in_progress","2026-08-12","Cambricon|REQ-CAMBRICON-MLU590-H8-STATUS","draft",""
"REQ-CAMBRICON-MLU590-M9-NAME","OBJ-CAMBRICON-MLU590-M9","","","","","","","FIELD-ID-NAME","inaccessible_evidence","CNToolkit 3.8.4 may contain the MLU590-H8/M9 board label but is currently inaccessible.","blocked","2026-08-12","Cambricon|REQ-CAMBRICON-MLU590-M9-NAME","draft","No M9 name fact is created."
"REQ-CAMBRICON-MLU590-M9-OBJECT-TYPE","OBJ-CAMBRICON-MLU590-M9","","","","","","","FIELD-ID-OBJECT-TYPE","inaccessible_evidence","The board-level mapping depends on inaccessible CNToolkit content.","blocked","2026-08-12","Cambricon|REQ-CAMBRICON-MLU590-M9-OBJECT-TYPE","draft","Formal object remains needs_resolution."
"REQ-CAMBRICON-MLU590-M9-FORM-FACTOR","OBJ-CAMBRICON-MLU590-M9","","","","","","","FIELD-PHY-FORM-FACTOR","pending_verification","No fixed M9 board manual has been obtained.","in_progress","2026-08-12","Cambricon|REQ-CAMBRICON-MLU590-M9-FORM-FACTOR","draft",""
"REQ-CAMBRICON-MLU590-M9-POWER","OBJ-CAMBRICON-MLU590-M9","","","","","","","FIELD-PHY-POWER","pending_verification","No fixed M9 board manual has been obtained.","in_progress","2026-08-12","Cambricon|REQ-CAMBRICON-MLU590-M9-POWER","draft",""
"REQ-CAMBRICON-MLU590-M9-COOLING","OBJ-CAMBRICON-MLU590-M9","","","","","","","FIELD-PHY-COOLING","pending_verification","No fixed M9 board manual has been obtained.","in_progress","2026-08-12","Cambricon|REQ-CAMBRICON-MLU590-M9-COOLING","draft",""
"REQ-CAMBRICON-MLU590-M9-STATUS","OBJ-CAMBRICON-MLU590-M9","","","","","","","FIELD-ID-STATUS","pending_verification","A user log is not first-party ordering or availability evidence.","in_progress","2026-08-12","Cambricon|REQ-CAMBRICON-MLU590-M9-STATUS","draft",""
