"scope_id","freeze_row_id","vendor","chip_object","object_layer","scope_role","shared_design_group","existing_formal_object_id","mapping_status","proof_type","proof_paths","proof_detail"
"SCOPE-011","FREEZE-NV-012","NVIDIA","NVIDIA GB203 die","die","主样本","NV-GB203","","unmapped_no_explicit_proof","no_mapping_written","审计/归档/芯片名单冻结_2026-08-17/训练推理芯片名单冻结.csv|数据/objects.csv|审计/训练推理芯片主线对象范围.csv","Archived freeze row has empty existing_formal_object_id; name similarity was not used."
"SCOPE-012","FREEZE-GOOGLE-003","Google","Google TPU v3 chip","package","历史锚点","GOOGLE-TPU-V3","","unmapped_no_explicit_proof","no_mapping_written","审计/归档/芯片名单冻结_2026-08-17/训练推理芯片名单冻结.csv|数据/objects.csv|审计/训练推理芯片主线对象范围.csv","Archived freeze row has empty existing_formal_object_id; name similarity was not used."
"SCOPE-013","FREEZE-GOOGLE-004","Google","Google TPU v4i chip","package","历史锚点","GOOGLE-TPU-V4I","","unmapped_no_explicit_proof","no_mapping_written","审计/归档/芯片名单冻结_2026-08-17/训练推理芯片名单冻结.csv|数据/objects.csv|审计/训练推理芯片主线对象范围.csv","Archived freeze row has empty existing_formal_object_id; name similarity was not used."
"SCOPE-014","FREEZE-GOOGLE-005","Google","Google TPU v4 chip","package","主样本","GOOGLE-TPU-V4","","unmapped_no_explicit_proof","no_mapping_written","审计/归档/芯片名单冻结_2026-08-17/训练推理芯片名单冻结.csv|数据/objects.csv|审计/训练推理芯片主线对象范围.csv","Archived freeze row has empty existing_formal_object_id; name similarity was not used."
"SCOPE-015","FREEZE-GOOGLE-006","Google","Google TPU v5e chip","package","主样本","GOOGLE-TPU-V5E","","unmapped_no_explicit_proof","no_mapping_written","审计/归档/芯片名单冻结_2026-08-17/训练推理芯片名单冻结.csv|数据/objects.csv|审计/训练推理芯片主线对象范围.csv","Archived freeze row has empty existing_formal_object_id; name similarity was not used."
"SCOPE-016","FREEZE-GOOGLE-007","Google","Google TPU v5p chip","package","主样本","GOOGLE-TPU-V5P","","unmapped_no_explicit_proof","no_mapping_written","审计/归档/芯片名单冻结_2026-08-17/训练推理芯片名单冻结.csv|数据/objects.csv|审计/训练推理芯片主线对象范围.csv","Archived freeze row has empty existing_formal_object_id; name similarity was not used."
"SCOPE-017","FREEZE-GOOGLE-008","Google","Google TPU v6e (Trillium) chip","package","主样本","GOOGLE-TPU-V6E","","unmapped_no_explicit_proof","no_mapping_written","审计/归档/芯片名单冻结_2026-08-17/训练推理芯片名单冻结.csv|数据/objects.csv|审计/训练推理芯片主线对象范围.csv","Archived freeze row has empty existing_formal_object_id; name similarity was not used."
"SCOPE-018","FREEZE-GOOGLE-009","Google","Google TPU7x (Ironwood) chip","package","主样本","GOOGLE-TPU7X","","unmapped_no_explicit_proof","no_mapping_written","审计/归档/芯片名单冻结_2026-08-17/训练推理芯片名单冻结.csv|数据/objects.csv|审计/训练推理芯片主线对象范围.csv","Archived freeze row has empty existing_formal_object_id; name similarity was not used."
"SCOPE-019","FREEZE-GOOGLE-010","Google","Google TPU 8t chip","package","主样本","GOOGLE-TPU-8T","","unmapped_no_explicit_proof","no_mapping_written","审计/归档/芯片名单冻结_2026-08-17/训练推理芯片名单冻结.csv|数据/objects.csv|审计/训练推理芯片主线对象范围.csv","Archived freeze row has empty existing_formal_object_id; name similarity was not used."
"SCOPE-020","FREEZE-GOOGLE-011","Google","Google TPU 8i chip","package","主样本","GOOGLE-TPU-8I","","unmapped_no_explicit_proof","no_mapping_written","审计/归档/芯片名单冻结_2026-08-17/训练推理芯片名单冻结.csv|数据/objects.csv|审计/训练推理芯片主线对象范围.csv","Archived freeze row has empty existing_formal_object_id; name similarity was not used."
"SCOPE-021","FREEZE-AWS-001","AWS","AWS Inferentia (first generation)","package","历史锚点","AWS-INFERENTIA1","OBJ-AWS-INFERENTIA1-CHIP","mapped_explicit","archived_existing_formal_object_id","审计/归档/芯片名单冻结_2026-08-17/训练推理芯片名单冻结.csv|数据/objects.csv|审计/训练推理芯片主线对象范围.csv","FREEZE-AWS-001 explicitly names OBJ-AWS-INFERENTIA1-CHIP; objects.object_type=package; DEC-031 scope_class=chip_primary."
"SCOPE-022","FREEZE-AWS-002","AWS","AWS Trainium (first generation)","package","主样本","AWS-TRAINIUM1","OBJ-AWS-TRAINIUM1-CHIP","mapped_explicit","archived_existing_formal_object_id","审计/归档/芯片名单冻结_2026-08-17/训练推理芯片名单冻结.csv|数据/objects.csv|审计/训练推理芯片主线对象范围.csv","FREEZE-AWS-002 explicitly names OBJ-AWS-TRAINIUM1-CHIP; objects.object_type=package; DEC-031 scope_class=chip_primary."
"SCOPE-023","FREEZE-AWS-003","AWS","AWS Inferentia2","package","主样本","AWS-INFERENTIA2","OBJ-AWS-INFERENTIA2-CHIP","mapped_explicit","archived_existing_formal_object_id","审计/归档/芯片名单冻结_2026-08-17/训练推理芯片名单冻结.csv|数据/objects.csv|审计/训练推理芯片主线对象范围.csv","FREEZE-AWS-003 explicitly names OBJ-AWS-INFERENTIA2-CHIP; objects.object_type=package; DEC-031 scope_class=chip_primary."
"SCOPE-024","FREEZE-AWS-004","AWS","AWS Trainium2","package","主样本","AWS-TRAINIUM2","OBJ-AWS-TRAINIUM2-CHIP","mapped_explicit","archived_existing_formal_object_id","审计/归档/芯片名单冻结_2026-08-17/训练推理芯片名单冻结.csv|数据/objects.csv|审计/训练推理芯片主线对象范围.csv","FREEZE-AWS-004 explicitly names OBJ-AWS-TRAINIUM2-CHIP; objects.object_type=package; DEC-031 scope_class=chip_primary."
"SCOPE-025","FREEZE-AWS-005","AWS","AWS Trainium3","package","主样本","AWS-TRAINIUM3","OBJ-AWS-TRAINIUM3-CHIP","mapped_explicit","archived_existing_formal_object_id","审计/归档/芯片名单冻结_2026-08-17/训练推理芯片名单冻结.csv|数据/objects.csv|审计/训练推理芯片主线对象范围.csv","FREEZE-AWS-005 explicitly names OBJ-AWS-TRAINIUM3-CHIP; objects.object_type=package; DEC-031 scope_class=chip_primary."
"SCOPE-026","FREEZE-AWS-006","AWS","AWS Trainium4","package","主样本","AWS-TRAINIUM4","","unmapped_no_explicit_proof","no_mapping_written","审计/归档/芯片名单冻结_2026-08-17/训练推理芯片名单冻结.csv|数据/objects.csv|审计/训练推理芯片主线对象范围.csv","Archived freeze row has empty existing_formal_object_id; name similarity was not used."
"SCOPE-027","FREEZE-GROQ-001","Groq","GroqChip Processor (first generation)","package","历史锚点","GROQ-GROQCHIP1","","unmapped_no_explicit_proof","no_mapping_written","审计/归档/芯片名单冻结_2026-08-17/训练推理芯片名单冻结.csv|数据/objects.csv|审计/训练推理芯片主线对象范围.csv","Archived freeze row has empty existing_formal_object_id; name similarity was not used."
"SCOPE-028","FREEZE-CAM-001","Cambricon","Cambricon MLU290 (思元 290)","package","历史锚点","CAMBRICON-MLU290","","unmapped_no_explicit_proof","no_mapping_written","审计/归档/芯片名单冻结_2026-08-17/训练推理芯片名单冻结.csv|数据/objects.csv|审计/训练推理芯片主线对象范围.csv","Archived freeze row has empty existing_formal_object_id; name similarity was not used."
"SCOPE-029","FREEZE-CAM-002","Cambricon","Cambricon MLU370 (思元 370)","package","历史锚点","CAMBRICON-MLU370","","unmapped_no_explicit_proof","no_mapping_written","审计/归档/芯片名单冻结_2026-08-17/训练推理芯片名单冻结.csv|数据/objects.csv|审计/训练推理芯片主线对象范围.csv","Archived freeze row has empty existing_formal_object_id; name similarity was not used."
"SCOPE-030","FREEZE-CAM-003","Cambricon","Cambricon MLU570","package","主样本","CAMBRICON-MLU570","","unmapped_no_explicit_proof","no_mapping_written","审计/归档/芯片名单冻结_2026-08-17/训练推理芯片名单冻结.csv|数据/objects.csv|审计/训练推理芯片主线对象范围.csv","Archived freeze row has empty existing_formal_object_id; name similarity was not used."
"SCOPE-031","FREEZE-CAM-004","Cambricon","Cambricon MLU590 (思元 590)","package","主样本","CAMBRICON-MLU590","OBJ-CAMBRICON-MLU590-CHIP","mapped_explicit","archived_existing_formal_object_id","审计/归档/芯片名单冻结_2026-08-17/训练推理芯片名单冻结.csv|数据/objects.csv|审计/训练推理芯片主线对象范围.csv","FREEZE-CAM-004 explicitly names OBJ-CAMBRICON-MLU590-CHIP; objects.object_type=package; DEC-031 scope_class=chip_primary."
"SCOPE-032","FREEZE-HUAWEI-001","Huawei","Huawei Ascend 310","package","历史锚点","HUAWEI-ASCEND-310","","unmapped_no_explicit_proof","no_mapping_written","审计/归档/芯片名单冻结_2026-08-17/训练推理芯片名单冻结.csv|数据/objects.csv|审计/训练推理芯片主线对象范围.csv","Archived freeze row has empty existing_formal_object_id; name similarity was not used."
"SCOPE-033","FREEZE-HUAWEI-002","Huawei","Huawei Ascend 310P","package","历史锚点","HUAWEI-ASCEND-310P","","unmapped_no_explicit_proof","no_mapping_written","审计/归档/芯片名单冻结_2026-08-17/训练推理芯片名单冻结.csv|数据/objects.csv|审计/训练推理芯片主线对象范围.csv","Archived freeze row has empty existing_formal_object_id; name similarity was not used."
"SCOPE-034","FREEZE-HUAWEI-003","Huawei","Huawei Ascend 310B","package","主样本","HUAWEI-ASCEND-310B","","unmapped_no_explicit_proof","no_mapping_written","审计/归档/芯片名单冻结_2026-08-17/训练推理芯片名单冻结.csv|数据/objects.csv|审计/训练推理芯片主线对象范围.csv","Archived freeze row has empty existing_formal_object_id; name similarity was not used."
"SCOPE-035","FREEZE-HUAWEI-004","Huawei","Huawei Ascend 910","package","历史锚点","HUAWEI-ASCEND-910","","unmapped_no_explicit_proof","no_mapping_written","审计/归档/芯片名单冻结_2026-08-17/训练推理芯片名单冻结.csv|数据/objects.csv|审计/训练推理芯片主线对象范围.csv","Archived freeze row has empty existing_formal_object_id; name similarity was not used."
"SCOPE-036","FREEZE-HUAWEI-005","Huawei","Huawei Ascend 910B","package","主样本","HUAWEI-ASCEND-910B","","unmapped_no_explicit_proof","no_mapping_written","审计/归档/芯片名单冻结_2026-08-17/训练推理芯片名单冻结.csv|数据/objects.csv|审计/训练推理芯片主线对象范围.csv","Archived freeze row has empty existing_formal_object_id; name similarity was not used."
"SCOPE-037","FREEZE-HUAWEI-006","Huawei","Huawei Ascend 910C","package","主样本","HUAWEI-ASCEND-910C","","unmapped_no_explicit_proof","no_mapping_written","审计/归档/芯片名单冻结_2026-08-17/训练推理芯片名单冻结.csv|数据/objects.csv|审计/训练推理芯片主线对象范围.csv","Archived freeze row has empty existing_formal_object_id; name similarity was not used."
"SCOPE-038","FREEZE-HUAWEI-007","Huawei","Huawei Ascend 950 Die","die","主样本","HUAWEI-ASCEND950-SHARED-DIE","OBJ-HUAWEI-ASCEND-950-DIE","mapped_explicit","archived_existing_formal_object_id","审计/归档/芯片名单冻结_2026-08-17/训练推理芯片名单冻结.csv|数据/objects.csv|审计/训练推理芯片主线对象范围.csv","FREEZE-HUAWEI-007 explicitly names OBJ-HUAWEI-ASCEND-950-DIE; objects.object_type=die; DEC-031 scope_class=chip_primary."
"SCOPE-039","FREEZE-HUAWEI-008","Huawei","Huawei Ascend 950PR","package","主样本","HUAWEI-ASCEND950-SHARED-DIE","OBJ-HUAWEI-ASCEND-950PR","mapped_explicit","archived_existing_formal_object_id","审计/归档/芯片名单冻结_2026-08-17/训练推理芯片名单冻结.csv|数据/objects.csv|审计/训练推理芯片主线对象范围.csv","FREEZE-HUAWEI-008 explicitly names OBJ-HUAWEI-ASCEND-950PR; objects.object_type=package; DEC-031 scope_class=chip_primary."
"SCOPE-040","FREEZE-HUAWEI-009","Huawei","Huawei Ascend 950DT","package","主样本","HUAWEI-ASCEND950-SHARED-DIE","OBJ-HUAWEI-ASCEND-950DT","mapped_explicit","archived_existing_formal_object_id","审计/归档/芯片名单冻结_2026-08-17/训练推理芯片名单冻结.csv|数据/objects.csv|审计/训练推理芯片主线对象范围.csv","FREEZE-HUAWEI-009 explicitly names OBJ-HUAWEI-ASCEND-950DT; objects.object_type=package; DEC-031 scope_class=chip_primary."
"SCOPE-041","FREEZE-HUAWEI-010","Huawei","Huawei Ascend 960","package","主样本","HUAWEI-ASCEND-960","","unmapped_no_explicit_proof","no_mapping_written","审计/归档/芯片名单冻结_2026-08-17/训练推理芯片名单冻结.csv|数据/objects.csv|审计/训练推理芯片主线对象范围.csv","Archived freeze row has empty existing_formal_object_id; name similarity was not used."
"SCOPE-042","FREEZE-HUAWEI-011","Huawei","Huawei Ascend 970","package","主样本","HUAWEI-ASCEND-970","","unmapped_no_explicit_proof","no_mapping_written","审计/归档/芯片名单冻结_2026-08-17/训练推理芯片名单冻结.csv|数据/objects.csv|审计/训练推理芯片主线对象范围.csv","Archived freeze row has empty existing_formal_object_id; name similarity was not used."
"SCOPE-043","FREEZE-AMD-001","AMD","AMD Instinct MI200 Graphics Compute Die (GCD)","die","历史锚点","AMD-CDNA2-GCD","","unmapped_no_explicit_proof","no_mapping_written","审计/归档/芯片名单冻结_2026-08-17/训练推理芯片名单冻结.csv|数据/objects.csv|审计/训练推理芯片主线对象范围.csv","Archived freeze row has empty existing_formal_object_id; name similarity was not used."
"SCOPE-044","FREEZE-AMD-005","AMD","AMD CDNA 3 Accelerator Complex Die (XCD)","die","主样本","AMD-CDNA3-XCD","","unmapped_no_explicit_proof","no_mapping_written","审计/归档/芯片名单冻结_2026-08-17/训练推理芯片名单冻结.csv|数据/objects.csv|审计/训练推理芯片主线对象范围.csv","Archived freeze row has empty existing_formal_object_id; name similarity was not used."
"SCOPE-045","FREEZE-AMD-006","AMD","AMD Instinct MI300A APU package","package","主样本","AMD-CDNA3-XCD","","unmapped_no_explicit_proof","no_mapping_written","审计/归档/芯片名单冻结_2026-08-17/训练推理芯片名单冻结.csv|数据/objects.csv|审计/训练推理芯片主线对象范围.csv","Archived freeze row has empty existing_formal_object_id; name similarity was not used."
"SCOPE-046","FREEZE-AMD-010","AMD","AMD CDNA 4 Accelerator Complex Die (XCD)","die","主样本","AMD-CDNA4-XCD","","unmapped_no_explicit_proof","no_mapping_written","审计/归档/芯片名单冻结_2026-08-17/训练推理芯片名单冻结.csv|数据/objects.csv|审计/训练推理芯片主线对象范围.csv","Archived freeze row has empty existing_formal_object_id; name similarity was not used."
"SCOPE-047","FREEZE-AMD-014","AMD","AMD CDNA 5 Accelerator Complex Die (XCD)","die","主样本","AMD-CDNA5-XCD","","unmapped_no_explicit_proof","no_mapping_written","审计/归档/芯片名单冻结_2026-08-17/训练推理芯片名单冻结.csv|数据/objects.csv|审计/训练推理芯片主线对象范围.csv","Archived freeze row has empty existing_formal_object_id; name similarity was not used."
"SCOPE-048","FREEZE-AMD-015","AMD","AMD Instinct MI455X GPU package","package","主样本","AMD-CDNA5-XCD","","unmapped_no_explicit_proof","no_mapping_written","审计/归档/芯片名单冻结_2026-08-17/训练推理芯片名单冻结.csv|数据/objects.csv|审计/训练推理芯片主线对象范围.csv","Archived freeze row has empty existing_formal_object_id; name similarity was not used."
"SCOPE-049","FREEZE-AMD-018","AMD","AMD Instinct MI430X GPU package","package","主样本","AMD-CDNA5-MI430X-GPU","","unmapped_no_explicit_proof","no_mapping_written","审计/归档/芯片名单冻结_2026-08-17/训练推理芯片名单冻结.csv|数据/objects.csv|审计/训练推理芯片主线对象范围.csv","Archived freeze row has empty existing_formal_object_id; name similarity was not used."
