"component_id","owner_object_id","parent_component_id","component_domain","component_type","canonical_label","review_status","notes"
"CMP-AWS-TRN2-GPSIMD-DMA","OBJ-AWS-TRAINIUM2-CHIP","CMP-AWS-TRN2-GPSIMD","data_movement","dma","NCv3 GPSIMD integrated DMA","draft","每核 8 个 GPSIMD 处理器合计通路"
"CMP-AWS-TRN2-DGE","OBJ-AWS-TRAINIUM2-CHIP","CMP-AWS-TRN2-NCV3","data_movement","special_function","Descriptor Generation Engine","draft","生成 DMA copy/transpose 描述符"
"CMP-AWS-TRN2-CC-CORE","OBJ-AWS-TRAINIUM2-CHIP","","special_function","network_offload","Collective Communication Core","needs_resolution","数量存在 16 与 20 的官方来源冲突"
"CMP-AWS-TRN2-HBM","OBJ-AWS-TRAINIUM2-CHIP","","memory","memory_level","Trainium2 HBM","draft","芯片级 4-stack HBM"
"CMP-AWS-TRN2-SBUF","OBJ-AWS-TRAINIUM2-CHIP","CMP-AWS-TRN2-NCV3","memory","memory_level","NCv3 SBUF","draft","每核软件管理片上 SRAM"
"CMP-AWS-TRN2-PSUM","OBJ-AWS-TRAINIUM2-CHIP","CMP-AWS-TRN2-NCV3","memory","memory_level","NCv3 PSUM","draft","每核部分和存储"
"CMP-AWS-TRN2-3XL-MEMORY","OBJ-AWS-TRN2-3XLARGE","","memory","memory_level","trn2.3xlarge accelerator memory view","needs_resolution","产品页与 EC2 通用表冲突"
"CMP-AWS-TRN2-48XL-MEMORY","OBJ-AWS-TRN2-48XLARGE","","memory","memory_level","trn2.48xlarge aggregate accelerator memory","needs_resolution","产品专页与 EC2 通用表冲突"
"CMP-AWS-TRN2U-48XL-MEMORY","OBJ-AWS-TRN2U-48XLARGE","","memory","memory_level","trn2u.48xlarge aggregate accelerator memory","draft","16 芯片聚合逻辑视图"
"CMP-AWS-TRN2-ULTRA64-MEMORY","OBJ-AWS-TRN2-ULTRASERVER-64","","memory","memory_level","Trn2 UltraServer aggregate accelerator memory","draft","64 芯片聚合逻辑视图"
"CMP-AWS-TRN2-48XL-TENSOR-AGG","OBJ-AWS-TRN2-48XLARGE","","compute","matrix","trn2.48xlarge aggregate Tensor compute","draft","实例级厂商聚合规格"
"CMP-AWS-TRN2U-48XL-TENSOR-AGG","OBJ-AWS-TRN2U-48XLARGE","","compute","matrix","trn2u.48xlarge aggregate Tensor compute","draft","实例级厂商聚合规格"
"CMP-AWS-TRN2-ULTRA64-TENSOR-AGG","OBJ-AWS-TRN2-ULTRASERVER-64","","compute","matrix","Trn2 UltraServer aggregate Tensor compute","draft","系统级厂商聚合规格"
"CMP-AWS-TRN2-CHIP-TENSOR-AGG","OBJ-AWS-TRAINIUM2-CHIP","","compute","matrix","Trainium2 chip aggregate Tensor compute","reviewed","芯片级聚合计算视图；不表示额外物理矩阵单元。用于把整芯片规格与 NCv3 每核路径分开。"
"CMP-GROQ-LPU1-TSP","OBJ-GROQ-LPU1-ARCH","","compute","other_fixed_function","First-generation Groq Tensor Streaming Processor","draft","代际根组件，承接跨功能切片的执行模型"
"CMP-NVG3-LPU","OBJ-NVIDIA-GROQ3-ARCH","","compute","other_fixed_function","NVIDIA Groq 3 LPU","draft","代际根组件，承接跨计算、存储和通信的执行模型"
"CMP-GROQ-LPU1-ICU","OBJ-GROQ-LPU1-ARCH","CMP-GROQ-LPU1-TSP","control","control","Instruction Control Unit","draft","第一代 TSP 的指令控制切片"
"CMP-GROQ-LPU1-MXM","OBJ-GROQ-LPU1-ARCH","CMP-GROQ-LPU1-TSP","compute","matrix","Matrix Execution Module","draft","矩阵执行路径；阵列数量和形状属于首颗实现，已移入实现待办"
"CMP-GROQ-LPU1-VXM","OBJ-GROQ-LPU1-ARCH","CMP-GROQ-LPU1-TSP","compute","vector","Vector Execution Module","draft","向量执行路径；具体 lane 和 ALU 数量属于首颗实现"
"CMP-GROQ-LPU1-SXM","OBJ-GROQ-LPU1-ARCH","CMP-GROQ-LPU1-TSP","data_movement","special_function","Switch Execution Module","draft","向量置换与数据重排"
"CMP-GROQ-LPU1-MEM","OBJ-GROQ-LPU1-ARCH","CMP-GROQ-LPU1-TSP","memory","memory_level","Memory Execution Module SRAM","draft","显式编译器管理的片上 SRAM"
"CMP-GROQ-LPU1-STREAM-REG","OBJ-GROQ-LPU1-ARCH","CMP-GROQ-LPU1-TSP","memory","memory_level","Stream register file","draft","架构可见的逻辑 stream register file；具体 stream 数量属于首颗实现待办"
"CMP-GROQ-LPU1-C2C","OBJ-GROQ-LPU1-ARCH","CMP-GROQ-LPU1-TSP","data_movement","network_offload","Chip-to-chip interface","draft","第一代 TSP 的显式芯片间通信路径；具体链路数量属于实现"
"CMP-NVG3-MXM","OBJ-NVIDIA-GROQ3-ARCH","CMP-NVG3-LPU","compute","matrix","Groq 3 Matrix Execution Module","draft","固定类型 dense MAC，具体类型未公开"
"CMP-NVG3-VXM","OBJ-NVIDIA-GROQ3-ARCH","CMP-NVG3-LPU","compute","vector","Groq 3 Vector Execution Module","draft","逐点算术、格式转换和激活"
"CMP-NVG3-SXM","OBJ-NVIDIA-GROQ3-ARCH","CMP-NVG3-LPU","data_movement","special_function","Groq 3 Switch Execution Module","draft","置换、旋转、分发和转置"
"CMP-NVG3-MEM","OBJ-NVIDIA-GROQ3-ARCH","CMP-NVG3-LPU","memory","memory_level","Groq 3 on-chip SRAM","draft","编译器与运行时管理，不是硬件 cache"
"CMP-NVG3-C2C","OBJ-NVIDIA-GROQ3-ARCH","CMP-NVG3-LPU","data_movement","network_offload","Groq 3 chip-to-chip interface","draft","Groq 3 的 C2C 通信路径；每 LPU 链路数量属于实现"
"CMP-HUAWEI-DV-CORE","OBJ-HUAWEI-DA-VINCI-INITIAL-ARCH","","compute","other_fixed_function","Da Vinci AI Core","draft","原始论文覆盖的可扩展 AI Core"
"CMP-HUAWEI-DV-SCALAR","OBJ-HUAWEI-DA-VINCI-INITIAL-ARCH","CMP-HUAWEI-DV-CORE","compute","scalar","Scalar Unit","draft","RISC-like 控制和简单标量操作"
"CMP-HUAWEI-DV-VECTOR","OBJ-HUAWEI-DA-VINCI-INITIAL-ARCH","CMP-HUAWEI-DV-CORE","compute","vector","Vector Unit","draft","SIMD 向量路径"
"CMP-HUAWEI-DV-CUBE","OBJ-HUAWEI-DA-VINCI-INITIAL-ARCH","CMP-HUAWEI-DV-CORE","compute","matrix","Cube Unit","draft","Da Vinci 的矩阵计算单元；具体阵列形状按实现配置记录"
"CMP-HUAWEI-DV-CUBE-MULT","OBJ-HUAWEI-DA-VINCI-INITIAL-ARCH","CMP-HUAWEI-DV-CUBE","compute","matrix","Cube multipliers","draft","Cube 内的乘法单元；具体数量按实现配置记录"
"CMP-HUAWEI-DV-CUBE-ACC","OBJ-HUAWEI-DA-VINCI-INITIAL-ARCH","CMP-HUAWEI-DV-CUBE","compute","matrix","Cube accumulators","draft","Cube 内的累加单元；具体数量按实现配置记录"
"CMP-HUAWEI-DV-MTE","OBJ-HUAWEI-DA-VINCI-INITIAL-ARCH","CMP-HUAWEI-DV-CORE","data_movement","dma","Memory Transfer Engine","draft","执行搬运、解压和数据变换"
"CMP-HUAWEI-DV-PSQ","OBJ-HUAWEI-DA-VINCI-INITIAL-ARCH","CMP-HUAWEI-DV-CORE","control","control","Program Sequence Queue","draft","协调 cube、vector 与 MTE 队列"
"CMP-HUAWEI-DV-L1","OBJ-HUAWEI-DA-VINCI-INITIAL-ARCH","CMP-HUAWEI-DV-CORE","memory","memory_level","L1 Buffer","draft","核心内一级 buffer"
"CMP-HUAWEI-DV-L0A","OBJ-HUAWEI-DA-VINCI-INITIAL-ARCH","CMP-HUAWEI-DV-L1","memory","memory_level","L0A Buffer","draft","Cube 输入 feature map buffer"
"CMP-HUAWEI-DV-L0B","OBJ-HUAWEI-DA-VINCI-INITIAL-ARCH","CMP-HUAWEI-DV-L1","memory","memory_level","L0B Buffer","draft","Cube weight buffer"
"CMP-HUAWEI-DV-L0C","OBJ-HUAWEI-DA-VINCI-INITIAL-ARCH","CMP-HUAWEI-DV-L1","memory","memory_level","L0C Buffer","draft","Cube 输出/累加 buffer"
"CMP-HUAWEI-DV-UB","OBJ-HUAWEI-DA-VINCI-INITIAL-ARCH","CMP-HUAWEI-DV-CORE","memory","memory_level","Unified Buffer","draft","Vector 与 scalar 共享 buffer"
"CMP-M2GA-GV3-TC","OBJ-GOOGLE-TPU-V3-ARCH","","compute","other_fixed_function","TensorCore","draft","执行组织，不表示芯片核心数量"
"CMP-M2GA-GV3-MXU","OBJ-GOOGLE-TPU-V3-ARCH","CMP-M2GA-GV3-TC","compute","matrix","Matrix Multiply Unit (MXU)","draft",""
"CMP-M2GA-GV3-VPU","OBJ-GOOGLE-TPU-V3-ARCH","CMP-M2GA-GV3-TC","compute","vector","Vector Processing Unit (VPU)","draft",""
"CMP-M2GA-GV3-SCALAR","OBJ-GOOGLE-TPU-V3-ARCH","CMP-M2GA-GV3-TC","compute","scalar","Scalar/control path","draft",""
"CMP-M2GA-GV3-HBM","OBJ-GOOGLE-TPU-V3-ARCH","","memory","memory_level","Device HBM","draft","只记录层级存在性"
"CMP-M2GA-GV3-VMEM","OBJ-GOOGLE-TPU-V3-ARCH","CMP-M2GA-GV3-TC","memory","memory_level","Vector memory / on-chip SRAM","draft","软件或编译器管理"
"CMP-M2GA-GV3-SPARSE","OBJ-GOOGLE-TPU-V3-ARCH","","special_function","special_function","SparseCore","draft",""
"CMP-M2GA-GV4-TC","OBJ-GOOGLE-TPU-V4-ARCH","","compute","other_fixed_function","TensorCore","draft","执行组织，不表示芯片核心数量"
"CMP-M2GA-GV4-MXU","OBJ-GOOGLE-TPU-V4-ARCH","CMP-M2GA-GV4-TC","compute","matrix","Matrix Multiply Unit (MXU)","draft",""
"CMP-M2GA-GV4-VPU","OBJ-GOOGLE-TPU-V4-ARCH","CMP-M2GA-GV4-TC","compute","vector","Vector Processing Unit (VPU)","draft",""
"CMP-M2GA-GV4-SCALAR","OBJ-GOOGLE-TPU-V4-ARCH","CMP-M2GA-GV4-TC","compute","scalar","Scalar/control path","draft",""
"CMP-M2GA-GV4-HBM","OBJ-GOOGLE-TPU-V4-ARCH","","memory","memory_level","Device HBM","draft","只记录层级存在性"
"CMP-M2GA-GV4-VMEM","OBJ-GOOGLE-TPU-V4-ARCH","CMP-M2GA-GV4-TC","memory","memory_level","Vector memory / on-chip SRAM","draft","软件或编译器管理"
"CMP-M2GA-GV4-SPARSE","OBJ-GOOGLE-TPU-V4-ARCH","","special_function","special_function","SparseCore","draft",""
"CMP-M2GA-GV5E-TC","OBJ-GOOGLE-TPU-V5E-ARCH","","compute","other_fixed_function","TensorCore","draft","执行组织，不表示芯片核心数量"
"CMP-M2GA-GV5E-MXU","OBJ-GOOGLE-TPU-V5E-ARCH","CMP-M2GA-GV5E-TC","compute","matrix","Matrix Multiply Unit (MXU)","draft",""
"CMP-M2GA-GV5E-VPU","OBJ-GOOGLE-TPU-V5E-ARCH","CMP-M2GA-GV5E-TC","compute","vector","Vector Processing Unit (VPU)","draft",""
"CMP-M2GA-GV5E-SCALAR","OBJ-GOOGLE-TPU-V5E-ARCH","CMP-M2GA-GV5E-TC","compute","scalar","Scalar/control path","draft",""
"CMP-M2GA-GV5E-HBM","OBJ-GOOGLE-TPU-V5E-ARCH","","memory","memory_level","Device HBM","draft","只记录层级存在性"
"CMP-M2GA-GV5E-VMEM","OBJ-GOOGLE-TPU-V5E-ARCH","CMP-M2GA-GV5E-TC","memory","memory_level","Vector memory / on-chip SRAM","draft","软件或编译器管理"
"CMP-M2GA-GV5P-TC","OBJ-GOOGLE-TPU-V5P-ARCH","","compute","other_fixed_function","TensorCore","draft","执行组织，不表示芯片核心数量"
"CMP-M2GA-GV5P-MXU","OBJ-GOOGLE-TPU-V5P-ARCH","CMP-M2GA-GV5P-TC","compute","matrix","Matrix Multiply Unit (MXU)","draft",""
"CMP-M2GA-GV5P-VPU","OBJ-GOOGLE-TPU-V5P-ARCH","CMP-M2GA-GV5P-TC","compute","vector","Vector Processing Unit (VPU)","draft",""
"CMP-M2GA-GV5P-SCALAR","OBJ-GOOGLE-TPU-V5P-ARCH","CMP-M2GA-GV5P-TC","compute","scalar","Scalar/control path","draft",""
"CMP-M2GA-GV5P-HBM","OBJ-GOOGLE-TPU-V5P-ARCH","","memory","memory_level","Device HBM","draft","只记录层级存在性"
"CMP-M2GA-GV5P-VMEM","OBJ-GOOGLE-TPU-V5P-ARCH","CMP-M2GA-GV5P-TC","memory","memory_level","Vector memory / on-chip SRAM","draft","软件或编译器管理"
"CMP-M2GA-GV5P-SPARSE","OBJ-GOOGLE-TPU-V5P-ARCH","","special_function","special_function","SparseCore","draft",""
"CMP-M2GA-GV6E-TC","OBJ-GOOGLE-TPU-V6E-ARCH","","compute","other_fixed_function","TensorCore","draft","执行组织，不表示芯片核心数量"
"CMP-M2GA-GV6E-MXU","OBJ-GOOGLE-TPU-V6E-ARCH","CMP-M2GA-GV6E-TC","compute","matrix","Matrix Multiply Unit (MXU)","draft",""
"CMP-M2GA-GV6E-VPU","OBJ-GOOGLE-TPU-V6E-ARCH","CMP-M2GA-GV6E-TC","compute","vector","Vector Processing Unit (VPU)","draft",""
"CMP-M2GA-GV6E-SCALAR","OBJ-GOOGLE-TPU-V6E-ARCH","CMP-M2GA-GV6E-TC","compute","scalar","Scalar/control path","draft",""
"CMP-M2GA-GV6E-HBM","OBJ-GOOGLE-TPU-V6E-ARCH","","memory","memory_level","Device HBM","draft","只记录层级存在性"
"CMP-M2GA-GV6E-VMEM","OBJ-GOOGLE-TPU-V6E-ARCH","CMP-M2GA-GV6E-TC","memory","memory_level","Vector memory / on-chip SRAM","draft","软件或编译器管理"
"CMP-M2GA-GV6E-SPARSE","OBJ-GOOGLE-TPU-V6E-ARCH","","special_function","special_function","SparseCore","draft",""
"CMP-M2GA-G7X-TC","OBJ-GOOGLE-TPU7X-ARCH","","compute","other_fixed_function","TensorCore","draft","执行组织，不表示芯片核心数量"
"CMP-M2GA-G7X-MXU","OBJ-GOOGLE-TPU7X-ARCH","CMP-M2GA-G7X-TC","compute","matrix","Matrix Multiply Unit (MXU)","draft",""
"CMP-M2GA-G7X-VPU","OBJ-GOOGLE-TPU7X-ARCH","CMP-M2GA-G7X-TC","compute","vector","Vector Processing Unit (VPU)","draft",""
"CMP-M2GA-G7X-SCALAR","OBJ-GOOGLE-TPU7X-ARCH","CMP-M2GA-G7X-TC","compute","scalar","Scalar/control path","draft",""
"CMP-M2GA-G7X-HBM","OBJ-GOOGLE-TPU7X-ARCH","","memory","memory_level","Device HBM","draft","只记录层级存在性"
"CMP-M2GA-G7X-VMEM","OBJ-GOOGLE-TPU7X-ARCH","CMP-M2GA-G7X-TC","memory","memory_level","Vector memory / on-chip SRAM","draft","软件或编译器管理"
"CMP-M2GA-G7X-SPARSE","OBJ-GOOGLE-TPU7X-ARCH","","special_function","special_function","SparseCore","draft",""
"CMP-M2GA-G8T-TC","OBJ-GOOGLE-TPU-8T-ARCH","","compute","other_fixed_function","TensorCore","draft","执行组织，不表示芯片核心数量"
"CMP-M2GA-G8T-MXU","OBJ-GOOGLE-TPU-8T-ARCH","CMP-M2GA-G8T-TC","compute","matrix","Matrix Multiply Unit (MXU)","draft",""
"CMP-M2GA-G8T-VPU","OBJ-GOOGLE-TPU-8T-ARCH","CMP-M2GA-G8T-TC","compute","vector","Vector Processing Unit (VPU)","draft",""
"CMP-M2GA-G8T-SCALAR","OBJ-GOOGLE-TPU-8T-ARCH","CMP-M2GA-G8T-TC","compute","scalar","Scalar/control path","draft",""
"CMP-M2GA-G8T-HBM","OBJ-GOOGLE-TPU-8T-ARCH","","memory","memory_level","Device HBM","draft","只记录层级存在性"
"CMP-M2GA-G8T-VMEM","OBJ-GOOGLE-TPU-8T-ARCH","CMP-M2GA-G8T-TC","memory","memory_level","Vector memory / on-chip SRAM","draft","软件或编译器管理"
"CMP-M2GA-G8T-SPARSE","OBJ-GOOGLE-TPU-8T-ARCH","","special_function","special_function","SparseCore","draft",""
"CMP-M2GA-G8I-TC","OBJ-GOOGLE-TPU-8I-ARCH","","compute","other_fixed_function","TensorCore","draft","执行组织，不表示芯片核心数量"
"CMP-M2GA-G8I-HBM","OBJ-GOOGLE-TPU-8I-ARCH","","memory","memory_level","Device HBM","draft","只记录层级存在性"
"CMP-M2GA-G8I-VMEM","OBJ-GOOGLE-TPU-8I-ARCH","CMP-M2GA-G8I-TC","memory","memory_level","Vector memory / on-chip SRAM","draft","软件或编译器管理"
"CMP-M2GA-G8T-LDE","OBJ-GOOGLE-TPU-8T-ARCH","","special_function","other_fixed_function","LLM Decoder Engine","draft","内部实现未公开"
"CMP-M2GA-G8I-CAE","OBJ-GOOGLE-TPU-8I-ARCH","","special_function","network_offload","Collectives Acceleration Engine (CAE)","draft",""
"CMP-M2GA-AIF1-NC","OBJ-AWS-INFERENTIA1-ARCH","","compute","other_fixed_function","NCv1","draft","架构执行核，不表示芯片核心数量"
"CMP-M2GA-AIF1-TENSOR","OBJ-AWS-INFERENTIA1-ARCH","CMP-M2GA-AIF1-NC","compute","matrix","NCv1 Tensor Engine","draft",""
"CMP-M2GA-AIF1-VECTOR","OBJ-AWS-INFERENTIA1-ARCH","CMP-M2GA-AIF1-NC","compute","vector","NCv1 Vector Engine","draft",""
"CMP-M2GA-AIF1-SCALAR","OBJ-AWS-INFERENTIA1-ARCH","CMP-M2GA-AIF1-NC","compute","scalar","NCv1 Scalar Engine","draft",""
"CMP-M2GA-AIF1-SBUF","OBJ-AWS-INFERENTIA1-ARCH","CMP-M2GA-AIF1-NC","memory","memory_level","Software-managed SRAM / SBUF","draft",""
"CMP-M2GA-ATRN1-NC","OBJ-AWS-TRAINIUM1-ARCH","","compute","other_fixed_function","NCv2","draft","架构执行核，不表示芯片核心数量"
"CMP-M2GA-ATRN1-TENSOR","OBJ-AWS-TRAINIUM1-ARCH","CMP-M2GA-ATRN1-NC","compute","matrix","NCv2 Tensor Engine","draft",""
"CMP-M2GA-ATRN1-VECTOR","OBJ-AWS-TRAINIUM1-ARCH","CMP-M2GA-ATRN1-NC","compute","vector","NCv2 Vector Engine","draft",""
"CMP-M2GA-ATRN1-SCALAR","OBJ-AWS-TRAINIUM1-ARCH","CMP-M2GA-ATRN1-NC","compute","scalar","NCv2 Scalar Engine","draft",""
"CMP-M2GA-ATRN1-SBUF","OBJ-AWS-TRAINIUM1-ARCH","CMP-M2GA-ATRN1-NC","memory","memory_level","Software-managed SRAM / SBUF","draft",""
"CMP-M2GA-ATRN1-GPSIMD","OBJ-AWS-TRAINIUM1-ARCH","CMP-M2GA-ATRN1-NC","compute","vector","NCv2 GpSimd Engine","draft",""
"CMP-M2GA-ATRN1-PSUM","OBJ-AWS-TRAINIUM1-ARCH","CMP-M2GA-ATRN1-NC","memory","memory_level","PSUM accumulator store","draft",""
"CMP-M2GA-ATRN1-DMA","OBJ-AWS-TRAINIUM1-ARCH","","data_movement","dma","DMA engines","draft",""
"CMP-M2GA-ATRN1-CC","OBJ-AWS-TRAINIUM1-ARCH","","special_function","network_offload","Collective Communication Cores","draft",""
"CMP-M2GA-AIF2-NC","OBJ-AWS-INFERENTIA2-ARCH","","compute","other_fixed_function","NCv2","draft","架构执行核，不表示芯片核心数量"
"CMP-M2GA-AIF2-TENSOR","OBJ-AWS-INFERENTIA2-ARCH","CMP-M2GA-AIF2-NC","compute","matrix","NCv2 Tensor Engine","draft",""
"CMP-M2GA-AIF2-VECTOR","OBJ-AWS-INFERENTIA2-ARCH","CMP-M2GA-AIF2-NC","compute","vector","NCv2 Vector Engine","draft",""
"CMP-M2GA-AIF2-SCALAR","OBJ-AWS-INFERENTIA2-ARCH","CMP-M2GA-AIF2-NC","compute","scalar","NCv2 Scalar Engine","draft",""
"CMP-M2GA-AIF2-SBUF","OBJ-AWS-INFERENTIA2-ARCH","CMP-M2GA-AIF2-NC","memory","memory_level","Software-managed SRAM / SBUF","draft",""
"CMP-M2GA-AIF2-GPSIMD","OBJ-AWS-INFERENTIA2-ARCH","CMP-M2GA-AIF2-NC","compute","vector","NCv2 GpSimd Engine","draft",""
"CMP-M2GA-AIF2-PSUM","OBJ-AWS-INFERENTIA2-ARCH","CMP-M2GA-AIF2-NC","memory","memory_level","PSUM accumulator store","draft",""
"CMP-M2GA-AIF2-DMA","OBJ-AWS-INFERENTIA2-ARCH","","data_movement","dma","DMA engines","draft",""
"CMP-M2GA-AIF2-CC","OBJ-AWS-INFERENTIA2-ARCH","","special_function","network_offload","Collective Communication Cores","draft",""
"CMP-M2GA-ATRN3-NC","OBJ-AWS-TRAINIUM3-ARCH","","compute","other_fixed_function","NCv4","draft","架构执行核，不表示芯片核心数量"
"CMP-M2GA-ATRN3-TENSOR","OBJ-AWS-TRAINIUM3-ARCH","CMP-M2GA-ATRN3-NC","compute","matrix","NCv4 Tensor Engine","draft",""
"CMP-M2GA-ATRN3-VECTOR","OBJ-AWS-TRAINIUM3-ARCH","CMP-M2GA-ATRN3-NC","compute","vector","NCv4 Vector Engine","draft",""
"CMP-M2GA-ATRN3-SCALAR","OBJ-AWS-TRAINIUM3-ARCH","CMP-M2GA-ATRN3-NC","compute","scalar","NCv4 Scalar Engine","draft",""
"CMP-M2GA-ATRN3-SBUF","OBJ-AWS-TRAINIUM3-ARCH","CMP-M2GA-ATRN3-NC","memory","memory_level","Software-managed SRAM / SBUF","draft",""
"CMP-M2GA-ATRN3-GPSIMD","OBJ-AWS-TRAINIUM3-ARCH","CMP-M2GA-ATRN3-NC","compute","vector","NCv4 GpSimd Engine","draft",""
"CMP-M2GA-ATRN3-PSUM","OBJ-AWS-TRAINIUM3-ARCH","CMP-M2GA-ATRN3-NC","memory","memory_level","PSUM accumulator store","draft",""
"CMP-M2GA-ATRN3-DMA","OBJ-AWS-TRAINIUM3-ARCH","","data_movement","dma","DMA engines","draft",""
"CMP-M2GA-ATRN3-CC","OBJ-AWS-TRAINIUM3-ARCH","","special_function","network_offload","Collective Communication Cores","draft",""
"CMP-M2GA-AIF1-DEVMEM","OBJ-AWS-INFERENTIA1-ARCH","","memory","memory_level","Device DRAM","draft","只记录层级存在性"
"CMP-M2GA-ATRN1-DEVMEM","OBJ-AWS-TRAINIUM1-ARCH","","memory","memory_level","Device HBM","draft","只记录层级存在性"
"CMP-M2GA-AIF2-DEVMEM","OBJ-AWS-INFERENTIA2-ARCH","","memory","memory_level","Device HBM","draft","只记录层级存在性"
"CMP-M2GA-ATRN3-DEVMEM","OBJ-AWS-TRAINIUM3-ARCH","","memory","memory_level","Device HBM","draft","只记录层级存在性"
"CMP-M2GA-GV4-CMEM","OBJ-GOOGLE-TPU-V4-ARCH","","memory","memory_level","Common memory (CMEM)","draft","共享片上 scratchpad；容量下沉实现对象"
