"precision_path_id","component_id","canonical_label","operation_class","review_status","notes"
"PP-AWS-TRN2-48XL-FP16","CMP-AWS-TRN2-48XL-TENSOR-AGG","trn2.48xlarge aggregate FP16 matrix path","matrix","draft","Trainium2 试填结构化候选"
"PP-AWS-TRN2-48XL-TF32","CMP-AWS-TRN2-48XL-TENSOR-AGG","trn2.48xlarge aggregate TF32 matrix path","matrix","draft","Trainium2 试填结构化候选"
"PP-AWS-TRN2-48XL-FP32","CMP-AWS-TRN2-48XL-TENSOR-AGG","trn2.48xlarge aggregate FP32 matrix path","matrix","draft","Trainium2 试填结构化候选"
"PP-AWS-TRN2U-48XL-FP8","CMP-AWS-TRN2U-48XL-TENSOR-AGG","trn2u.48xlarge aggregate FP8 matrix path","matrix","draft","Trainium2 试填结构化候选"
"PP-AWS-TRN2U-48XL-BF16","CMP-AWS-TRN2U-48XL-TENSOR-AGG","trn2u.48xlarge aggregate BF16/FP16/TF32 matrix path","matrix","draft","Trainium2 试填结构化候选"
"PP-AWS-TRN2U-48XL-FP16","CMP-AWS-TRN2U-48XL-TENSOR-AGG","trn2u.48xlarge aggregate FP16 matrix path","matrix","draft","Trainium2 试填结构化候选"
"PP-AWS-TRN2U-48XL-TF32","CMP-AWS-TRN2U-48XL-TENSOR-AGG","trn2u.48xlarge aggregate TF32 matrix path","matrix","draft","Trainium2 试填结构化候选"
"PP-AWS-TRN2U-48XL-FP32","CMP-AWS-TRN2U-48XL-TENSOR-AGG","trn2u.48xlarge aggregate FP32 matrix path","matrix","draft","Trainium2 试填结构化候选"
"PP-AWS-TRN2-ULTRA64-FP8","CMP-AWS-TRN2-ULTRA64-TENSOR-AGG","Trn2 UltraServer aggregate FP8 matrix path","matrix","draft","Trainium2 试填结构化候选"
"PP-AWS-TRN2-ULTRA64-BF16","CMP-AWS-TRN2-ULTRA64-TENSOR-AGG","Trn2 UltraServer aggregate BF16/FP16/TF32 matrix path","matrix","draft","Trainium2 试填结构化候选"
"PP-AWS-TRN2-ULTRA64-FP16","CMP-AWS-TRN2-ULTRA64-TENSOR-AGG","Trn2 UltraServer aggregate FP16 matrix path","matrix","draft","Trainium2 试填结构化候选"
"PP-AWS-TRN2-ULTRA64-TF32","CMP-AWS-TRN2-ULTRA64-TENSOR-AGG","Trn2 UltraServer aggregate TF32 matrix path","matrix","draft","Trainium2 试填结构化候选"
"PP-AWS-TRN2-ULTRA64-FP32","CMP-AWS-TRN2-ULTRA64-TENSOR-AGG","Trn2 UltraServer aggregate FP32 matrix path","matrix","draft","Trainium2 试填结构化候选"
"PP-AWS-TRN2-CHIP-TENSOR-FP8","CMP-AWS-TRN2-CHIP-TENSOR-AGG","Trainium2 chip aggregate Tensor FP8 matrix path","matrix","reviewed","芯片聚合精度路径；与 NCv3 每核路径分开，避免 scope 混用。"
"PP-AWS-TRN2-CHIP-TENSOR-BF16","CMP-AWS-TRN2-CHIP-TENSOR-AGG","Trainium2 chip aggregate Tensor BF16 matrix path","matrix","reviewed","芯片聚合精度路径；与 NCv3 每核路径分开，避免 scope 混用。"
"PP-AWS-TRN2-CHIP-TENSOR-FP16","CMP-AWS-TRN2-CHIP-TENSOR-AGG","Trainium2 chip aggregate Tensor FP16 matrix path","matrix","reviewed","芯片聚合精度路径；与 NCv3 每核路径分开，避免 scope 混用。"
"PP-AWS-TRN2-CHIP-TENSOR-TF32","CMP-AWS-TRN2-CHIP-TENSOR-AGG","Trainium2 chip aggregate Tensor TF32 matrix path","matrix","reviewed","芯片聚合精度路径；与 NCv3 每核路径分开，避免 scope 混用。"
"PP-AWS-TRN2-CHIP-TENSOR-FP32","CMP-AWS-TRN2-CHIP-TENSOR-AGG","Trainium2 chip aggregate Tensor FP32 matrix path","matrix","reviewed","芯片聚合精度路径；与 NCv3 每核路径分开，避免 scope 混用。"
"PP-GROQ-LPU1-MXM-INT8","CMP-GROQ-LPU1-MXM","第一代 MXM INT8→INT32","matrix","draft","ISCA 2020 p.9：320-element sum 在矩阵操作末尾只发生一次舍入；这是舍入阶段说明，不是 rounding_mode 枚举"
"PP-GROQ-LPU1-MXM-FP16","CMP-GROQ-LPU1-MXM","第一代 MXM FP16→FP32","matrix","draft","ISCA 2020 p.9：320-element sum 在矩阵操作末尾只发生一次舍入；这是舍入阶段说明，不是 rounding_mode 枚举"
"PP-GROQ-LPU1-VXM-FP16","CMP-GROQ-LPU1-VXM","第一代 VXM FP16","vector","draft","产品简报 v1.7"
"PP-GROQ-LPU1-VXM-FP32","CMP-GROQ-LPU1-VXM","第一代 VXM FP32","vector","draft","产品简报 v1.7"
"PP-HUAWEI-DV-CUBE-FP16","CMP-HUAWEI-DV-CUBE","Da Vinci Cube FP16 source / FP32 destination","matrix","draft","HPCA 2021 p.3 只直接说明 source format 与 destination format；不据此推出累加格式"
"PP-HUAWEI-DV-CUBE-INT8","CMP-HUAWEI-DV-CUBE","Da Vinci Cube INT8 source support","matrix","draft","HPCA 2021 p.3 说明 INT8 source 支持；destination、累加和物理中间格式仍未找到"
"PP-NVG3-320B-VECTOR","CMP-NVG3-VXM","NVIDIA Groq 3 320-byte architecture vector","vector","draft","用于承接 320-byte 计算/通信粒度；原始断言保留跨计算与通信的完整范围"
"PP-HUAWEI-DV-VECTOR-CONVERSION","CMP-HUAWEI-DV-VECTOR","Da Vinci vector format conversion path","vector","draft","INT32、FP16 与 INT8 之间的格式转换；不推断转换方向、舍入或缩放"
"PP-M2GA-GV3-BF16","CMP-M2GA-GV3-MXU","BF16 matrix input with FP32 accumulation","matrix","draft",""
"PP-M2GA-GV4-BF16","CMP-M2GA-GV4-MXU","BF16 matrix input with FP32 accumulation","matrix","draft",""
"PP-M2GA-GV4-INT8","CMP-M2GA-GV4-MXU","INT8 matrix path","matrix","draft",""
"PP-M2GA-GV5E-BF16","CMP-M2GA-GV5E-MXU","BF16 matrix input with FP32 accumulation","matrix","draft",""
"PP-M2GA-GV5E-INT8","CMP-M2GA-GV5E-MXU","INT8 matrix path","matrix","draft",""
"PP-M2GA-GV5P-BF16","CMP-M2GA-GV5P-MXU","BF16 matrix input with FP32 accumulation","matrix","draft",""
"PP-M2GA-GV5P-FP8","CMP-M2GA-GV5P-MXU","FP8/BF8 matrix path","matrix","draft",""
"PP-M2GA-GV6E-BF16","CMP-M2GA-GV6E-MXU","BF16 matrix input with FP32 accumulation","matrix","draft",""
"PP-M2GA-GV6E-INT8","CMP-M2GA-GV6E-MXU","INT8 matrix path","matrix","draft",""
"PP-M2GA-G7X-BF16","CMP-M2GA-G7X-MXU","BF16 matrix path","matrix","draft",""
"PP-M2GA-G7X-FP8","CMP-M2GA-G7X-MXU","FP8 matrix path","matrix","draft",""
"PP-M2GA-G8T-FP4","CMP-M2GA-G8T-MXU","Native FP4 matrix path; accumulation undisclosed","matrix","draft",""
"PP-M2GA-G8I-FP4","CMP-M2GA-G8I-TC","Published FP4 TensorCore path; internal organization undisclosed","matrix","draft",""
"PP-M2GA-AIF1-FP16BF16","CMP-M2GA-AIF1-TENSOR","FP16/BF16 Tensor Engine path with FP32 result","matrix","draft",""
"PP-M2GA-AIF1-INT8","CMP-M2GA-AIF1-TENSOR","INT8 Tensor Engine path with INT32 result","matrix","draft",""
"PP-M2GA-ATRN1-BF16FP16","CMP-M2GA-ATRN1-TENSOR","BF16/FP16 Tensor Engine path with FP32 accumulation","matrix","draft",""
"PP-M2GA-ATRN1-CFP8TF32","CMP-M2GA-ATRN1-TENSOR","cFP8/TF32 Tensor Engine path with FP32 accumulation","matrix","draft",""
"PP-M2GA-AIF2-BF16FP16","CMP-M2GA-AIF2-TENSOR","BF16/FP16 Tensor Engine path with FP32 accumulation","matrix","draft",""
"PP-M2GA-AIF2-CFP8TF32","CMP-M2GA-AIF2-TENSOR","cFP8/TF32 Tensor Engine path with FP32 accumulation","matrix","draft",""
"PP-M2GA-ATRN3-MX","CMP-M2GA-ATRN3-TENSOR","MXFP8/MXFP4 Tensor Engine path with FP32 internal accumulation","matrix","draft",""
"PP-M2GA-ATRN3-BF16","CMP-M2GA-ATRN3-TENSOR","BF16/FP16/TF32 Tensor Engine path with FP32 accumulation","matrix","draft",""
"PP-M2GA-ATRN3-VECTOR","CMP-M2GA-ATRN3-VECTOR","NCv4 vector path","vector","draft",""
"PP-M2GA-ATRN3-SCALAR","CMP-M2GA-ATRN3-SCALAR","NCv4 scalar path","scalar","draft",""
