snapshot_id,source_family,source_version,candidate_role,evidence_role,requested_endpoint_url,final_url,http_status,http_content_type,access_date,title_or_internal_version,page_count,local_payload_path,payload_media_type,payload_bytes,sha256,header_path,evidence_capture_level,ingestion_status,version_risk_or_notes
R1GA100-WEB-011,NVIDIA AI Enterprise Infra vGPU docs,Infra 8.2 A100 vGPU types,selected_candidate,A100 profiles and feature binding,https://docs.nvidia.com/ai-enterprise/release-8/latest/infra-software/vgpu/reference/ampere-a100.html,https://docs.nvidia.com/ai-enterprise/release-8/latest/infra-software/vgpu/reference/ampere-a100.html,200,text/html,2026-08-21,Ampere A100 vGPU Types - NVIDIA AI Enterprise,,payload/html/nvidia-ai-enterprise-infra-8-2_vgpu-ampere-a100__captured-20260821.html,text/html,52988,3b858ee05bcdd3a50561a03b167d9be21e4212be1805d58b6ac8f1b782eb166d,headers/R1GA100-WEB-011.headers.txt,raw_html_body_with_redirect_headers,captured_success,Main-document payload; it binds A100 profiles and cannot be replaced by generic feature pages.
R1GA100-WEB-012,NVIDIA AI Enterprise Infra vGPU docs,Infra 8.2 Live Migration,selected_candidate,Platform and Live Migration conditions,https://docs.nvidia.com/ai-enterprise/release-8/latest/infra-software/vgpu/features/live-migration.html,https://docs.nvidia.com/ai-enterprise/release-8/latest/infra-software/vgpu/features/live-migration.html,200,text/html,2026-08-21,Live Migration - NVIDIA AI Enterprise,,payload/html/nvidia-ai-enterprise-infra-8-2_vgpu-live-migration__captured-20260821.html,text/html,30866,043cf92a0d82a43e92756946f97677a340526752d6e3e20619e4f7dd4b8bebad,headers/R1GA100-WEB-012.headers.txt,raw_html_body_with_redirect_headers,captured_success,Main-document payload; generic feature semantics require the separate A100 vGPU types endpoint for product binding.
R1GA100-WEB-013,NVIDIA AI Enterprise Infra vGPU docs,Infra 8.2 Suspend-Resume,selected_candidate,VM state save-and-restore conditions,https://docs.nvidia.com/ai-enterprise/release-8/latest/infra-software/vgpu/features/suspend-resume.html,https://docs.nvidia.com/ai-enterprise/release-8/latest/infra-software/vgpu/features/suspend-resume.html,200,text/html,2026-08-21,Suspend-Resume - NVIDIA AI Enterprise,,payload/html/nvidia-ai-enterprise-infra-8-2_vgpu-suspend-resume__captured-20260821.html,text/html,30992,5dd344136a44bbcbfddc8552603508d392523c1eb98230cc00158f55be712182,headers/R1GA100-WEB-013.headers.txt,raw_html_body_with_redirect_headers,captured_success,Main-document payload; VM-level operation must not be restated as bare-die checkpoint evidence.
R1GA100-WEB-014,NVIDIA AI Enterprise Infra vGPU docs,Infra 8.2 MIG-Backed vGPU,selected_candidate,MIG-backed vGPU migration limitations,https://docs.nvidia.com/ai-enterprise/release-8/latest/infra-software/vgpu/features/mig-backed-vgpu.html,https://docs.nvidia.com/ai-enterprise/release-8/latest/infra-software/vgpu/features/mig-backed-vgpu.html,200,text/html,2026-08-21,MIG-Backed vGPU - NVIDIA AI Enterprise,,payload/html/nvidia-ai-enterprise-infra-8-2_vgpu-mig-backed__captured-20260821.html,text/html,33542,605d40e9c1f2dac7ad1080087cc2b2bfc9c896ea375c4d1a5149dc4e67a5d805,headers/R1GA100-WEB-014.headers.txt,raw_html_body_with_redirect_headers,captured_success,Main-document payload; matching-profile limitation is source-specific.
R1GA100-WEB-015,NVIDIA AI Enterprise Infra vGPU docs,Infra 8.2 Scheduling Policies,selected_candidate,Time-sliced vGPU scheduling and preemption boundaries,https://docs.nvidia.com/ai-enterprise/release-8/latest/infra-software/vgpu/features/scheduling.html,https://docs.nvidia.com/ai-enterprise/release-8/latest/infra-software/vgpu/features/scheduling.html,200,text/html,2026-08-21,Scheduling Policies - NVIDIA AI Enterprise,,payload/html/nvidia-ai-enterprise-infra-8-2_vgpu-scheduling-policies__captured-20260821.html,text/html,28099,fbcff9a23cd25490ff7cca51bd886399f1ece4738b55f37af5fb183f385928e3,headers/R1GA100-WEB-015.headers.txt,raw_html_body_with_redirect_headers,captured_success,Main-document payload; time-sliced semantics do not transfer to 1:1 MIG-backed vGPU.
R1GA100-WEB-016,NVIDIA Virtual GPU Software User Guide,Release 20.0-20.2; Jul 31 2026,selected_candidate,Fixed operation-level migration and suspend-resume instructions,https://docs.nvidia.com/vgpu/20.0/pdf/grid-vgpu-user-guide.pdf,https://docs.nvidia.com/vgpu/20.0/pdf/grid-vgpu-user-guide.pdf,200,application/pdf,2026-08-21,NVIDIA Virtual GPU Software User Guide; Release 20.0-20.2; Jul 31 2026,360,payload/pdf/nvidia-vgpu-software-user-guide_release-20-0-to-20-2__captured-20260821.pdf,application/pdf,6720894,7f0f7d96bc9c094ee79239b13ce76cab99c22f37b81a3562d6e649c694262315,headers/R1GA100-WEB-016.headers.txt,original_pdf_bytes_with_redirect_headers,captured_success,Fixed version path and internal cover agree; r23 locator uses viewer pp.158-164 and printed pp.146-152.
R1GA100-WEB-017,NVIDIA PyTorch Container Release Notes,20.06,selected_candidate,PyTorch A100 support and launch-stack binding,https://docs.nvidia.com/deeplearning/frameworks/pytorch-release-notes/rel_20-06.html,https://docs.nvidia.com/deeplearning/frameworks/pytorch-release-notes/rel_20-06.html,200,text/html;charset=UTF-8,2026-08-21,PyTorch Release 20.06 - NVIDIA Docs,,payload/html/nvidia-pytorch-container-release-notes_20-06__captured-20260821.html,text/html,605297,4c226d11936adc26e446c88bc10f08dae90e098fbf3b9382b0e1389d54bb77a2,headers/R1GA100-WEB-017.headers.txt,raw_html_body_with_redirect_headers,captured_success,Versioned release-note endpoint; evidence for direct A100 support wording.
R1GA100-WEB-018,NVIDIA PyTorch Container Release Notes,20.07,selected_candidate,PyTorch component update and known-issue qualifier,https://docs.nvidia.com/deeplearning/frameworks/pytorch-release-notes/rel_20-07.html,https://docs.nvidia.com/deeplearning/frameworks/pytorch-release-notes/rel_20-07.html,200,text/html;charset=UTF-8,2026-08-21,PyTorch Release 20.07 - NVIDIA Docs,,payload/html/nvidia-pytorch-container-release-notes_20-07__captured-20260821.html,text/html,605070,0bc6a9864a125f7dbe2bc458540f6657b2ae0191e942512d8ee008c4dadd3c13,headers/R1GA100-WEB-018.headers.txt,raw_html_body_with_redirect_headers,captured_success,Versioned release-note endpoint; retain 20.07 scope as component update and known-issue qualifier.
R1GA100-WEB-019,NVIDIA TensorFlow Container Release Notes,20.06,selected_candidate,TensorFlow launch issue and NCCL workaround,https://docs.nvidia.com/deeplearning/frameworks/tensorflow-release-notes/rel_20-06.html,https://docs.nvidia.com/deeplearning/frameworks/tensorflow-release-notes/rel_20-06.html,200,text/html;charset=UTF-8,2026-08-21,TensorFlow Release 20.06 - NVIDIA Docs,,payload/html/nvidia-tensorflow-container-release-notes_20-06__captured-20260821.html,text/html,606965,d61a6a369fdbbd0d9b05f558fc2da26091cf340357c9e4c3dc8676ae2c75ad90,headers/R1GA100-WEB-019.headers.txt,raw_html_body_with_redirect_headers,captured_success,Versioned release-note endpoint; records launch issue context.
R1GA100-WEB-020,NVIDIA TensorFlow Container Release Notes,20.07,selected_candidate,TensorFlow A100 CUDA 11 support and component binding,https://docs.nvidia.com/deeplearning/frameworks/tensorflow-release-notes/rel_20-07.html,https://docs.nvidia.com/deeplearning/frameworks/tensorflow-release-notes/rel_20-07.html,200,text/html;charset=UTF-8,2026-08-21,TensorFlow Release 20.07 - NVIDIA Docs,,payload/html/nvidia-tensorflow-container-release-notes_20-07__captured-20260821.html,text/html,608177,e7b11bf23f535bc1d79d35c6cd783b0c0e01c379a326ce3dccdafa40887bef8c,headers/R1GA100-WEB-020.headers.txt,raw_html_body_with_redirect_headers,captured_success,Versioned release-note endpoint; direct framework and component binding evidence.
R1GA100-WEB-021,NVIDIA CUDA Toolkit Release Notes,CUDA 11.0 GA,selected_candidate,CC8.0 A100 reachability and cuBLAS component version,https://docs.nvidia.com/cuda/archive/11.0_GA/cuda-toolkit-release-notes/index.html,https://docs.nvidia.com/cuda/archive/11.0_GA/cuda-toolkit-release-notes/index.html,200,text/html; charset=utf-8,2026-08-21,Release Notes :: CUDA Toolkit Documentation,,payload/html/nvidia-cuda-toolkit-release-notes_11-0-ga__captured-20260821.html,text/html,158399,55d7bc6da507caa2f46d87ccdfc916b037310a597134456c78c6f5230fb7dbc5,headers/R1GA100-WEB-021.headers.txt,raw_html_body_with_redirect_headers,captured_success,Archive path is versioned as 11.0_GA; retained main release-notes page includes component table.
R1GA100-WEB-022,NVIDIA NCCL Release Notes,2.7.6,selected_candidate,CUDA 11.0 compatibility and known limitations,https://docs.nvidia.com/deeplearning/nccl/archives/nccl_276/release-notes/rel_2-7-6.html,https://docs.nvidia.com/deeplearning/nccl/archives/nccl_276/release-notes/rel_2-7-6.html,200,text/html; charset=utf-8,2026-08-21,Release Notes :: NVIDIA Deep Learning NCCL Documentation,,payload/html/nvidia-nccl-release-notes_2-7-6__captured-20260821.html,text/html,15050,69bf968a15c292c1527c9ad1bbc9c0451e197d0aa23386de78464822926aec93,headers/R1GA100-WEB-022.headers.txt,raw_html_body_with_redirect_headers,captured_success,Versioned archive endpoint for NCCL 2.7.6.
R1GA100-WEB-023,NVIDIA cuDNN Release Notes,8.x history in cuDNN 8.6.0 archive,selected_candidate,A100 support start and early TF32 scope,https://docs.nvidia.com/deeplearning/cudnn/archives/cudnn-860/release-notes/rel_8.html,https://docs.nvidia.com/deeplearning/cudnn/archives/cudnn-860/release-notes/rel_8.html,200,text/html; charset=utf-8,2026-08-21,Release Notes :: NVIDIA cuDNN Documentation,,payload/html/nvidia-cudnn-release-notes_8-x-in-cudnn-8-6-0-archive__captured-20260821.html,text/html,814150,6b6e8d4fd9b4e413a73fcd00fbcb9dee238eb8505845e4a0290afcebe52196e6,headers/R1GA100-WEB-023.headers.txt,raw_html_body_with_redirect_headers,captured_success,Archive container is cuDNN 8.6.0 and carries the 8.0.x historical entry; do not relabel it as an 8.0.1 standalone document.
R1GA100-WEB-024,NVIDIA cuSPARSELt Guide,0.0.1,selected_candidate,CUDA 11.0 SM8.0 and structured-sparse MMA library support,https://docs.nvidia.com/cuda/archive/11.0/cusparselt/index.html,https://docs.nvidia.com/cuda/archive/11.0/cusparselt/index.html,200,text/html; charset=utf-8,2026-08-21,cuSPARSELt 0.0.1 documentation,,payload/html/nvidia-cusparselt-guide_0-0-1__captured-20260821.html,text/html,18954,33302a6fdf467a943afb4675f2f1ccd0cc5f18ce4fb900b693cf7a31e61a121e,headers/R1GA100-WEB-024.headers.txt,raw_html_body_with_redirect_headers,captured_success,Archive URL is CUDA 11.0 rather than a library version; title identifies cuSPARSELt 0.0.1.
R1GA100-WEB-025,NVIDIA TensorRT Release Notes,8.6.1 archive including 7.1.3 history,selected_candidate,TensorRT 7.1.3 preview qualifier and 8.6.1 compatibility,https://docs.nvidia.com/deeplearning/tensorrt/archives/tensorrt-861/release-notes/index.html,https://archive.docs.nvidia.com/tensorrt/tensorrt-861/release-notes/index.html,200,text/html; charset=utf-8,2026-08-21,Release Notes :: NVIDIA Deep Learning TensorRT Documentation,,payload/html/nvidia-tensorrt-release-notes_8-6-1__captured-20260821.html,text/html,1575438,c7c96f5cc03d225e2d8aaee66732bc86dde2b702f882299d7b7ed1cf2fab53cd,headers/R1GA100-WEB-025.headers.txt,raw_html_body_with_redirect_headers,captured_success,Requested archive URL redirects to archive.docs.nvidia.com; raw body is from final URL and retains 8.6.1 archive context plus 7.1.3 history.
R1GA100-WEB-026,NVIDIA TensorRT Support Matrix,8.6.1,selected_candidate,CC8.0 A100 GA100 hardware-and-precision reachability,https://docs.nvidia.com/deeplearning/tensorrt/archives/tensorrt-861/support-matrix/index.html,https://archive.docs.nvidia.com/tensorrt/tensorrt-861/support-matrix/index.html,200,text/html; charset=utf-8,2026-08-21,Support Matrix :: NVIDIA Deep Learning TensorRT Documentation,,payload/html/nvidia-tensorrt-support-matrix_8-6-1__captured-20260821.html,text/html,96314,9619ed6679d097280786e360a4ac41d2c51508d0af80ee81015dc1ad8d950f6b,headers/R1GA100-WEB-026.headers.txt,raw_html_body_with_redirect_headers,captured_success,Requested archive URL redirects to archive.docs.nvidia.com; main matrix endpoint is captured.
R1GA100-WEB-027,NVIDIA TensorRT Developer Guide,8.6.1,selected_candidate,Dynamic-shape and INT8 calibration Q-DQ operational contract,https://docs.nvidia.com/deeplearning/tensorrt/archives/tensorrt-861/developer-guide/index.html,https://archive.docs.nvidia.com/tensorrt/tensorrt-861/developer-guide/index.html,200,text/html; charset=utf-8,2026-08-21,Developer Guide :: NVIDIA Deep Learning TensorRT Documentation,,payload/html/nvidia-tensorrt-developer-guide_8-6-1__captured-20260821.html,text/html,1137429,bf57aacaa3a38990992d05f483f03cb82934b72393c5b11ee7cfce174a3276a5,headers/R1GA100-WEB-027.headers.txt,raw_html_body_with_redirect_headers,captured_success,Requested archive URL redirects to archive.docs.nvidia.com; captured endpoint is the main Developer Guide page.
R1GA100-REJECT-001,NVIDIA DGX A100 launch,2020-05-14,rejected_candidate,DGX system price search lead,https://nvidianews.nvidia.com/news/nvidia-ships-worlds-most-advanced-ai-system-nvidia-dgx-a100-to-fight-covid-19-third-generation-dgx-packs-record-5-petaflops-of-ai-performance,,,,2026-08-21,Not captured; r23 classifies the 199000 USD figure as DGX system price,,,,,,,not_captured,rejected_no_payload,Rejected because system price cannot support GA100 die price; retry is intentionally not requested.
R1GA100-REJECT-002,NVIDIA Developer Forum,2023,rejected_candidate,A100 hardware EOL search lead,https://forums.developer.nvidia.com/t/a100-80g-end-of-life/243636,,,,2026-08-21,Not captured; r23 classifies forum reply as nonformal EOL lead,,,,,,,not_captured,rejected_no_payload,Rejected because the forum is not a formal lifecycle endpoint; retry is intentionally not requested.
