"capability_id","owner_object_id","component_id","capability_type","canonical_label","review_status","notes"
"CAP-AWS-TRN2-SCALAR-NONLINEAR","OBJ-AWS-TRAINIUM2-ARCH","CMP-AWS-TRN2-SCALAR","other","Scalar Engine nonlinear functions","draft","GELU、sqrt 等一般路径"
"CAP-AWS-TRN2-GPSIMD-CUSTOM","OBJ-AWS-TRAINIUM2-ARCH","CMP-AWS-TRN2-GPSIMD","other","GPSIMD C/C++ custom operators","draft","可编程通用 SIMD 路径"
"CAP-AWS-TRN2-DGE-DESCRIPTOR","OBJ-AWS-TRAINIUM2-ARCH","CMP-AWS-TRN2-DGE","attention_data_move","Hardware DMA descriptor generation","draft","只服务 copy/transpose 描述符"
"CAP-AWS-TRN2-COLLECTIVE-HW","OBJ-AWS-TRAINIUM2-ARCH","CMP-AWS-TRN2-CC-CORE","collective_offload","CC-Core and NeuronLink collective communication","needs_resolution","物理模块数量存在冲突"
"CAP-AWS-TRN2-COLLECTIVE-NKI","OBJ-AWS-TRAINIUM2-ARCH","","all_to_all","NKI collective APIs","draft","API 覆盖 all-reduce、all-gather、reduce-scatter、all-to-all、all-to-all-v、permute"
"CAP-AWS-TRN2-TOPK-NKI","OBJ-AWS-TRAINIUM2-ARCH","","top_k","Experimental RMSNorm Router Top-K NKI kernel","draft","软件库内核，不表示专用物理模块"
"CAP-AWS-TRN2-MOE-NKI","OBJ-AWS-TRAINIUM2-ARCH","","moe_route","Experimental MoE NKI library kernels","draft","软件实现，未找到专用 MoE routing 硬件"
"CAP-AWS-TRN2-DMA-COMPRESS","OBJ-AWS-TRAINIUM2-ARCH","CMP-AWS-TRN2-MAIN-DMA","compression","Main DMA inline compression","draft","主 DMA 内联能力"
"CAP-AWS-TRN2-DMA-DECOMPRESS","OBJ-AWS-TRAINIUM2-ARCH","CMP-AWS-TRN2-MAIN-DMA","decompression","Main DMA inline decompression","draft","主 DMA 内联能力"
"CAP-AWS-TRN2-SORT-HW","OBJ-AWS-TRAINIUM2-ARCH","","sort","Trainium2 dedicated sort hardware query","draft","本轮未找到专用物理模块"
"CAP-AWS-TRN2-SAMPLING-HW","OBJ-AWS-TRAINIUM2-ARCH","","sampling","Trainium2 dedicated sampling hardware query","draft","本轮未找到专用物理模块"
"CAP-CAMBRICON-MLU590-TOPK","OBJ-CAMBRICON-MLU590-ARCH","","top_k","MLU590 Top-K implementation query","draft","Research target only. CNNL evidence is inaccessible and no dedicated hardware mechanism is accepted."
"CAP-CAMBRICON-MLU590-MOE-ROUTING","OBJ-CAMBRICON-MLU590-ARCH","","moe_route","MLU590 dedicated MoE routing query","draft","Research target only. No dedicated module, instruction or network offload evidence was found."
"CAP-CAMBRICON-MLU590-ATTENTION","OBJ-CAMBRICON-MLU590-ARCH","","other","MLU590 dedicated Attention hardware query","draft","Research target only. No MLU590-specific dedicated Attention hardware evidence was found."
"CAP-GROQ-LPU1-MOE-ROUTE","OBJ-GROQ-LPU1-ARCH","","moe_route","第一代 LPU 专用 MoE routing","needs_resolution","未在计划检索的一手资料中找到"
"CAP-GROQ-LPU1-TOPK","OBJ-GROQ-LPU1-ARCH","","top_k","第一代 LPU 专用 Top-K","needs_resolution","未在计划检索的一手资料中找到"
"CAP-NVG3-MOE-ROUTE","OBJ-NVIDIA-GROQ3-ARCH","","moe_route","Groq 3 专用 MoE routing","needs_resolution","系统把 MoE expert 计算分配给 LPX 不等于芯片有 routing 模块"
"CAP-NVG3-TOPK","OBJ-NVIDIA-GROQ3-ARCH","","top_k","Groq 3 专用 Top-K","needs_resolution","未找到专用模块证据"
"CAP-HUAWEI-DV-MTE-DECOMP","OBJ-HUAWEI-DA-VINCI-INITIAL-ARCH","CMP-HUAWEI-DV-MTE","decompression","MTE zero decompression","draft","原始论文明确列出"
"CAP-HUAWEI-DV-MTE-RESHAPE","OBJ-HUAWEI-DA-VINCI-INITIAL-ARCH","CMP-HUAWEI-DV-MTE","other","MTE img2col/transpose","draft","原始论文明确列出"
"CAP-HUAWEI-DV-MOE-ROUTE","OBJ-HUAWEI-DA-VINCI-INITIAL-ARCH","","moe_route","Da Vinci 初代专用 MoE routing","needs_resolution","原始论文未找到"
"CAP-HUAWEI-DV-TOPK","OBJ-HUAWEI-DA-VINCI-INITIAL-ARCH","","top_k","Da Vinci 初代专用 Top-K","needs_resolution","原始论文未找到"
"CAP-CAMBRICON-MLUARCH05-MOE-ROUTE","OBJ-CAMBRICON-MLU590-ARCH","","moe_route","MLUarch05 专用 MoE routing","needs_resolution","可访问证据未找到；CNToolkit 正文受限"
"CAP-CAMBRICON-MLUARCH05-TOPK","OBJ-CAMBRICON-MLU590-ARCH","","top_k","MLUarch05 专用 Top-K","needs_resolution","可访问证据未找到；CNToolkit 正文受限"
"CAP-M2GA-GV3-SPARSE","OBJ-GOOGLE-TPU-V3-ARCH","CMP-M2GA-GV3-SPARSE","sparse_skip","SparseCore sparse/embedding acceleration","draft",""
"CAP-M2GA-GV4-SPARSE","OBJ-GOOGLE-TPU-V4-ARCH","CMP-M2GA-GV4-SPARSE","sparse_skip","SparseCore sparse/embedding acceleration","draft",""
"CAP-M2GA-GV5P-SPARSE","OBJ-GOOGLE-TPU-V5P-ARCH","CMP-M2GA-GV5P-SPARSE","sparse_skip","SparseCore sparse/embedding acceleration","draft",""
"CAP-M2GA-GV6E-SPARSE","OBJ-GOOGLE-TPU-V6E-ARCH","CMP-M2GA-GV6E-SPARSE","sparse_skip","SparseCore sparse/embedding acceleration","draft",""
"CAP-M2GA-G7X-SPARSE","OBJ-GOOGLE-TPU7X-ARCH","CMP-M2GA-G7X-SPARSE","sparse_skip","SparseCore sparse/embedding acceleration","draft",""
"CAP-M2GA-G8T-SPARSE","OBJ-GOOGLE-TPU-8T-ARCH","CMP-M2GA-G8T-SPARSE","sparse_skip","SparseCore sparse/embedding acceleration","draft",""
"CAP-M2GA-G8T-LDE","OBJ-GOOGLE-TPU-8T-ARCH","CMP-M2GA-G8T-LDE","other","LLM Decoder Engine","draft",""
"CAP-M2GA-G8T-ALLGATHER","OBJ-GOOGLE-TPU-8T-ARCH","CMP-M2GA-G8T-SPARSE","collective_offload","Data-dependent all-gather offload","draft",""
"CAP-M2GA-G8T-TPUDIRECT","OBJ-GOOGLE-TPU-8T-ARCH","","other","TPUDirect RDMA and storage path","draft",""
"CAP-M2GA-G8I-CAE","OBJ-GOOGLE-TPU-8I-ARCH","CMP-M2GA-G8I-CAE","collective_offload","CAE collective/reduction offload","draft",""
"CAP-M2GA-ATRN1-COLLECTIVE","OBJ-AWS-TRAINIUM1-ARCH","CMP-M2GA-ATRN1-CC","collective_offload","Collective communication offload","draft",""
"CAP-M2GA-AIF2-COLLECTIVE","OBJ-AWS-INFERENTIA2-ARCH","CMP-M2GA-AIF2-CC","collective_offload","Collective communication offload","draft",""
"CAP-M2GA-ATRN3-COLLECTIVE","OBJ-AWS-TRAINIUM3-ARCH","CMP-M2GA-ATRN3-CC","collective_offload","Collective communication offload","draft",""
"CAP-M2GA-GV4-SORT","OBJ-GOOGLE-TPU-V4-ARCH","CMP-M2GA-GV4-SPARSE","sort","SparseCore cross-lane sort/filter/prefix operations","draft",""
"CAP-M2GA-GV5P-SORT","OBJ-GOOGLE-TPU-V5P-ARCH","CMP-M2GA-GV5P-SPARSE","sort","SparseCore cross-lane sort/filter/prefix operations","draft",""
"CAP-M2GA-GV6E-SORT","OBJ-GOOGLE-TPU-V6E-ARCH","CMP-M2GA-GV6E-SPARSE","sort","SparseCore cross-lane sort/filter/prefix operations","draft",""
"CAP-M2GA-ATRN1-COMPRESS","OBJ-AWS-TRAINIUM1-ARCH","CMP-M2GA-ATRN1-DMA","compression","Inline DMA compression","draft",""
"CAP-M2GA-ATRN1-DECOMPRESS","OBJ-AWS-TRAINIUM1-ARCH","CMP-M2GA-ATRN1-DMA","decompression","Inline DMA decompression","draft",""
"CAP-M2GA-AIF2-COMPRESS","OBJ-AWS-INFERENTIA2-ARCH","CMP-M2GA-AIF2-DMA","compression","Inline DMA compression","draft",""
"CAP-M2GA-AIF2-DECOMPRESS","OBJ-AWS-INFERENTIA2-ARCH","CMP-M2GA-AIF2-DMA","decompression","Inline DMA decompression","draft",""
"CAP-M2GA-ATRN3-SPARSE","OBJ-AWS-TRAINIUM3-ARCH","CMP-M2GA-ATRN3-TENSOR","sparse_skip","NCv4 structured sparsity","draft",""
"CAP-M2GA-ATRN3-NEARMEM","OBJ-AWS-TRAINIUM3-ARCH","CMP-M2GA-ATRN3-DMA","other","SBUF read-add-write accumulation","draft",""
"CAP-M2GA-ATRN3-BGTRANSPOSE","OBJ-AWS-TRAINIUM3-ARCH","CMP-M2GA-ATRN3-TENSOR","other","Background transpose","draft",""
"CAP-M2GA-ATRN3-INDIRECT","OBJ-AWS-TRAINIUM3-ARCH","","other","Indirect SBUF/PSUM gather-scatter","draft",""
"CAP-M2NA-AMPERE-SPARSE","OBJ-NVIDIA-AMPERE-ARCH","COMP-M2NA-AMPERE-TENSOR","sparse_skip","Ampere 2:4 structured sparsity acceleration","draft","Tensor Core hardware skips structurally defined zero operands."
"CAP-M2NA-AMPERE-ASYNC","OBJ-NVIDIA-AMPERE-ARCH","COMP-M2NA-AMPERE-ASYNC-COPY","other","Ampere asynchronous copy and barrier","draft","General data movement and synchronization capability."
"CAP-M2NA-AMPERE-MOE","OBJ-NVIDIA-AMPERE-ARCH","","moe_route","Dedicated Ampere MoE routing","draft","Implementation evidence status is tracked through the capability field requirement and its search record."
"CAP-M2NA-AMPERE-TOPK","OBJ-NVIDIA-AMPERE-ARCH","","top_k","Dedicated Ampere top-k","draft","Implementation evidence status is tracked through the capability field requirement and its search record."
"CAP-M2NA-ADA-SPARSE","OBJ-NVIDIA-ADA-LOVELACE-ARCH","COMP-M2NA-ADA-TENSOR","sparse_skip","Ada Tensor Core structured sparsity acceleration","draft","Architecture whitepaper retains Tensor Core sparsity support."
"CAP-M2NA-ADA-MOE","OBJ-NVIDIA-ADA-LOVELACE-ARCH","","moe_route","Dedicated Ada MoE routing","draft","Implementation evidence status is tracked through the capability field requirement and its search record."
"CAP-M2NA-ADA-TOPK","OBJ-NVIDIA-ADA-LOVELACE-ARCH","","top_k","Dedicated Ada top-k","draft","Implementation evidence status is tracked through the capability field requirement and its search record."
"CAP-M2NA-BLACKWELL-TE","OBJ-NVIDIA-BLACKWELL-ARCH","COMP-M2NA-BLACKWELL-TENSOR","quantize","Blackwell second-generation Transformer Engine","draft","Hardware and software mechanism for micro-tensor scaling and low-precision selection."
"CAP-M2NA-BLACKWELL-SPARSE","OBJ-NVIDIA-BLACKWELL-ARCH","COMP-M2NA-BLACKWELL-TENSOR","sparse_skip","Blackwell tcgen05 structured-sparse MMA","draft","Dedicated instruction path exposed through PTX."
"CAP-M2NA-BLACKWELL-TMA","OBJ-NVIDIA-BLACKWELL-ARCH","COMP-M2NA-BLACKWELL-TMA","attention_data_move","Blackwell descriptor-driven tensor data movement","draft","General tensor mover used by tiled and attention kernels."
"CAP-M2NA-BLACKWELL-MOE","OBJ-NVIDIA-BLACKWELL-ARCH","","moe_route","Dedicated Blackwell MoE routing","draft","Implementation evidence status is tracked through the capability field requirement and its search record."
"CAP-M2NA-BLACKWELL-TOPK","OBJ-NVIDIA-BLACKWELL-ARCH","","top_k","Dedicated Blackwell top-k","draft","Implementation evidence status is tracked through the capability field requirement and its search record."
"CAP-M2NA-BLACKWELL-ULTRA-SOFTMAX","OBJ-NVIDIA-BLACKWELL-ULTRA-ARCH","COMP-M2NA-BLACKWELL-ULTRA-SFU","softmax","Blackwell Ultra softmax exponential acceleration","draft","MUFU.EX2 is a general SFU instruction path used to accelerate the exponential stage of softmax."
"CAP-M2NA-BLACKWELL-ULTRA-MOE","OBJ-NVIDIA-BLACKWELL-ULTRA-ARCH","","moe_route","Dedicated Blackwell Ultra MoE routing","draft","Implementation evidence status is tracked through the capability field requirement and its search record."
"CAP-M2NA-BLACKWELL-ULTRA-TOPK","OBJ-NVIDIA-BLACKWELL-ULTRA-ARCH","","top_k","Dedicated Blackwell Ultra top-k","draft","Implementation evidence status is tracked through the capability field requirement and its search record."
"CAP-M2NA-RUBIN-TMA","OBJ-NVIDIA-RUBIN-ARCH","COMP-M2NA-RUBIN-TMA","attention_data_move","Rubin enhanced tensor metadata and data movement","draft","Inline pointer and stride updates reduce descriptor overhead for irregular tensor movement, including MoE workloads."
"CAP-M2NA-RUBIN-SPARSE","OBJ-NVIDIA-RUBIN-ARCH","COMP-M2NA-RUBIN-TENSOR","sparse_skip","Rubin activation-sparse matrix acceleration","draft","Observation-level sparse matrix capability."
"CAP-M2NA-RUBIN-COMPRESS","OBJ-NVIDIA-RUBIN-ARCH","COMP-M2NA-RUBIN-COMPRESS","compression","Rubin activation sparse compression","draft","Physical block boundary and absolute throughput are pending."
"CAP-M2NA-RUBIN-MOE","OBJ-NVIDIA-RUBIN-ARCH","","moe_route","Dedicated Rubin MoE routing","draft","Implementation evidence status is tracked through the capability field requirement and its search record."
"CAP-M2NA-RUBIN-TOPK","OBJ-NVIDIA-RUBIN-ARCH","","top_k","Dedicated Rubin top-k","draft","Implementation evidence status is tracked through the capability field requirement and its search record."
"CAP-M2NA-CDNA2-MOE","OBJ-AMD-CDNA2-ARCH","","moe_route","Dedicated CDNA 2 MoE routing","draft","Implementation evidence status is tracked through the capability field requirement and its search record."
"CAP-M2NA-CDNA2-TOPK","OBJ-AMD-CDNA2-ARCH","","top_k","Dedicated CDNA 2 top-k","draft","Implementation evidence status is tracked through the capability field requirement and its search record."
"CAP-M2NA-CDNA3-SPARSE","OBJ-AMD-CDNA3-ARCH","COMP-M2NA-CDNA3-MATRIX","sparse_skip","CDNA 3 4:2 structured-sparse matrix acceleration","draft","Supported formats use a sparse operand with two zero elements per group of four."
"CAP-M2NA-CDNA3-MOE","OBJ-AMD-CDNA3-ARCH","","moe_route","Dedicated CDNA 3 MoE routing","draft","Implementation evidence status is tracked through the capability field requirement and its search record."
"CAP-M2NA-CDNA3-TOPK","OBJ-AMD-CDNA3-ARCH","","top_k","Dedicated CDNA 3 top-k","draft","Implementation evidence status is tracked through the capability field requirement and its search record."
"CAP-M2NA-CDNA4-SPARSE","OBJ-AMD-CDNA4-ARCH","COMP-M2NA-CDNA4-MATRIX","sparse_skip","CDNA 4 structured-sparse matrix acceleration","draft","Hardware instruction forms support selected INT8, OCP-FP8, FP16 and BF16 sparsity."
"CAP-M2NA-CDNA4-SOFTMAX","OBJ-AMD-CDNA4-ARCH","COMP-M2NA-CDNA4-TRANS","softmax","CDNA 4 transcendental support for softmax","draft","General transcendental path with twice the prior-generation rate, cited for softmax and attention."
"CAP-M2NA-CDNA4-CONVERT","OBJ-AMD-CDNA4-ARCH","COMP-M2NA-CDNA4-CONVERT","quantize","CDNA 4 low-precision data conversion instructions","draft","Dedicated instructions support format conversion. No separate physical converter is claimed."
"CAP-M2NA-CDNA4-MOE","OBJ-AMD-CDNA4-ARCH","","moe_route","Dedicated CDNA 4 MoE routing","draft","Implementation evidence status is tracked through the capability field requirement and its search record."
"CAP-M2NA-CDNA4-TOPK","OBJ-AMD-CDNA4-ARCH","","top_k","Dedicated CDNA 4 top-k","draft","Implementation evidence status is tracked through the capability field requirement and its search record."
"CAP-M2NA-CDNA5-SPARSE","OBJ-AMD-CDNA5-ARCH","COMP-M2NA-CDNA5-MATRIX","sparse_skip","CDNA 5 2:4 sparse SWMMAC","draft","Dedicated sparse matrix instructions with stored indexes."
"CAP-M2NA-CDNA5-SOFTMAX","OBJ-AMD-CDNA5-ARCH","COMP-M2NA-CDNA5-TRANS","softmax","CDNA 5 transcendental support for softmax","draft","General transcendental path with tanh and twice the existing-instruction throughput, cited for activation and softmax."
"CAP-M2NA-CDNA5-TDM","OBJ-AMD-CDNA5-ARCH","COMP-M2NA-CDNA5-TDM","attention_data_move","CDNA 5 Tensor Data Mover","draft","General asynchronous tensor movement that can serve attention and other tiled kernels."
"CAP-M2NA-CDNA5-MOE","OBJ-AMD-CDNA5-ARCH","","moe_route","Dedicated CDNA 5 MoE routing","draft","Implementation evidence status is tracked through the capability field requirement and its search record."
"CAP-M2NA-CDNA5-TOPK","OBJ-AMD-CDNA5-ARCH","","top_k","Dedicated CDNA 5 top-k","draft","Implementation evidence status is tracked through the capability field requirement and its search record."
"CAP-M2NA-CDNA6-MOE","OBJ-AMD-CDNA6-ARCH","","moe_route","Dedicated CDNA 6 MoE routing","draft","Implementation evidence status is tracked through the capability field requirement and its search record."
"CAP-M2NA-CDNA6-TOPK","OBJ-AMD-CDNA6-ARCH","","top_k","Dedicated CDNA 6 top-k","draft","Implementation evidence status is tracked through the capability field requirement and its search record."
