"requirement_evidence_id","requirement_id","source_id","evidence_relation","source_locator","quoted_context","reviewer","review_date","review_status","notes"
"REVID-CAMBRICON-MLU590-RELEASE-DATE","REQ-CAMBRICON-MLU590-RELEASE-DATE","SRC-2022-CAMBRICON-WAIC-MLU590","supports_pending","Page dated 2022-09-02; paragraph beginning 在演讲的最后","在研","mlu590_remediation","2026-08-12","draft","The page is an in-development disclosure, not an explicit release notice."
"REVID-CAMBRICON-MLU590-AVAILABILITY-DATE","REQ-CAMBRICON-MLU590-AVAILABILITY-DATE","SRC-2022-CAMBRICON-WAIC-MLU590","supports_pending","Page dated 2022-09-02; paragraph beginning 在演讲的最后","在研","mlu590_remediation","2026-08-12","draft","The page does not establish GA, first shipment or ordering availability."
"REVID-CAMBRICON-MLU590-ARCH-RELATION","REQ-CAMBRICON-MLU590-ARCH-RELATION","SRC-2022-CAMBRICON-WAIC-MLU590","other","Page dated 2022-09-02; paragraph beginning 据介绍","思元590采用MLUarch05全新架构","mlu590_remediation","2026-08-12","draft","The formal object relation is the value; no duplicate relation text fact is created."
"REQE-GROQ-LPU1-TOPOLOGY-INACCESSIBLE","REQ-GROQ-LPU1-TOPOLOGY","SRC-GROQ-TSP-ISCA2022","supports_inaccessible","ACM DOI landing https://dl.acm.org/doi/10.1145/3470496.3527405 and Groq mirror URL recorded in source-endpoints.csv","ACM DOI returned HTTP 403; Groq official regional PDF mirror returned remote HTTP 522.","M2-GHC-ARCH","2026-08-12","draft","远端服务限制；端点已拆为单 URL、单整数状态记录"
"REQE-NVG3-TOPOLOGY-PENDING","REQ-NVG3-TOPOLOGY-CLASS","SRC-NVG3-C2C-BLOG-2026-05-14","supports_pending","Section High-radix point-to-point links","The source uses high-radix point-to-point, which is not a lossless match to one current topology enum.","M2-GHC-ARCH","2026-08-12","draft","保留原词，不强行映射"
"REQE-CAMBRICON-BANG-MAPPING-INACCESSIBLE","REQ-CAMBRICON-MLUARCH05-BANG-MAPPING","SRC-CAMBRICON-CNTOOLKIT-3-8-4-COMPONENTS","supports_inaccessible","CNToolkit 3.8.4 Components URL","Direct access was verified as HTTP 401 Unauthorized; indexed snippets are not used as fact evidence.","M2-GHC-ARCH","2026-08-12","draft","不建立 conflicting_unresolved；只是正文不可访问且等价关系未证实"
"REVID-M2NA-0001","REQ-M2NA-GAP-0001","SRC-M2NA-NVIDIA-AMPERE-WP-2020","supports_not_applicable","Architecture/implementation boundary in the selected first-party source","","m2_arch_nvidia_amd","2026-08-12","draft","Do not promote product aggregate TOPS/TFLOPS into the architecture object."
"REVID-M2NA-0002","REQ-M2NA-GAP-0002","SRC-M2NA-NVIDIA-AMPERE-WP-2020","supports_not_applicable","Architecture/implementation boundary in the selected first-party source","","m2_arch_nvidia_amd","2026-08-12","draft","Physical implementation values remain in later object packages or the implementation backlog."
"REVID-M2NA-0003","REQ-M2NA-GAP-0003","SRC-M2NA-NVIDIA-AMPERE-WP-2020","supports_not_applicable","Architecture/implementation boundary in the selected first-party source","","m2_arch_nvidia_amd","2026-08-12","draft","Physical implementation values remain in later object packages or the implementation backlog."
"REVID-M2NA-0004","REQ-M2NA-GAP-0004","SRC-M2NA-NVIDIA-AMPERE-WP-2020","supports_not_applicable","Architecture/implementation boundary in the selected first-party source","","m2_arch_nvidia_amd","2026-08-12","draft","Physical implementation values remain in later object packages or the implementation backlog."
"REVID-M2NA-0005","REQ-M2NA-GAP-0007","SRC-M2NA-NVIDIA-ADA-WP-2022","supports_not_applicable","Architecture/implementation boundary in the selected first-party source","","m2_arch_nvidia_amd","2026-08-12","draft","Do not promote product aggregate TOPS/TFLOPS into the architecture object."
"REVID-M2NA-0006","REQ-M2NA-GAP-0008","SRC-M2NA-NVIDIA-ADA-WP-2022","supports_not_applicable","Architecture/implementation boundary in the selected first-party source","","m2_arch_nvidia_amd","2026-08-12","draft","Physical implementation values remain in later object packages or the implementation backlog."
"REVID-M2NA-0007","REQ-M2NA-GAP-0009","SRC-M2NA-NVIDIA-ADA-WP-2022","supports_not_applicable","Architecture/implementation boundary in the selected first-party source","","m2_arch_nvidia_amd","2026-08-12","draft","Physical implementation values remain in later object packages or the implementation backlog."
"REVID-M2NA-0008","REQ-M2NA-GAP-0010","SRC-M2NA-NVIDIA-ADA-WP-2022","supports_not_applicable","Architecture/implementation boundary in the selected first-party source","","m2_arch_nvidia_amd","2026-08-12","draft","Physical implementation values remain in later object packages or the implementation backlog."
"REVID-M2NA-0009","REQ-M2NA-GAP-0013","SRC-M2NA-NVIDIA-BLACKWELL-BRIEF-V2-1","supports_not_applicable","Architecture/implementation boundary in the selected first-party source","","m2_arch_nvidia_amd","2026-08-12","draft","Do not promote product aggregate TOPS/TFLOPS into the architecture object."
"REVID-M2NA-0010","REQ-M2NA-GAP-0014","SRC-M2NA-NVIDIA-BLACKWELL-BRIEF-V2-1","supports_not_applicable","Architecture/implementation boundary in the selected first-party source","","m2_arch_nvidia_amd","2026-08-12","draft","Physical implementation values remain in later object packages or the implementation backlog."
"REVID-M2NA-0011","REQ-M2NA-GAP-0015","SRC-M2NA-NVIDIA-BLACKWELL-BRIEF-V2-1","supports_not_applicable","Architecture/implementation boundary in the selected first-party source","","m2_arch_nvidia_amd","2026-08-12","draft","Physical implementation values remain in later object packages or the implementation backlog."
"REVID-M2NA-0012","REQ-M2NA-GAP-0016","SRC-M2NA-NVIDIA-BLACKWELL-BRIEF-V2-1","supports_not_applicable","Architecture/implementation boundary in the selected first-party source","","m2_arch_nvidia_amd","2026-08-12","draft","Physical implementation values remain in later object packages or the implementation backlog."
"REVID-M2NA-0013","REQ-M2NA-GAP-0019","SRC-M2NA-NVIDIA-BLACKWELL-BRIEF-V2-1","supports_not_applicable","Architecture/implementation boundary in the selected first-party source","","m2_arch_nvidia_amd","2026-08-12","draft","Do not promote product aggregate TOPS/TFLOPS into the architecture object."
"REVID-M2NA-0014","REQ-M2NA-GAP-0020","SRC-M2NA-NVIDIA-BLACKWELL-BRIEF-V2-1","supports_not_applicable","Architecture/implementation boundary in the selected first-party source","","m2_arch_nvidia_amd","2026-08-12","draft","Physical implementation values remain in later object packages or the implementation backlog."
"REVID-M2NA-0015","REQ-M2NA-GAP-0021","SRC-M2NA-NVIDIA-BLACKWELL-BRIEF-V2-1","supports_not_applicable","Architecture/implementation boundary in the selected first-party source","","m2_arch_nvidia_amd","2026-08-12","draft","Physical implementation values remain in later object packages or the implementation backlog."
"REVID-M2NA-0016","REQ-M2NA-GAP-0022","SRC-M2NA-NVIDIA-BLACKWELL-BRIEF-V2-1","supports_not_applicable","Architecture/implementation boundary in the selected first-party source","","m2_arch_nvidia_amd","2026-08-12","draft","Physical implementation values remain in later object packages or the implementation backlog."
"REVID-M2NA-0017","REQ-M2NA-GAP-0025","SRC-M2NA-NVIDIA-RUBIN-BLOG-20260721","supports_not_applicable","Architecture/implementation boundary in the selected first-party source","","m2_arch_nvidia_amd","2026-08-12","draft","Do not promote product aggregate TOPS/TFLOPS into the architecture object."
"REVID-M2NA-0018","REQ-M2NA-GAP-0026","SRC-M2NA-NVIDIA-RUBIN-BLOG-20260721","supports_not_applicable","Architecture/implementation boundary in the selected first-party source","","m2_arch_nvidia_amd","2026-08-12","draft","Physical implementation values remain in later object packages or the implementation backlog."
"REVID-M2NA-0019","REQ-M2NA-GAP-0027","SRC-M2NA-NVIDIA-RUBIN-BLOG-20260721","supports_not_applicable","Architecture/implementation boundary in the selected first-party source","","m2_arch_nvidia_amd","2026-08-12","draft","Physical implementation values remain in later object packages or the implementation backlog."
"REVID-M2NA-0020","REQ-M2NA-GAP-0028","SRC-M2NA-NVIDIA-RUBIN-BLOG-20260721","supports_not_applicable","Architecture/implementation boundary in the selected first-party source","","m2_arch_nvidia_amd","2026-08-12","draft","Physical implementation values remain in later object packages or the implementation backlog."
"REVID-M2NA-0021","REQ-M2NA-GAP-0031","SRC-M2NA-AMD-CDNA2-WP","supports_not_applicable","Architecture/implementation boundary in the selected first-party source","","m2_arch_nvidia_amd","2026-08-12","draft","Do not promote product aggregate TOPS/TFLOPS into the architecture object."
"REVID-M2NA-0022","REQ-M2NA-GAP-0032","SRC-M2NA-AMD-CDNA2-WP","supports_not_applicable","Architecture/implementation boundary in the selected first-party source","","m2_arch_nvidia_amd","2026-08-12","draft","Physical implementation values remain in later object packages or the implementation backlog."
"REVID-M2NA-0023","REQ-M2NA-GAP-0033","SRC-M2NA-AMD-CDNA2-WP","supports_not_applicable","Architecture/implementation boundary in the selected first-party source","","m2_arch_nvidia_amd","2026-08-12","draft","Physical implementation values remain in later object packages or the implementation backlog."
"REVID-M2NA-0024","REQ-M2NA-GAP-0034","SRC-M2NA-AMD-CDNA2-WP","supports_not_applicable","Architecture/implementation boundary in the selected first-party source","","m2_arch_nvidia_amd","2026-08-12","draft","Physical implementation values remain in later object packages or the implementation backlog."
"REVID-M2NA-0025","REQ-M2NA-GAP-0037","SRC-M2NA-AMD-CDNA3-WP","supports_not_applicable","Architecture/implementation boundary in the selected first-party source","","m2_arch_nvidia_amd","2026-08-12","draft","Do not promote product aggregate TOPS/TFLOPS into the architecture object."
"REVID-M2NA-0026","REQ-M2NA-GAP-0038","SRC-M2NA-AMD-CDNA3-WP","supports_not_applicable","Architecture/implementation boundary in the selected first-party source","","m2_arch_nvidia_amd","2026-08-12","draft","Physical implementation values remain in later object packages or the implementation backlog."
"REVID-M2NA-0027","REQ-M2NA-GAP-0039","SRC-M2NA-AMD-CDNA3-WP","supports_not_applicable","Architecture/implementation boundary in the selected first-party source","","m2_arch_nvidia_amd","2026-08-12","draft","Physical implementation values remain in later object packages or the implementation backlog."
"REVID-M2NA-0028","REQ-M2NA-GAP-0040","SRC-M2NA-AMD-CDNA3-WP","supports_not_applicable","Architecture/implementation boundary in the selected first-party source","","m2_arch_nvidia_amd","2026-08-12","draft","Physical implementation values remain in later object packages or the implementation backlog."
"REVID-M2NA-0029","REQ-M2NA-GAP-0043","SRC-M2NA-AMD-CDNA4-WP","supports_not_applicable","Architecture/implementation boundary in the selected first-party source","","m2_arch_nvidia_amd","2026-08-12","draft","Do not promote product aggregate TOPS/TFLOPS into the architecture object."
"REVID-M2NA-0030","REQ-M2NA-GAP-0044","SRC-M2NA-AMD-CDNA4-WP","supports_not_applicable","Architecture/implementation boundary in the selected first-party source","","m2_arch_nvidia_amd","2026-08-12","draft","Physical implementation values remain in later object packages or the implementation backlog."
"REVID-M2NA-0031","REQ-M2NA-GAP-0045","SRC-M2NA-AMD-CDNA4-WP","supports_not_applicable","Architecture/implementation boundary in the selected first-party source","","m2_arch_nvidia_amd","2026-08-12","draft","Physical implementation values remain in later object packages or the implementation backlog."
"REVID-M2NA-0032","REQ-M2NA-GAP-0046","SRC-M2NA-AMD-CDNA4-WP","supports_not_applicable","Architecture/implementation boundary in the selected first-party source","","m2_arch_nvidia_amd","2026-08-12","draft","Physical implementation values remain in later object packages or the implementation backlog."
"REVID-M2NA-0033","REQ-M2NA-GAP-0047","SRC-M2NA-AMD-CDNA5-WP","supports_not_applicable","Architecture/implementation boundary in the selected first-party source","","m2_arch_nvidia_amd","2026-08-12","draft","Do not promote product aggregate TOPS/TFLOPS into the architecture object."
"REVID-M2NA-0034","REQ-M2NA-GAP-0048","SRC-M2NA-AMD-CDNA5-WP","supports_not_applicable","Architecture/implementation boundary in the selected first-party source","","m2_arch_nvidia_amd","2026-08-12","draft","Physical implementation values remain in later object packages or the implementation backlog."
"REVID-M2NA-0035","REQ-M2NA-GAP-0049","SRC-M2NA-AMD-CDNA5-WP","supports_not_applicable","Architecture/implementation boundary in the selected first-party source","","m2_arch_nvidia_amd","2026-08-12","draft","Physical implementation values remain in later object packages or the implementation backlog."
"REVID-M2NA-0036","REQ-M2NA-GAP-0050","SRC-M2NA-AMD-CDNA5-WP","supports_not_applicable","Architecture/implementation boundary in the selected first-party source","","m2_arch_nvidia_amd","2026-08-12","draft","Physical implementation values remain in later object packages or the implementation backlog."
"REVID-M2NA-0037","REQ-M2NA-GAP-0053","SRC-M2NA-AMD-CES2026-RELEASE","supports_not_applicable","Architecture/implementation boundary in the selected first-party source","","m2_arch_nvidia_amd","2026-08-12","draft","Do not promote product aggregate TOPS/TFLOPS into the architecture object."
"REVID-M2NA-0038","REQ-M2NA-GAP-0054","SRC-M2NA-AMD-CES2026-RELEASE","supports_not_applicable","Architecture/implementation boundary in the selected first-party source","","m2_arch_nvidia_amd","2026-08-12","draft","Physical implementation values remain in later object packages or the implementation backlog."
"REVID-M2NA-0039","REQ-M2NA-GAP-0055","SRC-M2NA-AMD-CES2026-RELEASE","supports_not_applicable","Architecture/implementation boundary in the selected first-party source","","m2_arch_nvidia_amd","2026-08-12","draft","Physical implementation values remain in later object packages or the implementation backlog."
"REVID-M2NA-0040","REQ-M2NA-GAP-0056","SRC-M2NA-AMD-CES2026-RELEASE","supports_not_applicable","Architecture/implementation boundary in the selected first-party source","","m2_arch_nvidia_amd","2026-08-12","draft","Physical implementation values remain in later object packages or the implementation backlog."
"REVID-M2NA-0041","REQ-M2NA-GAP-0064","SRC-M2NA-NVIDIA-AMPERE-WP-2020","supports_not_applicable","Architecture/implementation boundary in the selected first-party source","","m2_arch_nvidia_amd","2026-08-12","draft","Programmer-visible result format remains in the path facts where available."
"REVID-M2NA-0042","REQ-M2NA-GAP-0070","SRC-M2NA-NVIDIA-ADA-WP-2022","supports_not_applicable","Architecture/implementation boundary in the selected first-party source","","m2_arch_nvidia_amd","2026-08-12","draft","Programmer-visible result format remains in the path facts where available."
"REVID-M2NA-0043","REQ-M2NA-GAP-0077","SRC-M2NA-NVIDIA-BLACKWELL-BRIEF-V2-1","supports_not_applicable","Architecture/implementation boundary in the selected first-party source","","m2_arch_nvidia_amd","2026-08-12","draft","Programmer-visible result format remains in the path facts where available."
"REVID-M2NA-0044","REQ-M2NA-GAP-0078","SRC-M2NA-NVIDIA-BLACKWELL-BRIEF-V2-1","supports_not_applicable","Architecture/implementation boundary in the selected first-party source","","m2_arch_nvidia_amd","2026-08-12","draft","Programmer-visible result format remains in the path facts where available."
"REVID-M2NA-0045","REQ-M2NA-GAP-0081","SRC-M2NA-NVIDIA-RUBIN-BLOG-20260721","supports_not_applicable","Architecture/implementation boundary in the selected first-party source","","m2_arch_nvidia_amd","2026-08-12","draft","Programmer-visible result format remains in the path facts where available."
"REVID-M2NA-0046","REQ-M2NA-GAP-0151","SRC-M2NA-NVIDIA-AMPERE-WP-2020","supports_not_applicable","Architecture/implementation boundary in the selected first-party source","","m2_arch_nvidia_amd","2026-08-12","draft","Keep the protocol/mechanism definition; stage numeric implementation values separately."
"REVID-M2NA-0047","REQ-M2NA-GAP-0152","SRC-M2NA-NVIDIA-BLACKWELL-BRIEF-V2-1","supports_not_applicable","Architecture/implementation boundary in the selected first-party source","","m2_arch_nvidia_amd","2026-08-12","draft","Keep the protocol/mechanism definition; stage numeric implementation values separately."
"REVID-M2NA-0048","REQ-M2NA-GAP-0153","SRC-M2NA-NVIDIA-BLACKWELL-BRIEF-V2-1","supports_not_applicable","Architecture/implementation boundary in the selected first-party source","","m2_arch_nvidia_amd","2026-08-12","draft","Keep the protocol/mechanism definition; stage numeric implementation values separately."
"REVID-M2NA-0050","REQ-M2NA-GAP-0155","SRC-M2NA-NVIDIA-RUBIN-BLOG-20260721","supports_not_applicable","Architecture/implementation boundary in the selected first-party source","","m2_arch_nvidia_amd","2026-08-12","draft","Keep the protocol/mechanism definition; stage numeric implementation values separately."
"REVID-M2NA-0051","REQ-M2NA-GAP-0156","SRC-M2NA-AMD-CDNA2-WP","supports_not_applicable","Architecture/implementation boundary in the selected first-party source","","m2_arch_nvidia_amd","2026-08-12","draft","Keep the protocol/mechanism definition; stage numeric implementation values separately."
"REVID-M2NA-0052","REQ-M2NA-GAP-0157","SRC-M2NA-AMD-CDNA2-WP","supports_not_applicable","Architecture/implementation boundary in the selected first-party source","","m2_arch_nvidia_amd","2026-08-12","draft","Keep the protocol/mechanism definition; stage numeric implementation values separately."
"REVID-M2NA-0053","REQ-M2NA-GAP-0158","SRC-M2NA-AMD-CDNA3-WP","supports_not_applicable","Architecture/implementation boundary in the selected first-party source","","m2_arch_nvidia_amd","2026-08-12","draft","Keep the protocol/mechanism definition; stage numeric implementation values separately."
"REVID-M2NA-0054","REQ-M2NA-GAP-0159","SRC-M2NA-AMD-CDNA3-WP","supports_not_applicable","Architecture/implementation boundary in the selected first-party source","","m2_arch_nvidia_amd","2026-08-12","draft","Keep the protocol/mechanism definition; stage numeric implementation values separately."
"REVID-M2NA-0055","REQ-M2NA-GAP-0160","SRC-M2NA-AMD-CDNA4-WP","supports_not_applicable","Architecture/implementation boundary in the selected first-party source","","m2_arch_nvidia_amd","2026-08-12","draft","Keep the protocol/mechanism definition; stage numeric implementation values separately."
"REVID-M2NA-0056","REQ-M2NA-GAP-0161","SRC-M2NA-AMD-CDNA4-WP","supports_not_applicable","Architecture/implementation boundary in the selected first-party source","","m2_arch_nvidia_amd","2026-08-12","draft","Keep the protocol/mechanism definition; stage numeric implementation values separately."
"REVID-M2NA-0057","REQ-M2NA-GAP-0162","SRC-M2NA-AMD-CDNA5-WP","supports_not_applicable","Architecture/implementation boundary in the selected first-party source","","m2_arch_nvidia_amd","2026-08-12","draft","Keep the protocol/mechanism definition; stage numeric implementation values separately."
"REVID-M2W3-HUAWEI-ASC950DT-AVAILABILITY-H2","REQ-M2W3-HUAWEI-ASC950DT-AVAILABILITY","SRC-M2W3-HUAWEI-H2-ASC950-KEYNOTE-20250918","supports_pending","H-2 paragraphs beginning The next chip is Ascend 950DT; These two scenarios; The Ascend 950DT chip will be available","The Ascend 950DT chip will be available in the fourth quarter of 2026.","m2_w3_huawei_asc950_physical","2026-08-13","reviewed","Future roadmap only; no GA/delivery upgrade."
