"task_id","phase","title","owner","status","started_date","completed_date","input_paths","output_paths","verification","blocker","next_step"
"M2-SCOPE-GATE","M2","冻结高风险对象身份与类型","root + m2_scope_aws_google + m2_scope_nvidia_amd_groq + m2_scope_china","completed","2026-08-12","2026-08-12","三份 M2 批次计划|object_candidates.csv|官方身份来源","审计/子代理交接/m2_scope_aws_google.md|审计/子代理交接/m2_scope_nvidia_amd_groq.md|审计/子代理交接/m2_scope_huawei_cambricon.md|审计/子代理交接/review_scope_cloud.md|审计/子代理交接/review_scope_west.md|审计/子代理交接/review_scope_china.md|审计/M2_对象范围验收.md|审计/M2_对象范围映射.csv|数据/objects.csv|数据/object-relations.csv","总控接收三份身份核对和三份独立复核；56 行高风险候选有持久裁决；正式对象 71、关系 20；校验 40237 项 PASS","","按已预留架构对象启动第一波三个 staging 工作包"
"M2-ARCH-WAVE-1","M2","第一波七厂商架构卡与事实链","root + m2_arch_nvidia_amd + m2_arch_google_aws + m2_arch_groq_china","completed","2026-08-12","2026-08-13","审计/M2_对象范围验收.md|审计/M2_对象范围映射.csv|数据/objects.csv|三份 M2 批次计划|M1 试填事实链","审计/子代理交接/m2_staging/M2-NA-ARCH|审计/子代理交接/m2_staging/M2-GA-ARCH|审计/子代理交接/m2_staging/M2-GHC-ARCH|审计/M2_GHC_架构包正式合并验收.md|审计/M2_GA_架构包正式合并验收.md|审计/M2_NA_架构包正式合并验收.md","三个包均取得独立复核 accept 并正式合并；29 张架构卡、614 条正式事实、600 条断言、786 条字段要求；全局校验 91190 项 PASS，111 份 PDF 资料池 PASS","","按对象依赖启动第二波物理裸片/封装、SKU/云配置和系统工作包"
"M2-ARCH-GHC","M2","Groq、华为、寒武纪架构卡与事实链","root + m2_arch_groq_china + m2_ghc_remediation + m2_review_ghc_arch","completed","2026-08-12","2026-08-12","审计/M2_对象范围验收.md|审计/M2_对象范围映射.csv|审计/子代理交接/m2_staging/M2-GHC-ARCH","资料卡/Groq/架构/Groq_第一代_LPU_架构.md|资料卡/NVIDIA/架构/NVIDIA_Groq_3_LPU_架构.md|资料卡/华为昇腾/架构/Da_Vinci_初代架构.md|资料卡/寒武纪/架构/MLUarch05_架构.md|审计/M2_GHC_架构包正式合并验收.md|审计/M2-GHC-ARCH_实现对象待办.csv","独立复核 accept；35 条事实、35 条断言、80 条要求与 7 个最小来源成员正式合并；全局 46985 项 PASS；107 份 PDF 资料池 PASS","","46 条实现待办由后续裸片、封装、SKU 或系统对象承接；CNToolkit 401 缺口保留"
"M2-ARCH-GA","M2","Google TPU 与 AWS 架构卡和事实链","root + m2_arch_google_aws + m2_ga_remediation + m2_review_ga_arch","completed","2026-08-12","2026-08-13","审计/M2_对象范围验收.md|审计/M2_对象范围映射.csv|审计/子代理交接/m2_staging/M2-GA-ARCH","资料卡/Google-TPU/架构|资料卡/AWS/架构|审计/M2_GA_架构包正式合并验收.md|审计/M2-GA-ARCH_实现对象待办.csv","独立复核 accept；14 张卡、141 条事实、141 条断言、72 条要求与 19 个最小来源成员正式合并；真实正式库校验 62394 项 PASS","","65 条实现待办由后续 silicon_package、cloud_accelerator 或 system 对象承接"
"M2-ARCH-NA","M2","NVIDIA 与 AMD 架构卡和事实链","root + m2_arch_nvidia_amd + m2_na_remediation + semantic_audit","completed","2026-08-12","2026-08-13","审计/M2_对象范围验收.md|审计/M2_对象范围映射.csv|审计/子代理交接/m2_staging/M2-NA-ARCH","资料卡/NVIDIA/架构|资料卡/AMD/架构|审计/M2_NA_架构包正式合并验收.md|审计/M2-NA-ARCH_实现对象待办.csv|论文/AMD_Instinct","独立复核 accept；11 张卡、185 条事实、185 条断言、369 条要求与 17 个最小来源成员正式合并；全局 91190 项 PASS，111 份 PDF 资料池 PASS","","9 条实现待办和四份 AMD 白皮书由后续物理、SKU 与系统包复用"
"M2-WAVE-2-QUEUE","M2","第二波实现对象工作包排队审计","root + m2_wave2_queue_audit","completed","2026-08-13","2026-08-13","三份 M2 批次计划|正式 objects/relations|三份架构包实现对象待办","审计/子代理交接/m2_wave2_queue_audit.md|审计/子代理交接/m2_wave2_physical_readiness.md|审计/子代理交接/m2_wave2_sku_readiness.md","三包对象边界、backlog、fact/source 复用、动态来源、预算和验收门均持久化；自然化检查通过","","总控冻结对象 ID 后并行启动 AWS package、Google config、AMD Helios system staging"
"CARD-INDEX-001","M2","建立已验收资料卡索引","root","completed","2026-08-13","2026-08-13","29 张第一波架构卡|3 张 M1 试填卡|数据/objects.csv","资料卡/型号索引.md|README.md|AGENTS.md|进度/当前状态.md","32 行卡片链接全部存在；厂商计数 29+3=32；report-humanizer 扫描通过","","第二波每完成一批实现对象卡就同步追加索引"
"M2-ARCH-WAVE1-CLOSEOUT","M2","第一波正式元数据与恢复点收尾","root","completed","2026-08-13","2026-08-13","三份架构包验收|数据/objects.csv|最小参考资料库/selection-runs.csv","审计/M2_第一波收尾一致性复核.md|两份合并备份|资料卡/型号索引.md","正式数据 91,190 项检查通过；资料池 111/111 通过；32 个卡片链接存在","","以收尾复核为第二波恢复基线"
"DATA-REVIEW-LIFECYCLE","M2","冻结包级验收与行级复核状态晋级规则","root + m2_wave2_physical_readiness + m2_wave2_queue_audit","completed","2026-08-13","2026-08-13","正式 facts/assertions/requirements/source-screening|三份架构包独立验收","审计/子代理交接/data_review_lifecycle_audit.md|审计/子代理交接/data_review_lifecycle_independent_review.md","独立复核 accept_with_fixes；1,924 行及四批次分布复算吻合；正式 validator 91,190 通过","包级 accept 不足以自动证明主键级生命周期复核，未授权正式写入","生成 1,924 行显式 PK 迁移清单并由独立复核者按批次/表签字后再执行"
"M2-WAVE2-INDEPENDENT-REVIEW","M2","第二波三包独立红队复核","root + m2_na_remediation","completed","2026-08-13","2026-08-13","三份第二波准备度审计|三份批次计划|正式 objects/relations/facts/sources","审计/子代理交接/m2_wave2_independent_review.md","AWS package、Helios、Trn2 实例为 accept_with_fixes；Google config reject；引用存在性与自然化检查通过","","关闭三包启动前身份/来源门；Google 重做对象模型"
"M2-W2-AWS-PACKAGE-GATE","M2","AWS 四代物理对象身份与来源冻结门","root + m2_wave2_physical_readiness + m2_w2_aws_gate_review","completed","2026-08-13","2026-08-13","物理准备度审计|独立红队|A01-A10 官方来源","审计/子代理交接/m2_staging/M2-W2-AWS-PACKAGE|审计/子代理交接/m2_w2_aws_package_gate_review.md|审计/M2_第二波_AWS物理对象范围补充验收.md","独立复核 accept_with_fixes；4 个 package 对象与 4 条关系按 needs_resolution 正式预留；正式校验 91,286 项 PASS","对象身份门已关闭；事实抽取前须另建 2026-08-13 snapshot endpoint 并登记 144 GB/GiB 分歧","修正来源入口后按四对象处置 23 条实现待办"
"M2-W2-AMD-HELIOS-GATE","M2","AMD Helios 参考机架来源与 72 数量门","root + m2_na_remediation + m2_review_helios_system + m2_final_review_helios","completed","2026-08-13","2026-08-13","独立红队|AMD 批次计划|正式 Helios/MI455X/CDNA5 关系","审计/子代理交接/m2_staging/M2-W2-AMD-HELIOS-SYSTEM|审计/子代理交接/m2_review_helios_system_final.md|资料卡/AMD/系统/AMD_Helios_72_MI455X_参考机架观察卡.md|审计/M2_Helios_参考机架包正式合并验收.md","独立复核 accept；18 条事实、22 条断言、17 条字段要求、102 行结构化新增；97 行生命周期迁移；正式校验 93,799 项 PASS","","监测动态页面；3 AI exaflops 未决链继续保持 needs_resolution"
"M2-W2-TRN2-INSTANCE","M2","Trainium2 三实例轻量资料卡","root + m2_wave2_queue_audit + m2_review_trn2_instance + m2_trn2_correction + m2_review_trn2_correction","completed","2026-08-13","2026-08-13","Trn2 实例准备度审计|独立红队|现有 48 条实例事实","审计/子代理交接/m2_staging/M2-W2-TRN2-INSTANCE|审计/子代理交接/m2_review_trn2_instance.md|审计/子代理交接/m2_staging/M2-W2-TRN2-CORRECTION|审计/子代理交接/m2_review_trn2_correction.md|审计/子代理交接/m2_review_trn2_correction_lifecycle_signoff.md|资料卡/AWS/实例|审计/M2_Trainium2_纠错包正式合并验收.md","原包 reject；correction 独立 accept。正式合并后 621 facts/611 assertions/792 requirements；后置迁移精确修改 25 个主键中的 27 个状态单元格；validator 93,179；49,469 cells、8 files、17 lifecycle PK 全匹配","","保留 S15 两条不可靠容量声明的未决审计，不上卷为可采规格"
"M2-W2-G-CONFIG-MODEL","M2","Google TPU 配置族对象模型重审","root + m2_wave2_queue_audit","completed","2026-08-13","2026-08-13","独立红队 reject|10 行 GA 实现待办|Google 官方动态配置页","审计/子代理交接/m2_google_config_model_review.md|审计/子代理交接/m2_google_config_model_independent_review.md|进度/决策记录.md#DEC-024","独立复核 accept_with_fixes；器件、机器类型、slice/Pod 三层成立；9 条待办完整承接，1 条拆云端/物理分支；旧五 ID 正式命中 0","新三器件对象未预留：待拆 GV5P-03、补 G15/tpu-machines、固定动态页和配置行结构化落点","按 DEC-024 建来源冻结准备包，全部阻断关闭后补范围裁决"
"DATA-REVIEW-MIGRATION-PREP","M2","生成 1,924 行复核状态显式迁移清单","root + m2_wave2_queue_audit","completed","2026-08-13","2026-08-13","生命周期初审与独立复核|正式四表|三包 staging PK 集","审计/子代理交接/data_review_lifecycle_migration","1,924 行显式 PK 清单；四表 598/554/698/74，批次 646/158/379/741；验证器 51,399 项 PASS；正式四表未改","仍需未参与清单生成者做独立最终签字，方可执行正式 review_status 迁移","释放并发槽后启动独立迁移签字"
"DATA-REVIEW-MIGRATION-SIGNOFF","M2","独立签字 1,924 行复核状态迁移","data_review_migration_independent_signoff","completed","2026-08-13","2026-08-13","审计/子代理交接/data_review_lifecycle_migration|data_review_lifecycle_independent_review.md","审计/子代理交接/data_review_lifecycle_migration_independent_review.md","独立复算 1,924 行、16 个批次×表单元格与 48 行抽查；裁决 accept，正式校验 91,286 项 PASS","","总控按绑定哈希备份并执行只改 review_status 的迁移"
"M2-W2-AWS-PACKAGE-FACTS","M2","AWS 四代物理对象资料卡与事实链","m2_w2_aws_package_facts + m2_review_aws_package_facts + m2_final_review_aws_package + root","completed","2026-08-13","2026-08-13","审计/M2_第二波_AWS物理对象范围补充验收.md|审计/子代理交接/m2_staging/M2-W2-AWS-PACKAGE|审计/M2-GA-ARCH_实现对象待办.csv","审计/子代理交接/m2_staging/M2-W2-AWS-PACKAGE-FACTS|审计/子代理交接/m2_review_aws_package_facts.md|审计/子代理交接/m2_staging/M2-W2-AWS-PACKAGE-FACTS-REMEDIATED|审计/子代理交接/m2_final_review_aws_package.md|审计/子代理交接/m2_final_review_aws_package_merge_signoff.csv|审计/子代理交接/m2_final_review_aws_package_cards|审计/子代理交接/aws_post_field_rebase|审计/子代理交接/aws_post_field_rebase_independent_review|审计/子代理交接/aws_formal_transaction_prep|审计/子代理交接/aws_formal_transaction_independent_review|审计/子代理交接/aws_formal_postmerge_review.md|审计/子代理交接/aws_formal_postmerge_signoff.csv|资料卡/AWS/封装/AWS_Inferentia1_芯片实现资料卡.md|资料卡/AWS/封装/AWS_Trainium1_芯片实现资料卡.md|资料卡/AWS/封装/AWS_Inferentia2_芯片实现资料卡.md|资料卡/AWS/封装/AWS_Trainium3_芯片实现资料卡.md|审计/M2_AWS四代物理对象事实包正式合并验收.md","合并后独立 accept / closed；486 行签字，477 项写入、9 项守卫；20 表与 15 文件均匹配；正式库 678/680/863，40 卡；验证器 106,160 项通过，32 表聚合值 f1520907d54e406e7d82f591e3799f07f569218aff0c321ac3b836b6c649da10，资料池通过","","保留五组 needs_resolution 冲突，并按队列推进后续实现对象包"
"M2-W2-G-CLOUD-DEVICE-GATE","M2","Google v5e/v5p/v6e 云端器件来源与范围门","root + m2_google_cloud_device_gate + m2_review_google_cloud_device_gate + m2_google_cloud_device_remediation","completed","2026-08-13","2026-08-13","DEC-024|m2_google_config_model_independent_review.md|14 条 GA deferred","审计/子代理交接/m2_staging/M2-W2-GOOGLE-CLOUD-DEVICE|审计/子代理交接/m2_review_google_cloud_device_gate.md|审计/M2_第二波_Google云端器件范围补充验收.md|审计/子代理交接/m2_staging/M2-W2-GOOGLE-CLOUD-DEVICE-REMEDIATED|审计/子代理交接/m2_final_review_google_cloud_device.md|审计/M2_第二波_Google云端器件来源门正式验收.md","范围对象/关系已预留；来源修正版独立 accept_with_caveat；正式接收 1 family/1 source/6 endpoints/5 files；validator 93,378；G15 与 selection/facts/cards 零导入","G15 原始响应体仍受 TLS 链路错误限制；器件事实集合未冻结，正式筛选与选择运行尚未建立","以正式来源入口启动三张器件卡；事实冻结后重跑 screening/coverage/selection；继续单独补 G15 raw body"
"DATA-REVIEW-MIGRATION-EXEC","M2","执行四表 1,924 行复核状态迁移","root","completed","2026-08-13","2026-08-13","data_review_lifecycle_migration/migration.csv|data_review_lifecycle_migration_independent_review.md","数据/facts.csv|数据/field-requirements.csv|最小参考资料库/fact-assertions.csv|最小参考资料库/source-screening.csv|审计/正式库四表生命周期迁移验收.md","恰好 1,924 个 review_status 单元格 draft→reviewed；语义列 0 变化、其他列 0 变化；正式校验 91,827 项 PASS","","后续语义修订另开工作包，不把 reviewed 等同于 accepted"
"M2-FIELD-SUBJECT-CONTRACT-AUDIT","M2","全库字段主体合同审计与校验器补门","root","completed","2026-08-13","2026-08-13","数据/fields.csv|数据/facts.csv|数据/field-requirements.csv|审计/字段主体合同全库预审.csv","审计/字段主体合同全库预审.md|审计/字段主体合同全库预审.csv|审计/子代理交接/field_subject_contract_remediation|审计/子代理交接/field_subject_contract_remediation_independent_review|审计/子代理交接/field_subject_contract_postmerge_review.md|审计/字段主体合同正式迁移验收.md|审计/合并备份/FIELD-SUBJECT-CONTRACT-20260813","132 PK 闭环为 12 expand/12 retarget/108 no_change；166 行 exact signoff 全命中；post-merge 独立 accept；audit/显式 gate/default 各 PASS 97,920；schema 324 列、fields 120 行/13 列、requirements 792 行","","AWS 包按迁移后 aggregate d10ad305a...01ff 重签并严格演练；FIELD-PHY-CLOCK 已满足项只作 no-write guard"
"M2-W3-AMD-MI455X-MODULE","M2","AMD Instinct MI455X 模组资料卡与事实链","m2_w3_mi455x_module + m2_review_mi455x_module + m2_final_review_mi455x + m2_mi455x_rebase + m2_mi455x_transaction_prep + root","completed","2026-08-13","2026-08-13","审计/子代理交接/m2_next_queue_audit.md|审计/子代理交接/m2_staging/M2-NA-ARCH/notes/implementation-fact-backlog.csv|数据/objects.csv|数据/object-relations.csv","审计/子代理交接/m2_staging/M2-W3-AMD-MI455X-MODULE|审计/子代理交接/m2_review_mi455x_module.md|审计/子代理交接/m2_final_review_mi455x.md|审计/子代理交接/m2_final_review_mi455x_signoff.csv|审计/子代理交接/m2_mi455x_rebase|审计/子代理交接/m2_mi455x_formal_transaction_prep","内容、独立复核和第三波组合正式事务均完成；组合事务 1,057 PK/20 表/15 文件，正式校验 125,619 项，未回滚；本包 242 PK 和 3 个文件已进入正式库","","按 DEC-031 退出芯片主线；保留正式记录与证据，不继续补缺或生成综合芯片卡"
"M2-W3-AMD-MI350P-CARD","M2","AMD Instinct MI350P PCIe 加速卡资料卡与事实链","m2_w3_mi350p_source_prep + m2_review_mi350p + m2_final_review_mi350p + root","completed","2026-08-13","2026-08-13","审计/子代理交接/m2_next_queue_audit.md|数据/objects.csv|数据/object-relations.csv","审计/子代理交接/m2_staging/M2-W3-AMD-MI350P-CARD|审计/子代理交接/m2_review_mi350p.md|审计/子代理交接/m2_final_review_mi350p.md","内容、独立复核和第三波组合正式事务均完成；组合事务 1,057 PK/20 表/15 文件，正式校验 125,619 项，未回滚；本包 270 PK 和 4 个文件已进入正式库","","按 DEC-031 退出芯片主线；保留正式记录与证据，不继续补缺或生成综合芯片卡"
"M2-W3-HUAWEI-ASCEND950-PHYSICAL","M2","华为昇腾 950 Die、950PR 与 950DT 物理对象资料卡与事实链","m2_w3_ascend950_source_prep + m2_review_ascend950 + m2_final_review_ascend950 + root","completed","2026-08-13","2026-08-13","审计/子代理交接/m2_next_queue_audit.md|审计/子代理交接/m2_staging/M2-GHC-ARCH/implementation-object-backlog.csv|数据/objects.csv","审计/子代理交接/m2_staging/M2-W3-HUAWEI-ASCEND950-PHYSICAL|审计/子代理交接/m2_review_ascend950_physical.md|审计/子代理交接/m2_final_review_ascend950_physical.md","内容、独立复核和第三波组合正式事务均完成；组合事务 1,057 PK/20 表/15 文件，正式校验 125,619 项，未回滚；本包 545 PK 和 8 个文件已进入正式库","","Ascend 950 die、950PR、950DT 保留芯片主线；最终名单冻结后按一芯片一文档重生成综合卡"
"REF-TRAIN-INFER-DIFF-SCAN","M2","训练与推理芯片架构差异资料入口检索","root","completed","2026-08-14","2026-08-14","互联网公开资料","../01_前置调研-训练推理架构关注点/资料网址.md; README.md; AGENTS.md; 进度/当前状态.md; 进度/任务台账.csv","19 个唯一 HTTPS 网址；主文件 UTF-8、AI 痕迹、公式与目录链接检查通过；项目 32 表硬门校验通过 125619 项","","后续正式分析阶段再逐篇固定版本和页码，并决定是否进入最小参考资料库"
"REF-TRAIN-INFER-DEEP-REVIEW","专题研究","19 份训练与推理芯片差异资料逐篇精读、综合与模板","root + 19 source agents","completed","2026-08-14","2026-08-14","../01_前置调研-训练推理架构关注点/资料网址.md","../01_前置调研-训练推理架构关注点/逐篇分析; ../01_前置调研-训练推理架构关注点/训练芯片与推理芯片架构差异总结报告.md; ../01_前置调研-训练推理架构关注点/芯片训练推理差异分析模板.md; ../01_前置调研-训练推理架构关注点/审计/差异证据矩阵.csv","19个唯一S编号、19名不同来源代理、19张完整卡和19张摘要卡均通过；20条核心主张中17条三票确认、3条限定保留；H100/Inferentia2试填通过；8项数值复算通过、2项互联指标不补算；32张正式表前后哈希差异0；正式校验通过125619项；Markdown公式、UTF-8、本地链接、report-humanizer与shuorenhua检查完成","","后续逐芯片搜集资料时使用0.1版模板提取；专题结论不自动回填正式事实库，也不启动跨厂商性能排名"
"R1-CHIP-LIST-FREEZE","R1","冻结完整训练与推理芯片名单","root","completed","2026-08-14","2026-08-17","审计/归档/芯片名单冻结_2026-08-17/训练推理芯片名单冻结.csv|审计/归档/芯片名单冻结_2026-08-17/子代理交接/最新芯片范围修订独立复核_2026-08-17.md|审计/训练推理芯片主线对象范围.csv|数据/objects.csv|进度/决策记录.md#DEC-032/033","清单/训练与推理芯片名单.md|审计/归档/芯片名单冻结_2026-08-17/README.md","用户确认 49 个芯片对象=38 个主样本+11 个历史锚点，对应45个共享硅设计组；唯一名单49行、七厂商覆盖、对象层级和官方身份链接齐全；77行候选全集及复核材料完成哈希归档；正式32表未改写，既有校验基线仍为125,619项","","按唯一名单启动逐芯片复用审计；每次只建立一个芯片工作包，完成事实、缺口、最小来源和综合资料卡后再进入下一款"
