"derived_input_id","derived_fact_id","input_order","input_fact_id","input_role","review_status","notes"
"DIN-AWS-TRN2-007-VALUE","FACT-AWS-TRN2-CHIP-BF16-SPARSE-DER8","1","FACT-AWS-TRN2-CORE-BF16-SPARSE-PUB","numerator","draft","每 NCv3 公开峰值"
"DIN-AWS-TRN2-007-COUNT","FACT-AWS-TRN2-CHIP-BF16-SPARSE-DER8","2","FACT-AWS-TRN2-NCV3-COUNT","scale","draft","每芯片 NCv3 数量"
"DIN-AWS-TRN2-008-VALUE","FACT-AWS-TRN2-CHIP-FP16-SPARSE-DER8","1","FACT-AWS-TRN2-CORE-FP16-SPARSE-PUB","numerator","draft","每 NCv3 公开峰值"
"DIN-AWS-TRN2-008-COUNT","FACT-AWS-TRN2-CHIP-FP16-SPARSE-DER8","2","FACT-AWS-TRN2-NCV3-COUNT","scale","draft","每芯片 NCv3 数量"
"DIN-AWS-TRN2-009-VALUE","FACT-AWS-TRN2-CHIP-TF32-SPARSE-DER8","1","FACT-AWS-TRN2-CORE-TF32-SPARSE-PUB","numerator","draft","每 NCv3 公开峰值"
"DIN-AWS-TRN2-009-COUNT","FACT-AWS-TRN2-CHIP-TF32-SPARSE-DER8","2","FACT-AWS-TRN2-NCV3-COUNT","scale","draft","每芯片 NCv3 数量"
"DIN-AWS-TRN2-010-VALUE","FACT-AWS-TRN2-VECTOR-FP32-DER8","1","FACT-AWS-TRN2-VECTOR-FP32-CORE","numerator","draft","每 NCv3 公开峰值"
"DIN-AWS-TRN2-010-COUNT","FACT-AWS-TRN2-VECTOR-FP32-DER8","2","FACT-AWS-TRN2-NCV3-COUNT","scale","draft","每芯片 NCv3 数量"
"DIN-AWS-TRN2-011-VALUE","FACT-AWS-TRN2-SCALAR-FP32-DER8","1","FACT-AWS-TRN2-SCALAR-FP32-CORE","numerator","draft","每 NCv3 公开峰值"
"DIN-AWS-TRN2-011-COUNT","FACT-AWS-TRN2-SCALAR-FP32-DER8","2","FACT-AWS-TRN2-NCV3-COUNT","scale","draft","每芯片 NCv3 数量"
"DIN-AWS-TRN2-012-VALUE","FACT-AWS-TRN2-DER-BALANCE-FP8","1","FACT-AWS-TRN2-CHIP-FP8-DENSE-PUB","numerator","draft","芯片公开峰值"
"DIN-AWS-TRN2-012-BW","FACT-AWS-TRN2-DER-BALANCE-FP8","2","FACT-AWS-TRN2-HBM-BANDWIDTH","denominator","draft","2.9 TB/s HBM 带宽"
"DIN-AWS-TRN2-013-VALUE","FACT-AWS-TRN2-DER-BALANCE-BF16","1","FACT-AWS-TRN2-CHIP-BF16-DENSE-PUB","numerator","draft","芯片公开峰值"
"DIN-AWS-TRN2-013-BW","FACT-AWS-TRN2-DER-BALANCE-BF16","2","FACT-AWS-TRN2-HBM-BANDWIDTH","denominator","draft","2.9 TB/s HBM 带宽"
"DIN-AWS-TRN2-014-VALUE","FACT-AWS-TRN2-DER-BALANCE-FP32","1","FACT-AWS-TRN2-CHIP-FP32-DENSE-PUB","numerator","draft","芯片公开峰值"
"DIN-AWS-TRN2-014-BW","FACT-AWS-TRN2-DER-BALANCE-FP32","2","FACT-AWS-TRN2-HBM-BANDWIDTH","denominator","draft","2.9 TB/s HBM 带宽"
"DIN-AWS-TRN2-015-VALUE","FACT-AWS-TRN2-DER-BALANCE-FP8-SPARSE","1","FACT-AWS-TRN2-CHIP-FP8-SPARSE-PUB","numerator","draft","芯片公开峰值"
"DIN-AWS-TRN2-015-BW","FACT-AWS-TRN2-DER-BALANCE-FP8-SPARSE","2","FACT-AWS-TRN2-HBM-BANDWIDTH","denominator","draft","2.9 TB/s HBM 带宽"
