"operation_order","table_path","operation","pk_column","pk_value","reason","status"
"69","最小参考资料库/fact-assertions.csv","delete","assertion_id","ASSERT-FACT-AWS-TRN2-CHIP-TF32-SPARSE-HIST2024-S10","删除 S10 未直接支持的非 FP8 或 trn2u 历史稀疏记录；S10 只保留芯片 FP8 与 trn2.48xlarge FP8 两条历史事实。","proposed"
"70","最小参考资料库/fact-assertions.csv","delete","assertion_id","ASSERT-FACT-AWS-TRN2-3XL-CHIP-QTY-S06","删除挂错来源的断言；S06 不含 trn2.3xlarge，改由 S07 Product details 表支持。","proposed"
"71","最小参考资料库/fact-assertions.csv","delete","assertion_id","ASSERT-FACT-AWS-TRN2-ULTRA64-EFA-3P2-S06","删除错主体断言：S06 表格不支持 UltraServer 3.2 Tbps。","proposed"
"72","最小参考资料库/fact-assertions.csv","delete","assertion_id","ASSERT-FACT-AWS-TRN2-48XL-BF16-SPARSE-HIST2024-S10","删除 S10 未直接支持的非 FP8 或 trn2u 历史稀疏记录；S10 只保留芯片 FP8 与 trn2.48xlarge FP8 两条历史事实。","proposed"
"73","最小参考资料库/fact-assertions.csv","delete","assertion_id","ASSERT-FACT-AWS-TRN2-48XL-FP16-SPARSE-HIST2024-S10","删除 S10 未直接支持的非 FP8 或 trn2u 历史稀疏记录；S10 只保留芯片 FP8 与 trn2.48xlarge FP8 两条历史事实。","proposed"
"74","最小参考资料库/fact-assertions.csv","delete","assertion_id","ASSERT-FACT-AWS-TRN2-48XL-TF32-SPARSE-HIST2024-S10","删除 S10 未直接支持的非 FP8 或 trn2u 历史稀疏记录；S10 只保留芯片 FP8 与 trn2.48xlarge FP8 两条历史事实。","proposed"
"75","最小参考资料库/fact-assertions.csv","delete","assertion_id","ASSERT-FACT-AWS-TRN2-TRN2U-48XL-FP8-SPARSE-HIST2024-S10","删除 S10 未直接支持的非 FP8 或 trn2u 历史稀疏记录；S10 只保留芯片 FP8 与 trn2.48xlarge FP8 两条历史事实。","proposed"
"76","最小参考资料库/fact-assertions.csv","delete","assertion_id","ASSERT-FACT-AWS-TRN2-TRN2U-48XL-BF16-SPARSE-HIST2024-S10","删除 S10 未直接支持的非 FP8 或 trn2u 历史稀疏记录；S10 只保留芯片 FP8 与 trn2.48xlarge FP8 两条历史事实。","proposed"
"77","最小参考资料库/fact-assertions.csv","delete","assertion_id","ASSERT-FACT-AWS-TRN2-TRN2U-48XL-FP16-SPARSE-HIST2024-S10","删除 S10 未直接支持的非 FP8 或 trn2u 历史稀疏记录；S10 只保留芯片 FP8 与 trn2.48xlarge FP8 两条历史事实。","proposed"
"78","最小参考资料库/fact-assertions.csv","delete","assertion_id","ASSERT-FACT-AWS-TRN2-TRN2U-48XL-TF32-SPARSE-HIST2024-S10","删除 S10 未直接支持的非 FP8 或 trn2u 历史稀疏记录；S10 只保留芯片 FP8 与 trn2.48xlarge FP8 两条历史事实。","proposed"
"79","数据/facts.csv","update","fact_id","FACT-AWS-TRN2-CHIP-BF16-SPARSE-PUB","只更新说明：当前芯片事实仍处于 CG-AWS-TRN2-007 的 scope 冲突，不误判为已解决。","proposed"
"80","数据/facts.csv","update","fact_id","FACT-AWS-TRN2-CHIP-FP16-SPARSE-PUB","只更新说明：当前芯片事实仍处于 CG-AWS-TRN2-007 的 scope 冲突，不误判为已解决。","proposed"
"81","数据/facts.csv","update","fact_id","FACT-AWS-TRN2-CHIP-TF32-SPARSE-PUB","只更新说明：当前芯片事实仍处于 CG-AWS-TRN2-007 的 scope 冲突，不误判为已解决。","proposed"
"82","数据/facts.csv","update","fact_id","FACT-AWS-TRN2-3XL-CHIP-QTY","同步 trn2.3xlarge 芯片数的来源改挂 S07。","proposed"
"83","数据/facts.csv","update","fact_id","FACT-AWS-TRN2-3XL-EFA-RATE","把实例级 EFA 带宽改为每实例注入带宽，按 8 bit/byte 从 Tbps 规范化到 byte/s，不推定物理链路数。","proposed"
"84","数据/facts.csv","update","fact_id","FACT-AWS-TRN2-48XL-EFA-RATE","把实例级 EFA 带宽改为每实例注入带宽，按 8 bit/byte 从 Tbps 规范化到 byte/s，不推定物理链路数。","proposed"
"85","数据/facts.csv","update","fact_id","FACT-AWS-TRN2-TRN2U-48XL-EFA-RATE","把实例级 EFA 带宽改为每实例注入带宽，按 8 bit/byte 从 Tbps 规范化到 byte/s，不推定物理链路数。","proposed"
"86","数据/facts.csv","update","fact_id","FACT-AWS-TRN2-ULTRA64-EFA-12P8","把 UltraServer 12.8 Tbps 改为系统聚合带宽，规范化为 1,600,000,000,000 byte/s。","proposed"
"87","数据/facts.csv","update","fact_id","FACT-AWS-TRN2-48XL-BF16-SPARSE","移除无证据历史成员后，按唯一可靠当前一手来源恢复单源、暂定与 reviewed 状态；48XL FP8 另保留历史冲突。","proposed"
"88","数据/facts.csv","update","fact_id","FACT-AWS-TRN2-48XL-FP16-SPARSE","移除无证据历史成员后，按唯一可靠当前一手来源恢复单源、暂定与 reviewed 状态；48XL FP8 另保留历史冲突。","proposed"
"89","数据/facts.csv","update","fact_id","FACT-AWS-TRN2-48XL-TF32-SPARSE","移除无证据历史成员后，按唯一可靠当前一手来源恢复单源、暂定与 reviewed 状态；48XL FP8 另保留历史冲突。","proposed"
"90","数据/facts.csv","update","fact_id","FACT-AWS-TRN2-TRN2U-48XL-FP8-SPARSE","移除无证据历史成员后，按唯一可靠当前一手来源恢复单源、暂定与 reviewed 状态；48XL FP8 另保留历史冲突。","proposed"
"91","数据/facts.csv","update","fact_id","FACT-AWS-TRN2-TRN2U-48XL-BF16-SPARSE","移除无证据历史成员后，按唯一可靠当前一手来源恢复单源、暂定与 reviewed 状态；48XL FP8 另保留历史冲突。","proposed"
"92","数据/facts.csv","update","fact_id","FACT-AWS-TRN2-TRN2U-48XL-FP16-SPARSE","移除无证据历史成员后，按唯一可靠当前一手来源恢复单源、暂定与 reviewed 状态；48XL FP8 另保留历史冲突。","proposed"
"93","数据/facts.csv","update","fact_id","FACT-AWS-TRN2-TRN2U-48XL-TF32-SPARSE","移除无证据历史成员后，按唯一可靠当前一手来源恢复单源、暂定与 reviewed 状态；48XL FP8 另保留历史冲突。","proposed"
"94","数据/field-requirements.csv","update","requirement_id","REQ-AWS-TRN2-0088","同步 trn2.3xlarge 芯片数的来源改挂 S07。","proposed"
"95","数据/field-requirements.csv","update","requirement_id","REQ-AWS-TRN2-0107","同步实例 EFA 的每实例注入带宽字段、检索日期和说明。","proposed"
"96","数据/field-requirements.csv","update","requirement_id","REQ-AWS-TRN2-0108","同步实例 EFA 的每实例注入带宽字段、检索日期和说明。","proposed"
"97","数据/field-requirements.csv","update","requirement_id","REQ-AWS-TRN2-0109","同步实例 EFA 的每实例注入带宽字段、检索日期和说明。","proposed"
"98","数据/field-requirements.csv","update","requirement_id","REQ-AWS-TRN2-0111","同步 UltraServer 12.8 Tbps 系统聚合带宽字段与已复核状态。","proposed"
"99","数据/field-requirements.csv","update","requirement_id","REQ-AWS-TRN2-0144","无证据历史假冲突移除后，恢复当前稀疏吞吐字段要求状态。","proposed"
"100","数据/field-requirements.csv","update","requirement_id","REQ-AWS-TRN2-0145","无证据历史假冲突移除后，恢复当前稀疏吞吐字段要求状态。","proposed"
"101","数据/field-requirements.csv","update","requirement_id","REQ-AWS-TRN2-0146","无证据历史假冲突移除后，恢复当前稀疏吞吐字段要求状态。","proposed"
"102","数据/field-requirements.csv","update","requirement_id","REQ-AWS-TRN2-0156","无证据历史假冲突移除后，恢复当前稀疏吞吐字段要求状态。","proposed"
"103","数据/field-requirements.csv","update","requirement_id","REQ-AWS-TRN2-0157","无证据历史假冲突移除后，恢复当前稀疏吞吐字段要求状态。","proposed"
"104","数据/field-requirements.csv","update","requirement_id","REQ-AWS-TRN2-0158","无证据历史假冲突移除后，恢复当前稀疏吞吐字段要求状态。","proposed"
"105","数据/field-requirements.csv","update","requirement_id","REQ-AWS-TRN2-0159","无证据历史假冲突移除后，恢复当前稀疏吞吐字段要求状态。","proposed"
"106","数据/links.csv","update","link_id","LINK-AWS-TRN2-ULTRA64-EFAV3","移除 UltraServer EFA 链路对象的伪冲突说明，保留系统聚合语义。","proposed"
"107","最小参考资料库/fact-assertions.csv","update","assertion_id","ASSERT-FACT-AWS-TRN2-3XL-EFA-RATE-S07","精确化 EFA 一手来源定位、原文摘录与字段语义说明。","proposed"
"108","最小参考资料库/fact-assertions.csv","update","assertion_id","ASSERT-FACT-AWS-TRN2-48XL-EFA-RATE-S07","精确化 EFA 一手来源定位、原文摘录与字段语义说明。","proposed"
"109","最小参考资料库/fact-assertions.csv","update","assertion_id","ASSERT-FACT-AWS-TRN2-TRN2U-48XL-EFA-RATE-S07","精确化 EFA 一手来源定位、原文摘录与字段语义说明。","proposed"
"110","最小参考资料库/fact-assertions.csv","update","assertion_id","ASSERT-FACT-AWS-TRN2-ULTRA64-EFA-12P8-S07","精确化 EFA 一手来源定位、原文摘录与字段语义说明。","proposed"
"111","最小参考资料库/selection-runs.csv","update","selection_run_id","SELRUN-M1-PILOTS-20260812","重跑最小来源选择：三实例 41 条映射中 39 条可采纳事实为分母，S15 两条审计声明另列 rejected。","proposed"
"112","最小参考资料库/source-endpoints.csv","update","endpoint_id","END-AWS-TRN2-S07-SNAPSHOT","旧 S07 endpoint 降为非首选；新增 2026-08-13 固定快照为首选，保留载体哈希。","proposed"
"113","最小参考资料库/sources.csv","update","source_id","SRC-AWS-TRN2-S07","保留 source ID、version_label 与 content_fingerprint，更新 2026-08-13 复核日期及随机 nonce 归一化等价说明。","proposed"
"114","最小参考资料库/source-screening.csv","update","screening_id","SCREEN-AWS-TRN2-S06","同步修复后的来源独有贡献、筛选结论和最小集角色。","proposed"
"115","最小参考资料库/source-screening.csv","update","screening_id","SCREEN-AWS-TRN2-S07","同步修复后的来源独有贡献、筛选结论和最小集角色。","proposed"
"116","最小参考资料库/source-screening.csv","update","screening_id","SCREEN-AWS-TRN2-S10","同步修复后的来源独有贡献、筛选结论和最小集角色。","proposed"
"117","最小参考资料库/source-selected-roles.csv","update","source_selected_role_id","SROLE-AWS-TRN2-008","同步修复后的来源独有贡献、筛选结论和最小集角色。","proposed"
"118","最小参考资料库/source-selected-roles.csv","update","source_selected_role_id","SROLE-AWS-TRN2-009","同步修复后的来源独有贡献、筛选结论和最小集角色。","proposed"
"119","最小参考资料库/source-selected-roles.csv","update","source_selected_role_id","SROLE-AWS-TRN2-010","同步修复后的来源独有贡献、筛选结论和最小集角色。","proposed"
"120","最小参考资料库/source-selected-roles.csv","update","source_selected_role_id","SROLE-AWS-TRN2-011","同步修复后的来源独有贡献、筛选结论和最小集角色。","proposed"
"121","最小参考资料库/source-selected-roles.csv","update","source_selected_role_id","SROLE-AWS-TRN2-012","同步修复后的来源独有贡献、筛选结论和最小集角色。","proposed"
"122","最小参考资料库/source-selected-roles.csv","update","source_selected_role_id","SROLE-AWS-TRN2-015","同步修复后的来源独有贡献、筛选结论和最小集角色。","proposed"
"123","最小参考资料库/source-selected-roles.csv","update","source_selected_role_id","SROLE-AWS-TRN2-016","同步修复后的来源独有贡献、筛选结论和最小集角色。","proposed"
"124","数据/card-completeness.csv","append","card_completeness_id","COMP-M2W2-TRN2CORR-TRN2-3XLARGE-IDENTITY","新增三实例各九域完整度，共 27 条；事实集合修复后重新评估。","proposed"
"125","数据/card-completeness.csv","append","card_completeness_id","COMP-M2W2-TRN2CORR-TRN2-3XLARGE-PHYSICAL","新增三实例各九域完整度，共 27 条；事实集合修复后重新评估。","proposed"
"126","数据/card-completeness.csv","append","card_completeness_id","COMP-M2W2-TRN2CORR-TRN2-3XLARGE-COMPUTE","新增三实例各九域完整度，共 27 条；事实集合修复后重新评估。","proposed"
"127","数据/card-completeness.csv","append","card_completeness_id","COMP-M2W2-TRN2CORR-TRN2-3XLARGE-NUMERICS","新增三实例各九域完整度，共 27 条；事实集合修复后重新评估。","proposed"
"128","数据/card-completeness.csv","append","card_completeness_id","COMP-M2W2-TRN2CORR-TRN2-3XLARGE-MEMORY","新增三实例各九域完整度，共 27 条；事实集合修复后重新评估。","proposed"
"129","数据/card-completeness.csv","append","card_completeness_id","COMP-M2W2-TRN2CORR-TRN2-3XLARGE-INTERCONNECT","新增三实例各九域完整度，共 27 条；事实集合修复后重新评估。","proposed"
"130","数据/card-completeness.csv","append","card_completeness_id","COMP-M2W2-TRN2CORR-TRN2-3XLARGE-SPECIAL_ENGINES","新增三实例各九域完整度，共 27 条；事实集合修复后重新评估。","proposed"
"131","数据/card-completeness.csv","append","card_completeness_id","COMP-M2W2-TRN2CORR-TRN2-3XLARGE-SOFTWARE","新增三实例各九域完整度，共 27 条；事实集合修复后重新评估。","proposed"
"132","数据/card-completeness.csv","append","card_completeness_id","COMP-M2W2-TRN2CORR-TRN2-3XLARGE-EVIDENCE","新增三实例各九域完整度，共 27 条；事实集合修复后重新评估。","proposed"
"133","数据/card-completeness.csv","append","card_completeness_id","COMP-M2W2-TRN2CORR-TRN2-48XLARGE-IDENTITY","新增三实例各九域完整度，共 27 条；事实集合修复后重新评估。","proposed"
"134","数据/card-completeness.csv","append","card_completeness_id","COMP-M2W2-TRN2CORR-TRN2-48XLARGE-PHYSICAL","新增三实例各九域完整度，共 27 条；事实集合修复后重新评估。","proposed"
"135","数据/card-completeness.csv","append","card_completeness_id","COMP-M2W2-TRN2CORR-TRN2-48XLARGE-COMPUTE","新增三实例各九域完整度，共 27 条；事实集合修复后重新评估。","proposed"
"136","数据/card-completeness.csv","append","card_completeness_id","COMP-M2W2-TRN2CORR-TRN2-48XLARGE-NUMERICS","新增三实例各九域完整度，共 27 条；事实集合修复后重新评估。","proposed"
"137","数据/card-completeness.csv","append","card_completeness_id","COMP-M2W2-TRN2CORR-TRN2-48XLARGE-MEMORY","新增三实例各九域完整度，共 27 条；事实集合修复后重新评估。","proposed"
