"field_id","domain","disposition","formal_record_ids","source_map_decisions","rationale"
"FIELD-COMP-ARRAY-SHAPE","compute","not_found","coverage_only","register_not_found_after_search_log","16x8x16 and WMMA shapes are instruction Tiles, the 8x4x8 physical claim is a secondary citation in the microbenchmark paper."
"FIELD-COMP-CONCURRENCY","compute","conditional","coverage_only","accept_conditional_observation","The mechanism is relevant to GA100 but the source does not establish concurrency with Tensor Core or under all power/frequency conditions."
"FIELD-COMP-CONTROL-SCHEDULING","compute","value","FACT-R1-GA100-AMPERE-BARRIER-SCHED|REQ-R1-GA100-AMPERE-BARRIER-SCHED","reuse_via_architecture|accept_conditional_observation","Complete the Ampere repair before relation projection. | MIG management behavior is not an unconditional full-die scheduler specification."
"FIELD-COMP-COUNT-RULE","compute","value","FACT-R1-GA100-FP16-COUNT-RULE|REQ-R1-GA100-FP16-COUNT-RULE","reuse_via_architecture","Use the registered enum. Per-SM FMA/clock must not be silently doubled into FLOP/clock."
"FIELD-COMP-DATAFLOW-RESIDENCY","compute","value","coverage_only","reuse_via_architecture","Architecture mechanism is reusable, A100 L2 set-aside granularity remains product/software-conditioned."
"FIELD-COMP-EXECUTION","compute","value","FACT-M2NA-AMPERE-SM-EXEC|FACT-M2NA-AMPERE-CUDA-EXEC|REQ-M2NA-AVAIL-0001|REQ-M2NA-AVAIL-0004","reuse_via_architecture","Figure 7 alone does not directly state SIMT, use the repaired dual-source chain."
"FIELD-COMP-INSTRUCTION-TILE","compute","value","coverage_only","reuse_via_architecture","PTX Tile and measured WMMA/SASS expansion do not disclose physical array shape."
"FIELD-COMP-ISSUE-WIDTH","compute","value","FACT-R1-GA100-SM-ISSUE|REQ-R1-GA100-SM-ISSUE","accept_direct","Keep the per-block label and do not equate it with warp size or aggregate instruction issue."
"FIELD-COMP-SHARED-RESOURCE","compute","value","FACT-R1-GA100-SM-SHARED|REQ-R1-GA100-SM-SHARED|DELETE:FACT-M2NA-AMPERE-TENSOR-FORMATS|DELETE:REQ-M2NA-AVAIL-0003","accept_direct","The existing Tensor-format shared-resource fact must be deleted before reuse."
"FIELD-COMP-THROUGHPUT","compute","value","FACT-R1-GA100-FP16-FMA-PER-SM|REQ-R1-GA100-FP16-FMA-PER-SM","accept_direct|exclude_out_of_scope|keep_conflicting_unresolved","Per-SM per-clock throughput is separable from A100 product aggregate peaks. | Do not write A100 aggregate peaks as full GA100 throughput. | The values resemble official TFLOPS/TOPS but the author unit cannot be silently corrected."
"FIELD-COMP-UNIT-COUNT","compute","value","FACT-R1-GA100-COMP-COUNT-GPC|FACT-R1-GA100-COMP-COUNT-TPC|FACT-R1-GA100-COMP-COUNT-SM|FACT-R1-GA100-COMP-COUNT-FP32|FACT-R1-GA100-COMP-COUNT-TENSOR|FACT-R1-GA100-COMP-COUNT-MEMCTRL|REQ-R1-GA100-COMP-COUNT-GPC|REQ-R1-GA100-COMP-COUNT-TPC|REQ-R1-GA100-COMP-COUNT-SM|REQ-R1-GA100-COMP-COUNT-FP32|REQ-R1-GA100-COMP-COUNT-TENSOR|REQ-R1-GA100-COMP-COUNT-MEMCTRL","accept_direct|exclude_out_of_scope","Whitepaper p.19 explicitly distinguishes full GA100 from A100 implementation. | These counts are retained only as implementation-boundary evidence."
"FIELD-COMP-UNIT-NAME","compute","value","FACT-R1-GA100-COMP-NAME-GPC|FACT-R1-GA100-COMP-NAME-TPC|FACT-R1-GA100-COMP-NAME-SM|FACT-R1-GA100-COMP-NAME-FP32|FACT-R1-GA100-COMP-NAME-TENSOR|FACT-R1-GA100-COMP-NAME-MEMCTRL|FACT-R1-GA100-COMP-NAME-REG|FACT-R1-GA100-COMP-NAME-L1SMEM|FACT-R1-GA100-COMP-NAME-L2|FACT-R1-GA100-COMP-NAME-OFA|FACT-R1-GA100-COMP-NAME-VIDEO-DECODE|REQ-R1-GA100-COMP-NAME-GPC|REQ-R1-GA100-COMP-NAME-TPC|REQ-R1-GA100-COMP-NAME-SM|REQ-R1-GA100-COMP-NAME-FP32|REQ-R1-GA100-COMP-NAME-TENSOR|REQ-R1-GA100-COMP-NAME-MEMCTRL|REQ-R1-GA100-COMP-NAME-REG|REQ-R1-GA100-COMP-NAME-L1SMEM|REQ-R1-GA100-COMP-NAME-L2|REQ-R1-GA100-COMP-NAME-OFA|REQ-R1-GA100-COMP-NAME-VIDEO-DECODE","accept_direct","Create component records during staging rather than attaching all component facts to the object."
"FIELD-COMP-UTILIZATION-LIMIT","compute","conditional","coverage_only","accept_conditional_observation","Software-visible occupancy and API limits are not sustained utilization measurements."
"FIELD-COMP-VENDOR-AI-TOPS","compute","not_applicable","REQ-R1-GA100-COMP-VENDOR-TOPS","register_not_applicable","Vendor aggregate AI peaks are stated for A100 products, not the frozen die object."
"FIELD-DER-CAPACITY-COMPUTE","derived","pending","coverage_only","derive_after_scope_closure","Do not pair A100 L2/HBM capacity with full GA100 compute counts."
"FIELD-DER-COMPUTE-BW-SPEC","derived","pending","coverage_only","derive_after_scope_closure","No compatible full-die bandwidth denominator is frozen."
"FIELD-DER-COMPUTE-BW-SUSTAINED","derived","pending","coverage_only","derive_after_scope_closure","A100 microbenchmark observations cannot be divided into a full GA100 peak."
"FIELD-DER-INTERCONNECT-COMPUTE","derived","pending","coverage_only","derive_after_scope_closure","A100 300 GB/s per direction and full GA100 compute are different scopes."
"FIELD-DER-MATRIX-VECTOR","derived","pending","REQ-M2NA-GAP-0006","derive_after_scope_closure","No compatible vector peak was found."
"FIELD-DER-MOVE-MATRIX","derived","pending","coverage_only","derive_after_scope_closure","Async-copy semantics do not provide a sustained byte/s numerator."
"FIELD-ECON-PUBLISHED-PRICE","economics","not_applicable","REQ-R1-GA100-ECON-PRICE","register_not_applicable","A100 card, cloud, DGX/HGX and secondary-market prices cannot be divided down to the die."
"FIELD-ID-ARCH","identity","value","REQ-R1-GA100-ID-ARCH","accept_relation_projection","Project architecture field must project from the relationship and must not create an Ampere text fact."
"FIELD-ID-AVAILABILITY-DATE","identity","pending","REQ-R1-GA100-ID-AVAIL","keep_pending_verification","A100 product availability cannot automatically become the die availability date."
"FIELD-ID-DATA-CUTOFF","identity","pending","REQ-R1-GA100-ID-DATA-CUTOFF","accept_project_metadata","Administrative metadata, not a vendor specification."
"FIELD-ID-DEPLOYMENT","identity","pending","coverage_only","keep_pending_verification","A100/A30 use can support later relationships, DGX/HGX deployments are system facts."
"FIELD-ID-DEPLOYMENT-CONSTRAINT","identity","not_applicable","coverage_only","register_not_applicable","Board power, cooling, host and network constraints belong to module/card/system objects."
"FIELD-ID-DESIGN-OBJECTIVE","identity","pending","coverage_only","keep_pending_verification","Strong-scaling and throughput objectives in the sources are mainly expressed for A100."
"FIELD-ID-FAMILY","identity","value","FACT-R1-GA100-ID-FAMILY|REQ-R1-GA100-ID-FAMILY","accept_direct","The whitepaper and MIG support mapping stabilize the GA100 identity."
"FIELD-ID-MARKET-ACCESS-CONSTRAINT","identity","pending","coverage_only","keep_pending_verification","No field-specific market-access search was completed, do not infer from A100 regional sales."
"FIELD-ID-NAME","identity","value","FACT-R1-GA100-ID-NAME|REQ-R1-GA100-ID-NAME","accept_direct","The object name must remain distinct from A100 products and from the Ampere architecture object."
"FIELD-ID-OBJECT-TYPE","identity","value","FACT-R1-GA100-ID-TYPE|REQ-R1-GA100-ID-TYPE","accept_direct","Die photo and direct GA100 GPU wording support the physical-object interpretation."
"FIELD-ID-REGION","identity","not_applicable","coverage_only","register_not_applicable","Regional A100 products would require separate product objects."
"FIELD-ID-RELEASE-DATE","identity","pending","coverage_only","keep_pending_verification","The fixed whitepaper source has no accepted publication_date and the press release is product-scoped."
"FIELD-ID-SKU","identity","not_applicable","coverage_only","register_not_applicable","GA100-xxx device identifiers and A100 SKUs belong to product implementations or relationships."
"FIELD-ID-STATUS","identity","pending","REQ-R1-GA100-ID-STATUS","accept_project_metadata","This is the project scope status, not a claim of separate die market availability."
"FIELD-ID-TARGET-USE-POSITIONING","identity","pending","coverage_only","keep_pending_verification","Training, inference and HPC positioning is public for A100 products, it should not be copied to the die without explicit scope."
"FIELD-ID-VENDOR","identity","value","FACT-R1-GA100-ID-VENDOR|REQ-R1-GA100-ID-VENDOR","accept_direct","Direct first-party identity evidence."
"FIELD-ID-VENDOR-POSITIONING","identity","pending","coverage_only","keep_pending_verification","Do not use A100 or DGX marketing copy as an unconditional die position."
"FIELD-INT-AGGREGATE-BW","interconnect","excluded","coverage_only","exclude_out_of_scope","The value is not full-GA100 single-direction injection or a system bisection bandwidth."
"FIELD-INT-BISECTION-BW","interconnect","not_found","coverage_only","register_not_found_after_search_log","Available bisection claims are system/topology values, not die facts."
"FIELD-INT-COLLECTIVE","interconnect","not_found","coverage_only","register_not_found_after_search_log","NCCL or Cooperative Groups software support does not prove network collective offload."
"FIELD-INT-DEGREE","interconnect","not_found","coverage_only","register_not_found_after_search_log","No die-level topology degree was disclosed."
"FIELD-INT-FAULT","interconnect","value","FACT-R1-GA100-AMPERE-NVLINK-FAULT|REQ-R1-GA100-AMPERE-NVLINK-FAULT","reuse_via_architecture","Do not generalize link fault handling to compute replay or job restart."
"FIELD-INT-HOPS","interconnect","not_found","coverage_only","register_not_found_after_search_log","No qualified die-level hop count was found."
"FIELD-INT-INJECTION-BW","interconnect","excluded","coverage_only","exclude_out_of_scope","Keep only on an A100 implementation or product record."
"FIELD-INT-LANE-COUNT","interconnect","value","coverage_only","reuse_via_architecture","Lane/signal-pair wording belongs to the link mechanism, not the GA100 object."
"FIELD-INT-LATENCY","interconnect","not_found","coverage_only","register_not_found_after_search_log","Tens of nanoseconds saved by avoiding FEC is a relative delta, not an absolute latency."
"FIELD-INT-LINK-COUNT","interconnect","pending","coverage_only","keep_pending_verification","Figure 6 shows 12 labels, while direct text with 12 links is A100-scoped."
"FIELD-INT-MAX-SCALE","interconnect","not_applicable","coverage_only","register_not_applicable","Maximum GPU, rack or pod scale is an upper-object property."
"FIELD-INT-OVERSUBSCRIPTION","interconnect","not_applicable","coverage_only","register_not_applicable","Non-blocking DGX topology is a system property."
"FIELD-INT-PER-LINK-RATE","interconnect","value","coverage_only","reuse_via_architecture","Do not call 50 Gbit/s the complete logical-link payload without the lane definition."
"FIELD-INT-PHYSICAL-LINK-COUNT","interconnect","pending","coverage_only","keep_pending_verification","Do not promote A100 enabled link count or block-diagram counting to an unconditional full-die value."
"FIELD-INT-PROTOCOL","interconnect","value","FACT-R1-GA100-PCIE-PROTOCOL|REQ-R1-GA100-PCIE-PROTOCOL","reuse_via_architecture|accept_direct","Existing formal protocol fact remains on the architecture link. | Do not add A100 PCIe x16 31.5 GB/s or SR-IOV values without product/software conditions."
"FIELD-INT-REMOTE-MEMORY","interconnect","value","coverage_only","reuse_via_architecture","Remote-memory mechanism does not supply latency, sustained bandwidth or a complete consistency model."
"FIELD-INT-TOPOLOGY","interconnect","not_found","coverage_only","register_not_found_after_search_log","Block diagrams do not state a formal on-chip topology or routing model."
"FIELD-INT-TOPOLOGY-DIMENSIONS","interconnect","not_found","coverage_only","register_not_found_after_search_log","No formal dimension count was disclosed."
"FIELD-INT-TOPOLOGY-NODE-COUNT","interconnect","not_found","coverage_only","register_not_found_after_search_log","Component counts cannot be relabeled as topology nodes."
"FIELD-INT-TOPOLOGY-ROUTING","interconnect","not_found","coverage_only","register_not_found_after_search_log","No die-level routing algorithm was found."
"FIELD-MEM-AGGREGATION-VALIDITY","memory","value","FACT-R1-GA100-REG-AGGREGATION|REQ-R1-GA100-REG-AGGREGATION","accept_direct","Use the registered enum. Per-SM capacities must not become one software-visible shared pool."
"FIELD-MEM-BANKS","memory","not_found","coverage_only","register_not_found_after_search_log","L2 slices, MIG groups and resource groups are not interchangeable with bank count."
"FIELD-MEM-BIDIR-BW","memory","not_found","coverage_only","register_not_found_after_search_log","HBM nameplate bandwidth belongs to A100 product configurations."
"FIELD-MEM-CAPACITY","memory","value","FACT-R1-GA100-REG-CAPACITY-PER-SM|FACT-R1-GA100-L1SMEM-CAPACITY-PER-SM|REQ-R1-GA100-REG-CAPACITY-PER-SM|REQ-R1-GA100-L1SMEM-CAPACITY-PER-SM","accept_direct|exclude_out_of_scope","Figure 7 and the whitepaper directly support GA100 SM capacities. | These values cannot become unconditional full-GA100 capacities."
"FIELD-MEM-COMPRESSION","memory","conditional","coverage_only","accept_conditional_observation","Keep separate from structured sparse MMA and do not multiply base bandwidth or capacity by 2x-4x."
"FIELD-MEM-CONSISTENCY","memory","conditional","coverage_only","accept_conditional_observation","The statement is not a published full-GA100 physical coherence protocol."
"FIELD-MEM-DMA","memory","value","FACT-M2NA-AMPERE-ASYNC-EXEC|REQ-M2NA-AVAIL-0005","reuse_via_architecture","Repair the existing fact from execution-model to DMA before reuse."
"FIELD-MEM-GRANULARITY","memory","conditional","coverage_only","accept_conditional_observation","These are API/product control granularities, not a universal cache-line or transaction size."
"FIELD-MEM-INSTANCE-COUNT","memory","value","FACT-R1-GA100-REG-INSTANCE-COUNT-PER-SM|REQ-R1-GA100-REG-INSTANCE-COUNT-PER-SM","accept_direct","Do not turn A100 L2 slices or 2024 resource groups into full-GA100 instance counts."
"FIELD-MEM-LATENCY","memory","conditional","coverage_only","accept_conditional_observation","Canonical field unit is seconds while source reports cycles, formal import requires unit-contract resolution."
"FIELD-MEM-LOCALITY-SCOPE","memory","value","coverage_only","reuse_via_architecture","Use the registered enum and do not aggregate per-instance capacity to a whole-die shared pool."
"FIELD-MEM-MANAGEMENT","memory","value","coverage_only","reuse_via_architecture|accept_conditional_observation","Use the registered enum for the combined hardware-cache and configurable shared-memory resource. | The control affects cache persistence policy, numerical set-aside limits remain A100-conditioned."
"FIELD-MEM-NAME","memory","value","coverage_only","accept_direct","Create distinct components and keep the A100 L2 capacity outside the unconditional die value."
"FIELD-MEM-POOLING-MODE","memory","conditional","coverage_only","accept_conditional_observation","Use the registered enum. Two physical partitions are not two independently allocatable pools."
"FIELD-MEM-PORTS","memory","not_found","coverage_only","register_not_found_after_search_log","Scheduler, crossbar and memory-controller labels do not disclose port counts."
"FIELD-MEM-READ-BW","memory","conditional","REQ-M2NA-GAP-0109|REQ-M2NA-GAP-0111|REQ-M2NA-GAP-0113","accept_conditional_observation","Product-level approximate observations only, no GA100 die nameplate or sustained bandwidth."
"FIELD-MEM-READ-TRANSFER-PER-CYCLE","memory","conditional","coverage_only","accept_conditional_observation","The value is not an Ampere-generation constant or a full-GA100 direct fact."
"FIELD-MEM-READ-WRITE-MODEL","memory","not_found","coverage_only","register_not_found_after_search_log","Separate read/write behavior is not sufficiently disclosed."
"FIELD-MEM-USABLE-CAPACITY","memory","conditional","coverage_only","accept_conditional_observation","This software-visible allocation is not the full physical 192 KB combined resource and not a whole-die usable capacity."
"FIELD-MEM-VIRTUAL-MEMORY","memory","conditional","coverage_only","accept_conditional_observation","Separate the direct measurement from the inferred TLB ownership, do not register 14 TLB instances."
"FIELD-MEM-WRITE-BW","memory","not_found","REQ-M2NA-GAP-0110|REQ-M2NA-GAP-0112|REQ-M2NA-GAP-0114","register_not_found_after_search_log","Compression upper bounds and HBM product labels do not give a GA100 component write bandwidth."
"FIELD-MEM-WRITE-TRANSFER-PER-CYCLE","memory","not_found","coverage_only","register_not_found_after_search_log","No qualified per-cycle write transfer was found."
"FIELD-NUM-ACCUMULATION","numerics","value","FACT-R1-GA100-AMPERE-FP64-ACC|FACT-R1-GA100-AMPERE-INT8-ACC|FACT-R1-GA100-AMPERE-INT4-ACC|FACT-R1-GA100-AMPERE-BINARY-ACC|FACT-R1-GA100-FP16-ACC|REQ-R1-GA100-AMPERE-FP64-ACC|REQ-R1-GA100-AMPERE-INT8-ACC|REQ-R1-GA100-AMPERE-INT4-ACC|REQ-R1-GA100-AMPERE-BINARY-ACC|REQ-R1-GA100-FP16-ACC","reuse_via_architecture","Use repaired path-complete facts and do not label them physical accumulator widths."
"FIELD-NUM-CONVERSION","numerics","value","FACT-R1-GA100-AMPERE-TF32-CONVERSION|REQ-R1-GA100-AMPERE-TF32-CONVERSION","reuse_via_architecture","Keep conversion separate from operand identity and output storage."
"FIELD-NUM-OPERAND-A","numerics","value","FACT-M2NA-AMPERE-TF32-A|FACT-M2NA-AMPERE-INT-A|FACT-R1-GA100-AMPERE-INT4-A|FACT-R1-GA100-AMPERE-BINARY-A|FACT-R1-GA100-FP16-A|REQ-M2NA-AVAIL-0013|REQ-M2NA-AVAIL-0016|REQ-R1-GA100-AMPERE-INT4-A|REQ-R1-GA100-AMPERE-BINARY-A|REQ-R1-GA100-FP16-A","reuse_via_architecture","Complete the formal repair and split INT8, INT4 and Binary."
"FIELD-NUM-OPERAND-B","numerics","value","FACT-R1-GA100-AMPERE-BF16-B|FACT-R1-GA100-AMPERE-TF32-B|FACT-R1-GA100-AMPERE-FP64-B|FACT-R1-GA100-AMPERE-INT8-B|FACT-R1-GA100-AMPERE-INT4-B|FACT-R1-GA100-AMPERE-BINARY-B|FACT-R1-GA100-FP16-B|REQ-R1-GA100-AMPERE-BF16-B|REQ-R1-GA100-AMPERE-TF32-B|REQ-R1-GA100-AMPERE-FP64-B|REQ-R1-GA100-AMPERE-INT8-B|REQ-R1-GA100-AMPERE-INT4-B|REQ-R1-GA100-AMPERE-BINARY-B|REQ-R1-GA100-FP16-B","reuse_via_architecture","Missing B facts must be added on architecture precision paths, not the die object."
"FIELD-NUM-OUTPUT","numerics","value","FACT-R1-GA100-AMPERE-TF32-OUTPUT|REQ-R1-GA100-AMPERE-TF32-OUTPUT","reuse_via_architecture","Do not infer output format from the accumulator column when the source does not say so."
"FIELD-NUM-PHYSICAL-ACCUM","numerics","not_found","REQ-M2NA-GAP-0059|REQ-M2NA-GAP-0060|REQ-M2NA-GAP-0061|REQ-M2NA-GAP-0062|REQ-M2NA-GAP-0063","register_not_found_after_search_log","Programmer-visible accumulator types and SASS mnemonics do not disclose physical width."
"FIELD-NUM-PRODUCT","numerics","not_found","coverage_only","register_not_found_after_search_log","Input and accumulator formats do not prove product encoding."
"FIELD-NUM-ROUNDING","numerics","not_found","coverage_only","register_not_found_after_search_log","Do not infer IEEE rounding from format names."
"FIELD-NUM-SATURATION","numerics","not_found","coverage_only","register_not_found_after_search_log","No complete path-specific saturation or overflow rule was established."
"FIELD-NUM-SCALING-GRANULARITY","numerics","not_found","coverage_only","register_not_found_after_search_log","Library quantization scale choices are not a disclosed GA100 hardware granularity."
"FIELD-NUM-SCALING-MODE","numerics","not_found","coverage_only","register_not_found_after_search_log","No per-tensor/per-block hardware scaling mode was established."
"FIELD-NUM-SPARSITY","numerics","value","FACT-R1-GA100-AMPERE-SPARSE-FP16|FACT-R1-GA100-AMPERE-SPARSE-BF16|FACT-R1-GA100-AMPERE-SPARSE-TF32|FACT-R1-GA100-AMPERE-SPARSE-INT8|FACT-R1-GA100-AMPERE-SPARSE-INT4|REQ-R1-GA100-AMPERE-SPARSE-FP16|REQ-R1-GA100-AMPERE-SPARSE-BF16|REQ-R1-GA100-AMPERE-SPARSE-TF32|REQ-R1-GA100-AMPERE-SPARSE-INT8|REQ-R1-GA100-AMPERE-SPARSE-INT4","reuse_via_architecture","Use the registered enum and keep the pattern in the condition. Do not claim runtime pruning."
"FIELD-NUM-SUBNORMAL","numerics","not_found","coverage_only","register_not_found_after_search_log","No complete source-backed subnormal rule was established."
"FIELD-PHY-CLOCK","physical","not_found","REQ-R1-GA100-PHY-CLOCK","register_not_found_after_search_log","A100 1.41 GHz boost is a product-performance condition, not a full-design die clock."
"FIELD-PHY-COOLING","physical","not_applicable","REQ-R1-GA100-PHY-COOLING","register_not_applicable","Cooling is specified for cards, modules and systems."
"FIELD-PHY-DIE-AREA","physical","value","FACT-R1-GA100-PHY-AREA|REQ-R1-GA100-PHY-AREA","accept_direct","Whitepaper direct GA100 wording and ISSCC A100-die identity chain agree."
"FIELD-PHY-DIE-COUNT","physical","pending","REQ-R1-GA100-PHY-DIE-COUNT","keep_pending_verification","Die photo and naming suggest a monolithic die but a direct atomic count statement has not been frozen."
"FIELD-PHY-FORM-FACTOR","physical","not_applicable","REQ-R1-GA100-PHY-FORM-FACTOR","register_not_applicable","SXM4 and PCIe are module/card forms."
"FIELD-PHY-FOUNDRY","physical","value","FACT-R1-GA100-PHY-FOUNDRY|REQ-R1-GA100-PHY-FOUNDRY","accept_direct","Direct first-party physical-implementation evidence."
"FIELD-PHY-HBM-INTERFACE","physical","pending","REQ-R1-GA100-PHY-HBM-INTERFACE","keep_pending_verification","Twelve 512-bit memory controllers may be recorded as components, do not silently derive a 6144-bit total for this field."
"FIELD-PHY-HBM-STACKS","physical","not_applicable","REQ-R1-GA100-PHY-HBM-STACKS","register_not_applicable","Full-GA100 six HBM sites/stacks and A100 five active stacks are not die-contained memory."
"FIELD-PHY-INTERPOSER","physical","not_applicable","REQ-R1-GA100-PHY-INTERPOSER","register_not_applicable","Interposer or substrate belongs to package/module modeling."
"FIELD-PHY-PACKAGE","physical","not_applicable","REQ-R1-GA100-PHY-PACKAGE","register_not_applicable","Package style is not a property of the frozen bare-die object."
"FIELD-PHY-POWER","physical","not_found","REQ-R1-GA100-PHY-POWER","register_not_found_after_search_log","A100 250/300/400 W values are card/module power."
"FIELD-PHY-PROCESS","physical","value","FACT-R1-GA100-PHY-PROCESS|REQ-R1-GA100-PHY-PROCESS","accept_direct","Use the original N7 label and keep foundry in its own field."
"FIELD-PHY-TRANSISTORS","physical","value","FACT-R1-GA100-PHY-TRANSISTORS|REQ-R1-GA100-PHY-TRANSISTORS","accept_direct","ISSCC 54B is a rounded assertion, not a separate conflict."
"FIELD-RAS-CAPABILITY","reliability","value","FACT-R1-GA100-RAS-DPO|REQ-R1-GA100-RAS-DPO","accept_direct","Split mechanisms and conditions instead of storing a generic supports-RAS sentence."
"FIELD-RAS-CHECKPOINT-RESTART","reliability","pending","REQ-R1-GA100-RAS-CKPT","keep_pending_verification","The 2020 MIG Migration description does not prove delivered general checkpoint/restart or live migration."
"FIELD-RAS-CORRECTION-REPLAY","reliability","value","FACT-R1-GA100-RAS-ROW-REMAP|REQ-R1-GA100-RAS-ROW-REMAP","reuse_via_architecture|accept_conditional_observation","Link packet replay must not become compute replay or job restart. | Do not describe row remapping as a pure on-die autonomous repair."
"FIELD-RAS-ECC","reliability","conditional","coverage_only","accept_conditional_observation","The source does not state a full-GA100 all-state ECC map."
"FIELD-RAS-ERROR-DETECTION","reliability","value","FACT-R1-GA100-RAS-DETECTION|REQ-R1-GA100-RAS-DETECTION","reuse_via_architecture|accept_conditional_observation","ISSCC no-FEC BER is PHY context, not the detector mechanism itself. | The public document does not disclose detector circuit, page size or firmware division."
"FIELD-RAS-FAULT-ISOLATION","reliability","value","FACT-R1-GA100-RAS-CONTAINMENT|REQ-R1-GA100-RAS-CONTAINMENT","accept_direct|accept_conditional_observation","Keep the uncontained-error exception so containment is not stated as absolute. | Do not claim complete CI isolation or a quantitative error-coverage guarantee."
"FIELD-RAS-PROTECTION-SCOPE","reliability","conditional","coverage_only","accept_conditional_observation","No source supports a blanket all-chip protection statement."
"FIELD-RAS-RECOVERY","reliability","conditional","FACT-R1-GA100-RAS-RECOVERY|REQ-R1-GA100-RAS-RECOVERY","accept_conditional_observation","Store the process chain and the conditions rather than independent unconditional die capabilities."
"FIELD-RAS-SILENT-DATA-ERROR","reliability","not_found","REQ-R1-GA100-RAS-SDE","register_not_found_after_search_log","Memory ECC and link replay do not establish Tensor/CUDA Core silent-error coverage."
"FIELD-RAS-TELEMETRY-BIST","reliability","conditional","REQ-R1-GA100-RAS-BIST","accept_conditional_observation|register_not_found_after_search_log","Telemetry is documented, counter meanings and interface versions must be retained. | Field Diagnostic and RMA policy do not prove die-internal BIST."
"FIELD-REL-QUANTITY","relationship","not_applicable","REQ-R1-GA100-REL-QUANTITY","register_not_applicable","Do not create quantity=1 merely because one architecture relation is currently modeled."
"FIELD-SW-CHIP-BOUND-SCHEDULING","software","conditional","coverage_only","accept_conditional_observation","Do not infer queue structure, fairness, preemption latency or serving policy."
"FIELD-SW-COMMUNICATION-LIBRARY","software","pending","coverage_only","keep_pending_verification","Freeze a version before recording same-GPU P2P, cross-GPU limits or current NCCL support."
"FIELD-SW-COMPILER","software","conditional","coverage_only","accept_conditional_observation","Documented compiler/target support is distinct from framework or application validation."
