"fact_id","object_id","component_id","link_id","object_relation_id","precision_path_id","capability_id","topology_id","field_id","normalized_value_text","normalized_value_number","normalized_unit","condition_set_id","fact_kind","evidence_state","resolution_state","valid_from","valid_to","confidence","confidence_reason","fact_fingerprint","review_status","notes"
"FACT-R1-GA100-AMPERE-TF32-B","","","","","PPATH-M2NA-AMPERE-TENSOR-TF32","","","FIELD-NUM-OPERAND-B","TF32","","","COND-NONE","direct_statement","single_source","provisional","","","high","Direct fixed-source statement.","precision_path|PPATH-M2NA-AMPERE-TENSOR-TF32|FIELD-NUM-OPERAND-B|TF32|||COND-NONE","draft","Programmer-visible contract. No physical internal accumulator or output format is inferred unless the field says so."
"FACT-R1-GA100-AMPERE-TF32-CONVERSION","","","","","PPATH-M2NA-AMPERE-TENSOR-TF32","","","FIELD-NUM-CONVERSION","FP32 input data are converted to TF32 for Tensor Core multiplication, while surrounding input and output storage remains FP32.","","","COND-NONE","direct_statement","single_source","provisional","","","high","Direct fixed-source statement.","precision_path|PPATH-M2NA-AMPERE-TENSOR-TF32|FIELD-NUM-CONVERSION|FP32 input data are converted to TF32 for Tensor Core multiplication, while surrounding input and output storage remains FP32.|||COND-NONE","draft","Programmer-visible contract. No physical internal accumulator or output format is inferred unless the field says so."
"FACT-R1-GA100-AMPERE-TF32-OUTPUT","","","","","PPATH-M2NA-AMPERE-TENSOR-TF32","","","FIELD-NUM-OUTPUT","FP32","","","COND-NONE","direct_statement","single_source","provisional","","","high","Direct fixed-source statement.","precision_path|PPATH-M2NA-AMPERE-TENSOR-TF32|FIELD-NUM-OUTPUT|FP32|||COND-NONE","draft","Programmer-visible contract. No physical internal accumulator or output format is inferred unless the field says so."
"FACT-R1-GA100-AMPERE-FP64-B","","","","","PPATH-M2NA-AMPERE-TENSOR-FP64","","","FIELD-NUM-OPERAND-B","IEEE FP64","","","COND-NONE","direct_statement","single_source","provisional","","","high","Direct fixed-source statement.","precision_path|PPATH-M2NA-AMPERE-TENSOR-FP64|FIELD-NUM-OPERAND-B|IEEE FP64|||COND-NONE","draft","Programmer-visible contract. No physical internal accumulator or output format is inferred unless the field says so."
"FACT-R1-GA100-AMPERE-FP64-ACC","","","","","PPATH-M2NA-AMPERE-TENSOR-FP64","","","FIELD-NUM-ACCUMULATION","IEEE FP64","","","COND-NONE","direct_statement","single_source","provisional","","","high","Direct fixed-source statement.","precision_path|PPATH-M2NA-AMPERE-TENSOR-FP64|FIELD-NUM-ACCUMULATION|IEEE FP64|||COND-NONE","draft","Programmer-visible contract. No physical internal accumulator or output format is inferred unless the field says so."
"FACT-R1-GA100-AMPERE-INT8-B","","","","","PPATH-M2NA-AMPERE-TENSOR-INT8","","","FIELD-NUM-OPERAND-B","INT8","","","COND-NONE","direct_statement","single_source","provisional","","","high","Direct fixed-source statement.","precision_path|PPATH-M2NA-AMPERE-TENSOR-INT8|FIELD-NUM-OPERAND-B|INT8|||COND-NONE","draft","Programmer-visible contract. No physical internal accumulator or output format is inferred unless the field says so."
"FACT-R1-GA100-AMPERE-INT8-ACC","","","","","PPATH-M2NA-AMPERE-TENSOR-INT8","","","FIELD-NUM-ACCUMULATION","INT32","","","COND-NONE","direct_statement","single_source","provisional","","","high","Direct fixed-source statement.","precision_path|PPATH-M2NA-AMPERE-TENSOR-INT8|FIELD-NUM-ACCUMULATION|INT32|||COND-NONE","draft","Programmer-visible contract. No physical internal accumulator or output format is inferred unless the field says so."
"FACT-R1-GA100-AMPERE-INT4-A","","","","","PPATH-R1-GA100-AMPERE-TENSOR-INT4","","","FIELD-NUM-OPERAND-A","INT4","","","COND-NONE","direct_statement","single_source","provisional","","","high","Direct fixed-source statement.","precision_path|PPATH-R1-GA100-AMPERE-TENSOR-INT4|FIELD-NUM-OPERAND-A|INT4|||COND-NONE","draft","Programmer-visible contract. No physical internal accumulator or output format is inferred unless the field says so."
"FACT-R1-GA100-AMPERE-INT4-B","","","","","PPATH-R1-GA100-AMPERE-TENSOR-INT4","","","FIELD-NUM-OPERAND-B","INT4","","","COND-NONE","direct_statement","single_source","provisional","","","high","Direct fixed-source statement.","precision_path|PPATH-R1-GA100-AMPERE-TENSOR-INT4|FIELD-NUM-OPERAND-B|INT4|||COND-NONE","draft","Programmer-visible contract. No physical internal accumulator or output format is inferred unless the field says so."
"FACT-R1-GA100-AMPERE-INT4-ACC","","","","","PPATH-R1-GA100-AMPERE-TENSOR-INT4","","","FIELD-NUM-ACCUMULATION","INT32","","","COND-NONE","direct_statement","single_source","provisional","","","high","Direct fixed-source statement.","precision_path|PPATH-R1-GA100-AMPERE-TENSOR-INT4|FIELD-NUM-ACCUMULATION|INT32|||COND-NONE","draft","Programmer-visible contract. No physical internal accumulator or output format is inferred unless the field says so."
"FACT-R1-GA100-AMPERE-BINARY-A","","","","","PPATH-R1-GA100-AMPERE-TENSOR-BINARY","","","FIELD-NUM-OPERAND-A","Binary","","","COND-NONE","direct_statement","single_source","provisional","","","high","Direct fixed-source statement.","precision_path|PPATH-R1-GA100-AMPERE-TENSOR-BINARY|FIELD-NUM-OPERAND-A|Binary|||COND-NONE","draft","Programmer-visible contract. No physical internal accumulator or output format is inferred unless the field says so."
"FACT-R1-GA100-AMPERE-BINARY-B","","","","","PPATH-R1-GA100-AMPERE-TENSOR-BINARY","","","FIELD-NUM-OPERAND-B","Binary","","","COND-NONE","direct_statement","single_source","provisional","","","high","Direct fixed-source statement.","precision_path|PPATH-R1-GA100-AMPERE-TENSOR-BINARY|FIELD-NUM-OPERAND-B|Binary|||COND-NONE","draft","Programmer-visible contract. No physical internal accumulator or output format is inferred unless the field says so."
"FACT-R1-GA100-AMPERE-BINARY-ACC","","","","","PPATH-R1-GA100-AMPERE-TENSOR-BINARY","","","FIELD-NUM-ACCUMULATION","INT32","","","COND-NONE","direct_statement","single_source","provisional","","","high","Direct fixed-source statement.","precision_path|PPATH-R1-GA100-AMPERE-TENSOR-BINARY|FIELD-NUM-ACCUMULATION|INT32|||COND-NONE","draft","Programmer-visible contract. No physical internal accumulator or output format is inferred unless the field says so."
"FACT-R1-GA100-AMPERE-SPARSE-FP16","","","","","PPATH-M2NA-AMPERE-TENSOR-FP16","","","FIELD-NUM-SPARSITY","structured_sparse","","","COND-M2NA-AMPERE-2OF4","direct_statement","single_source","provisional","","","high","Direct fixed-source statement.","precision_path|PPATH-M2NA-AMPERE-TENSOR-FP16|FIELD-NUM-SPARSITY|structured_sparse|||COND-M2NA-AMPERE-2OF4","draft","PTX-visible sparse MMA contract. Does not prove runtime pruning, physical selector RTL, or sustained two-times speedup."
"FACT-R1-GA100-AMPERE-SPARSE-BF16","","","","","PPATH-M2NA-AMPERE-TENSOR-BF16","","","FIELD-NUM-SPARSITY","structured_sparse","","","COND-R1-GA100-AMPERE-BF16-SP24","direct_statement","single_source","provisional","","","high","Direct fixed-source statement.","precision_path|PPATH-M2NA-AMPERE-TENSOR-BF16|FIELD-NUM-SPARSITY|structured_sparse|||COND-R1-GA100-AMPERE-BF16-SP24","draft","PTX-visible sparse MMA contract. Does not prove runtime pruning, physical selector RTL, or sustained two-times speedup."
"FACT-R1-GA100-AMPERE-SPARSE-TF32","","","","","PPATH-M2NA-AMPERE-TENSOR-TF32","","","FIELD-NUM-SPARSITY","structured_sparse","","","COND-R1-GA100-AMPERE-TF32-SP12","direct_statement","single_source","provisional","","","high","Direct fixed-source statement.","precision_path|PPATH-M2NA-AMPERE-TENSOR-TF32|FIELD-NUM-SPARSITY|structured_sparse|||COND-R1-GA100-AMPERE-TF32-SP12","draft","PTX-visible sparse MMA contract. Does not prove runtime pruning, physical selector RTL, or sustained two-times speedup."
"FACT-R1-GA100-AMPERE-SPARSE-INT8","","","","","PPATH-M2NA-AMPERE-TENSOR-INT8","","","FIELD-NUM-SPARSITY","structured_sparse","","","COND-R1-GA100-AMPERE-INT8-SP24","direct_statement","single_source","provisional","","","high","Direct fixed-source statement.","precision_path|PPATH-M2NA-AMPERE-TENSOR-INT8|FIELD-NUM-SPARSITY|structured_sparse|||COND-R1-GA100-AMPERE-INT8-SP24","draft","PTX-visible sparse MMA contract. Does not prove runtime pruning, physical selector RTL, or sustained two-times speedup."
"FACT-R1-GA100-AMPERE-SPARSE-INT4","","","","","PPATH-R1-GA100-AMPERE-TENSOR-INT4","","","FIELD-NUM-SPARSITY","structured_sparse","","","COND-R1-GA100-AMPERE-INT4-PAIR48","direct_statement","single_source","provisional","","","high","Direct fixed-source statement.","precision_path|PPATH-R1-GA100-AMPERE-TENSOR-INT4|FIELD-NUM-SPARSITY|structured_sparse|||COND-R1-GA100-AMPERE-INT4-PAIR48","draft","PTX-visible sparse MMA contract. Does not prove runtime pruning, physical selector RTL, or sustained two-times speedup."
"FACT-R1-GA100-AMPERE-SW-MATURITY","OBJ-NVIDIA-AMPERE-ARCH","","","","","","","FIELD-SW-SUPPORT-MATURITY","documented_supported","","","COND-R1-GA100-AMPERE-CUDA110-SM80","direct_statement","corroborated","provisional","","","high","Official CUDA Programming Guide and PTX ISA document the target, without runnable validation.","object|OBJ-NVIDIA-AMPERE-ARCH|FIELD-SW-SUPPORT-MATURITY|documented_supported|||COND-R1-GA100-AMPERE-CUDA110-SM80","draft","Async-copy APIs were experimental in CUDA 11.0. Maturity is not runnable_verified or benchmarked."
"FACT-R1-GA100-AMPERE-REDUCE-LEVEL","","","","","","CAP-R1-GA100-AMPERE-WARP-REDUCE","","FIELD-CAP-IMPLEMENTATION-LEVEL","dedicated_instruction","","","COND-NONE","direct_statement","single_source","provisional","","","high","Direct fixed-source statement.","capability|CAP-R1-GA100-AMPERE-WARP-REDUCE|FIELD-CAP-IMPLEMENTATION-LEVEL|dedicated_instruction|||COND-NONE","draft","Warp-scope reduction only. It does not establish Softmax hardware or network collective offload."
"FACT-R1-GA100-AMPERE-REDUCE-DETAIL","","","","","","CAP-R1-GA100-AMPERE-WARP-REDUCE","","FIELD-CAP-IMPLEMENTATION-DETAIL","Warp-wide reduction instruction supports arithmetic ADD, MIN, and MAX and logical AND, OR, and XOR.","","","COND-NONE","direct_statement","single_source","provisional","","","high","Direct fixed-source statement.","capability|CAP-R1-GA100-AMPERE-WARP-REDUCE|FIELD-CAP-IMPLEMENTATION-DETAIL|Warp-wide reduction instruction supports arithmetic ADD, MIN, and MAX and logical AND, OR, and XOR.|||COND-NONE","draft","Warp-scope reduction only. It does not establish Softmax hardware or network collective offload."
"FACT-R1-GA100-AMPERE-REDUCE-LIMIT","","","","","","CAP-R1-GA100-AMPERE-WARP-REDUCE","","FIELD-CAP-LIMITATION","Other data types or reduction operations use a software implementation.","","","COND-NONE","direct_statement","single_source","provisional","","","high","Direct fixed-source statement.","capability|CAP-R1-GA100-AMPERE-WARP-REDUCE|FIELD-CAP-LIMITATION|Other data types or reduction operations use a software implementation.|||COND-NONE","draft","Warp-scope reduction only. It does not establish Softmax hardware or network collective offload."
"FACT-R1-GA100-ID-NAME","OBJ-NVIDIA-GA100-DIE","","","","","","","FIELD-ID-NAME","NVIDIA GA100","","","COND-NONE","direct_statement","corroborated","provisional","","","high","Fixed NVIDIA whitepaper direct statement.","object|OBJ-NVIDIA-GA100-DIE|FIELD-ID-NAME|NVIDIA GA100|||COND-NONE","draft","Frozen full-die subject. No A100 enabled, package, HBM, clock, power, or product peak is imported."
"FACT-R1-GA100-ID-FAMILY","OBJ-NVIDIA-GA100-DIE","","","","","","","FIELD-ID-FAMILY","GA100","","","COND-NONE","direct_statement","corroborated","provisional","","","high","Fixed NVIDIA whitepaper direct statement.","object|OBJ-NVIDIA-GA100-DIE|FIELD-ID-FAMILY|GA100|||COND-NONE","draft","Frozen full-die subject. No A100 enabled, package, HBM, clock, power, or product peak is imported."
"FACT-R1-GA100-ID-TYPE","OBJ-NVIDIA-GA100-DIE","","","","","","","FIELD-ID-OBJECT-TYPE","die","","","COND-NONE","direct_statement","single_source","provisional","","","high","Fixed NVIDIA whitepaper direct statement.","object|OBJ-NVIDIA-GA100-DIE|FIELD-ID-OBJECT-TYPE|die|||COND-NONE","draft","Frozen full-die subject. No A100 enabled, package, HBM, clock, power, or product peak is imported."
"FACT-R1-GA100-ID-VENDOR","OBJ-NVIDIA-GA100-DIE","","","","","","","FIELD-ID-VENDOR","NVIDIA","","","COND-NONE","direct_statement","single_source","provisional","","","high","Fixed NVIDIA whitepaper direct statement.","object|OBJ-NVIDIA-GA100-DIE|FIELD-ID-VENDOR|NVIDIA|||COND-NONE","draft","Frozen full-die subject. No A100 enabled, package, HBM, clock, power, or product peak is imported."
"FACT-R1-GA100-PHY-FOUNDRY","OBJ-NVIDIA-GA100-DIE","","","","","","","FIELD-PHY-FOUNDRY","TSMC","","","COND-R1-GA100-FULL-DIE","direct_statement","single_source","provisional","","","high","Fixed NVIDIA whitepaper direct statement.","object|OBJ-NVIDIA-GA100-DIE|FIELD-PHY-FOUNDRY|TSMC|||COND-R1-GA100-FULL-DIE","draft","Frozen full-die subject. No A100 enabled, package, HBM, clock, power, or product peak is imported."
"FACT-R1-GA100-PHY-PROCESS","OBJ-NVIDIA-GA100-DIE","","","","","","","FIELD-PHY-PROCESS","TSMC 7 nm N7","","","COND-R1-GA100-FULL-DIE","direct_statement","corroborated","provisional","","","high","Fixed NVIDIA whitepaper direct statement.","object|OBJ-NVIDIA-GA100-DIE|FIELD-PHY-PROCESS|TSMC 7 nm N7|||COND-R1-GA100-FULL-DIE","draft","Frozen full-die subject. No A100 enabled, package, HBM, clock, power, or product peak is imported."
"FACT-R1-GA100-PHY-AREA","OBJ-NVIDIA-GA100-DIE","","","","","","","FIELD-PHY-DIE-AREA","","826","mm2","COND-R1-GA100-FULL-DIE","direct_statement","corroborated","provisional","","","high","Fixed NVIDIA whitepaper direct statement.","object|OBJ-NVIDIA-GA100-DIE|FIELD-PHY-DIE-AREA||826|mm2|COND-R1-GA100-FULL-DIE","draft","Frozen full-die subject. No A100 enabled, package, HBM, clock, power, or product peak is imported."
"FACT-R1-GA100-PHY-TRANSISTORS","OBJ-NVIDIA-GA100-DIE","","","","","","","FIELD-PHY-TRANSISTORS","","54200000000","count","COND-R1-GA100-FULL-DIE","direct_statement","source_with_caveat","provisional","","","high","Fixed NVIDIA whitepaper direct statement with a compatible but rounded ISSCC qualifier.","object|OBJ-NVIDIA-GA100-DIE|FIELD-PHY-TRANSISTORS||54200000000|count|COND-R1-GA100-FULL-DIE","draft","Frozen full-die subject. No A100 enabled, package, HBM, clock, power, or product peak is imported."
"FACT-R1-GA100-COMP-NAME-GPC","","COMP-R1-GA100-GPC","","","","","","FIELD-COMP-UNIT-NAME","GA100 Graphics Processing Cluster","","","COND-R1-GA100-FULL-DIE","direct_statement","single_source","provisional","","","high","Direct fixed-source statement.","component|COMP-R1-GA100-GPC|FIELD-COMP-UNIT-NAME|GA100 Graphics Processing Cluster|||COND-R1-GA100-FULL-DIE","draft","Entity name only. Counts and performance require separate facts."
"FACT-R1-GA100-COMP-NAME-TPC","","COMP-R1-GA100-TPC","","","","","","FIELD-COMP-UNIT-NAME","GA100 Texture Processing Cluster","","","COND-R1-GA100-FULL-DIE","direct_statement","single_source","provisional","","","high","Direct fixed-source statement.","component|COMP-R1-GA100-TPC|FIELD-COMP-UNIT-NAME|GA100 Texture Processing Cluster|||COND-R1-GA100-FULL-DIE","draft","Entity name only. Counts and performance require separate facts."
"FACT-R1-GA100-COMP-NAME-SM","","COMP-R1-GA100-SM","","","","","","FIELD-COMP-UNIT-NAME","GA100 Streaming Multiprocessor","","","COND-R1-GA100-FULL-DIE","direct_statement","single_source","provisional","","","high","Direct fixed-source statement.","component|COMP-R1-GA100-SM|FIELD-COMP-UNIT-NAME|GA100 Streaming Multiprocessor|||COND-R1-GA100-FULL-DIE","draft","Entity name only. Counts and performance require separate facts."
"FACT-R1-GA100-COMP-NAME-FP32","","COMP-R1-GA100-FP32","","","","","","FIELD-COMP-UNIT-NAME","GA100 FP32 CUDA Core","","","COND-R1-GA100-FULL-DIE","direct_statement","single_source","provisional","","","high","Direct fixed-source statement.","component|COMP-R1-GA100-FP32|FIELD-COMP-UNIT-NAME|GA100 FP32 CUDA Core|||COND-R1-GA100-FULL-DIE","draft","Entity name only. Counts and performance require separate facts."
"FACT-R1-GA100-COMP-NAME-TENSOR","","COMP-R1-GA100-TENSOR","","","","","","FIELD-COMP-UNIT-NAME","GA100 third-generation Tensor Core","","","COND-R1-GA100-FULL-DIE","direct_statement","single_source","provisional","","","high","Direct fixed-source statement.","component|COMP-R1-GA100-TENSOR|FIELD-COMP-UNIT-NAME|GA100 third-generation Tensor Core|||COND-R1-GA100-FULL-DIE","draft","Entity name only. Counts and performance require separate facts."
"FACT-R1-GA100-COMP-NAME-MEMCTRL","","COMP-R1-GA100-MEMCTRL","","","","","","FIELD-COMP-UNIT-NAME","GA100 512-bit memory controller","","","COND-R1-GA100-FULL-DIE","direct_statement","single_source","provisional","","","high","Direct fixed-source statement.","component|COMP-R1-GA100-MEMCTRL|FIELD-COMP-UNIT-NAME|GA100 512-bit memory controller|||COND-R1-GA100-FULL-DIE","draft","Entity name only. Counts and performance require separate facts."
"FACT-R1-GA100-COMP-NAME-REG","","COMP-R1-GA100-REG","","","","","","FIELD-COMP-UNIT-NAME","GA100 SM register file","","","COND-R1-GA100-FULL-DIE","direct_statement","single_source","provisional","","","high","Direct fixed-source statement.","component|COMP-R1-GA100-REG|FIELD-COMP-UNIT-NAME|GA100 SM register file|||COND-R1-GA100-FULL-DIE","draft","Entity name only. Counts and performance require separate facts."
"FACT-R1-GA100-COMP-NAME-L1SMEM","","COMP-R1-GA100-L1SMEM","","","","","","FIELD-COMP-UNIT-NAME","GA100 unified L1 data cache and shared memory","","","COND-R1-GA100-FULL-DIE","direct_statement","single_source","provisional","","","high","Direct fixed-source statement.","component|COMP-R1-GA100-L1SMEM|FIELD-COMP-UNIT-NAME|GA100 unified L1 data cache and shared memory|||COND-R1-GA100-FULL-DIE","draft","Entity name only. Counts and performance require separate facts."
"FACT-R1-GA100-COMP-NAME-L2","","COMP-R1-GA100-L2","","","","","","FIELD-COMP-UNIT-NAME","GA100 L2 cache","","","COND-R1-GA100-FULL-DIE","direct_statement","single_source","provisional","","","high","Direct fixed-source statement.","component|COMP-R1-GA100-L2|FIELD-COMP-UNIT-NAME|GA100 L2 cache|||COND-R1-GA100-FULL-DIE","draft","Entity name only. Counts and performance require separate facts."
"FACT-R1-GA100-COMP-NAME-OFA","","COMP-R1-GA100-OFA","","","","","","FIELD-COMP-UNIT-NAME","GA100 Optical Flow Accelerator","","","COND-R1-GA100-FULL-DIE","direct_statement","single_source","provisional","","","high","Direct fixed-source statement.","component|COMP-R1-GA100-OFA|FIELD-COMP-UNIT-NAME|GA100 Optical Flow Accelerator|||COND-R1-GA100-FULL-DIE","draft","Entity name only. Counts and performance require separate facts."
"FACT-R1-GA100-COMP-NAME-VIDEO-DECODE","","COMP-R1-GA100-VIDEO-DECODE","","","","","","FIELD-COMP-UNIT-NAME","GA100 hardware video decoder","","","COND-R1-GA100-FULL-DIE","direct_statement","single_source","provisional","","","high","Direct fixed-source statement.","component|COMP-R1-GA100-VIDEO-DECODE|FIELD-COMP-UNIT-NAME|GA100 hardware video decoder|||COND-R1-GA100-FULL-DIE","draft","Entity name only. Counts and performance require separate facts."
"FACT-R1-GA100-COMP-COUNT-GPC","","COMP-R1-GA100-GPC","","","","","","FIELD-COMP-UNIT-COUNT","","8","count","COND-R1-GA100-FULL-DIE","direct_statement","single_source","provisional","","","high","Direct fixed-source statement.","component|COMP-R1-GA100-GPC|FIELD-COMP-UNIT-COUNT||8|count|COND-R1-GA100-FULL-DIE","draft","Full physical-design aggregate. Enabled A100 counts are excluded."
"FACT-R1-GA100-COMP-COUNT-TPC","","COMP-R1-GA100-TPC","","","","","","FIELD-COMP-UNIT-COUNT","","64","count","COND-R1-GA100-FULL-DIE","direct_statement","single_source","provisional","","","high","Direct fixed-source statement.","component|COMP-R1-GA100-TPC|FIELD-COMP-UNIT-COUNT||64|count|COND-R1-GA100-FULL-DIE","draft","Full physical-design aggregate. Enabled A100 counts are excluded."
"FACT-R1-GA100-COMP-COUNT-SM","","COMP-R1-GA100-SM","","","","","","FIELD-COMP-UNIT-COUNT","","128","count","COND-R1-GA100-FULL-DIE","direct_statement","single_source","provisional","","","high","Direct fixed-source statement.","component|COMP-R1-GA100-SM|FIELD-COMP-UNIT-COUNT||128|count|COND-R1-GA100-FULL-DIE","draft","Full physical-design aggregate. Enabled A100 counts are excluded."
"FACT-R1-GA100-COMP-COUNT-FP32","","COMP-R1-GA100-FP32","","","","","","FIELD-COMP-UNIT-COUNT","","8192","count","COND-R1-GA100-FULL-DIE","direct_statement","single_source","provisional","","","high","Direct fixed-source statement.","component|COMP-R1-GA100-FP32|FIELD-COMP-UNIT-COUNT||8192|count|COND-R1-GA100-FULL-DIE","draft","Full physical-design aggregate. Enabled A100 counts are excluded."
"FACT-R1-GA100-COMP-COUNT-TENSOR","","COMP-R1-GA100-TENSOR","","","","","","FIELD-COMP-UNIT-COUNT","","512","count","COND-R1-GA100-FULL-DIE","direct_statement","single_source","provisional","","","high","Direct fixed-source statement.","component|COMP-R1-GA100-TENSOR|FIELD-COMP-UNIT-COUNT||512|count|COND-R1-GA100-FULL-DIE","draft","Full physical-design aggregate. Enabled A100 counts are excluded."
"FACT-R1-GA100-COMP-COUNT-MEMCTRL","","COMP-R1-GA100-MEMCTRL","","","","","","FIELD-COMP-UNIT-COUNT","","12","count","COND-R1-GA100-FULL-DIE","direct_statement","single_source","provisional","","","high","Direct fixed-source statement.","component|COMP-R1-GA100-MEMCTRL|FIELD-COMP-UNIT-COUNT||12|count|COND-R1-GA100-FULL-DIE","draft","Full physical-design aggregate. Enabled A100 counts are excluded."
