"deferred_id","covered_arch_object_id","field_or_claim","raw_value","unit_scope","source_id","source_locator","reason_excluded","proposed_target_object_type","proposed_target_hint","conflict_or_version_note","review_status"
"DEF-M2GA-GV5P-02","OBJ-GOOGLE-TPU-V5P-ARCH","BF16/FP8 peak","459 TFLOP/s for each published path","per chip peak","SRC-M2-GA-G01","Table 1","芯片总峰值下沉","silicon_package","TPU v5p chip/package","","draft"
"DEF-M2GA-GV5P-03","OBJ-GOOGLE-TPU-V5P-ARCH","HBM capacity","96 GiB physical table; 95 GiB cloud page","per chip / cloud-visible","SRC-M2-GA-G01|SRC-M2-GA-G09","Table 1; cloud product table","容量下沉","silicon_package|cloud_accelerator","TPU v5p package and cloud device","作用域可能不同，原文未解释预留量；不建架构冲突","draft"
"DEF-M2GA-GV5P-04","OBJ-GOOGLE-TPU-V5P-ARCH","HBM bandwidth","2765 GB/s","per chip","SRC-M2-GA-G01","Table 1","带宽下沉","silicon_package","TPU v5p chip/package","","draft"
"DEF-M2GA-GV5P-05","OBJ-GOOGLE-TPU-V5P-ARCH","VMEM capacity","128 MiB","per chip","SRC-M2-GA-G01","Table 1","实现容量下沉","silicon_package","TPU v5p chip/package","","draft"
"DEF-M2GA-GV5P-06","OBJ-GOOGLE-TPU-V5P-ARCH","ICI aggregate bandwidth","1200 GB/s bidirectional","per chip aggregate","SRC-M2-GA-G09","System architecture","带宽下沉","cloud_accelerator","TPU v5p cloud device","双向聚合","draft"
"DEF-M2GA-GV6E-01","OBJ-GOOGLE-TPU-V6E-ARCH","TensorCore/MXU/SparseCore count","1 TC; 2 MXU; 2 SC","per chip","SRC-M2-GA-G10|SRC-M2-GA-G15","System architecture; SparseCore table","实现数量下沉","cloud_accelerator","TPU v6e cloud chip/device","","draft"
"DEF-M2GA-GV6E-02","OBJ-GOOGLE-TPU-V6E-ARCH","BF16/INT8 peak","918 TFLOP/s; 1836 TOPS","per chip peak","SRC-M2-GA-G10","System architecture","芯片总峰值下沉","cloud_accelerator","TPU v6e cloud chip/device","","draft"
"DEF-M2GA-GV6E-03","OBJ-GOOGLE-TPU-V6E-ARCH","HBM capacity/bandwidth","32 GB; 1638 GB/s","per chip","SRC-M2-GA-G10","System architecture","容量与带宽下沉","cloud_accelerator","TPU v6e cloud chip/device","","draft"
"DEF-M2GA-GV6E-04","OBJ-GOOGLE-TPU-V6E-ARCH","ICI ports/bandwidth","4 ports; 800 GB/s bidirectional","per chip aggregate","SRC-M2-GA-G10","System architecture","端口数量和带宽下沉","cloud_accelerator","TPU v6e cloud chip/device","双向聚合","draft"
"DEF-M2GA-G7X-01","OBJ-GOOGLE-TPU7X-ARCH","TensorCore/MXU/SparseCore count","2 TC; 8 MXU; 4 SC","per chip","SRC-M2-GA-G01","Table 1","实现数量下沉","silicon_package","Ironwood package","","draft"
"DEF-M2GA-G7X-02","OBJ-GOOGLE-TPU7X-ARCH","BF16/FP8 peak","2307 TFLOP/s; 4614 TFLOP/s","per chip peak","SRC-M2-GA-G01","Table 1","芯片总峰值下沉","silicon_package","Ironwood package","","draft"
"DEF-M2GA-G7X-03","OBJ-GOOGLE-TPU7X-ARCH","HBM capacity/bandwidth","192 GiB; 7380 GB/s current","per chip","SRC-M2-GA-G11","System architecture","容量与带宽下沉","silicon_package","Ironwood package","固定资料 7.3 TB/s 视为显示精度/版本差，不建冲突","draft"
"DEF-M2GA-G7X-04","OBJ-GOOGLE-TPU7X-ARCH","VMEM capacity","128 MiB per chip; 64 MiB per TensorCore view","per chip / per exposed TensorCore","SRC-M2-GA-G01|SRC-M2-GA-G12","Table 1; performance guide","实现容量下沉","silicon_package","Ironwood package","必须区分每芯片与每执行核视图","draft"
"DEF-M2GA-G7X-05","OBJ-GOOGLE-TPU7X-ARCH","ICI links/aggregate bandwidth","6 links; 1200 GB/s bidirectional","per chip aggregate","SRC-M2-GA-G11","System architecture","端口数量与带宽下沉","silicon_package","Ironwood package","双向聚合","draft"
"DEF-M2GA-G7X-06","OBJ-GOOGLE-TPU7X-ARCH","chiplet count/D2D relative bandwidth","2 chiplets; D2D equals six 1D ICI links","per package","SRC-M2-GA-G11","Dual-chiplet architecture","封装实现与相对带宽下沉","silicon_package","Ironwood package","不得从相对量推导绝对 D2D 带宽","draft"
"DEF-M2GA-G8T-01","OBJ-GOOGLE-TPU-8T-ARCH","FP4 peak","12.6 PFLOP/s","per chip peak","SRC-M2-GA-G13","TPU 8 at a glance","未来芯片总峰值下沉","silicon_package","TPU 8t future package","first-party explicit","draft"
"DEF-M2GA-G8T-02","OBJ-GOOGLE-TPU-8T-ARCH","HBM capacity/bandwidth","216 GB; 6528 GB/s","per chip","SRC-M2-GA-G13","TPU 8 at a glance","未来实现容量/带宽下沉","silicon_package","TPU 8t future package","first-party explicit","draft"
"DEF-M2GA-G8T-03","OBJ-GOOGLE-TPU-8T-ARCH","VMEM capacity","128 MB","per chip","SRC-M2-GA-G13","TPU 8 at a glance","未来实现容量下沉","silicon_package","TPU 8t future package","first-party explicit","draft"
"DEF-M2GA-G8I-01","OBJ-GOOGLE-TPU-8I-ARCH","FP4 peak","10.1 PFLOP/s","per chip peak","SRC-M2-GA-G13","TPU 8 at a glance","未来芯片总峰值下沉","silicon_package","TPU 8i future package","first-party explicit","draft"
"DEF-M2GA-G8I-02","OBJ-GOOGLE-TPU-8I-ARCH","HBM capacity/bandwidth","288 GB; 8601 GB/s","per chip","SRC-M2-GA-G13","TPU 8 at a glance","未来实现容量/带宽下沉","silicon_package","TPU 8i future package","first-party explicit","draft"
"DEF-M2GA-G8I-03","OBJ-GOOGLE-TPU-8I-ARCH","VMEM capacity","384 MB","per chip","SRC-M2-GA-G13","TPU 8 at a glance","未来实现容量下沉","silicon_package","TPU 8i future package","first-party explicit","draft"
"DEF-M2GA-G8I-04","OBJ-GOOGLE-TPU-8I-ARCH","die composition","two TensorCore on-core dies plus one CAE chiplet die","per package","SRC-M2-GA-G13","CAE section","封装/芯粒实现下沉","silicon_package","TPU 8i future package","first-party explicit","draft"
"DEF-M2GA-G8I-05","OBJ-GOOGLE-TPU-8I-ARCH","ICI bandwidth","19.2 Tb/s","per chip; direction unspecified","SRC-M2-GA-G14","TPU 8i announcement","带宽下沉","silicon_package","TPU 8i future package","不得默认单向或双向；换算 byte/s 前需条件化","draft"
"DEF-M2GA-AIF1-01","OBJ-AWS-INFERENTIA1-ARCH","NeuronCore count","4 NCv1","per chip","SRC-M2-GA-A01","Chip specification table","实现数量下沉","silicon_package","Inferentia1 chip","","draft"
"DEF-M2GA-AIF1-02","OBJ-AWS-INFERENTIA1-ARCH","INT8/FP16-BF16 peak","128 TOPS; 64 TFLOP/s","per chip peak","SRC-M2-GA-A01","Chip specification table","芯片总峰值下沉","silicon_package","Inferentia1 chip","","draft"
"DEF-M2GA-AIF1-03","OBJ-AWS-INFERENTIA1-ARCH","device DRAM capacity/bandwidth","8 GiB; 50 GiB/s","per chip","SRC-M2-GA-A01","Chip specification table","容量与带宽下沉","silicon_package","Inferentia1 chip","","draft"
"DEF-M2GA-ATRN1-01","OBJ-AWS-TRAINIUM1-ARCH","NeuronCore count","2 NCv2","per chip","SRC-M2-GA-A03","Device overview","实现数量下沉","silicon_package","Trainium1 chip","","draft"
"DEF-M2GA-ATRN1-02","OBJ-AWS-TRAINIUM1-ARCH","chip peak","380 INT8 TOPS; 190 BF16/FP16/cFP8/TF32 TFLOP/s; 47.5 FP32 TFLOP/s","per chip peak","SRC-M2-GA-A03","Compute table","芯片总峰值下沉","silicon_package","Trainium1 chip","旧版 420 INT8 已被当前版本取代，不建冲突","draft"
"DEF-M2GA-ATRN1-03","OBJ-AWS-TRAINIUM1-ARCH","HBM capacity/bandwidth","32 GiB; 820 GiB/s product page vs 820 GB/s NKI","per chip","SRC-M2-GA-A03|SRC-M2-GA-A05","Memory tables","容量与带宽下沉","silicon_package","Trainium1 chip","同条件单位标签互斥；目标实现对象建立后建正式冲突组","draft"
"DEF-M2GA-ATRN1-04","OBJ-AWS-TRAINIUM1-ARCH","DMA aggregate/engine count","1 TB/s; 32 DMA engines","per chip","SRC-M2-GA-A03|SRC-M2-GA-A05","Data movement/device overview","带宽与数量下沉","silicon_package","Trainium1 chip","","draft"
"DEF-M2GA-ATRN1-05","OBJ-AWS-TRAINIUM1-ARCH","NeuronLink-v2 interface count","4","per chip","SRC-M2-GA-A05","Device overview","接口数量下沉","silicon_package","Trainium1 chip","","draft"
"DEF-M2GA-AIF2-01","OBJ-AWS-INFERENTIA2-ARCH","NeuronCore count","2 NCv2","per chip","SRC-M2-GA-A04","Device overview","实现数量下沉","silicon_package","Inferentia2 chip","","draft"
"DEF-M2GA-AIF2-02","OBJ-AWS-INFERENTIA2-ARCH","chip peak","380 INT8 TOPS; 190 BF16/FP16/cFP8/TF32 TFLOP/s; 47.5 FP32 TFLOP/s","per chip peak","SRC-M2-GA-A04","Compute table","芯片总峰值下沉","silicon_package","Inferentia2 chip","","draft"
"DEF-M2GA-AIF2-03","OBJ-AWS-INFERENTIA2-ARCH","HBM capacity/bandwidth","32 GiB; 820 GiB/s product page vs 820 GB/s NKI","per chip","SRC-M2-GA-A04|SRC-M2-GA-A05","Memory tables","容量与带宽下沉","silicon_package","Inferentia2 chip","同条件单位标签互斥；目标实现对象建立后建正式冲突组","draft"
"DEF-M2GA-AIF2-04","OBJ-AWS-INFERENTIA2-ARCH","DMA aggregate/engine count","1 TB/s; 32 DMA engines","per chip","SRC-M2-GA-A05","Device overview","带宽与数量下沉","silicon_package","Inferentia2 chip","","draft"
"DEF-M2GA-AIF2-05","OBJ-AWS-INFERENTIA2-ARCH","NeuronLink-v2 interface count","2","per chip","SRC-M2-GA-A05","Device overview","接口数量下沉","silicon_package","Inferentia2 chip","","draft"
"DEF-M2GA-ATRN2-01","OBJ-AWS-TRAINIUM2-ARCH","existing M1 chip totals and component details","109 mapped facts","formal M1 Trainium2 chip scope","SRC-AWS-TRN2-S01|...|SRC-AWS-TRN2-S14","trainium2_existing_reuse_map.csv","不得从芯片事实上卷或复制到架构对象","silicon_package","OBJ-AWS-TRAINIUM2-CHIP","复用既有事实、断言与 CF-006","draft"
"DEF-M2GA-ATRN3-01","OBJ-AWS-TRAINIUM3-ARCH","NeuronCore count","8 NCv4","per chip","SRC-M2-GA-A06","Device overview","实现数量下沉","silicon_package","Trainium3 chip","","draft"
"DEF-M2GA-ATRN3-02","OBJ-AWS-TRAINIUM3-ARCH","chip peaks","2517 MXFP8/MXFP4; 671 BF16/FP16/TF32; 183 FP32 TFLOP/s; 2517 structured-sparse","per chip peak","SRC-M2-GA-A06","Compute table","芯片总峰值下沉","silicon_package","Trainium3 chip","","draft"
"DEF-M2GA-ATRN3-03","OBJ-AWS-TRAINIUM3-ARCH","per-NCv4 engine peak/frequency","315 MX TFLOP/s; 1.2 vector FP32; 1.2 scalar FP32; Tensor 2.4 GHz","per NCv4 engine","SRC-M2-GA-A07|SRC-M2-GA-A10","Engine tables","实现频率/吞吐下沉","silicon_package","Trainium3 chip with NCv4 components","","draft"
"DEF-M2GA-ATRN3-04","OBJ-AWS-TRAINIUM3-ARCH","SBUF/PSUM capacity","32 MiB; 2 MiB per NCv4","per component","SRC-M2-GA-A07","NCv4 memory table","实现容量下沉","silicon_package","Trainium3 chip components","","draft"
"DEF-M2GA-ATRN3-05","OBJ-AWS-TRAINIUM3-ARCH","HBM capacity/bandwidth/stacks","144 GiB; 4.9 TB/s vs 4.7 TB/s; 4 stacks","per chip","SRC-M2-GA-A06|SRC-M2-GA-A07|SRC-M2-GA-A08","Device/memory tables","容量、带宽、栈数下沉","silicon_package","Trainium3 chip","4.9/4.7 同条件一手互斥；目标对象建立后建正式冲突组","draft"
"DEF-M2GA-ATRN3-06","OBJ-AWS-TRAINIUM3-ARCH","DMA count/aggregate","128 engines; 4.9 TB/s","per chip","SRC-M2-GA-A06|SRC-M2-GA-A07","Data movement/device overview","数量与带宽下沉","silicon_package","Trainium3 chip","","draft"
"DEF-M2GA-ATRN3-07","OBJ-AWS-TRAINIUM3-ARCH","CC-Core count","16 vs 20","per chip","SRC-M2-GA-A06|SRC-M2-GA-A07","Device overview","数量下沉","silicon_package","Trainium3 chip","同条件一手互斥；目标对象建立后建正式冲突组","draft"
"DEF-M2GA-ATRN3-08","OBJ-AWS-TRAINIUM3-ARCH","NeuronLink-v4 interfaces/aggregate","4 interfaces; 2.56 TB/s","per chip; direction unspecified","SRC-M2-GA-A06|SRC-M2-GA-A07","Interconnect table","数量与带宽下沉","silicon_package","Trainium3 chip","方向/有效载荷未公开","draft"
"DEF-M2GA-ATRN3-09","OBJ-AWS-TRAINIUM3-ARCH","process/HBM type","3 nm; HBM3e","per chip/package","SRC-M2-GA-A08","2025-12-02 announcement","物理实现下沉","silicon_package","Trainium3 chip/package","","draft"
"DEF-M2GA-ATRN4-01","OBJ-AWS-TRAINIUM4-ARCH","relative FP4 peak","6× Trainium3","future chip relative claim","SRC-M2-GA-A09","2026-02-05 earnings release","相对实现指标下沉","silicon_package","Trainium4 future chip","不得推导绝对峰值","draft"
"DEF-M2GA-ATRN4-02","OBJ-AWS-TRAINIUM4-ARCH","relative memory bandwidth","4× Trainium3","future chip relative claim","SRC-M2-GA-A09","2026-02-05 earnings release","相对实现指标下沉","silicon_package","Trainium4 future chip","不得推导绝对带宽","draft"
"DEF-M2GA-ATRN4-03","OBJ-AWS-TRAINIUM4-ARCH","relative HBM capacity","2× Trainium3","future chip relative claim","SRC-M2-GA-A09","2026-02-05 earnings release","相对实现指标下沉","silicon_package","Trainium4 future chip","不得推导绝对容量","draft"
"DEF-M2GA-AIF1-04","OBJ-AWS-INFERENTIA1-ARCH","per-NCv1 engine rates","Tensor 16 FP16/BF16 TFLOP/s; Vector 256 floating operations/cycle; Scalar 512 floating operations/cycle","per NCv1 engine","SRC-M2-GA-A02","TensorEngine, VectorEngine, ScalarEngine","执行单元定量吞吐属于具体组件实现","silicon_package","Inferentia1 chip with NCv1 components","频率条件未在同一组语句中完整固定","draft"
"DEF-M2GA-G7X-07","OBJ-GOOGLE-TPU7X-ARCH","D2D protocol management mechanism","managed through collective operations","per package","SRC-M2-GA-G11","Dual-chiplet architecture; D2D paragraph","D2D 属于封装内裸片互联，不能挂 architecture_generation","silicon_package","Ironwood package","只保留来源机制原文；不从六条 1D ICI 推导绝对 D2D 带宽","draft"
