"candidate_id","decision","formal_object_ids","final_vendor_id","final_object_type","scope_role","identity_review","card_action","notes"
"CAND-NVIDIA-L2","import_new","OBJ-NVIDIA-L2","VEN-NVIDIA","card","main_sample","reviewed","full_card","Ada Lovelace 关系已进入正式关系表。"
"CAND-NVIDIA-H20BFX","defer_conflict","","VEN-NVIDIA","","observation","needs_resolution","no_card","官方版本存在 Hopper 与 Blackwell 归类冲突，暂不建对象或架构关系。"
"CAND-AMD-MI308X-OAM","import_new","OBJ-AMD-MI308X","VEN-AMD","module","main_sample","reviewed","full_card","产品身份成立；暂不建立 CDNA 3 关系。"
"CAND-AMD-MI308X-HF","exclude","","VEN-AMD","","excluded_lead","needs_resolution","no_card","仅有软件侧变体名，不当作硬件 SKU。"
"CAND-AMD-MI350P-PCIE","import_new","OBJ-AMD-MI350P","VEN-AMD","card","main_sample","reviewed","full_card","CDNA 4 关系已进入正式关系表。"
"CAND-AMD-ARCH-CDNA5","import_new","OBJ-AMD-CDNA5-ARCH","VEN-AMD","architecture_generation","main_sample","reviewed","full_card","身份成立；截止日状态按 announced 取证。"
"CAND-AMD-MI455X","import_new","OBJ-AMD-MI455X","VEN-AMD","module","main_sample","reviewed","full_card","EAM 映射为 module；CDNA 5 关系已进入正式关系表。"
"CAND-AMD-MI440X","defer_candidate","","VEN-AMD","","observation","needs_resolution","no_card","物理形态没有被一手资料直接定义。"
"CAND-AMD-MI430X","defer_candidate","","VEN-AMD","","observation","needs_resolution","no_card","物理形态没有被一手资料直接定义。"
"CAND-AMD-HELIOS-72-MI455X","import_new","OBJ-AMD-HELIOS-72-MI455X","VEN-AMD","rack","observation","reviewed","observation_card","参考机架设计，不是 AMD 可订购成品。"
"CAND-AMD-ARCH-CDNA6","import_new","OBJ-AMD-CDNA6-ARCH","VEN-AMD","architecture_generation","observation","reviewed","observation_card","已命名未来架构，计划随 2027 年产品落地。"
"CAND-AMD-MI500-SERIES","defer_no_object_type","","VEN-AMD","","observation","needs_resolution","no_card","当前是产品系列，不得沿用 module；等待具体 SKU 或扩充枚举。"
"CAND-CAMBRICON-ARCH-BANG-V5","defer_candidate","","VEN-CAMBRICON","architecture_generation","observation","needs_resolution","no_card","与 MLUarch05 分开；缺可读取版本化官方映射。"
"CAND-CAMBRICON-MLU570-PACKAGE","defer_candidate","","VEN-CAMBRICON","package","main_sample","needs_resolution","no_card","依赖不可访问 CNToolkit 正文或固定原厂资料。"
"CAND-CAMBRICON-MLU570-CARD","defer_candidate","","VEN-CAMBRICON","card","main_sample","needs_resolution","no_card","与同名封装分开；同名不构成包含关系。"
"CAND-CAMBRICON-MLU590-PACKAGE","defer_mapping","","VEN-CAMBRICON","package","main_sample","needs_resolution","existing_pilot_only","既有 MLU590 芯片对象保留；思元590与 MLU590 同页映射待核。"
"CAND-CAMBRICON-MLU590-H8","reuse_existing","OBJ-CAMBRICON-MLU590-H8","VEN-CAMBRICON","card","main_sample","needs_resolution","existing_pilot_only","保留 M1 占位对象，不从名称推断芯片数量。"
"CAND-CAMBRICON-MLU590-M9","reuse_existing","OBJ-CAMBRICON-MLU590-M9","VEN-CAMBRICON","card","main_sample","needs_resolution","existing_pilot_only","保留 M1 占位对象，不从名称推断芯片数量。"
"CAND-CAMBRICON-MLU370-M8","defer_candidate","","VEN-CAMBRICON","card","main_sample","needs_resolution","no_card","依赖不可访问 CNToolkit 正文或固定原厂资料。"
"CAND-HUAWEI-CLOUDMATRIX384","import_new","OBJ-HUAWEI-CLOUDMATRIX384","VEN-HUAWEI","pod","main_sample","reviewed","full_card","硬件超节点；云服务另建候选，不迁移 cloud_available 状态。"
"CAND-HUAWEI-ATLAS-800-A3-UMBRELLA","import_new_reclassified","OBJ-HUAWEI-ATLAS-800-A3","VEN-HUAWEI","pod","main_sample","needs_resolution","full_card","独立风冷超节点，不是 800T/800I 总称。"
"CAND-HUAWEI-ATLAS-800T-A3","import_new","OBJ-HUAWEI-ATLAS-800T-A3","VEN-HUAWEI","server","main_sample","reviewed","full_card","与 Atlas 800 A3、800I A3 分开。"
"CAND-HUAWEI-ATLAS-800I-A3","import_new","OBJ-HUAWEI-ATLAS-800I-A3","VEN-HUAWEI","server","main_sample","reviewed","full_card","与 Atlas 800 A3、800T A3 分开。"
"CAND-HUAWEI-ATLAS-850","import_new","OBJ-HUAWEI-ATLAS-850","VEN-HUAWEI","server","observation","needs_resolution","observation_card","与 850E、860 分开，不预设改名或继承。"
"CAND-HUAWEI-ATLAS-850E","import_new","OBJ-HUAWEI-ATLAS-850E","VEN-HUAWEI","server","observation","needs_resolution","observation_card","与 850、860 分开，不预设改名或继承。"
"CAND-HUAWEI-ATLAS-860","import_new","OBJ-HUAWEI-ATLAS-860","VEN-HUAWEI","server","observation","needs_resolution","observation_card","与 850/850E 分开；截止日仅确认发布身份。"
"CAND-HUAWEI-ATLAS-950-SUPERPOD-64","merge_into","OBJ-HUAWEI-ATLAS-950-SUPERPOD","VEN-HUAWEI","pod","observation","needs_resolution","observation_card","64 NPU 作为条件化配置，不是独立产品对象。"
"CAND-HUAWEI-ATLAS-950-SUPERPOD-1024","merge_into","OBJ-HUAWEI-ATLAS-950-SUPERPOD","VEN-HUAWEI","pod","observation","needs_resolution","observation_card","1024 NPU 作为条件化配置；真机展示不等于 GA。"
"CAND-HUAWEI-ATLAS-950-SUPERPOD-8192","merge_into","OBJ-HUAWEI-ATLAS-950-SUPERPOD","VEN-HUAWEI","pod","observation","needs_resolution","observation_card","8192 NPU 作为路线图配置，状态不得覆盖 64/1024。"
"CAND-HUAWEI-ASCEND-950PR","import_new","OBJ-HUAWEI-ASCEND-950PR","VEN-HUAWEI","package","main_sample","reviewed","full_card","与 950DT 分开，共享 OBJ-HUAWEI-ASCEND-950-DIE。"
"CAND-HUAWEI-ASCEND-950DT","import_new","OBJ-HUAWEI-ASCEND-950DT","VEN-HUAWEI","package","observation","reviewed","observation_card","与 950PR 分开，共享 OBJ-HUAWEI-ASCEND-950-DIE；供货状态待核。"
